id,name__en,name,image,gender,birth_date,given_name,identifier__VIAF,family_name,identifier__LCAuth,identifier__SUDOC,website,identifier__ISNI,identifier__NTA,identifier__freebase,identifier__hansard,wikipedia__en,twitter,identifier__parliamentDOTuk,name__cy,name__es,name__nl,name__fr,name__de,name__gl,wikipedia__cy,wikipedia__gl,name__fa,name__ca,wikipedia__ca,name__eu,name__br,wikipedia__br,wikipedia__eu,wikipedia__fr,wikipedia__de,name__nb,name__da,name__nn,name__sv,name__en_ca,name__en_gb,name__pl,name__gd,name__ko,name__ru,name__tr,name__hu,name__sco,name__scn,name__oc,name__ie,name__el,name__uk,name__cs,name__sk,wikipedia__commons,wikipedia__cs,wikipedia__el,wikipedia__es,wikipedia__gd,wikipedia__hu,wikipedia__ie,wikipedia__ko,wikipedia__pl,wikipedia__ru,wikipedia__scn,wikipedia__sco,wikipedia__simple,wikipedia__tr,wikipedia__uk,name__nds,wikipedia__nds,name__it,name__la,name__az,name__zh,wikipedia__az,wikipedia__la,wikipedia__oc,wikipedia__zh,name__vmf,identifier__BNF,wikipedia__fa,name__vi,name__id,name__ga,original_wikiname,identifier__publicwhip,name__pt,name__pcd,name__eo,last_seen,identifier__TWFY,name__mg,wikipedia__mg,name__ja,name__zh_cn,identifier__FAST,name__ro,wikipedia__ro,identifier__EuroparlMEP,identifier__journalisted,identifier__current_hansard,identifier__bbc_democracy_live,name__fi,wikipedia__fi,identifier__OLID,name__de_ch,occupation,identifier__snac,weblog,wikipedia__it,name__ar,identifier__quora,identifier__BBC_things,name__te,name__an,name__ast,name__ext,wikipedia__enwikiquote,name__zh_hant,wikipedia__cywikiquote,facebook,identifier__google_knowledge,identifier__Britannica,identifier__GND,identifier__BIBSYS,identifier__NUKAT,name__fo,name__kl,wikipedia__ms,death_date,name__ms,name__he,name__af,name__bar,name__bm,name__co,name__de_at,name__et,name__frc,name__frp,name__fur,name__gsw,name__hr,name__ia,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__LNB,name__sl,identifier__national_archives,name__bn,identifier__rush,identifier__Oxforddnb,identifier__NPG,identifier__NNDB,identifier__ne_se,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,wikipedia__da,wikipedia__id,wikipedia__sv,wikipedia__pt,identifier__WelshBiography,name__is,name__sr_el,identifier__welsh_assembly,honorific_suffix,wikipedia__ga,wikipedia__wuu,name__wuu,wikipedia__zh_yue,name__yue,identifier__NKC
Q16734718,Gwyn R Price,Gwyn R Price,https://upload.wikimedia.org/wikipedia/commons/6/68/Gwyn_Price_(5804944776).jpg,male,,Gwyn,,Price,,,,,,,,Gwyn R Price,GwynRPrice,,Gwyn R Price,,,,Gwyn R Price,,,,,,,,,,,,,,,,,,,,,,,,,Gwyn R Price,,,,,,,,Category:Gwyn R Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,,,,,,,
Q16735288,Aled Roberts,Aled Roberts,https://upload.wikimedia.org/wikipedia/commons/b/b8/Aled_Roberts_(6324905377).jpg,male,,Aled,,Roberts,,,,,,,,Aled Roberts,AledRoberts2016,,Aled Roberts,,Aled Roberts,,Aled Roberts,,Aled Roberts,,,,,,,,,,,,,,,,,,,,Алед Робертс,,,,,,,,,,,Category:Aled Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aled Roberts,,,,,,,,,,,,,,,,,,,421,,,,,,,
Q1687064,Jenny Randerson,Jenny Randerson,https://upload.wikimedia.org/wikipedia/commons/a/a5/Jenny_Randerson.jpg,female,1948-05-26,Jenny,,Randerson,,,,,,,,"Jenny Randerson, Baroness Randerson",JennyRanderson,lords/baroness-randerson/4230,Jenny Randerson,Jenny Randerson,Jenny Randerson,Jenny Randerson,"Jenny Randerson, Baroness Randerson",,Jenny Randerson,,,,,,,,,,"Jenny Randerson, Baroness Randerson",,,,,,,,,,,,Jenny Randerson,,,,,,,,,Category:Jenny Randerson,,,,,,,,,,,,,,,,,,,,蘭德森女男爵珍妮·蘭德森,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,life peer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenny Randerson,,,,,,,,,,,,,,,,,,,4409,,,,,,,
Q16945593,Nathan Gill,Nathan Gill,https://upload.wikimedia.org/wikipedia/commons/1/14/Nathan_Gill_AM.png,male,1974,Nathan,,Gill,,,,,,,,Nathan Gill,NathanGillMEP,,Nathan Lee Gill,,Nathan Gill,Nathan Gill,Nathan Gill,,Nathan Gill,,,,,,,,,Nathan Gill,Nathan Gill,,,,,,,Nathan Gill,,,,,Nathan Gill,,,,,,,,,,,,,,,,,Nathan Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124965,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathan Gill,,,,,,,,,,,,,,,,,,,433,,,,,,,
Q19397,Alun Michael,Alun Michael,https://upload.wikimedia.org/wikipedia/commons/a/a9/AlunMichael.JPG,male,1943-08-22,Alun,29028370,Michael,nb99056195,,http://www.southwalescommissioner.wales,,,/m/025jv9,mr-alun-michael,Alun Michael,AlunMichael,commons/alun-michael/562,Alun Michael,Alun Michael,Alun Michael,Alun Michael,Alun Michael,Alun Michael,Alun Michael,,,Alun Michael,,,,,,Alun Michael,Alun Michael,,,,Alun Michael,Alun Michael,Alun Michael,Alun Michael,,,Алан Майкл,,Alun Edward Michael,,,Alun Michael,,,,Alun Michael,Alun Michael,Category:Alun Michael,,,,,Alun Edward Michael,,,Alun Michael,"Майкл, Алан",,,Alun Michael,,,,,Alun Michael,Alanus Michael,,阿龍·邁克爾,,Alanus Michael,Alun Michael,,,,,,,,,Alun_Michael,,,,,alun_michael,Alun Michael,Alun Michael,,阿龙·迈克尔,,,,,,1894,25508,,,,,politician,,,,آلون مايكل,,,,Alun Michael,Alun Michael,Alun Michael,,阿龍·邁克爾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alun Michael,,,504,,mp81682,989/000164497,alun-michael,,,,,,,,,,,,4557,,,,,,,
Q19958045,Janet Haworth,Janet Haworth,,female,,Janet,,Haworth,,,,,,,,Janet Haworth,,,Janet Haworth,,Janet Haworth,,,,,,,,,,,,,,,,,,,,,,,,Джанет Хаворт,,,Janet Haworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4087,,,,,,,
Q20065239,Altaf Hussain,Altaf Hussain,https://upload.wikimedia.org/wikipedia/commons/3/36/Altaf_Hussain_(Welsh_politician).jpg,male,,Altaf,,Hussain,,,,,,,,Altaf Hussain (Welsh politician),,,,,Altaf Hussain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orthopedic surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altaf Hussain,,আলতাফ হুসেন,,,,,,,,,,,,,,,,,543,,,,,,,
Q20570139,Siân Gwenllian,Siân Gwenllian,https://upload.wikimedia.org/wikipedia/commons/9/9d/Siân_Gwenllian_AM_(28092344141).jpg,female,,Siân,,Gwenllian,,,,,,,,Siân Gwenllian,siangwenfelin,,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,,,Sian Gwenllian,,Sian Gwenllian,Sian Gwenllian,,,,,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,,,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,,,Sian Gwenllian,Sian Gwenllian,,,,,,,,,,,,,,,,Sian Gwenllian,,Sian Gwenllian,,,,,,,,Sian Gwenllian,,,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,,,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,,,Sian Gwenllian,,,,,Sian Gwenllian,,,,,,Sian Gwenllian,,,Sian Gwenllian,politician,,,,,,,,Sian Gwenllian,Sian Gwenllian,,,,,,,,,,,,,,,Sian Gwenllian,,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,Sian Gwenllian,,Sian Gwenllian,,,,,,,,,,,,,,,,,,,4981,,,,,,,
Q24035607,Rhianon Passmore,Rhianon Passmore,https://upload.wikimedia.org/wikipedia/commons/0/08/Rhianon_Passmore_AM_(27555191783).jpg,female,,Rhianon,,Passmore,,,,,,,,Rhianon Passmore,Rhi4Islwyn,,Rhianon Passmore,,Rhianon Passmore,,,,Rhianon Passmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhianon Passmore,,,,,,,,,,,,,,,,,,,4651,,,,,,,
Q24039145,Hannah Blythyn,Hannah Blythyn,https://upload.wikimedia.org/wikipedia/commons/b/b8/Hannah_Blythyn_AM_(27555185853).jpg,female,,Hannah,,Blythyn,,,,,,,,Hannah Blythyn,HannahBlythyn,,Hannah Blythyn,,Hannah Blythyn,,,,Hannah Blythyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hannah Blythyn,,,,,,,,,,,,,,,,,,,5112,,,,,,,
Q24039661,Lee Waters,Lee Waters,https://upload.wikimedia.org/wikipedia/commons/5/57/Lee_Waters_AM_(28066509142).jpg,male,1976-02-12,Lee,,Waters,,,,,,,,Lee Waters,Amanwy,,Lee Waters,,Lee Waters,,,,Lee Waters,,,,,,,,,,,,,,,,,,,,Ли Уотерс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,leeforllanelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee Waters,,,,,,,,,,,,,,,,,,,4978,,,,,,,
Q24040034,Hefin David,Hefin David,https://upload.wikimedia.org/wikipedia/commons/8/88/Hefin_David_AM_(28170811245).jpg,male,1977-08,Hefin,,David,,,,,,,,Hefin David,Hef4Caerphilly,,Hefin David,,Hefin David,,,,Hefin David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hefin David,,,,,,,,,,,,,,,,,,,513,,,,,,,
Q24041564,Neil McEvoy,Neil McEvoy,https://upload.wikimedia.org/wikipedia/commons/c/c9/Neil_McEvoy_AM_(28092346611).jpg,male,,Neil,,McEvoy,,,,,,,,Neil McEvoy,NeilJMcEvoy,,Neil McEvoy,,Neil McEvoy,,,,Neil McEvoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neil McEvoy,,,,,,,,,,,,,,,,,,,255,,,,,,,
Q24045680,Vikki Howells,Vikki Howells,https://upload.wikimedia.org/wikipedia/commons/7/72/Vikki_Howells_AM_(27555188583).jpg,female,,Vikki,,Howells,,,,,,,,Vikki Howells,VikkiHowells,,Vikki Howells,,Vikki Howells,,,,Vikki Howells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vikki Howells,,,,,,,,,,,,,,,,,,,5107,,,,,,,
Q24048985,Michelle Brown,Michelle Brown,https://upload.wikimedia.org/wikipedia/commons/8/82/Michelle_Brown_AM.png,female,1969-12-30,Michelle,,Brown,,,,,,,,Michelle Brown,MishBrownAM,,,,Michelle Brown,,,,,,,,,,,,,,,,,,,,,,,,Мишель Браун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michelle Brown,,,,,,,,,,,,,,,,,,,4975,,,,,,,
Q24050164,Dawn Bowden,Dawn Bowden,https://upload.wikimedia.org/wikipedia/commons/7/7f/Dawn_Bowden_AM_(28066510182).jpg,female,1960-02,Dawn,,Bowden,,,,,,,,Dawn Bowden,Dawn_Bowden,,Dawn Bowden,,Dawn Bowden,,,,Dawn Bowden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trade unionist,,,,,,,,,,,,,,,/g/11c6zy2qz6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawn Bowden,,,,,,,,,,,,,,,,,,,4988,,,,,,,
