post,en_party_name,href,id,en_title,image,email,en_constituency_name,name,group,area,twitter,en_region_name,other_name
,Welsh Liberal Democrats,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=378,378,,http://www.senedd.assemblywales.org/UserData/8/7/3/Info00000378/bigpic.jpg,William.Powell@assembly.wales,,William Powell,Welsh Liberal Democrats,Mid and West Wales,http://twitter.com/WilliamPowellAM,Mid and West Wales,
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=146,146,,http://www.senedd.assemblywales.org/UserData/6/4/1/Info00000146/bigpic.jpg,Dafydd.Elis-Thomas@assembly.wales,Dwyfor Meirionnydd,Dafydd Elis-Thomas,Plaid Cymru,Dwyfor Meirionnydd,http://twitter.com/ElisThomasD,,
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=159,159,,http://www.senedd.assemblywales.org/UserData/9/5/1/Info00000159/bigpic.jpg,Bethan.Jenkins@assembly.wales,,Bethan Jenkins,Plaid Cymru,South Wales West,,South Wales West,
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=518,518,,http://www.senedd.assemblywales.org/UserData/8/1/5/Info00000518/bigpic.jpg,Lindsay.Whittle@assembly.wales,,Lindsay Whittle,Plaid Cymru,South Wales East,,South Wales East,
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=144,144,,http://www.senedd.assemblywales.org/UserData/4/4/1/Info00000144/bigpic.jpg,Jocelyn.Davies@assembly.wales,,Jocelyn Davies,Plaid Cymru,South Wales East,http://twitter.com/parkgirl59,South Wales East,
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=2717,2717,,http://www.senedd.assemblywales.org/UserData/7/1/7/Info00002717/bigpic.jpg,rhun.apiorwerth@assembly.wales,Ynys Môn,Rhun ap Iorwerth,Plaid Cymru,Ynys Môn,http://twitter.com/RhunapIorwerth,,
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=160,160,,http://www.senedd.assemblywales.org/UserData/0/6/1/Info00000160/bigpic.jpg,AlunFfred.Jones@assembly.wales,Arfon,Alun Ffred Jones,Plaid Cymru,Arfon,http://twitter.com/AlunFfredPlaid,,
Commissioner-Plaid Cymru,Plaid Cymru,http://www.senedd.assembly.wales/mgUserInfo.aspx?UID=181,181,Commissioner,http://www.senedd.assembly.wales/UserData/1/8/1/Info00000181/bigpic.jpg,Rhodri.Thomas@assembly.wales,Carmarthen East and Dinefwr,Rhodri Glyn Thomas,Plaid Cymru,Carmarthen East and Dinefwr,http://twitter.com/RhodriGlynPlaid,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=180,180,,http://www.senedd.assemblywales.org/UserData/0/8/1/Info00000180/bigpic.jpg,Gwenda.Thomas@assembly.wales,Neath,Gwenda Thomas,Welsh Labour,Neath,http://twitter.com/Gwendathomas,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=332,332,,http://www.senedd.assemblywales.org/UserData/2/3/3/Info00000332/bigpic.jpg,Mike.Hedges@assembly.wales,Swansea East,Mike Hedges,Welsh Labour,Swansea East,http://twitter.com/MikeHedgesAM,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=245,245,,http://www.senedd.assemblywales.org/UserData/5/4/2/Info00000245/bigpic.jpg,Julie.Morgan@assembly.wales,Cardiff North,Julie Morgan,Welsh Labour,Cardiff North,http://twitter.com/JulieMorganLAB,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=139,139,,http://www.senedd.assemblywales.org/UserData/9/3/1/Info00000139/bigpic.jpg,Jeff.Cuthbert@assembly.wales,Caerphilly,Jeff Cuthbert,Welsh Labour,Caerphilly,http://twitter.com/JeffCuthbert,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=153,153,,http://www.senedd.assemblywales.org/UserData/3/5/1/Info00000153/bigpic.jpg,John.Griffiths@assembly.wales,Newport East,John Griffiths,Welsh Labour,Newport East,,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=182,182,,http://www.senedd.assemblywales.org/UserData/2/8/1/Info00000182/bigpic.jpg,Joyce.Watson@assembly.wales,,Joyce Watson,Welsh Labour,Mid and West Wales,,Mid and West Wales,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=241,241,,http://www.senedd.assemblywales.org/UserData/1/4/2/Info00000241/bigpic.jpg,Jenny.Rathbone@assembly.wales,Cardiff Central,Jenny Rathbone,Welsh Labour,Cardiff Central,http://twitter.com/JennyRathbone,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=174,174,,http://www.senedd.assemblywales.org/UserData/4/7/1/Info00000174/bigpic.jpg,Lynne.Neagle@assembly.wales,Torfaen,Lynne Neagle,Welsh Labour,Torfaen,,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=225,225,,http://www.senedd.assemblywales.org/UserData/5/2/2/Info00000225/bigpic.jpg,Alun.Davies@assembly.wales,Blaenau Gwent,Alun Davies,Welsh Labour,Blaenau Gwent,http://twitter.com/AlunDaviesAM,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=292,292,,http://www.senedd.assemblywales.org/UserData/2/9/2/Info00000292/bigpic.jpg,Keith.Davies@assembly.wales,Llanelli,Keith Davies,Welsh Labour,Llanelli,http://twitter.com/KeithDaviesAC,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=161,161,,http://www.senedd.assemblywales.org/UserData/1/6/1/Info00000161/bigpic.jpg,Ann.Jones@assembly.wales,Vale of Clwyd,Ann Jones,Welsh Labour,Vale of Clwyd,http://twitter.com/ann_jonesam,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=287,287,,http://www.senedd.assemblywales.org/UserData/7/8/2/Info00000287/bigpic.jpg,Gwyn.Price@assembly.wales,Islwyn,Gwyn R Price,Welsh Labour,Islwyn,,,
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=130,130,,http://www.senedd.assemblywales.org/UserData/0/3/1/Info00000130/bigpic.jpg,Mohammad.Asghar@assembly.wales,,Mohammad Asghar,Welsh Conservative Party,South Wales East,http://twitter.com/mohammadasghar,South Wales East,Oscar
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=303,303,,http://www.senedd.assemblywales.org/UserData/3/0/3/Info00000303/bigpic.jpg,Russell.George@assembly.wales,Montgomeryshire,Russell George,Welsh Conservative Party,Montgomeryshire,http://twitter.com/russ_george,,
,Welsh Conservative Party,http://www.senedd.assembly.wales/mgUserInfo.aspx?UID=4087,4087,,http://www.senedd.assembly.wales/UserData/7/8/0/Info00004087/bigpic.jpg,Janet.Haworth@Assembly.Wales,,Janet Haworth,Welsh Conservative Party,North Wales,,North Wales,
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=541,541,,http://www.senedd.assemblywales.org/UserData/1/4/5/Info00000541/bigpic.jpg,Suzy.Davies@assembly.wales,,Suzy Davies,Welsh Conservative Party,South Wales West,http://twitter.com/suzydaviesam,South Wales West,
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=212,212,,http://www.senedd.assemblywales.org/UserData/2/1/2/Info00000212/bigpic.jpg,Janet.Finch-Saunders@Assembly.Wales,Aberconwy,Janet Finch-Saunders,Welsh Conservative Party,Aberconwy,http://twitter.com/JFinchSaunders,,
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=175,175,,http://www.senedd.assemblywales.org/UserData/5/7/1/Info00000175/bigpic.jpg,Nicholas.Ramsay@assembly.wales,Monmouth,Nick Ramsay,Welsh Conservative Party,Monmouth,http://twitter.com/@NickRamsayAM,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=543,543,,http://senedd.assembly.wales/UserData/3/4/5/Info00000543/bigpic.jpg,Altaf.Hussain@Assembly.wales,,Altaf Hussain,Welsh Conservative Party,South Wales West,,South Wales West,
Deputy Presiding Officer,Welsh Conservative Party,http://www.senedd.assembly.wales/mgUserInfo.aspx?UID=169,169,Deputy Presiding Officer,http://www.senedd.assembly.wales/UserData/9/6/1/Info00000169/bigpic.jpg,David.Melding@assembly.wales,,David Melding,Welsh Conservative Party,South Wales Central,http://twitter.com/DavidMeldingAM,South Wales Central,
