id,name__ar,name,wikipedia__ar,name__en,wikipedia__en,gender,death_date,given_name,birth_date,identifier__VIAF,identifier__LCAuth,name__de,name__fr,name__it,name__cy,name__nl,original_wikiname,name__pl,name__el,name__nb,name__tr,name__uz,name__es,name__ca,name__oc,name__ru,name__et,name__he,name__ko,name__ja,name__vi,name__da,name__nn,name__sv,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__he,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__pl,wikipedia__ru,wikipedia__tr,wikipedia__vi,image,identifier__freebase,identifier__FAST,identifier__EGAXA,name__pt,wikipedia__pt,name__zh,name__fi,wikipedia__fi,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__hu,identifier__ISNI,last_seen,twitter,wikipedia__mg,name__mg,identifier__GND,name__ast,wikipedia__ast,wikipedia__simple,name__zh_cn,wikipedia__fa,name__fa,wikipedia__commons,occupation,facebook,wikipedia__ce,name__ce
Q12244644,مقبل مومني,,مقبل مومني,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12250067,همام سعيد,,همام سعيد,,,male,,,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12252055,يوسف العظم,,يوسف العظم,,,male,2007-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1393504,فيصل الفايز,Faisal al-Fayez,فيصل الفايز,Faisal al-Fayez,Faisal Al-Fayez,male,,Faisal,1952-12-20,,,Faisal al-Fayiz,Faisal al-Fayez,,,Faisal al-Fayez,,,,,,,Faisal al-Fayez,,,Фейсал аль-Файез,,פייסל אל-פאיז,,,,,,,Faisal al-Fayiz,,,Faisal al-Fayez,,,פייסל אל-פאיז,,,,,Фейсал аль-Файез,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Joe_Harford_and_Faisal_Al_Fayez.jpg,/m/02317x,,,,,费萨尔·法耶兹,Faisal al-Fayiz,Faisal al-Fayiz,费萨尔·法耶兹,,,,Faisal al-Fayez,,,,,,,,,,,,,,politician,,,
Q15992742,,Abdul Nasser Bani Hani,,Abdul Nasser Bani Hani,Abdul Nasser Bani Hani,male,2013-10-06,Abdul,,,,Abdul Nasser Bani Hani,Abdul Nasser Bani Hani,Abdul Nasser Bani Hani,Abdul Nasser Bani Hani,Abdul Nasser Bani Hani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q15993101,,Mahmoud Hweimel,,Mahmoud Hweimel,Mahmoud Hweimel,male,2013-08-20,Mahmoud,,,,Mahmoud Hweimel,Mahmoud Hweimel,,Mahmoud Hweimel,Mahmoud Hweimel,Mahmoud Hweimel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q15993244,,Mohammad Mahseiri,,Mohammad Mahseiri,Mohammad Mahseiri,male,2013-01-31,Mohammad,,,,Mohammad Mahseiri,Mohammad Mahseiri,Mohammad Mahseiri,Mohammad Mahseiri,Mohammad Mahseiri,Mohammad Mahseiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q16186517,,Atef Tarawneh,,Atef Tarawneh,Atef Tarawneh,male,,Atef,1954,,,Atef Tarawneh,Atef Tarawneh,,,Atef Tarawneh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/5/52/Συνάντηση_ΥΠΕΞ,_Ν._Κοτζιά,_με_τον_Πρόεδρο_της_Βουλής_της_Ιορδανίας,_A._Tarawneh_(25380663511).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,Category:Atef Tarawneh,politician,,,
Q16730808,,Mahmoud Kharabsheh,,Mahmoud Kharabsheh,Mahmoud Kharabsheh,male,,Mahmoud,,,,Mahmoud Kharabsheh,,,,Mahmoud Kharabsheh,Mahmoud Kharabsheh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q16929790,,Saleh Wreikat,,Saleh Wreikat,Saleh Wreikat,male,2014-05-22,Salih,1939,,,Saleh Wreikat,Saleh Wreikat,,Saleh Wreikat,Saleh Wreikat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q17070373,,Talal al-Sharif,,Talal al-Sharif,Talal al-Sharif,male,,,,,,,,Talal al-Sharif,,Talal al-Sharif,Talal al-Sharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q18175190,,Mohammad Khasawneh,,Mohammad Khasawneh,Mohammad Khasawneh,male,2014-09-23,Mohammad,1956,,,Mohammad Khasawneh,Mohammad Khasawneh,,Mohammad Khasawneh,Mohammad Khasawneh,Mohammad Khasawneh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q20417669,رولا الفرا,,رولا الفرا الحروب,,,female,,,1968-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q20425837,هند حاكم الفايز,,هند حاكم الفايز,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q2067182,طاهر المصري,Taher al-Masri,طاهر المصري,Taher al-Masri,Taher al-Masri,male,,,1942,,,,Taher al-Masri,,,Taher al-Masri,,Tahir al-Masri,,,,,Taher al-Masri,,,Тахер аль-Мазри,,טאהר אל-מסרי,,,,,,,,,,,,,טאהר אל-מסרי,,,,Tahir al-Masri,Тахер аль-Мазри,,,,/m/0drvvp,,,,,,,,,,,,Taher al-Masri,,,,,,,,,,,,,,politician,,,
Q2067199,عبد الرؤوف الروابدة,Abdelraouf al-Rawabdeh,عبد الرؤوف الروابدة,Abdelraouf al-Rawabdeh,Abdelraouf Al-Rawabdeh,male,,,1939,,,,Abdelraouf al-Rawabdeh,,,Abdelraouf al-Rawabdeh,,Abd ar-Ra’uf ar-Rawabida,,,,,Abdelraouf al-Rawabdeh,,,Абдельрауф аль-Равабде,,עבד א-ראוף א-רוואבדה,,,,,,,,,,,,,עבד א-ראוף א-רוואבדה,,,,Abd ar-Ra’uf ar-Rawabida,Абдуррауф ар-Равабде,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Defense.gov_News_Photo_990520-D-9880W-077.jpg,/m/0dk_7g,,,,,,,,,,,,Abdelraouf al-Rawabdeh,,,,,,,,,,,,,,politician,,,
Q2067696,عبد الكريم الكباريتي,Abdul Karim al-Kabariti,عبد الكريم الكباريتي,Abdul Karim al-Kabariti,Abdul Karim al-Kabariti,male,,Abdul,1949-12-15,,,,Abdul Karim al-Kabariti,,,Abdul Karim al-Kabariti,,Abd al-Karim al-Kabariti,,,,,Abdul Karim al-Kabariti,,,Абделькарим аль-Кабарити,,עבד אל-כרים אל-כבאריתי,,,,,,,,,,,,,עבד אל-כרים אל-כבאריתי,,,,Abd al-Karim al-Kabariti,Абделькарим аль-Кабарити,,,,/m/0b3my7,,,,,,,,,,,,Abdul Karim al-Kabariti,,,,,,,,,,,,,,politician,,,
Q2096713,توفيق أبو الهدى,Tawfik Abu al-Huda,توفيق أبو الهدى,Tawfik Abu al-Huda,Tawfik Abu al-Huda,male,1956-07-01,,1894,96978997,n2005017144,Tawfiq Abu l-Huda,,,,Tawfik Abu al-Huda,,Taufik Abu al-Huda,,,,,Tawfik Abu al-Huda,,,Тавфик Абу аль-Худа,,תאופיק אבו אל-הודא,,,,,,,Tawfiq Abu l-Huda,,,Tawfik Abu al-Huda,,,תאופיק אבו אל-הודא,,,,Taufik Abu al-Huda,Тавфик Абу аль-Худа,,,"https://upload.wikimedia.org/wikipedia/commons/d/d8/Hussein,_with_Prime_Minister_Tawfiq_Abul_Huda_-_Throne_ceremony.jpg",/m/05h0l9,1607279,,,,,,,,,,,Tawfik Abu al-Huda,,,,,,,Tawfik Abu al-Huda,Tawfik Abu al-Huda,,,,,,politician,,,
Q21997854,,Eteiwi Majali,,Eteiwi Majali,Eteiwi Majali,male,2015-10-24,,1950,,,,,,,Eteiwi Majali,Eteiwi Majali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2509606,علي أبو الراغب,Ali Abu al-Ragheb,علي أبو الراغب,Ali Abu al-Ragheb,Ali Abu Al-Ragheb,male,,Ali,1946,,,Ali Abu al-Ragheb,Ali Abou Al-Ragheb,,,Ali Abu al-Ragheb,,Ali Abu ar-Raghib,Αλί Αμπού αλ-Ραγέμπ,,,,Ali Abu al-Ragheb,,,Али Абу-Рагеб,,עלי אבו א-ראע'ב,,アリ・アブ・ラーギブ,,,,,Ali Abu al-Ragheb,,,Ali Abu al-Ragheb,,Ali Abou Al-Ragheb,עלי אבו א-ראע'ב,,,,Ali Abu ar-Raghib,Али Абу-Рагеб,,,,/m/02dj3y,,,,,阿里·阿布·拉吉卜,,,阿里·阿布·拉吉卜,阿里·阿布·拉吉卜,阿里·阿布·拉吉卜,阿里·阿布·拉吉卜,Ali Abu al-Ragheb,,,,,,,,,,,,,,politician,,,
Q307623,عبد الله الريماوي,Abdullah Rimawi,عبد الله الريماوي,Abdullah Rimawi,Abdullah Rimawi,male,1980-03-05,Abdullah,1920,172798533,,Abdallah ar-Rimawi,Abdullah Rimawi,,,Abdullah Rimawi,,,,,,,Abdullah Rimawi,,,,,עבדאללה רימאוי,,,,,,,Abdallah ar-Rimawi,,,,,,עבדאללה רימאוי,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Ar-Rimawi.jpg,/m/0gtvqrb,,001441868,,,,,,,,,,Abdullah Rimawi,,,,,,,,,,,,,,politician,,,
Q34426,عبد الله النسور,Abdullah Ensour,عبد الله النسور,Abdullah Ensour,Abdullah Ensour,male,,Abdullah,1939-01-20,101876585,n82234891,Abdullah Ensour,Abdullah Ensour,Abdullah Ensour,,Abdullah Ensour,,Abdullah Ensur,Αμπντάλα Ενσούρ,Abdullah Ensour,Abdullah Ensour,Abdullah Ensour,Abdullah Ensour,Abdullah Ensour,Abdullah Ensour,Абдалла Энсур,‘Abd Allāh an-Nsour,עבדאללה א-נסור,압둘라 엔수르,アブドゥッラー・アン＝ヌスール,Abdullah Ensour,Abdullah Ensour,Abdullah Ensour,Abdullah Ensour,Abdullah Ensour,Αμπντάλα Ενσούρ,Abdullah Ensour,Abdullah Ensour,‘Abd Allāh an-Nusūr,Abdullah Ensour,עבדאללה א-נסור,Abdullah Ensour,アブドゥッラー・アン＝ヌスール,압둘라 엔수르,Abd Allah an-Nusur,Абдалла Энсур,Abdullah Ensour,Abdullah Ensour,https://upload.wikimedia.org/wikipedia/commons/5/5e/FM_Urmas_Paet_met_with_the_Prime_Minister_of_Jordan_Abdullah_Ensour_in_Amman._9.01.2013_(8364907805).jpg,/m/02p_hlt,1455893,,,,阿卜杜拉·恩蘇爾,,,,,,,Abdullah Ensour,,,abdullah_ensour,Abdullah Ensour,Abdullah Ensour,,,,,阿卜杜拉·恩苏尔,عبدالله النسور,عبدالله النسور,,diplomat,Drensour,,
Q3532868,توجان الفيصل,Toujan al-Faisal,توجان الفيصل,Toujan al-Faisal,Toujan al-Faisal,female,,,1948,,,,Toujan al-Faisal,,,Toujan al-Faisal,,Tudżan al-Fajsal,,,,,Toujan al-Faisal,,,,,,,,,,,,,,,,,Toujan al-Faisal,,,,,Tudżan al-Fajsal,,,,,,,,,,,,,,,,,Toujan al-Faisal,,,,,,,,,,,,,,politician,,,
Q4072991,أحمد اللوزي,Ahmad Lozi,أحمد اللوزي,Ahmad Lozi,Ahmad Lozi,male,2014-11-18,Ahmad,1925,,,Ahmad Lozi,Ahmad Lozi,,Ahmad Lozi,Ahmad Lozi,,Ahmad al-Lauzi,,,,,Ahmad Lozi,,,Ахмад аль-Лавзи,,אחמד א-לווזי,,,,,,,,,,,,,אחמד א-לווזי,,,,Ahmad al-Lauzi,Ахмад аль-Лавзи,,,,,,,,,,,,,,,,Ahmad Lozi,,,,,,,,,Ahmad Lozi,,,,,politician,,,
Q4119846,قاسم الريماوي,Kassim al-Rimawi,قاسم الريماوي,Kassim al-Rimawi,Kassim al-Rimawi,male,1982,Kassim,1918,,,,Kassim al-Rimawi,,,Kassim al-Rimawi,,,,,,,,,,Кассим аль-Римави,,קאסם א-רימאווי,,,,,,,,,,,,,קאסם א-רימאווי,,,,,Кассим аль-Римави,,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Dr_kasam_rimawi.jpg,/m/0bm9k11,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q4166555,هزاع المجالي,Hazza' al-Majali,هزاع المجالي,Hazza' al-Majali,Hazza' al-Majali,male,1960-08-29,,1919,50792933,n88259656,,Hazza' al-Majali,,,Hazza' al-Majali,,Hazza al-Madżali,,,,,Hazza' al-Majali,,,Хазза аль-Маджали,,היזאע אל-מג'אלי,,,,,,,,,,,,,היזאע אל-מג'אלי,,,,Hazza al-Madżali,Хазза аль-Маджали,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Premier_Hazza_al-Majali_United_Nations.JPG,/m/0806rlg,262253,,,,,,,,,,,Hazza' al-Majali,,,,,,,,,,,,,,politician,,,
Q4664651,عبد الله الجازي,Abdallah Al-Jazi,عبد الله الجازي,Abdallah Al-Jazi,Abdallah Al-Jazi,male,,Abdullah,1954,,,,Abdallah Al-Jazi,Abdallah Al Jazi,,Abdallah Al-Jazi,,,,,,,Abdallah Al-Jazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdallah Al-Jazi,,,,,,,,,,,,,,politician,,,
Q4818087,,Attallah Suheimat,,Attallah Suheimat,Attallah Suheimat,male,1965-07-28,,1875,,,Attallah Suheimat,,Attallah Suheimat,,Attallah Suheimat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q4831460,,Ayman Hazza' al-Majali,,Ayman Hazza' al-Majali,Ayman Hazza' al-Majali,male,,Ayman,1949-02-20,,,,Ayman Hazza' al-Majali,,,Ayman Hazza' al-Majali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q4860843,,Barjas al-Hadid,,Barjas al-Hadid,Barjas al-Hadid,male,,,1936,73805250,nr2004018897,,Barjas al-Hadid,,,Barjas al-Hadid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 5010 1038,,,,,,,,,,,,,politician,,,
Q5437137,فتحي أبو طالب,Fat'hi Abu Taleb,فتحي أبو طالب,Fat'hi Abu Taleb,Fat'hi Abu Taleb,male,2016-11-03,,1933,,,Fat'hi Abu Taleb,Fat'hi Abu Taleb,,,Fat'hi Abu Taleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,法特希·阿布·塔勒卜,,,,,,,,,,,,,,,,,,,,,diplomat,,,
Q613191,أنور نسيبة,Anwar Nusseibeh,أنور نسيبة,Anwar Nusseibeh,Anwar Nusseibeh,male,1986-11-24,Anwar,1913,,,Anwar Nusseibeh,Anwar Nusseibeh,,,Anwar Nusseibeh,,,,,,,Anwar Nusseibeh,,,,,אנוואר נוסייבה,,,,,,,Anwar Nusseibeh,,,,,,אנוואר נוסייבה,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/Anwar_Nusseibeh.jpg,/m/02w9rnw,,,,,,,,,,,,Anwar Nusseibeh,,,,,,,,,,,,,,diplomat,,,
Q6356584,,Kamel Arekat,,Kamel Arekat,Kamel Arekat,male,1984-07-17,,1901-03-26,,,Kamel Arekat,Kamel Arekat,,,Kamel Arekat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q6532269,ابراهيم المشوخي,,إبراهيم المشوخي,,,male,,Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q6754063,توفيق كريشان,Tawfiq Kreishan,توفيق كريشان,Tawfiq Kreishan,Tawfiq Kreishan,male,,,1947,,,Tawfiq Kreishan,Tawfiq Kreishan,,,Tawfiq Kreishan,,,,,,,Tawfiq Kreishan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tawfiq Kreishan,,,,,,,,,,,,,,politician,,,
Q6771479,ذوقان الهنداوي,,ذوقان الهنداوي,,,male,2005-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q6819754,عوض خليفات,,عوض خليفات,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q6853456,محمد الداودية,,محمد الداودية,,,male,,Muhammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q6868732,ممدوح العبادي,,ممدوح العبادي,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q6898352,يعقوب زيادين,Yaʿqūb Ziyādin,يعقوب زيادين,Yaʿqūb Ziyādin,Yacoub Zaiadeen,male,2015-03-31,,1922,304940431,,Yaʿqūb Ziyādin,Yaʿqūb Ziyādin,,Yaʿqūb Ziyādin,Yacoub Zaiadeen,,,,,,,Yaʿqūb Ziyādin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0004 1647 4032,,,,,1037447735,,,,,,,,politician,,,
Q7403448,,Salah Suheimat,,Salah Suheimat,Salah Suheimat,male,1966-11-30,Salah,1914,,,Salah Suheimat,Salah Suheimat,Salah Suheimat,,Salah Suheimat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
