id,name__en,name,wikipedia__en,gender,birth_date,identifier__freebase,given_name,identifier__VIAF,identifier__LCAuth,image,identifier__IMDB,family_name,identifier__GND,death_date,name__el,name__fr,name__zh,name__es,name__ru,name__et,name__de,name__pl,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__zh,name__it,name__pt,name__vi,name__fi,name__fa,wikipedia__fa,wikipedia__fi,wikipedia__it,wikipedia__pt,wikipedia__vi,name__ko,name__oc,name__yo,name__ms,name__id,name__ja,name__sh,name__tr,name__ca,name__ilo,name__cy,name__io,name__mr,name__ka,name__ml,name__kk,name__nds,name__vmf,name__en_ca,name__en_gb,name__he,name__pt_br,name__uk,wikipedia__ca,wikipedia__cy,wikipedia__da,wikipedia__he,wikipedia__id,wikipedia__ilo,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__sh,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,identifier__BNF,identifier__SUDOC,wikipedia__commons,original_wikiname,identifier__FAST,wikipedia__ar,name__ar,name__hu,last_seen,name__la,wikipedia__la,occupation,twitter
Q1681050,James Robertson,James Robertson,James Robertson (Jamaican politician),male,1966-06-09,/m/05zl9zx,James,,,,,,,,,James Robertson,,James Robertson,Джеймс Робертсон,,James Robertson,,James Robertson,James Robertson,James Robertson,James Robertson,James Robertson,James Robertson (Politiker),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Robertson (Jamaican politician),,,,James Robertson,,,,politician,
Q17110975,Phillip Paulwell,Phillip Paulwell,Phillip Paulwell,male,1962-01-14,,Phillip,,,,,,,,,Phillip Paulwell,,,,,Phillip Paulwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillip Paulwell,,,,,,,,,
Q17325174,Michael Peart,Michael Peart,Michael Peart,male,1948,,Michael,,,,,,,,,Michael Peart,,,,,Michael Peart,,Michael Peart,,,,,Michael Peart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Peart,,,,,,,,politician,
Q1732780,Karl Samuda,Karl Samuda,Karl Samuda,male,1942-02-08,/m/05zm8p5,Karl,,,,,,,,,Karl Samuda,,Karl Samuda,,,Karl Samuda,,Karl Samuda,Karl Samuda,Karl Samuda,Karl Samuda,Karl Samuda,Karl Samuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karl Samuda,,,,Karl Samuda,,,,politician,
Q1927789,Michael Henry,Michael Henry,Michael Henry (Jamaican politician),male,1935-06,,Michael,,,,,,,,,Michael Henry,,Michael Henry,,,Michael Henry,,Michael Henry,Michael Henry,Michael Henry,Michael Henry,Michael Henry,Michael Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Henry (Jamaican politician),,,,Michael Henry,,,,politician,
Q2023064,Omar Davies,Omar Davies,Omar Davies,male,1947-05-28,/m/0279n6y,Omar,1315218,n80098947,https://upload.wikimedia.org/wikipedia/commons/d/d3/OmarDavies.jpg,,Davies,170430669,,,Omar Davies,,Omar Davies,,,Omar Davies,,Omar Davies,Omar Davies,Omar Davies,Omar Davies,Omar Davies,Omar Davies,,Omar Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omar Davies,,,,Omar Davies,,,,politician,
Q2065916,Pearnel Charles,Pearnel Charles,Pearnel Charles,male,1936,,,91605322,n79150720,,,,,,,Pearnel Charles,,Pearnel Charles,,,Pearnel Charles,,Pearnel Charles,Pearnel Charles,Pearnel Charles,Pearnel Charles,Pearnel Charles,Pearnel Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pearnel Charles,,,,Pearnel Charles,,,,politician,
Q2174584,Rudyard Spencer,Rudyard Spencer,Rudyard Spencer,male,1944-02-03,,Rudyard,,,,,,,,,Rudyard Spencer,,Rudyard Spencer,,,Rudyard Spencer,,Rudyard Spencer,Rudyard Spencer,Rudyard Spencer,Rudyard Spencer,Rudyard Spencer,Rudyard Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rudyard Spencer,,,,Rudyard Spencer,,,,politician,
Q23304549,Fayval Williams,Fayval Williams,Fayval Williams,female,1958-05-28,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Fayval-williams-jamaica.jpg,,,,,,,,,,,,,Fayval Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fayval Williams,,,,,,,,,
Q2852879,Anthony Hylton,Anthony Hylton,Anthony Hylton,male,1957-04-27,,Anthony,,,,,,,,,Anthony Hylton,,,,,Anthony Hylton,,Anthony Hylton,Anthony Hylton,Anthony Hylton,Anthony Hylton,Anthony Hylton,,,,,Anthony Hylton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Hylton,,,,,,,,politician,
Q446817,Lisa Hanna,Lisa Hanna,Lisa Hanna,female,1975-08-27,/m/05kwz_,Lisa,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Lisa_Hanna.jpg,nm0360219,Hanna,,,,Lisa Hanna,,Lisa Hanna,Лиза Ханна,,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,,,,Lisa Hanna,,Lisa Hanna,,,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,لیسا هنا,لیسا هانا,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,,,,,Lisa Hanna,,,,,,,,,,,,,,,,,,,,,,,Lisa Hanna,,,,,,,,,,,,,,,,,,,,Category:Lisa Hanna,Lisa Hanna,,,,,,,,model,
Q505200,Andrew Holness,Andrew Holness,Andrew Holness,male,1972-07-22,/m/05ztpm6,Andrew,,,https://upload.wikimedia.org/wikipedia/commons/8/82/Andrew_Holness.png,nm5238197,,,,Άντριου Χόλνες,Andrew Holness,安德鲁·霍尼斯,Andrew Holness,"Холнесс, Эндрю",Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Άντριου Χόλνες,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,"Холнесс, Эндрю",安德鲁·霍尼斯,Andrew Holness,Andrew Holness,Andrew Holness,,اندرو هولنس,اندرو هولنس,,Andrew Holness,Andrew Holness,Andrew Holness,,,,Andrew Holness,,アンドリュー・ホルネス,,Andrew Holness,,,,,,,,,,,,,אנדרו הולנס,,,,,,אנדרו הולנס,,,,アンドリュー・ホルネス,,,,,,Andrew Holness,,,,,,Andrew Holness,,,,,,Andrew Holness,,أندرو هولنيس,أندرو هولنيس,Andrew Holness,,Andreas Holness,Andreas Holness,politician,andrewholnessjm
Q5264765,Desmond McKenzie,Desmond McKenzie,Desmond McKenzie,male,1952-12-01,,Desmond,,,,,,,,,Desmond McKenzie,,Desmond McKenzie,,,Desmond McKenzie,,Desmond McKenzie,Desmond McKenzie,Desmond McKenzie,Desmond McKenzie,Desmond McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond McKenzie,,,,Desmond McKenzie,,,,politician,
Q5416886,Everald Warmington,Everald Warmington,Everald Warmington,male,1952,,,,,,,,,,,Everald Warmington,,,,,Everald Warmington,,,Everald Warmington,Everald Warmington,Everald Warmington,Everald Warmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Everald Warmington,,,,,,,,,
Q5607062,Gregory Mair,Gregory Mair,Gregory Mair,male,,,Gregory,,,,,,,,,Gregory Mair,,,,,Gregory Mair,,Gregory Mair,Gregory Mair,Gregory Mair,Gregory Mair,Gregory Mair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gregory Mair,,,,,,,,politician,
Q57597,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,female,1945-12-12,/m/0bpvhb,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Portia_Miller_Shoot.Jpeg,,,,,Πόρσια Σίμσον Μίλερ,Portia Simpson-Miller,波蒂亚·辛普森-米勒,Portia Simpson-Miller,"Симпсон-Миллер, Поршия",Portia Simpson-Miller,Portia Simpson Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson Miller,Πόρσια Σίμσον Μίλερ,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,"Симпсон-Миллер, Поршия",波蒂亚·辛普森-米勒,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,پورتیا سیمپسون-میلر,پورتیا سیمپسون-میلر,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,포르티아 심프슨 밀러,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,ポーシャ・シンプソン＝ミラー,Портиа Симсон Милер,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,पोर्टिया सिम्पसन-मिलर,პორტია სიმპსონ-მილერი,പോർഷ്യ സിംസൺ-മില്ലർ,Поршия Симпсон-Миллер,Portia Simpson Miller,Portia Simpson Miller,Portia Simpson-Miller,Portia Simpson-Miller,פורשיה סימפסון-מילר,Portia Simpson-Miller,Поршія Сімпсон-Міллер,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,פורשיה סימפסון-מילר,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,ポーシャ・シンプソン＝ミラー,პორტია სიმპსონ-მილერი,Поршия Симпсон-Миллер,포르티아 심프슨 밀러,പോർഷ്യ സിംസൺ-മില്ലർ,पोर्टिया सिम्पसन-मिलर,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Поршія Сімпсон-Міллер,Portia Simpson-Miller,,,Category:Portia Simpson-Miller,Portia Simpson-Miller,,,,Portia Simpson-Miller,,,,politician,
Q5981773,Ian Hayles,Ian Hayles,Ian Hayles,male,1972,,Ian,,,,,,,,,Ian Hayles,,,,,Ian Hayles,,Ian Hayles,Ian Hayles,Ian Hayles,Ian Hayles,Ian Hayles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ian Hayles,,,,,,,,,
Q6385176,Keith Walford,Keith Walford,Keith Walford,male,,,Keith,,,,,,,,,Keith Walford,,,,,Keith Walford,,,Keith Walford,Keith Walford,Keith Walford,Keith Walford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keith Walford,,,,,,,,,
Q7149573,Paul Buchanan,Paul Buchanan,Paul Buchanan,male,1981-10-23,,Paul,,,,,,,,,Paul Buchanan,,Paul Buchanan,,,Paul Buchanan,,Paul Buchanan,,,,,,,,,,,,,,Paul Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Buchanan,,بول بوكانان,بول بوكانان,,,,,boxer,
Q7176380,Peter Phillips,Peter Phillips,Peter Phillips (Jamaican politician),male,1949-12-28,,Peter,4150901,n93109068,,,,,,,Peter Phillips,,,,,Peter Phillips,,Peter Phillips,Peter Phillips,Peter Phillips,Peter Phillips,Peter Phillips,Peter Phillips (Politiker),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Phillips (Jamaican politician),,,,,,,,,
Q7347755,Robert Montague,Robert Montague,Robert Montague (Jamaican politician),male,1965,,Robert,,,,,,,,,Robert Montague,,,,,Robert Montague,,Robert Montague,Robert Montague,Robert Montague,Robert Montague,Robert Montague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Montague (Jamaican politician),,,,,,,,politician,
Q7461785,Shahine Robinson,Shahine Robinson,Shahine Robinson,female,,,,,,,,,,,,Shahine Robinson,,,,,Shahine Robinson,,,Shahine Robinson,Shahine Robinson,Shahine Robinson,Shahine Robinson,,,,,,,,,,Shahine Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shahine Robinson,,,,,,,,,
Q758950,Audley Shaw,Audley Shaw,Audley Shaw,male,1952-06-13,/m/05zm8dt,,,,https://upload.wikimedia.org/wikipedia/commons/3/33/Audley_Shaw.jpg,,,,,,Audley Shaw,,Audley Shaw,,,Audley Shaw,,Audley Shaw,Audley Shaw,Audley Shaw,Audley Shaw,Audley Shaw,Audley Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audley Shaw,,,,Audley Shaw,,,,politician,
Q8026090,Winston Green,Winston Green,Winston Green,male,,,Winston,,,,,,,,,Winston Green,,,,,Winston Green,,Winston Green,Winston Green,Winston Green,Winston Green,Winston Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winston Green,,,,,,,,dentist,
Q951744,Kenneth Baugh,Kenneth Baugh,Kenneth Baugh,male,1941-02-24,/m/05b3m21,Kenneth,,,https://upload.wikimedia.org/wikipedia/commons/3/38/Kenneth_Baugh_2011.jpg,,,,,,Kenneth Baugh,,Kenneth Baugh,,,Kenneth Baugh,,Kenneth Baugh,Kenneth Baugh,Kenneth Baugh,Kenneth Baugh,Kenneth Baugh,Kenneth Baugh,,,,Kenneth Baugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenneth Baugh,,,,Kenneth Baugh,,,,politician,
