id,name__es,name__en,name,wikipedia__en,wikipedia__es,image,gender,birth_date,given_name,original_wikiname,name__fr,name__nl,name__hu,name__de,name__nb,name__da,name__nn,name__sv,twitter,name__uk,name__gl,name__fa,name__pt,name__zh,wikipedia__de,wikipedia__fa,wikipedia__fr,wikipedia__gl,wikipedia__pt,wikipedia__uk,identifier__freebase,name__it,wikipedia__commons,wikipedia__nl,facebook,name__br,name__ca,name__co,name__cs,name__cy,name__eo,name__et,name__eu,name__fi,name__hr,name__lt,name__lv,name__oc,name__pcd,name__pl,name__ro,name__sk,name__sr_el,name__tr,name__vec,name__vi,name__vls,name__vo,name__wa,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__ru,name__id,name__ja,name__mr,name__ar,name__mg,wikipedia__ar,wikipedia__ca,wikipedia__da,wikipedia__fi,wikipedia__hu,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__lt,wikipedia__mg,wikipedia__mr,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__sv,wikipedia__zh,name__ast,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,name__el,family_name,wikipedia__eswikiquote,wikipedia__eswikisource,identifier__FAST,name__he,wikipedia__cs,wikipedia__eo,wikipedia__he,wikipedia__simple,wikipedia__tr,death_date,name__sw,wikipedia__sw,name__la,wikipedia__la,wikipedia__oc,name__af,name__an,name__bar,name__bs,name__eml,name__fo,name__frr,name__gsw,name__is,name__lb,name__min,name__nds,name__pt_br,name__rm,name__sco,name__sh,name__sl,name__sq,identifier__google_knowledge,name__en_ca,name__en_gb,identifier__ISNI,identifier__SBN_it,website,identifier__NTA,wikipedia__sl,name__be,wikipedia__eu,identifier__BNE,instagram,name__hy,occupation,name__sr_ec,name__bg,name__sr,wikipedia__bg,wikipedia__ptwikiquote,wikipedia__sr,identifier__IMDB,identifier__MusicBrainz,identifier__AlloCine,identifier__Munzinger,identifier__GNC,identifier__moviemeter,identifier__discogs,identifier__allmovie,identifier__SFDb,identifier__elonet,identifier__PORT,identifier__SCOPE,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__filmportal_de,second_surname,identifier__snac,wikipedia__eswikinews,identifier__quora,name__bm,name__de_at,name__de_ch,name__frc,name__frp,name__fur,name__ga,name__gd,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__li,name__lij,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pms,name__prg,name__rgn,name__sc,name__scn,name__vmf,name__wo,name__zu,identifier__bna,identifier__ssrn,identifier__cinenacional,name__gn,wikipedia__sk,identifier__ATP,identifier__ITF,linkedin,identifier__youtube,wikipedia__tg,name__tg,identifier__Britannica,married_name,wikipedia__plwikiquote,identifier__BIBSYS,identifier__NUKAT,identifier__CANTIC,identifier__LNB,identifier__argentine_senate,pseudonym,name__lfn,wikipedia__ast,wikipedia__vi,wikipedia__hy,name__ka,wikipedia__ka,identifier__argentine_deputies,identifier__google_scholar,identifier__ORCID
Q16198916,Fernando Espinoza,Fernando Espinoza,Fernando Espinoza,Fernando Espinoza (politician),Fernando Espinoza (político),https://upload.wikimedia.org/wikipedia/commons/b/ba/Espinoza_en_2018_(cropped).jpg,male,1968-12-30,Fernando,,Fernando Espinoza,Fernando Espinoza,Fernando Espinoza,Fernando Espinoza,,,,,,,Fernando Espinoza,,Fernando Espinoza,,,,,,,,,Fernando Espinoza,Category:Fernando Espinoza,,,,Fernando Espinoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Фернандо Эспиноза,,,,,,,,,,,,,,,,,,,,,,,Fernando Espinoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Espinoza,,,,Fernando Espinoza,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespinoza,,
Q16298697,Patricia de Ferrari Rueda,Patricia de Ferrari,Patricia de Ferrari Rueda,,,,female,1958-05-09,Patricia,,Patricia de Ferrari,,,,,,,,,,Patricia de Ferrari,,,,,,,,,,,Patricia De Ferrari,,,,,Patricia de Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,باتريشيا فيراري,,,,,,,,,,,,,,,,,,,,,,,,,,Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patricia de Ferrari,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16300546,Claudia Ledesma Abdala,Claudia Ledesma Abdala,Claudia Ledesma Abdala,Claudia Ledesma Abdala,Claudia Ledesma Abdala,https://upload.wikimedia.org/wikipedia/commons/5/5e/Claudia_Ledesma_Abdala.jpg,female,1974-09-14,Claudia,,Claudia Ledesma Abdala,Claudia Ledesma Abdala,Claudia Ledesma Abdala,Claudia Ledesma Abdala,,,,,,,,,,,,,,,,,,,Category:Claudia Ledesma Abdala,,,,Claudia Ledesma Abdala,,,,,,,,,,,,,,,,,,,Claudia Ledesma Abdala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudia Ledesma Abdala,,,,,,,Ledesma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudia Ledesma Abdala,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,Claudia Ledesma Abdala,Claudia Ledesma Abdala,,,,cledesma,,
Q16300843,Héctor María Gutiérrez,Héctor María Gutiérrez,Héctor María Gutiérrez,,Héctor María Gutiérrez,,male,1953-04-09,Héctor,Héctor María Gutiérrez,Héctor María Gutiérrez,Héctor María Gutiérrez,Héctor María Gutiérrez,Héctor María Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,Héctor María Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Héctor María Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Héctor María Gutiérrez,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hgutierrez,,
Q16300926,Josefina González,Josefina González,Josefina González,,Josefina González,https://upload.wikimedia.org/wikipedia/commons/5/53/Josefina_Victoria_González.png,female,1976,Josefina,Josefina González,Josefina González,Josefina González,Josefina González,Josefina González,,,,,,,,,,,,,,,,,,,,,,,Josefina González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josefina González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josefina González,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jvgonzalez,,
Q16301672,Mario Negri,Mario Negri,Mario Negri,Mario Negri,Mario Negri,https://upload.wikimedia.org/wikipedia/commons/6/64/Mnegri_medium.jpg,male,1954-02-06,Mario,,Mario Negri,Mario Negri,Mario Negri,Mario Negri,,,,,,,,,,馬里奧·內格里,,,,,,,,Mario Negri,,,,,Mario Negri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ماريو نيجري,,ماريو نيجري,,,,,,,,,,,,,,,,,Mario Negri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Negri,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mnegri,,
Q16301760,Silvia Risko,Silvia Risko,Silvia Risko,,Silvia Risko,https://upload.wikimedia.org/wikipedia/commons/d/dd/Srisko.jpg,female,1966-04-06,Silvia,Silvia Risko,Silvia Risko,Silvia Risko,Silvia Risko,Silvia Risko,,,,,,,,,,,,,,,,,,,,,,,Silvia Risko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silvia Risko,,,,,,,Risko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silvia Risko,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,srisko,,
Q16302129,Federico Sturzenegger,Federico Sturzenegger,Federico Sturzenegger,Federico Sturzenegger,Federico Sturzenegger,https://upload.wikimedia.org/wikipedia/commons/9/99/Federico_Sturzenegger.JPG,male,1966-02-11,Federico,Federico Sturzenegger,Federico Sturzenegger,Federico Sturzenegger,Federico Sturzenegger,Federico Sturzenegger,Federico Sturzenegger,,,,fedesturze,,,,,,Federico Sturzenegger,,Federico Sturzenegger,,,,/m/010qjl5b,Federico Sturzenegger,Category:Federico Sturzenegger,,federico.sturzenegger,,Federico Sturzenegger,,,,,,,,,,,,,,,,,,,,,,,费德里科·施图尔辛格,費德里科·施圖爾辛格,,费德里科·施图尔辛格,,,,,,,,,,,,,,,,Federico Sturzenegger,,,,,,Federico Sturzenegger,,,,,Federico Sturzenegger,10005208,170944190,no92019623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federico Sturzenegger,,,,,0000 0001 0953 4808,,,107210320,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215453,,,,,,,,,,,,,98075507,n2008050309,,,,,,,,,,,,,
Q16566094,Facundo Moyano,Facundo Moyano,Facundo Moyano,,Facundo Moyano,https://upload.wikimedia.org/wikipedia/commons/4/48/Facundo_Moyano_posa_junto_a_dos_niños.jpg,male,1984-12-25,Facundo,,Facundo Moyano,Facundo Moyano,Facundo Moyano,Facundo Moyano,,,,,,,,,,,,,,,,,,,Category:Facundo Moyano,,,,Facundo Moyano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facundo Moyano,,,,,,,Moyano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facundo Moyano,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fmoyano,,
Q16605530,Mauricio Gómez Bull,Mauricio Gómez Bull,Mauricio Gómez Bull,,Mauricio Gómez Bull,https://upload.wikimedia.org/wikipedia/commons/1/19/CFK_sobre_la_construcción_de_represas_en_Sta_Cruz.jpg,male,,Mauricio,Mauricio Gómez Bull,Mauricio Gómez Bull,Mauricio Gómez Bull,Mauricio Gómez Bull,Mauricio Gómez Bull,,,,,,,,,,,,,,,,,,,,,,,Mauricio Gómez Bull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauricio Gómez Bull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauricio Gómez Bull,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mgomezb,,
Q16913151,Sandra Mendoza,Sandra Mendoza,Sandra Mendoza,,Sandra Mendoza,https://upload.wikimedia.org/wikipedia/commons/d/d1/Sandra_Marcela_Mendoza.png,female,1963-04-20,Sandra,Sandra Mendoza,Sandra Mendoza,Sandra Mendoza,Sandra Mendoza,Sandra Mendoza,,,,,,,Sandra Mendoza,,Sandra Mendoza,,,,,,,,,Sandra Mendoza,,,,,Sandra Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сандра Мендоза,,,,,,,,,,,,,,,,,,,,,,,Sandra Mendoza,,,,,,,Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandra Mendoza,,,,Sandra Mendoza,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smendoza,,
Q1710644,Juan Schiaretti,Juan Schiaretti,Juan Schiaretti,Juan Schiaretti,Juan Schiaretti,https://upload.wikimedia.org/wikipedia/commons/e/e7/Juan_Schiaretti_(cropped).jpg,male,1949-06-19,Juan,Juan Schiaretti,Juan Schiaretti,Juan Schiaretti,Juan Schiaretti,Juan Schiaretti,Juan Schiaretti,Juan Schiaretti,Juan Schiaretti,Juan Schiaretti,,,Juan Schiaretti,,Juan Schiaretti,,Juan Schiaretti,,Juan Schiaretti,,,,/m/03g_m9d,Juan Schiaretti,Category:Juan Schiaretti,,,,Juan Schiaretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Schiaretti,,,,,,,,Juan Schiaretti,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Schiaretti,,,,Juan Schiaretti,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
