id,name__nl,name__en,name__es,name__pl,name__fr,name__nb,name__da,name__nn,name__sv,name__de,name__hu,name,wikipedia__en,wikipedia__es,wikipedia__nl,wikipedia__pl,image,gender,identifier__VIAF,birth_date,identifier__freebase,given_name,identifier__FAST,original_wikiname,name__it,name__en_ca,identifier__SUDOC,name__ca,name__cy,wikipedia__ca,death_date,twitter,name__gl,name__pt,family_name,wikipedia__commons,name__eu,name__fi,name__ko,name__fa,name__he,wikipedia__de,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__it,wikipedia__ko,wikipedia__no,wikipedia__pt,website,wikipedia__simple,name__ru,name__nds,name__en_gb,name__sr,name__ms,wikipedia__ms,wikipedia__sr,name__tr,wikipedia__tr,name__zh_hant,name__zh_cn,name__ja,identifier__PACE,occupation,name__ro,facebook,identifier__LCAuth,wikipedia__cs,name__cs,wikipedia__az,name__oc,name__az,identifier__snac,wikipedia__zh_yue,name__yue,name__ar,wikipedia__ar,wikipedia__zh,name__zh,second_surname,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__eo,name__et,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__GND,instagram,name__sl,identifier__ISNI,name__hi,wikipedia__ast,name__es_419,name__ht,name__tl,wikipedia__ht,wikipedia__hu,wikipedia__ru,wikipedia__sco,wikipedia__tl,identifier__allmovie,identifier__AlloCine,identifier__PORT,identifier__kinopoisk,identifier__elonet,identifier__SFDb,identifier__BNF,wikipedia__eswikiquote,wikipedia__sv
Q15241452,Fernando Bribiesca Sahagún,Fernando Bribiesca Sahagún,Fernando Bribiesca,,Fernando Bribiesca,,,,,Fernando Bribiesca Sahagún,Fernando Bribiesca,Fernando Bribiesca,Fernando Bribiesca Sahagún,Fernando Bribiesca Sahagún,,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Dip._FB.PNG,male,,1981-08-16,,Fernando,,Fernando Bribiesca Sahagún,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Bribiesca,,,,,,,,,,,,,,,,,,,,
Q15256243,María Carmen López Segura,María Carmen López Segura,María Carmen López Segura,,María Carmen López Segura,,,,,María Carmen López Segura,María Carmen López Segura,María Carmen López Segura,María Carmen López Segura,María Carmen López Segura,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Carmen_López_Segura.jpg,female,,1946-03-30,,María,,María Carmen López Segura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,María Carmen López Segura,,,,,,,,,,,,,,,,,,,,
Q15279158,Margarita Saldaña Hernández,Margarita Saldaña Hernández,Margarita Saldaña Hernández,,Margarita Saldaña Hernández,,,,,Margarita Saldaña Hernández,Margarita Saldaña Hernández,Margarita Saldaña Hernández,Margarita Saldaña Hernández,Margarita Saldaña Hernández,,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Margarita_Saldana_Hernández.jpg,female,,1964-02-19,,Margarita,,Margarita Saldaña Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margarita Saldaña Hernández,,,,,,,,,,,,,,,,,,,,
Q15303988,Antonio García Conejo,Antonio García Conejo,Antonio García Conejo,,Antonio García Conejo,,,,,Antonio García Conejo,Antonio García Conejo,Antonio García Conejo,Antonio García Conejo,Antonio García Conejo,,,,male,,1971-09-05,,Antonio,,Antonio García Conejo,Antonio García,,,,,,,,,,García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Antonio Qarsiya Konexo,,,,,,أنطونيو غارسيا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio García Conejo,,,,,,,,,,,,,,,,,,,,
Q15379151,Alfredo Zamora García,Alfredo Zamora García,Alfredo Zamora García,,Alfredo Zamora García,,,,,Alfredo Zamora García,Alfredo Zamora García,Alfredo Zamora García,Alfredo Zamora García,,,,,male,,1963-03-28,,Alfredo,,Alfredo Zamora García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfredo Zamora García,,,,,,,,,,,,,,,,,,,,
Q15379157,Elizabeth Yáñez Robles,Elizabeth Yáñez Robles,Elizabeth Yáñez Robles,,Elizabeth Yáñez Robles,,,,,Elizabeth Yáñez Robles,Elizabeth Yáñez Robles,Elizabeth Yáñez Robles,Elizabeth Yáñez Robles,,,,,female,,1945-09-29,,Elizabeth,,Elizabeth Yáñez Robles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elizabeth Yáñez Robles,,,,,,,,,,,,,,,,,,,,
Q15379160,Beatriz Yamamoto Cázarez,Beatriz Yamamoto Cázarez,Beatriz Yamamoto Cázarez,,Beatriz Yamamoto Cázarez,,,,,Beatriz Yamamoto Cázarez,Beatriz Yamamoto Cázarez,Beatriz Yamamoto Cázarez,Beatriz Yamamoto Cázarez,,,,,female,,1950-05-16,,Beatriz,,Beatriz Yamamoto Cázarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beatriz Yamamoto Cázarez,,,,,,,,,,,,,,,,,,,,
Q15379167,Martha Vital,Martha Vital,Martha Vital,,Martha Vital,,,,,Martha Vital,Martha Vital,Martha Vital,Martha Vital,,,,,female,,1963-09-20,,Martha,,Martha Vital,Martha Vital,,,,,,,,,,Vital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martha Vital,,,,,,,,,,,,,,,,,,,,
Q15379174,María Villaseñor Vargas,María Villaseñor Vargas,María Villaseñor Vargas,,María Villaseñor Vargas,,,,,María Villaseñor Vargas,María Villaseñor Vargas,María Villaseñor Vargas,María Villaseñor Vargas,,,,,female,,1960-11-23,,María,,María Villaseñor Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,María Villaseñor Vargas,,,,,,,,,,,,,,,,,,,,
Q15379178,Blanca María Villaseñor,Blanca María Villaseñor,Blanca María Villaseñor,,Blanca María Villaseñor,,,,,Blanca María Villaseñor,Blanca María Villaseñor,Blanca María Villaseñor,Blanca María Villaseñor,,,,,female,,1963-09-28,,Blanca,,Blanca María Villaseñor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Бланка Мария Вильясеньор,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blanca María Villaseñor,,,,,,,,,,,,,,,,,,,,
Q15379189,Jorge Villalobos Seañez,Jorge Villalobos Seañez,Jorge Villalobos Seañez,,Jorge Villalobos Seañez,,,,,Jorge Villalobos Seañez,Jorge Villalobos Seañez,Jorge Villalobos Seañez,Jorge Villalobos Seañez,Jorge Villalobos Seáñez,,,,male,,1978-07-19,,Jorge,,Jorge Villalobos Seañez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Villalobos Seañez,,,,,,,,,,,,,,,,,,,,
Q15379192,Maricela Velázquez Sánchez,Maricela Velázquez Sánchez,Maricela Velázquez Sánchez,,Maricela Velázquez Sánchez,,,,,Maricela Velázquez Sánchez,Maricela Velázquez Sánchez,Maricela Velázquez Sánchez,Maricela Velázquez,Maricela Velázquez Sánchez,,,,female,,1982-10-02,,,,Maricela Velázquez Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maricela Velázquez Sánchez,,,,,,,,,,,,,,,,,,,,
Q15379197,Martín Vásquez Villanueva,Martín Vásquez Villanueva,Martín Vásquez Villanueva,,Martín Vásquez Villanueva,,,,,,Martín Vásquez Villanueva,Martín Vásquez Villanueva,Martín Vásquez Villanueva,,,,,male,,1965-09-07,,Martín,,Martín Vásquez Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martín Vásquez Villanueva,,,,,,,,,,,,,,,,,,,,
Q15379205,Nelly Vargas,Nelly del Carmen Vargas Pérez,Nelly Vargas,,Nelly Vargas,,,,,Nelly Vargas,Nelly Vargas,Nelly Vargas,Nelly Vargas,,,,,female,,1959-08-13,,Nelly,,Nelly Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nelly Vargas,,,,,,,,,,,,,,,,,,,,
Q15379214,Lorenia Valles Sampedro,Lorenia Valles Sampedro,Lorenia Valles Sampedro,,Lorenia Valles Sampedro,,,,,Lorenia Valles Sampedro,Lorenia Valles Sampedro,Lorenia Valles Sampedro,Lorenia Valles Sampedro,,,,,female,,1976-12-18,,,,Lorenia Valles Sampedro,Lorenia Valles Sampedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorenia Valles Sampedro,,,,,,,,,,,,,,,,,,,,
Q15379222,José Luis Valle Magaña,José Luis Valle Magaña,José Luis Valle Magaña,,José Luis Valle Magaña,,,,,José Luis Valle Magaña,José Luis Valle Magaña,José Luis Valle Magaña,José Luis Valle Magaña,,,,,male,,1959-09-26,,José,,José Luis Valle Magaña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Luis Valle Magaña,,,,,,,,,,,,,,,,,,,,
Q15379224,Cinthya Valladares Couoh,Cinthya Valladares Couoh,Cinthya Valladares Couoh,,Cinthya Valladares Couoh,,,,,Cinthya Valladares Couoh,Cinthya Valladares Couoh,Cinthya Valladares Couoh,Cinthya Valladares Couoh,,,,,female,,1981-07-10,,,,Cinthya Valladares Couoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cinthya Valladares Couoh,,,,,,,,,,,,,,,,,,,,
Q15640590,Gilberto Hirata,Gilberto Hirata,Gilberto Hirata Chico,,Gilberto Hirata Chico,,,,,Gilberto Hirata,Gilberto Hirata Chico,Gilberto Hirata Chico,Gilberto Hirata,Gilberto Hirata Chico,,,,male,,1953-01-17,,Gilberto,,Gilberto Hirata,,,,,,,,,,,Hirata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilberto Hirata Chico,,,,,,,,,,,,,,,,,,,,
Q16105991,Raúl Macías Sandoval,Raúl Macías Sandoval,Raúl Macías Sandoval,,Raúl Macías Sandoval,,,,,,,Raúl Macías Sandoval,Raúl Macías Sandoval,,,,,male,,1942-09-22,,Raúl,,Raúl Macías Sandoval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raúl Macías Sandoval,,,,,,,,,,,,,,,,,,,,
Q16106429,Francisco Tomás Rodríguez Montero,Francisco Tomás Rodríguez Montero,Francisco Tomás Rodríguez Montero,,Francisco Tomás Rodríguez Montero,,,,,Francisco Tomás Rodríguez Montero,,Francisco Tomás Rodríguez Montero,Francisco Tomás Rodríguez Montero,,,,,male,,1943-11-05,,Francisco,,Francisco Tomás Rodríguez Montero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Tomás Rodríguez Montero,,,,,,,,,,,,,,,,,,,,
Q16106631,Raúl Santos Galván Villanueva,Raúl Santos Galván Villanueva,Raúl Santos Galván Villanueva,,Raúl Santos Galván Villanueva,,,,,,,Raúl Santos Galván Villanueva,Raúl Santos Galván Villanueva,,,,,male,,1944-12-01,,Raúl,,Raúl Santos Galván Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raúl Santos Galván Villanueva,,,,,,,,,,,,,,,,,,,,
Q16106929,Irma Elizondo Ramírez,Irma Elizondo Ramírez,Irma Elizondo Ramírez,,Irma Elizondo Ramírez,,,,,Irma Elizondo Ramírez,Irma Elizondo Ramírez,Irma Elizondo Ramírez,Irma Elizondo Ramírez,Irma Elizondo Ramírez,,,,female,,1945-11-21,,Irma,,Irma Elizondo Ramírez,,,,,Irma Elizondo Ramírez,,2014-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irma Elizondo Ramírez,,,,,,,,,,,,,,,,,,,,
Q16107392,José Antonio León Mendivil,José Antonio León Mendivil,José Antonio León Mendivil,,José Antonio León Mendivil,,,,,José Antonio León Mendivil,,José Antonio León Mendivil,José Antonio León Mendivil,,,,,male,,1946-04-17,,José,,José Antonio León Mendivil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Antonio León Mendivil,,,,,,,,,,,,,,,,,,,,
Q16107496,Glafiro Salinas Mendiola,Glafiro Salinas Mendiola,Glafiro Salinas Mendiola,,Glafiro Salinas Mendiola,,,,,Glafiro Salinas Mendiola,Glafiro Salinas Mendiola,Glafiro Salinas Mendiola,Glafiro Salinas Mendiola,Glafiro Salinas Mendiola,,,,male,,1946-05-31,,,,Glafiro Salinas Mendiola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glafiro Salinas Mendiola,,,,,,,,,,,,,,,,,,,,
Q16107515,José Soto Martínez,José Soto Martínez,José Soto Martínez,,José Soto Martínez,,,,,José Soto Martínez,,José Soto Martínez,José Soto Martínez,,,,,male,,1946-03-15,,José,,José Soto Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Soto Martínez,,,,,,,,,,,,,,,,,,,,
Q16114032,Víctor Manuel Bautista López,Víctor Manuel Bautista López,Víctor Manuel Bautista López,,Víctor Manuel Bautista López,,,,,Víctor Manuel Bautista López,,Víctor Manuel Bautista López,Víctor Manuel Bautista López,,,,,male,,1947-06-09,,Víctor,,Víctor Manuel Bautista López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,victormanuel.bautistalopez.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Víctor Manuel Bautista López,,,,,,,,,,,,,,,,,,,,
Q16114270,Mario Miguel Carrillo Huerta,Mario Miguel Carrillo Huerta,Mario Miguel Carrillo Huerta,,Mario Miguel Carrillo Huerta,,,,,Mario Miguel Carrillo Huerta,,Mario Miguel Carrillo Huerta,Mario Miguel Carrillo Huerta,,,,,male,,1967-06-04,,Mario,,Mario Miguel Carrillo Huerta,Mario Miguel Carrillo Huerta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Miguel Carrillo Huerta,,,,,,,,,,,,,,,,,,,,
