party,party_id,term,id,sort_name,source,area,area_id,name,image,email
Partido Revolucionario Institucional,PRI,63,2015-106,Hernández Madrid María Gloria,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=106,Hidalgo 7,ocd-division/country:mx/entidad:hidalgo/distrito:7,María Gloria Hernández Madrid,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/001_FOTO_CHICA.jpg,gloria.hernandez@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-107,Gaeta Esparza Hugo Daniel,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=107,Jalisco 1,ocd-division/country:mx/entidad:jalisco/distrito:1,Hugo Daniel Gaeta Esparza,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/138_FOTO_CHICA.jpg,hugo.gaeta@congreso.gob.mx
Partido Verde Ecologista,PVE,63,2015-108,Flores Carranza Evelyng Soraya,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=108,Jalisco 2,ocd-division/country:mx/entidad:jalisco/distrito:2,Evelyng Soraya Flores Carranza,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/244_FOTO_CHICA.jpg,soraya.flores@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-109,Iñiguez Mejía Elías Octavio,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=109,Jalisco 3,ocd-division/country:mx/entidad:jalisco/distrito:3,Elías Octavio Iñiguez Mejía,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/194_FOTO_CHICA.jpg,elias.iniguez@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-11,Nava Mouett Jacqueline,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=11,Baja California 8,ocd-division/country:mx/entidad:baja-california/distrito:8,Jacqueline Nava Mouett,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/181_FOTO_CHICA.jpg,jacqueline.nava@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-110,Guzmán Vázquez Laura Valeria,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=110,Jalisco 4,ocd-division/country:mx/entidad:jalisco/distrito:4,Laura Valeria Guzmán Vázquez,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/132_FOTO_CHICA.jpg,valeria.guzman@congreso.gob.mx
Movimiento Ciudadano,MC,63,2015-111,Munguía González Luis Ernesto,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=111,Jalisco 5,ocd-division/country:mx/entidad:jalisco/distrito:5,Luis Ernesto Munguía González,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/377_FOTO_CHICA.jpg,luis.munguia@congreso.gob.mx
Movimiento Ciudadano,MC,63,2015-112,Flores Gómez Mirza,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=112,Jalisco 6,ocd-division/country:mx/entidad:jalisco/distrito:6,Mirza Flores Gómez,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/361_FOTO_CHICA.jpg,mirza.flores@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-113,Plascencia Pacheco Laura Nereida,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=113,Jalisco 7,ocd-division/country:mx/entidad:jalisco/distrito:7,Laura Nereida Plascencia Pacheco,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/122_FOTO_CHICA.jpg,laura.plascencia@congreso.gob.mx
Movimiento Ciudadano,MC,63,2015-114,Delgadillo García Verónica,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=114,Jalisco 8,ocd-division/country:mx/entidad:jalisco/distrito:8,Verónica Delgadillo García,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/360_FOTO_CHICA.jpg,veronica.delgadillo@congreso.gob.mx
Movimiento Ciudadano,MC,63,2015-115,Ochoa Avalos María Candelaria,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=115,Jalisco 9,ocd-division/country:mx/entidad:jalisco/distrito:9,María Candelaria Ochoa Avalos,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/362_FOTO_CHICA.jpg,maria.ochoa@congreso.gob.mx
Movimiento Ciudadano,MC,63,2015-116,Tamez Guajardo Macedonio Salomón,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=116,Jalisco 10,ocd-division/country:mx/entidad:jalisco/distrito:10,Macedonio Salomón Tamez Guajardo,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/275_FOTO_CHICA.jpg,macedonio.tamez@congreso.gob.mx
Movimiento Ciudadano,MC,63,2015-117,Martínez García Jonadab,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=117,Jalisco 11,ocd-division/country:mx/entidad:jalisco/distrito:11,Jonadab Martínez García,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/382_FOTO_CHICA.jpg,jonadab.martinez@congreso.gob.mx
Movimiento Ciudadano,MC,63,2015-118,Zamora Zamora Salvador,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=118,Jalisco 12,ocd-division/country:mx/entidad:jalisco/distrito:12,Salvador Zamora Zamora,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/365_FOTO_CHICA.jpg,salvador.zamora@congreso.gob.mx
Movimiento Ciudadano,MC,63,2015-119,Ramírez Nachis Rosa Alba,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=119,Jalisco 13,ocd-division/country:mx/entidad:jalisco/distrito:13,Rosa Alba Ramírez Nachis,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/371_FOTO_CHICA.jpg,alba.ramirez@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-12,Paes Martínez Jisela,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=12,Baja California Sur 1,ocd-division/country:mx/entidad:baja-california-sur/distrito:1,Jisela Paes Martínez,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/225_FOTO_CHICA.jpg,jisela.paes@congreso.gob.mx
Movimiento Ciudadano,MC,63,2015-120,Sánchez Orozco Víctor Manuel,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=120,Jalisco 14,ocd-division/country:mx/entidad:jalisco/distrito:14,Víctor Manuel Sánchez Orozco,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/381_FOTO_CHICA.jpg,victormanuel.sanchez@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-121,Bañales Arambula Ramón,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=121,Jalisco 15,ocd-division/country:mx/entidad:jalisco/distrito:15,Ramón Bañales Arambula,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/121_FOTO_CHICA.jpg,ramon.banales@congreso.gob.mx
Movimiento Ciudadano,MC,63,2015-122,Ralis Cumplido Germán Ernesto,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=122,Jalisco 16,ocd-division/country:mx/entidad:jalisco/distrito:16,Germán Ernesto Ralis Cumplido,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/380_FOTO_CHICA.jpg,german.ralis@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-123,Covarrubias Anaya Martha Lorena,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=123,Jalisco 17,ocd-division/country:mx/entidad:jalisco/distrito:17,Martha Lorena Covarrubias Anaya,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/131_FOTO_CHICA.jpg,martha.covarrubias@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-124,Zúñiga Mendoza J. Jesús,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=124,Jalisco 18,ocd-division/country:mx/entidad:jalisco/distrito:18,J. Jesús Zúñiga Mendoza,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/060_FOTO_CHICA.jpg,jjesus.zuniga@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-125,Orozco Sánchez Aldana José Luis,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=125,Jalisco 19,ocd-division/country:mx/entidad:jalisco/distrito:19,José Luis Orozco Sánchez Aldana,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/133_FOTO_CHICA.jpg,jose.orozco@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-126,Castillo Martínez Edgar,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=126,México 1,ocd-division/country:mx/entidad:méxico/distrito:1,Edgar Castillo Martínez,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/030_FOTO_CHICA.jpg,edgar.castillo@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-127,Domínguez Rex Raúl,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=127,México 2,ocd-division/country:mx/entidad:méxico/distrito:2,Raúl Domínguez Rex,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/020_FOTO_CHICA.jpg,raul.dominguez@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-128,Almanza Monroy Fidel,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=128,México 3,ocd-division/country:mx/entidad:méxico/distrito:3,Fidel Almanza Monroy,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/033_FOTO_CHICA.jpg,fidel.almanza@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-129,Sobreyra Santos María Monserrath,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=129,México 4,ocd-division/country:mx/entidad:méxico/distrito:4,María Monserrath Sobreyra Santos,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/026_FOTO_CHICA.jpg,maria.sobreyra@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-13,Ibarra Montoya Víctor Ernesto,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=13,Baja California Sur 2,ocd-division/country:mx/entidad:baja-california-sur/distrito:2,Víctor Ernesto Ibarra Montoya,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/174_FOTO_CHICA.jpg,victor.ibarra@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-130,Sánchez Coronel Cristina,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=130,México 5,ocd-division/country:mx/entidad:méxico/distrito:5,Cristina Sánchez Coronel,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/044_FOTO_CHICA.jpg,cristina.sanchez@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-131,Sánchez Isidoro David,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=131,México 6,ocd-division/country:mx/entidad:méxico/distrito:6,David Sánchez Isidoro,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/014_FOTO_CHICA.jpg,dsanchez.isidoro@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-132,Rojas San Román Francisco Lauro,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=132,México 7,ocd-division/country:mx/entidad:méxico/distrito:7,Francisco Lauro Rojas San Román,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/116_FOTO_CHICA.jpg,francisco.rojas@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-133,Méndez Hernández Sandra,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=133,México 8,ocd-division/country:mx/entidad:méxico/distrito:8,Sandra Méndez Hernández,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/039_FOTO_CHICA.jpg,sandra.mendez@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-134,Real Salinas Dora Elena,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=134,México 9,ocd-division/country:mx/entidad:méxico/distrito:9,Dora Elena Real Salinas,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/021_FOTO_CHICA.jpg,dora.real@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-135,Gutiérrez Ramírez Virginia Nallely,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=135,México 10,ocd-division/country:mx/entidad:méxico/distrito:10,Virginia Nallely Gutiérrez Ramírez,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/004_FOTO_CHICA.jpg,virginia.gutierrez@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-136,Bedolla López Pablo,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=136,México 11,ocd-division/country:mx/entidad:méxico/distrito:11,Pablo Bedolla López,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/025_FOTO_CHICA.jpg,pablo.bedolla@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-137,Serrano Hernández Maricela,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=137,México 12,ocd-division/country:mx/entidad:méxico/distrito:12,Maricela Serrano Hernández,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/022_FOTO_CHICA.jpg,maricela.serrano@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-138,Torres Huitrón José Alfredo,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=138,México 13,ocd-division/country:mx/entidad:méxico/distrito:13,José Alfredo Torres Huitrón,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/019_FOTO_CHICA.jpg,jose.torresh@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-139,Schemelensky Castro Ingrid Krasopani,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=139,México 14,ocd-division/country:mx/entidad:méxico/distrito:14,Ingrid Krasopani Schemelensky Castro,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/184_FOTO_CHICA.jpg,ingrid.schemelensky@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-14,Sulub Caamal Miguel Ángel,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=14,Campeche 1,ocd-division/country:mx/entidad:campeche/distrito:1,Miguel Ángel Sulub Caamal,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/049_FOTO_CHICA.jpg,miguel.sulub@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-140,Cortés Lugo Román Francisco,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=140,México 15,ocd-division/country:mx/entidad:méxico/distrito:15,Román Francisco Cortés Lugo,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/203_FOTO_CHICA.jpg,roman.cortes@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-141,Maya Pineda María Isabel,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=141,México 16,ocd-division/country:mx/entidad:méxico/distrito:16,María Isabel Maya Pineda,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/047_FOTO_CHICA.jpg,maria.maya@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-142,Vázquez Guerrero Luis Felipe,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=142,México 17,ocd-division/country:mx/entidad:méxico/distrito:17,Luis Felipe Vázquez Guerrero,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/009_FOTO_CHICA.jpg,luis.vazquez@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-144,Basáñez García Pablo,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=144,México 19,ocd-division/country:mx/entidad:méxico/distrito:19,Pablo Basáñez García,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/013_FOTO_CHICA.jpg,pablo.basanez@congreso.gob.mx
Partido de la Revolución Democrática,PRD,63,2015-145,Santiago López José,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=145,México 20,ocd-division/country:mx/entidad:méxico/distrito:20,José Santiago López,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/213_FOTO_CHICA.jpg,jose.santiago@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-146,Marrón Agustín Luis Gilberto,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=146,México 21,ocd-division/country:mx/entidad:méxico/distrito:21,Luis Gilberto Marrón Agustín,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/210_FOTO_CHICA.jpg,luis.marron@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-147,Moya Marín Angélica,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=147,México 22,ocd-division/country:mx/entidad:méxico/distrito:22,Angélica Moya Marín,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/183_FOTO_CHICA.jpg,angelica.moya@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-148,Pichardo Lechuga José Ignacio,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=148,México 23,ocd-division/country:mx/entidad:méxico/distrito:23,José Ignacio Pichardo Lechuga,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/051_FOTO_CHICA.jpg,ignacio.pichardo@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-15,Matesanz Santamaría Rocío,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=15,Campeche 2,ocd-division/country:mx/entidad:campeche/distrito:2,Rocío Matesanz Santamaría,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/230_FOTO_CHICA.jpg,rocio.matesanz@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-150,García Carreón Telésforo,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=150,México 25,ocd-division/country:mx/entidad:méxico/distrito:25,Telésforo García Carreón,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/034_FOTO_CHICA.jpg,telesforo.garcia@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-151,Barrientos Cano Laura Mitzi,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=151,México 26,ocd-division/country:mx/entidad:méxico/distrito:26,Laura Mitzi Barrientos Cano,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/023_FOTO_CHICA.jpg,laura.barrientos@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-152,Monroy Del Mazo Carolina,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=152,México 27,ocd-division/country:mx/entidad:méxico/distrito:27,Carolina Monroy Del Mazo,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/310_FOTO_CHICA.jpg,carolina.monroy@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-153,Díaz Montoya Rocío,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=153,México 28,ocd-division/country:mx/entidad:méxico/distrito:28,Rocío Díaz Montoya,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/012_FOTO_CHICA.jpg,rocio.diaz@congreso.gob.mx
Partido de la Revolución Democrática,PRD,63,2015-154,Catalán Padilla Olga,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=154,México 29,ocd-division/country:mx/entidad:méxico/distrito:29,Olga Catalán Padilla,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/228_FOTO_CHICA.jpg,olga.catalan@congreso.gob.mx
Partido de la Revolución Democrática,PRD,63,2015-155,García Calderón David Gerson,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=155,México 30,ocd-division/country:mx/entidad:méxico/distrito:30,David Gerson García Calderón,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/232_FOTO_CHICA.jpg,david.garcia@congreso.gob.mx
Partido de la Revolución Democrática,PRD,63,2015-156,Soto Espino Armando,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=156,México 31,ocd-division/country:mx/entidad:méxico/distrito:31,Armando Soto Espino,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/190_FOTO_CHICA.jpg,armando.soto@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-157,Luna Munguía Alma Lilia,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=157,México 32,ocd-division/country:mx/entidad:méxico/distrito:32,Alma Lilia Luna Munguía,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/038_FOTO_CHICA.jpg,alma.luna@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-158,Osorno Belmont Susana,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=158,México 33,ocd-division/country:mx/entidad:méxico/distrito:33,Susana Osorno Belmont,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/024_FOTO_CHICA.jpg,susana.osorno@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-159,González Calderón Martha Hilda,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=159,México 34,ocd-division/country:mx/entidad:méxico/distrito:34,Martha Hilda González Calderón,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/090_FOTO_CHICA.jpg,martha.gonzalez@congreso.gob.mx
Partido Verde Ecologista,PVE,63,2015-16,Guirao Aguilar Leonardo Rafael,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=16,Chiapas 1,ocd-division/country:mx/entidad:chiapas/distrito:1,Leonardo Rafael Guirao Aguilar,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/251_FOTO_CHICA.jpg,leonardo.guirao@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-160,Leyva García Leydi Fabiola,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=160,México 35,ocd-division/country:mx/entidad:méxico/distrito:35,Leydi Fabiola Leyva García,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/018_FOTO_CHICA.jpg,leydi.leyva@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-161,Bernal Casique Iveth,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=161,México 36,ocd-division/country:mx/entidad:méxico/distrito:36,Iveth Bernal Casique,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/048_FOTO_CHICA.jpg,iveth.bernal@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-162,Casillas Zanatta Gabriel,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=162,México 37,ocd-division/country:mx/entidad:méxico/distrito:37,Gabriel Casillas Zanatta,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/100_FOTO_CHICA.jpg,gabriel.casillas@congreso.gob.mx
