id,position,label,description,start_date,election,constituency,term,end_date,replaced_by,replaces
Q24643928,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q24643928,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 10,,,,
Q247348,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q25688004,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q25688004,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-21,"Maltese general election, 2017",District 7,,,,
Q27663240,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 12,,,,
Q2980429,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q2980429,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 6,,,,
Q37860840,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 6,,,,
Q37860847,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 2,,,,
Q37860971,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 8,,,,
Q37860981,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 11,,,,
Q37860993,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-21,"Maltese general election, 2017",District 10,,,,
Q37861005,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-20,"Maltese general election, 2017",District 12,,,,
Q37861023,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-21,"Maltese general election, 2017",District 11,,,,
Q37861035,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 5,,,,
Q37861044,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 4,,,,
Q37861054,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 13,,,,
Q37861067,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 13,,,,
Q37861077,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-20,"Maltese general election, 2017",District 6,,,,
Q37861089,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 1,,,,
Q37861103,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 7,,,,
Q37861118,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 9,,,,
Q37861132,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-21,"Maltese general election, 2017",District 11,,,,
Q37861149,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 12,,,,
Q37861149,Q54935312,Minister for Family and Social Solidarity,Malta,2014-03-29,,,,2017-06-09,Michael Falzon,Marie Louise Coleiro Preca
Q37861149,Q54935371,Minister for Home Affairs and National Security,Malta,2017-06-09,,,,,,Carmelo Abela
Q37861162,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 5,,,,
Q37861176,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 10,,,,
Q37861189,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 1,,,,
Q37861203,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-20,"Maltese general election, 2017",District 4,,,,
Q37861219,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 9,,,,
Q37861230,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 3,,,,
Q37861244,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 1,,,,
Q37861255,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 11,,,,
Q37861267,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 9,,,,
Q37861279,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 13,,,,
Q37861292,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 5,,,,
Q37861307,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 2,,,,
Q37861319,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-21,"Maltese general election, 2017",District 13,,,,
Q37861332,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 11,,,,
Q37861343,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-20,"Maltese general election, 2017",District 8,,,,
Q37861353,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-20,"Maltese general election, 2017",District 5,,,,
Q38220741,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 7,,,,
Q39079256,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q440207,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 12,,,,
Q441784,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q441784,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-05-01,,Malta,Fifth European Parliament,2004-07-19,,
Q441784,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 1,,,,
Q4661996,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 1,,,,
Q47537506,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q5043368,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q5043368,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 3,,,,
Q5080619,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q524961,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q5373281,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-20,"Maltese general election, 2017",District 9,,,,
Q5373281,Q54935371,Minister for Home Affairs and National Security,Malta,2013-03-10,,,,2014-12-09,Carmelo Abela,
Q5416069,Q19367406,Member of the House of Representatives of Malta,"",1992-04-04,,,,"",,
Q5416069,Q30107297,Minister for Education and Employment,minister for education and employment of Malta,2013-03-13,,,,"",,
Q5416069,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 10,,,,
Q5497307,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q5497307,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 13,,,,
Q56883641,Q37857097,member of the 13th House of Representatives of Malta,"",2017-10-03,,,13th Parliament,2017-10-03,Adrian Delia,
Q57817991,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q6209462,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q632408,Q19367406,Member of the House of Representatives of Malta,"",2013-03-13,,,12th Parliament,2015-11-03,,
Q6830205,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q6830205,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 10,,,,
Q6830673,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q7341603,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q7341603,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 9,,,,
Q8079637,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q938224,Q152814,Prime Minister of Malta,position,2013-03-09,,,,,,Lawrence Gonzi
Q938224,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q938224,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-07-20,European Parliament election in 2004,Malta,Sixth European Parliament,2008-09-30,,
Q938224,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 2,,,,
