id,name__ar,name__en,name,wikipedia__ar,gender,original_wikiname,death_date,given_name,name__de,name__fr,wikipedia__en,occupation,birth_date,name__cs,name__es,name__hu,name__he,wikipedia__cs,name__nl,name__it,name__tr,wikipedia__tr,wikipedia__commons,image,name__el,name__en_ca,name__en_gb,name__ko,wikipedia__el,wikipedia__ko,wikipedia__de,wikipedia__fr,identifier__freebase,name__ja,wikipedia__fawikiquote,identifier__VIAF,identifier__BNF,identifier__SUDOC,name__zh,identifier__ISNI,wikipedia__fa,identifier__Britannica,name__fa
Q20399134,شبيب بن تيمور,Shabib bin Taimur,Shabib bin Taimur,شبيب بن تيمور,male,شبيب بن تيمور,,,,,,civil servant,1943-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23940101,,Hilal Al Sarmi,Hilal Al Sarmi,,male,Hilal Al Sarmi,,,,,Hilal Al Sarmi,politician,1978-02-15,,,,,,Hilal Al Sarmi,,,,,,,,,,,,,,,,,,,,,,,,
Q25450203,سالم مبارك المعشني,Salem Mubarak Mashani,Salem Mubarak Mashani,سالم مبارك المعشني,male,سالم مبارك المعشني,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28701101,رحيلة الريامي,Rahila Al Riyami,Rahila Al Riyami,رحيلة الريامي,female,رحيلة الريامي,2017-02-05,,,Rahila Al Riyami,Rahila Al Riyami,politician,,,,,,,Rahila Al Riyami,,Rahila Al Riyami,Rahila Al Riyami,,,,,,,,,,,,,,,,,拉希拉·雷亞密,,,,
Q29512807,صالح بن عيسى الحارثي,,صالح بن عيسى الحارثي,صالح بن عيسى الحارثي,male,صالح بن عيسى الحارثي,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q43257197,عائشة بنت خلفان بن جميل,Aisha bint Khalfan bin Jameel,Aisha bint Khalfan bin Jameel,عائشة بنت خلفان بن جميل,female,Aisha bint Khalfan bin Jameel,,,,,Aisha bint Khalfan bin Jameel,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q43287478,,Madeeha bint Ahmed bin Nassir al Shibaniyah,Madeeha bint Ahmed bin Nassir al Shibaniyah,,female,Madeeha bint Ahmed bin Nassir al Shibaniyah,,,,,Madeeha bint Ahmed bin Nassir al Shibaniyah,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4665951,,Abdullah Al Saidi,Abdullah Al Saidi,,male,Abdullah Al Saidi,,Abdullah,Abdullah Al Saidi,,Abdullah Al Saidi,politician,,,,,,,Abdullah Al Saidi,Abdullah Al Saidi,,,,,,,,,,,,,,,,,,,,,,,
Q5304567,,Dr Yahya Al Khusaibi,Dr Yahya Al Khusaibi,,male,Yahya Al Khusaibi,,,Dr Yahya Al Khusaibi,,Yahya Al Khusaibi,politician,,,,,,,Dr Yahya Al Khusaibi,,,,,,,,,,,,,,,,,,,,,,,,
Q5429529,فهد بن محمود آل سعيد,Fahd bin Mahmoud al Said,Fahd bin Mahmoud al Said,فهد بن محمود آل سعيد,male,فهد بن محمود آل سعيد,,,Fahd bin Mahmoud al Said,Fahd bin Mahmoud al Said,Fahd bin Mahmoud al Said,politician,1926,,,,,,Fahd bin Mahmoud al Said,,Fahad bin Mahmud El Seyd,Fahd bin Mahmud,Category:Sayyid Fahd bin Mahmoud al Said,,Φαχντ μπιν Μαχμούντ Αλ Σαΐντ,Fahd bin Mahmoud al Said,Fahd bin Mahmoud al Said,파드 빈 마무드 알사이드,Φαχντ μπιν Μαχμούντ Αλ Σαΐντ,파드 빈 마무드 알사이드,,,,,,,,,,,,,
Q58267,يوسف بن علوي,Yusuf bin Alawi bin Abdullah,Yusuf bin Alawi bin Abdullah,يوسف بن علوي,male,يوسف بن علوي,,Yusuf,Youssef bin Alawi bin Abdullah,Youssef al-Alawi Abdullah,Yusuf bin Alawi bin Abdullah,diplomat,1945,Jusúf bin Alawi bin Abduláh,Yusuf bin Alawi bin Abdullah,,,Jusúf bin Alawi bin Abduláh,Yusuf bin Alawi bin Abdullah,,,,Category:Yusuf bin Alawi bin Abdullah,"https://upload.wikimedia.org/wikipedia/commons/7/72/Minister_Responsible_for_Foreign_Affairs,_Sultanate_of_Oman_(8657089041)_(cropped).jpg",,,,,,,Youssef bin Alawi bin Abdullah,Youssef al-Alawi Abdullah,/m/04jjjyc,ユースフ・ビン・アラウィ・ビン・アブドゥッラー,یوسف بن علوی,,,,,,یوسف بن علوی,,یوسف بن علوی
Q59268429,,Ali bin Masoud al Sunaidy,Ali bin Masoud al Sunaidy,,,Ali bin Masoud al Sunaidy,,,,,Ali bin Masoud al Sunaidy,civil servant,,,,,,,Ali bin Masoud al Sunaidy,,,,,,,,,,,,,,,,,,,,,,,,
Q59306348,,Sayyid Khalid bin Hilal al Busaidi,Sayyid Khalid bin Hilal al Busaidi,,,Khalid bin Hilal al Busaidi,,,,,Khalid bin Hilal al Busaidi,politician,,,,,,,Sayyid Khalid bin Hilal al Busaidi,,,,,,,,,,,,,,,,,,,,,,,,
Q59660242,,Asa'ad bin Tariq bin Taimur al Said,Asa'ad bin Tariq bin Taimur al Said,,,Asa'ad bin Tariq bin Taimur al Said,,,,,Asa'ad bin Tariq bin Taimur al Said,politician,,,,,,,Asa'ad bin Tariq bin Taimur al Said,,,,,,,,,,,,,,,,,,,,,,,,
Q59660254,,Sultan bin Mohammed al Nu'amani,Sultan bin Mohammed al Nu'amani,,,Sultan bin Mohammed al Nu'amani,,,,,Sultan bin Mohammed al Nu'amani,civil servant,,,,,,,Sultan bin Mohammed al Nu'amani,,,,,,,,,,,,,,,,,,,,,,,,
Q59660255,,Sayyid Hamoud bin Faisal al Busaidi,Sayyid Hamoud bin Faisal al Busaidi,,,Sayyid Hamoud bin Faisal al Busaidi,,,,,Sayyid Hamoud bin Faisal al Busaidi,civil servant,,,,,,,Sayyid Hamoud bin Faisal al Busaidi,,,,,,,,,,,,,,,,,,,,,,,,
Q59660260,,Khalid bin Omar bin Said al Marhoon,Khalid bin Omar bin Said al Marhoon,,,Khalid bin Omar bin Said al Marhoon,,,,,Khalid bin Omar bin Said al Marhoon,civil servant,,,,,,,Khalid bin Omar bin Said al Marhoon,,,,,,,,,,,,,,,,,,,,,,,,
Q6542278,أحمد بن محمد بن عبد العزيز الرواس,,أحمد بن محمد بن عبد العزيز الرواس,أحمد بن محمد بن عبد العزيز الرواس,male,أحمد بن محمد بن عبد العزيز الرواس,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6743014,,Malek Bin Sulaiman Al Ma'amari,Malek Bin Sulaiman Al Ma'amari,,male,Malek Bin Sulaiman Al Ma'amari,,Malek,Malek Bin Sulaiman Al Ma'amari,,Malek Bin Sulaiman Al Ma'amari,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6819966,عيسى بن صالح الطائي,,عيسى بن صالح الطائي,عيسى بن صالح الطائي,male,عيسى بن صالح الطائي,1943,,,,,politician,1888,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Sheikh_Essa_Attaei.jpg,,,,,,,,,,,,314853922,16945776r,191643823,,0000 0004 4472 1301,,,
Q6892926,محمد بن حمد الرمحي,Mohammed Al Rumhi,Mohammed Al Rumhi,محمد بن حمد الرمحي,male,محمد بن حمد الرمحي,,Mohammed,Mohammed Al Rumhi,Mohammed Al Rumhi,Mohammed Al Rumhi,civil servant,1960-05-20,,,,,,,Mohammed Al Rumhi,,,,,,,,,,,,Mohammed Al Rumhi,,,,,,,,,,,
Q6908519,,Moosa AbdulRahman Hassan,Moosa AbdulRahman Hassan,,male,Moosa AbdulRahman Hassan,1987-04-21,,Moosa AbdulRahman Hassan,Moosa AbdulRahman Hassan,Moosa AbdulRahman Hassan,politician,1902,,Moosa AbdulRahman Hassan,,,,,Moosa AbdulRahman Hassan,,,,,,,,,,,,,,,,,,,,,,,
Q7265864,,Qais Bin Abdul Munim Al Zawawi,Qais Bin Abdul Munim Al Zawawi,,male,Qais Bin Abdul Munim Al Zawawi,1995-09-11,,Qais Bin Abdul Munim Al Zawawi,Qais Bin Abdul Munim Al Zawawi,Qais Bin Abdul Munim Al Zawawi,diplomat,1935-08-27,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Qais_Bin_Abdul_Munim_Al_Zawawi.jpg,,,,,,,,,,,,,,,,,,biography/Qais-ibn-Abd-al-Munim-az-Zawawi,
Q7297086,راوية البوسعيدية,Rawya Saud Al Busaidi,Rawya Saud Al Busaidi,راوية البوسعيدية,female,راوية البوسعيدية,,,Rawya Saud Al Busaidi,,Rawya Saud Al Busaidi,politician,,Ravíja Saúd al-Busaidi,Rawya Saud Al Busaidi,Rawya Saud Al Busaidi,ראוויה סעוד אל-בוסעידי,Ravíja Saúd al-Busaidi,,,,,,,,,,,,,,,,,,,,,,,,,
Q7429363,,Sayyid Badr bin Hamad bin Hamood AlBusaidi,Sayyid Badr bin Hamad bin Hamood AlBusaidi,,male,Sayyid Badr bin Hamad bin Hamood AlBusaidi,,,Sayyid Badr bin Hamad bin Hamood AlBusaidi,Sayyid Badr bin Hamad bin Hamood AlBusaidi,Sayyid Badr bin Hamad bin Hamood AlBusaidi,diplomat,1960-05-30,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/11/UK-Oman_Joint_Working_Group_(10154028623).jpg,,,,,,,,,,,,,,,,,,,
Q7429365,,Sayyid Badr bin Saud al Busaidi,Sayyid Badr bin Saud al Busaidi,,female,Badr bin Saud al Busaidi,,,Sayyid Badr bin Saud al Busaidi,,Badr bin Saud al Busaidi,politician,,,,,,,,,,,Category:Sayyid Badr bin Saud al Busaidi,https://upload.wikimedia.org/wikipedia/commons/e/ef/Sayyid_Badr_bin_Saud_al_Busaidi_080405-F-6655M-031_0ZIW3.jpg,,,,,,,,,,,,,,,,,,,
