id,name__en,name__de,name,wikipedia__en,image,gender,given_name,name__es,name__fr,birth_date,name__nl,name__it,name__ru,name__pt,name__ar,wikipedia__ar,wikipedia__de,wikipedia__fr,wikipedia__nl,wikipedia__pt,wikipedia__ru,identifier__freebase,identifier__IIAF,website,death_date,name__cy,original_wikiname,name__sw,name__ht,name__pl,name__nb,name__en_gb,wikipedia__enwikiquote,wikipedia__es,wikipedia__ht,wikipedia__no,wikipedia__pl,wikipedia__sw,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,identifier__MGP,name__zh_hans,name__zh_hant,name__zh_hk,name__sv,name__zh,wikipedia__commons,wikipedia__sv,wikipedia__zh,name__da,name__nn,name__vec,name__so,name__he,name__be,name__ko,name__oc,name__yo,name__hu,name__gl,name__et,name__id,name__ja,name__br,name__vi,name__rw,name__el,name__am,name__bcl,name__tr,name__th,name__ro,name__ca,name__fi,name__uk,name__sl,name__cs,name__bg,name__io,name__mr,name__ka,name__nds,name__pt_br,name__fa,name__sco,wikipedia__am,wikipedia__bcl,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__mr,wikipedia__nds,wikipedia__oc,wikipedia__plwikiquote,wikipedia__ro,wikipedia__rw,wikipedia__sco,wikipedia__simple,wikipedia__sl,wikipedia__so,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vec,wikipedia__vi,wikipedia__yo,identifier__GND,identifier__NNDB,identifier__Munzinger,identifier__FAST,name__en_ca,name__vmf,last_seen,wikipedia__ml,name__ml,occupation,identifier__snac,wikipedia__cawikiquote,wikipedia__pa,name__pa,identifier__Britannica,wikipedia__ig,name__ig,name__bn,name__de_ch,name__eo,name__la,name__lb,name__ms,name__sr,name__hi,name__ur,name__mk,name__ie,name__sh,name__xmf,wikipedia__bn,wikipedia__eo,wikipedia__hi,wikipedia__ie,wikipedia__la,wikipedia__lb,wikipedia__ms,wikipedia__ruwikinews,wikipedia__sh,wikipedia__sr,wikipedia__ur,wikipedia__xmf,identifier__IMDB,identifier__quora,name__eu,identifier__ISNI,twitter,electoral_district,identifier__GTAA,identifier__ne_se,identifier__BIBSYS,identifier__NTA,name__bo,name__qu,name__bs,name__ta,name__ia,name__pnb,name__is,name__be_tarask,name__hr,name__kk,name__nan,name__lv,name__sc,name__sk,name__ku,name__jv,name__te,name__ga,name__ne,name__my,name__mai,name__ast,name__ace,wikipedia__ast,wikipedia__be_x_old,wikipedia__bo,wikipedia__bs,wikipedia__cswikiquote,wikipedia__cy,wikipedia__dewikiquote,wikipedia__eswikiquote,wikipedia__eu,wikipedia__fawikiquote,wikipedia__ga,wikipedia__hr,wikipedia__ia,wikipedia__is,wikipedia__jv,wikipedia__kk,wikipedia__ku,wikipedia__lv,wikipedia__mai,wikipedia__my,wikipedia__ne,wikipedia__nn,wikipedia__pnb,wikipedia__qu,wikipedia__sc,wikipedia__sk,wikipedia__svwikiquote,wikipedia__ta,wikipedia__tawikiquote,wikipedia__te,wikipedia__zh_min_nan,identifier__NDL,identifier__BNF,identifier__NLI,identifier__BNE,identifier__OLID,identifier__nobel_prize,identifier__GNC,identifier__SELIBR,name__hy,identifier__wikitree,identifier__politifact,facebook,name__de_at,wikipedia__itwikiquote,identifier__NUKAT,identifier__TED,identifier__ioc_athlete,honorific_prefix,identifier__google_knowledge,pseudonym,identifier__bigenc_ru,name__ba,wikipedia__ba,wikipedia__din,wikipedia__an,wikipedia__sd,family_name,wikipedia__hy,name__sd,name__an,name__din,name__fy,name__sq,wikipedia__fy,wikipedia__sq,wikipedia__tl,name__tl,identifier__NKC
Q16152027,Wakoli Bifwoli,Wakoli Bifwoli,Wakoli Bifwoli,Wakoli Bifwoli,,male,,Wakoli Bifwoli,Wakoli Bifwoli,1952,Wakoli Bifwoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wakoli Bifwoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wakoli Bifwoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16187229,Justin Muturi,Justin Muturi,Justin Muturi,Justin Muturi,,male,Justin,Justin Muturi,Justin Muturi,1956-04-28,Justin Muturi,,,,,,,Justin Muturi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャスティン・ムトゥリ,,,,,,,,,,,,,Justin Muturi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Justin Muturi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16192784,Mutahi Kagwe,Mutahi Kagwe,Mutahi Kagwe,Mutahi Kagwe,,male,,Mutahi Kagwe,Mutahi Kagwe,1958,Mutahi Kagwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mutahi Kagwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mutahi Kagwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16194232,Humphrey Kimani Njuguna,Humphrey Kimani Njuguna,Humphrey Kimani Njuguna,Humphrey Kimani Njuguna,,male,Humphrey,Humphrey Kimani Njuguna,Humphrey Kimani Njuguna,1961-07-17,Humphrey Kimani Njuguna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humphrey Kimani Njuguna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humphrey Kimani Njuguna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16194826,Irshadali Sumra,Irshadali Sumra,Irshadali Sumra,Irshadali Sumra,,male,,Irshadali Sumra,Irshadali Sumra,1962-12-09,Irshadali Sumra,Irshadali Sumra,,,,,,,,,,/m/0t_cyq9,,http://www.sumraforchange.com,,,Irshadali Sumra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irshadali Sumra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irshadali Sumra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16213140,Godhana Dhadho Gaddae,Godhana Dhadho Gaddae,Godhana Dhadho Gaddae,Godhana Dhadho Gaddae,,male,,Godhana Dhadho Gaddae,Godhana Dhadho Gaddae,,Godhana Dhadho Gaddae,Godhana Dhadho Gaddae,,,,,,,,,,,,,,,Godhana Dhadho Gaddae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Godhana Dhadho Gaddae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Godhana Dhadho Gaddae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16214164,Sabina Wanjiru Chege,Sabina Wanjiru Chege,Sabina Wanjiru Chege,Sabina Wanjiru Chege,,female,Sabina,Sabina Wanjiru Chege,Sabina Wanjiru Chege,1972,Sabina Wanjiru Chege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabina Wanjiru Chege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabina Wanjiru Chege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Honourable,,,,,,,,,,,,,,,,,,,,
Q16226678,Benson Mbai Itwiku,Benson Mbai Itwiku,Benson Mbai Itwiku,Benson Mbai Itwiku,,male,,Benson Mbai Itwiku,Benson Mbai Itwiku,,Benson Mbai Itwiku,,,,,,,,,,,,,,,,Benson Mbai Itwiku,,,,,Benson Mbai Itwiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benson Mbai Itwiku,,,,,,Benson Mbai Itwiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benson Mbai Itwiku,Benson Mbai Itwiku,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benson Mbai Itwiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16499778,Joseph Lekuton,Joseph Lekuton,Joseph Lekuton,Joseph Lekuton,,male,Joseph,Joseph Lekuton,Joseph Lekuton,,Joseph Lekuton,,,Joseph Lekuton,,,,,,,,,,,,,,,,Joseph Lekuton,,,,,,,,,,,,,,,,Joseph Lekuton,,,,,,,,,,,조셉 레쿠톤,,,,,,,ジョゼフ・レマソライ・レクトン,,Joseph Lekuton,,,,,Joseph Lekuton,,,,,,Joseph Lekuton,,,,,,,,ژرف لیکاتون,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Lekuton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joseph_lekuton,,,,,,,,,,,,,,,,,,,,,,
Q16730244,Amason Kingi,,Amason Kingi,Amason Kingi,,male,,Amason Kingi,Amason Kingi,,Amason Kingi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アマソン・キンギ,,,,,,,,,,,,,Amason Kingi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amason Kingi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16730551,Joseph Kamotho,Joseph Kamotho,Joseph Kamotho,Joseph Kamotho,,male,Joseph,Joseph Kamotho,Joseph Kamotho,1942-12-05,Joseph Kamotho,,,,,,,,,,,,,,2014-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Kamotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Kamotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
