id,name__es,name__en,name__fr,name,wikipedia__es,gender,given_name,original_wikiname,birth_date,name__it,name__nl,wikipedia__en,image,name__de,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eo,name__he,name__da,name__nb,name__zh,name__nn,name__sv,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__eo,wikipedia__fr,wikipedia__he,wikipedia__it,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__freebase,identifier__NTA,identifier__FAST,name__cy,death_date,name__hu,last_seen,occupation,wikipedia__ru,name__ru,identifier__NUKAT,identifier__PTBNP,identifier__NLP,name__sl,family_name,second_surname,name__ca,facebook,website,identifier__GTAA,wikipedia__ast
Q18633893,Alvaro Hernán Prada,Alvaro Hernán Prada,,Alvaro Hernán Prada,Álvaro Hernán Prada,male,Alvaro,Álvaro Hernán Prada,1972-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Alvaro Hernán Prada,,,,,,,
Q19646794,Samuel Hoyos,Samuel Hoyos,,Samuel Hoyos,Samuel Hoyos,male,Samuel,Samuel Hoyos,1984-05-30,,Samuel Hoyos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Samuel Hoyos,Hoyos,,,,,,
Q19646922,Esperanza Pinzón,Esperanza Pinzón,,Esperanza Pinzón,Esperanza Pinzón,female,Esperanza,Esperanza Pinzón,1952-08-29,,Esperanza Pinzón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q20012993,Alfredo Ape Cuello,Alfredo Ape Cuello,Alfredo Ape Cuello,Alfredo Ape Cuello,Alfredo Cuello Baute,male,Alfredo,Alfredo Cuello Baute,"",,Alfredo Ape Cuello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Alfredo Ape Cuello,,,,,,,
Q20013005,Alirio Uribe Muñoz,Alirio Uribe Muñoz,,Alirio Uribe Muñoz,Alirio Uribe Muñoz,male,,Alirio Uribe Muñoz,1960-11-28,,Alirio Uribe Muñoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alirio Uribe Muñoz,,,,,,,
Q20013201,Arturo Yepes,Arturo Yepes,,Arturo Yepes,Arturo Yepes,male,Arturo,Arturo Yepes,1962-02-17,,Arturo Yepes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arturo Yepes,,politician,,,,,,,,,,,,,
Q20013453,Berner Zambrano,,,Berner Zambrano,Berner Zambrano,male,,Berner Zambrano,1958-08-15,,Berner Zambrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20013810,Carlos Edward Osorio Aguiar,Carlos Edward Osorio Aguiar,Carlos Edward Osorio Aguiar,Carlos Edward Osorio Aguiar,Carlos Edward Osorio,male,Carlos,Carlos Edward Osorio,1974-09,,Carlos Edward Osorio Aguiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,Carlos Edward Osorio Aguiar,,,,,,,
Q20014406,David Barguil,David Barguil,David Barguil,David Barguil,David Barguil,male,David,David Barguil,1981-06-23,,David Barguil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Barguil,,politician,,,,,,David Barguil,,,,,,,
Q20014566,Didier Burgos,Didier Burgos,,Didier Burgos,Didier Burgos,male,Didier,Didier Burgos,1962-08-11,,Didier Burgos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Didier Burgos,,politician,,,,,,Didier Burgos,,,,,,,
Q20015241,Germán Blanco Álvarez,Germán Blanco Álvarez,,Germán Blanco Álvarez,Germán Blanco Álvarez,male,Germán,Germán Blanco Álvarez,1968-01-01,,Germán Blanco Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germán Blanco Álvarez,,politician,,,,,,,,,,,,,
Q20015337,Guillermina Bravo Montaño,Guillermina Bravo Montaño,Guillermina Bravo Montaño,Guillermina Bravo Montaño,Guillermina Bravo Montaño,female,Guillermina,Guillermina Bravo Montaño,1949-07-27,,Guillermina Bravo Montaño,Guillermina Bravo Montaño,https://upload.wikimedia.org/wikipedia/commons/1/19/Portrait_of_Colombia_Representative_Guillermina_Bravo_Montaño.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Guillermina Bravo Montaño,,,,,,,
Q20015401,Hernán Penagos,Hernán Penagos,Hernán Penagos,Hernán Penagos,Hernán Penagos,male,Hernán,Hernán Penagos,1971-08-12,,Hernán Penagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hernán Penagos,,lawyer,,,,,,Hernán Penagos,,,,,,,
Q20016901,Inti Asprilla,Inti Asprilla,Inti Asprilla,Inti Asprilla,Inti Asprilla,female,Inti,Inti Asprilla,1981-10-09,,Inti Asprilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inti Asprilla,,politician,,,,,,Inti Asprilla,,,,,,,
Q20016914,Iván Darío Agudelo,Iván Darío Agudelo,,Iván Darío Agudelo,Iván Darío Agudelo,male,Iván,Iván Darío Agudelo,1967,,Iván Darío Agudelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iván Darío Agudelo,,,,,,,
Q20016923,Jaime Buenahora,Jaime Buenahora,,Jaime Buenahora,Jaime Buenahora,male,Jaime,Jaime Buenahora,1952-11-24,,Jaime Buenahora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,jaimebuenahora,,,
Q20016949,John Jairo Roldán,,John Jairo Roldán,John Jairo Roldán,Jhon Jairo Roldán,male,John,Jhon Jairo Roldán,1964-12-07,,John Jairo Roldán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20016971,José Ignacio Mesa,José Ignacio Mesa,José Ignacio Mesa,José Ignacio Mesa,José Ignacio Mesa,male,José,José Ignacio Mesa,1966-06-17,,José Ignacio Mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Ignacio Mesa,,politician,,,,,,,,,,,,,
Q20016994,Juan Felipe Lemos,,,Juan Felipe Lemos,Juan Felipe Lemos,male,Juan,Juan Felipe Lemos,1977-07-12,,Juan Felipe Lemos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20017013,Julián Bedoya,,,Julián Bedoya,Julián Bedoya,male,Julián,Julián Bedoya,"",,Julián Bedoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20017105,León Darío Ramírez,León Darío Ramírez,,León Darío Ramírez,León Darío Ramírez,male,León,León Darío Ramírez,1951-12-29,,León Darío Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,León Darío Ramírez,,,,,,,
Q20017110,Lina Barrera Rueda,Lina Barrera Rueda,,Lina Barrera Rueda,Lina Barrera Rueda,female,Lina,Lina Barrera Rueda,"",,Lina Barrera Rueda,,https://upload.wikimedia.org/wikipedia/commons/b/bc/LINA_BARRERA.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20017173,Margarita Restrepo,Margarita Restrepo,,Margarita Restrepo,Margarita Restrepo,female,Margarita,Margarita Restrepo,"",,Margarita Restrepo,,https://upload.wikimedia.org/wikipedia/commons/5/59/Margari.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,communicator,,,,,,,,,,,,,
Q20017210,Mauricio Salazar Peláez,Mauricio Salazar Peláez,,Mauricio Salazar Peláez,Mauricio Salazar Peláez,male,Mauricio,Mauricio Salazar Peláez,"",,Mauricio Salazar Peláez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauricio Salazar Peláez,,politician,,,,,,,,,,,,,
Q20017285,Nicolás Echeverry,Nicolás Echeverry,,Nicolás Echeverry,Nicolás Echeverry,male,Nicolás,Nicolás Echeverry,"",,Nicolás Echeverry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolás Echeverry,,politician,,,,,,,,,,,,,
Q20018258,Regina Zuluaga,Regina Zuluaga,,Regina Zuluaga,Regina Zuluaga,female,Regina,Regina Zuluaga,"",,Regina Zuluaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regina Zuluaga,,politician,,,,,,,,,,,,,
Q20018304,Sandra Ortiz,,,Sandra Ortiz,Sandra Ortiz,female,Sandra,Sandra Ortiz,"",,Sandra Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20018306,Santiago Valencia,Santiago Valencia,,Santiago Valencia,Santiago Valencia,male,Santiago,Santiago Valencia,1983-06-06,,Santiago Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santiago Valencia,,politician,,,,,,,,,,,,,
Q20018309,Sara Piedrahita Lyons,Sara Piedrahita Lyons,,Sara Piedrahita Lyons,Sara Piedrahita Lyons,female,Sara,Sara Piedrahita Lyons,1988-12-21,,Sara Piedrahita Lyons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20022289,Telésforo Pedraza,Telésforo Pedraza,Telésforo Pedraza,Telésforo Pedraza,Telésforo Pedraza,male,,Telésforo Pedraza,1945-07-24,Telésforo Pedraza,Telésforo Pedraza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telésforo Pedraza,,politician,,,,,,,,,,,,,
Q20022294,Wilson Córdoba,Wilson Córdoba,,Wilson Córdoba,,male,Wilson,,1970-10-16,,Wilson Córdoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,Wilson Córdoba Mena,,,,
Q20022295,Yahir Acuña,,,Yahir Acuña,Yahir Acuña,male,,Yahir Acuña,"",,Yahir Acuña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20022297,Óscar de Jesús Hurtado,Oscar Hurtado,,Óscar de Jesús Hurtado,Óscar de Jesús Hurtado,male,Óscar,Óscar de Jesús Hurtado,1965-01-08,,Óscar de Jesús Hurtado,,https://upload.wikimedia.org/wikipedia/commons/d/d1/OSCAR_HURTADO_FOTOS_REPRESENTANTE_(2).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20994831,Fernando De la Peña,Fernando De la Peña,,Fernando De la Peña,Fernando De la Peña,male,Fernando,Fernando De la Peña,1956-04-19,,Fernando De la Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q20994977,Eloy Quintero Romero,Eloy Quintero Romero,Eloy Quintero Romero,Eloy Quintero Romero,Eloy Quintero Romero,male,Eloy,Eloy Quintero Romero,1953-09-23,,Eloy Quintero Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Eloy Quintero Romero,,,,,,,
Q257434,Clara Rojas,Clara Rojas,Clara Rojas,Clara Rojas,Clara Rojas,female,Clara,Clara Rojas,1964-12-20,Clara Rojas,Clara Rojas,Clara Rojas,https://upload.wikimedia.org/wikipedia/commons/e/e8/Clararojas.jpg,Clara Rojas,Clara Rojas,克拉拉·罗哈斯,克拉拉·羅哈斯,克拉拉·羅哈斯,克拉拉·罗哈斯,克拉拉·罗哈斯,克拉拉·羅哈斯,Clara Rojas,קלרה רוחאס,Clara Rojas,Clara Rojas,克拉拉·罗哈斯,Clara Rojas,Clara Rojas,Category:Clara Rojas,Clara Rojas,Clara Rojas,Clara Rojas,Clara Rojas,קלרה רוחאס,Clara Rojas,Clara Rojas,Clara Rojas,Clara Rojas,克拉拉·罗哈斯,0000 0001 0922 7429,88412840,138092516,n2009032683,161430539,138474656,/m/03h1xq8,320746801,1791351,,,Clara Rojas,,politician,"Рохас, Клара",Клара Рохас,n2010110364,1436188,A24255981,Clara Rojas,Rojas,,,,,211273,Clara Coloraes
Q27961375,Miguel Angel Barreto,Miguel Angel Barreto,,Miguel Angel Barreto,Miguel Ángel Barreto,male,Miguel,Miguel Ángel Barreto,1970-04-06,,Miguel Angel Barreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Miguel Angel Barreto,,,,,,,
Q28858593,Fabio Arroyave,Fabio Arroyave,,Fabio Arroyave,Fabio Arroyave,male,Fabio,Fabio Arroyave,"",,Fabio Arroyave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Fabio Arroyave,,,,,,,
Q29122052,Harry González,Harry González,,Harry González,Harry González,male,Harry,Harry González,"",,Harry González,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Congresista_Harry_González.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29122056,Rafael Palau,Rafael Palau,,Rafael Palau,Rafael Palau,male,,Rafael Palau,1968-03-19,,Rafael Palau,,https://upload.wikimedia.org/wikipedia/commons/9/9e/Rafael_Eduardo_Palau_Salazar.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47581260,Ciro Alejandro Ramírez Cortés,Ciro Alejandro Ramírez Cortés,,Ciro Alejandro Ramírez Cortés,Ciro Alejandro Ramírez,male,,Ciro Alejandro Ramírez,1984-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q4764313,Angélica Lozano Correa,Angélica Lozano Correa,,Angélica Lozano Correa,Angélica Lozano,female,Angélica,Angélica Lozano,1975-05-08,,Angélica Lozano Correa,Angélica Lozano Correa,https://upload.wikimedia.org/wikipedia/commons/c/c3/Angelica_Lozano.png,Angélica Lozano Correa,,,,,,,,,,,,,,,,,Angélica Lozano,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,Angélica Lozano Correa,,,,,,,
Q55767803,Alejandro Carlos Chacón,,,Alejandro Carlos Chacón,Alejandro Carlos Chacón,male,,Alejandro Carlos Chacón,,,Alejandro Carlos Chacón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q5854162,Fabio Amín,Fabio Amín,,Fabio Amín,Fabio Amín,male,Fabio,Fabio Amín,1976,,Fabio Amín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,Fabio Raúl Amín Saleme,,,,
Q5878635,Germán Carlosama,,,Germán Carlosama,Germán Carlosama,male,Germán,Germán Carlosama,,,Germán Carlosama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5878763,Germán Navas Talero,Germán Navas Talero,,Germán Navas Talero,Germán Navas Talero,male,Germán,Germán Navas Talero,1941-04-01,,Germán Navas Talero,,https://upload.wikimedia.org/wikipedia/commons/d/df/Representante_navas.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,Germán Navas Talero,,,,,,,
Q6005013,María del Socorro Bustamante,María del Socorro Bustamante,María del Socorro Bustamante,María del Socorro Bustamante,María del Socorro Bustamante,female,María,María del Socorro Bustamante,1944-02-17,,María del Socorro Bustamante,María del Socorro Bustamante,,,,,,,,,,,,,,,,,,,,,María del Socorro Bustamante,,,,,,,,,,,,,,,,María del Socorro Bustamante,2015-03-20,,,jurist,,,,,,María del Socorro Bustamante,,,,,,,
Q6037689,Nancy Denise Castillo García,,,Nancy Denise Castillo García,Nancy Castillo,female,Nancy,Nancy Castillo,,,Nancy Denise Castillo García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q6053824,Oscar Darío Pérez,Oscar Darío Pérez,Oscar Darío Pérez,Oscar Darío Pérez,Oscar Darío Pérez,male,Oscar,Oscar Darío Pérez,1952,,Oscar Darío Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oscar Darío Pérez,,politician,,,,,,Oscar Darío Pérez,,,,,,,
Q6110723,Rodrigo Lara Restrepo,Rodrigo Lara Restrepo,Rodrigo Lara Restrepo,Rodrigo Lara Restrepo,Rodrigo Lara Restrepo,male,Rodrigo,Rodrigo Lara Restrepo,1975-05-12,Rodrigo Lara Restrepo,Rodrigo Lara Restrepo,,https://upload.wikimedia.org/wikipedia/commons/8/84/Rodrigo_Lara_Restrepo02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodrigo Lara Restrepo,,politician,,,,,,Rodrigo Lara Restrepo,,,,RodrigoLaraR,,,
Q6173648,Ángela María Robledo,Ángela María Robledo,Ángela María Robledo,Ángela María Robledo,Ángela Robledo,female,Ángela,Ángela Robledo,"",,Ángela María Robledo,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Angela_Robledo.jpg,Ángela María Robledo,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 6316 2948,86316103,137235534,no2009049850,16091618t,,,,,,,,,politician,,,,,,Ángela María Robledo,,,,,,,
Q6174191,Édgar Gómez Román,Édgar Gómez Román,,Édgar Gómez Román,Édgar Gómez Román,male,Édgar,Édgar Gómez Román,"",,Édgar Gómez Román,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,Édgar Alfonso Gómez Román,,,,
