id,name,family_name,given_name,sort_name,faction_id,faction,gender,img,dob,email,source,website,term
amhaouch-m-cda,Mustafa Amhaouch,Amhaouch,Mustafa,"Amhaouch, M. ",CDA,CDA,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8350_0.jpg?itok=oW-FTTJf,1970-06-27,m.amhaouch@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/amhaouch-m-cda,,2012
arib-k-pvda,Khadija Arib,Arib,Khadija,"Arib, K. ",PvdA,Labour Party,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/6369_0.jpg?itok=DIv40-89,1960-10-10,k.arib@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/arib-k-pvda,http://www.khadija-arib.com,2012
ark-t-van-vvd,Tamara van Ark,Ark,Tamara,"Ark, T. van",VVD,People's Party for Freedom and Democracy,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8051_0.jpg?itok=7PoMErJw,1974-08-11,t.venrooy-vanark@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/ark-t-van-vvd,http://www.tamaravenrooyvanark.vvd.nl,2012
azmani-m-vvd,Malik Azmani,Azmani,Malik,"Azmani, M. ",VVD,People's Party for Freedom and Democracy,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8050_0.jpg?itok=rgKWUoxG,1976-01-20,m.azmani@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/azmani-m-vvd,,2012
bashir-f-sp,Farshad Bashir,Bashir,Farshad,"Bashir, F. ",SP,Socialist Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7987_0.jpg?itok=fnPxbS-C,1988-01-14,f.bashir@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bashir-f-sp,https://www.sp.nl/onze-mensen/tweede-kamer/farshad-bashir,2012
beertema-hj-pvv,Harm J Beertema,Beertema,Harm,"Beertema, H.J. ",PVV,Party for Freedom,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8098_0.jpg?itok=YCSImM8Z,1952-03-09,h.beertema@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/beertema-hj-pvv,,2012
belhaj-s-d66,Salima Belhaj,Belhaj,Salima,"Belhaj, S. ",D66,Democrats 66,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8351_0.jpg?itok=2w4kFDZC,1978-10-18,s.belhaj@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/belhaj-s-d66,,2012
berckmoes-duindam-y-vvd,Ybeltje Berckmoes-Duindam,Berckmoes-Duindam,Ybeltje,"Berckmoes-Duindam, Y. ",VVD,People's Party for Freedom and Democracy,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8123_0.jpg?itok=huCEs8xR,1967-02-11,y.berckmoes-duindam@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/berckmoes-duindam-y-vvd,,2012
bergkamp-va-d66,Vera A Bergkamp,Bergkamp,Vera,"Bergkamp, V.A. ",D66,Democrats 66,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8160_0.jpg?itok=7jvL7Vty,1971-06-01,v.bergkamp@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bergkamp-va-d66,,2012
bisschop-r-sgp,Roelof Bisschop,Bisschop,Roelof,"Bisschop, R. ",SGP,Reformed Political Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8150_0.jpg?itok=Alg2F3CH,1956-11-30,r.bisschop@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bisschop-r-sgp,,2012
boer-bg-de-vvd,Betty G de Boer,Boer,Betty,"Boer, B.G. de",VVD,People's Party for Freedom and Democracy,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8048_0.jpg?itok=P0IL2Xs2,1971-09-02,b.dboer@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/boer-bg-de-vvd,http://www.bettydeboer.eu,2012
bommel-h-van-sp,Harry van Bommel,Bommel,Harry,"Bommel, H. van",SP,Socialist Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/6366_0.jpg?itok=EwhvgkTG,1962-06-24,HvBommel@sp.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bommel-h-van-sp,http://www.harryvanbommel.nl,2012
bontes-l-grbvk,Louis Bontes,Bontes,Louis,"Bontes, L. ",GrBvK,Bontes/Van Klaveren,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8088_0.jpg?itok=puwW8AOA,1956-02-28,l.bontes@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bontes-l-grbvk,,2012
bosma-m-pvv,Martin Bosma,Bosma,Martin,"Bosma, M. ",PVV,Party for Freedom,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7919_0.jpg?itok=Dd69eI7p,1964-07-16,M.Bosma@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bosma-m-pvv,,2012
bosma-rpg-vvd,Remco P G Bosma,Bosma,Remco,"Bosma, R.P.G. ",VVD,People's Party for Freedom and Democracy,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8352_0.jpg?itok=zdoTZfyh,1971-06-06,r.bosma@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bosma-rpg-vvd,,2012
bosman-vvd,André Bosman,Bosman,André,"Bosman, A. ",VVD,People's Party for Freedom and Democracy,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8058_0.jpg?itok=FbuJ_NmI,1965-01-20,a.bosman@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bosman-vvd,http://www.andrebosman.nl,2012
broeke-jh-ten-vvd,Han H ten Broeke,Broeke,Han,"Broeke, J.H. ten",VVD,People's Party for Freedom and Democracy,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7892_0.jpg?itok=AfGjjN_A,1969-03-02,hantenbroeke@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/broeke-jh-ten-vvd,http://www.hantenbroeke.nl,2012
brouwer-h-pvda,Harm Brouwer,Brouwer,Harm,"Brouwer, H. ",PvdA,Labour Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8346_0.jpg?itok=NPsrsPE8,1957-04-04,h.brouwer@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/brouwer-h-pvda,,2012
bruins-slot-hgj-cda,Hanke G J Bruins Slot,Bruins Slot,Hanke,"Bruins Slot, H.G.J. ",CDA,CDA,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8016_0.jpg?itok=my7Wov85,1977-10-20,h.bruinsslot@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bruins-slot-hgj-cda,,2012
bruins-eew-cu,Eppo E W Bruins,Bruins,Eppo,"Bruins, E.E.W. ",CU,Christian Union,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8349_0.jpg?itok=E6dAU65T,1969-09-19,e.bruins@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bruins-eew-cu,,2012
burg-bi-van-der-vvd,Brigitte I van der Burg,Burg,Brigitte,"Burg, B.I. van der",VVD,People's Party for Freedom and Democracy,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7908_0.jpg?itok=PMlDEaA3,1961-04-07,brigitte.vdburg@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/burg-bi-van-der-vvd,http://www.brigittevanderburg.nl,2012
caluw%C3%A9-ish-de-vvd,Ingrid S H de Caluwé,Caluwé,Ingrid,"Caluwé, I.S.H. de",VVD,People's Party for Freedom and Democracy,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8117_1.jpg?itok=7Iwo6tbk,1967-05-27,i.dcaluwe@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/caluw%C3%A9-ish-de-vvd,,2012
cegerek-y-pvda,Yasemin Cegerek,Cegerek,Yasemin,"Cegerek, Y. ",PvdA,Labour Party,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8294_0.jpg?itok=gObMDIus,1977-11-10,Y.Cegerek@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/cegerek-y-pvda,,2012
dekken-tr-van-pvda,Tjeerd R van Dekken,Dekken,Tjeerd,"Dekken, T.R. van",PvdA,Labour Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8027_0.jpg?itok=E9-Ij_NQ,1967-05-14,t.vdekken@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dekken-tr-van-pvda,,2012
dijck-apc-van-pvv,Tony P C van Dijck,Dijck,Tony,"Dijck, A.P.C. van",PVV,Party for Freedom,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7880_0.jpg?itok=BTLTNFRR,1963-09-13,t.vdijck@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijck-apc-van-pvv,,2012
dijk-jj-van-sp,Jasper J van Dijk,Dijk,Jasper,"Dijk, J.J. van",SP,Socialist Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7927_0.jpg?itok=L6pANnTt,1971-04-20,jasper.vdijk@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijk-jj-van-sp,,2012
dijk-oet-van-pvda,Otwin E T van Dijk,Dijk,Otwin,"Dijk, O.E.T. van",PvdA,Labour Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8177_0.jpg?itok=x8Qw1g7s,1975-04-22,o.vdijk@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijk-oet-van-pvda,,2012
dijkgraaf-e-sgp,Elbert Dijkgraaf,Dijkgraaf,Elbert,"Dijkgraaf, E. ",SGP,Reformed Political Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8064_0.jpg?itok=p4M3I2gM,1970-01-06,e.dijkgraaf@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijkgraaf-e-sgp,http://www.sgp.nl,2012
dijkstra-pa-d66,Pia A Dijkstra,Dijkstra,Pia,"Dijkstra, P.A. ",D66,Democrats 66,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8079_0.jpg?itok=8uBCzzJP,1954-12-09,p.dijkstra@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijkstra-pa-d66,,2012
dijkstra-rj-vvd,Remco J Dijkstra,Dijkstra,Remco,"Dijkstra, R.J. ",VVD,People's Party for Freedom and Democracy,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8184_0.jpg?itok=cZgdE6NS,1972-08-18,r.dijkstra@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijkstra-rj-vvd,,2012
dik-faber-rk-cu,Carla K Dik-Faber,Dik-Faber,Carla,"Dik-Faber, R.K. ",CU,Christian Union,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8153_0.jpg?itok=8Wf24hAD,1971-05-06,c.dik@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dik-faber-rk-cu,,2012
dikkers-sw-pvda,Sjoera W Dikkers,Dikkers,Sjoera,"Dikkers, S.W. ",PvdA,Labour Party,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8024_0.jpg?itok=xdG8UV7j,1969-07-14,s.dikkers@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dikkers-sw-pvda,,2012
duisenberg-pj-vvd,Pieter J Duisenberg,Duisenberg,Pieter,"Duisenberg, P.J. ",VVD,People's Party for Freedom and Democracy,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8181_0.jpg?itok=SpqqGaQF,1967-06-02,p.duisenberg@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/duisenberg-pj-vvd,,2012
eijsink-amc-pvda,Angelien M C Eijsink,Eijsink,Angelien,"Eijsink, A.M.C. ",PvdA,Labour Party,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7799_0.jpg?itok=GWAA-AZa,1960-04-01,A.Eijsink@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/eijsink-amc-pvda,http://www.angelieneijsink.pvda.nl,2012
elias-tmch-vvd,Ton M Ch Elias,Elias,Ton,"Elias, T.M.Ch. ",VVD,People's Party for Freedom and Democracy,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7993_0.jpg?itok=pIT2BR_z,1955-03-14,secretariaat.elias@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/elias-tmch-vvd,http://www.tonelias.vvd.nl,2012
fritsma-sr-pvv,Sietse R Fritsma,Fritsma,Sietse,"Fritsma, S.R. ",PVV,Party for Freedom,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7901_0.jpg?itok=-BJPgDmn,1972-03-31,s.fritsma@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/fritsma-sr-pvv,,2012
gerven-hpj-van-sp,Henk P J van Gerven,Gerven,Henk,"Gerven, H.P.J. van",SP,Socialist Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7894_0.jpg?itok=bZfrb-Qn,1955-03-11,h.vgerven@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/gerven-hpj-van-sp,,2012
gesthuizen-smjg-sp,Sharon M J G Gesthuizen,Gesthuizen,Sharon,"Gesthuizen, S.M.J.G. ",SP,Socialist Party,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7923_0.jpg?itok=6sQasfi1,1976-01-23,s.gesthuizen@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/gesthuizen-smjg-sp,,2012
geurts-jl-cda,Jaco L Geurts,Geurts,Jaco,"Geurts, J.L. ",CDA,CDA,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8205_0.jpg?itok=wJUyqWK6,1970-07-11,j.geurts@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/geurts-jl-cda,,2012
graaf-m-de-pvv,Machiel de Graaf,Graaf,Machiel,"Graaf, M. de",PVV,Party for Freedom,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8124_0.jpg?itok=YsMsY7Lz,1969-06-26,m.dgraaf@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/graaf-m-de-pvv,,2012
grashoff-hj-gl,Rik J Grashoff,Grashoff,Rik,"Grashoff, H.J. ",GL,Green Left,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8042.jpg?itok=mSwr_Tz2,1961-04-05,r.grashoff@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/grashoff-hj-gl,http://www.rikgrashoff.nl,2012
graus-djg-pvv,Dion J G Graus,Graus,Dion,"Graus, D.J.G. ",PVV,Party for Freedom,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7903_0.jpg?itok=O8_LRZtj,1967-03-19,d.graus@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/graus-djg-pvv,,2012
groot-va-pvda,Ed A Groot,Groot,Ed,"Groot, V.A. ",PvdA,Labour Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8023_0.jpg?itok=kem2N8_A,1957-12-26,e.groot@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/groot-va-pvda,,2012
g%C3%BCnal-gezer-s-pvda,Sultan Günal-Gezer,Günal-Gezer,Sultan,"Günal-Gezer, S. ",PvdA,Labour Party,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8277_0.jpg?itok=6MieaOzL,1961-05-01,s.gunal@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/g%C3%BCnal-gezer-s-pvda,,2012
haersma-buma-s-van-cda,Sybrand van Haersma Buma,Haersma Buma,Sybrand,"Haersma Buma, S. van",CDA,CDA,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7683_0.jpg?itok=2OLwyoaT,1965-07-30,S.Buma@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/haersma-buma-s-van-cda,http://www.sybrandbuma.nl,2012
harbers-mgj-vvd,Mark G J Harbers,Harbers,Mark,"Harbers, M.G.J. ",VVD,People's Party for Freedom and Democracy,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8004_0.jpg?itok=fsRbqFA7,1969-04-19,m.harbers@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/harbers-mgj-vvd,http://www.markharbers.vvd.nl,2012
heerema-rj-vvd,Rudmer J Heerema,Heerema,Rudmer,"Heerema, R.J. ",VVD,People's Party for Freedom and Democracy,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8296_0.jpg?itok=jzbyYmjQ,1978-02-02,r.heerema@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/heerema-rj-vvd,http://www.rudmerheerema.vvd.nl,2012
heerma-pe-cda,Pieter E Heerma,Heerma,Pieter,"Heerma, P.E. ",CDA,CDA,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8208_0.jpg?itok=sGM2aT1u,1977-08-05,P.Heerma@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/heerma-pe-cda,,2012
helder-lmjs-pvv,Lilian M J S Helder,Helder,Lilian,"Helder, L.M.J.S. ",PVV,Party for Freedom,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8087_0.jpg?itok=hu0PuNmw,1973-05-30,l.helder@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/helder-lmjs-pvv,,2012
helvert-mjf-van-cda,Martijn J F van Helvert,Helvert,Martijn,"Helvert, M.J.F. van",CDA,CDA,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8312_0.jpg?itok=E48XAJI5,1978-04-07,m.vhelvert@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/helvert-mjf-van-cda,https://www.cda.nl/vanhelvert,2012
hoogland-d-pvda,Duco Hoogland,Hoogland,Duco,"Hoogland, D. ",PvdA,Labour Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8276_0.jpg?itok=0K_EkJyV,1984-09-14,d.hoogland@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/hoogland-d-pvda,,2012
houwers-j-houwers,Johan Houwers,Houwers,Johan,"Houwers, J. ",HOUWERS,HOUWERS,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8063_0.jpg?itok=6hyExcAO,1957-10-04,j.houwers@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/houwers-j-houwers,,2012
jacobi-l-pvda,Lutz Jacobi,Jacobi,Lutz,"Jacobi, L. ",PvdA,Labour Party,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7914_0.jpg?itok=HZ2QNqur,1955-12-13,l.jacobi@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/jacobi-l-pvda,,2012
jadnanansing-tm-pvda,Tanja M Jadnanansing,Jadnanansing,Tanja,"Jadnanansing, T.M. ",PvdA,Labour Party,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8028_0.jpg?itok=kO8AGQHF,1967-04-26,t.jadnanansing@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/jadnanansing-tm-pvda,,2012
karabulut-s-sp,Sadet Karabulut,Karabulut,Sadet,"Karabulut, S. ",SP,Socialist Party,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7922_0.jpg?itok=agZznPIF,1975-04-28,skarabulut@sp.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/karabulut-s-sp,,2012
keijzer-mcg-cda,Mona C G Keijzer,Keijzer,Mona,"Keijzer, M.C.G. ",CDA,CDA,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8203_0.jpg?itok=W_M8Mi8f,1968-10-09,m.keijzer@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/keijzer-mcg-cda,,2012
kerstens-jwm-pvda,John W M Kerstens,Kerstens,John,"Kerstens, J.W.M. ",PvdA,Labour Party,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8171_0.jpg?itok=BRBs8x7I,1965-01-20,j.kerstens@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/kerstens-jwm-pvda,,2012
klaver-jf-gl,Jesse F Klaver,Klaver,Jesse,"Klaver, J.F. ",GL,Green Left,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8038_0.jpg?itok=r8m9weFn,1986-05-01,j.klaver@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/klaver-jf-gl,http://www.jesseklaver.nl,2012
klaveren-jj-van-grbvk,Joram J van Klaveren,Klaveren,Joram,"Klaveren, J.J. van",GrBvK,Bontes/Van Klaveren,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8094_0.jpg?itok=Gt_KatI0,1979-01-23,j.vklaveren@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/klaveren-jj-van-grbvk,,2012
klein-npm-klein,Norbert P M Klein,Klein,Norbert,"Klein, N.P.M. ",Klein,Klein,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8253_0.jpg?itok=XUzoVGRK,1956-03-01,n.klein@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/klein-npm-klein,,2012
klever-rj-pvv,Reinette J Klever,Klever,Reinette,"Klever, R.J. ",PVV,Party for Freedom,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8136_0.jpg?itok=Ok5KNJXe,1967-07-21,r.klever@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/klever-rj-pvv,,2012
knops-rw-cda,Raymond W Knops,Knops,Raymond,"Knops, R.W. ",CDA,CDA,male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7865_0.jpg?itok=KihZaTqc,1971-11-10,r.knops@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/knops-rw-cda,,2012
