id,name,family_name,given_name,sort_name,gender,img,dob,email,source
berckmoes-duindam-y-vvd,Ybeltje Berckmoes-Duindam,Berckmoes-Duindam,Ybeltje,"Berckmoes-Duindam, Y. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/9f46f589-0a36-4912-a79f-254af507312a.jpg?itok=EzbytPb8,1967-02-11,y.berckmoes-duindam@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/berckmoes-duindam-y-vvd
bergkamp-va-d66,Vera A Bergkamp,Bergkamp,Vera,"Bergkamp, V.A. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8f92a26c-03eb-4c87-95d4-fc650527f75c.jpg?itok=TV6HB9wE,1971-06-01,v.bergkamp@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bergkamp-va-d66
berndsen-jansen-ma-d66,Magda A Berndsen-Jansen,Berndsen-Jansen,Magda,"Berndsen-Jansen, M.A. ",female,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8070_0.jpg?itok=wef7EP7O,1950-05-04,m.berndsen@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/berndsen-jansen-ma-d66
bisschop-r-sgp,Roelof Bisschop,Bisschop,Roelof,"Bisschop, R. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/91af6526-8459-4676-8129-d77e4a087e90.jpg?itok=eTP_HDfF,1956-11-30,r.bisschop@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bisschop-r-sgp
boer-bg-de-vvd,Betty G de Boer,Boer,Betty,"Boer, B.G. de",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/38dd9df4-3536-40a1-8de6-d2c03e491bc2.jpg?itok=Kcvwdear,1971-09-02,b.dboer@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/boer-bg-de-vvd
bommel-h-van-sp,Harry van Bommel,Bommel,Harry,"Bommel, H. van",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/06ca4c19-cf1c-46ac-846e-795c7e7b2a53.jpg?itok=DvL9awsG,1962-06-24,HvBommel@sp.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bommel-h-van-sp
bontes-l-grbvk,Louis Bontes,Bontes,Louis,"Bontes, L. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/14a14325-842d-43c4-a405-9827eb05f5a1.jpg?itok=E3R8TAHU,1956-02-28,l.bontes@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bontes-l-grbvk
bosma-m-pvv,Martin Bosma,Bosma,Martin,"Bosma, M. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/059c2755-d8e6-4ff1-84d6-460c7120b1a3.jpg?itok=LlCbQt0T,1964-07-16,M.Bosma@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bosma-m-pvv
bosma-rpg-vvd,Remco P G Bosma,Bosma,Remco,"Bosma, R.P.G. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/92a3b842-24d4-4fab-81da-21dc7d224844.jpg?itok=JwqZf0ut,1971-06-06,r.bosma@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bosma-rpg-vvd
bosman-vvd,André Bosman,Bosman,André,"Bosman, A. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/4e15ada2-5bb7-4ae3-938b-6aeaa9f5c466.jpg?itok=s82klMJL,1965-01-20,a.bosman@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bosman-vvd
bouwmeester-lt-pvda,Lea T Bouwmeester,Bouwmeester,Lea,"Bouwmeester, L.T. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/0a15d9eb-0392-4d2d-beb1-e552877f7ac0.jpg?itok=WtfVkOgq,1979-10-03,l.bouwmeester@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bouwmeester-lt-pvda
broeke-jh-ten-vvd,Han H ten Broeke,Broeke,Han,"Broeke, J.H. ten",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/b5962eb4-a030-45c8-bdce-02296c96e122.jpg?itok=KVCzm1X8,1969-03-02,hantenbroeke@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/broeke-jh-ten-vvd
brouwer-h-pvda,Harm Brouwer,Brouwer,Harm,"Brouwer, H. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/49273f41-f4ab-4ba5-829b-79ff126a1612.jpg?itok=Tlr5Cl-Q,1957-04-04,h.brouwer@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/brouwer-h-pvda
bruins-eew-cu,Eppo E W Bruins,Bruins,Eppo,"Bruins, E.E.W. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/fc10859e-6453-4e28-919e-5d32b97aa459.jpg?itok=HlV2HQFO,1969-09-19,e.bruins@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bruins-eew-cu
bruins-slot-hgj-cda,Hanke G J Bruins Slot,Bruins Slot,Hanke,"Bruins Slot, H.G.J. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/517e8cf6-5940-4b8a-9bdc-1cd691e3dad0.jpg?itok=jmsi9rbv,1977-10-20,h.bruinsslot@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bruins-slot-hgj-cda
burg-bi-van-der-vvd,Brigitte I van der Burg,Burg,Brigitte,"Burg, B.I. van der",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/25f116e6-0a66-4d38-89b5-6d61989246f5.jpg?itok=9RhAAaiw,1961-04-07,brigitte.vdburg@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/burg-bi-van-der-vvd
caluw%C3%A9-ish-de-vvd,Ingrid S H de Caluwé,Caluwé,Ingrid,"Caluwé, I.S.H. de",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/e1bfefff-f93f-421b-867f-654e76e43fb1.jpg?itok=8Af9Bwvy,1967-05-27,i.dcaluwe@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/caluw%C3%A9-ish-de-vvd
cegerek-y-pvda,Yasemin Cegerek,Cegerek,Yasemin,"Cegerek, Y. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/91341090-3898-4964-a965-9a198959cae0.jpg?itok=StX_0_KJ,1977-11-10,Y.Cegerek@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/cegerek-y-pvda
dam-mhp-van-pvda,Martijn H P van Dam,Dam,Martijn,"Dam, M.H.P. van",male,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7792_0.jpg?itok=1CJ1XOOe,1978-02-01,m.vdam@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dam-mhp-van-pvda
dekken-tr-van-pvda,Tjeerd R van Dekken,Dekken,Tjeerd,"Dekken, T.R. van",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/f72881ef-2b06-4322-99c6-4ed056b091e2.jpg?itok=9wN-92SK,1967-05-14,t.vdekken@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dekken-tr-van-pvda
dijck-apc-van-pvv,Tony P C van Dijck,Dijck,Tony,"Dijck, A.P.C. van",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/0c2a804d-f2e1-420c-96b7-a62d0c4438f3.jpg?itok=opLYzJNc,1963-09-13,t.vdijck@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijck-apc-van-pvv
dijk-jj-van-sp,Jasper J van Dijk,Dijk,Jasper,"Dijk, J.J. van",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/a5fa7f7d-dce7-42e4-a8a9-4e762a23226e.jpg?itok=hTFeBHwx,1971-04-20,jasper.vdijk@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijk-jj-van-sp
dijk-oet-van-pvda,Otwin E T van Dijk,Dijk,Otwin,"Dijk, O.E.T. van",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8177_0.jpg?itok=x8Qw1g7s,1975-04-22,o.vdijk@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijk-oet-van-pvda
dijkgraaf-e-sgp,Elbert Dijkgraaf,Dijkgraaf,Elbert,"Dijkgraaf, E. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/3db50228-da5e-4dc9-986a-8685868a8ede.jpg?itok=v8pA9q3m,1970-01-06,e.dijkgraaf@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijkgraaf-e-sgp
dijkstra-pa-d66,Pia A Dijkstra,Dijkstra,Pia,"Dijkstra, P.A. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/ef502e01-507d-4eff-845a-02bc73a9f4d0.jpg?itok=AJbiyCDP,1954-12-09,p.dijkstra@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijkstra-pa-d66
dijkstra-rj-vvd,Remco J Dijkstra,Dijkstra,Remco,"Dijkstra, R.J. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/2db21d12-f817-43b4-8534-9153f2338793.jpg?itok=LL_iiwDW,1972-08-18,r.dijkstra@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dijkstra-rj-vvd
dik-faber-rk-cu,Carla K Dik-Faber,Dik-Faber,Carla,"Dik-Faber, R.K. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/1315349f-c476-4d85-849e-847d5112c283.jpg?itok=KsoBa4UN,1971-05-06,c.dik@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dik-faber-rk-cu
dikkers-sw-pvda,Sjoera W Dikkers,Dikkers,Sjoera,"Dikkers, S.W. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/3ae18bfd-fb91-46ae-8012-13bf879f6e73.jpg?itok=K5zt5Fwb,1969-07-14,s.dikkers@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dikkers-sw-pvda
duisenberg-pj-vvd,Pieter J Duisenberg,Duisenberg,Pieter,"Duisenberg, P.J. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/6f22fb69-8ff9-4200-be18-17bda33974bd.jpg?itok=3mZlyPD2,1967-06-02,p.duisenberg@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/duisenberg-pj-vvd
eijsink-amc-pvda,Angelien M C Eijsink,Eijsink,Angelien,"Eijsink, A.M.C. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/afed9309-ba97-45a0-ab06-cabd7bc4ad0f.jpg?itok=PKSXTaSX,1960-04-01,A.Eijsink@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/eijsink-amc-pvda
elias-tmch-vvd,Ton M Ch Elias,Elias,Ton,"Elias, T.M.Ch. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/c5f0b339-d5a2-4ed3-853c-a0cd916890bf.jpg?itok=t9sXglVS,1955-03-14,secretariaat.elias@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/elias-tmch-vvd
fokke-h-pvda,Manon Fokke,Fokke,Manon,"Fokke, H. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/07a6b087-50d1-4bae-a7cc-8605706b2d45.jpg?itok=FWn0XbkI,1976-01-16,m.fokke@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/fokke-h-pvda
fritsma-sr-pvv,Sietse R Fritsma,Fritsma,Sietse,"Fritsma, S.R. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/3f2ade49-08a0-4992-b3f2-d9d44e81082c.jpg?itok=YsvC6Mcy,1972-03-31,s.fritsma@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/fritsma-sr-pvv
g%C3%BCnal-gezer-s-pvda,Sultan Günal-Gezer,Günal-Gezer,Sultan,"Günal-Gezer, S. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/c47223b9-e694-43c9-b578-1c9cf9966be9.jpg?itok=tthAUSXe,1961-05-01,s.gunal@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/g%C3%BCnal-gezer-s-pvda
gerven-hpj-van-sp,Henk P J van Gerven,Gerven,Henk,"Gerven, H.P.J. van",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/143821c0-36e5-44c9-b9bd-2fa95a032d1b.jpg?itok=s4SjYE8f,1955-03-11,h.vgerven@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/gerven-hpj-van-sp
geselschap-jh-vvd,Jock H Geselschap,Geselschap,Jock,"Geselschap, J.H. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/75cf0de7-ad36-42b9-a5f7-1b37439d15f1.jpg?itok=dl9vitxJ,1969-07-28,,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/geselschap-jh-vvd
gesthuizen-smjg-sp,Sharon M J G Gesthuizen,Gesthuizen,Sharon,"Gesthuizen, S.M.J.G. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/57e88c0c-4670-4cb9-8871-cd9dfa27cf37.jpg?itok=lisI8Ytz,1976-01-23,s.gesthuizen@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/gesthuizen-smjg-sp
geurts-jl-cda,Jaco L Geurts,Geurts,Jaco,"Geurts, J.L. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/645319b4-81fd-41fe-8f79-5212476b93b1.jpg?itok=Ip6ryFaS,1970-07-11,j.geurts@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/geurts-jl-cda
graaf-m-de-pvv,Machiel de Graaf,Graaf,Machiel,"Graaf, M. de",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/06c89844-c2c0-4fd4-aa9c-5dd85ca87bf4.jpg?itok=6cVNtHju,1969-06-26,m.dgraaf@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/graaf-m-de-pvv
grashoff-hj-gl,Rik J Grashoff,Grashoff,Rik,"Grashoff, H.J. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/0ff44cb8-4cb3-490f-9b24-873488c5fe5b.jpg?itok=hLgKhtIt,1961-04-05,r.grashoff@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/grashoff-hj-gl
graus-djg-pvv,Dion J G Graus,Graus,Dion,"Graus, D.J.G. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/56c8207d-6a7f-4d96-9355-4e959eb51927.jpg?itok=iMZp4M-l,1967-03-19,d.graus@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/graus-djg-pvv
groot-va-pvda,Ed A Groot,Groot,Ed,"Groot, V.A. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/37d09ab6-15c7-497a-9a14-831223c0b5a1.jpg?itok=IBlXpFho,1957-12-26,e.groot@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/groot-va-pvda
hachchi-w-d66,Wassila Hachchi,Hachchi,Wassila,"Hachchi, W. ",female,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8072_0.jpg?itok=bIGHqKpt,1980-01-06,w.hachchi@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/hachchi-w-d66
haersma-buma-s-van-cda,Sybrand van Haersma Buma,Haersma Buma,Sybrand,"Haersma Buma, S. van",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/926b8503-013e-416d-8501-00a3c8db84c7.jpg?itok=4mMQdS3T,1965-07-30,S.Buma@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/haersma-buma-s-van-cda
harbers-mgj-vvd,Mark G J Harbers,Harbers,Mark,"Harbers, M.G.J. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/57b74e80-f9b3-437e-b52e-e1b390eb50af.jpg?itok=DfxzSfyf,1969-04-19,m.harbers@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/harbers-mgj-vvd
heerema-rj-vvd,Rudmer J Heerema,Heerema,Rudmer,"Heerema, R.J. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/55e9c316-b2e5-433f-a947-923436cdf176.jpg?itok=ds8xQk8V,1978-02-02,r.heerema@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/heerema-rj-vvd
heerma-pe-cda,Pieter E Heerma,Heerma,Pieter,"Heerma, P.E. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/f3b2c24d-f067-4665-9528-60f8f59c25db.jpg?itok=NU2YCAOr,1977-08-05,P.Heerma@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/heerma-pe-cda
helder-lmjs-pvv,Lilian M J S Helder,Helder,Lilian,"Helder, L.M.J.S. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/de79781d-11ec-4c6f-8994-83d5f70842ce.jpg?itok=EWh81xJ3,1973-05-30,l.helder@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/helder-lmjs-pvv
helvert-mjf-van-cda,Martijn J F van Helvert,Helvert,Martijn,"Helvert, M.J.F. van",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/2ed8d5ec-3f19-4cdc-a1aa-9e6bb95aceeb.jpg?itok=b14qc4MK,1978-04-07,m.vhelvert@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/helvert-mjf-van-cda
hoogland-d-pvda,Duco Hoogland,Hoogland,Duco,"Hoogland, D. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/e86b0b61-dfd2-4cb9-98d0-e24320236721.jpg?itok=Zp1C9_od,1984-09-14,d.hoogland@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/hoogland-d-pvda
houwers-j-houwers,Johan Houwers,Houwers,Johan,"Houwers, J. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/990040e9-2e01-42cf-be84-f9b276024af8.jpg?itok=2qdOk2_K,1957-10-04,j.houwers@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/houwers-j-houwers
jacobi-l-pvda,Lutz Jacobi,Jacobi,Lutz,"Jacobi, L. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/0bea55c5-17bb-4e82-948b-ac3675447102.jpg?itok=I52ije0L,1955-12-13,l.jacobi@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/jacobi-l-pvda
jadnanansing-tm-pvda,Tanja M Jadnanansing,Jadnanansing,Tanja,"Jadnanansing, T.M. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8028_0.jpg?itok=kO8AGQHF,1967-04-26,t.jadnanansing@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/jadnanansing-tm-pvda
karabulut-s-sp,Sadet Karabulut,Karabulut,Sadet,"Karabulut, S. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/1c320c04-6f69-44a8-9d97-87e308f860b8.jpg?itok=eomWArgX,1975-04-28,skarabulut@sp.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/karabulut-s-sp
keijzer-mcg-cda,Mona C G Keijzer,Keijzer,Mona,"Keijzer, M.C.G. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/ad08b8a4-d8e8-4c05-94ed-a7cd44c7a090.jpg?itok=13IuCQ-E,1968-10-09,m.keijzer@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/keijzer-mcg-cda
kerstens-jwm-pvda,John W M Kerstens,Kerstens,John,"Kerstens, J.W.M. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/6ccea4c8-b22e-45ef-851b-4fc89aca94ad.jpg?itok=YfhoebDm,1965-01-20,j.kerstens@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/kerstens-jwm-pvda
klaver-jf-gl,Jesse F Klaver,Klaver,Jesse,"Klaver, J.F. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/3c36f550-bf79-4fb2-a466-46e63c6716c4.jpg?itok=AvmgZxMH,1986-05-01,j.klaver@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/klaver-jf-gl
klaveren-jj-van-grbvk,Joram J van Klaveren,Klaveren,Joram,"Klaveren, J.J. van",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7c131a2f-c37d-4745-bff7-92a80ad70dda.jpg?itok=SjxHN7-D,1979-01-23,j.vklaveren@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/klaveren-jj-van-grbvk
klein-npm-klein,Norbert P M Klein,Klein,Norbert,"Klein, N.P.M. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/622d387d-8f04-4b71-b2fb-5940ece3456a.jpg?itok=aewEewhj,1956-03-01,n.klein@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/klein-npm-klein
klever-rj-pvv,Reinette J Klever,Klever,Reinette,"Klever, R.J. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/2ec4805b-e2e5-4127-89d2-3db58b795b31.jpg?itok=6tnZFQWr,1967-07-21,r.klever@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/klever-rj-pvv
knops-rw-cda,Raymond W Knops,Knops,Raymond,"Knops, R.W. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/1a9156ea-52f6-466b-9278-07cf8fd31923.jpg?itok=P6GABmLq,1971-11-10,r.knops@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/knops-rw-cda
ko%C5%9Fer-kaya-f-d66,Fatma Koşer Kaya,Koşer Kaya,Fatma,"Koşer Kaya, F. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/9dffcf84-d679-474c-8551-6b9caf9150fb.jpg?itok=lKbY6tax,1968-02-20,f.koserkaya@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/ko%C5%9Fer-kaya-f-d66
