id,name,party,party_id,email,image,source,term,constituency,tel
P251,"González Drakeford, Victor Oscar",PLRA,PLRA,vogonzalez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P251.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=251,2013,Alto Paraná,414 - 4172
P253,"Harms Céspedes, Walter Enrique",ANR,ANR,walterharms@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P253.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=253,2013,Itapúa,414 - 4174
P254,"Vargas de Caballero, Blanca Marina",ANR,ANR,blancavargas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P254.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=254,2013,Alto Paraná,414 - 4175
P255,"Sawatzky Sawatzky, Cornelius",ANR,ANR,corneliussawatzky@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P255.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=255,2013,Boquerón,414 - 4176
P257,"Ferreira de López, Olga Beatriz",IND,IND,obferreira@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P257.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=257,2013,Capital,414 - 4178
P258,"Oviedo Verdún, César Ariel",ANR,ANR,arieloviedo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P258.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=258,2013,Central,414 - 4179
P259,"Florentín Cabral, Agustín Amado",PLRA,PLRA,aflorentin@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P259.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=259,2013,Cordillera,414 - 4357 / 414 - 4397 / 414 - 4367
P260,"Tuma Bogado, Oscar Luís",ANR,ANR,tuma@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P260.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=260,2013,Capital,414 - 4181
P261,"Del Puerto Silva, Miguel Angel",ANR,ANR,mdelpuerto@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P261.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=261,2013,Caaguazú,414 - 4182
P262,"Ramírez Brizuela, Juan Bartolomé",PLRA,PLRA,jbramirez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P262.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=262,2013,Amambay,414 - 4072
P263,"Rubín Godoy, Hugo Leandro",PEN,PEN,hugorubin@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P263.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=263,2013,Central,414 - 4184
P264,"Amarilla Guirland, Dionisio Oswaldo",PLRA,PLRA,dionisioamarilla@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P264.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=264,2013,Central,414 - 4244
P266,"Duré Arguello, Pedro Milciades",PLRA,PLRA,pedrodure@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P266.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=266,2013,Cordillera,414 - 4066
P267,"Kennedy Bogado, Celso",PLRA,PLRA,celsokennedy@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P267.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=267,2013,Caaguazú,414 - 4068
P268,"González Escobar, Ricardo",PEN,PEN,ricardogonzalez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P268.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=268,2013,Central,414 - 4069
P269,"Alvarenga Martínez, Eusebio",PLRA,PLRA,eusebioalvarenga@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P269.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=269,2013,Guairá,414 - 4070
P270,"Rojas Villalba, Olimpio",PLRA,PLRA,olimpiorojas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P270.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=270,2013,Caazapá,414 - 4071
P271,"Acosta Alcaráz, Edgar",PLRA,PLRA,edgaracosta@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P271.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=271,2013,Central,414 - 4183
P272,"Portillo Verón, Carlos Antonio",PLRA,PLRA,carlosportillo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P272.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=272,2013,Alto Paraná,414 - 4073
P273,"Rojas Sosa, Sergio",PLRA,PLRA,sergiorojas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P273.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=273,2013,Central,414 - 4074
P274,"Buzarquis Cáceres, Enrique Antonio C.",PLRA,PLRA,antoniobuzarquis@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P274.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=274,2013,Caaguazú,414 - 4075
P275,"Bogado Tatter, Juan Félix",PLRA,PLRA,jfbogado@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P275.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=275,2013,Capital,414 - 4076
P276,"Vera Bejarano, Pastor Alberto",PLRA,PLRA,pvbejarano@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P276.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=276,2013,San Pedro,414 - 4077
P277,"Lesme Delgado, Héctor Lucio",PLRA,PLRA,hlezme@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P277.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=277,2013,Central,414 - 4078
P278,"Sánchez de Da Silva, Esmérita",PLRA,PLRA,esmeritasanchez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P278.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=278,2013,Caaguazú,414 - 4079
P279,"Cardozo, Antonio Gustavo",PLRA,PLRA,gustavocardozo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P279.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=279,2013,Alto Paraná,414 - 4080
P280,"Ledesma Narváez, José Gregorio",PLRA,PLRA,joseledesma@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P280.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=280,2013,San Pedro,414 - 4081
P281,"González Ortíz, Asa Javier",PLRA,PLRA,asagonzalez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P281.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=281,2013,Misiones,414 - 4082
P282,"Ovelar Benitez, Eber Osvaldo",ANR,ANR,eovelar@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P282.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=282,2013,Caaguazú,414 - 4177
P284,"Duarte Jiménez, Ramón",FG,FG,ramonduarte@hotmail.com,http://www.diputados.gov.py/fotos/cv/P284.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=284,2013,Itapúa,414 - 4065
P286,"Nicora López Moreira, Fernando Javier",PLRA,PLRA,fernandonicora@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P286.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=286,2013,Presidente Hayes,4144173
P287,"Oviedo Melgarejo, Fabiola Elvira",ANR,ANR,foviedo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P287.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=287,2013,Capital,414  4316
