id,name,sort_name,family_name,given_name,party,party_id,phone,email,image,source,term,constituency
P213,Hugo Adalberto Velázquez Moreno,"Velázquez Moreno, Hugo Adalberto",Velázquez Moreno,Hugo Adalberto,ANR,ANR,414 - 4305/6,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P213.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=213,2013,Central
P214,Julio Javier Ríos Bogado,"Ríos Bogado, Julio Javier",Ríos Bogado,Julio Javier,ANR,ANR,414 - 4326,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P214.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=214,2013,Capital
P215,José María Ibañez Benítez,"Ibañez Benítez, José María",Ibañez Benítez,José María,ANR,ANR,414 - 4327,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P215.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=215,2013,Central
P216,Pablino Acasio Rodriguez Arias,"Rodriguez Arias, Pablino Acasio",Rodriguez Arias,Pablino Acasio,ANR,ANR,414 - 4328,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P216.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=216,2013,Misiones
P217,Maria Rocio Casco Arce,"Casco Arce, Maria Rocio",Casco Arce,Maria Rocio,AP,AP,414 - 4206,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P217.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=217,2013,Central
P218,Carlos Alberto Nuñez Salinas,"Nuñez Salinas, Carlos Alberto",Nuñez Salinas,Carlos Alberto,ANR,ANR,414 - 4202,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P218.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=218,2013,Central
P219,Mario Walberto Soto Estigarribia,"Soto Estigarribia, Mario Walberto",Soto Estigarribia,Mario Walberto,ANR,ANR,414 - 4203,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P219.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=219,2013,Caaguaz
P220,Celso Troche Alvarez,"Troche Alvarez, Celso",Troche Alvarez,Celso,ANR,ANR,414 - 4204,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P220.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=220,2013,Caazap
P221,José Domingo Adorno Mazacotte,"Adorno Mazacotte, José Domingo",Adorno Mazacotte,José Domingo,ANR,ANR,414 - 4205,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P221.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=221,2013,Alto Paraguay
P222,Aldo Efrain Vera Arnold,"Vera Arnold, Aldo Efrain",Vera Arnold,Aldo Efrain,AP,AP,414 - 4201,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P222.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=222,2013,Capital
P223,Nestor Fabián Ferrer Miranda,"Ferrer Miranda, Nestor Fabián",Ferrer Miranda,Nestor Fabián,ANR,ANR,414 - 4185,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P223.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=223,2013,Central
P224,Félix Fernando Ortellado Zorrilla,"Ortellado Zorrilla, Félix Fernando",Ortellado Zorrilla,Félix Fernando,ANR,ANR,414 - 4208,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P224.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=224,2013,Guair
P225,Luis Alberto Larré Del Puerto,"Larré Del Puerto, Luis Alberto",Larré Del Puerto,Luis Alberto,ANR,ANR,414 - 4209,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P225.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=225,2013,Itapa
P226,Del Pilar Eva Medina de Paredes,"Medina de Paredes, Del Pilar Eva",Medina de Paredes,Del Pilar Eva,ANR,ANR,414 - 4210,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P226.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=226,2013,Central
P227,Víctor Luís González Segovia,"González Segovia, Víctor Luís",González Segovia,Víctor Luís,ANR,ANR,414 - 4211,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P227.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=227,2013,Cordillera
P228,Pedro David Britos Espínola,"Britos Espínola, Pedro David",Britos Espínola,Pedro David,ANR,ANR,414 - 4212,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P228.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=228,2013,Guair
P229,Concepción Quintana López,"Quintana López, Concepción",Quintana López,Concepción,ANR,ANR,414 - 4213,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P229.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=229,2013,Alto Paran
P230,Perla Teresa Beatriz Acosta de Vázquez,"Acosta de Vázquez, Perla Teresa Beatriz",Acosta de Vázquez,Perla Teresa Beatriz,ANR,ANR,414 - 4214,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P230.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=230,2013,San Pedro
P231,Marcial Lezcano Paredes,"Lezcano Paredes, Marcial",Lezcano Paredes,Marcial,ANR,ANR,414 - 4215,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P231.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=231,2013,Amambay
P232,Purificación Morel Alfonzo,"Morel Alfonzo, Purificación",Morel Alfonzo,Purificación,ANR,ANR,414 - 4216,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P232.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=232,2013,Canindey
P233,Miguel Tadeo Rojas Meza,"Rojas Meza, Miguel Tadeo",Rojas Meza,Miguel Tadeo,ANR,ANR,414 - 4342 / 414 - 4311,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P233.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=233,2013,Central
P234,Celso Maldonado Duarte,"Maldonado Duarte, Celso",Maldonado Duarte,Celso,PLRA,PLRA,414 - 4218,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P234.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=234,2013,Central
P235,Jorge Ramón Avalos Mariño,"Avalos Mariño, Jorge Ramón",Avalos Mariño,Jorge Ramón,PLRA,PLRA,414 - 4253,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P235.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=235,2013,Paraguar
