id,name__en,name__de,name__en_ca,name__en_gb,name__fr,name__lzh,name__yue,name__zh,name__zh_cn,name__zh_hk,name__zh_sg,name__zh_tw,name__nl,name,wikipedia__en,gender,occupation,birth_date,original_wikiname,name__pt,wikipedia__pt,death_date,name__es,name__hu,name__zh_mo,name__zh_hans,name__zh_hant,name__zh_my,given_name,facebook,wikipedia__commons,image,name__hak,name__nan,name__cy,wikipedia__de,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__freebase,name__id,name__vi,name__ms,name__nb,name__da,name__nn,name__sv,wikipedia__fr,wikipedia__id,wikipedia__ms,wikipedia__vi,wikipedia__zh_min_nan,wikipedia__zh,family_name,name__it,identifier__ISNI,identifier__SUDOC,identifier__FAST,wikipedia__no,twitter,name__ru,name__ta,name__ar,wikipedia__ta,identifier__Oxforddnb,identifier__snac,name__pl,name__qu,name__ko,name__he,name__oc,name__yo,name__lv,name__gl,name__ja,name__el,name__my,name__hi,name__eo,name__sr,name__tr,name__th,name__fi,name__uk,name__cs,name__io,name__fa,name__mr,name__ca,name__et,name__pt_br,name__tl,name__bn,name__be,name__ro,name__az,name__la,name__hy,name__eu,name__sco,wikipedia__ar,wikipedia__az,wikipedia__be,wikipedia__bn,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__hak,wikipedia__he,wikipedia__hi,wikipedia__hy,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lv,wikipedia__mr,wikipedia__my,wikipedia__nl,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__th,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh_yue,identifier__IMDB,identifier__NNDB,instagram,identifier__CSPAN,name__pa,website,identifier__NTA,identifier__OLID,identifier__Britannica,identifier__BNF,name__ne,wikipedia__ne,wikipedia__pa,identifier__quora,name__nds,name__vmf,wikipedia__itwikiquote,name__jv,name__ml,name__ka,wikipedia__jv,wikipedia__ka,wikipedia__ml,name__bg,wikipedia__bg,electoral_district,identifier__Munzinger,identifier__NLAtrove,identifier__NLA,wikipedia__eu,name__km,wikipedia__km,identifier__NDL,identifier__NLI,name__is,name__mk,name__be_tarask,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__li,name__sh,name__sa,name__war,name__kk,name__ky,name__new,name__si,name__mg,name__bcl,name__pnb,name__wuu,name__yi,name__ur,name__ba,name__sd,name__tt,name__vo,name__lb,name__lo,name__mn,name__te,name__gu,name__ast,name__kn,wikipedia__arwikiquote,wikipedia__ast,wikipedia__ba,wikipedia__bcl,wikipedia__be_x_old,wikipedia__cy,wikipedia__gu,wikipedia__hu,wikipedia__is,wikipedia__kk,wikipedia__kn,wikipedia__ky,wikipedia__lb,wikipedia__li,wikipedia__lo,wikipedia__mg,wikipedia__mk,wikipedia__mn,wikipedia__new,wikipedia__nn,wikipedia__nnwikiquote,wikipedia__pnb,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sa,wikipedia__sd,wikipedia__sh,wikipedia__te,wikipedia__thwikiquote,wikipedia__tt,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__vo,wikipedia__war,wikipedia__wuu,wikipedia__yi,wikipedia__zh_classical,wikipedia__zhwikiquote,identifier__CANTIC,identifier__wikitree,identifier__kinopoisk
Q1577210,Lim Kim San,Lim Kim San,,,Lim Kim San,,,林金山,,,,,Lim Kim San,Lim Kim San,Lim Kim San,male,politician,1916-11-30,,,,2006-07-20,Lim Kim San,Lim Kim San,,,,,,,,,,,Lim Kim San,Lim Kim San,68727275,1013411625,no2008005791,/m/05z27s,,,,,,,,,,,,,林金山,,,,,,,,,,,,,,,,,,,,,,リム・キムサン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16008318,Abdul Hamid bin Haji Jumat,Abdul Hamid bin Haji Jumat,,,Abdul Hamid bin Haji Jumat,,,,,,,,,Abdul Hamid bin Haji Jumat,Abdul Hamid bin Haji Jumat,male,politician,1916-04-12,,,,1978,,,,,,,Abdul Hamid,,,https://upload.wikimedia.org/wikipedia/commons/8/88/Abdul_Hamid_bin_Haji_Jumat.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16015553,Lee Siew-Choh,,,,Lee Siew-Choh,,,李紹祖,李绍祖,,,,Lee Siew-Choh,Lee Siew-Choh,Lee Siew-Choh,male,politician,1917-11-01,,,,2002-07-18,,,,,李紹祖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16107390,Lee Yock Suan,Lee Yock Suan,,,Lee Yock Suan,,,,,,,,Lee Yock Suan,Lee Yock Suan,Lee Yock Suan,male,politician,1946-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16136702,Lina Loh,Lina Loh,,,Lina Loh,,,羅文麗,,,,,,Lina Loh,Lina Loh,female,,1949-06-04,Lina Loh,,,,,,,,,,Lina,,,,,,,,,,,,,,,,,,,,,,,,,,Lina Loh,,,,,,,,,,,,,,,,,,,,リナ・チアム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16146711,Ang Wei Neng,Ang Wei Neng,Ang Wei Neng,Ang Wei Neng,Ang Wei Neng,洪維能,洪維能,洪维能,洪维能,洪維能,洪维能,洪維能,Ang Wei Neng,Ang Wei Neng,Ang Wei Neng,male,politician,1967-03-31,Ang Wei Neng,,,,,,,,,,,,,,Fùng Vì-nèn,Âng Ûi-lêng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16185445,Lily Neo,Lily Neo,,,Lily Neo,,,,,,,,Lily Neo,Lily Neo,Lily Neo,female,physician,1953-08-12,Lily Neo,,,,,,,,,,Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16189029,Ellen Lee,Ellen Lee,,,Ellen Lee,,,,,,,,Ellen Lee,Ellen Lee,Ellen Lee,female,politician,1957-04-13,Ellen Lee,,,,,,,,,,Ellen,,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Ellen_Lee_of_People's_Action_Party.jpg,,,,,,,,,,,,,,,,,,,,,,,Ellen Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16193659,Faizah Jamal,Faizah Jamal,,,Faizah Jamal,,,,,,,,,Faizah Jamal,Faizah Jamal,female,,1960-06-27,Faizah Jamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16194240,David Ong,David Ong,David Ong,David Ong,David Ong,王金發,王金發,王金发,王金发,王金發,王金发,王金發,,David Ong,David Ong,male,,1961-05-19,David Ong,,,,,,,,,,David,,,,Vòng Kîm-fat,Ông Kim-hoat,,,,,,,,,,,,,,,,,,,,,David Ong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
