id,name__ps,name__fr,name__en,name__de,name__ur,name__es,name__fa,name__nl,name__sd,name,wikipedia__de,wikipedia__en,wikipedia__fa,wikipedia__fr,wikipedia__ps,wikipedia__sd,wikipedia__ur,gender,birth_date,original_wikiname,given_name,wikipedia__enwikiquote,name__it,name__en_gb,identifier__VIAF,name__pnb,wikipedia__pnb,name__ru,name__ar,wikipedia__ar,wikipedia__ru,identifier__freebase,name__bn,name__gu,name__hi,name__id,name__ja,name__ka,name__kn,name__ko,name__ml,name__mr,name__ms,name__sv,name__ta,name__te,name__zh,name__nb,name__pa,name__bg,name__mzn,name__he,name__et,name__fi,name__da,name__tr,name__ne,wikipedia__bg,wikipedia__bn,wikipedia__commons,wikipedia__es,wikipedia__gu,wikipedia__he,wikipedia__hi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__mzn,wikipedia__ne,wikipedia__nl,wikipedia__no,wikipedia__pa,wikipedia__ruwikinews,wikipedia__simple,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__zh,image,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__Munzinger,identifier__NPG,identifier__FAST,name__mg,wikipedia__mg,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__yo,name__vi,name__sh,name__pt,name__th,name__ca,name__uk,name__nn,name__eu,name__lb,name__pam,name__sr,name__eo,name__el,name__io,name__ks,name__cs,name__en_ca,name__pt_br,name__sa,name__mai,name__be,wikipedia__be,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__eowikinews,wikipedia__et,wikipedia__eu,wikipedia__fi,wikipedia__io,wikipedia__ks,wikipedia__lb,wikipedia__mai,wikipedia__nn,wikipedia__pam,wikipedia__pl,wikipedia__pt,wikipedia__sa,wikipedia__sh,wikipedia__sr,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,website,identifier__NNDB,facebook,name__az,wikipedia__az,name__oc,name__hu,last_seen,name__sco,wikipedia__sco,wikipedia__plwikiquote,twitter,occupation,name__cy,death_date,identifier__nyt_topic,name__la,wikipedia__la,identifier__quora,wikipedia__hif,name__hif,wikipedia__hr,name__hr,wikipedia__dty,name__dty,name__fo,name__kl,name__bar,name__gl,wikipedia__azb,wikipedia__bcl,wikipedia__fawikiquote,wikipedia__hy,wikipedia__cy,name__azb,name__bcl,name__hy,name__mk,family_name,wikipedia__br,name__be_tarask,name__br,name__lv,wikipedia__lv,wikipedia__uz,name__uz,identifier__Britannica,identifier__GTAA,identifier__OLID,identifier__NTA,wikipedia__wuu,name__wuu,name__tg,name__sl,name__ga,name__ast,wikipedia__ast,wikipedia__ga,wikipedia__gl,wikipedia__sl,identifier__BIBSYS,wikipedia__ckb,wikipedia__urwikiquote,wikipedia__bh,honorific_prefix,wikipedia__af,name__bho,name__af,name__ckb,wikipedia__ie,wikipedia__xmf,name__xmf,name__ie,wikipedia__sat,name__sat
Q15715800,,Ayesha Gulalai Wazir,Ayesha Gulalai Wazir,Ayesha Gulalai Wazir,عائشہ گلالئی وزیر,,,Ayesha Gulalai Wazir,,Ayesha Gulalai Wazir,,Ayesha Gulalai Wazir,,,,,عائشہ گلالئی وزیر,female,,,,,Ayesha Gulalai Wazir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayesha Gulalai Wazir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayesha Gulalai Wazir,,,,,,,,,,,,,,,,,,,,,
Q15982825,,Muhammad Javed Ikhlas,Muhammad Javed Ikhlas,Muhammad Javed Ikhlas,محمد جاوید اخلاص,,,Muhammad Javed Ikhlas,,Muhammad Javed Ikhlas,,Muhammad Javed Ikhlas,,,,,محمد جاوید اخلاص,male,1955-10-05,Muhammad Javed Ikhlas,Muhammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad Javed Ikhlas,,,,,,,,,,,,,,,,,,,,,
Q15983315,,Waheed Alam Khan,Waheed Alam Khan,Waheed Alam Khan,وحید عالم خان,,,Waheed Alam Khan,,Waheed Alam Khan,,Waheed Alam Khan,,,,,,male,1949-04-01,Waheed Alam Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waheed Alam Khan,,,,,,,,,,,,,,,,,,,,,
Q15983326,,Hamid-ul-Haq,Hamid-ul-Haq,Hamid-ul-Haq,حامد الحق,,,Hamid-ul-Haq,,Hamid-ul-Haq,,Hamid-ul-Haq,,,,,حامد الحق,male,1964-08-01,Hamid-ul-Haq,,,Hamid-ul-Haq,,,,,,,,,,হামিদ-উল-হক,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil engineer,,,,,,,,,,,,,,,Hamid-ul-Haq,,,,,,,,,,,,,,,,,,,,,,,,,,Hamid-ul-Haq,,,,,,,,,,,,,,,,,,,,,
Q15983338,,Murtaza Javed Abbasi,Murtaza Javed Abbasi,Murtaza Javed Abbasi,مرتضی جاوید عباسی,,,Murtaza Javed Abbasi,,Murtaza Javed Abbasi,,Murtaza Javed Abbasi,,,,,مرتضیٰ جاوید عباسی,male,1970-03-15,Murtaza Javed Abbasi,Murtaza,,,,,,,,,,,,,,मुर्तज़ा जावेद अब्बासी,,,,,,,,,,,,,,,,,,,,,,,,,,,,,मुर्तज़ा जावेद अब्बासी,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,murtazaj18,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Murtaza Javed Abbasi,,,,,,,,,,,,,,,,,,,,,
Q15983347,,Sikandar Bosan,Sikandar Bosan,Sikandar Bosan,,,,Sikandar Bosan,,Sikandar Bosan,,Sikandar Hayat Khan Bosan,,,,,,male,1957-11-05,Sikandar Bosan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Sikander_Hayat_Khan_Bosan_-_2017.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sikandar Bosan,,,,,,,,,,,,,,,,,,,,,
Q16145575,,Mussarat Ahmed Zeb,Mussarat Ahmed Zeb,Mussarat Ahmed Zeb,,,,Mussarat Ahmed Zeb,,Mussarat Ahmed Zeb,,Mussarat Ahmed Zeb,,,,,,female,1950,,,,Mussarat Ahmed Zeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mussarat Ahmed Zeb,,,,,,,,,,,,,,,,,,,,,
Q16145751,,Shaykh Muhammad Amin al-Hasanat Shah,Shaykh Muhammad Amin al-Hasanat Shah,,محمد امین الحسنات شاہ,,,Shaykh Muhammad Amin al-Hasanat Shah,,Shaykh Muhammad Amin al-Hasanat Shah,,Muhammad Amin Ul Hasnat Shah,,,,,محمد امین الحسنات شاہ,male,1952-12-11,Muhammad Amin Ul Hasnat Shah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaykh Muhammad Amin al-Hasanat Shah,,,,,,,,,,,,,,,,,,,,,
Q16148268,,Junaid Akbar,Junaid Akbar,Junaid Akbar,جنید اکبر,,,Junaid Akbar,,Junaid Akbar,,Junaid Akbar,,,,,جنید اکبر,male,1977-03-23,Junaid Akbar,,,,,,,,,,,,,জুনায়েদ আকবর,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junaid Akbar,,,,,,,,,,,,,,,,,,,,,
Q16149031,,Tahir Iqbal,Tahir Iqbal,Tahir Iqbal,طاہر اقبال,,,Tahir Iqbal,,Tahir Iqbal,,Tahir Iqbal,,,,,طاہر اقبال,male,1951-05-15,Tahir Iqbal,Tahir,,Tahir Iqbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,Iqbal,,,,,,,,,,,,,,,Tahir Iqbal,,,,,,,,,,,,,,,,,,,,,
Q16149354,,Anusha Rahman,Anusha Rahman,Anusha Rahman,انوشہ رحمان,,,Anusha Rahman,,Anusha Rahman,,Anusha Rahman,,,,,انوشہ رحمان,female,1968-06-01,,,,Anusha Rahman,Anusha Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Anusha Rahman,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Anusha_Rahman_Ahmad_Khan_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha Rahman,,,,,,,,,,,,,,,,,,,,,
Q16194435,,Liaqat Abbas Bhatti,Liaqat Abbas Bhatti,Liaqat Abbas Bhatti,,,,Liaqat Abbas Bhatti,,Liaqat Abbas Bhatti,,Liaqat Abbas Bhatti,,,,,,male,1962-07-15,Liaqat Abbas Bhatti,,,Liaqat Abbas Bhatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liaqat Abbas Bhatti,,,,,,,,,,,,,,,,,,,,,
Q16199958,,Zulfiqar Ali Bhatti,Zulfiqar Ali Bhatti,Zulfiqar Ali Bhatti,ذوالفقار علی بھٹی,,,Zulfiqar Ali Bhatti,,Zulfiqar Ali Bhatti,,Zulfiqar Ali Bhatti,,,,,ذو الفقار علی بھٹی,male,1963-10-01,Zulfiqar Ali Bhatti,,,Zulfiqar Ali Bhatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zulfiqar Ali Bhatti,,,,,,,,,,,,,,,,,,,,,
Q16207405,,Shahzada Iftikhar Uddin,Shahzada Iftikhar Uddin,Shahzada Iftikhar Uddin,شہزادہ افتخار الدین,,,Shahzada Iftikhar Uddin,,Shahzada Iftikhar Uddin,,Shahzada Iftikhar Uddin,,,,,شہزادہ افتخار الدین,male,1969-08-15,Shahzada Iftikhar Uddin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shahzada Iftikhar Uddin,,,,,,,,,,,,,,,,,,,,,
Q16231467,,Murad Saeed,Murad Saeed,Murad Saeed,مراد سعید,,,Murad Saeed,,Murad Saeed,,Murad Saeed,,,,,مراد سعید,male,1986-08-17,Murad Saeed,Murad,,Murad Saeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,Saeed,,,,,,,,,,,,,,,Murad Saeed,,,,,,,,,,,,,,,,,,,,,
Q16442103,,Marriyum Aurangzeb,Maryam Aurangzaib,Marriyum Aurangzeb,مریم اورنگزیب,,,Marriyum Aurangzeb,,Maryam Aurangzaib,,Marriyum Aurangzeb,,,,,مریم اورنگزیب,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marriyum Aurangzeb,,,,,,,,,,,,,,,,,,,,,
Q16727368,,Khusro Bakhtiar,Makhdoom Khusro Bakhtiar,Khusro Bakhtiar,مخدوم خسرو بختیار,,,Khusro Bakhtiar,,Makhdoom Khusro Bakhtiar,,Khusro Bakhtiar,,,,,خسرو بختیار,male,1969-07-07,Makhdoom Khusro Bakhtiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khusro Bakhtiar,,,,,,,,,,,,,,,,,,,,,
Q16732994,,Munaza Hassan,Munaza Hassan,Munaza Hassan,منزہ حسن,,,Munaza Hassan,,Munaza Hassan,,Munaza Hassan,,,,,منزہ حسن,female,,,,,Munaza Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munaza Hassan,,,,,,,,,,,,,,,,,,,,,
Q16873159,,Nasir Iqbal Bosal,Nasir Iqbal Bosal,Nasir Iqbal Bosal,ناصر اقبال بوسل,,,Nasir Iqbal Bosal,,Nasir Iqbal Bosal,,Nasir Iqbal Bosal,,,,,ناصر اقبال بوسال,male,1949-08-09,Nasir Iqbal Bosal,,,Nasir Iqbal Bosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nasir Iqbal Bosal,,,,,,,,,,,,,,,,,,,,,
Q17019030,,Shehryar Khan Afridi,Sheharyar Afridi,Shehryar Khan Afridi,شہریار آفریدی,Shehryar Khan Afridi,,Shehryar Khan Afridi,,Sheharyar Afridi,Shehryar Khan Afridi,Shehryar Khan Afridi,,,,,شہریار خان آفریدی,male,1971-03-12,Shehryar Khan Afridi,,,,,,,,,,,,,শহরিয়র খান আফ্রিদি,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shehryarafridi1,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shehryar Khan Afridi,,,,,,,,,,,,,,,,,,,,,
Q17198180,,Zahid Hamid,Zahid Hamid,Zahid Hamid,زاہد حامد,,,Zahid Hamid,,Zahid Hamid,,Zahid Hamid,,,,,زاہد حامد,male,1947-10-24,Zahid Hamid,,,,,,,,"Хамид, Захид",,,"Хамид, Захид",,জাহিদ হামিদ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philosopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zahid Hamid,,,,,,,,,,,,,,,,,,,,,
Q17198246,,Khurram Dastgir Khan,Khurram Dastagir Khan,Khurram Dastgir Khan,خرم دستگیر خان,,,Khurram Dastgir Khan,,Khurram Dastagir Khan,,Khurram Dastgir Khan,,,,,خرم دستگیر,male,1970-08-03,Khurram Dastgir Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Khurram Dastgir Khan,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Khurram_Dastgir_Khan_Senate_of_Poland_cropped.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,Khurram Dastgir Khan,Khurram Dastgir Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khurram Dastgir Khan,,,,,,,,,,,,,,,,,,,,,
Q17198786,,Saira Afzal Tarar,Saira Afzal Tarar,Saira Afzal Tarar,سائرہ افضل تارڑ,,,Saira Afzal Tarar,,Saira Afzal Tarar,,Saira Afzal Tarar,,,,,سائرہ افضل تارڑ,female,1966-06-07,Saira Afzal Tarar,,,Saira Afzal Tarar,,,سائرہ افضل تارڑ,سائرہ افضل تارڑ,,,,,,,,,,,,,,,,,,,,,,ਸਾਇਰਾ ਅਫਜ਼ਲ ਤਾਰੜ,,,,,,,,,,,Category:Saira Afzal Tarar,,,,,,,,,,,,,,,,,,ਸਾਇਰਾ ਅਫਜ਼ਲ ਤਾਰੜ,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f6/Prime_Minister_Nawaz_Sharif_is_discussing_further_extension_of_Sangla_hill_interchange_with_his_federal_Minister_Ch._Berjees_Tahir_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saira Afzal Tarar,,,,,,,,,,,,,,,,,,,,,
Q17287330,,Tahira Asif,Tahira Asif,Tahira Asif,طاہرہ آصف,,,Tahira Asif,,Tahira Asif,,Tahira Asif,,,,,طاہرہ آصف,female,1961-07-13,Tahira Asif,Tahira,,Tahira Asif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,Tahira Asif,2014-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tahira Asif,,,,,,,,,,,,,,,,,,,,,
Q17305664,,Muhammad Baligh Ur Rehman,Muhammad Baligh Ur Rehman,Muhammad Baligh Ur Rehman,,,,Muhammad Baligh Ur Rehman,,Muhammad Baligh Ur Rehman,,Muhammad Baligh Ur Rehman,,,,,,male,1970-12-21,Muhammad Baligh Ur Rehman,Muhammed,,Muhammad Baligh Ur Rehman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/Muhammad_Baligh_Ur_Rehman_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad Baligh Ur Rehman,,,,,,,,,,,,,,,,,,,,,
Q17306050,,Usman Ibrahim,Usman Ibrahim,Usman Ibrahim,عثمان ابراہیم,,,Usman Ibrahim,,Usman Ibrahim,,Usman Ibrahim,,,,,,male,1939-09-01,Usman Ibrahim,Usman,,Usman Ibrahim,,,,,,,,,,উসমান ইবরাহিম,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Usman Ibrahim,,,,,,,,,,,,,,,,,,,,,
Q17385531,,Sheikh Aftab Ahmed,Sheikh Aftab Ahmed,Sheikh Aftab Ahmed,شیخ آفتاب احمد,,شیخ آفتاب احمد,Sheikh Aftab Ahmed,,Sheikh Aftab Ahmed,,Sheikh Aftab Ahmed,شیخ آفتاب احمد,,,,شیخ آفتاب احمد,male,1944-10-25,Sheikh Aftab Ahmed,,,,,,,,,,,,,শেখ আফতাব আহমেদ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheikh Aftab Ahmed,,,,,,,,,,,,,,,,,,,,,
Q17385613,,Abdul Hakeem Baloch,Abdul Hakeem Baloch,Abdul Hakeem Baloch,,,,Abdul Hakeem Baloch,,Abdul Hakeem Baloch,,Abdul Hakeem Baloch,,,,,,male,,Abdul Hakeem Baloch,Abd al-Hakim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Hakeem Baloch,,,,,,,,,,,,,,,,,,,,,
Q17388811,,Khurshid Ahmed Shah,Syed Khursheed Ahmad Shah,Syed Khurshid Ahmed Shah,سید خورشید احمد شاہ,,,Syed Khurshid Ahmed Shah,,Syed Khursheed Ahmad Shah,Syed Khurshid Ahmed Shah,Syed Khurshid Ahmed Shah,,Khurshid Ahmed Shah,,,سید خورشید شاہ,male,1952-04-20,Syed Khurshid Ahmed Shah,Syed,,,,36053004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n89265692,,,,,,381392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syed Khurshid Ahmed Shah,,,,,,,,,,,,,,,,,,,,,
Q17484251,,Rafiq Ahmed Jamali,Rafique Ahmed Jamali,Rafiq Ahmed Jamali,رفیق احمد جمالی,,,Rafiq Ahmed Jamali,رفيق احمد جمالي,Rafique Ahmed Jamali,,Rafiq Ahmed Jamali,,,,رفيق احمد جمالي,,male,1967-01-01,Rafiq Ahmed Jamali,Rafiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Rafiq_Ahmed_Jamali.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafiq Ahmed Jamali,,,,,,,,,,,,,,,,,,,,,
Q17916839,,Abdul Rahim Khan Mandokhel,Abdul Rahim Khan Mandokhel,Abdul Rahim Khan Mandokhel,,,,Abdul Rahim Khan Mandokhel,,Abdul Rahim Khan Mandokhel,,Abdul Rahim Khan Mandokhel,,,,,,male,1932-06-15,Abdul Rahim Mandokhail,Abdur Rahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,2017-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Rahim Khan Mandokhel,,,,,,,,,,,,,,,,,,,,,
Q18749680,,Aasiya Nasir,Aasiya Nasir,,,,,Aasiya Nasir,,Aasiya Nasir,,Aasiya Nasir,,,,,,female,,,Aasiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aasiya Nasir,,,,,,,,,,,,,,,,,,,,,
