id,name,name__en,name__ht,name__es,name__fr,name__de,name__zh,wikipedia__en,wikipedia__ht,wikipedia__zh,identifier__VIAF,death_date,birth_date,gender,image,given_name,identifier__LCAuth,identifier__snac,original_wikiname,name__pt,name__pl,name__ru,name__yo,name__sv,name__nl,name__uk,name__nb,name__da,name__nn,name__hu,name__ar,wikipedia__ar,wikipedia__de,wikipedia__es,wikipedia__fr,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__uk,wikipedia__yo,identifier__freebase,identifier__BNF,occupation,identifier__ISNI,identifier__SUDOC,identifier__Britannica,name__it,identifier__OLID,family_name,identifier__FAST,identifier__GND,identifier__CERL,name__fa,name__gl,wikipedia__commons,wikipedia__fa,wikipedia__frwikisource,wikipedia__gl,identifier__NLAtrove,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__ml,name__ja,name__br,name__vi,name__eo,name__sr_el,name__sr_ec,name__tr,name__ro,name__fi,name__la,name__war,name__cs,name__th,name__sr,name__eu,name__hy,name__id,name__be,wikipedia__be,wikipedia__br,wikipedia__cs,wikipedia__da,wikipedia__eo,wikipedia__eu,wikipedia__fi,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__plwikiquote,wikipedia__ro,wikipedia__sr,wikipedia__th,wikipedia__tr,wikipedia__vi,wikipedia__war,identifier__NTA,identifier__GNC,identifier__NLI,identifier__bigenc_ru,identifier__CTHS,identifier__persee,name__mg,wikipedia__mg,identifier__IIAF,name__sl,wikipedia__sl,identifier__britishmuseum,identifier__GTAA,name__qu,wikipedia__qu,name__cy,identifier__nlg,name__ka,name__he,wikipedia__he,wikipedia__ka,name__el,wikipedia__el,identifier__NNDB,identifier__MusicBrainz,name__mr,wikipedia__mr,name__et,wikipedia__et,name__en_ca,name__en_gb,name__ca,name__oc,name__io,wikipedia__ca,wikipedia__io,wikipedia__simple,identifier__NUKAT,identifier__Munzinger,identifier__IMDB,name__mzn,wikipedia__frwikiquote,wikipedia__mzn,wikipedia__cy,identifier__SELIBR,name__hr,wikipedia__hr,name__mn,wikipedia__mn,wikipedia__enwikisource,identifier__OpenPlaques,name__jv,name__mk,name__sco,name__af,name__an,name__ast,name__bar,name__bm,name__co,name__de_at,name__de_ch,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lt,name__lv,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__jv,wikipedia__mk,wikipedia__sco,identifier__CSPAN,website,twitter,identifier__BNE,name__csb,name__dsb,name__om,wikipedia__oc,name__szl,name__fo,name__ilo,wikipedia__fo,wikipedia__ilo,wikipedia__szl,wikipedia__vo,identifier__NLA,wikipedia__elwikisource,name__sh,wikipedia__enwikinews,wikipedia__sh,wikipedia__sk,identifier__discogs,identifier__quora,identifier__votesmart,identifier__FEC
Q12892077,Jonas Petit,Jonas Petit,Jonas Petit,,,,,,Jonas Petit,,,,,male,,Jonas,,,Jonas Petit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12892106,Joseph Buteau,,Joseph Buteau,,,,,,Joseph Buteau,,,,,male,,Joseph,,,Joseph Buteau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12892120,Joseph Philippe Antonio,,Joseph Philippe Antonio,,,,,,Joseph Philippe Antonio,,,,,male,,Joseph,,,Joseph Philippe Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12893774,Lucien Hibbert,,Lucien Hibbert,,,,,,Lucien Hibbert,,,,,male,,Lucien,,,Lucien Hibbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucien Hibbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12894233,Mauclair Zephirin,Mauclair Zephirin,Mauclair Zephirin,,,,,,Mauclair Zéphirin,,,,,,,,,,Mauclair Zéphirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauclair Zephirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12894833,Norma Jean-Claude Forté,,Norma Jean-Claude Forté,,Norma Jean-Claude Forté,,,,Norma Jean-Claude Forté,,,,,female,,,,,Norma Jean-Claude Forté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12896023,Raymond Moise,,Raymond Moise,,,,,,Raymond Moise,,,,,male,,Raymond,,,Raymond Moise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12896074,Reginald Victor-Louis,,Reginald Victor-Louis,,,,,,Reginald Victor-Louis,,,,,male,,Reginald,,,Reginald Victor-Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reginald Victor-Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12896106,René Chalmers,,René Chalmers,,,,,,René Chalmers,,,,,male,,René,,,René Chalmers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12896380,Rose Pierre-Louis,,Rose Pierre-Louis,,,,,,Rose Pierre-Louis,,,,,female,,Rose,,,Rose Pierre-Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rose Pierre-Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12897167,Sauveur Pierre Etienne,Sauveur Pierre Etienne,Sauveur Pierre Etienne,Sauveur Pierre Étienne,Sauveur Pierre Etienne,Sauveur Pierre Étienne,,,Sauveur Pierre Etienne,,74015629,,1959-09-05,male,,Sauveur,no99062256,,Sauveur Pierre Étienne,,,,,,Sauveur Pierre Étienne,,,,,,,,,,Sauveur Pierre Étienne,,,,,,,,13548341m,political scientist,0000 0000 4755 4554,050809156,,,,,,1014157293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12897507,Stuart Cambronne,,Stuart Cambronne,,,,,,Stuart Cambronne,,,,,male,,Stuart,,,Stuart Cambronne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuart Cambronne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12898456,Yvon Perrier,,Yvon Perrier,,,,,,Yvon Perrier,,,,,male,,,,,Yvon Perrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1356852,Jacques Roumain,Jacques Roumain,Jacques Roumain,,Jacques Roumain,Jacques Roumain,,Jacques Roumain,Jacques Roumain,,49230970,1944-08-18,1907-06-04,male,https://upload.wikimedia.org/wikipedia/commons/9/9c/Jacques_Roumain.jpg,Jacques,n50049967,w6z611t4,Jacques Roumain,,Jacques Roumain,"Румен, Жак",,Jacques Roumain,Jacques Roumain,,Jacques Roumain,Jacques Roumain,Jacques Roumain,,,,Jacques Roumain,,Jacques Roumain,Jacques Roumain,,"Румен, Жак",,,,/m/053wd8,11922838n,writer,0000 0001 2131 8446,027111903,,,OL85357A,,17001,118791362,,,,,,,,1158696,,,,,,,,,,ジャック・ルーマン,,,,,,,Jacques Roumain,,,,,,,Jacques Roumain,,,,,,,,,Jacques Roumain,,,,,,ジャック・ルーマン,,,,,,,,,Jacques Roumain,,,,,,068787006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacques Roumain,Jacques Roumain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1356931,Guy Philippe,Guy Philippe,Guy Philippe,Guy Philippe,Guy Philippe,Guy Philippe,,Guy Philippe,Guy Philippe,,,,1968-02-29,male,,Guy,,,Guy Philippe,,,"Филипп, Ги",,,Guy Philippe,,,,,Guy Philippe,,,Guy Philippe,Guy Philippe,Guy Philippe,,,"Филипп, Ги",,,,/m/02f_h1,,politician,,,,,,Philippe,,,,,,,,,,,,,,,,,,,,ギ・フィリップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ギ・フィリップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1442445,Franck Lavaud,Franck Lavaud,,,Franck Lavaud,Franck Lavaud,弗兰克·洛奥,Franck Lavaud,,弗兰克·洛奥,310521190,1986,1903-02-16,male,https://upload.wikimedia.org/wikipedia/commons/7/78/Franck_Lavaud_portrait.jpg,Franck,,,Franck Lavaud,,,"Лаво, Франк",,Franck Lavaud,Frank Lavaud,Франк Лаво,Frank Lavaud,Frank Lavaud,Frank Lavaud,,,,Franck Lavaud,,Franck Lavaud,,,"Лаво, Франк",Franck Lavaud,Франк Лаво,,/m/0h5398g,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1508785,Georges Anglade,Georges Anglade,Georges Anglade,Georges Anglade,Georges Anglade,Georges Anglade,,Georges Anglade,Georges Anglade,,39504226,2010-01-12,1944-07-18,male,,Georges,n82125798,,Georges Anglade,,,,,Georges Anglade,Georges Anglade,,Georges Anglade,Georges Anglade,Georges Anglade,Georges Anglade,,,Georges Anglade,Georges Anglade,Georges Anglade,,,,,,,/m/04ygxxg,12792233h,geographer,0000 0001 2129 0383,050132601,,,,,99113,136940900,,,,,,,,,,,,,,,,,,ジョルジュ・アングラード,,,,,,,,,,,,,,,,,,,,,Georges Anglade,,,,,,,,,,,,,,,Georges Anglade,,,,,,,,,,,,,,,,,,,,,,,Georges Anglade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15635856,Pierre-Richard Casimir,Pierre-Richard Casimir,,,Pierre-Richard Casimir,,卡希米荷,,,,,,1970-02-19,male,https://upload.wikimedia.org/wikipedia/commons/4/49/Pierre-Richard_Casimir_(cropped).jpg,Pierre-Richard,,,Pierre-Richard Casimir,,,,,,Pierre-Richard Casimir,,,,,,,,,,Pierre-Richard Casimir,,,,,,,,,politician,,,,,,,,,,,,Category:Pierre-Richard Casimir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1584205,Joseph Anténor Firmin,Anténor Firmin,Antenor Firmin,Anténor Firmin,Joseph Anténor Firmin,Joseph-Anténor Firmin,,Anténor Firmin,Anténor Firmin,,5083728,1911-09-19,1850-10-18,male,https://upload.wikimedia.org/wikipedia/commons/1/14/Firmin-antenor.gif,Joseph,n88651667,w69p53vv,Joseph Anténor Firmin,Anténor Firmin,,,,Antenor Firmin,Anténor Firmin,,Antenor Firmin,Antenor Firmin,Antenor Firmin,Anténor Firmin,,,Joseph-Anténor Firmin,Anténor Firmin,Joseph Anténor Firmin,,Anténor Firmin,,,,,/m/0ktb11,13485124d,anthropologist,0000 0000 8352 5531,070504881,,,OL5374463A,Firmin,233972,172075661,,,,Category:Anténor Firmin,,Auteur:Anténor Firmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26543906X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anténor Firmin,,,233006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16027664,Michel Chancy,Michel Chancy,,,Michel Chancy,,,,,,,,,male,https://upload.wikimedia.org/wikipedia/commons/2/2d/Michel_Chancy.jpg,Michel,,,Michel Chancy,,,,,,Michel Chancy,,,,,,,,,,Michel Chancy,,,,,,,,,veterinarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
