id,name,sort_name,given_name,family_name,party,party_id,area,start_date,end_date,email,twitter,term,source
206,Mario Bedera,"Bedera Bravo, Mario",Mario,Bedera Bravo,PSOE,5,Valladolid,2011-12-01,,mario.bedera@congreso.es,https://twitter.com/mariobedera,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D206&idLegislatura=10
144,María Angelina Costa,"Costa Palacios, María Angelina",María Angelina,Costa Palacios,PSOE,5,Córdoba,2011-11-30,,angelinacosta@congreso.es,https://twitter.com/AngelinaCostaP,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D144&idLegislatura=10
372,Patricia Blanquer,"Blanquer Alcaraz, Patricia",Patricia,Blanquer Alcaraz,PSOE,5,Alicante,2012-07-24,,patricia.blanquer@congreso.es,https://twitter.com/Patri_Blanquer,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D372&idLegislatura=10
315,Gerardo Camps,"Camps Devesa, Gerardo",Gerardo,Camps Devesa,PP,1,Alicante,2011-12-07,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D315&idLegislatura=10
250,María Luz Bajo,"Bajo Prieto, María Luz",María Luz,Bajo Prieto,PP,1,Madrid,2011-12-02,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D250&idLegislatura=10
330,Meritxell Batet,"Batet Lamaña, Meritxell",Meritxell,Batet Lamaña,PSC-PSOE,7,Barcelona,2011-12-09,,meritxell.batet@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D330&idLegislatura=10
96,José Blanco,"Blanco López, José",José,Blanco López,PSOE,5,Lugo,2011-11-30,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D96&idLegislatura=10
371,María del Mar Baena,"Baena Azuaga, María del Mar",María del Mar,Baena Azuaga,PP,1,Málaga,2012-06-26,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D371&idLegislatura=10
66,Francisco Manuel Caamaño,"Caamaño Domínguez, Francisco Manuel",Francisco Manuel,Caamaño Domínguez,PSOE,5,A Coruña,2011-11-29,2012-11-13,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/DiputadosLegFechas?_piref73_2496079_73_2496068_2496068.next_page=%2Fwc%2FfichaDiputado&idDiputado=66
104,María González,"González Veracruz, María",María,González Veracruz,PSOE,5,Murcia,2011-11-30,,mariagv@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D104&idLegislatura=10
13,Juan Carlos Aparicio,"Aparicio Pérez, Juan Carlos",Juan Carlos,Aparicio Pérez,PP,1,Burgos,2011-11-28,2013-09-26,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/DiputadosLegFechas?_piref73_2496079_73_2496068_2496068.next_page=%2Fwc%2FfichaDiputado&idDiputado=13
342,Iñaki Antigüedad,"Antigüedad Auzmendi, Iñaki",Iñaki,Antigüedad Auzmendi,AMAIUR,2,Bizkaia,2011-12-12,2012-05-16,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/DiputadosLegFechas?_piref73_2496079_73_2496068_2496068.next_page=%2Fwc%2FfichaDiputado&idDiputado=342
20,Jaime Javier Barrero,"Barrero López, Jaime Javier",Jaime Javier,Barrero López,PSOE,5,Huelva,2011-11-28,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D20&idLegislatura=10
7,Pablo Casado,"Casado Blanco, Pablo",Pablo,Casado Blanco,PP,1,Ávila,2011-11-28,,pablocasadoblanco@gmail.com,http://twitter.com/pablocasado_,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D7&idLegislatura=10
127,María del Puerto Gallego,"Gallego Arriola, María del Puerto",María del Puerto,Gallego Arriola,PSOE,5,Cantabria,2011-11-30,,puerto.gallego@yahoo.es,https://twitter.com/Puerto_Gallego,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D127&idLegislatura=10
97,Antonio Erias,"Erias Rey, Antonio",Antonio,Erias Rey,PP,1,A Coruña,2011-11-30,,antonio.erias@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D97&idLegislatura=10
2,Sebastián González,"González Vázquez, Sebastián",Sebastián,González Vázquez,PP,1,Ávila,2011-11-28,,sgvazquez@congreso.es,https://twitter.com/sebastiangonvaz,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D2&idLegislatura=10
202,Joan Coscubiela,"Coscubiela Conesa, Joan",Joan,Coscubiela Conesa,ICV,13,Barcelona,2011-12-01,,icv.congreso@gpiv.congreso.es,https://twitter.com/jcoscu,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D202&idLegislatura=10
382,María Luisa González,"González Santín, María Luisa",María Luisa,González Santín,PSOE,5,León,2013-01-29,,luisa.gonzalez@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D382&idLegislatura=10
107,Pilar Barreiro,"Barreiro Álvarez, Pilar",Pilar,Barreiro Álvarez,PP,1,Murcia,2011-11-30,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D107&idLegislatura=10
108,Carlos Aragonés,"Aragonés Mendiguchía, Carlos",Carlos,Aragonés Mendiguchía,PP,1,Madrid,2011-11-30,,c.aragones@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D108&idLegislatura=10
138,Irene Garrido,"Garrido Valenzuela, Irene",Irene,Garrido Valenzuela,PP,1,Pontevedra,2011-11-30,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D138&idLegislatura=10
123,Alejandro Alonso,"Alonso Núñez, Alejandro",Alejandro,Alonso Núñez,PSOE,5,Toledo,2011-11-30,,aalonso@congreso.es,https://twitter.com/a_alonsonunez,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D123&idLegislatura=10
205,Rosa Delia Blanco,"Blanco Terán, Rosa Delia",Rosa Delia,Blanco Terán,PSOE,5,Madrid,2011-12-01,,delia.blanco@congreso.es,https://twitter.com/DeliaBlancoT,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D205&idLegislatura=10
150,Alfonso Alonso,"Alonso Aranegui, Alfonso",Alfonso,Alonso Aranegui,PP,1,Araba,2011-11-30,,portavoz.gpp@gpp.congreso.es,https://twitter.com/AlfonsoAlonsoPP,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D150&idLegislatura=10
222,Herick Manuel Campos,"Campos Arteseros, Herick Manuel",Herick Manuel,Campos Arteseros,PSOE,5,Alicante,2011-12-02,,hca@congreso.es,https://twitter.com/herick_campos,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D222&idLegislatura=10
278,Juan Bertomeu,"Bertomeu Bertomeu, Juan",Juan,Bertomeu Bertomeu,PP,1,Tarragona,2011-12-05,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D278&idLegislatura=10
242,María Pilar Alegría,"Alegría Continente, María Pilar",María Pilar,Alegría Continente,PSOE,5,Zaragoza,2011-12-02,,palegria@congreso.es,https://twitter.com/PAlegria2011,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D242&idLegislatura=10
264,Marta González,"González Vázquez, Marta",Marta,González Vázquez,PP,1,A Coruña,2011-12-05,,marta.gonzalez@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D264&idLegislatura=10
26,María Fátima Báñez,"Báñez García, María Fátima",María Fátima,Báñez García,PP,1,Huelva,2011-11-28,,fatima.banez@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D26&idLegislatura=10
175,Águeda Fumero,"Fumero Roque, Águeda",Águeda,Fumero Roque,PP,1,Santa Cruz de Tenerife,2011-12-01,,agueda.fumero@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D175&idLegislatura=10
141,Sofía Hernanz,"Hernanz Costa, Sofía",Sofía,Hernanz Costa,PSOE,5,Illes Balears,2011-11-30,,sofia.hernanz@congreso.es,https://twitter.com/Hernanzsofia,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D141&idLegislatura=10
63,Agustín Conde,"Conde Bajén, Agustín",Agustín,Conde Bajén,PP,1,Toledo,2011-11-29,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D63&idLegislatura=10
266,María Luisa Carcedo,"Carcedo Roces, María Luisa",María Luisa,Carcedo Roces,PSOE,5,Asturias,2011-12-05,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D266&idLegislatura=10
282,Antonio Cantó,"Cantó García del Moral, Antonio",Antonio,Cantó García del Moral,UPyD,3,Valencia,2011-12-05,,secretaria.upyd@congreso.es,https://twitter.com/ToniCanto1,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D282&idLegislatura=10
173,Celia Alberto,"Alberto Pérez, Celia",Celia,Alberto Pérez,PP,1,Las Palmas,2011-12-01,,celia.alberto@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D173&idLegislatura=10
283,Guillermo Collarte,"Collarte Rodríguez, Guillermo",Guillermo,Collarte Rodríguez,PP,1,Ourense,2011-12-05,,guillermo.collarte@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D283&idLegislatura=10
249,María Ascensión Carreño,"Carreño Fernández, María Ascensión",María Ascensión,Carreño Fernández,PP,1,Murcia,2011-12-02,,maria.carreno@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D249&idLegislatura=10
148,María Teresa Angulo,"Angulo Romero, María Teresa",María Teresa,Angulo Romero,PP-EU,4,Badajoz,2011-11-30,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D148&idLegislatura=10
83,Ramón Aguirre,"Aguirre Rodríguez, Ramón",Ramón,Aguirre Rodríguez,PP,1,Guadalajara,2011-11-29,2012-01-18,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/DiputadosLegFechas?_piref73_2496079_73_2496068_2496068.next_page=%2Fwc%2FfichaDiputado&idDiputado=83
12,Juan Manuel Albendea,"Albendea Pabón, Juan Manuel",Juan Manuel,Albendea Pabón,PP,1,Sevilla,2011-11-28,,juan.albendea@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D12&idLegislatura=10
364,Sara Cobos,"Cobos Trallero, Sara",Sara,Cobos Trallero,PP-PAR,14,Zaragoza,2012-03-06,,sara.cobos@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D364&idLegislatura=10
299,Antonio Camacho,"Camacho Vizcaíno, Antonio",Antonio,Camacho Vizcaíno,PSOE,5,Zamora,2011-12-05,,"",http://twitter.com/HMcamachoV,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D299&idLegislatura=10
293,José María Barreda,"Barreda Fontes, José María",José María,Barreda Fontes,PSOE,5,Ciudad Real,2011-12-05,,jose.barreda@congreso.es,https://twitter.com/Josebarreda,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D293&idLegislatura=10
370,Onintza Enbeita,"Enbeita Maguregi, Onintza",Onintza,Enbeita Maguregi,AMAIUR,2,Bizkaia,2012-06-19,,onintza.enbeita@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D370&idLegislatura=10
362,María Teresa Cobaleda,"Cobaleda Hernández, María Teresa",María Teresa,Cobaleda Hernández,PP,1,Salamanca,2012-02-07,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D362&idLegislatura=10
