iddiputado,name,sort_name,given_name,family_name,gender,party,faction_id,faction,source,dob,term,start_date,end_date,email,twitter,facebook,phone,fax,constituency,photo,id
,Guillermo Antonio Meijón Couselo,"Meijón Couselo, Guillermo Antonio",Guillermo Antonio,Meijón Couselo,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=180,,11,,,"","","","","",Pontevedra,"",10_153
,Pedro Ramón Gómez de la Serna y Villacieros,"Gómez de la Serna y Villacieros, Pedro Ramón",Pedro Ramón,Gómez de la Serna y Villacieros,male,"",GMx,G.P. Mixto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=7&idLegislatura=11,,11,,,"","","","","",Segovia,"",10_16
,José Manuel Soria López,"Soria López, José Manuel",José Manuel,Soria López,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=246&idLegislatura=11,,11,,,"","","","","",Palmas (Las),"",10_168
,Matilde Pastora Asian González,"Asian González, Matilde Pastora",Matilde Pastora,Asian González,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=205,,11,,,"","","","","",Palmas (Las),"",10_172
,Francisco Domingo Cabrera García,"Cabrera García, Francisco Domingo",Francisco Domingo,Cabrera García,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=351&idLegislatura=11,,11,,,"","","","","",Palmas (Las),"",10_176
,Isabel María Borrego Cortés,"Borrego Cortés, Isabel María",Isabel María,Borrego Cortés,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=29,,11,,,"","","","","",Murcia,"",10_18
,Pilar Cortés Bureta,"Cortés Bureta, Pilar",Pilar,Cortés Bureta,female,PP-PAR,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=215,,11,,,"","","","","",Zaragoza,"",10_189
,Lourdes Ciuró i Buldó,"Ciuró i Buldó, Lourdes",Lourdes,Ciuró i Buldó,female,DL,DL,G.P. Catalán,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=342,,11,,,"","","","","",Barcelona,"",10_197
,Carolina España Reina,"España Reina, Carolina",Carolina,España Reina,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=20,,11,,,"","","","","",Málaga,"",10_235
,María Ascensión Carreño Fernández,"Carreño Fernández, María Ascensión",María Ascensión,Carreño Fernández,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=110,,11,,,"","","","","",Murcia,"",10_249
,María Luz Bajo Prieto,"Bajo Prieto, María Luz",María Luz,Bajo Prieto,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=217,,11,,,"","","","","",Madrid,"",10_250
,José Zaragoza Alonso,"Zaragoza Alonso, José",José,Zaragoza Alonso,male,PSC-PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=218,,11,,,"","","","","",Barcelona,"",10_253
,Belén Hoyo Juliá,"Hoyo Juliá, Belén",Belén,Hoyo Juliá,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=303,,11,,,"","","","","",Valencia/València,"",10_254
,José Alberto Martín-Toledano Suárez,"Martín-Toledano Suárez, José Alberto",José Alberto,Martín-Toledano Suárez,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=155,,11,,,"","","","","",Ciudad Real,"",10_259
,Marta González Vázquez,"González Vázquez, Marta",Marta,González Vázquez,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=115,,11,,,"","","","","",Coruña (A),"",10_264
,Joan Baldoví Roda,"Baldoví Roda, Joan",Joan,Baldoví Roda,male,COMPROMÍS,GMx,G.P. Mixto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=281,,11,,,"","","","","",Valencia/València,"",10_275
,Antonio Hurtado Zurera,"Hurtado Zurera, Antonio",Antonio,Hurtado Zurera,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=54,,11,,,"","","","","",Córdoba,"",10_28
,Jaime Eduardo de Olano Vela,"Olano Vela, Jaime Eduardo de",Jaime Eduardo de,Olano Vela,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=114,,11,,,"","","","","",Lugo,"",10_280
,Antonio Cantó García del Moral,"Cantó García del Moral, Antonio",Antonio,Cantó García del Moral,male,Cs,GCs,G.P. Ciudadanos,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=233,,11,,,"","","","","",Valencia/València,"",10_282
,Rubén Moreno Palanques,"Moreno Palanques, Rubén",Rubén,Moreno Palanques,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=145,,11,,,"","","","","",Valencia/València,"",10_288
,Isabel Rodríguez García,"Rodríguez García, Isabel",Isabel,Rodríguez García,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=196,,11,,,"","","","","",Ciudad Real,"",10_292
,José María Barreda Fontes,"Barreda Fontes, José María",José María,Barreda Fontes,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=181,,11,,,"","","","","",Ciudad Real,"",10_293
,Teresa Jordà i Roura,"Jordà i Roura, Teresa",Teresa,Jordà i Roura,female,ERC-CATSÍ,GER,G.P. Esquerra Republicana,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=277,,11,,,"","","","","",Girona,"",10_294
,Eduardo Fernández García,"Fernández García, Eduardo",Eduardo,Fernández García,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=26,,11,,,"","","","","",León,"",10_298
,José Ignacio Sánchez Amor,"Sánchez Amor, José Ignacio",José Ignacio,Sánchez Amor,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=166,,11,,,"","","","","",Badajoz,"",10_306
,Eloy Suárez Lamata,"Suárez Lamata, Eloy",Eloy,Suárez Lamata,male,PP-PAR,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=33,,11,,,"","","","","",Zaragoza,"",10_32
,Antonio Ramón María Trevín Lombán,"Trevín Lombán, Antonio Ramón María",Antonio Ramón María,Trevín Lombán,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=198,,11,,,"","","","","",Asturias,"",10_323
,Odón Elorza González,"Elorza González, Odón",Odón,Elorza González,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=296,,11,,,"","","","","",Gipuzkoa,"",10_334
,Pedro Quevedo Iturbe,"Quevedo Iturbe, Pedro",Pedro,Quevedo Iturbe,male,NCa,GMx,G.P. Mixto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=348,,11,,,"","","","","",Palmas (Las),"",10_335
,María Jesús Moro Almaraz,"Moro Almaraz, María Jesús",María Jesús,Moro Almaraz,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=11,,11,,,"","","","","",Salamanca,"",10_34
,Teodoro García Egea,"García Egea, Teodoro",Teodoro,García Egea,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=31,,11,,,"","","","","",Murcia,"",10_360
,Onintza Enbeita Maguregi,"Enbeita Maguregi, Onintza",Onintza,Enbeita Maguregi,female,EH Bildu,GMx,G.P. Mixto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=336&idLegislatura=11,,11,,,"","","","","",Bizkaia,"",10_370
,Patricia Blanquer Alcaraz,"Blanquer Alcaraz, Patricia",Patricia,Blanquer Alcaraz,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=197,,11,,,"","","","","",Alicante/Alacant,"",10_372
,Germán Rodríguez Sánchez,"Rodríguez Sánchez, Germán",Germán,Rodríguez Sánchez,male,PSC-PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=300&idLegislatura=11,,11,,,"","","","","",Barcelona,"",10_378
,José Ramón García Hernández,"García Hernández, José Ramón",José Ramón,García Hernández,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=310,,11,,,"","","","","",Ávila,"",10_388
,José Manuel Girela de la Fuente,"Girela de la Fuente, José Manuel",José Manuel,Girela de la Fuente,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=298&idLegislatura=11,,11,,,"","","","","",Sevilla,"",10_397
,José Alberto Herrero Bono,"Herrero Bono, José Alberto",José Alberto,Herrero Bono,male,PP-PAR,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=39,,11,,,"","","","","",Teruel,"",10_398
,María del Mar Rominguera Salazar,"Rominguera Salazar, María del Mar",María del Mar,Rominguera Salazar,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=293,,11,,,"","","","","",Zamora,"",10_399
,Juan Vicente Pérez Aras,"Pérez Aras, Juan Vicente",Juan Vicente,Pérez Aras,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=167,,11,,,"","","","","",Valencia/València,"",10_407
,Irene Lozano Domingo,"Lozano Domingo, Irene",Irene,Lozano Domingo,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=313&idLegislatura=11,,11,,,"","","","","",Madrid,"",10_43
,Francisco Molinero Hoyos,"Molinero Hoyos, Francisco",Francisco,Molinero Hoyos,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=208,,11,,,"","","","","",Albacete,"",10_48
,Alfonso Candón Adán,"Candón Adán, Alfonso",Alfonso,Candón Adán,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=98,,11,,,"","","","","",Cádiz,"",10_56
,Carmelo Romero Hernández,"Romero Hernández, Carmelo",Carmelo,Romero Hernández,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=225,,11,,,"","","","","",Huelva,"",10_59
,María Eugenia Romero Rodríguez,"Romero Rodríguez, María Eugenia",María Eugenia,Romero Rodríguez,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=99,,11,,,"","","","","",Sevilla,"",10_61
,Juan Luis Gordo Pérez,"Gordo Pérez, Juan Luis",Juan Luis,Gordo Pérez,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=22,,11,,,"","","","","",Segovia,"",10_65
,Pablo Casado Blanco,"Casado Blanco, Pablo",Pablo,Casado Blanco,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=308,,11,,,"","","","","",Ávila,"",10_7
,Alberto Garzón Espinosa,"Garzón Espinosa, Alberto",Alberto,Garzón Espinosa,male,IU-UPeC,GMx,G.P. Mixto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=183,,11,,,"","","","","",Madrid,"",10_70
,Elvira Ramón Utrabo,"Ramón Utrabo, Elvira",Elvira,Ramón Utrabo,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=314,,11,,,"","","","","",Granada,"",10_77
,Aina Vidal Sáez,"Vidal Sáez, Aina",Aina,Vidal Sáez,female,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=100,,11,,,"","","","","",Barcelona,"",11_100
,Joan Miquel Mena Arca,"Mena Arca, Joan Miquel",Joan Miquel,Mena Arca,male,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=101,,11,,,"","","","","",Barcelona,"",11_101
,Jaume Moya Matas,"Moya Matas, Jaume",Jaume,Moya Matas,male,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=103,,11,,,"","","","","",LLeida,"",11_103
,Dolors Terradas Viñals,"Terradas Viñals, Dolors",Dolors,Terradas Viñals,female,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=104&idLegislatura=11,,11,,,"","","","","",Girona,"",11_104
,María Luz Rodríguez Fernández,"Rodríguez Fernández, María Luz",María Luz,Rodríguez Fernández,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=105&idLegislatura=11,,11,,,"","","","","",Guadalajara,"",11_105
,Marcelo Expósito Prieto,"Expósito Prieto, Marcelo",Marcelo,Expósito Prieto,male,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=107,,11,,,"","","","","",Barcelona,"",11_107
,César Joaquín Ramos Esteban,"Ramos Esteban, César Joaquín",César Joaquín,Ramos Esteban,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=108,,11,,,"","","","","",Cáceres,"",11_108
,María Luz Martínez Seijo,"Martínez Seijo, María Luz",María Luz,Martínez Seijo,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=109,,11,,,"","","","","",Palencia,"",11_109
,Juan Manuel Juncal Rodríguez,"Juncal Rodríguez, Juan Manuel",Juan Manuel,Juncal Rodríguez,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=111,,11,,,"","","","","",Coruña (A),"",11_111
,José Ramón García Cañal,"García Cañal, José Ramón",José Ramón,García Cañal,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=113,,11,,,"","","","","",Asturias,"",11_113
,María Pilar Ardanza Uribarren,"Ardanza Uribarren, María Pilar",María Pilar,Ardanza Uribarren,female,EAJ-PNV,EAJ-PNV,G.P. Vasco,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=117&idLegislatura=11,,11,,,"","","","","",Bizkaia,"",11_117
,Íñigo Barandiaran Benito,"Barandiaran Benito, Íñigo",Íñigo,Barandiaran Benito,male,EAJ-PNV,EAJ-PNV,G.P. Vasco,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=118,,11,,,"","","","","",Gipuzkoa,"",11_118
,Mikel Legarda Uriarte,"Legarda Uriarte, Mikel",Mikel,Legarda Uriarte,male,EAJ-PNV,EAJ-PNV,G.P. Vasco,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=120,,11,,,"","","","","",Araba/Álava,"",11_120
,Esther Peña Camarero,"Peña Camarero, Esther",Esther,Peña Camarero,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=122,,11,,,"","","","","",Burgos,"",11_122
,Pilar Rojo Noguera,"Rojo Noguera, Pilar",Pilar,Rojo Noguera,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=124,,11,,,"","","","","",Pontevedra,"",11_124
,María del Mar García Puig,"García Puig, María del Mar",María del Mar,García Puig,female,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=125,,11,,,"","","","","",Barcelona,"",11_125
,Juan Carlos Campo Moreno,"Campo Moreno, Juan Carlos",Juan Carlos,Campo Moreno,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=126,,11,,,"","","","","",Cádiz,"",11_126
,Miriam Alconchel Gonzaga,"Alconchel Gonzaga, Miriam",Miriam,Alconchel Gonzaga,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=127,,11,,,"","","","","",Cádiz,"",11_127
,María de la Paz Del Moral Milla,"Del Moral Milla, María de la Paz",María de la Paz,Del Moral Milla,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=13&idLegislatura=11,,11,,,"","","","","",Jaén,"",11_13
,Lucía Martín González,"Martín González, Lucía",Lucía,Martín González,female,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=131,,11,,,"","","","","",Barcelona,"",11_131
,Marta Sibina Camps,"Sibina Camps, Marta",Marta,Sibina Camps,female,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=132,,11,,,"","","","","",Barcelona,"",11_132
,José Enrique Fernández de Moya Romero,"Fernández de Moya Romero, José Enrique",José Enrique,Fernández de Moya Romero,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=133,,11,,,"","","","","",Jaén,"",11_133
,María Jesús Serrano Jiménez,"Serrano Jiménez, María Jesús",María Jesús,Serrano Jiménez,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=137,,11,,,"","","","","",Córdoba,"",11_137
