id,name,identifier__historichansard,area,group,group_id,start_date,start_reason,end_date,end_reason,term,name__en,image,gender,identifier__viaf,identifier__gnd,identifier__lcauth,birth_date,identifier__freebase,given_name,website,identifier__muzinger,identifier__journalisted,identifier__europarlmep,family_name,death_date,identifier__isni,identifier__bnf,identifier__sudoc,identifier__imdb,identifier__nta,identifier__nla,identifier__npg,identifier__musicbrainz,identifier__selibr,identifier__nndb,identifier__oxforddnb,identifier__gtaa,honorific_prefix,identifier__hansard,wikipedia__en,identifier__munzinger,identifier__discogs
11892,David Simpson,,Upper Bann,DUP,dup,2007-03-09,election,2010-07-01,resigned,3,David Simpson,https://upload.wikimedia.org/wikipedia/commons/f/fa/David_Simpson.jpg,male,,,,1959-02-16,,David,,,,,,,,,,,,,,,,,,,,,David Simpson (British politician),,
13371,Lord Alderdice,,Belfast East,Alliance,alliance,1998-06-25,general_election,1998-06-30,changed_party,1,"John Alderdice, Baron Alderdice",,male,,,,1955-03-28,,John,,,,,,,,,,,,,,,,,,,The Right Honourable,mr-john-alderdice,"John Alderdice, Baron Alderdice",,
13371,Lord Alderdice,,Belfast East,Initial Presiding Officer,initial-presiding-officer,1998-07-01,changed_party,1999-11-30,devolution,1,"John Alderdice, Baron Alderdice",,male,,,,1955-03-28,,John,,,,,,,,,,,,,,,,,,,The Right Honourable,mr-john-alderdice,"John Alderdice, Baron Alderdice",,
13371,Lord Alderdice,,Belfast East,Speaker,speaker,1999-12-01,devolution,2003-04-28,general_election,1,"John Alderdice, Baron Alderdice",,male,,,,1955-03-28,,John,,,,,,,,,,,,,,,,,,,The Right Honourable,mr-john-alderdice,"John Alderdice, Baron Alderdice",,
13733,Maurice Morrow,,Fermanagh and South Tyrone,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1,"Maurice Morrow, Baron Morrow",,male,,,,1948-09-27,,Maurice,,,,,,,,,,,,,,,,,,,,,"Maurice Morrow, Baron Morrow",,
13733,Maurice Morrow,,Fermanagh and South Tyrone,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2,"Maurice Morrow, Baron Morrow",,male,,,,1948-09-27,,Maurice,,,,,,,,,,,,,,,,,,,,,"Maurice Morrow, Baron Morrow",,
13733,Lord Morrow,,Fermanagh and South Tyrone,DUP,dup,2007-03-09,election,2011-03-24,dissolution,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13733,Lord Morrow,,Fermanagh and South Tyrone,DUP,dup,2011-05-06,election,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13741,Ian Adamson,,Belfast East,UUP,uup,1998-06-25,general_election,2003-04-28,general_election,1,Ian Adamson,,male,88398169,,,1944-01-01,,Ian,,,,,,,,,,,,,,,,,,,,,Ian Adamson,,
13742,Fraser Agnew,,Belfast North,Independent,independent,1998-06-25,general_election,1998-09-21,changed_party,1,Fraser Agnew,,male,,,,,,Fraser,,,,,,,,,,,,,,,,,,,,,Fraser Agnew,,
13742,Fraser Agnew,,Belfast North,UUAP,uuap,1998-09-21,changed_party,2003-04-28,general_election,1,Fraser Agnew,,male,,,,,,Fraser,,,,,,,,,,,,,,,,,,,,,Fraser Agnew,,
13743,Pauline Armitage,,East Londonderry,UUP,uup,1998-06-25,general_election,2001-11-09,changed_party,1,Pauline Armitage,,female,,,,,,Pauline,,,,,,,,,,,,,,,,,,,,,Pauline Armitage,,
13743,Pauline Armitage,,East Londonderry,Independent,independent,2001-11-09,changed_party,2003-04-28,general_election,1,Pauline Armitage,,female,,,,,,Pauline,,,,,,,,,,,,,,,,,,,,,Pauline Armitage,,
13744,Billy Armstrong,,Mid Ulster,UUP,uup,1998-06-25,general_election,2003-04-28,general_election,1,Billy Armstrong,,male,,,,1943-06-21,,Billy,,,,,,,,,,,,,,,,,,,,,Billy Armstrong,,
13744,Billy Armstrong,,Mid Ulster,UUP,uup,2003-11-26,general_election,2007-01-30,dissolution,2,Billy Armstrong,,male,,,,1943-06-21,,Billy,,,,,,,,,,,,,,,,,,,,,Billy Armstrong,,
13744,Billy Armstrong,,Mid Ulster,UUP,uup,2007-03-09,election,2011-03-24,dissolution,3,Billy Armstrong,,male,,,,1943-06-21,,Billy,,,,,,,,,,,,,,,,,,,,,Billy Armstrong,,
13745,Alex Attwood,,Belfast West,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2003-04-28,general_election,1,Alex Attwood,"https://upload.wikimedia.org/wikipedia/commons/c/cc/May_Day,_Belfast,_April_2011_(056).JPG",male,,,,1959-04-26,,Alex,,,,,,,,,,,,,,,,,,,,,Alex Attwood,,
13745,Alex Attwood,,Belfast West,Social Democratic and Labour Party,social-democratic-and-labour-party,2003-11-26,general_election,2007-01-30,dissolution,2,Alex Attwood,"https://upload.wikimedia.org/wikipedia/commons/c/cc/May_Day,_Belfast,_April_2011_(056).JPG",male,,,,1959-04-26,,Alex,,,,,,,,,,,,,,,,,,,,,Alex Attwood,,
