id,name,image,given_name,family_name,sort_name,birth_date,gender,chamber,start_date,state,area,group,website,address,phone,fax,term,area_id,identifier__bioguide,identifier__thomas,identifier__lis,identifier__govtrack,identifier__opensecrets,identifier__votesmart,identifier__fec,identifier__cspan,identifier__wikipedia,identifier__house_history,identifier__ballotpedia,identifier__maplight,identifier__washington_post,identifier__icpsr,twitter,facebook,facebook_id,youtube_id,twitter_id,youtube,instagram,instagram_id,sameas,sameasnote,validthrough,census_geoid,census_geoid_12,census_geoid_14,openstates_district,placeholder_id,sch_dist_stateid,state_id
B001273,Diane Black,https://theunitedstates.io/images/congress/original/B001273.jpg,Diane,Black,"Black, Diane",1951-01-16,female,rep,2015-01-06,TN,Tennessee's 6th congressional district,Republican,http://black.house.gov,1131 Longworth HOB; Washington DC 20515-4206,202-225-4231,202- 225-6887,114,ocd-division/country:us/state:tn/cd:6,B001273,02063,,412478,N00031539,25292,H0TN06257,9268964,Diane Black,10436,,1483,gIQAtZuYKP,21180,RepDianeBlack,DianeBlackTN06,186436274719648,UCREZGYWeFh6-gfodmoWVUFg,110545675,RepDianeBlack,repdianeblack,371192551,,,,,,,,,,
B001243,Marsha Blackburn,https://theunitedstates.io/images/congress/original/B001243.jpg,Marsha,Blackburn,"Blackburn, Marsha",1952-06-06,female,rep,2015-01-06,TN,Tennessee's 7th congressional district,Republican,http://blackburn.house.gov,2266 Rayburn HOB; Washington DC 20515-4207,202-225-2811,202-225-3004,114,ocd-division/country:us/state:tn/cd:7,B001243,01748,,400032,N00003105,25186,H2TN06030,31226,Marsha Blackburn,10385,Marsha Blackburn,151,gIQALZuKAP,20351,MarshaBlackburn,marshablackburn,6470828395,UCvNnmu5mUm7xr8QXBlbtQ9w,278145569,RepMarshaBlackburn,,,,,,,,,,,,
B000574,Earl Blumenauer,https://theunitedstates.io/images/congress/original/B000574.jpg,Earl,Blumenauer,"Blumenauer, Earl",1948-08-16,male,rep,2015-01-06,OR,Oregon's 3rd congressional district,Democrat,http://blumenauer.house.gov,1111 Longworth HOB; Washington DC 20515-3703,202-225-4811,202-225-8941,114,ocd-division/country:us/state:or/cd:3,B000574,00099,,400033,N00007727,367,H6OR03064,43809,Earl Blumenauer,9518,Earl Blumenauer,152,gIQAqvaOAP,29588,BlumenauerMedia,,,UCuziVoKuGn7feNA5VrpxsBQ,137823987,RepBlumenauer,,,,,,,,,,,,
B000589,John A. Boehner,https://theunitedstates.io/images/congress/original/B000589.jpg,John,Boehner,"Boehner, John",1949-11-17,male,rep,2015-01-06,OH,Ohio's 8th congressional district,Republican,http://johnboehner.house.gov,1011 Longworth HOB; Washington DC 20515-3508,202-225-6205,202-225-0704,114,ocd-division/country:us/state:oh/cd:8,B000589,00102,,400036,N00003675,27015,H0OH08029,16740,John Boehner,9538,John A. Boehner,155,gIQAzRvL9O,29137,SpeakerBoehner,SpeakerJohnBoehner,175082565865743,UC-cxqz-2fBOekclLlaERLJQ,7713202,johnboehner,speakerboehner,249235106,,,,,,,,,,
B001245,Madeleine Z. Bordallo,https://theunitedstates.io/images/congress/original/B001245.jpg,Madeleine,Bordallo,"Bordallo, Madeleine",1933-05-31,female,rep,2015-01-06,GU,Guam,Democrat,http://bordallo.house.gov,2441 Rayburn HOB; Washington DC 20515-5301,202-225-1188,202-226-0341,114,ocd-division/country:us/state:gu,B001245,01723,,400041,N00024866,1751,H2GU00033,1003568,Madeleine Bordallo,10389,,160,,,,madeleine.bordallo,161729837225622,,,,,,,,,,,,,,,
B001255,Charles W. Boustany Jr.,https://theunitedstates.io/images/congress/original/B001255.jpg,Charles,Boustany,"Boustany, Charles",1956-02-21,male,rep,2015-01-06,LA,Louisiana's 3rd congressional district,Republican,http://boustany.house.gov,1431 Longworth HOB; Washington DC 20515-1803,202-225-2031,202-225-5724,114,ocd-division/country:us/state:la/cd:3,B001255,01787,,400636,N00026595,35514,H4LA07029,1013047,Charles Boustany,10409,Charles Boustany Jr.,642,gIQAiMQPAP,20514,RepBoustany,RepBoustany,197407646951718,UC2S34gtxbiXDloza9EgFAZA,249339682,boustanyla07,,,,,,,,,,,,
B000755,Kevin Brady,https://theunitedstates.io/images/congress/original/B000755.jpg,Kevin,Brady,"Brady, Kevin",1955-04-11,male,rep,2015-01-06,TX,Texas's 8th congressional district,Republican,http://kevinbrady.house.gov,301 Cannon HOB; Washington DC 20515-4308,202-225-4901,202-225-5524,114,ocd-division/country:us/state:tx/cd:8,B000755,01468,,400046,N00005883,361,H6TX08100,45749,Kevin Brady,9754,,166,gIQATjbPAP,29760,RepKevinBrady,kevinbrady,9307301412,UC6Ng0uMQEBVgXO_HF0NbfXA,19926675,KBrady8,repkevinbrady,337613850,,,,,,,,,,
B001227,Robert A. Brady,https://theunitedstates.io/images/congress/original/B001227.jpg,Robert,Brady,"Brady, Robert",1945-04-07,male,rep,2015-01-06,PA,Pennsylvania's 1st congressional district,Democrat,http://brady.house.gov,102 Cannon HOB; Washington DC 20515-3801,202-225-4731,202-225-0088,114,ocd-division/country:us/state:pa/cd:1,B001227,01469,,400047,N00001619,2519,H8PA01153,55227,Bob Brady,10355,Robert A. Brady,165,gIQATngIAP,29777,RepBrady,RepRobertBrady,118845109487,UCHbTbPH6iCtaA_AKPwDy04A,148453195,BradyPA01,repbrady,1405678385,,,,,,,,,,
B001274,Mo Brooks,https://theunitedstates.io/images/congress/original/B001274.jpg,Mo,Brooks,"Brooks, Mo",1954-04-29,male,rep,2015-01-06,AL,Alabama's 5th congressional district,Republican,http://brooks.house.gov,1230 Longworth HOB; Washington DC 20515-0105,202-225-4801,202-225-4392,114,ocd-division/country:us/state:al/cd:5,B001274,01987,,412395,N00030910,121610,H0AL05163,94888,Mo Brooks,10438,Mo Brooks,1409,gIQAdMkz6O,21193,RepMoBrooks,155220881193244,155220881193244,UCgsPSY0MpuQJq8vEqYUSt-g,237299871,RepMoBrooks,,,,,,,,,,,,
B000911,Corrine Brown,https://theunitedstates.io/images/congress/original/B000911.jpg,Corrine,Brown,"Brown, Corrine",1946-11-11,female,rep,2015-01-06,FL,Florida's 5th congressional district,Democrat,https://corrinebrown.house.gov,2111 Rayburn HOB; Washington DC 20515-0905,202-225-0123,202-225-2256,114,ocd-division/country:us/state:fl/cd:5,B000911,00132,,400048,N00002713,26797,H2FL03056,26192,Corrine Brown,7695,Corrine Brown,167,gIQAvFwPAP,29328,RepCorrineBrown,congresswomanbrown,179120958813519,UC6-GswVFgN05YYkPGVx2KEQ,292935209,CongresswomanBrown,,,,,,,,,,,,
B001260,Vern Buchanan,https://theunitedstates.io/images/congress/original/B001260.jpg,Vern,Buchanan,"Buchanan, Vern",1951-05-08,male,rep,2015-01-06,FL,Florida's 16th congressional district,Republican,https://buchanan.house.gov,2104 Rayburn HOB; Washington DC 20515-0916,202-225-5015,202-226-0828,114,ocd-division/country:us/state:fl/cd:16,B001260,01840,,412196,N00027626,66247,H6FL13148,1021626,Vern Buchanan,10419,Vern Buchanan,683,gIQA8OnhDP,20709,VernBuchanan,CongressmanBuchanan,67106719910,UCY4DEy41NxOTdcF8_XAVZvw,20467163,vernbuchanan,repvern,344865327,,,,,,,,,,
B001275,Larry Bucshon,https://theunitedstates.io/images/congress/original/B001275.jpg,Larry,Bucshon,"Bucshon, Larry",1962-05-31,male,rep,2015-01-06,IN,Indiana's 8th congressional district,Republican,http://bucshon.house.gov,1005 Longworth HOB; Washington DC 20515-1408,202-225-4636,202-225-3284,114,ocd-division/country:us/state:in/cd:8,B001275,02018,,412427,N00031227,120335,H0IN08114,61837,Larry Bucshon,10439,Larry Bucshon,1438,gIQAD7JXKP,21132,RepLarryBucshon,RepLarryBucshon,135670516492974,UC0bIliQs0LKZabNwvZ3gnhQ,234812598,RepLarryBucshon,,,,,,,,,,,,
B001248,Michael C. Burgess,https://theunitedstates.io/images/congress/original/B001248.jpg,Michael,Burgess,"Burgess, Michael",1950-12-23,male,rep,2015-01-06,TX,Texas's 26th congressional district,Republican,http://burgess.house.gov,2336 Rayburn HOB; Washington DC 20515-4326,202-225-7772,202-225-2919,114,ocd-division/country:us/state:tx/cd:26,B001248,01751,,400052,N00025219,50120,H2TX26093,1003620,Michael C. Burgess,10395,,171,gIQAyRzBAP,20355,MichaelCBurgess,michaelcburgess,6916472567,UCvvO8lo-Nkc31cEEElqQvQw,15751083,michaelcburgessmd,,,,,,,,,,,,
B001251,G. K. Butterfield,https://theunitedstates.io/images/congress/original/B001251.jpg,George,Butterfield,"Butterfield, George",1947-04-27,male,rep,2015-01-06,NC,North Carolina's 1st congressional district,Democrat,http://butterfield.house.gov,2305 Rayburn HOB; Washington DC 20515-3301,202-225-3101,202-225-3354,114,ocd-division/country:us/state:nc/cd:1,B001251,01761,,400616,N00027035,41077,H4NC01046,1013540,G. K. Butterfield,10401,G.K. Butterfield,624,gIQAA20hDP,20340,GKButterfield,congressmangkbutterfield,274687979233940,UCbodCVgLfcbaep49L1M-mqA,432676344,GKBNC01,,,,,,,,,,,,
C000059,Ken Calvert,https://theunitedstates.io/images/congress/original/C000059.jpg,Ken,Calvert,"Calvert, Ken",1953-06-08,male,rep,2015-01-06,CA,California's 42nd congressional district,Republican,http://calvert.house.gov,2205 Rayburn HOB; Washington DC 20515-0542,202-225-1986,202-225-2004,114,ocd-division/country:us/state:ca/cd:42,C000059,00165,,400057,N00007099,26777,H2CA37023,26709,Ken Calvert,10517,,175,gIQAORoVBP,29323,KenCalvert,70063393423,70063393423,UC5MEj7YOX_QdKoqD_HRxP3A,22545491,RepKenCalvert,,,,,,,,,,,,
C001036,Lois Capps,https://theunitedstates.io/images/congress/original/C001036.jpg,Lois,Capps,"Capps, Lois",1938-01-10,female,rep,2015-01-06,CA,California's 24th congressional district,Democrat,http://capps.house.gov,2231 Rayburn HOB; Washington DC 20515-0524,202-225-3601,202-225-5632,114,ocd-division/country:us/state:ca/cd:24,C001036,01471,,400062,N00007232,16886,H8CA22089,54075,Lois Capps,11744,,180,gIQAarASAP,29774,RepLoisCapps,loiscapps,168989481141,UClsN2ngC28cgeqAY7mW1qKQ,292990703,reploiscapps,,,,,,,,,,,,
C001037,Michael E. Capuano,https://theunitedstates.io/images/congress/original/C001037.jpg,Michael,Capuano,"Capuano, Michael",1952-01-09,male,rep,2015-01-06,MA,Massachusetts's 7th congressional district,Democrat,http://capuano.house.gov,1414 Longworth HOB; Washington DC 20515-2107,202-225-5111,202-225-9322,114,ocd-division/country:us/state:ma/cd:7,C001037,01564,,400063,N00000267,18883,H8MA08071,56760,Mike Capuano,11746,Michael Capuano,181,gIQAzL6PAP,29919,,RepMichaelCapuano,151168844937573,UCvzAdbimlJksgZjEMQn0kuw,,RepMikeCapuano,,,,,,,,,,,,
C001083,John C. Carney Jr.,https://theunitedstates.io/images/congress/original/C001083.jpg,John,Carney,"Carney, John",1956-05-20,male,rep,2015-01-06,DE,Delaware,Democrat,http://johncarney.house.gov,1406 Longworth HOB; Washington DC 20515-0800,202-225-4165,202-225-2291,114,ocd-division/country:us/state:de,C001083,01999,,412407,N00030736,53658,H0DE01017,94948,"John C. Carney, Jr.",11825,John C. Carney Jr.,1419,gIQABIMZKP,21113,JohnCarneyde,JohnCarneyDE,156024857781159,UCT9yU36lD-zOTJKhmX_w_dA,237770636,RepJohnCarney,johncarneyde,623634991,,,,,,,,,,
C001072,André Carson,https://theunitedstates.io/images/congress/original/C001072.jpg,André,Carson,"Carson, André",1974-10-16,male,rep,2015-01-06,IN,Indiana's 7th congressional district,Democrat,http://carson.house.gov,2453 Rayburn HOB; Washington DC 20515-1407,202-225-4011,202-225-5633,114,ocd-division/country:us/state:in/cd:7,C001072,01889,,412258,N00029513,84917,H8IN07184,1027364,André Carson,11806,Andre Carson,739,gIQAPh8PAP,20757,RepAndreCarson,CongressmanAndreCarson,123884330964019,UCprUnnEgM2VUGmAKSaZXCSw,199325935,repandrecarson,,,,,,,,,,,,
C001051,John R. Carter,https://theunitedstates.io/images/congress/original/C001051.jpg,John,Carter,"Carter, John",1941-11-06,male,rep,2015-01-06,TX,Texas's 31st congressional district,Republican,http://carter.house.gov,2110 Rayburn HOB; Washington DC 20515-4331,202-225-3864,202-225-5886,114,ocd-division/country:us/state:tx/cd:31,C001051,01752,,400068,N00025095,49296,H2TX31044,1004257,John Carter (Texas),11770,John Carter,185,gIQAcLQNAP,20356,JudgeCarter,judgecarter,1287257083,UC9pkaOrhPfouzkJ8oAdI-1w,18030431,repjohncarter,repcarter,456560563,,,,,,,,,,
C001066,Kathy Castor,https://theunitedstates.io/images/congress/original/C001066.jpg,Kathy,Castor,"Castor, Kathy",1966-08-20,female,rep,2015-01-06,FL,Florida's 14th congressional district,Democrat,http://castor.house.gov,205 Cannon HOB; Washington DC 20515-0914,202-225-3376,202-225-5652,114,ocd-division/country:us/state:fl/cd:14,C001066,01839,,412195,N00027514,53825,H6FL11126,1022874,Kathy Castor,11796,Kathy Castor,682,gIQAEoCLAP,20708,USRepKCastor,USRepKathyCastor,181810465190906,UC_irxhmLqVenTFPxDxznG6g,1880674038,RepKathyCastor,,,,,,,,,,,,
C000266,Steve Chabot,https://theunitedstates.io/images/congress/original/C000266.jpg,Steve,Chabot,"Chabot, Steve",1953-01-22,male,rep,2015-01-06,OH,Ohio's 1st congressional district,Republican,http://chabot.house.gov,2371 Rayburn HOB; Washington DC 20515-3501,202-225-2216,202-225-3012,114,ocd-division/country:us/state:oh/cd:1,C000266,00186,,400071,N00003689,21790,H8OH01043,36705,Steve Chabot,10791,Steve Chabot,188,gIQAiE5TKP,29550,RepSteveChabot,RepSteveChabot,204705339555378,UCJpzm2DZDE1B6ruQLQc7q4g,237750442,congressmanchabot,repstevechabot,481906395,,,,,,,,,,
C001076,Jason Chaffetz,https://theunitedstates.io/images/congress/original/C001076.jpg,Jason,Chaffetz,"Chaffetz, Jason",1967-03-26,male,rep,2015-01-06,UT,Utah's 3rd congressional district,Republican,http://chaffetz.house.gov,2236 Rayburn HOB; Washington DC 20515-4403,202-225-7751,202-225-5629,114,ocd-division/country:us/state:ut/cd:3,C001076,01956,,412270,N00028958,103482,H8UT03089,1031362,Jason Chaffetz,11813,Jason Chaffetz,752,gIQAm9WMAP,20949,JasonInTheHouse,CongressmanJasonChaffetz,390419731073316,UCPRdJWDBUYfZaMYaPQfoNnQ,17800215,JasonChaffetz,jasoninthehouse,217804604,,,,,,,,,,
C001080,Judy Chu,https://theunitedstates.io/images/congress/original/C001080.jpg,Judy,Chu,"Chu, Judy",1953-07-07,female,rep,2015-01-06,CA,California's 27th congressional district,Democrat,http://chu.house.gov,2423 Rayburn HOB; Washington DC 20515-0527,202-225-5464,202-225-5467,114,ocd-division/country:us/state:ca/cd:27,C001080,01970,,412379,N00030600,16539,H0CA32101,92573,Judy Chu,11820,,1190,gIQA1yiFAP,20955,RepJudyChu,RepJudyChu,41228315130,UCfcbYOvdEXZNelM8T05nK-w,193732179,RepJudyChu,,,,,,,,,,,,
C001084,David N. Cicilline,https://theunitedstates.io/images/congress/original/C001084.jpg,David,Cicilline,"Cicilline, David",1961-07-15,male,rep,2015-01-06,RI,Rhode Island's 1st congressional district,Democrat,http://cicilline.house.gov,2244 Rayburn HOB; Washington DC 20515-3901,202-225-4911,202- 225-3290,114,ocd-division/country:us/state:ri/cd:1,C001084,02055,,412470,N00032019,7349,H0RI01073,1033865,David Cicilline,11826,David N. Cicilline,1475,gIQA6P5YKP,21172,RepCicilline,CongressmanDavidCicilline,186949061341027,UC3sCl46o8hYP69LnidNltuw,462143773,RepDavidCicilline,,,,,,,,,,,,
C001067,Yvette D. Clarke,https://theunitedstates.io/images/congress/original/C001067.jpg,Yvette,Clarke,"Clarke, Yvette",1964-11-21,female,rep,2015-01-06,NY,New York's 9th congressional district,Democrat,http://clarke.house.gov,2351 Rayburn HOB; Washington DC 20515-3209,202-225-6231,202-226-0112,114,ocd-division/country:us/state:ny/cd:9,C001067,01864,,412221,N00026961,44741,H4NY11138,1022875,Yvette Clarke,11798,Yvette D. Clarke,706,gIQAOxvIAP,20733,YvetteClarke,repyvettedclarke,135031389892682,UC8SuQiuL2P9fUHAxuRoTdUQ,240812994,repyvetteclarke,,,,,,,,,,,,
C001049,Wm. Lacy Clay,https://theunitedstates.io/images/congress/original/C001049.jpg,Wm.,Clay,"Clay, Wm.",1956-07-27,male,rep,2015-01-06,MO,Missouri's 1st congressional district,Democrat,http://lacyclay.house.gov,2428 Rayburn HOB; Washington DC 20515-2501,202-225-2406,202-226-3717,114,ocd-division/country:us/state:mo/cd:1,C001049,01654,,400074,N00012460,8967,H0MO01066,88332,"William Lacy Clay, Jr.",11766,,191,gIQA1BJQAP,20147,,109135405838588,109135405838588,UCB3yVQzlxhx3brOwaWtiXoQ,,WilliamLacyClay,,,,,,,,,,,,
C001061,Emanuel Cleaver,https://theunitedstates.io/images/congress/original/C001061.jpg,Emanuel,Cleaver,"Cleaver, Emanuel",1944-10-26,male,rep,2015-01-06,MO,Missouri's 5th congressional district,Democrat,http://cleaver.house.gov,2335 Rayburn HOB; Washington DC 20515-2505,202-225-4535,202-225-4403,114,ocd-division/country:us/state:mo/cd:5,C001061,01790,,400639,N00026790,39507,H4MO05234,10933,Emanuel Cleaver,11786,,645,gIQANj8PAP,20517,RepCleaver,emanuelcleaverii,7954512692,UCVC-7CLFjXczoihr5FxDLsw,163570705,repcleaver,,,,,,,,,,,,
C000537,James E. Clyburn,https://theunitedstates.io/images/congress/original/C000537.jpg,James,Clyburn,"Clyburn, James",1940-07-21,male,rep,2015-01-06,SC,South Carolina's 6th congressional district,Democrat,http://clyburn.house.gov,242 Cannon HOB; Washington DC 20515-4006,202-225-3315,202-225-2313,114,ocd-division/country:us/state:sc/cd:6,C000537,00208,,400075,N00002408,27066,H2SC02042,21607,Jim Clyburn,11119,James E. Clyburn,192,gIQAv50L9O,39301,Clyburn,jameseclyburn,127744320598870,UCIyU_UA_JEa14gvAwhquKqg,188019606,repjamesclyburn,,,,,,,,,,,,
C001077,Mike Coffman,https://theunitedstates.io/images/congress/original/C001077.jpg,Mike,Coffman,"Coffman, Mike",1955-03-19,male,rep,2015-01-06,CO,Colorado's 6th congressional district,Republican,http://coffman.house.gov,2443 Rayburn HOB; Washington DC 20515-0606,202-225-7882,202-226-4623,114,ocd-division/country:us/state:co/cd:6,C001077,01912,,412271,N00024753,1535,H8CO06138,1031340,Mike Coffman,11815,Mike Coffman,753,gIQA5XQQAP,20906,RepMikeCoffman,repmikecoffman,366142384492,UCBCe9Os3VRutyBw3aLhYq5g,19407835,CongressmanCoffman,,,,,,,,,,,,
C001068,Steve Cohen,https://theunitedstates.io/images/congress/original/C001068.jpg,Steve,Cohen,"Cohen, Steve",1949-05-24,male,rep,2015-01-06,TN,Tennessee's 9th congressional district,Democrat,http://cohen.house.gov,2404 Rayburn HOB; Washington DC 20515-4209,202-225-3265,202-225-5663,114,ocd-division/country:us/state:tn/cd:9,C001068,01878,,412236,N00003225,24340,H6TN09068,1022876,Steve Cohen,11800,,721,gIQAxQaQAP,20748,RepCohen,CongressmanSteveCohen,111456965545421,UC_NJlnsOBjOameUwZk0rvsA,162069635,repcohen,,,,,,,,,,,,
C001053,Tom Cole,https://theunitedstates.io/images/congress/original/C001053.jpg,Tom,Cole,"Cole, Tom",1949-04-28,male,rep,2015-01-06,OK,Oklahoma's 4th congressional district,Republican,http://cole.house.gov,2467 Rayburn HOB; Washington DC 20515-3604,202-225-6165,202-225-3512,114,ocd-division/country:us/state:ok/cd:4,C001053,01742,,400077,N00025726,46034,H2OK04055,1003609,Tom Cole,11774,Tom Cole,194,gIQATSaQAP,20344,TomColeOK04,TomColeOK04,146497782066300,UCvqzPm_YnNkfEHpm3SEMJMQ,23124635,reptomcole,TomColeOK04,,,,,,,,,,,
C001062,K. Michael Conaway,https://theunitedstates.io/images/congress/original/C001062.jpg,K.,Conaway,"Conaway, K.",1948-06-11,male,rep,2015-01-06,TX,Texas's 11th congressional district,Republican,http://conaway.house.gov,2430 Rayburn HOB; Washington DC 20515-4311,202-225-3605,202-225-1783,114,ocd-division/country:us/state:tx/cd:11,C001062,01805,,400655,N00026041,49935,H4TX19136,1004595,Mike Conaway,11788,Mike Conaway,660,gIQAkUaQAP,20531,ConawayTX11,mike.conaway,203482063021985,UCR3dhwhVfxmmqv6ct2Xa1-g,295685416,mikeconaway11,,,,,,,,,,,,
C001078,Gerald E. Connolly,https://theunitedstates.io/images/congress/original/C001078.jpg,Gerald,Connolly,"Connolly, Gerald",1950-03-30,male,rep,2015-01-06,VA,Virginia's 11th congressional district,Democrat,http://connolly.house.gov,2238 Rayburn HOB; Washington DC 20515-4611,202-225-1492,202-225-3071,114,ocd-division/country:us/state:va/cd:11,C001078,01959,,412272,N00029891,95078,H8VA11062,1015936,Gerry Connolly,11817,,754,gIQA3zDRAP,20952,GerryConnolly,CongressmanGerryConnolly,177164035838,UC4WG9PlmoOeSLIuyVjs-RSA,78445977,repconnolly,,,,,,,,,,,,
