sort_name,source,phone,fax,email,id,name,area,party,tel,twitter,facebook,instagram,website,image,term,party_id
"Boisvenu, Pierre-Hugues",https://sencanada.ca/en/senators/boisvenu-pierre-hugues/,1-613-943-4030,613-943-4029,pierre-hugues.boisvenu@sen.parl.gc.ca,boisvenu-pierre-hugues,Pierre-Hugues Boisvenu,Quebec (La Salle),Conservative Party of Canada,613-943-4030,https://twitter.com/senatboisvenu,https://www.facebook.com/PHBoisvenu,"","",https://sencanada.ca/media/26029/sen_2865_large.jpg,42,conservative_party_of_canada
"Boniface, Gwen",https://sencanada.ca/en/senators/boniface-gwen/,1-613-995-9193,613-995-9194,Gwen.Boniface@sen.parl.gc.ca,boniface-gwen,Gwen Boniface,Ontario (Ontario),Independent Senators Group,613-995-9193,"","","","",https://sencanada.ca/media/182851/sen_207820_large.jpg,42,independent_senators_group
"Bovey, Patricia",https://sencanada.ca/en/senators/bovey-patricia/,1-613-995-9176,613-995-9182,Patricia.Bovey@sen.parl.gc.ca,bovey-patricia,Patricia Bovey,Manitoba (Manitoba),Independent Senators Group,613-995-9176,"","","","",https://sencanada.ca/media/188193/sen_207795_large.jpg,42,independent_senators_group
"Boyer, Yvonne",https://sencanada.ca/en/senators/boyer-yvonne/,1-613-943-3500,613-943-3502,Yvonne.Boyer@sen.parl.gc.ca,boyer-yvonne,Yvonne Boyer,Ontario (Ontario),Independent Senators Group,613-943-3500,https://twitter.com/senatorboyer,"","",http://senatorboyer.ca/,https://sencanada.ca/media/361461/sen_212685_large.jpg,42,independent_senators_group
"Brazeau, Patrick",https://sencanada.ca/en/senators/brazeau-patrick/,1-613-995-8625,613-995-8647,Patrick.Brazeau@sen.parl.gc.ca,brazeau-patrick,Patrick Brazeau,Quebec (Repentigny),Independent Senators Group,613-995-8625,https://twitter.com/senatorbrazeau,"","","",https://sencanada.ca/media/26034/sen_2817_large_2018.jpg,42,independent_senators_group
"Busson, Bev",https://sencanada.ca/en/senators/busson-bev/,1-613-943-7930,613-943-7657,Bev.Busson@sen.parl.gc.ca,busson-bev,Bev Busson,British Columbia (British Columbia),Independent Senators Group,613-943-7930,"","","","",https://sencanada.ca/media/362811/sen_large.jpg,42,independent_senators_group
"Campbell, Larry W.",https://sencanada.ca/en/senators/campbell-larry-w/,1-613-995-4050,613-995-4056,larry.campbell@sen.parl.gc.ca,campbell-larry-w,Larry W. Campbell,British Columbia (British Columbia),Independent Senators Group,613-995-4050,"","","",http://larrycampbell.ca/,https://sencanada.ca/media/26039/sen_2787_large_2018.jpg,42,independent_senators_group
"Carignan, Claude, P.C.",https://sencanada.ca/en/senators/carignan-claude/,1-613-992-0240,613-992-0246,claude.carignan@sen.parl.gc.ca,carignan-claude,"Claude Carignan, P.C.",Quebec (Mille Isles),Conservative Party of Canada,613-992-0240,https://twitter.com/senatcarignan,https://www.facebook.com/senateurcarignan,"",http://www.claudecarignan.ca/,https://sencanada.ca/media/19354/sen_2841_large.jpg,42,conservative_party_of_canada
"Christmas, Dan",https://sencanada.ca/en/senators/christmas-daniel/,1-613-996-2188,613-996-2153,daniel.christmas@sen.parl.gc.ca,christmas-daniel,Dan Christmas,Nova Scotia (Nova Scotia),Independent Senators Group,613-996-2188,"","","","",https://sencanada.ca/media/229928/sen_208172_large.jpg,42,independent_senators_group
"Cordy, Jane",https://sencanada.ca/en/senators/cordy-jane/,1-613-995-8409,613-995-8432,jane.cordy@sen.parl.gc.ca,cordy-jane,Jane Cordy,Nova Scotia (Nova Scotia),Liberal Party of Canada,613-995-8409,https://twitter.com/senatorcordy,"","",http://www.senatorjanecordy.ca,https://sencanada.ca/media/26049/sen_159_large.jpg,42,liberal_party_of_canada
"Cormier, Rene",https://sencanada.ca/en/senators/cormier-rene/,1-613-996-2247,613-996-2279,Rene.Cormier@sen.parl.gc.ca,cormier-rene,René Cormier,New Brunswick (New Brunswick),Independent Senators Group,613-996-2247,https://twitter.com/SenCormier,https://www.facebook.com/sencormier/,"","",https://sencanada.ca/media/188198/sen_207798_large.jpg,42,independent_senators_group
"Coyle, Mary",https://sencanada.ca/en/senators/coyle-mary/,1-613-943-1338,613-943-1341,Mary.Coyle@sen.parl.gc.ca,coyle-mary,Mary Coyle,Nova Scotia (Antigonish),Independent Senators Group,613-943-1338,https://twitter.com/SenCoyle,"","","",https://sencanada.ca/media/360581/sen_211695_large.jpg,42,independent_senators_group
"Dagenais, Jean-Guy",https://sencanada.ca/en/senators/dagenais-jean-guy/,1-613-996-7644,613-996-7649,jean-guy.dagenais@sen.parl.gc.ca,dagenais-jean-guy,Jean-Guy Dagenais,Quebec (Victoria),Conservative Party of Canada,613-996-7644,https://twitter.com/senatdagenais,"","",http://senateurdagenais.ca/,https://sencanada.ca/media/26059/sen_3555_large.jpg,42,conservative_party_of_canada
"Dalphond, Pierre J.",https://sencanada.ca/en/senators/dalphond-pierre/,1-613-943-3688,613-943-3684,PierreJ.Dalphond@sen.parl.gc.ca,dalphond-pierre,Pierre J. Dalphond,Quebec (De Lorimier),Independent Senators Group,613-943-3688,https://twitter.com/DalphondPierre,"","","",https://sencanada.ca/media/362159/sen_213956_large.jpg,42,independent_senators_group
"Dasko, Donna",https://sencanada.ca/en/senators/dasko-donna/,1-613-943-3711,613-943-3715,Donna.Dasko@sen.parl.gc.ca,dasko-donna,Donna Dasko,Ontario (Ontario),Independent Senators Group,613-943-3711,"","","","",https://sencanada.ca/media/362149/sen_213958_large.jpg,42,independent_senators_group
"Dawson, Dennis",https://sencanada.ca/en/senators/dawson-dennis/,1-613-995-3978,613-995-3998,dennis.dawson@sen.parl.gc.ca,dawson-dennis,Dennis Dawson,Quebec (Lauzon),Liberal Party of Canada,613-995-3978,https://twitter.com/dennis_dawson,"","","",https://sencanada.ca/media/26064/sen_2785_large.jpg,42,liberal_party_of_canada
"Day, Joseph A.",https://sencanada.ca/en/senators/day-joseph-a/,1-613-992-0833,613-992-1175,joseph.day@sen.parl.gc.ca,day-joseph-a,Joseph A. Day,New Brunswick (Saint John-Kennebecasis),Liberal Party of Canada,613-992-0833,https://twitter.com/sendaynb,"","",http://jday.sencanada.ca,https://sencanada.ca/media/19359/sen_170_large.jpg,42,liberal_party_of_canada
"Deacon, Colin",https://sencanada.ca/en/senators/deacon-colin/,1-613-943-3735,613-943-3723,colin.deacon@sen.parl.gc.ca,deacon-colin,Colin Deacon,Nova Scotia (Nova Scotia),Independent Senators Group,613-943-3735,https://twitter.com/colindeacon?lang=en,"","","",https://sencanada.ca/media/362245/sen_214082_large.jpg,42,independent_senators_group
"Deacon, Marty",https://sencanada.ca/en/senators/deacon-marty/,1-613-943-3429,613-943-3434,Marty.Deacon@sen.parl.gc.ca,deacon-marty,Marty Deacon,Ontario (Waterloo Region),Independent Senators Group,613-943-3429,"","","","",https://sencanada.ca/media/361138/sen_212389_large.jpg,42,independent_senators_group
"Dean, Tony",https://sencanada.ca/en/senators/dean-tony/,1-613-996-2312,613-996-2287,Tony.Dean@sen.parl.gc.ca,dean-tony,Tony Dean,Ontario (Ontario),Independent Senators Group,613-996-2312,https://twitter.com/TonyDean_TO,"","",http://tonydean.sencanada.ca/en/,https://sencanada.ca/media/188203/sen_207804_large.jpg,42,independent_senators_group
"Demers, Jacques",https://sencanada.ca/en/senators/demers-jacques/,1-613-992-0151,613-992-0128,line.tessier@sen.parl.gc.ca,demers-jacques,Jacques Demers,Quebec (Rigaud),Independent Senators Group,613-992-0151,"","","",http://jacquesdemers.sencanada.ca/,https://sencanada.ca/media/26069/sen_2851_large.jpg,42,independent_senators_group
"Downe, Percy E.",https://sencanada.ca/en/senators/downe-percy-e/,1-613-943-8107,613-943-8109,percy.downe@sen.parl.gc.ca,downe-percy-e,Percy E. Downe,Prince Edward Island (Charlottetown),Liberal Party of Canada,613-943-8107,https://twitter.com/PercyDowne,"","",http://sen.parl.gc.ca/pdowne,https://sencanada.ca/media/26074/sen_2755_large.jpg,42,liberal_party_of_canada
"Doyle, Norman E.",https://sencanada.ca/en/senators/doyle-norman-e/,1-613-996-7483,613-996-7466,norman.doyle@sen.parl.gc.ca,doyle-norman-e,Norman E. Doyle,Newfoundland and Labrador (Newfoundland and Labrador),Conservative Party of Canada,613-996-7483,"","","",http://normanedoyle.sencanada.ca/,https://sencanada.ca/media/26079/sen_3553_large.jpg,42,conservative_party_of_canada
"Duffy, Michael",https://sencanada.ca/en/senators/duffy-michael/,1-613-947-4163,613-947-4157,Michael.Duffy@sen.parl.gc.ca,duffy-michael,Michael Duffy,Prince Edward Island (Cavendish),Independent Senators Group,613-947-4163,"","","","",https://sencanada.ca/media/26084/sen_2802_large.jpg,42,independent_senators_group
"Duncan, Patricia Jane",https://sencanada.ca/en/senators/duncan-patricia/,1-613-944-3453,"",Pat.Duncan@sen.parl.gc.ca,duncan-patricia,Patricia Jane Duncan,Yukon (Yukon),Non-affiliated,613-944-3453,"","","","",https://sencanada.ca/media/363761/sen_large.jpg,42,non-affiliated
"Dupuis, Renee",https://sencanada.ca/en/senators/dupuis-renee/,1-613-996-2063,613-996-2047,Renee.Dupuis@sen.parl.gc.ca,dupuis-renee,Renée Dupuis,Quebec (The Laurentides),Independent Senators Group,613-996-2063,"","","","",https://sencanada.ca/media/188208/sen_dsc7113_large.jpg,42,independent_senators_group
"Dyck, Lillian Eva",https://sencanada.ca/en/senators/dyck-lillian-eva/,1-613-995-4318,613-995-4331,lillian.dyck@sen.parl.gc.ca,dyck-lillian-eva,Lillian Eva Dyck,Saskatchewan (Saskatchewan),Liberal Party of Canada,613-995-4318,"","","",http://senatordyck.sencanada.ca/,https://sencanada.ca/media/26089/sen_2776_large.jpg,42,liberal_party_of_canada
"Eaton, Nicole",https://sencanada.ca/en/senators/eaton-nicole/,1-613-947-4047,613-947-4044,nicole.eaton@sen.parl.gc.ca,eaton-nicole,Nicole Eaton,Ontario (Ontario),Conservative Party of Canada,613-947-4047,"","","",http://nicoleeaton.sencanada.ca,https://sencanada.ca/media/26094/sen_2809_large.jpg,42,conservative_party_of_canada
"Forest, Eric",https://sencanada.ca/en/senators/forest-eric/,1-613-996-2171,613-996-2168,Eric.Forest@sen.parl.gc.ca,forest-eric,Éric Forest,Quebec (Gulf),Independent Senators Group,613-996-2171,https://twitter.com/EricForestRiki,https://www.facebook.com/ericforest.sen/,"","",https://sencanada.ca/media/188213/sen_207927_large.jpg,42,independent_senators_group
"Forest-Niesing, Josee",https://sencanada.ca/en/senators/forest-niesing-josee/,1-613-943-8313,613-943-8316,Josee.Forest-Niesing@sen.parl.gc.ca,forest-niesing-josee,Josée Forest-Niesing,Ontario (Ontario),Independent Senators Group,613-943-8313,"","","","",https://sencanada.ca/media/363087/sen_217625_large.jpg,42,independent_senators_group
"Francis, Brian",https://sencanada.ca/en/senators/francis-brian/,1-613-943-8296,613-943-8302,Brian.Francis@sen.parl.gc.ca,francis-brian,Brian Francis,Prince Edward Island (Prince Edward Island),Independent Senators Group,613-943-8296,https://twitter.com/BrianFrancisPEI,"",https://www.instagram.com/brianfrancispei/,"",https://sencanada.ca/media/363077/sen_217624_large.jpg,42,independent_senators_group
"Frum, Linda",https://sencanada.ca/en/senators/frum-linda/,1-613-992-0310,613-992-0316,linda.frum@sen.parl.gc.ca,frum-linda,Linda Frum,Ontario (Ontario),Conservative Party of Canada,613-992-0310,https://twitter.com/lindafrum,https://www.facebook.com/Senator-Linda-Frum-1565513493746791/,"",http://www.lindafrum.ca,https://sencanada.ca/media/26114/sen_2853_large.jpg,42,conservative_party_of_canada
"Furey, George J.",https://sencanada.ca/en/senators/furey-george-j/,1-613-992-4416,613-943-1792,george.furey@sen.parl.gc.ca,furey-george-j,George J. Furey,Newfoundland and Labrador (Newfoundland and Labrador),Non-affiliated,613-992-4416,https://twitter.com/georgefureynl,"",https://www.instagram.com/senatespeaker/,http://www.senatorfurey.ca,https://sencanada.ca/media/26119/sen_149_large.jpg,42,non-affiliated
"Gagne, Raymonde",https://sencanada.ca/en/senators/gagne-raymonde/,1-613-943-4323,613-943-4327,Raymonde.Gagne@sen.parl.gc.ca,gagne-raymonde,Raymonde Gagné,Manitoba (Manitoba),Independent Senators Group,613-943-4323,"","","","",https://sencanada.ca/media/26124/sen_206043_large.jpg,42,independent_senators_group
"Galvez, Rosa",https://sencanada.ca/en/senators/galvez-rosa/,1-613-996-2210,613-996-2208,rosa.galvez@sen.parl.gc.ca,galvez-rosa,Rosa Galvez,Quebec (Bedford),Independent Senators Group,613-996-2210,"","","","",https://sencanada.ca/media/230877/sen_208170_large.jpg,42,independent_senators_group
"Gold, Marc",https://sencanada.ca/en/senators/gold-marc/,1-613-995-9211,613-995-9216,marc.gold@sen.parl.gc.ca,gold-marc,Marc Gold,Quebec (Stadacona),Independent Senators Group,613-995-9211,"","","","",https://sencanada.ca/media/188219/sen_208003_large.jpg,42,independent_senators_group
"Greene, Stephen",https://sencanada.ca/en/senators/greene-stephen/,1-613-947-4210,613-947-4224,stephen.greene@sen.parl.gc.ca,greene-stephen,Stephen Greene,Nova Scotia (Halifax - The Citadel),Independent Senators Group,613-947-4210,"","","",http://stephengreene.sencanada.ca/,https://sencanada.ca/media/26129/sen_2800_large.jpg,42,independent_senators_group
"Griffin, Diane F.",https://sencanada.ca/en/senators/griffin-diane/,1-613-996-2140,613-996-2133,Diane.Griffin@sen.parl.gc.ca,griffin-diane,Diane F. Griffin,Prince Edward Island (Prince Edward Island),Independent Senators Group,613-996-2140,https://twitter.com/SenDianeGriffin,https://www.facebook.com/SenatorGriffin/,"","",https://sencanada.ca/media/229938/sen_207806_large.jpg,42,independent_senators_group
"Harder, Peter, P.C.",https://sencanada.ca/en/senators/harder-peter-pc/,1-613-995-0222,613-995-0207,peter.harder@sen.parl.gc.ca,harder-peter-pc,"Peter Harder, P.C.",Ontario (Ottawa),Non-affiliated,613-995-0222,https://twitter.com/SenHarder,"","",https://senate-gro.ca/,https://sencanada.ca/media/26139/sen_206019_large.jpg,42,non-affiliated
"Hartling, Nancy J.",https://sencanada.ca/en/senators/hartling-nancy/,1-613-995-9191,613-995-9184,Nancy.Hartling@sen.parl.gc.ca,hartling-nancy,Nancy J. Hartling,New Brunswick (New Brunswick),Independent Senators Group,613-995-9191,https://twitter.com/SenatorHartling,https://www.facebook.com/SenatorHartling/,"",http://senatorhartling.sencanada.ca/en/,https://sencanada.ca/media/202700/sen_207800_large.jpg,42,independent_senators_group
"Housakos, Leo",https://sencanada.ca/en/senators/housakos-leo/,1-613-947-4237,613-947-4239,Leo.Housakos@sen.parl.gc.ca,housakos-leo,Leo Housakos,Quebec (Wellington),Conservative Party of Canada,613-947-4237,https://twitter.com/SenatorHousakos,"","",http://leohousakos.sencanada.ca,https://sencanada.ca/media/26144/sen_2818_large.jpg,42,conservative_party_of_canada
"Jaffer, Mobina S.B.",https://sencanada.ca/en/senators/jaffer-mobina-sb/,1-613-992-0189,613-992-0673,mobina.jaffer@sen.parl.gc.ca,jaffer-mobina-sb,Mobina S.B. Jaffer,British Columbia (British Columbia),Non-affiliated,613-992-0189,https://twitter.com/SenJaffer,https://www.facebook.com/SenatorJaffer,https://www.instagram.com/SenatorJaffer/,http://mobinajaffer.ca/,https://sencanada.ca/media/26154/sen_168_large.jpg,42,non-affiliated
"Joyal, Serge, P.C.",https://sencanada.ca/en/senators/joyal-serge-pc/,1-613-943-0434,613-943-0441,serge.joyal@sen.parl.gc.ca,joyal-serge-pc,"Serge Joyal, P.C.",Quebec (Kennebec),Liberal Party of Canada,613-943-0434,"","","",http://sergejoyal.sencanada.ca,https://sencanada.ca/media/26159/sen_132_large.jpg,42,liberal_party_of_canada
"Klyne, Marty",https://sencanada.ca/en/senators/klyne-marty/,1-613-943-7933,613-943-7940,Marty.Klyne@sen.parl.gc.ca,klyne-marty,Marty Klyne,Saskatchewan (Saskatchewan),Independent Senators Group,613-943-7933,"","","","",https://sencanada.ca/media/362821/sen_large.jpg,42,independent_senators_group
"Kutcher, Stanley Paul",https://sencanada.ca/en/senators/kutcher-stanley/,1-613-944-3453,"",Stanley.Kutcher@sen.parl.gc.ca,kutcher-stanley,Stanley Paul Kutcher,Nova Scotia (Nova Scotia),Non-affiliated,613-944-3453,"","","","",https://sencanada.ca/media/363771/sen_large.jpg,42,non-affiliated
"LaBoucane-Benson, Patti",https://sencanada.ca/en/senators/laboucane-benson-patti/,1-613-943-8282,613-943-8279,Patti.LaBoucane-Benson@sen.parl.gc.ca,laboucane-benson-patti,Patti LaBoucane-Benson,Alberta (Alberta),Independent Senators Group,613-943-8282,"","","","",https://sencanada.ca/media/362966/sen_217514_large.jpg,42,independent_senators_group
"Lankin, Frances, P.C.",https://sencanada.ca/en/senators/lankin-frances-pc/,1-613-995-2795,613-995-2789,Frances.Lankin@sen.parl.gc.ca,lankin-frances-pc,"Frances Lankin, P.C.",Ontario (Ontario),Independent Senators Group,613-995-2795,"","","","",https://sencanada.ca/media/26164/sen_206050_large.jpg,42,independent_senators_group
"Lovelace Nicholas, Sandra M.",https://sencanada.ca/en/senators/lovelace-nicholas-sandra-m/,1-613-943-3635,613-943-3637,carol.smith@sen.parl.gc.ca,lovelace-nicholas-sandra-m,Sandra M. Lovelace Nicholas,New Brunswick (New Brunswick),Liberal Party of Canada,613-943-3635,"","","","",https://sencanada.ca/media/26179/sen_2792_large.jpg,42,liberal_party_of_canada
"MacDonald, Michael L.",https://sencanada.ca/en/senators/macdonald-michael-l/,1-613-995-1866,613-995-1853,michael.macdonald@sen.parl.gc.ca,macdonald-michael-l,Michael L. MacDonald,Nova Scotia (Cape Breton),Conservative Party of Canada,613-995-1866,"","","",http://capebretonsenator.ca,https://sencanada.ca/media/26184/sen_2801_large.jpg,42,conservative_party_of_canada
"Maltais, Ghislain",https://sencanada.ca/en/senators/maltais-ghislain/,1-613-996-7377,613-996-7260,ghislain.maltais@sen.parl.gc.ca,maltais-ghislain,Ghislain Maltais,Quebec (Shawinegan),Conservative Party of Canada,613-996-7377,"","","",http://ghislainmaltais.sencanada.ca/,https://sencanada.ca/media/26189/sen_3551_large-2018.jpg,42,conservative_party_of_canada
"Manning, Fabian",https://sencanada.ca/en/senators/manning-fabian/,1-613-947-4203,613-947-4170,fabian.manning@sen.parl.gc.ca,manning-fabian,Fabian Manning,Newfoundland and Labrador (Newfoundland and Labrador),Conservative Party of Canada,613-947-4203,"","","",http://www.fabianmanning.ca/,https://sencanada.ca/media/26194/sen_2798_large.jpg,42,conservative_party_of_canada
"Marshall, Elizabeth",https://sencanada.ca/en/senators/marshall-elizabeth/,1-613-943-4011,"",elizabeth.marshall@sen.parl.gc.ca,marshall-elizabeth,Elizabeth Marshall,Newfoundland and Labrador (Newfoundland and Labrador),Conservative Party of Canada,613-943-4011,"","","",http://elizabethmarshall.ca/,https://sencanada.ca/media/26199/sen_2866_large.jpg,42,conservative_party_of_canada
"Martin, Yonah",https://sencanada.ca/en/senators/martin-yonah/,1-613-947-4078,613-947-4082,martin@sen.parl.gc.ca,martin-yonah,Yonah Martin,British Columbia (British Columbia),Conservative Party of Canada,613-947-4078,"","","",http://yonahmartin.sencanada.ca/,https://sencanada.ca/media/26204/sen_2813_large-2018.jpg,42,conservative_party_of_canada
"Marwah, Sabi",https://sencanada.ca/en/senators/marwah-sarabjit/,1-613-947-6809,613-947-6810,sabi.marwah@sen.parl.gc.ca,marwah-sarabjit,Sabi Marwah,Ontario (Ontario),Independent Senators Group,613-947-6809,https://twitter.com/senatormarwah,"","",http://sabimarwah.sencanada.ca,https://sencanada.ca/media/265509/sen_207810_large.jpg,42,independent_senators_group
"Massicotte, Paul J.",https://sencanada.ca/en/senators/massicotte-paul-j/,1-613-943-8110,613-943-8129,paul.massicotte@sen.parl.gc.ca,massicotte-paul-j,Paul J. Massicotte,Quebec (De Lanaudière),Independent Senators Group,613-943-8110,"",https://www.facebook.com/senatormassicotte/,"",http://pauljmassicotte.sencanada.ca/,https://sencanada.ca/media/26241/sen_2754_large.jpg,42,independent_senators_group
"McCallum, Mary Jane",https://sencanada.ca/en/senators/mccallum-mary-jane/,1-613-943-1330,613-943-1336,MaryJane.McCallum@sen.parl.gc.ca,mccallum-mary-jane,Mary Jane McCallum,Manitoba (Manitoba),Independent Senators Group,613-943-1330,"","","",http://maryjanemccallum.ca,https://sencanada.ca/media/360591/sen_211689_large.jpg,42,independent_senators_group
"McCoy, Elaine",https://sencanada.ca/en/senators/mccoy-elaine/,1-613-995-4293,613-995-4304,elaine.mccoy@sen.parl.gc.ca,mccoy-elaine,Elaine McCoy,Alberta (Alberta),Independent Senators Group,613-995-4293,https://twitter.com/SenElaineMcCoy,https://www.facebook.com/Senator-Elaine-McCoy-QC-75145008732/,"",http://www.albertasenator.ca/,https://sencanada.ca/media/26246/sen_2779_large.jpg,42,independent_senators_group
"McInnis, Thomas J.",https://sencanada.ca/en/senators/mcinnis-thomas-johnson/,1-613-943-1662,613-943-1683,thomasjohnson.mcinnis@sen.parl.gc.ca,mcinnis-thomas-johnson,Thomas J. McInnis,Nova Scotia (Nova Scotia),Conservative Party of Canada,613-943-1662,"","","",http://senatormcinnis.sencanada.ca/,https://sencanada.ca/media/26251/sen_3565_large.jpg,42,conservative_party_of_canada
"McIntyre, Paul E.",https://sencanada.ca/en/senators/mcintyre-paul-e/,1-613-943-1756,613-943-1751,paul.mcintyre@sen.parl.gc.ca,mcintyre-paul-e,Paul E. McIntyre,New Brunswick (New Brunswick),Conservative Party of Canada,613-943-1756,"","","",http://paulmcintyre.sencanada.ca/,https://sencanada.ca/media/26258/sen_3566_large.jpg,42,conservative_party_of_canada
"McPhedran, Marilou",https://sencanada.ca/en/senators/mcphedran-marilou/,1-613-996-2106,613-996-2125,Marilou.McPhedran@sen.parl.gc.ca,mcphedran-marilou,Marilou McPhedran,Manitoba (Manitoba),Independent Senators Group,613-996-2106,"","","","",https://sencanada.ca/media/188224/sen_207818_large.jpg,42,independent_senators_group
"Megie, Marie-Francoise",https://sencanada.ca/en/senators/megie-marie-francoise/,1-613-996-2357,613-996-2369,marie-francoise.megie@sen.parl.gc.ca,megie-marie-francoise,Marie-Françoise Mégie,Quebec (Rougemont),Independent Senators Group,613-996-2357,"",https://www.facebook.com/SenMegie/?fref=ts,"","",https://sencanada.ca/media/267308/sen_-208005_large.jpg,42,independent_senators_group
"Mercer, Terry M.",https://sencanada.ca/en/senators/mercer-terry-m/,1-613-996-2657,613-947-2345,terry.mercer@sen.parl.gc.ca,mercer-terry-m,Terry M. Mercer,Nova Scotia (Northend Halifax),Liberal Party of Canada,613-996-2657,"","","","",https://sencanada.ca/media/26263/sen_2759_large.jpg,42,liberal_party_of_canada
"Mitchell, Grant",https://sencanada.ca/en/senators/mitchell-grant/,1-613-995-4254,613-995-4265,grant.mitchell@sen.parl.gc.ca,mitchell-grant,Grant Mitchell,Alberta (Alberta),Non-affiliated,613-995-4254,https://twitter.com/senmitchell,"","","",https://sencanada.ca/media/16443/sen_2778_large.jpg,42,non-affiliated
"Miville-Dechene, Julie",https://sencanada.ca/en/senators/miville-dechene-julie/,1-613-943-4780,"",julie.miville-dechene@sen.parl.gc.ca,miville-dechene-julie,Julie Miville-Dechêne,Quebec (Inkerman),Independent Senators Group,613-943-4780,https://twitter.com/mivillej,"",https://www.instagram.com/jmivilledechene,"",https://sencanada.ca/media/362287/sen_214107_large.jpg,42,independent_senators_group
"Mockler, Percy",https://sencanada.ca/en/senators/mockler-percy/,1-613-947-4225,613-947-4227,percy.mockler@sen.parl.gc.ca,mockler-percy,Percy Mockler,New Brunswick (New Brunswick),Conservative Party of Canada,613-947-4225,"","","",http://percymockler.sencanada.ca/,https://sencanada.ca/media/26278/sen_2803_large.jpg,42,conservative_party_of_canada
