id,name,name__fr,name__en,name__en_ca,name__en_gb,name__de,name__nl,wikipedia__en,wikipedia__fr,birth_date,gender,given_name,occupation,original_wikiname,name__nb,name__da,name__nn,name__sv,name__it,name__eu,wikipedia__eu,image,identifier__VIAF,name__ru,wikipedia__ru,name__sr,name__es,name__hu,name__zh,wikipedia__de,wikipedia__sr,identifier__LCAuth,identifier__freebase,website,identifier__ISNI,identifier__BNF,identifier__SUDOC,name__ko,wikipedia__ko,family_name,identifier__PACE,identifier__NNDB,name__ar,wikipedia__ar,name__ja,name__cs,wikipedia__cs,wikipedia__it,wikipedia__ja,identifier__IIAF,name__fa,wikipedia__fa,name__nds,name__tr,wikipedia__nl,name__uk,wikipedia__commons,wikipedia__uk,identifier__GND,name__sl,wikipedia__sl,name__pt,name__pl,name__sr_el,name__sr_ec,name__ca,name__fi,name__sh,wikipedia__ca,wikipedia__es,wikipedia__fi,wikipedia__nn,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__sh,wikipedia__sv,identifier__GTAA,identifier__FAST,identifier__snac,name__vi,wikipedia__vi,identifier__ioc_athlete,name__el,identifier__NTA,identifier__wikitree,identifier__nlg,identifier__NLAtrove,identifier__Britannica,identifier__BIBSYS,name__id,name__ace,identifier__SELIBR,twitter,name__he,wikipedia__he,facebook,wikipedia__zh,wikipedia__simple,death_date,name__cy,wikipedia__enwikiquote,wikipedia__tr,honorific_suffix,name__bn,identifier__LAC,identifier__NKC
Q3017357,David Adams Richards,David Adams Richards,David Adams Richards,,,David Adams Richards,David Adams Richards,David Adams Richards,David Adams Richards,1950-10-17,male,David,politician,David Adams Richards,David Adams Richards,David Adams Richards,David Adams Richards,David Adams Richards,,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/David_Adams_Richards_-_DanH-4021_(cropped).jpg,68941629,,,,David Adams Richards,,,,,n82106098,,http://www.davidadamsrichards.com,0000 0001 0911 8759,12019201q,028335465,,,Richards,,,دايفيد آدامز ريتشاردز,,,,,,,,,,,,,,Category:David Adams Richards,,124928218,David Adams Richards,,,,,,,,,,,,,,David Adams Richards,,,,,96933,,,,,,071737685,Richards-4822,178742,957460,biography/David-Adams-Richards,,,,290121,,,,,,,,,,,,,,kup19980000082556
Q3018884,David Tkachuk,David Tkachuk,David Tkachuk,,,David Tkachuk,David Tkachuk,David Tkachuk,David Tkachuk,1945-02-18,male,David,politician,David Tkachuk,David Tkachuk,David Tkachuk,David Tkachuk,David Tkachuk,,,,,102838054,,,,David Tkachuk,David Tkachuk,,,,,,,,,,,,Tkachuk,6469,,,,,,,,,,,,,,,,,,,David Tkachuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3023150,Dennis Dawson,Dennis Dawson,Dennis Dawson,,,Dennis Dawson,Dennis Dawson,Dennis Dawson,Dennis Dawson,1949-09-28,male,Dennis,politician,Dennis Dawson,Dennis Dawson,Dennis Dawson,Dennis Dawson,Dennis Dawson,,,,,193699167,,,,Dennis Dawson,Dennis Dawson,,,,,,,,,,,,Dawson,,,دينيس داوسون,,,,,,,,,,,,,,,,,Dennis Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dennis_dawson,,,,,,,,,,,,,
Q3063518,Fabian Manning,Fabian Manning,Fabian Manning,,,Fabian Manning,Fabian Manning,Fabian Manning,Fabian Manning,1964-05-21,male,Fabian,politician,Fabian Manning,Fabian Manning,Fabian Manning,Fabian Manning,Fabian Manning,,,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Senator_Fabian_Manning_(cropped).jpg,232449668,,,,Fabian Manning,Fabian Manning,,,,,,,,,,,,Manning,,,,,,,,,,,,,,,,,,,,Fabian Manning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3179583,Joan Fraser,Joan Fraser,Joan Fraser,,,Joan Fraser,Joan Fraser,Joan Fraser,Joan Fraser,1944-10-12,female,Joan,journalist,,Joan Fraser,Joan Fraser,Joan Fraser,Joan Fraser,,,,,66293604,,,,Joan Fraser,Joan Fraser,,,,no2008150470,/m/05rnkv,,0000 0000 7424 1676,,,,,Fraser,5971,,جوان فريزر,,,,,,,,,,,,,,,,,Joan Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3186643,Josée Verner,Josée Verner,Josée Verner,,,Josée Verner,Josée Verner,Josée Verner,Josée Verner,1959-12-30,female,Josée,politician,Josée Verner,Josée Verner,Josée Verner,Josée Verner,Josée Verner,,,,,,,,,Josée Verner,Josée Verner,,,,,,http://www.joseeverner.ca/,,,,,,Verner,,920/000165425,,,,,,,,,,,,,,,,,,Josée Verner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3188008,Judith Seidman,Judith Seidman,Judith Seidman,,,Judith Seidman,Judith Seidman,Judith Seidman,Judith Seidman,1950-09-01,female,Judith,politician,Judith Seidman,,,,,,,,,,,,,,,,,,,,,,,,,,Seidman,,,,,,,,,,,,,,,,,,,,Judith Seidman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,judithseidman,,,,,,,,,,,,,
Q3189244,Julie Miville-Dechêne,Julie Miville-Dechêne,Julie Miville-Dechêne,,,,Julie Miville-Dechêne,Julie Miville-Dechêne,Julie Miville-Dechêne,1959,female,Julie,journalist,Julie Miville-Dechêne,,,,,,,,,,,,,,,,,,,/m/02xby91,,,,,,,Miville-Dechêne,,,,,,,,,,,,,,,,,,,,Julie Miville-Dechêne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mivillej,,,,,,,,,,,,,
Q3218104,Larry Smith,Larry Smith,Larry Smith,,,Larry Smith,Larry Smith,Larry Smith (Canadian politician),Larry Smith (football),1951-04-28,male,Larry,politician,Larry Smith (Canadian politician),,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/60/Larry_Smith.png,,Ларри Смит,,,Larry Smith,Larry Smith,,,,,,,,,,,,Smith,,,لاري سميث,لاري سميث,,,,,,,,,,,,,,,,Larry Smith,,,,,,,,,,Larry Smith (político canadiense),,,,,,,,,,,,,,,,,,,,,,,,LarryWSmith36,,,,,,,,,,,ল্যারি স্মিথ,,
Q3229562,Leo Housakos,Leo Housakos,Leo Housakos,,,Leo Housakos,Leo Housakos,Leo Housakos,Leo Housakos,1968-01-10,male,Leo,politician,Leo Housakos,,,,,,,,,210982348,Лео Хусакос,"Хусакос, Лео",,,,,,,,,,0000 0003 5864 651X,,,,,Housakos,,,,,,,,,,,,,,,,,,,,Leo Housakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenatorHousakos,,,,,,,,,,,,,
Q3313285,Mike Duffy,Mike Duffy,Mike Duffy,,,Mike Duffy,Mike Duffy,Mike Duffy,Mike Duffy,1946-05-27,male,Mike,journalist,Mike Duffy,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e6/Mike_Duffy_in_2017.jpg,310519859,,,,Mike Duffy,Mike Duffy,邁克·杜菲,,,n2014045896,/m/06g65y,,,,,,,Duffy,,,,,,,,,,,,,,,,,Category:Mike Duffy,,,Mike Duffy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Mike-Duffy,,,,,,,,,,,,,,,,,,
Q3343768,Norman Doyle,Norman Doyle,Norman Doyle,,,Norman Doyle,Norman Doyle,Norman Doyle,Norman Doyle,1945-11-11,male,Norman,politician,Norman Doyle,Norman Doyle,Norman Doyle,Norman Doyle,Norman Doyle,,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Norman_E._Doyle.jpg,68456160,,,,Norman Doyle,Norman Doyle,,,,,,,0000 0000 7424 2820,,,,,Doyle,,,,,,,,,,,,,,,,,Category:Norman Doyle,,,Norman Doyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3361787,Pamela Wallin,Pamela Wallin,Pamela Wallin,,,Pamela Wallin,Pamela Wallin,Pamela Wallin,Pamela Wallin,1953-04-10,female,Pamela,journalist,Pamela Wallin,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c3/ETalk2008-Pamela_Wallin.jpg,28864806,,,,Pamela Wallin,Pamela Wallin,柏米拿‧和寧,,,n99044334,/m/03jckw,http://www.pamelawallin.com,0000 0000 7414 7938,,,,,Wallin,,,,,,,,,,,,,,,,,Category:Pamela Wallin,,,Pamela Wallin,,,,,,,,,,Pamela Wallin,,,,,,,,,434778,w6253s4m,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3368534,Pat Duncan,Pat Duncan,Pat Duncan,,,Pat Duncan,Pat Duncan,Pat Duncan,Pat Duncan,1960-04-08,female,Pat,politician,Pat Duncan,Pat Duncan,Pat Duncan,Pat Duncan,Pat Duncan,,,,,,,,,Pat Duncan,Pat Duncan,,,,,,,,,,,,Duncan,,,,,,,,,,,,,,,,,,,,Pat Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,Duncan-4250,,,,,,,,,,,,,,,,,,,,,
Q3369280,Patrick Brazeau,Patrick Brazeau,Patrick Brazeau,,,Patrick Brazeau,Patrick Brazeau,Patrick Brazeau,Patrick Brazeau,1974-11-11,male,Patrick,politician,Patrick Brazeau,,,,,,,,,260991868,,,,,,,,,,,,0000 0003 8136 0237,,,,,Brazeau,,,,,,,,,,,,,,,,,,,,Patrick Brazeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senatorbrazeau,,,,,,,,,,,,,
Q3375189,Percy Downe,Percy Downe,Percy Downe,,,Percy Downe,Percy Downe,Percy Downe,Percy Downe,1954-07-08,male,Percy,politician,Percy Downe,Percy Downe,Percy Downe,Percy Downe,Percy Downe,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/Percy_Downe_photo_by_Djuradj_Vujcic.jpg,,,,,Percy Downe,Percy Downe,,,,,,,,,,,,Downe,6468,,,,,,,,,,,,,,,,,,,Percy Downe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PercyDowne,,,,,,,,,,,,,
Q3375214,Percy Mockler,Percy Mockler,Percy Mockler,,,Percy Mockler,Percy Mockler,Percy Mockler,Percy Mockler,1949-04-14,male,Percy,politician,Percy Mockler,,,,,,,,,,,,,Percy Mockler,Percy Mockler,,,,,,,,,,,,Mockler,,,,,,,,,,,,,,,,,,,,Percy Mockler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
