id,given_name,family_name,party,party_id,source,name,constituency,email,homepage,image,memberships,term
sflmm,Flemming Møller,Mortensen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sflmm.aspx,Flemming Møller Mortensen,North Jutland,flemming.m.mortensen@ft.dk,http://www.flemming-moeller-mortensen.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Flemming%20Moller%20Mortensen/Flemming_Moller_Mortensen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in North Jutland greater constituency from November 13th 2007.+++Candidate for the Social Democratic Party in Himmerland nomination district  from 2007.,2015
shekr,Henrik Dam,Kristensen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/shekr.aspx,Henrik Dam Kristensen,East Jutland,henrik.kristensen@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Henrik%20Dam%20Kristensen/Henrik_Dam_Kristensen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in East Jutland greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Ribe County constituency  from December 12th 1990 to July 7th 2004.+++Candidate for the Social Democratic Party in Horsens nomination district  from 2005.+++Candidate for the Social Democratic Party in Grindsted nomination district  from 1984 to 2004.,2015
shesl,Henrik Sass,Larsen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/shesl.aspx,Henrik Sass Larsen,Zealand,henrik.sass.larsen@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Henrik%20Sass%20Larsen/Henrik_Sass_Larsen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Zealand greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Roskilde County constituency  from November 20th 2001 to November 13th 2007.+++Member of Parliament for the Social Democratic Party in Copenhagen County constituency  from October 1st 2000 to November 20th 2001.+++Temporary Member of Parliament for the Social Democratic Party in Copenhagen County constituency  from June 16th 1999 to June 22nd 1999.+++Temporary Member of Parliament for the Social Democratic Party in Copenhagen County constituency  from January 19th 1999 to March 21st 1999.+++Candidate for the Social Democratic Party in Køge nomination district  from 1999.+++Candidate for the Social Democratic Party in Gentofte nomination district  from 1996 to 1999.,2015
sjajo,Jan,Johansen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sjajo.aspx,Jan Johansen,Funen,jan.johansen@ft.dk,http://www.janifolketinget.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Jan%20Johansen/Jan_Johansen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Funen greater constituency from September 15th 2011.+++Candidate for the Social Democratic Party in Nyborg nomination district  from 2010.,2015
sjejo,Jens,Joel,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sjejo.aspx,Jens Joel,East Jutland,jens.joel@ft.dk,http://www.jensjoel.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/20111/S/Jens_Joel/Jens_Joelx133.jpg.ashx,Member of Parliament for the Social Democratic Party in East Jutland greater constituency from September 15th 2011.+++Candidate for the Social Democratic Party in Århus East nomination district  from 2009.,2015
sjepe,Jesper,Petersen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sjepe.aspx,Jesper Petersen,South Jutland,jesper.petersen@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Jesper%20Petersen/Jesper_Petersen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in South Jutland greater constituency from March 21st 2013.+++Member of Parliament for the Socialist People’s Party in South Jutland greater constituency  from November 13th 2007 to March 20th 2013.+++Candidate for the Social Democratic Party in Haderslev nomination district  from 2014.+++Candidate for the Socialist People’s Party in Sønderborg nomination district  from 2007 to 2013.+++Candidate for the Socialist People’s Party in Aabenraa nomination district  from 2004 to 2006.+++Candidate for the Socialist People’s Party in Rødding nomination district  from 2001 to 2004.,2015
skady,Kaare,Dybvad,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/skady.aspx,Kaare Dybvad,Zealand,kaare.dybvad@ft.dk,http://www.kaaredybvad.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Kaare%20Dybvad/Kaare_Dybvad_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Zealand greater constituency from June 18th 2015.+++Candidate for the Social Democratic Party in Holbæk nomination district  from 2010.,2015
skaga,Karin,Gaardsted,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/skaga.aspx,Karin Gaardsted,Western Jutland,karin.gaardsted@ft.dk,http://karin-gaardsted.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Karin%20Gaardsted/Karin_Gaardsted_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Western Jutland greater constituency from September 15th 2011.+++Candidate for the Social Democratic Party in Viborg West nomination district  from 2010.,2015
skakl,Karen J.,Klint,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/skakl.aspx,Karen J. Klint,South Jutland,karen.klint@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Karen%20Klint/Karen_J_Klint_133.jpg.ashx,Member of Parliament for the Social Democratic Party in South Jutland greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Vejle County constituency  from March 11th 1998 to November 13th 2007.+++Candidate for the Social Democratic Party in Vejle South nomination district  from 2007.+++Candidate for the Social Democratic Party in Vejle nomination district  from 1998 to 2006.,2015
skibr,Kirsten,Brosbøl,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/skibr.aspx,Kirsten Brosbøl,East Jutland,kirsten.brosbol@ft.dk,http://www.kirstenbrosb%C3%B8l.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Kirsten%20Brosbol/Kirsten_Brosbol_133.jpg.ashx,Member of Parliament for the Social Democratic Party in East Jutland greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Århus County constituency  from February 8th 2005 to November 13th 2007.+++Candidate for the Social Democratic Party in Skanderborg nomination district  from 2004.,2015
slaar,Lars Aslan,Rasmussen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/slaar.aspx,Lars Aslan Rasmussen,Copenhagen,lars.aslan.rasmussen@ft.dk,http://www.stemlars.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Lars%20Aslan%20Rasmussen/Lars_Aslan_Rasmussen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Copenhagen greater constituency from April 4th 2016.+++Candidate for the Social Democratic Party in Nørrebro nomination district  from 2016.,2015
sleda,Lennart,Damsbo-Andersen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sleda.aspx,Lennart Damsbo-Andersen,Zealand,lennart.damsbo-andersen@ft.dk,http://www.damsbo-andersen.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Lennart%20Damsbo-Andersen/Lennart_Damsbo-Andersen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Zealand greater constituency from November 13th 2007.+++Candidate for the Social Democratic Party in Guldborgsund nomination district  from 2006.,2015
slelj,Leif Lahn,Jensen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/slelj.aspx,Leif Lahn Jensen,East Jutland,leif.jensen@ft.dk,http://www.leiflahn.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Leif%20Lahn%20Jensen/Leif_Lahn_Jensen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in East Jutland greater constituency from November 13th 2007.+++Candidate for the Social Democratic Party in Djurs nomination district  from 2007.,2015
smahe,Magnus,Heunicke,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/smahe.aspx,Magnus Heunicke,Zealand,magnus.heunicke@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Magnus%20Heunicke/Magnus_Heunicke_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Zealand greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Storstrøm County constituency  from February 8th 2005 to November 13th 2007.+++Candidate for the Social Democratic Party in Næstved nomination district  from 2004.,2015
smala,Malte,Larsen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/smala.aspx,Malte Larsen,East Jutland,malte.larsen@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Malte%20Larsen/Malte_Larsen_133.jpg.ashx,Temporary Member of Parliament for the Social Democratic Party in East Jutland greater constituency  from March 19th 2016 to June 30th 2017 (substitute for Maja Panduro).+++Temporary Member of Parliament for the Social Democratic Party in East Jutland greater constituency  from November 12th 2015 to March 18th 2016 (substitute for Kirsten Brosbøl).,2015
smapa,Maja,Panduro,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/smapa.aspx,Maja Panduro,East Jutland,maja.panduro@ft.dk,http://www.majapanduro.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Maja%20Panduro/Maja_Panduro_133.jpg.ashx,Member of Parliament for the Social Democratic Party in East Jutland greater constituency from August 5th 2009.+++Candidate for the Social Democratic Party in Randers South nomination district  from 2007.,2015
smefr,Mette,Frederiksen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/smefr.aspx,Mette Frederiksen,Greater Copenhagen,"",http://www.socialdemokraterne.dk/da/kontakt/,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Mette%20Frederiksen/Mette_Frederiksen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Greater Copenhagen greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Copenhagen County constituency  from November 20th 2001 to November 13th 2007.+++Candidate for the Social Democratic Party in Ballerup nomination district  from 2000.,2015
smegj,Mette,Gjerskov,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/smegj.aspx,Mette Gjerskov,Zealand,mette.gjerskov@ft.dk,http://www.gjerskov.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Mette%20Gjerskov/Mette_Gjerskov_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Zealand greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Roskilde County constituency  from February 8th 2005 to November 13th 2007.+++Candidate for the Social Democratic Party in Roskilde nomination district  from 2002.,2015
smoje,Mogens,Jensen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/smoje.aspx,Mogens Jensen,Western Jutland,mogens.jensen@ft.dk,https://da-dk.facebook.com/mogensjensenhttps://twitter.com/mogensjensens,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Mogen%20Jensen/Mogens_Jensen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Western Jutland greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Ringkøbing County constituency  from February 8th 2005 to November 13th 2007.+++Candidate for the Social Democratic Party in Herning South nomination district  from 2007.+++Candidate for the Social Democratic Party in Herning nomination district  from 2003 to 2006.,2015
smoly,Mogens,Lykketoft,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/smoly.aspx,Mogens Lykketoft,Greater Copenhagen,mogens.lykketoft@ft.dk,http://www.lykketoft.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/20111/S/Mogens_Lykketoft/Mogens_Lykketoft_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Greater Copenhagen greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Copenhagen County constituency  from December 8th 1981 to November 13th 2007.+++Candidate for the Social Democratic Party in Taastrup nomination district  from 2007.+++Candidate for the Social Democratic Party in Glostrup nomination district  from 1989 to 2006.+++Candidate for the Social Democratic Party in Amager nomination district  from 1980 to 1989.,2015
smorb,Morten,Bødskov,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/smorb.aspx,Morten Bødskov,Greater Copenhagen,morten.bodskov@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/20111/S/Morten_Boedskov/Morten_Boedskovx133.jpg.ashx,Member of Parliament for the Social Democratic Party in Greater Copenhagen greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Copenhagen County constituency  from November 20th 2001 to November 13th 2007.+++Candidate for the Social Democratic Party in Rødovre nomination district  from 1999.,2015
snich,Nick,Hækkerup,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/snich.aspx,Nick Hækkerup,North Zealand,nick.haekkerup@ft.dk,http://www.nickhaekkerup.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Nick%20Haekkerup/Nick_Haekkerup_133.jpg.ashx,Member of Parliament for the Social Democratic Party in North Zealand greater constituency from November 13th 2007.+++Candidate for the Social Democratic Party in Egedal nomination district  from 2007.,2015
sorha,Orla,Hav,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sorha.aspx,Orla Hav,North Jutland,orla.hav@ft.dk,http://www.orlahav.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Orla%20Hav/Orla_Hav_133.jpg.ashx,Member of Parliament for the Social Democratic Party in North Jutland greater constituency from November 13th 2007.+++Candidate for the Social Democratic Party in Aalborg North nomination district  from 2007.,2015
srahl,Rasmus Horn,Langhoff,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/srahl.aspx,Rasmus Horn Langhoff,Zealand,rasmus.langhoff@ft.dk,http://www.rasmuslanghoff.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/20111/S/Rasmus_Horn_Langhoff/Rasmus_Horn_Langhoff_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Zealand greater constituency from September 15th 2011.+++Candidate for the Social Democratic Party in Kalundborg nomination district  from 2006.,2015
srapr,Rasmus,Prehn,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/srapr.aspx,Rasmus Prehn,North Jutland,rasmus.prehn@ft.dk,http://www.rasmusprehn.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Rasmus%20Prehn/Rasmus_Prehn_133.jpg.ashx,Member of Parliament for the Social Democratic Party in North Jutland greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in North Jutland County constituency  from February 8th 2005 to November 13th 2007.+++Candidate for the Social Democratic Party in Aalborg West nomination district  from 2003.,2015
ssiko,Simon,Kollerup,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/ssiko.aspx,Simon Kollerup,North Jutland,simon.kollerup@ft.dk,http://www.simonkollerup.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Simon%20Kollerup/Simon_Kollerup_133.jpg.ashx,Member of Parliament for the Social Democratic Party in North Jutland greater constituency from September 15th 2011.+++Candidate for the Social Democratic Party in Thisted nomination district  from 2010.,2015
sthje,Thomas,Jensen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sthje.aspx,Thomas Jensen,Western Jutland,thomas.jensen@ft.dk,http://www.thomasjensen.nu,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Thomas%20Jensen/Thomas_Jensen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Western Jutland greater constituency from November 13th 2007.+++Candidate for the Social Democratic Party in Silkeborg South nomination district  from 2007.+++Candidate for the Social Democratic Party in Silkeborg nomination district  from 2005 to 2007.,2015
strbr,Trine,Bramsen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/strbr.aspx,Trine Bramsen,Funen,trine.bramsen@ft.dk,http://www.trinebramsen.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Trine%20Bramsen/Trine_Bramsen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Funen greater constituency from September 15th 2011.+++Candidate for the Social Democratic Party in Odense West nomination district  from 2009.,2015
strra,Troels,Ravn,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/strra.aspx,Troels Ravn,South Jutland,Troels.Ravn@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/20111/S/Troels_Ravn/Troels_Ravnx133.jpg.ashx,Member of Parliament for the Social Democratic Party in South Jutland greater constituency from January 12th 2016.+++Member of Parliament for the Social Democratic Party in South Jutland greater constituency  from September 15th 2011 to June 18th 2015.+++Member of Parliament for the Social Democratic Party in Ribe County constituency  from February 8th 2005 to November 13th 2007.+++Temporary Member of Parliament for the Social Democratic Party in South Jutland greater constituency  from October 29th 2008 to November 20th 2008 (substitute for Lise von Seelen).+++Candidate for the Social Democratic Party in Vejen nomination district  from 2007.+++Candidate for the Social Democratic Party in Grindsted nomination district  from 2003 to 2007.,2015
syiak,Yildiz,Akdogan,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/syiak.aspx,Yildiz Akdogan,Copenhagen,yildiz.akdogan@ft.dk,http://www.socialdemokraterne.dk/da/politikere/folketingsmedlem/yildiz-akdogan/,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Yildiz%20Akdogan/Yildiz_Akdogan_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Copenhagen greater constituency from October 21st 2014.+++Member of Parliament for the Social Democratic Party in Copenhagen greater constituency  from November 13th 2007 to September 15th 2011.+++Candidate for the Social Democratic Party in Brønshøj nomination district  from 2007.+++Candidate for the Social Democratic Party in Husum nomination district  from 2004 to 2006.,2015
