id,name,name__en,name__da,name__fr,name__es,name__de,name__nl,name__nb,name__nn,name__sv,name__hu,name__ru,name__sl,name__pl,name__ast,name__ar,name__ca,wikipedia__ar,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__pl,gender,identifier__GND,identifier__LCAuth,identifier__VIAF,birth_date,identifier__EuroparlMEP,occupation,death_date,given_name,identifier__ISNI,family_name,identifier__ne_se,original_wikiname,name__it,name__fo,name__is,name__kl,name__fi,website,twitter,facebook,wikipedia__sv,name__sq,name__cy,name__he,wikipedia__commons,wikipedia__nl,wikipedia__no,wikipedia__sq,identifier__freebase,image,identifier__NTA,identifier__BIBSYS,identifier__PACE,name__eo,name__ro,name__zh,wikipedia__cy,wikipedia__eo,wikipedia__es,wikipedia__fi,wikipedia__ro,identifier__FAST,name__ia,wikipedia__ia,name__zh_hant,name__zh_cn,name__zh_hans,wikipedia__ca,wikipedia__fo,wikipedia__hu,wikipedia__is,wikipedia__ru,name__nds,identifier__DNF,name__de_ch,name__bar,name__en_ca,name__en_gb,name__gl,name__aa,name__af,name__ak,name__aln,name__an,name__ang,name__arn,name__ay,name__az,name__bcl,name__bi,name__bjn,name__bm,name__br,name__brh,name__bs,name__cbk_zam,name__cdo,name__ceb,name__ch,name__cho,name__chr,name__chy,name__co,name__cr,name__crh_latn,name__cs,name__csb,name__de_at,name__diq,name__dsb,name__dtp,name__ee,name__eml,name__et,name__eu,name__ext,name__ff,name__fit,name__fj,name__frp,name__frr,name__fur,name__fy,name__ga,name__gag,name__gd,name__gn,name__got,name__gsw,name__ha,name__hak,name__haw,name__hif_latn,name__ho,name__hr,name__hsb,name__ht,name__hz,name__id,name__ie,name__ig,name__ik,name__ike_latn,name__ilo,name__io,name__iu,name__jam,name__jbo,name__jv,name__kaa,name__kab,name__kg,name__ki,name__kj,name__kk_latn,name__kk_tr,name__kr,name__krj,name__ksh,name__ku,name__la,name__lad,name__lb,name__lfn,name__li,name__lij,name__lmo,name__ln,name__loz,name__lt,name__ltg,name__lus,name__lv,name__lzz,name__map_bms,name__mi,name__min,name__ms,name__mt,name__mus,name__mwl,name__na,name__nah,name__nap,name__nds_nl,name__ng,name__nov,name__nrm,name__nso,name__nv,name__ny,name__oc,name__om,name__pag,name__pam,name__pcd,name__pdc,name__pdt,name__pfl,name__pih,name__pms,name__prg,name__pt,name__pt_br,name__qu,name__qug,name__rif,name__rm,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq_latn,name__rw,name__sat,name__sc,name__scn,name__sco,name__sdc,name__se,name__sei,name__sg,name__sgs,name__sh,name__shi_latn,name__sk,name__sli,name__sm,name__sma,name__sn,name__so,name__sr_el,name__srn,name__st,name__stq,name__sw,name__szl,name__tet,name__tg_latn,name__tk,name__tl,name__tn,name__to,name__tpi,name__tr,name__tru,name__ts,name__tt_latn,name__tum,name__ty,name__ug_latn,name__uz,name__ve,name__vec,name__vep,name__vi,name__vls,name__vmf,name__vo,name__vot,name__wa,name__war,name__wo,name__xh,name__yo,name__za,name__zea,name__zu,wikipedia__dawikiquote,name__uk,name__ka,name__ja,name__ko,name__el,name__fa,wikipedia__ast,wikipedia__el,wikipedia__fa,wikipedia__he,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__pt,wikipedia__simple,wikipedia__tr,wikipedia__uk,wikipedia__zh,identifier__Britannica,name__frc,name__mg,name__pap,name__rgn,wikipedia__eu,wikipedia__gl,identifier__CERL,identifier__google_knowledge,weblog,name__sje,name__smj,identifier__NUKAT,identifier__NLP,wikipedia__eswikiquote,identifier__CSFD,identifier__SFDb,identifier__PORT,wikipedia__et,wikipedia__mg,wikipedia__ie,identifier__GTAA,identifier__wikitree,wikipedia__sl,identifier__snac,wikipedia__br,wikipedia__kl,wikipedia__sh,identifier__youtube,identifier__google_plus,name__sr_ec,name__sr,wikipedia__sr,wikipedia__vi,instagram,wikipedia__cs,identifier__parlement,identifier__dialnet,name__lg,wikipedia__id,wikipedia__plwikiquote,wikipedia__io,wikipedia__nn,wikipedia__oc,name__be,name__ta,name__be_tarask,name__arz,name__hy,name__th,wikipedia__arz,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__hy,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__ms,wikipedia__nds,wikipedia__sco,wikipedia__se,wikipedia__sk,wikipedia__ta,wikipedia__th,identifier__NNDB,identifier__quora,name__zh_hk,name__zh_sg,name__zh_tw,wikipedia__dawikisource,wikipedia__enwikisource,identifier__BAV,identifier__allmovie,identifier__google_scholar,identifier__ORCID,wikipedia__cswikiquote,political_alignment,wikipedia__dewikiquote,identifier__SCOPE,name__bg,name__tt,wikipedia__af,wikipedia__bg,wikipedia__enwikiquote,wikipedia__hsb,wikipedia__itwikiquote,wikipedia__jv,wikipedia__ka,wikipedia__qu,wikipedia__tt,wikipedia__uz,wikipedia__yo,identifier__bigenc_ru,identifier__AGORHA,name__azb,wikipedia__azb,wikipedia__gd,linkedin,name__kk,wikipedia__kk,wikipedia__fy,wikipedia__fiwikiquote,name__bn,name__mr,name__vro,name__ba,name__ne,name__mk,wikipedia__an,wikipedia__bn,wikipedia__bs,wikipedia__dewikinews,wikipedia__fawikiquote,wikipedia__fiu_vro,wikipedia__ga,wikipedia__hr,wikipedia__ku,wikipedia__mk,wikipedia__mr,wikipedia__ruwikinews,wikipedia__srwikinews,wikipedia__trwikinews,wikipedia__ukwikiquote,wikipedia__nowikiquote,name__gv,wikipedia__gv,identifier__nlg,wikipedia__li,identifier__TED,wikipedia__svwikiquote,wikipedia__species,identifier__N6I,identifier__PTBNP,wikipedia__nowikisource,wikipedia__svwikisource,identifier__LAC,name__ur,wikipedia__ur,name__aeb_arab,wikipedia__frwikiquote,name__pnb,name__ku_arab,name__ku_latn,name__pa,name__te,wikipedia__pa,wikipedia__pnb,wikipedia__slwikiquote,wikipedia__sw,identifier__nobel_prize,wikipedia__frwikisource,identifier__NPG
Q12323860,"Lars Kramer Mikkelsen","Lars Kramer Mikkelsen","Lars Kramer Mikkelsen","Lars Kramer Mikkelsen","Lars Kramer Mikkelsen",,,,,,,,"Lars Kramer Mikkelsen",,"Lars Kramer Mikkelsen",,"Lars Kramer Mikkelsen",,"Lars Kramer Mikkelsen",,,,,male,,,,1956-01-26,,politician,,Lars,,Mikkelsen,,,,,,,,,,,,,,,,,,,,,,,4664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12323897,"Lars Pedersen","Lars Pedersen","Lars Pedersen","Lars Pedersen","Lars Pedersen",,"Lars Pedersen",,,,,,"Lars Pedersen",,"Lars Pedersen",,"Lars Pedersen",,"Lars Pedersen (1826-1903)",,,,,male,,,,1826-04-02,,agriculturalist,1903-03-11,Lars,,Pedersen,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/83/Lars_Pedersen.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324001,"Laue Traberg Smidt","Laue Traberg Smidt","Laue Traberg Smidt","Laue Traberg Smidt","Laue Traberg Smidt",,"Laue Traberg Smidt",,,,,,"Laue Traberg Smidt",,"Laue Traberg Smidt",,"Laue Traberg Smidt",,"Laue Traberg Smidt",,,,,male,,,,1944-07-30,,lawyer,,,,Smidt,,,"Laue Traberg Smidt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324031,"Laurids Skau","Laurids Skau","Laurids Skau","Laurids Skau","Laurids Skau","Laurids Skau","Laurids Skau",,,"Laurids Skau",,,"Laurids Skau",,"Laurids Skau",,"Laurids Skau",,"Laurids Skau","Laurids Skau",,,,male,119183390,,30341193,1817-05-22,,politician,1864-05-11,,"0000 0000 1368 6938",,,,,,,,,,,,"Laurids Skau",,,,"Category:Laurids Skau",,,,,https://upload.wikimedia.org/wikipedia/commons/3/37/Laurids_Skau.jpg,110621166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnp00549419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324045,"Laurits Tørnæs","Laurits Tørnæs","Laurits Tørnæs","Laurits Tørnæs","Laurits Tørnæs",,"Laurits Tørnæs",,,"Laurits Tørnæs",,,"Laurits Tørnæs",,"Laurits Tørnæs",,"Laurits Tørnæs",,"Laurits Tørnæs",,,"Laurits Tørnæs",,male,,no2015114495,,1936-07-17,,politician,,Laurits,,"Tørnæs",,,,,,,,,,,"Laurits Tørnæs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324071,"Laurs Kvist","Laurs Kvist","Laurs Kvist","Laurs Kvist","Laurs Kvist",,"Laurs Kvist",,,,,,"Laurs Kvist",,"Laurs Kvist",,"Laurs Kvist",,"Laurs Kvist",,,,,male,,,,1854-05-28,,politician,1926-03-23,,,Kvist,,,,,,,,,,,,,,,"Category:Laurs Kvist",,,,,https://upload.wikimedia.org/wikipedia/commons/d/d9/Laurs_Kvist.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324075,"Laust Jevsen Moltesen","Laust Jevsen Moltesen","Laust Moltesen","Laust Moltesen","Laust Jevsen Moltesen","Laust Moltesen","Laust Jevsen Moltesen",,,"Laust Moltesen","Laust Jevsen Moltesen",,"Laust Jevsen Moltesen",,,,"Laust Moltesen",,"Laust Moltesen","Laust Moltesen","Laust Jevsen Moltesen",,,male,1157689647,,27447032,1865-11-18,,historian,1950-10-25,,"0000 0000 6141 2421",Moltesen,,,,,,,,,,,"Laust Moltesen","Laust Moltesen",,,"Category:Laust Jevsen Moltesen",,,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Laust_Jevsen_Moltesen.jpg,128586281,,,,"Laust Moltesen",,,,,,,,,,,,,,,,,,,,"Laust Moltesen","Laust Moltesen","Laust Jevsen Moltesen","Laust Jevsen Moltesen","Laust Moltesen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laust Moltesen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324076,"Laust Rasmussen","Laust Rasmussen","Laust Rasmussen","Laust Rasmussen","Laust Rasmussen",,,,,,,,"Laust Rasmussen",,"Laust Rasmussen",,"Laust Rasmussen",,"Laust Rasmussen",,,,,male,,,,1862-11-22,,"civil servant",1941-04-16,,,Rasmussen,,,"Laust Rasmussen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324077,"Laust Rasmussen","Laust Rasmussen","Laust Rasmussen","Laust Rasmussen","Laust Rasmussen","Laust Rasmussen","Laust Rasmussen",,,,,,"Laust Rasmussen",,"Laust Rasmussen",,"Laust Rasmussen",,"Laust Rasmussen (1850-1924)",,,,,male,,,,1850-11-21,,agriculturalist,1924-12-14,,,Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laust Rasmussen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324160,"Leif Glensgaard","Leif Glensgaard","Leif Glensgaard","Leif Glensgaard","Leif Glensgaard",,,,,,,,"Leif Glensgaard",,"Leif Glensgaard",,"Leif Glensgaard",,"Leif Glensgaard",,,,,male,,,,1948-03-10,,businessperson,,Leif,,Glensgaard,,,"Leif Glensgaard",,,,,,,,,,,,,,,,,,,,6051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324167,"Leif Hermann","Leif Hermann","Leif Hermann","Leif Hermann","Leif Hermann",,,,,,,,"Leif Hermann",,"Leif Hermann",,"Leif Hermann",,"Leif Hermann",,,,,male,,,,1941-08-11,,politician,,Leif,,Hermann,,,"Leif Hermann",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324169,"Leif Lahn Jensen","Leif Lahn Jensen","Leif Lahn Jensen","Leif Lahn Jensen","Leif Lahn Jensen","Leif Lahn Jensen","Leif Lahn Jensen","Leif Lahn Jensen","Leif Lahn Jensen","Leif Lahn Jensen",,,"Leif Lahn Jensen",,"Leif Lahn Jensen",,"Leif Lahn Jensen",,"Leif Lahn Jensen",,,,,male,,,,1967-06-29,,politician,,Leif,,Jensen,,,,"Leif Lahn Jensen","Leif Lahn Jensen","Leif Lahn Jensen",,http://leiflahn.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324258,"Lene Garsdal","Lene Garsdal","Lene Garsdal","Lene Garsdal","Lene Garsdal",,,,,,,,"Lene Garsdal",,"Lene Garsdal",,"Lene Garsdal",,"Lene Garsdal",,,,,female,,,,1947-01-18,,politician,,Lene,,Garsdal,,,"Lene Garsdal",,,,,,,,,,,,,,,,,,,,5269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324260,"Lene Hansen","Lene Hansen","Lene Hansen","Lene Hansen","Lene Hansen",,,,,,,"Лене Хансен","Lene Hansen",,"Lene Hansen",,"Lene Hansen",,"Lene Hansen",,,,,female,,,,1948-10-31,,politician,,Lene,,Hansen,,,"Lene Hansen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324262,"Lene Jensen","Lene Jensen","Lene Jensen","Lene Jensen","Lene Jensen","Lene Jensen","Lene Jensen","Lene Jensen","Lene Jensen","Lene Jensen",,,"Lene Jensen",,"Lene Jensen",,"Lene Jensen",,"Lene Jensen",,,,,female,,,,1964-09-26,,politician,,Lene,,Jensen,,,,"Lene Jensen","Lene Jensen","Lene Jensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324275,"Lennart Damsbo-Andersen","Lennart Damsbo-Andersen","Lennart Damsbo-Andersen","Lennart Damsbo-Andersen","Lennart Damsbo-Andersen","Lennart Damsbo-Andersen","Lennart Damsbo-Andersen","Lennart Damsbo-Andersen","Lennart Damsbo-Andersen","Lennart Damsbo-Andersen",,,"Lennart Damsbo-Andersen",,"Lennart Damsbo-Andersen",,"Lennart Damsbo-Andersen",,"Lennart Damsbo-Andersen",,,,,male,,,,1956-10-05,,politician,,Lennart,,Damsbo-Andersen,,,"Lennart Damsbo-Andersen","Lennart Damsbo-Andersen","Lennart Damsbo-Andersen","Lennart Damsbo-Andersen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12324277,"Lennart Larson","Lennart Larson","Lennart Larson","Lennart Larson","Lennart Larson",,"Lennart Larson",,,,,,"Lennart Larson",,"Lennart Larson",,"Lennart Larson",,"Lennart Larson",,,,,male,,,,1923-05-05,,autobiographer,,Lennart,,Larson,,,"Lennart Larson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
