id,name,name__en,name__fr,name__nl,name__sl,wikipedia__fr,birth_date,gender,given_name,occupation,original_wikiname,name__es,name__de,wikipedia__en,family_name,website,facebook,identifier__SUDOC,identifier__VIAF,identifier__BNF,identifier__ISNI,name__ja,name__it,name__ru,twitter,linkedin,death_date,name__hu,wikipedia__ru,identifier__whoswho_france,wikipedia__commons,image
Q27569261,Béatrice Fresko-Rolfo,Béatrice Fresko-Rolfo,Béatrice Fresko-Rolfo,Béatrice Fresko-Rolfo,Béatrice Fresko-Rolfo,Béatrice Fresko-Rolfo,1969-02-12,female,Béatrice,politician,,,,,,,,,,,,,,,,,,,,,,
Q27570638,Valérie Rossi,Valérie Rossi,Valérie Rossi,Valérie Rossi,Valérie Rossi,Valérie Rossi,1967-09-01,female,Valérie,politician,,,,,,,,,,,,,,,,,,,,,,
Q3166802,Jean-Louis Grinda,Jean-Louis Grinda,Jean-Louis Grinda,Jean-Louis Grinda,Jean-Louis Grinda,Jean-Louis Grinda,1960-01-25,male,Jean-Louis,theatre director,,,,Jean-Louis Grinda,,,,,,,,ジャン＝ルイ・グリンダ,,,,,,,,,,
Q3186188,José Badia,José Badia,José Badia,,José Badia,José Badia,1945-01-02,male,José,politician,,,José Badia,,Badia,,,,,,,,José Badia,,,,,,,,Category:José Badia,https://upload.wikimedia.org/wikipedia/commons/6/6e/José_Badia_May_2014_(14090450716).jpg
Q3387048,Pierre Svara,Pierre Svara,Pierre Svara,Pierre Svara,Pierre Svara,Pierre Svara,1956-10-13,male,Pierre,politician,,,,,,,,,,,,,Pierre Svara,,,,,,,,,
Q3502121,Stéphane Valeri,Stéphane Valeri,Stéphane Valeri,Stéphane Valeri,Stéphane Valeri,Stéphane Valeri,1962-03-01,male,Stéphane,politician,,Stéphane Valeri,Stéphane Valeri,Stéphane Valeri,,,,,,,,,,"Валери, Стефан",,,,Stéphane Valeri,"Валери, Стефан",stephane-valeri_73214,,
Q41446132,Caroline Rougaignon-Vernin,Caroline Rougaignon-Vernin,Caroline Rougaignon-Vernin,,Caroline Rougaignon-Vernin,Caroline Rougaignon-Vernin,1969-04-21,female,Caroline,politician,,Caroline Rougaignon-Vernin,Caroline Rougaignon-Vernin,Caroline Rougaignon-Vernin,Rougaignon,,,,,,,,,,,,,,,,,
Q41446633,Bernard Pasquier,Bernard Pasquier,Bernard Pasquier,,Bernard Pasquier,Bernard Pasquier,1954-02-04,male,Bernard,politician,,Bernard Pasquier,Bernard Pasquier,,,,,,,,,,,,,,,,,,,
Q41446929,Alain Ficini,Alain Ficini,Alain Ficini,,Alain Ficini,Alain Ficini,1950-02-04,male,Alain,politician,,Alain Ficini,Alain Ficini,,Ficini,,,,,,,,,,,,,,,,,
Q41447455,Claude Boisson,Claude Boisson,Claude Boisson,,Claude Boisson,Claude Boisson,1955-01-05,male,Claude,politician,,Claude Boisson,Claude Boisson,,,,,,,,,,,,,,,,,,,
Q41447580,Christian Barilaro,Christian Barilaro,Christian Barilaro,,Christian Barilaro,Christian Barilaro,1965-10-23,male,Christian,politician,,Christian Barilaro,Christian Barilaro,,Barilaro,,,,,,,,,,,,,,,,,
Q41447848,Daniel Boeri,Daniel Boeri,Daniel Boeri,,,Daniel Boeri,1944-03-01,male,Daniel,politician,,Daniel Boeri,Daniel Boeri,Daniel Boéri,Boeri,http://danielboeri.com,daniel.boeri,02673477X,61542099,11892530b,0000 0001 0906 8595,,,,,,,,,,,
Q41448759,Nathalie Amoratti-Blanc,Nathalie Amoratti-Blanc,Nathalie Amoratti-Blanc,,Nathalie Amoratti-Blanc,Nathalie Amoratti-Blanc,1964-09-17,female,Nathalie,politician,,Nathalie Amoratti-Blanc,Nathalie Amoratti-Blanc,,Amoratti,,,,,,,,,Натали Бланк,,,,,,,,
Q41448858,Jean-Michel Cucchi,Jean-Michel Cucchi,Jean-Michel Cucchi,,Jean-Michel Cucchi,Jean-Michel Cucchi,1961-07-14,male,Jean-Michel,politician,,Jean-Michel Cucchi,Jean-Michel Cucchi,,,,,,,,,,,,,,,,,,,
Q41449140,Christophe Robino,Christophe Robino,Christophe Robino,,Christophe Robino,Christophe Robino,1966-10-21,male,Christophe,politician,,Christophe Robino,Christophe Robino,,Robino,,,,,,,,,,,,,,,,,
Q41449507,Thierry Crovetto,Thierry Crovetto,Thierry Crovetto,,Thierry Crovetto,Thierry Crovetto,1969-12-18,male,Thierry,politician,,Thierry Crovetto,Thierry Crovetto,,Crovetto,,,,,,,,,,thierrycrovetto,https://www.linkedin.com/in/tcsf98000/,,,,,,
Q41449622,Marc Burini,Marc Burini,Marc Burini,,Marc Burini,Marc Burini,1962-03-06,male,Marc,politician,,Marc Burini,Marc Burini,,Burini,,,,,,,,,,,,,,,,,
Q41478401,Anne Poyard-Vatrican,Anne Poyard-Vatrican,Anne Poyard-Vatrican,,Anne Poyard-Vatrican,,,female,Anne,politician,,Anne Poyard-Vatrican,Anne Poyard-Vatrican,,Poyard,,,,,,,,,Энн Ватрикан,,https://www.linkedin.com/in/anne-poyard-vatrican-56933a26/,,,,,,
Q41478819,Roland Marquet,Roland Marquet,Roland Marquet,,Roland Marquet,Roland Marquet,,male,Roland,politician,,Roland Marquet,Roland Marquet,,Marquet,,,,,,,,,,,,,,,,,
Q41478972,Éric Guazzonne,Éric Guazzonne,Éric Guazzonne,,Éric Guazzonne,,,male,Éric,politician,,Éric Guazzonne,Éric Guazzonne,,,,,,,,,,,,,https://www.linkedin.com/in/eric-guazzonne-6b016741/,,,,,,
Q41479112,Claude Cellario,Claude Cellario,Claude Cellario,,Claude Cellario,,,male,Claude,politician,,Claude Cellario,Claude Cellario,,,,,,,,,,,,,,,,,,,
Q41479234,Brigitte Boccone-Pagès,Brigitte Boccone-Pagès,Brigitte Boccone-Pagès,,Brigitte Boccone-Pagès,Brigitte Boccone-Pagès,,female,Brigitte,politician,,Brigitte Boccone-Pagès,Brigitte Boccone-Pagès,Brigitte Boccone-Pagès,,,,,,,,,,,,,,,,,,
Q41479345,Bernard Marquet,Bernard Marquet,Bernard Marquet,,Bernard Marquet,,,male,Bernard,politician,,Bernard Marquet,Bernard Marquet,,,,,,,,,,,,,,,,,,,
Q41479448,Michèle Dittlot,Michèle Dittlot,Michèle Dittlot,,Michèle Dittlot,Michèle Dittlot,,female,Michèle,politician,,Michèle Dittlot,Michèle Dittlot,,,,,,,,,,,,,,,,,,,
Q41479575,Nicole Manzone-Saquet,Nicole Manzone-Saquet,Nicole Manzone-Saquet,,Nicole Manzone-Saquet,,,female,Nicole,politician,,Nicole Manzone-Saquet,Nicole Manzone-Saquet,,,,,,,,,,,,,,,,,,,
Q41479695,Gérard Bertrand,Gérard Bertrand,Gérard Bertrand,,Gérard Bertrand,,,male,Gérard,politician,,Gérard Bertrand,Gérard Bertrand,,,,,,,,,,,,,,2015-01-02,,,,,
Q41479850,Pierre Lorenzi,Pierre Lorenzi,Pierre Lorenzi,,Pierre Lorenzi,,,male,Pierre,politician,,Pierre Lorenzi,Pierre Lorenzi,,Lorenzi,,pierre.lorenzi.50,,,,,,,,,,,,,,,
Q41479946,Jean-Charles Gardetto,Jean-Charles Gardetto,Jean-Charles Gardetto,,Jean-Charles Gardetto,,,male,Jean-Charles,lawyer,,Jean-Charles Gardetto,Jean-Charles Gardetto,,,http://www.gardetto.mc,Jean-Charles-S-Gardetto-107811329254724,,,,,,,,,https://www.linkedin.com/in/jean-charles-gardetto-639a281/,,,,,,
Q41480094,Guillaume Rose,Guillaume Rose,Guillaume Rose,,Guillaume Rose,Guillaume Rose (homme politique),,male,Guillaume,politician,,Guillaume Rose,Guillaume Rose,,Rose,,,,,,,,,,,,,,,,,
Q41480271,Alexandre Bordero,Alexandre Bordero,Alexandre Bordero,,Alexandre Bordero,,,male,Alexandre,politician,,Alexandre Bordero,Alexandre Bordero,,,,,,,,,,,,,https://www.linkedin.com/in/alexandre-bordero-50422511/,,,,,,
Q41480413,Fabrice Notari,Fabrice Notari,Fabrice Notari,,Fabrice Notari,Fabrice Notari,1958-04-26,male,Fabrice,politician,,Fabrice Notari,Fabrice Notari,Fabrice Notari,Notari,,,,,,,,,,,,,,,,,
Q48619501,Pierre van Klaveren,Pierre van Klaveren,Pierre van Klaveren,Pierre van Klaveren,Pierre van Klaveren,Pierre van Klaveren,,male,,politician,,,,,,,,,,,,,,,,,,,,,,
Q48619921,Balthazar Seydoux,Balthazar Seydoux,Balthazar Seydoux,Balthazar Seydoux,Balthazar Seydoux,Balthazar Seydoux,1971-08-13,male,,politician,,,,,,,,,,,,,,,,,,,,,,
Q48621015,Marc Mourou,Marc Mourou,Marc Mourou,Marc Mourou,Marc Mourou,Marc Mourou,,male,,politician,,,,,,,,,,,,,,,,,,,,,,
Q48621419,Franck Lobono,Franck Lobono,Franck Lobono,Franck Lobono,Franck Lobono,Franck Lobono,,male,Franck,politician,,,,,,,lobono,,,,,,,,,,,,,,,
Q48621657,Franck Julien,Franck Julien,Franck Julien,Franck Julien,Franck Julien,Franck Julien,,male,Franck,politician,,,,,Julien,,franck.julien,,,,,,,,FranckJULIEN,https://www.linkedin.com/in/franckjulien/,,,,,,
Q48622226,Marine Grisoul,Marine Grisoul,Marine Grisoul,Marine Grisoul,Marine Grisoul,Marine Grisoul,,female,,politician,,,,,,,marine.grisoul.9,,,,,,,,MarineGRISOUL,https://www.linkedin.com/in/grisoul-marine-4a4347b5/,,,,,,
Q48622423,Marie-Noëlle Gibelli,Marie-Noëlle Gibelli,Marie-Noëlle Gibelli,Marie-Noëlle Gibelli,Marie-Noëlle Gibelli,Marie-Noëlle Gibelli,,female,Marie-Noëlle,politician,,Marie-Noëlle Gibelli,Marie-Noëlle Gibelli,,,,poullainm,,,,,,Marie-Noëlle Gibelli,,,https://www.linkedin.com/.../marie-noëlle-gibelli-poullain-5b8510,,,,,,
Q48622548,Jean-Charles Emmerich,Jean-Charles Emmerich,Jean-Charles Emmerich,Jean-Charles Emmerich,Jean-Charles Emmerich,Jean-Charles Emmerich,,male,,politician,,,,,,,,,,,,,,,,,,,,,,
Q48622862,Thomas Brezzo,Thomas Brezzo,Thomas Brezzo,Thomas Brezzo,Thomas Brezzo,Thomas Brezzo,1979-09-27,male,Thomas,lawyer,,,,,Brezzo,http://www.brezzo-avocat.com,,,,,,,,,TBrezzo_mc,https://www.linkedin.com/in/thomas-brezzo-4a1b1426/,,,,,,
Q48624362,Corinne Bertani,Corinne Bertani,Corinne Bertani,Corinne Bertani,Corinne Bertani,Corinne Bertani,,female,Corinne,politician,,,,,,,,,,,,,,,,https://www.linkedin.com/in/corinne-bertani-03a78923/,,,,,,
Q48625107,Pierre Bardy,Pierre Bardy,Pierre Bardy,Pierre Bardy,Pierre Bardy,Pierre Bardy,,male,Pierre,politician,,,,,,,,,,,,,,,namepierre,https://www.linkedin.com/in/pierre-bardy/,,,,,,
Q48625396,Karen Aliprendi,Karen Aliprendi,Karen Aliprendi,Karen Aliprendi,Karen Aliprendi,Karen Aliprendi,,female,Karen,politician,,,,,,,aliprendi.karen,,,,,,,,,,,,,,,
