id,name__ar,name,wikipedia__ar,original_wikiname,name__fr,name__en,name__pt,name__de,name__it,name__pl,name__nl,name__es,name__ru,name__fa,name__mg,wikipedia__de,wikipedia__en,wikipedia__fa,wikipedia__fr,wikipedia__it,wikipedia__mg,wikipedia__pl,wikipedia__pt,wikipedia__ru,gender,birth_date,identifier__freebase,given_name,identifier__FIFA,name__nb,wikipedia__no,death_date,name__id,wikipedia__id,name__tr,wikipedia__tr,identifier__VIAF,identifier__IMDB,name__hu,name__arz,wikipedia__arz,name__en_ca,name__en_gb,wikipedia__es,wikipedia__nl,twitter,identifier__BNF,identifier__SUDOC,identifier__FAST,identifier__LCAuth,identifier__AlloCine,identifier__moviemeter,identifier__allmovie,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,name__ja,name__zh,wikipedia__ja,wikipedia__zh,image,name__ca,name__cy,wikipedia__ca,name__eo,name__ms,name__fi,wikipedia__arwikiquote,wikipedia__commons,wikipedia__eo,wikipedia__fi,wikipedia__ms,identifier__ISNI,identifier__GND,name__uk,wikipedia__uk,name__he,wikipedia__he,name__sv,wikipedia__sv,name__zh_hant,name__zh_cn,occupation,name__el,identifier__ioc_athlete
Q20637173,,Nasser al-Hafi,,Nasser al-Hafi,Nasser al-Hafi,Nasser al-Hafi,,,,,Nasser al-Hafi,,,,,,Nasser al-Hafi,,,,,,,,male,,,Nasser,,,,2015-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nasser Al-Hafi,Nasser al-Hafi,Nasser Al-Hafi,,,,,,,,,,,,,,,,,,,lawyer,,
Q22688906,علي عبد العال,Ali Abdel Aal,علي عبد العال,علي عبد العال,Ali Abdel Aal,Ali Abdel Aal,,,,,Ali Abdel Aal,,,,,,Ali Abdel Aal,,Ali Abdel Aal,,,,,,male,1948-11-29,,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22928541,أحمد الشريف,أحمد الشريف,أحمد الشريف (سياسي مصري),أحمد الشريف (سياسي مصري),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22928583,أحمد خليل خير الله,أحمد خليل خير الله,أحمد خليل خير الله,أحمد خليل خير الله,,,,,,,,,,,,,,,,,,,,,,1978-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q22929729,مني جاب الله,مني جاب الله,مني جاب الله,مني جاب الله,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q22929928,عماد جاد,عماد جاد,عماد جاد,عماد جاد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q22931056,مارجريت عازر,مارجريت عازر,مارجريت عازر,مارجريت عازر,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22931093,حاتم باشات,حاتم باشات,حاتم باشات,حاتم باشات,,,,,,,,,,,,,,,,,,,,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q22933051,بهاء الدين أبو شقة,بهاء الدين أبو شقة,بهاء الدين أبو شقة,بهاء الدين أبو شقة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22947528,غادة صقر,غادة صقر,غادة صقر,غادة صقر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25454920,مجدي مرشد,مجدي مرشد,مجدي مرشد,مجدي مرشد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2628951,طاهر أبو زيد,Taher Abouzeid,طاهر أبو زيد,طاهر أبو زيد,Taher Abouzaid,Taher Abouzeid,Taher Abouzaid,Taher Abouzeid,Taher Abouzaid,Taher Abouzaid,Taher Abouzeid,Taher Abouzeid,"Абузаид, Тахер",طاهر ابوزید,,,Taher Abouzeid,طاهر ابوزید,Taher Abouzaid,Taher Abouzaid,,Tahir Abu Zajd,Taher Abouzaid,"Абу Зейд, Тахир",male,1962-04-01,/m/026y_b4,,174324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,association football player,,
Q28717442,الكتلة البرلمانية لنواب حزب المصريين الأحرار,الكتلة البرلمانية لنواب حزب المصريين الأحرار,الكتلة البرلمانية لنواب حزب المصريين الأحرار (الدورة البرلمانية 2016- 2020),الكتلة البرلمانية لنواب حزب المصريين الأحرار (الدورة البرلمانية 2016- 2020),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28923642,علي المصيلحي,علي المصيلحي,علي المصيلحي,علي المصيلحي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2949751,يونس مخيون,Younes Makhioun,يونس مخيون,Younes Makhioun,Younes Makhioun,Younes Makhioun,,Younes Makhioun,,,Younes Makhioun,Younes Makhioun,,,Younes Makhioun,,Younes Makhioun,,,,Younes Makhioun,,,,male,1955-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,尤尼斯·馬赫尤恩,尤尼斯·马赫尤恩,dentist,,
Q3195985,خالد يوسف,Khaled Youssef,خالد يوسف,خالد يوسف,Khaled Youssef,Khaled Youssef,,Khaled Youssef,,,Khaled Youssef,,,,,,Khaled Youssef,,Khaled Youssef,,,,,,male,1964-09-28,/m/03d5ns7,Khaled,,,,,,,,,16665545,nm0950352,Khaled Youssef,خالد يوسف,خالد يوسف,Khaled Youssef,Khaled Youssef,,,,166276610,069069530,,,15512,18105,p627605,711538,203317,2472587,126204,,,,,,,,,,,,,,,,,,,,,,,,,,,film director,,
Q3319087,محمد عبد المنعم الصاوي,Mohamed El-Sawy,محمد عبد المنعم الصاوي,Mohamed El-Sawy,Mohammed el-Saoui,Mohamed El-Sawy,,,,,Mohamed El-Sawy,,,,Mohammed el-Saoui,,Mohamed El-Sawy,,Mohammed el-Saoui,,Mohammed el-Saoui,,,,male,1956-11-02,,Mohamed,,,,,,,,,,,,محمد عبد المنعم الصاوى,محمد عبد المنعم الصاوى,,Mohamed El-Sawy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engineer,,
Q3380878,كمال الدين حسين,Kamal el-Din Hussein,كمال الدين حسين,Kamal el-Din Hussein,Kamal el-Din Hussein,Kamal el-Din Hussein,,,,Kamal ad-Din Husajn,,,,کمال‌الدین حسین,,,Kamal el-Din Hussein,کمال‌الدین حسین,,,,Kamal ad-Din Husajn,,,male,1921-01-02,,Kamal,,Kamal el-Din Hussein,Kamal el-Din Hussein,1999-06-19,,,,,,,,كمال الدين حسين,كمال الدين حسين,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a4/Kamel_el-Din_Hussein.jpg,,,,,,,,,,,,,,Камаль аль-Дін Хусейн,Камаль аль-Дін Хусейн,,,,,,,,,
Q401232,أحمد عز,Ahmed Ezz,أحمد عز (رجل أعمال),Ahmed Ezz (businessman),Ahmed Ezz,Ahmed Ezz,,Ahmed Ezz,,,Ahmed Ezz,Ahmed Ezz,,,,Ahmed Ezz,Ahmed Ezz (businessman),,,,,,,,male,1959-01-12,/m/02vnb8k,Ahmed,,,,,,,,,,,,احمد عز,احمد عز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,
Q401494,أحمد شوبير,Ahmed Shobair,أحمد شوبير,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,"Шобаир, Ахмед",احمد شوبیر,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,احمد شوبیر,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,Ahmed Shobair,"Шобаир, Ахмед",male,1960-09-28,/m/026yzzf,Ahmed,184623,,,,,,Ahmed Shobair,Ahmed Şubeyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,association football player,,
Q405451,أيمن نور,Ayman Nour,أيمن نور,Ayman Nour,Ayman Nour,Ayman Nour,,Aiman Nur,Ayman Nur,,Ayman Nour,Ayman Nour,,ایمن نور,,Aiman Nur,Ayman Nour,ایمن نور,Ayman Nour,Ayman Nur,,,,,male,1964-12-05,/m/061nnc,Ayman,,Ayman Nour,Ayman Nour,,Ayman Nour,Ayman Nour,,,43048214,,Ayman Nour,ايمن نور,ايمن نور,,,Ayman Nour,Ayman Nour,,,,1495676,nr90008276,,,,,,,,アイマン・ヌール,,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Ayman_Noor_(cropped).jpg,Ayman Nour,,Ayman Nour,Aiman Nur,Ayman Nour,Ayman Nour,أيمن نور,Category:Ayman Nour,Aiman Nur,Ayman Nour,Ayman Nour,0000 0001 2100 9256,134161726,,,,,,,,,politician,,
Q4115734,حسن صبري باشا,Hassan Sabry Pasha,حسن صبري باشا,Hassan Sabry Pasha,Hassan Sabry Pacha,Hassan Sabry Pasha,,Hassan Sabry Pasha,,,Hassan Sabry Pasha,Hassan Sabry Pasha,,حسن صبری پاشا,,,Hassan Sabry Pasha,حسن صبری پاشا,Hassan Sabry Pacha,,,,,,male,1879,/m/0524p9x,Hassan,,,,1940-11-11,,,,,,,,حسن صبرى,حسن صبرى,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/56/Hasan_Sabry-pasha.jpg,,,,,,,,Category:Hassan Sabry Pasha,,,,,,Хасан Сабрі-паша,Хасан Сабрі-паша,,,Hassan Sabry Pasha,Hassan Sabry Pasha,,,economist,,
Q4118035,توفيق عكاشة,Tawfik Okasha,توفيق عكاشة,توفيق عكاشة,Tawfiq Okacha,Tawfik Okasha,,Taufik Okascha,Tawfiq Okasha <br />توفيق عكاشة,,Tawfik Okasha,Tawfik Okasha,,,,,Tawfik Okasha,,Tawfiq Okacha,,,,,,male,1967-07-12,,,,,,,,,,,,,,توفيق عكاشة,توفيق عكاشة,Tawfik Okasha,Tawfik Okasha,,,,,,,,,,,,,,,タウフィーク・オカーシャ,,,,,,,,,,,,,,,,,,,,,,,,,,television presenter,,
Q4166461,عثمان أحمد عثمان,Osman Ahmed Osman,عثمان أحمد عثمان,Osman Ahmed Osman,Osman Ahmed Osman,Osman Ahmed Osman,,Osman Ahmed Osman,,,Osman Ahmed Osman,Osman Ahmed Osman,,,Osman Ahmed Osman,,Osman Ahmed Osman,,,,Osman Ahmed Osman,,,,male,1917-04-06,,Osman,,,,1999,,,,,170144782981892841965,,,عثمان احمد عثمان,عثمان احمد عثمان,,,,,,,,,,,,,,,,,オスマーン・アフマド・オスマーン,,,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Othman.jpg,,,,,,,,,,,,,,,,,,,,,,civil engineer,,
Q4664734,,Abdel Ahad Gamal El Din,,Abdel Ahad Gamal El Din,Abdel Ahad Gamal El Din,Abdel Ahad Gamal El Din,,Abdel Ahad Gamal El Din,Abdel Ahad Gamal El Din,,Abdel Ahad Gamal El Din,Abdel Ahad Gamal El Din,,,,,Abdel Ahad Gamal El Din,,,,,,,,male,,,Abdel,,,,,,,,,,,Abdel Ahad Gamal El Din,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q4695848,أحمد حسن سعيد,Ahmed Hassan Said,أحمد حسن سعيد,أحمد حسن سعيد,Ahmed Hassan Said,Ahmed Hassan Said,,Ahmed Hassan Said,,,,Ahmed Hassan Said,,,,,Ahmed Hassan Said,,,,,,,,male,1961-12-28,,Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/AhmedHSaid.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Q4705121,,Alaa El-Din Abdul Moneim,,Alaa El-Din Abdul Moneim,Alaa El-Din Abdul Moneim,Alaa El-Din Abdul Moneim,,,Alaa El-Din Abdul Moneim,,Alaa El-Din Abdul Moneim,Alaa El-Din Abdul Moneim,,,,,Alaa El-Din Abdul Moneim,,,,,,,,male,1951-01-03,,Alaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Alaa_El-Din_Abdul_Moneim.JPG,,,,,,,,,,,,,,,,,,,,,,,,
Q4724768,,Ali El-Sayed Ali Al-Moselhi,,Ali El-Sayed Ali Al-Moselhi,Ali El-Sayed Ali Al-Moselhi,Ali El-Sayed Ali Al-Moselhi,,,,,Ali El-Sayed Ali Al-Moselhi,,,,,,Ali El-Sayed Ali Al-Moselhi,,,,,,,,male,,,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q4832640,,Aziz Abaza,,Aziz Abaza,ʿAzīz Muḥammad Abāẓaẗ,Aziz Abaza,,Aziz Abaza,,Aziz Abaza,Aziz Abaza,,,,,,Aziz Abaza,,,,,Aziz Abaza,,,male,1898-08-13,,Aziz,,,,1973,,,,,15012801,,Aziz Abaza,,,,,,,,14552345w,110972406,41076,n79091933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q537159,محمد العرابي,Mohamed Orabi,محمد العرابي,محمد العرابي,Mohamed El Orabi,Mohamed Orabi,,Muhammad al Orabi,,Mohammed al-Orabi,Mohamed Orabi,Mohamed Orabi,,محمد العرابی,,Muhammad al Orabi,Mohamed Orabi,محمد العرابی,Mohamed El Orabi,,,Muhammad al-Urabi,,,male,1951-01-26,/m/0gyvnj8,Muhammed,,,,,,,,,,,,محمد العرابي,محمد العرابي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,
Q5679468,,Hassaballah El Kafrawy,,Hassaballah El Kafrawy,Hassaballah El Kafrawy,Hassaballah El Kafrawy,,Hassaballah El Kafrawy,,,Hassaballah El Kafrawy,,,,,,Hassaballah El Kafrawy,,,,,,,,male,1930-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engineer,,
Q5745625,,Heshmat Fahmi,,Heshmat Fahmi,Heshmat Fahmi,Heshmat Fahmi,,Heshmat Fahmi,Heshmat Fahmi,,Heshmat Fahmi,Heshmat Fahmi,,,,,Heshmat Fahmi,,,,,,,,male,,,,,,,,,,,,,,Heshmat Fahmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q6537104,آمنة نصير,آمنة نصير,آمنة نصير,آمنة نصير,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6745570,,Mamdouh Hosny Khalil,,Mamdouh Hosny Khalil,Mamdouh Hosny Khalil,Mamdouh Hosny Khalil,,Mamdouh Hosny Khalil,,,Mamdouh Hosny Khalil,,,,,,Mamdouh Hosny Khalil,,,,,,,,male,1964-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q6853341,محمد أنور عصمت السادات,محمد أنور عصمت السادات,محمد أنور عصمت السادات,محمد أنور عصمت السادات,,,,,,,,,,,,,,,,,,,,,male,,,Muhammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6854128,فرج عامر,فرج عامر,فرج عامر,فرج عامر,,,,,,,,,,,,,,,,,,,,,male,1951-03-16,,Muhammed,,,,,,,,,,,,فرج عامر,فرج عامر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6890962,محمد أبو حامد,Mohamed Abu Hamed,محمد أبو حامد,محمد أبو حامد,Mohamed Abu Hamed,Mohamed Abu Hamed,,Mohamed Abu Hamed,,,,Mohamed Abu Hamed,,,,,Mohamed Abu Hamed,محمد ابو حامد شاهین,,,,,,,male,1973-03-14,,Mohamed,,,,,,,,,,,,محمد ابو حامد,محمد ابو حامد,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/Mohamed_Abu_Hamed.jpeg,,,,,,,,,,,,,,,,,,,,,,,,
Q6891298,,Mohamed Kamel Leilah,,Mohamed Kamel Leilah,Mohamed Kamel Leilah,Mohamed Kamel Leilah,,Mohamed Kamel Leilah,,,Mohamed Kamel Leilah,,,,,,Mohamed Kamel Leilah,,,,,,,,male,,,Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q6899234,يوسف القعيد,Yusuf al-Qaid,يوسف القعيد,يوسف القعيد,Yusuf al-Qaid,Yusuf al-Qaid,,,,,Yusuf al-Qaid,,"Куайид, Мухаммед Юсуф аль",,,,,,,,,,,"Куайид, Мухаммед Юсуф аль",male,1944,,Yusuf,,,,,,,,,17270171,,,يوسف القعيد,يوسف القعيد,,,,,,12200666c,030628954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,,
Q6943276,,Mustafa Kamel Murad,,Mustafa Kamel Murad,Mustafa Kamel Murad,Mustafa Kamel Murad,,Mustafa Kamel Murad,,,,,,,,,Mustafa Kamel Murad,,,,,,,,male,1927-11-28,,Mustafa,,Mustafa Kamel Murad,Mustafa Kamel Murad,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7293008,رانيا علواني,Rania Elwani,رانيا علواني,رانيا علواني,Rania Elwani,Rania Elwani,,Rania Elwani,,,Rania Elwani,,,رانیا علوانی,,,Rania Elwani,رانیا علوانی,,,,,,,female,1977-10-14,,Rania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swimmer,,rania-elwani
Q7297085,راوية عطية,Rawya Ateya,راوية عطية,Rawya Ateya,Rawya Ateya,Rawya Ateya,,Rawya Ateya,,,Rawya Ateya,Rawya Ateya,,,,,Rawya Ateya,,Rawya Ateya,,,,,,female,1926-04-19,,,,Rawya Ateya,Rawya Ateya,1997-05-09,,,,,,,Rawya Ateya,راوية عطية,راوية عطيه,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Rawya_Ateya.jpg,,,,,,,,,,,,,,,,ראוויה עטיה,,,,,,politician,,
