start_date,end_date,image,sort_name,district,party,mandate_start,mandate_end,email,phone,facebook,twitter,source,name,given_name,family_name,term,id
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/362.png,Basualdo Roberto Gustavo,San Juan,Alianza Compromiso Federal,2011-12-10,2017-12-09,roberto.basualdo@senado.gob.ar,"",https://www.facebook.com/rgbasualdo/,https://twitter.com/RGBasualdo,http://www.senado.gov.ar/senadores/senador/362,Roberto Gustavo Basualdo,Roberto Gustavo,Basualdo,2015,362
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/362.png,Basualdo Roberto Gustavo,San Juan,Alianza Compromiso Federal,2011-12-10,2017-12-09,roberto.basualdo@senado.gob.ar,"",https://www.facebook.com/rgbasualdo/,https://twitter.com/RGBasualdo,http://www.senado.gov.ar/senadores/senador/362,Roberto Gustavo Basualdo,Roberto Gustavo,Basualdo,2016,362
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/362.png,Basualdo Roberto Gustavo,San Juan,Alianza Compromiso Federal,2011-12-10,2017-12-09,roberto.basualdo@senado.gob.ar,"",https://www.facebook.com/rgbasualdo/,https://twitter.com/RGBasualdo,http://www.senado.gov.ar/senadores/senador/362,Roberto Gustavo Basualdo,Roberto Gustavo,Basualdo,2017,362
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/364.png,Riofrío Marina Raquel,San Juan,Alianza Frente para la Victoria,2011-12-10,2017-12-09,prensa.senadora.riofrio@senado.gob.ar; marina.riofrio@senado.gob.ar,"",https://www.facebook.com/senadora.MRIOFRIO/,https://twitter.com/MarinaRRiofrio,http://www.senado.gov.ar/senadores/senador/364,Marina Raquel Riofrío,Marina Raquel,Riofrío,2015,364
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/364.png,Riofrío Marina Raquel,San Juan,Alianza Frente para la Victoria,2011-12-10,2017-12-09,prensa.senadora.riofrio@senado.gob.ar; marina.riofrio@senado.gob.ar,"",https://www.facebook.com/senadora.MRIOFRIO/,https://twitter.com/MarinaRRiofrio,http://www.senado.gov.ar/senadores/senador/364,Marina Raquel Riofrío,Marina Raquel,Riofrío,2016,364
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/364.png,Riofrío Marina Raquel,San Juan,Alianza Frente para la Victoria,2011-12-10,2017-12-09,prensa.senadora.riofrio@senado.gob.ar; marina.riofrio@senado.gob.ar,"",https://www.facebook.com/senadora.MRIOFRIO/,https://twitter.com/MarinaRRiofrio,http://www.senado.gov.ar/senadores/senador/364,Marina Raquel Riofrío,Marina Raquel,Riofrío,2017,364
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/365.png,Rodríguez Saá Adolfo,San Luis,Alianza Compromiso Federal,2011-12-10,2017-12-09,adolfo.rodriguezsaa@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/365,Adolfo Rodríguez Saá,Adolfo,Rodríguez Saá,2015,365
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/365.png,Rodríguez Saá Adolfo,San Luis,Alianza Compromiso Federal,2011-12-10,2017-12-09,adolfo.rodriguezsaa@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/365,Adolfo Rodríguez Saá,Adolfo,Rodríguez Saá,2016,365
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/365.png,Rodríguez Saá Adolfo,San Luis,Alianza Compromiso Federal,2011-12-10,2017-12-09,adolfo.rodriguezsaa@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/365,Adolfo Rodríguez Saá,Adolfo,Rodríguez Saá,2017,365
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/367.png,Martínez Alfredo Anselmo,Santa Cruz,Unión Cívica Radical,2011-12-10,2017-12-09,alfredo.martinez@senado.gob.ar,"","",https://twitter.com/martinezsenador,http://www.senado.gov.ar/senadores/senador/367,Alfredo Anselmo Martínez,Alfredo Anselmo,Martínez,2015,367
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/367.png,Martínez Alfredo Anselmo,Santa Cruz,Unión Cívica Radical,2011-12-10,2017-12-09,alfredo.martinez@senado.gob.ar,"","",https://twitter.com/martinezsenador,http://www.senado.gov.ar/senadores/senador/367,Alfredo Anselmo Martínez,Alfredo Anselmo,Martínez,2016,367
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/367.png,Martínez Alfredo Anselmo,Santa Cruz,Unión Cívica Radical,2011-12-10,2017-12-09,alfredo.martinez@senado.gob.ar,"","",https://twitter.com/martinezsenador,http://www.senado.gov.ar/senadores/senador/367,Alfredo Anselmo Martínez,Alfredo Anselmo,Martínez,2017,367
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/370.png,Pérsico Daniel Raúl,San Luis,Alianza Frente para la Victoria,2011-12-10,2017-12-09,daniel.persico@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/370,Daniel Raúl Pérsico,Daniel Raúl,Pérsico,2015,370
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/370.png,Pérsico Daniel Raúl,San Luis,Alianza Frente para la Victoria,2011-12-10,2017-12-09,daniel.persico@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/370,Daniel Raúl Pérsico,Daniel Raúl,Pérsico,2016,370
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/370.png,Pérsico Daniel Raúl,San Luis,Alianza Frente para la Victoria,2011-12-10,2017-12-09,daniel.persico@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/370,Daniel Raúl Pérsico,Daniel Raúl,Pérsico,2017,370
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/379.png,Guastavino Pedro Guillermo Ángel,Entre Ríos,Frente para la Victoria,2013-12-10,2019-12-09,pedro.guastavino@senado.gob.ar,"",https://www.facebook.com/pemoGuastavino,https://twitter.com/pemoguastavino,http://www.senado.gov.ar/senadores/senador/379,Pedro Guillermo Ángel Guastavino,Pedro Guillermo Ángel,Guastavino,2015,379
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/379.png,Guastavino Pedro Guillermo Ángel,Entre Ríos,Frente para la Victoria,2013-12-10,2019-12-09,pedro.guastavino@senado.gob.ar,"",https://www.facebook.com/pemoGuastavino,https://twitter.com/pemoguastavino,http://www.senado.gov.ar/senadores/senador/379,Pedro Guillermo Ángel Guastavino,Pedro Guillermo Ángel,Guastavino,2016,379
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/379.png,Guastavino Pedro Guillermo Ángel,Entre Ríos,Frente para la Victoria,2013-12-10,2019-12-09,pedro.guastavino@senado.gob.ar,"",https://www.facebook.com/pemoGuastavino,https://twitter.com/pemoguastavino,http://www.senado.gov.ar/senadores/senador/379,Pedro Guillermo Ángel Guastavino,Pedro Guillermo Ángel,Guastavino,2017,379
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/382.png,Fuentes Marcelo Jorge,Neuquén,Frente para la Victoria,2013-12-10,2019-12-09,marcelo.fuentes@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/382,Marcelo Jorge Fuentes,Marcelo Jorge,Fuentes,2015,382
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/382.png,Fuentes Marcelo Jorge,Neuquén,Frente para la Victoria,2013-12-10,2019-12-09,marcelo.fuentes@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/382,Marcelo Jorge Fuentes,Marcelo Jorge,Fuentes,2016,382
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/382.png,Fuentes Marcelo Jorge,Neuquén,Frente para la Victoria,2013-12-10,2019-12-09,marcelo.fuentes@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/382,Marcelo Jorge Fuentes,Marcelo Jorge,Fuentes,2017,382
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/389.png,Itúrrez de Cappellini Ada Rosa Del Valle,Santiago del Estero,Frente Cívico por Santiago,2013-12-10,2019-12-09,ada.iturrez@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/389,Ada Rosa Del Valle Itúrrez de Cappellini,Ada Rosa Del Valle,Itúrrez de Cappellini,2015,389
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/389.png,Itúrrez de Cappellini Ada Rosa Del Valle,Santiago del Estero,Frente Cívico por Santiago,2013-12-10,2019-12-09,ada.iturrez@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/389,Ada Rosa Del Valle Itúrrez de Cappellini,Ada Rosa Del Valle,Itúrrez de Cappellini,2016,389
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/389.png,Itúrrez de Cappellini Ada Rosa Del Valle,Santiago del Estero,Frente Cívico por Santiago,2013-12-10,2019-12-09,ada.iturrez@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/389,Ada Rosa Del Valle Itúrrez de Cappellini,Ada Rosa Del Valle,Itúrrez de Cappellini,2017,389
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/415.png,Linares Jaime,Buenos Aires,Frente Amplio Progresista,2011-12-10,2017-12-09,jaime.linares@senado.gob.ar,"",https://www.facebook.com/jaime.linares.56,https://twitter.com/LinaresJaime,http://www.senado.gov.ar/senadores/senador/415,Jaime Linares,Jaime,Linares,2015,415
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/415.png,Linares Jaime,Buenos Aires,Frente Amplio Progresista,2011-12-10,2017-12-09,jaime.linares@senado.gob.ar,"",https://www.facebook.com/jaime.linares.56,https://twitter.com/LinaresJaime,http://www.senado.gov.ar/senadores/senador/415,Jaime Linares,Jaime,Linares,2016,415
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/415.png,Linares Jaime,Buenos Aires,Frente Amplio Progresista,2011-12-10,2017-12-09,jaime.linares@senado.gob.ar,"",https://www.facebook.com/jaime.linares.56,https://twitter.com/LinaresJaime,http://www.senado.gov.ar/senadores/senador/415,Jaime Linares,Jaime,Linares,2017,415
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/418.png,Barrionuevo Walter Basilio,Jujuy,Alianza Frente para la Victoria,2011-12-10,2017-12-09,walter.barrionuevo@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/418,Walter Basilio Barrionuevo,Walter Basilio,Barrionuevo,2015,418
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/418.png,Barrionuevo Walter Basilio,Jujuy,Alianza Frente para la Victoria,2011-12-10,2017-12-09,walter.barrionuevo@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/418,Walter Basilio Barrionuevo,Walter Basilio,Barrionuevo,2016,418
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/418.png,Barrionuevo Walter Basilio,Jujuy,Alianza Frente para la Victoria,2011-12-10,2017-12-09,walter.barrionuevo@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/418,Walter Basilio Barrionuevo,Walter Basilio,Barrionuevo,2017,418
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/419.png,Aguirre Hilda Clelia,La Rioja,Alianza Frente Popular Riojano,2011-12-10,2017-12-09,hilda.aguirre@senado.gob.ar,"",https://www.facebook.com/soriabeba,https://twitter.com/bebasoria,http://www.senado.gov.ar/senadores/senador/419,Hilda Clelia Aguirre,Hilda Clelia,Aguirre,2015,419
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/419.png,Aguirre Hilda Clelia,La Rioja,Alianza Frente Popular Riojano,2011-12-10,2017-12-09,hilda.aguirre@senado.gob.ar,"",https://www.facebook.com/soriabeba,https://twitter.com/bebasoria,http://www.senado.gov.ar/senadores/senador/419,Hilda Clelia Aguirre,Hilda Clelia,Aguirre,2016,419
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/419.png,Aguirre Hilda Clelia,La Rioja,Alianza Frente Popular Riojano,2011-12-10,2017-12-09,hilda.aguirre@senado.gob.ar,"",https://www.facebook.com/soriabeba,https://twitter.com/bebasoria,http://www.senado.gov.ar/senadores/senador/419,Hilda Clelia Aguirre,Hilda Clelia,Aguirre,2017,419
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/420.png,Luna Mirtha María Teresita,La Rioja,Alianza Frente para la Victoria Riojano,2011-12-10,2017-12-09,mirtha.luna@senado.gob.ar,"","",https://twitter.com/terelunalarioja,http://www.senado.gov.ar/senadores/senador/420,Mirtha María Teresita Luna,Mirtha María Teresita,Luna,2015,420
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/420.png,Luna Mirtha María Teresita,La Rioja,Alianza Frente para la Victoria Riojano,2011-12-10,2017-12-09,mirtha.luna@senado.gob.ar,"","",https://twitter.com/terelunalarioja,http://www.senado.gov.ar/senadores/senador/420,Mirtha María Teresita Luna,Mirtha María Teresita,Luna,2016,420
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/420.png,Luna Mirtha María Teresita,La Rioja,Alianza Frente para la Victoria Riojano,2011-12-10,2017-12-09,mirtha.luna@senado.gob.ar,"","",https://twitter.com/terelunalarioja,http://www.senado.gov.ar/senadores/senador/420,Mirtha María Teresita Luna,Mirtha María Teresita,Luna,2017,420
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/421.png,Giménez Sandra Daniela,Misiones,Frente Renovador de la Concordia,2011-12-10,2017-12-09,sandra.gimenez@senado.gob.ar,"","",https://twitter.com/SandraSenadora,http://www.senado.gov.ar/senadores/senador/421,Sandra Daniela Giménez,Sandra Daniela,Giménez,2015,421
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/421.png,Giménez Sandra Daniela,Misiones,Frente Renovador de la Concordia,2011-12-10,2017-12-09,sandra.gimenez@senado.gob.ar,"","",https://twitter.com/SandraSenadora,http://www.senado.gov.ar/senadores/senador/421,Sandra Daniela Giménez,Sandra Daniela,Giménez,2016,421
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/421.png,Giménez Sandra Daniela,Misiones,Frente Renovador de la Concordia,2011-12-10,2017-12-09,sandra.gimenez@senado.gob.ar,"","",https://twitter.com/SandraSenadora,http://www.senado.gov.ar/senadores/senador/421,Sandra Daniela Giménez,Sandra Daniela,Giménez,2017,421
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/422.png,Cabral Salvador,Misiones,Frente Renovador de la Concordia,2011-12-10,2017-12-09,salvador.cabral@senado.gob.ar,"","",https://twitter.com/SalvadorCabralA,http://www.senado.gov.ar/senadores/senador/422,Salvador Cabral,Salvador,Cabral,2015,422
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/422.png,Cabral Salvador,Misiones,Frente Renovador de la Concordia,2011-12-10,2017-12-09,salvador.cabral@senado.gob.ar,"","",https://twitter.com/SalvadorCabralA,http://www.senado.gov.ar/senadores/senador/422,Salvador Cabral,Salvador,Cabral,2016,422
