id,name__en,name__es,name__de,name__nb,name__da,name__nn,name__sv,name__fr,name__ru,name__gl,name__it,name__pt,name__ca,name__nl,name__hu,name,wikipedia__en,wikipedia__es,image,gender,birth_date,given_name,twitter,original_wikiname,name__zh,wikipedia__de,identifier__freebase,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__eu,name__he,name__ko,name__oc,name__yo,name__ms,name__et,name__id,name__ja,name__sh,name__ar,name__gn,name__sk,name__tr,name__ro,name__fi,name__uk,name__la,name__io,name__fa,name__mr,name__bg,name__ka,name__hr,name__lt,name__jv,name__cs,name__eo,name__qu,wikipedia__ar,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eswikinews,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__gn,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ptwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__BNE,identifier__NNDB,identifier__Munzinger,identifier__FAST,identifier__BVMC,name__mg,wikipedia__mg,name__sl,name__vi,name__be,wikipedia__be,wikipedia__sl,wikipedia__vi,name__en_ca,name__en_gb,name__br,wikipedia__br,pseudonym,name__sr_el,name__sr_ec,name__sr,name__el,wikipedia__sr,identifier__MusicBrainz,website,identifier__AlloCine,identifier__GNC,identifier__moviemeter,identifier__senate_nl,identifier__allmovie,identifier__SFDb,identifier__elonet,identifier__PORT,identifier__SCOPE,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__filmportal_de,name__de_ch,name__pt_br,identifier__discogs,family_name,wikipedia__eswikisource,occupation,facebook,death_date,wikipedia__lv,identifier__snac,name__lv,identifier__Britannica,identifier__bna,name__cy,instagram,name__lb,name__bs,name__uz,name__ta,name__af,name__is,name__sco,name__mzn,name__kk,name__an,name__pms,name__nah,name__ay,name__yue,name__hi,name__hy,name__th,name__vep,name__sgs,name__gv,name__ckb,name__ml,name__sq,name__tl,name__war,name__bn,name__co,name__ast,name__be_tarask,name__pa,name__ky,name__cbk_zam,name__xmf,name__bi,wikipedia__af,wikipedia__an,wikipedia__arwikinews,wikipedia__ast,wikipedia__ay,wikipedia__bat_smg,wikipedia__be_x_old,wikipedia__bi,wikipedia__bn,wikipedia__bs,wikipedia__cbk_zam,wikipedia__ckb,wikipedia__co,wikipedia__cswikiquote,wikipedia__cy,wikipedia__el,wikipedia__fiwikiquote,wikipedia__frwikinews,wikipedia__gv,wikipedia__hi,wikipedia__hy,wikipedia__is,wikipedia__kk,wikipedia__ky,wikipedia__lb,wikipedia__ml,wikipedia__mzn,wikipedia__nah,wikipedia__nn,wikipedia__pa,wikipedia__pms,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sq,wikipedia__srwikinews,wikipedia__ta,wikipedia__th,wikipedia__tl,wikipedia__trwikinews,wikipedia__uz,wikipedia__vep,wikipedia__war,wikipedia__xmf,wikipedia__zh_yue,identifier__CANTIC,electoral_district,identifier__NTA,identifier__NKC,identifier__nyt_topic,identifier__quora,identifier__argentine_senate,identifier__bigenc_ru,identifier__GTAA,name__bat_smg,wikipedia__ie,wikipedia__sc,name__nds,name__ty,name__sc,name__ie,wikipedia__itwikinews,identifier__flickr
Q18711889,Guillermo Juan Pereyra,Guillermo Juan Pereyra,Guillermo Juan Pereyra,,,,,Guillermo Juan Pereyra,,,,,,Guillermo Juan Pereyra,Guillermo Juan Pereyra,Guillermo Juan Pereyra,,,,male,,Guillermo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo Juan Pereyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,,,,,,,,,,,
Q18711897,Gerardo Antenor Montenegro,Gerardo Antenor Montenegro,Gerardo Antenor Montenegro,,,,,Gerardo Antenor Montenegro,,,,,,Gerardo Antenor Montenegro,Gerardo Antenor Montenegro,Gerardo Antenor Montenegro,,,,male,,Gerardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerardo Antenor Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,
Q18711904,Marta Borello,Marta Borello,Marta Borello,,,,,Marta Borello,,Marta Borello,Marta Borello,Marta Borello,Marta Borello,Marta Borello,Marta Borello,Marta Borello,,,,female,,Marta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marta Borello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borello,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711909,Silvia Beatriz Elías de Pérez,Silvia Beatriz Elías de Pérez,Silvia Beatriz Elías de Pérez,,,,,Silvia Beatriz Elías de Pérez,,,,,,Silvia Beatriz Elías de Pérez,Silvia Beatriz Elías de Pérez,Silvia Beatriz Elías de Pérez,,Silvia Beatriz Elías de Pérez,https://upload.wikimedia.org/wikipedia/commons/6/69/Silvia_Elías_de_Pérez_senadora.png,female,,Silvia,,Silvia Beatriz Elías de Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silvia Beatriz Elías de Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,,,,,,,,,,,
Q18711912,Hilda Clelia Aguirre,Hilda Clelia Aguirre ,Hilda Clelia Aguirre,,,,,Hilda Clelia Aguirre,,,,,,Hilda Clelia Aguirre,Hilda Clelia Aguirre,Hilda Clelia Aguirre ,,,,female,,Hilda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hilda Clelia Aguirre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711914,Inés Blas,Inés Blas,Inés Blas,,,,,Inés Blas,,Inés Blas,Inés Blas,Inés Blas,Inés Blas,Inés Blas,Inés Blas,Inés Blas,,,,female,,Inés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inés Blas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,,,,,,,,,,,
Q18711917,Maria Cristina del Valle Fiore Viñuales,Maria Cristina del Valle Fiore Viñuales,Maria Cristina del Valle Fiore Viñuales,,,,,Maria Cristina del Valle Fiore Viñuales,,,,,,Maria Cristina del Valle Fiore Viñuales,Maria Cristina del Valle Fiore Viñuales,Maria Cristina del Valle Fiore Viñuales,,Cristina Fiore,https://upload.wikimedia.org/wikipedia/commons/0/00/Fiore_Viñuales.png,female,1974-02-16,Maria,fiore_cristina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria Cristina del Valle Fiore Viñuales,,,,,,,,,,,,,,,,,http://www.fioresenadora.com/,,,,,,,,,,,,,,,,,,,politician,Cristina-Fiore-Viñuales-380477738689513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cristina Fiore,,,,,,,,,,Cristina Fiore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,,,,,,,,,,,
Q18711918,Sigrid Elisabeth Kunath,Sigrid Elisabeth Kunath,Sigrid Elisabeth Kunath,,,,,Sigrid Elisabeth Kunath,,,,,,Sigrid Elisabeth Kunath,Sigrid Elisabeth Kunath,Sigrid Elisabeth Kunath,,Sigrid Kunath,https://upload.wikimedia.org/wikipedia/commons/5/55/Sigrid_Kunath.jpg,female,1969-06-06,Sigrid,,Sigrid Kunath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigrid Elisabeth Kunath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,,,,,,,,,,,
Q18711924,Mirtha María Teresita Luna,Mirtha María Teresita Luna ,Mirtha María Teresita Luna,,,,,Mirtha María Teresita Luna,,,,,,Mirtha María Teresita Luna,Mirtha María Teresita Luna,Mirtha María Teresita Luna ,,,,female,,Mirtha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirtha María Teresita Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711932,Carmen Lucila Crexell,Carmen Lucila Crexell,Carmen Lucila Crexell,,,,,Carmen Lucila Crexell,,,,,,Carmen Lucila Crexell,Carmen Lucila Crexell,Carmen Lucila Crexell,,Carmen Lucila Crexell,https://upload.wikimedia.org/wikipedia/commons/b/b3/Carmen_Crexell.png,female,1972-08-10,Carmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmen Lucila Crexell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,
Q19263894,Eduardo Enrique Torres,Eduardo Enrique Torres,Eduardo Enrique Torres,,,,,Eduardo Enrique Torres,,,,,,Eduardo Enrique Torres,Eduardo Enrique Torres,Eduardo Enrique Torres,,,,male,,Eduardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Enrique Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19264150,María Ester Labado,María Ester Labado,María Ester Labado,,,,,María Ester Labado,,,,,,María Ester Labado,María Ester Labado,María Ester Labado,,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Maria_Labado.png,female,,María,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,María Ester Labado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1932735,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,Miguel Ángel Pichetto,https://upload.wikimedia.org/wikipedia/commons/d/da/M._Pichetto.jpg,male,1950-10-24,Miguel Ángel,,Miguel Ángel Pichetto,米格爾·安赫爾·皮凱托,Miguel Ángel Pichetto,/m/0f303k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Miguel Pichetto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Ángel Pichetto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Ángel Pichetto,,,,,,,,,,Miguel Ángel Pichetto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,,,,,,,,,,,
Q20015265,Gladys González,Gladys González,Gladys González,,,,,Gladys González,,,,,,Gladys González,Gladys González,Gladys González,Gladys González,Gladys González,https://upload.wikimedia.org/wikipedia/commons/d/d6/Gladys_González_senadora.png,female,1973-05-30,Gladys,,Gladys González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gladys González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,,,,,,,,,,,
Q20015616,Omar Perotti,Omar Perotti,Omar Perotti,,,,,Omar Perotti,,,,,,Omar Perotti,Omar Perotti,Omar Perotti,,Omar Perotti,https://upload.wikimedia.org/wikipedia/commons/f/fc/Omar_Perotti.jpg,male,1959-09-16,Omar,omarperotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Omar Perotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omar Perotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,,,,,,,,,,,
Q2130489,Ramón Javier Mestre,Ramón Javier Mestre,Ramón Javier Mestre,Ramón Javier Mestre,Ramón Javier Mestre,Ramón Javier Mestre,Ramón Javier Mestre,Ramón Javier Mestre,,,,Ramón Javier Mestre,,Ramón Javier Mestre,Ramón Javier Mestre,Ramón Javier Mestre,Ramón Javier Mestre,Ramón Javier Mestre,https://upload.wikimedia.org/wikipedia/commons/0/05/Ramón_Javier_Mestre.jpg,male,1972-07-02,Ramón,,,,Ramón Javier Mestre,/m/0k2cprg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramón Javier Mestre,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramón Javier Mestre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21591711,Julio Martínez,Julio Martínez,,,,,,,,,,,,Julio Martínez,,Julio Martínez,,Julio Martínez (político argentino),https://upload.wikimedia.org/wikipedia/commons/3/3f/Julio_Martinez_diputados.jpg,male,1962-03-23,Julio,,Julio Martínez (político argentino),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Julio Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julio Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,000040843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21856278,Guillermo Snopek,Guillermo Snopek,Guillermo Snopek,,,,,Guillermo Snopek,,,,,,,Guillermo Snopek,Guillermo Snopek,,Guillermo Snopek,https://upload.wikimedia.org/wikipedia/commons/7/77/Guillermo_Snopek.jpg,male,"",Guillermo,guillermosnopek,Guillermo Snopek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Guillermo Snopek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo Snopek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,snopekguillermo,,,,,,,,guillermosnopek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,,,,,,,,,,,
Q23304232,Juan Manuel Irrazábal,Juan Manuel Irrazábal,,,,,,,,,,,,Juan Manuel Irrazábal,,Juan Manuel Irrazábal,,Juan Manuel Irrazábal (senador),,male,1960,Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Manuel Irrazábal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23807442,Laura Rodríguez Machado,Laura Rodríguez Machado,,,,,,,,,,,,Laura Rodríguez Machado,,Laura Rodríguez Machado,,Laura Rodríguez Machado,https://upload.wikimedia.org/wikipedia/commons/e/ea/Laura_Rodriguez_Machado.JPG,female,1965-04-09,Laura,,Laura Elena Rodríguez Machado,,,,,,,,,,,,,,,,,,,,,لورا رودريغيز,,,,,,,,,,,,,,,,,,,,,,Category:Laura Rodríguez Machado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laura Rodríguez Machado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodríguez,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,,,,,,,,,,,
Q27308136,Marta Varela,Marta Varela,,,,,,,,,,,,Marta Varela,,Marta Varela,,,,female,1950-09-25,Marta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marta Varela,,,,,,,,,,,,,,,,,http://www.martavarela.com.ar/,,,,,,,,,,,,,,,,,Varela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,,,,,,,,,,,
Q27309047,María de los Ángeles Sacnún,María de los Ángeles Sacnún,María de los Ángeles Sacnún,María de los Ángeles Sacnún,María de los Ángeles Sacnún,María de los Ángeles Sacnún,María de los Ángeles Sacnún,María de los Ángeles Sacnún,,María de los Ángeles Sacnún,María de los Ángeles Sacnún,María de los Ángeles Sacnún,María de los Ángeles Sacnún,María de los Ángeles Sacnún,,María de los Ángeles Sacnún,,,,female,1970-08-17,María de los Ángeles,,,,,,,,,,,,,María de los Ángeles Sacnún,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,María de los Ángeles Sacnún,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sacnun,,lawyer,,,,,,,,,,,,,,,,,,,María de los Ángeles Sacnún,,,,,,,,,,,,,,,,,,María de los Ángeles Sacnún,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,,,,,,
Q27640049,Ernesto Félix Martínez,Ernesto Félix Martínez,,,,,,,,,,,,Ernesto Félix Martínez,,Ernesto Félix Martínez,,Ernesto Félix Martínez,https://upload.wikimedia.org/wikipedia/commons/b/b0/Ernesto_Martínez_senador.png,male,1956-06-21,Ernesto,,Ernesto Félix Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ernesto Félix Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,,,,,,,,,,,
Q3072494,Juan Manuel Abal Medina,Juan Manuel Abal Medina,"Juan Manuel Abal Medina, Jr.",Juan Manuel Abal Medina,Juan Manuel Abal Medina,Juan Manuel Abal Medina,Juan Manuel Abal Medina,Juan Manuel Abal Medina,"Медина, Хуан Мануэль Абаль",,,,,Juan Manuel Abal Medina,Juan Manuel Abal Medina,Juan Manuel Abal Medina,Juan Manuel Abal Medina Jr.,Juan Manuel Abal Medina (hijo),https://upload.wikimedia.org/wikipedia/commons/d/d8/JuanManuelAbalMedina.jpg,male,1968-05-05,Juan Manuel,,,,,/m/0gy1vrw,,,,,,,,,,,,,,,,,,,,,,,,Хуан Мануель Абаль Медіна,,,,,,,,,,,,,,,,"Category:Juan Manuel Abal Medina, Jr.",,,,,,,,,,,Juan Manuel Abal Medina,,,,,,,,,,,,,,,,,,,,,,,,,,"Абаль Медина, Хуан Мануэль",,,,,,Хуан Мануель Абаль Медіна,,,,,,,,,,,,,,,,,Juan Manuel Abal Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,000024920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q312358,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,"Родригес Саа, Адольфо",Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,https://upload.wikimedia.org/wikipedia/commons/0/0e/Arodriguezsaa.jpg,male,1947-07-25,Adolfo,,Adolfo Rodríguez Saá,罗德里格斯·萨阿,Adolfo Rodríguez Saá,/m/01xxcs,罗德里格斯·萨阿,羅德里格斯·薩阿,羅德里格斯·薩阿,罗德里格斯·萨阿,罗德里格斯·萨阿,羅德里格斯·薩阿,Adolfo Rodríguez Saá,,אדולפו רודריגס סאה,아돌포 로드리게스 사아,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,,Adolfo Rodríguez Saá,Adolfo Rodriguez Saa,,,أدولفو رودريغيز سا,,Adolfo Rodríguez Saá,,,Adolfo Rodríguez Saá,Адольфо Родрігес Саа,,Adolfo Rodríguez Saá,آدولفو رودریگز ساآ,,,ადოლფო როდრიგეს საა,,Adolfo Rodríguez Saá,,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,,أدولفو رودريغيز سا,,Adolfo Rodríguez Saá,Category:Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,,,Adolfo Rodríguez Saá,,,Adolfo Rodríguez Saá,,آدولفو رودریگز ساآ,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,,אדולפו רודריגס סאה,,,Adolfo Rodriguez Saa,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,,,ადოლფო როდრიგეს საა,아돌포 로드리게스 사아,,Adolfo Rodríguez Saá,,,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,,Adolfo Rodríguez Saá,,,,"Родригес Саа, Адольфо",,,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,,Адольфо Родрігес Саа,Adolfo Rodríguez Saá,罗德里格斯·萨阿,0000 0000 7904 6167,41002849,,n90672924,,,,,,,272756,,,,Adolfo Rodríguez Saá,Rodríguez Saá,Адольфа Радрыгес Саа,Адольфа Радрыгес Саа,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodríguez Saá,Autor:Adolfo Rodríguez Saá,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adolfo Rodríguez Saá,,,,,,,,,,Adolfo Rodríguez Saá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,149234,,,,,,,,,
