start_date,end_date,name,sort_name,given_name,family_name,area,party,source,identifier__aph,email,website,facebook,twitter,term,id,wikipedia,wikipedia_name,identifier__openaustralia,party_id
2007-11-24,2010-08-21,Judith Adams,"Adams, Judith",Judith,Adams,WA,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,42,,,,10005,liberal_party
2010-08-21,2012-03-31,Judith Adams,"Adams, Judith",Judith,Adams,WA,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,43,,,,10005,liberal_party
1996-07-01,1998-10-03,Lyn Allison,"Allison, Lyn",Lyn,Allison,Victoria,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,38,,,,10009,australian_democrats
1998-10-03,2001-11-10,Lyn Allison,"Allison, Lyn",Lyn,Allison,Victoria,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,39,,,,10009,australian_democrats
2001-11-10,2004-10-09,Lyn Allison,"Allison, Lyn",Lyn,Allison,Victoria,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,40,,,,10009,australian_democrats
2004-10-09,2007-11-24,Lyn Allison,"Allison, Lyn",Lyn,Allison,Victoria,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,41,,,,10009,australian_democrats
2007-11-24,2008-06-30,Lyn Allison,"Allison, Lyn",Lyn,Allison,Victoria,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,42,,,,10009,australian_democrats
1987-07-11,1990-03-24,Richard Alston,"Alston, Richard",Richard,Alston,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10010,liberal_party
1990-03-24,1993-03-13,Richard Alston,"Alston, Richard",Richard,Alston,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10010,liberal_party
1993-03-13,1996-03-02,Richard Alston,"Alston, Richard",Richard,Alston,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10010,liberal_party
1996-03-02,1998-10-03,Richard Alston,"Alston, Richard",Richard,Alston,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,38,,,,10010,liberal_party
1998-10-03,2001-11-10,Richard Alston,"Alston, Richard",Richard,Alston,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,39,,,,10010,liberal_party
2001-11-10,2004-02-10,Richard Alston,"Alston, Richard",Richard,Alston,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,40,,,,10010,liberal_party
1987-07-11,1990-03-24,Brian Archer,"Archer, Brian",Brian,Archer,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10017,liberal_party
1990-03-24,1993-03-13,Brian Archer,"Archer, Brian",Brian,Archer,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10017,liberal_party
1993-03-13,1994-01-31,Brian Archer,"Archer, Brian",Brian,Archer,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10017,liberal_party
1987-07-11,1990-03-24,Terrence Aulich,"Aulich, Terrence",Terrence,Aulich,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10020,australian_labor_party
1990-03-24,1993-03-13,Terrence Aulich,"Aulich, Terrence",Terrence,Aulich,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10020,australian_labor_party
1993-03-13,1993-06-30,Terrence Aulich,"Aulich, Terrence",Terrence,Aulich,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10020,australian_labor_party
2002-02-26,2004-10-09,Guy Barnett,"Barnett, Guy",Guy,Barnett,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,40,,,,10027,liberal_party
2004-10-09,2007-11-24,Guy Barnett,"Barnett, Guy",Guy,Barnett,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,41,,,,10027,liberal_party
2007-11-24,2010-08-21,Guy Barnett,"Barnett, Guy",Guy,Barnett,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,42,,,,10027,liberal_party
2010-08-21,2011-06-30,Guy Barnett,"Barnett, Guy",Guy,Barnett,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,43,,,,10027,liberal_party
1997-10-30,1998-10-03,Andrew Bartlett,"Bartlett, Andrew",Andrew,Bartlett,Queensland,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,38,,,,10029,australian_democrats
1998-10-03,2001-11-10,Andrew Bartlett,"Bartlett, Andrew",Andrew,Bartlett,Queensland,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,39,,,,10029,australian_democrats
2001-11-10,2004-10-09,Andrew Bartlett,"Bartlett, Andrew",Andrew,Bartlett,Queensland,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,40,,,,10029,australian_democrats
2004-10-09,2007-11-24,Andrew Bartlett,"Bartlett, Andrew",Andrew,Bartlett,Queensland,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,41,,,,10029,australian_democrats
2007-11-24,2008-06-30,Andrew Bartlett,"Bartlett, Andrew",Andrew,Bartlett,Queensland,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,42,,,,10029,australian_democrats
1987-07-11,1990-03-24,Michael Baume,"Baume, Michael",Michael,Baume,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10031,liberal_party
1990-03-24,1993-03-13,Michael Baume,"Baume, Michael",Michael,Baume,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10031,liberal_party
1993-03-13,1996-03-02,Michael Baume,"Baume, Michael",Michael,Baume,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10031,liberal_party
1996-03-02,1996-09-09,Michael Baume,"Baume, Michael",Michael,Baume,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,38,,,,10031,liberal_party
1987-07-11,1990-03-24,Peter Baume,"Baume, Peter",Peter,Baume,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10032,liberal_party
1990-03-24,1991-01-28,Peter Baume,"Baume, Peter",Peter,Baume,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10032,liberal_party
1987-07-11,1990-03-24,Michael Beahan,"Beahan, Michael",Michael,Beahan,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10033,australian_labor_party
1990-03-24,1993-03-13,Michael Beahan,"Beahan, Michael",Michael,Beahan,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10033,australian_labor_party
1993-03-13,1994-02-01,Michael Beahan,"Beahan, Michael",Michael,Beahan,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10033,australian_labor_party
1994-02-01,1996-03-02,Michael Beahan,"Beahan, Michael",Michael,Beahan,WA,PRES,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10033,pres
1996-03-02,1996-06-30,Michael Beahan,"Beahan, Michael",Michael,Beahan,WA,PRES,http://data.openaustralia.org/members/senators.xml,,,,,,38,,,,10033,pres
1990-03-07,1990-03-24,Robert Bell,"Bell, Robert",Robert,Bell,Tasmania,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10037,australian_democrats
1990-03-24,1993-03-13,Robert Bell,"Bell, Robert",Robert,Bell,Tasmania,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10037,australian_democrats
1993-03-13,1996-03-02,Robert Bell,"Bell, Robert",Robert,Bell,Tasmania,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10037,australian_democrats
1996-03-02,1996-06-30,Robert Bell,"Bell, Robert",Robert,Bell,Tasmania,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,38,,,,10037,australian_democrats
2006-05-04,2007-11-24,Cory Bernardi,"Bernardi, Cory",Cory,Bernardi,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,G0D,"",http://www.senatorbernardi.com/,"","",41,G0D,,,10038,liberal_party
2007-11-24,2010-08-21,Cory Bernardi,"Bernardi, Cory",Cory,Bernardi,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,G0D,"",http://www.senatorbernardi.com/,"","",42,G0D,,,10038,liberal_party
2010-08-21,2013-09-07,Cory Bernardi,"Bernardi, Cory",Cory,Bernardi,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,G0D,"",http://www.senatorbernardi.com/,"","",43,G0D,,,10038,liberal_party
2013-09-07,2016-05-09,Cory Bernardi,"Bernardi, Cory",Cory,Bernardi,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,G0D,"",http://www.senatorbernardi.com/,"","",44,G0D,,,10038,liberal_party
2016-07-02,2017-02-07,Cory Bernardi,"Bernardi, Cory",Cory,Bernardi,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,G0D,"",http://www.senatorbernardi.com/,"","",45,G0D,,,10038,liberal_party
2017-02-07,,Cory Bernardi,"Bernardi, Cory",Cory,Bernardi,SA,Australian Conservatives,http://data.openaustralia.org/members/senators.xml,G0D,"",http://www.senatorbernardi.com/,"","",45,G0D,,,10038,australian_conservatives
2007-05-03,2007-11-24,Simon Birmingham,"Birmingham, Simon",Simon,Birmingham,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6X,"",http://www.senatorbirmingham.com.au/,https://facebook.com/simonbirmingham,https://twitter.com/Birmo,41,H6X,,,10044,liberal_party
2007-11-24,2010-08-21,Simon Birmingham,"Birmingham, Simon",Simon,Birmingham,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6X,"",http://www.senatorbirmingham.com.au/,https://facebook.com/simonbirmingham,https://twitter.com/Birmo,42,H6X,,,10044,liberal_party
2010-08-21,2013-09-07,Simon Birmingham,"Birmingham, Simon",Simon,Birmingham,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6X,"",http://www.senatorbirmingham.com.au/,https://facebook.com/simonbirmingham,https://twitter.com/Birmo,43,H6X,,,10044,liberal_party
2013-09-07,2016-05-09,Simon Birmingham,"Birmingham, Simon",Simon,Birmingham,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6X,"",http://www.senatorbirmingham.com.au/,https://facebook.com/simonbirmingham,https://twitter.com/Birmo,44,H6X,,,10044,liberal_party
2016-07-02,,Simon Birmingham,"Birmingham, Simon",Simon,Birmingham,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6X,"",http://www.senatorbirmingham.com.au/,https://facebook.com/simonbirmingham,https://twitter.com/Birmo,45,H6X,,,10044,liberal_party
1987-07-11,1990-03-24,Bronwyn Bishop,"Bishop, Bronwyn",Bronwyn,Bishop,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,SE4,Bronwyn.Bishop.MP@aph.gov.au,"","","",35,SE4,http://en.wikipedia.org/wiki/Bronwyn_Bishop,Bronwyn Bishop,10046,liberal_party
1990-03-24,1993-03-13,Bronwyn Bishop,"Bishop, Bronwyn",Bronwyn,Bishop,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,SE4,Bronwyn.Bishop.MP@aph.gov.au,"","","",36,SE4,http://en.wikipedia.org/wiki/Bronwyn_Bishop,Bronwyn Bishop,10046,liberal_party
1993-03-13,1994-02-24,Bronwyn Bishop,"Bishop, Bronwyn",Bronwyn,Bishop,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,SE4,Bronwyn.Bishop.MP@aph.gov.au,"","","",37,SE4,http://en.wikipedia.org/wiki/Bronwyn_Bishop,Bronwyn Bishop,10046,liberal_party
1996-07-01,1998-10-03,Mark Bishop,"Bishop, Mark",Mark,Bishop,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,2L6,senator.bishop@aph.gov.au,http://www.senatormarkbishop.com.au,"","",38,2L6,,,10048,australian_labor_party
1998-10-03,2001-11-10,Mark Bishop,"Bishop, Mark",Mark,Bishop,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,2L6,senator.bishop@aph.gov.au,http://www.senatormarkbishop.com.au,"","",39,2L6,,,10048,australian_labor_party
2001-11-10,2004-10-09,Mark Bishop,"Bishop, Mark",Mark,Bishop,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,2L6,senator.bishop@aph.gov.au,http://www.senatormarkbishop.com.au,"","",40,2L6,,,10048,australian_labor_party
2004-10-09,2007-11-24,Mark Bishop,"Bishop, Mark",Mark,Bishop,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,2L6,senator.bishop@aph.gov.au,http://www.senatormarkbishop.com.au,"","",41,2L6,,,10048,australian_labor_party
2007-11-24,2010-08-21,Mark Bishop,"Bishop, Mark",Mark,Bishop,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,2L6,senator.bishop@aph.gov.au,http://www.senatormarkbishop.com.au,"","",42,2L6,,,10048,australian_labor_party
2010-08-21,2013-09-07,Mark Bishop,"Bishop, Mark",Mark,Bishop,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,2L6,senator.bishop@aph.gov.au,http://www.senatormarkbishop.com.au,"","",43,2L6,,,10048,australian_labor_party
2013-09-07,2014-06-30,Mark Bishop,"Bishop, Mark",Mark,Bishop,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,2L6,senator.bishop@aph.gov.au,http://www.senatormarkbishop.com.au,"","",44,2L6,,,10048,australian_labor_party
1987-07-11,1990-03-24,Florence Bjelke-Petersen,"Bjelke-Petersen, Florence",Florence,Bjelke-Petersen,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10050,national_party
1990-03-24,1993-03-13,Florence Bjelke-Petersen,"Bjelke-Petersen, Florence",Florence,Bjelke-Petersen,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10050,national_party
1993-03-13,1993-06-30,Florence Bjelke-Petersen,"Bjelke-Petersen, Florence",Florence,Bjelke-Petersen,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10050,national_party
1987-07-11,1990-03-24,John Black,"Black, John",John,Black,Queensland,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10051,australian_labor_party
1990-03-24,1990-06-30,John Black,"Black, John",John,Black,Queensland,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10051,australian_labor_party
1987-07-11,1990-03-24,Nick Bolkus,"Bolkus, Nick",Nick,Bolkus,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10055,australian_labor_party
1990-03-24,1993-03-13,Nick Bolkus,"Bolkus, Nick",Nick,Bolkus,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10055,australian_labor_party
1993-03-13,1996-03-02,Nick Bolkus,"Bolkus, Nick",Nick,Bolkus,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10055,australian_labor_party
1996-03-02,1998-10-03,Nick Bolkus,"Bolkus, Nick",Nick,Bolkus,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,38,,,,10055,australian_labor_party
1998-10-03,2001-11-10,Nick Bolkus,"Bolkus, Nick",Nick,Bolkus,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,39,,,,10055,australian_labor_party
2001-11-10,2004-10-09,Nick Bolkus,"Bolkus, Nick",Nick,Bolkus,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,40,,,,10055,australian_labor_party
2004-10-09,2005-06-30,Nick Bolkus,"Bolkus, Nick",Nick,Bolkus,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,41,,,,10055,australian_labor_party
1987-07-11,1990-03-24,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",35,YE4,,,10057,national_party
1990-03-24,1993-03-13,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",36,YE4,,,10057,national_party
1993-03-13,1996-03-02,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",37,YE4,,,10057,national_party
1996-03-02,1998-10-03,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",38,YE4,,,10057,national_party
1998-10-03,2001-11-10,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",39,YE4,,,10057,national_party
2001-11-10,2004-10-09,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",40,YE4,,,10057,national_party
2004-10-09,2007-11-24,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",41,YE4,,,10057,national_party
2007-11-24,2010-08-21,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",42,YE4,,,10057,national_party
2010-08-21,2013-09-07,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",43,YE4,,,10057,national_party
2013-09-07,2014-06-30,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",44,YE4,,,10057,national_party
1990-07-01,1993-03-13,Vicki Bourne,"Bourne, Vicki",Vicki,Bourne,NSW,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10059,australian_democrats
1993-03-13,1996-03-02,Vicki Bourne,"Bourne, Vicki",Vicki,Bourne,NSW,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10059,australian_democrats
1996-03-02,1998-10-03,Vicki Bourne,"Bourne, Vicki",Vicki,Bourne,NSW,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,38,,,,10059,australian_democrats
1998-10-03,2001-11-10,Vicki Bourne,"Bourne, Vicki",Vicki,Bourne,NSW,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,39,,,,10059,australian_democrats
2001-11-10,2002-06-30,Vicki Bourne,"Bourne, Vicki",Vicki,Bourne,NSW,Australian Democrats,http://data.openaustralia.org/members/senators.xml,,,,,,40,,,,10059,australian_democrats
2007-04-19,2007-11-24,Sue Boyce,"Boyce, Sue",Sue,Boyce,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6V,"",http://www.sueboyce.com.au/,"","",41,H6V,,,10062,liberal_party
2007-11-24,2010-08-21,Sue Boyce,"Boyce, Sue",Sue,Boyce,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6V,"",http://www.sueboyce.com.au/,"","",42,H6V,,,10062,liberal_party
2010-08-21,2013-09-07,Sue Boyce,"Boyce, Sue",Sue,Boyce,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6V,"",http://www.sueboyce.com.au/,"","",43,H6V,,,10062,liberal_party
2013-09-07,2014-06-30,Sue Boyce,"Boyce, Sue",Sue,Boyce,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6V,"",http://www.sueboyce.com.au/,"","",44,H6V,,,10062,liberal_party
2000-05-16,2001-11-10,George Brandis,"Brandis, George",George,Brandis,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,008W7,senator.brandis@aph.gov.au,"","","",39,008W7,,,10067,liberal_party
2001-11-10,2004-10-09,George Brandis,"Brandis, George",George,Brandis,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,008W7,senator.brandis@aph.gov.au,"","","",40,008W7,,,10067,liberal_party
2004-10-09,2007-11-24,George Brandis,"Brandis, George",George,Brandis,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,008W7,senator.brandis@aph.gov.au,"","","",41,008W7,,,10067,liberal_party
2007-11-24,2010-08-21,George Brandis,"Brandis, George",George,Brandis,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,008W7,senator.brandis@aph.gov.au,"","","",42,008W7,,,10067,liberal_party
2010-08-21,2013-09-07,George Brandis,"Brandis, George",George,Brandis,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,008W7,senator.brandis@aph.gov.au,"","","",43,008W7,,,10067,liberal_party
2013-09-07,2016-05-09,George Brandis,"Brandis, George",George,Brandis,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,008W7,senator.brandis@aph.gov.au,"","","",44,008W7,,,10067,liberal_party
2016-07-02,,George Brandis,"Brandis, George",George,Brandis,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,008W7,senator.brandis@aph.gov.au,"","","",45,008W7,,,10067,liberal_party
2005-08-25,2007-11-24,Carol Brown,"Brown, Carol",Carol,Brown,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,F49,senator.carol.brown@aph.gov.au,http://www.alp.org.au/carol_brown,"","",41,F49,,,10071,australian_labor_party
2007-11-24,2010-08-21,Carol Brown,"Brown, Carol",Carol,Brown,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,F49,senator.carol.brown@aph.gov.au,http://www.alp.org.au/carol_brown,"","",42,F49,,,10071,australian_labor_party
2010-08-21,2013-09-07,Carol Brown,"Brown, Carol",Carol,Brown,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,F49,senator.carol.brown@aph.gov.au,http://www.alp.org.au/carol_brown,"","",43,F49,,,10071,australian_labor_party
2013-09-07,2016-05-09,Carol Brown,"Brown, Carol",Carol,Brown,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,F49,senator.carol.brown@aph.gov.au,http://www.alp.org.au/carol_brown,"","",44,F49,,,10071,australian_labor_party
2016-07-02,,Carol Brown,"Brown, Carol",Carol,Brown,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,F49,senator.carol.brown@aph.gov.au,http://www.alp.org.au/carol_brown,"","",45,F49,,,10071,australian_labor_party
1987-07-11,1990-03-24,David Brownhill,"Brownhill, David",David,Brownhill,NSW,National Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10075,national_party
1990-03-24,1993-03-13,David Brownhill,"Brownhill, David",David,Brownhill,NSW,National Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10075,national_party
1993-03-13,1996-03-02,David Brownhill,"Brownhill, David",David,Brownhill,NSW,National Party,http://data.openaustralia.org/members/senators.xml,,,,,,37,,,,10075,national_party
1996-03-02,1998-10-03,David Brownhill,"Brownhill, David",David,Brownhill,NSW,National Party,http://data.openaustralia.org/members/senators.xml,,,,,,38,,,,10075,national_party
1998-10-03,2000-04-14,David Brownhill,"Brownhill, David",David,Brownhill,NSW,National Party,http://data.openaustralia.org/members/senators.xml,,,,,,39,,,,10075,national_party
2000-09-14,2001-11-10,Geoffrey Buckland,"Buckland, Geoffrey",Geoffrey,Buckland,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,39,,,,10078,australian_labor_party
2001-11-10,2004-10-09,Geoffrey Buckland,"Buckland, Geoffrey",Geoffrey,Buckland,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,40,,,,10078,australian_labor_party
2004-10-09,2005-06-30,Geoffrey Buckland,"Buckland, Geoffrey",Geoffrey,Buckland,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,41,,,,10078,australian_labor_party
1987-07-11,1990-03-24,Bryant Burns,"Burns, Bryant",Bryant,Burns,Queensland,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,35,,,,10082,australian_labor_party
1990-03-24,1993-03-13,Bryant Burns,"Burns, Bryant",Bryant,Burns,Queensland,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,36,,,,10082,australian_labor_party
