id,name__en,name__zh,name__ms,name__es,name__id,name__de,name__nb,name__da,name__nn,name__sv,name__nl,name__hu,name,wikipedia__en,wikipedia__id,wikipedia__ms,wikipedia__zh,gender,birth_date,identifier__freebase,original_wikiname,name__fr,image,given_name,name__cy,wikipedia__de,identifier__VIAF,identifier__GND,identifier__LCAuth,death_date,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__jv,name__pl,name__eu,name__qu,name__ta,name__et,name__my,name__pt,name__eo,name__is,name__ru,name__tr,name__hak,name__mk,name__fi,name__uk,name__be_tarask,name__ne,name__az,name__tl,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__nan,name__be,name__ko,name__he,name__lv,name__it,name__li,name__ja,name__vi,name__yue,name__sh,name__sa,name__hi,name__ro,name__th,name__ca,name__war,name__cs,name__bg,name__fa,name__mr,name__km,name__kk,name__sr,name__ar,name__ky,name__new,name__sco,name__si,name__la,name__mg,name__bcl,name__lzh,name__pnb,name__wuu,name__yi,name__ur,name__ba,name__ka,name__ml,name__sd,name__tt,name__vo,name__hy,name__io,name__lb,name__lo,name__mn,name__te,name__gu,name__bn,name__gl,name__ast,name__el,wikipedia__ar,wikipedia__arwikiquote,wikipedia__ast,wikipedia__az,wikipedia__ba,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gu,wikipedia__hak,wikipedia__he,wikipedia__hi,wikipedia__hu,wikipedia__hy,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__kk,wikipedia__km,wikipedia__ko,wikipedia__ky,wikipedia__la,wikipedia__lb,wikipedia__li,wikipedia__lo,wikipedia__lv,wikipedia__mg,wikipedia__mk,wikipedia__ml,wikipedia__mn,wikipedia__mr,wikipedia__my,wikipedia__ne,wikipedia__new,wikipedia__nl,wikipedia__nn,wikipedia__nnwikiquote,wikipedia__no,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sa,wikipedia__sco,wikipedia__sd,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__th,wikipedia__thwikiquote,wikipedia__tl,wikipedia__tr,wikipedia__tt,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__vi,wikipedia__vo,wikipedia__war,wikipedia__wuu,wikipedia__yi,wikipedia__zh_classical,wikipedia__zh_min_nan,wikipedia__zh_yue,wikipedia__zhwikiquote,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NDL,family_name,identifier__NNDB,identifier__CANTIC,identifier__Munzinger,identifier__FAST,identifier__CSPAN,identifier__wikitree,identifier__NLA,identifier__NTA,identifier__NLAtrove,name__nds,name__vmf,name__en_ca,name__en_gb,twitter,facebook,name__min,wikipedia__min,website,name__so,name__ckb,name__bs,name__ace,wikipedia__ace,wikipedia__bswikiquote,wikipedia__ckb,wikipedia__itwikiquote,wikipedia__so,wikipedia__trwikiquote,identifier__MusicBrainz,identifier__GTAA,name__yo,name__lt,name__oc,wikipedia__eowikinews,wikipedia__lt,wikipedia__yo,name__de_ch,name__pt_br,wikipedia__oc,identifier__Oxforddnb,identifier__bigenc_ru,name__br,name__co,name__ty,identifier__OLID,wikipedia__gl,name__zh_mo,name__lmo,name__pa,wikipedia__pa,name__sk,name__zh_my,identifier__NLI,identifier__britishmuseum,identifier__NPG,occupation,identifier__google_knowledge,identifier__nyt_topic,wikipedia__kn,name__kn,identifier__snac,identifier__Britannica,identifier__quora,wikipedia__si,name__fo,name__kl,wikipedia__uz,identifier__ioc_athlete,name__uz,instagram
Q17708813,Johari Abdul Ghani,,Johari Abdul Ghani,,Johari Abdul Ghani,Johari Abdul Ghani,,,,Johari Abdul Ghani,,,Johari Abdul Ghani,Johari Abdul Ghani,Johari Abdul Ghani,Johari Abdul Ghani,,male,1964-03-06,,Johari Abdul Ghani,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Johari_Ghani.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q181383,Mahathir Mohamad,马哈迪·莫哈末,Mahathir bin Mohamad,Mahathir bin Mohamad,Mahathir Mohamad,Mahathir bin Mohamad,Mahathir bin Mohamad,Mahathir bin Mohamad,,Mahathir bin Mohamad,Mahathir Mohammed,Mahathir bin Mohamad,Mahathir Mohamad,Mahathir Mohamad,Mahathir Mohamad,Mahathir bin Mohamad,马哈迪·莫哈末,male,1925-07-10,/m/01lydh,Mahathir Mohamad,Mahathir ibn Mohamad,https://upload.wikimedia.org/wikipedia/commons/c/c0/Mahathir_Mohamad_addressing_the_United_Nations_General_Assembly_(September_25_2003).jpg,,,Mahathir bin Mohamad,98026483,118930060,n81054017,,马哈迪·莫哈末,馬哈迪·莫哈末,馬哈蒂爾·穆罕默德,马哈蒂尔·穆罕默德,马哈迪·莫哈末,馬哈地·穆罕默德,Mahathir Mohammad,Mahathir bin Mohamad,Mahathir bin Mohamad,Mahathir bin Mohamad,மஹாதிர் பின் முகமது,,မဟာသီယာ မိုဟာမက်ဒ်,Mahathir bin Mohamad,Mahathir bin Mohamad,Mahathir bin Mohamad,Махатхир Мохамад,Mahathir bin Mohamad,,Махатир Мохамад,Mahathir Mohamad,Мохамад Махатхір,,महाथीर मोहम्मद,,Mahathir bin Mohamad,ماحاتحىير بىين موحاماد,ماحاتحىير بىين موحاماد,Maxatxïr bïn Moxamad,Махатхир бин Мохамад,Махатхир бин Мохамад,Maxatxïr bïn Moxamad,Mahathir bin Mohamad,,마하티르 빈 모하마드,,,Mahathir Mohamad,,マハティール・ビン・モハマド,Mahathir bin Mohamad,馬哈蒂爾,Mahatir Mohammad,महाथिर मोहमद,महाथिर मोहमद,,มหาเธร์ โมฮัมหมัด,Mahathir bin Mohamad,Mahathir bin Mohamad,Mahathir Mohamad,Махатхир Мохамад,مهاتیر محمد,महातिर मोहम्मद,,Махатхир бин Мохамад,Махатир Мохамад,مهاتير محمد,,महाथिर मोहमद,Mahathir Mohamad,,Mahathir Mohamad,Mahathir Mohamad,,,مہا تیر محمد,,,مہاتیر محمد,Мәхәтхир Мөхәмәт,,മഹാതീർ മുഹമ്മദ്,,,,,,,,,,,মাহাথির বিন মোহাম্মদ,,,,مهاتير محمد,مهاتير محمد,,,Мәхәтхир Мөхәмәт,,,,,মাহাথির বিন মোহাম্মদ,Mahathir bin Mohamad,,Mahathir Mohamad,,Mahathir bin Mohamad,Mahathir bin Mohamad,,,Mahathir bin Mohamad,Mahathir bin Mohamad,Mahathir bin Mohamad,,Mahathir bin Mohamad,ماهاتیر محمد,Mahathir Mohamad,Mahathir ibn Mohamad,,,,महाथिर मोहमद,,,,Mahathir bin Mohamad,Mahathir Mohamad,マハティール・ビン・モハマド,Mahathir Mohammad,,Махатхир бин Мохамад,,마하티르 빈 모하맛,,Mahathir Mohamad,,,,,Mahathir Mohamad,Махатир Мохамад,മഹാതീർ മുഹമ്മദ്,,महातिर मोहम्मद,မဟာသီယာ မိုဟာမက်,महाथीर मोहम्मद,महाथिर मोहमद,Mahathir Mohammed,,,Mahathir bin Mohamad,Mahathir bin Mohamad,Mahathir bin Mohamad,مہا تیر محمد,Mahathir bin Mohamad,Mahathir bin Mohamad,,Махатхир Мохамад,,,महाथिर मोहमद,Mahathir Mohamad,,Mahatir Mohammad,Mahathir Mohamad,Махатир Мухамед,Mahathir bin Mohamad,மகாதீர் பின் முகமது,,มหาเธร์ โมฮัมหมัด,,Mahathir bin Mohamad,Mahathir bin Mohamad,,Мохамад Махатхір,,مہاتیر محمد,Mahathir bin Mohamad,,Mahathir bin Mohamad,,,,Mahathir bin Mohamad,馬哈蒂爾,,,145788396,092036813,,,,,,,72697,,,,,,,,,,,,,,,Mahathir Bin Maxamed,مه‌هاتهیر محه‌مه‌د,Mahathir bin Mohamad,Mahathir Muhammad,Mahathir Muhammad,Mahathir bin Mohamad,ماھاتیر محەممەد,Mahathir Mohamad,Mahathir Bin Maxamed,Mahathir bin Mohamad,5ef869f6-d103-4aa0-a0f6-575017e10696,128939,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,person/mahathir-mohamad,ಮೊಹಾತೀರ್ ಮೊಹಮದ್,ಮೊಹಾತೀರ್ ಮೊಹಮದ್,,,,,,,,,,
Q1854882,Omar Yoke Lin Ong,翁毓麟,Omar Ong Yoke Lin,Omar Yoke Lin Ong,,Omar Yoke Lin Ong,Omar Ong Yoke Lin,Omar Ong Yoke Lin,Omar Ong Yoke Lin,Omar Ong Yoke Lin,Omar Ong Yoke Lin,,Omar Yoke Lin Ong,Omar Yoke Lin Ong,,Omar Ong Yoke Lin,翁毓麟,male,1917-07-23,/m/04n4075,Omar Ong Yoke Lin,Omar Yoke Lin Ong,,Omar,Omar Yoke Lin Ong,Omar Yoke Lin Ong,,,,2010-07-01,翁毓麟,翁毓麟,翁毓麟,,,,,,,,,,,Omar Yoke Lin Ong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omar Ong Yoke Lin,,,,,,,Omar Yoke Lin Ong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,
Q18612433,Abdul Aziz Sheikh Fadzir,,,,Abdul Aziz Sheikh Fadzir,Abdul Aziz Sheikh Fadzir,,,,,,,Abdul Aziz Sheikh Fadzir,Abd. Aziz Sheikh Fadzir,Abdul Aziz Sheikh Fadzir,,,male,1963-04-28,,Abd. Aziz Sheikh Fadzir,,,Abd al-Aziz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18684386,Azman Ismail,,,,Azman Ismail,,,,,,Azman Ismail,,Azman Ismail,Azman Ismail,Azman Ismail,,,male,,,Azman Ismail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azman Ismail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,,
Q18686419,Gooi Hsiao Leung,,,,Gooi Hsiao Leung,,,,,,Gooi Hsiao Leung,,Gooi Hsiao Leung,Gooi Hsiao-Leung,Gooi Hsiao Leung,,,male,1972,,Gooi Hsiao-Leung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gooi Hsiao Leung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q18687953,Ismail Daut,,,,Ismail Daut,,,,,,,,Ismail Daut,Ismail Daut,Ismail Daut,,,male,,,Ismail Daut,,,İsmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismail Daut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18746492,"Members of the Dewan Rakyat, 10th Malaysian Parliament",,"Ahli Dewan Rakyat, Parlimen Malaysia ke-10",,,,,,,,,,"Members of the Dewan Rakyat, 10th Malaysian Parliament","Members of the Dewan Rakyat, 10th Malaysian Parliament",,"Ahli Dewan Rakyat, Parlimen Malaysia ke-10",,,,,"Members of the Dewan Rakyat, 10th Malaysian Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646170,Kasthuriraani Patto,,,,,,,,,,Kasthuriraani Patto,,Kasthuriraani Patto,Kasthuriraani Patto,,,,female,1981-08-09,,Kasthuriraani Patto,,,,,,,,,,,,,,,,,,,,கஸ்தூரி பட்டு,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,கஸ்தூரி பட்டு,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646260,Mansor Abd Rahman,,,,Mansor Abd Rahman,,,,,,Mansor Abd Rahman,,Mansor Abd Rahman,Mansor Abd Rahman,Mansor Abd Rahman,,,male,,,Mansor Abd Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,,
Q19646276,"Members of the Dewan Rakyat, 11th Malaysian Parliament",,"Ahli Dewan Rakyat, Parlimen Malaysia ke-11",,,,,,,,,,"Members of the Dewan Rakyat, 11th Malaysian Parliament","Members of the Dewan Rakyat, 11th Malaysian Parliament",,"Ahli Dewan Rakyat, Parlimen Malaysia ke-11",,,,,"Members of the Dewan Rakyat, 11th Malaysian Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646277,"Members of the Dewan Rakyat, 2nd Malaysian Parliament",,,,,,,,,,,,"Members of the Dewan Rakyat, 2nd Malaysian Parliament","Members of the Dewan Rakyat, 2nd Malaysian Parliament",,,,,,,"Members of the Dewan Rakyat, 2nd Malaysian Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646279,"Members of the Dewan Rakyat, 3rd Malaysian Parliament",,,,,,,,,,,,"Members of the Dewan Rakyat, 3rd Malaysian Parliament","Members of the Dewan Rakyat, 3rd Malaysian Parliament",,,,,,,"Members of the Dewan Rakyat, 3rd Malaysian Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646280,"Members of the Dewan Rakyat, 4th Malaysian Parliament",,,,,,,,,,,,"Members of the Dewan Rakyat, 4th Malaysian Parliament","Members of the Dewan Rakyat, 4th Malaysian Parliament",,,,,,,"Members of the Dewan Rakyat, 4th Malaysian Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646282,"Members of the Dewan Rakyat, 5th Malaysian Parliament",,,,,,,,,,,,"Members of the Dewan Rakyat, 5th Malaysian Parliament","Members of the Dewan Rakyat, 5th Malaysian Parliament",,,,,,,"Members of the Dewan Rakyat, 5th Malaysian Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646283,"Members of the Dewan Rakyat, 6th Malaysian Parliament",,,,,,,,,,,,"Members of the Dewan Rakyat, 6th Malaysian Parliament","Members of the Dewan Rakyat, 6th Malaysian Parliament",,,,,,,"Members of the Dewan Rakyat, 6th Malaysian Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646285,"Members of the Dewan Rakyat, 7th Malaysian Parliament",,,,,,,,,,,,"Members of the Dewan Rakyat, 7th Malaysian Parliament","Members of the Dewan Rakyat, 7th Malaysian Parliament",,,,,,,"Members of the Dewan Rakyat, 7th Malaysian Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646287,"Members of the Dewan Rakyat, 8th Malaysian Parliament",,,,,,,,,,,,"Members of the Dewan Rakyat, 8th Malaysian Parliament","Members of the Dewan Rakyat, 8th Malaysian Parliament",,,,,,,"Members of the Dewan Rakyat, 8th Malaysian Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646289,"Members of the Dewan Rakyat, 9th Malaysian Parliament",,"Ahli Dewan Rakyat, Parlimen Malaysia ke-9",,,,,,,,,,"Members of the Dewan Rakyat, 9th Malaysian Parliament","Members of the Dewan Rakyat, 9th Malaysian Parliament",,"Ahli Dewan Rakyat, Parlimen Malaysia ke-9",,,,,"Members of the Dewan Rakyat, 9th Malaysian Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19646358,Reezal Merican Naina Merican,,Reezal Merican Bin Naina Merican,,,,,,,,Reezal Merican Naina Merican,,Reezal Merican Naina Merican,Reezal Merican Naina Merican,,Reezal Merican Bin Naina Merican,,male,1972-07-29,,Reezal Merican Naina Merican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reezal Merican Bin Naina Merican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19664887,Abdullah Mohd Salleh,,Abdullah Mohd Salleh,,,,,,,,Tun Abdullah Mohd Salleh,,Abdullah Mohd Salleh,Abdullah Mohd Salleh,,Abdullah Mohd Salleh,,male,1926-06-24,,Abdullah Mohd Salleh,,,Abdullah,,,,,,2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdullah Mohd Salleh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19841039,Wong Chen,,,,,,,,,,Wong Chen,,Wong Chen,Wong Chen,,,,male,1968-12-18,,Wong Chen,Wong Chen,https://upload.wikimedia.org/wikipedia/commons/4/41/Wongchenphoto.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,
Q201124,Mustapha bin Harun,敦马士达化,Mustapha bin Harun,Mustapha bin Harun,,Mustapha bin Harun,,,,,Mustapha bin Harun,Mustapha bin Harun,Mustapha bin Harun,Mustapha Harun,,Mustapha bin Harun,,male,1918-07-31,/m/0fj2sx,Mustapha Harun,Mustapha bin Harun,https://upload.wikimedia.org/wikipedia/commons/8/8c/Putatan_Sabah_TamanMemorialTunDatuMustapha-04.jpg,Mustapha,,Mustapha bin Harun,67710944,,n50067101,1995-01-02,,,,,,,,,,,tun datuk mustafah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ムスタファ・ハルン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q20447761,,,Raja Abu Hanifah Abdul Ghani,,,,,,,,,,Raja Abu Hanifah Abdul Ghani,,,Raja Abu Hanifah Abdul Ghani,,,,,Raja Abu Hanifah Abdul Ghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
