id,name__de,name__pl,name__el,name__ru,name__fr,name__en,name__it,name__nl,name__es,name__nb,name__da,name__nn,name__sv,name,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__fr,wikipedia__it,wikipedia__pl,wikipedia__ru,image,gender,birth_date,identifier__freebase,given_name,original_wikiname,name__be,name__sr,name__be_tarask,wikipedia__be_x_old,wikipedia__be,wikipedia__sr,name__et,wikipedia__es,wikipedia__et,name__pt_br,name__ca,name__oc,wikipedia__nn,name__gl,name__ba,name__yo,wikipedia__ba,wikipedia__gl,wikipedia__yo,name__cy,death_date,name__tr,name__uk,wikipedia__tr,wikipedia__uk,name__sh,wikipedia__sh,wikipedia__oc,family_name,name__hu,identifier__VIAF,identifier__SUDOC,name__pt,wikipedia__pt,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SBN_it,identifier__NLA,identifier__BAV,identifier__NUKAT,wikipedia__nl,name__id,wikipedia__id,name__lt,name__fi,wikipedia__lt,name__sr_el,name__sr_ec,name__nds,name__zh,name__ar,wikipedia__ar,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__mg,wikipedia__mg,name__eo,wikipedia__eo,wikipedia__commons,identifier__OLID,last_seen,identifier__treccani,name__zh_cn,name__ja,identifier__PACE,name__ro,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__sco,occupation,name__la,wikipedia__la,identifier__snac,name__ty,wikipedia__lmo,name__lmo,name__dsb,name__hsb,name__is,name__jv,name__pdc,name__stq,name__tl,name__war,name__fit,name__fo,name__kl,name__ky,wikipedia__ky,identifier__google_knowledge,name__ceb,name__ko,wikipedia__ko,wikipedia__ast,name__he,wikipedia__he,name__fy,wikipedia__fy,wikipedia__no,wikipedia__ga,name__sl,identifier__GNC,identifier__ioc_athlete,name__lfn,wikipedia__th,name__th,website,wikipedia__simple,identifier__italian_cod,identifier__CiNii,identifier__NLAtrove,identifier__dialnet,identifier__NLI
Q15998324,Luca Beccari,Luca Beccari,,Лука Беккари,Luca Beccari,Luca Beccari,Luca Beccari,Luca Beccari,Luca Beccari,,,,Luca Beccari,Luca Beccari,Luca Beccari,,Luca Beccari,Luca Beccari,Luca Beccari,Luca Beccari,"Беккари, Лука",https://upload.wikimedia.org/wikipedia/commons/4/41/Napolitano_Ciavatta_Beccari.jpg,male,1974-10-29,,Luca,Luca Beccari,,,,,,,Luca Beccari,Luca Beccari,Luca Beccari,,,,,,,,,,,,,Luca Beccari,Лука Беккарі,Luca Beccari,Лука Беккарі,,,,Beccari,Luca Beccari,,,,,,,,,,,,,,,,,,,,,,盧卡·貝卡里,,,盧卡·貝卡里,,,,,,,,Category:Luca Beccari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luca Beccari,,,,,,,,,,,,
Q16064803,Gian Carlo Venturini,,,,Gian Carlo Venturini,Gian Carlo Venturini,Gian Carlo Venturini,Gian Carlo Venturini,,,,,,Gian Carlo Venturini,Gian Carlo Venturini,,,,,,,,male,1962-02-25,,Gian,Gian Carlo Venturini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gian Carlo Venturini,,,,,,,,,,,,
Q16189465,Gloriana Ranocchini,,,,Gloriana Ranocchini,Gloriana Ranocchini,Gloriana Ranocchini,Gloriana Ranocchini,,,,,,Gloriana Ranocchini,Gloriana Ranocchini,,Gloriana Ranocchini,Gloriana Ranocchini,,,,,female,1957,,Gloriana,Gloriana Ranocchini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,格羅利亞納·拉諾基尼,,,,,,,,,,格罗利亚纳·拉诺基尼,グロリアーナ・ラノッキーニ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gloriana Ranocchini,,,,,,,,,,,,
Q16545227,,Filippo da Sterpeto,,,Filippo da Sterpeto,Filippo da Sterpeto,Filippo da Sterpeto,,,,,,,Filippo da Sterpeto,,,,Filippo da Sterpeto,Filippo da Sterpeto,Filippo da Sterpeto,,,male,,,Filippo,Filippo da Sterpeto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filippo da Sterpeto,,,,,,,,,,,,
Q16549371,Gian Nicola Berti,Gian Nicola Berti,,"Берти, Джан Никола",Gian Nicola Berti,Gian Nicola Berti,Gian Nicola Berti,Gian Nicola Berti,Gian Nicola Berti,,,,,Gian Nicola Berti,Gian Nicola Berti,,Gian Nicola Berti,Gian Nicola Berti,Gian Nicola Berti,Gian Nicola Berti,"Берти, Джан Никола",,male,1960-08-09,,Gian,Gian Nicola Berti,,,,,,,,Gian Nicola Berti,,,,,,,,,,,,,,Gian Nicola Berti,Джан Нікола Берті,Gian Nicola Berti,Джан Нікола Берті,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安·尼古拉·貝爾蒂,,,吉安·尼古拉·貝爾蒂,,,,,,,,,,,,,ジャン・ニコラ・ベルティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gian Nicola Berti,,,,เกียน นิโคลา เบอร์ติ,เกียน นิโคลา เบอร์ติ,,,,,,,
Q167075,Valeria Ciavatta,Valeria Ciavatta,,"Чаватта, Валерия",Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,"Чаватта, Валерия",https://upload.wikimedia.org/wikipedia/commons/4/41/Napolitano_Ciavatta_Beccari.jpg,female,1959-01-16,/m/02303x,Valeria,Valeria Ciavatta,,,,,,,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,,,,,,,,,,,,,Valeria Ciavatta,Валерія Чаватта,Valeria Ciavatta,Валерія Чаватта,,,,,Valeria Ciavatta,,,,,,,,,,,,,,,,,,,,,,瓦萊里爾·恰瓦塔,,,瓦萊里婭·恰瓦塔,,瓦萊里爾·恰瓦塔,,,,,,Category:Valeria Ciavatta,,,,瓦莱里娅·恰瓦塔,ヴァレリア・チャバッタ,,,,,Valeria Ciavatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,Valeria Ciavatta,,,,,,,Valeria Ciavatta,,,,,,,,,,,,
Q18119638,Guerrino Zanotti,Guerrino Zanotti,,"Дзанотти, Гуеррино",Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,"Дзанотти, Гуэррино",,male,1962-10-24,,Guerrino,Guerrino Zanotti,,,,,,,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,,,Guerrino Zanotti,,,,,,,,,,,Гуерріно Дзанотті,,Гуерріно Дзанотті,,,Guerrino Zanotti,Zanotti,,,,,,,,,,,,,,,,,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,,,Guerrino Zanotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guerrino Zanotti,,,,,,,,,,,,
Q18221283,Iro Belluzzi,,,,Iro Belluzzi,Iro Belluzzi,Iro Belluzzi,Iro Belluzzi,,,,,,Iro Belluzzi,Iro Belluzzi,,,,,,,,male,1964-07-12,,Iro,Iro Belluzzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iro Belluzzi,,,,,,,,,,,,
Q18221867,Claudio Felici,,,,Claudio Felici,Claudio Felici,Claudio Felici,Claudio Felici,,,,,,Claudio Felici,Claudio Felici,,,Claudio Felici,,,,,male,1960-03-10,,Claudio,Claudio Felici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudio Felici,,,,,,,,,,,,
Q18411174,Claudio Podeschi,,,,Claudio Podeschi,Claudio Podeschi,Claudio Podeschi,Claudio Podeschi,,,,,,Claudio Podeschi,Claudio Podeschi,,,,,,,,male,1956-10-20,,Claudio,Claudio Podeschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudio Podeschi,,,,,,,,,,,,
Q18411481,Marco Arzilli,,,,Marco Arzilli,Marco Arzilli,Marco Arzilli,Marco Arzilli,,,,,,Marco Arzilli,Marco Arzilli,,,,,,,,male,1971-02-23,,Marco,Marco Arzilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Arzilli,,,,,,,,,,,,
Q18411735,Francesco Balsimelli,,,,Francesco Balsimelli,Francesco Balsimelli,Francesco Balsimelli,Francesco Balsimelli,Francesco Balsimelli,,,,,Francesco Balsimelli,Francesco Balsimelli,,,,,,,,male,1894-01-29,,Francesco,Francesco Balsimelli,,,,,,,,,,,,,,,,,,,,,1974-02-21,,,,,,,,,Francesco Balsimelli,88932156,155634607,,,0000 0000 6234 3229,125987722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Balsimelli,,,,,,,,,,,,
Q18746990,Augusto Casali,,,,Augusto Casali,Augusto Casali,Augusto Casali,Augusto Casali,,,,,,Augusto Casali,Augusto Casali,,,,,,,,male,1949-04-14,,Augusto,Augusto Casali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Augusto Casali,,,,,,,,,,,,
Q19691256,Andrea Belluzzi,Andrea Belluzzi,,"Беллуци, Андреа",Andrea Belluzzi,Andrea Belluzzi,Andrea Belluzzi,Andrea Belluzzi,Andrea Belluzzi,,,,,Andrea Belluzzi,Andrea Belluzzi,,Andrea Belluzzi,Andrea Belluzzi,Andrea Belluzzi,Andrea Belluzzi,"Беллуци, Андреа",,male,1968-03-29,,Andrea,Andrea Belluzzi,,,,,,,,Andrea Belluzzi,,,,,,,,,,,,,,,Андреа Белуцці,,Андреа Белуцці,,,,,,,,,,,,,,,,,,,,,,,,,,,安德烈亞·貝盧齊,,,安德烈亞·貝盧齊,,,,,,,,,,,,,アンドレア・ベッルッツィ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Belluzzi,,,,,,,,,,,,
Q19691303,Roberto Venturini,Roberto Venturini,,"Вентурини, Роберто",Roberto Venturini,Roberto Venturini,Roberto Venturini,Roberto Venturini,Roberto Venturini,,,,,Roberto Venturini,Roberto Venturini,,Roberto Venturini,Roberto Venturini,Roberto Venturini,Roberto Venturini,"Вентурини, Роберто",,male,1960-12-30,,Roberto,Roberto Venturini,,,,,,,,Roberto Venturini,,,,,,,,,,,,,,,Роберто Вентуріні,,Роберто Вентуріні,,,,,,,,,,,,,,,,,,,,,,,,,,,羅伯特·文圖里尼,,,羅伯特·文圖里尼,,,,,,,,,,,,,ロベルト・ヴェントゥリーニ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roberto Venturini,,,,,,,,,,,,
Q19720934,Emma Rossi,,,Эмма Росси,Emma Rossi,Emma Rossi,Emma Rossi,Emma Rossi,,,,,,Emma Rossi,Emma Rossi,,,,,,,,female,1952-02-16,,Emma,Emma Rossi,,,,,,,,,,,,,,,,,,,,,2003-10-20,,,,,,,,Rossi,,71608255,,,,0000 0000 0137 8970,,,144165593,,,,,,,,,,,,,,,إيما روسي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non-fiction writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emma Rossi,,,,,,,,,,,,
Q20798851,Sante Canducci,,,,Sante Canducci,Sante Canducci,,Sante Canducci,,,,,,Sante Canducci,Sante Canducci,,,,,,,,male,1944-06-17,,,Sante Canducci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21035121,Nicola Renzi,Nicola Renzi,Νικόλα Ρέντσι,"Ренци, Никола",Nicola Renzi,Nicola Renzi,Nicola Renzi,Nicola Renzi,Nicola Renzi,,,,,Nicola Renzi,Nicola Renzi,Νικόλα Ρέντσι,Nicola Renzi,Nicola Renzi,Nicola Renzi,Nicola Renzi,"Ренци, Никола",,male,1979-07-18,,Nicola,Nicola Renzi,,,,,,,,Nicola Renzi,,,,Nicola Renzi,,,,,,,,,,,Нікола Ренці,,Нікола Ренці,,,Nicola Renzi,Renzi,,30146635449041981021,,,,0000 0004 5976 3918,1106347986,no2016069545,17082711v,,,,,,,,,,,,,,尼古拉·倫齊,نيكولا رينزي,,尼古拉·倫齊,,,,,,,,,,,,,ニコラ・レンツィ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,Nicolaus Renzi,Nicolaus Renzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicola Renzi,,,,,,,,,,,,
