id,name,sort_name,given_name,family_name,qualifica,birth_date,party,photo,term,source
17009051,Franco Santi,"Santi, Franco",Franco,Santi,consigliere,1967-12-28,Civico 10,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016566_17000062_5SantiFranco.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009051.html
17009052,Manuel Ciavatta,"Ciavatta, Manuel",Manuel,Ciavatta,consigliere,1976-12-27,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016558_17000062_CiavattaManuel2.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009052.html
17009055,Lorella Stefanelli,"Stefanelli, Lorella",Lorella,Stefanelli,consigliere,1959-02-20,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016559_17000062_StefanelliLorell.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009055.html
17009056,William Giardi,"Giardi, William",William,Giardi,consigliere,1964-10-18,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016563_17000062_WilliamGiardi.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009056.html
17009057,Denis Amici,"Amici, Denis",Denis,Amici,consigliere,1972-06-10,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016560_17000062_AmiciDenis.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009057.html
17009058,Roberto Venturini,"Venturini, Roberto",Roberto,Venturini,consigliere,1960-12-30,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016561_17000062_VenturiniRoberto.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009058.html
17009060,Mario Lazzaro Venturini,"Venturini, Mario Lazzaro",Mario Lazzaro,Venturini,consigliere,1949-06-13,Alleanza Popolare,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001257_17000062_AP_43.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009060.html
17016599,Francesco Morganti,"Morganti, Francesco",Francesco,Morganti,consigliere,1982-04-26,Partito dei Socialisti e dei Democratici,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016552_17000062_FrancescoMorgant.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016599.html
17016601,Giovanni Francesco Ugolini,"Ugolini, Giovanni Francesco",Giovanni Francesco,Ugolini,consigliere,1953-02-28,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001255_17000062_DEA_55.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016601.html
17016602,Filippo Tamagnini,"Tamagnini, Filippo",Filippo,Tamagnini,consigliere,1972-01-30,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016587_17000062_TamagniniFilippo.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016602.html
17016603,Marco Podeschi,"Podeschi, Marco",Marco,Podeschi,consigliere,1969-02-05,Unione per la Repubblica,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016576_17000062_marcopodeschi.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016603.html
17016604,Augusto Casali,"Casali, Augusto",Augusto,Casali,consigliere,1949-04-14,Partito Socialista,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17021239_17000062_11CasaliAugusto.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016604.html
17016605,Alessandro De Biagi,"De Biagi, Alessandro",Alessandro,De Biagi,consigliere,1975-06-09,Partito Socialista,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016571_17000062_DeBiagiAlessandr.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016605.html
17016606,Andrea Zafferani,"Zafferani, Andrea",Andrea,Zafferani,consigliere,1982-12-19,Civico 10,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001258_17000062_AP_44.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016606.html
17016607,Maria Luisa Berti,"Berti, Maria Luisa",Maria Luisa,Berti,consigliere,1971-10-06,Noi Sammarinesi,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001209_17000062_LL_03.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016607.html
17016608,Massimo Cenci,"Cenci, Massimo",Massimo,Cenci,consigliere,1967-06-08,Noi Sammarinesi,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001215_17000062_LL_12.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016608.html
17016609,Gian Matteo Zeppa,"Zeppa, Gian Matteo",Gian Matteo,Zeppa,consigliere,1974-03-11,Movimento Civico R.E.T.E.,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016580_17000062_ZeppaGianMatteo.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016609.html
17016610,Gian Nicola Berti,"Berti, Gian Nicola",Gian Nicola,Berti,consigliere,1960-08-09,Noi Sammarinesi,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001208_17000062_LL_02.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016610.html
17016611,Mimma Zavoli,"Zavoli, Mimma",Mimma,Zavoli,consigliere,1963-02-13,Civico 10,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016584_17000062_ZavoliMimma.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016611.html
17016612,Roberto Ciavatta,"Ciavatta, Roberto",Roberto,Ciavatta,consigliere,1976-09-23,Movimento Civico R.E.T.E.,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016581_17000062_CiavattaRoberto.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016612.html
17016613,Elena Tonnini,"Tonnini, Elena",Elena,Tonnini,consigliere,1979-01-02,Movimento Civico R.E.T.E.,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016582_17000062_TonniniElena.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016613.html
17016614,Marino Riccardi,"Riccardi, Marino",Marino,Riccardi,capitano reggente,1958-07-09,Independent,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001246_17000062_PSD_46.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016614.html
17016618,Michele Muratori,"Muratori, Michele",Michele,Muratori,consigliere,1983-12-13,Partito dei Socialisti e dei Democratici,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17019046_17000062_MuratoriMichele.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016618.html
17016619,Denise Bronzetti,"Bronzetti, Denise",Denise,Bronzetti,consigliere,1972-12-12,Independent,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001210_17000062_PSD_10.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016619.html
17016623,Francesca Michelotti,"Michelotti, Francesca",Francesca,Michelotti,consigliere,1952-02-16,Sinistra Unita - LabDem,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001235_17000062_SU_26.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016623.html
17016624,Ivan Foschi,"Foschi, Ivan",Ivan,Foschi,consigliere,1973-02-06,Sinistra Unita - LabDem,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001222_17000062_SU_16.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016624.html
17016627,Nicola Selva,"Selva, Nicola",Nicola,Selva,consigliere,1962-07-04,Unione per la Repubblica,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17020133_17000062_NicolaSelva.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016627.html
17016631,Simone Celli,"Celli, Simone",Simone,Celli,consigliere,1982-09-10,Sinistra Unita - LabDem,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001214_17000062_PSD_17.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016631.html
17016632,Paolo Crescentini,"Crescentini, Paolo",Paolo,Crescentini,consigliere,1973-06-18,Partito Socialista,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001219_17000062_PSD_21.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016632.html
17016633,Federico Pedini Amati,"Pedini Amati, Federico",Federico,Pedini Amati,consigliere,1976-08-11,Federico Pedini Amati,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016589_17000062_PediniAmatiFeder.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016633.html
17016634,Alessandro Mancini,"Mancini, Alessandro",Alessandro,Mancini,consigliere,1975-10-04,Partito Socialista,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001229_17000062_PSD_35.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016634.html
17016635,Luca Santolini,"Santolini, Luca",Luca,Santolini,consigliere,1985-02-22,Civico 10,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016567_17000062_4SantoliniLuca.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016635.html
17016668,Matteo Fiorini,"Fiorini, Matteo",Matteo,Fiorini,consigliere,1978-02-10,Alleanza Popolare,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001270_17000063_MatteoFiorinicop.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016668.html
17018805,Roger Zavoli,"Zavoli, Roger",Roger,Zavoli,consigliere,1973-06-16,Unione per la Repubblica,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17020264_17000062_RogerZavoli.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17018805.html
17098208,Annamaria Muccioli,"Muccioli, Annamaria",Annamaria,Muccioli,consigliere,1964-08-15,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016588_17000062_MuccioliAnnamari.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17098208.html
17128823,Fabio Berardi,"Berardi, Fabio",Fabio,Berardi,capitano reggente,1959-05-26,Independent,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016575_17000062_BerardiFabio.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17128823.html
17128825,Antonella Mularoni,"Mularoni, Antonella",Antonella,Mularoni,consigliere,1961-09-27,Alleanza Popolare,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016557_17000062_21_MularoniAnton.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17128825.html
17128826,Valeria Ciavatta,"Ciavatta, Valeria",Valeria,Ciavatta,consigliere,1959-01-16,Alleanza Popolare,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016556_17000062_6_CiavattaValeri.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17128826.html
17130111,Vladimiro Selva,"Selva, Vladimiro",Vladimiro,Selva,consigliere,1970-10-19,Partito dei Socialisti e dei Democratici,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016646_17000062_SelvaVladimiro.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17130111.html
17130112,Nicola Renzi,"Renzi, Nicola",Nicola,Renzi,consigliere,1979-07-18,Alleanza Popolare,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016649_17000062_RenziNicola.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17130112.html
17130113,Stefano Canti,"Canti, Stefano",Stefano,Canti,consigliere,1975-08-28,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016650_17000062_CantiStefano.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17130113.html
17130114,Massimo Andrea Ugolini,"Ugolini, Massimo Andrea",Massimo Andrea,Ugolini,consigliere,1978-07-26,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016651_17000062_UgoliniMassimoAn.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17130114.html
17130115,Alessandro Cardelli,"Cardelli, Alessandro",Alessandro,Cardelli,consigliere,1991-05-07,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016652_17000062_CardelliAlessand.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17130115.html
17130117,Luca Beccari,"Beccari, Luca",Luca,Beccari,consigliere,1974-10-29,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016654_17000062_BeccariLuca.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17130117.html
17131642,Mariella Mularoni,"Mularoni, Mariella",Mariella,Mularoni,consigliere,1962-10-15,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016655_17000062_MularoniMariella.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17131642.html
17132421,Luca Lazzari,"Lazzari, Luca",Luca,Lazzari,consigliere,1978-06-15,Independent,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17017012_17000062_Lazzari_Luca.jpeg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17132421.html
17134542,Grazia Zafferani,"Zafferani, Grazia",Grazia,Zafferani,consigliere,1972-12-31,Movimento Civico R.E.T.E.,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17017540_17000062_14-ZafferaniGraz.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17134542.html
17139561,Remo Giancecchi,"Giancecchi, Remo",Remo,Giancecchi,consigliere,1969-02-06,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17020485_17000063_GiancecchiRemo.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17139561.html
17141949,Enrico Carattoni,"Carattoni, Enrico",Enrico,Carattoni,consigliere,1985-05-18,Partito dei Socialisti e dei Democratici,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17021238_17000062_EnricoCarattoni.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17141949.html
17141952,Milena Gasperoni,"Gasperoni, Milena",Milena,Gasperoni,consigliere,1961-09-23,Partito dei Socialisti e dei Democratici,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17021235_17000063_MilenaGasperoni.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17141952.html
