id,name,sort_name,given_name,family_name,qualifica,birth_date,party,photo,source,term
17016635,Luca Santolini,"Santolini, Luca",Luca,Santolini,Capitano Reggente,1985-02-22,Civico 10,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023561_17000062_6-LucaSantolini3.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016635.html,2016
17016668,Matteo Fiorini,"Fiorini, Matteo",Matteo,Fiorini,Consigliere,1978-02-10,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023557_17000062_11Fiorini_Matteo.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016668.html,2016
17018805,Roger Zavoli,"Zavoli, Roger",Roger,Zavoli,Consigliere,1973-06-19,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023559_17000062_34Zavoli_Roger.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17018805.html,2016
17128822,Gian Carlo Venturini,"Venturini, Gian Carlo",Gian Carlo,Venturini,Consigliere,1962-02-25,Lista PDCS,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023587_17000062_42VenturiniGianG.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17128822.html,2016
17130113,Stefano Canti,"Canti, Stefano",Stefano,Canti,Consigliere,1975-08-28,Lista PDCS,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023594_17000062_04CantiStefano03.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17130113.html,2016
17130114,Massimo Andrea Ugolini,"Ugolini, Massimo Andrea",Massimo Andrea,Ugolini,Consigliere,1978-07-26,Lista PDCS,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023596_17000062_40UgoliniMassimo.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17130114.html,2016
17130115,Alessandro Cardelli,"Cardelli, Alessandro",Alessandro,Cardelli,Consigliere,1991-05-07,Lista PDCS,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023591_17000062_05CardelliAlessa.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17130115.html,2016
17131642,Mariella Mularoni,"Mularoni, Mariella",Mariella,Mularoni,Consigliere,1962-10-15,Lista PDCS,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023597_17000062_28MularoniMariel.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17131642.html,2016
17134542,Grazia Zafferani,"Zafferani, Grazia",Grazia,Zafferani,Consigliere,1972-12-31,Movimento Civico R.E.T.E.,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023607_17000062_26graziazafferan.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17134542.html,2016
17141949,Enrico Carattoni,"Carattoni, Enrico",Enrico,Carattoni,Consigliere,1985-05-18,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023575_17000062_4CARATTONIENRICO.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17141949.html,2016
17151266,Emmanuel Gasperoni,"Gasperoni, Emmanuel",Emmanuel,Gasperoni,Consigliere,1977-03-14,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17022953_17000062_13GasperoniEmman.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151266.html,2016
17151267,Lorenzo Lonfernini,"Lonfernini, Lorenzo",Lorenzo,Lonfernini,Consigliere,1968-05-13,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023550_17000062_16Lonfernini_Lor.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151267.html,2016
17151268,Pier Luigi Zanotti,"Zanotti, Pier Luigi",Pier Luigi,Zanotti,Consigliere,1963-03-02,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023682_17000062_33Zanotti_PierLu.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151268.html,2016
17151269,Stefano Palmieri,"Palmieri, Stefano",Stefano,Palmieri,Consigliere,1964-09-18,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023552_17000062_20Palmieri_Stefa.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151269.html,2016
17151270,Margherita Amici,"Amici, Margherita",Margherita,Amici,Consigliere,1991-07-02,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023553_17000062_1Amici_Margherit.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151270.html,2016
17151271,Roberto Giorgetti,"Giorgetti, Roberto",Roberto,Giorgetti,Consigliere,1962-11-04,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023554_17000062_14Giorgetti_Robe.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151271.html,2016
17151272,Matteo Ciacci,"Ciacci, Matteo",Matteo,Ciacci,Consigliere,1990-05-05,Civico 10,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023555_17000062_25CiacciMATTEOC.jpeg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151272.html,2016
17151280,Silvano Andreani,"Andreani, Silvano",Silvano,Andreani,Consigliere,1954-04-21,Civico 10,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023565_17000062_10-SilvanoAndrea.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151280.html,2016
17151281,Jader Tosi,"Tosi, Jader",Jader,Tosi,Consigliere,1964-08-17,Civico 10,"https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023566_17000062_20-JaderTosi3x4,.jpg",https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151281.html,2016
17151282,Luca Boschi,"Boschi, Luca",Luca,Boschi,Consigliere,1972-12-29,Civico 10,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023567_17000062_12-LucaBoschi3x4.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151282.html,2016
17151283,Valentina Bollini,"Bollini, Valentina",Valentina,Bollini,Consigliere,1995-11-10,Civico 10,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023568_17000062_3-ValentinaBolli.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151283.html,2016
17151284,Mattia Guidi,"Guidi, Mattia",Mattia,Guidi,Consigliere,1987-03-06,Civico 10,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023569_17000062_16-MattiaGuidi3x.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151284.html,2016
17151285,Alessandro Bevitori,"Bevitori, Alessandro",Alessandro,Bevitori,Consigliere,1979-01-29,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023571_17000062_2BEVITORIALESSAN.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151285.html,2016
17151286,Marina Lazzarini,"Lazzarini, Marina",Marina,Lazzarini,Consigliere,1956-04-26,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023574_17000062_16LAZZARINIMARIN.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151286.html,2016
17151287,Vanessa D'Ambrosio,"D'Ambrosio, Vanessa",Vanessa,D'Ambrosio,Consigliere,1988-04-26,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023576_17000062_7D'AMBROSIOVANES.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151287.html,2016
17151288,Mirco Tomassoni,"Tomassoni, Mirco",Mirco,Tomassoni,Capitano Reggente,1969-04-24,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023580_17000062_29TOMASSONIMIRCO.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151288.html,2016
17151289,Roberto Joseph Carlini,"Carlini, Roberto Joseph",Roberto Joseph,Carlini,Consigliere,1995-10-11,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023581_17000062_5CARLINIROBERTOJ.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151289.html,2016
17151291,Angelo Della Valle,"Della Valle, Angelo",Angelo,Della Valle,Consigliere,1957-07-08,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023583_17000062_8DELLAVALLEANGEL.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151291.html,2016
17151292,Iro Belluzzi,"Belluzzi, Iro",Iro,Belluzzi,Consigliere,1964-07-12,Partito dei Socialisti e dei Democratici,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023584_17000062_03-BELLUZZIIRO.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151292.html,2016
17151293,Dalibor Riccardi,"Riccardi, Dalibor",Dalibor,Riccardi,Consigliere,1983-09-04,Gruppo Misto,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023585_17000062_18-RICCARDIDALIB.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151293.html,2016
17151294,Davide Forcellini,"Forcellini, Davide",Davide,Forcellini,Consigliere,1982-08-09,Movimento Civico R.E.T.E.,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023604_17000062_11davideforvcell.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151294.html,2016
17151295,Sandra Giardi,"Giardi, Sandra",Sandra,Giardi,Consigliere,1969-02-19,Movimento Civico R.E.T.E.,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023605_17000062_14SandraGiardi.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151295.html,2016
17151296,Marianna Bucci,"Bucci, Marianna",Marianna,Bucci,Consigliere,1982-08-14,Movimento Civico R.E.T.E.,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023606_17000062_7mariannabucci.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151296.html,2016
17151442,Marco Nicolini,"Nicolini, Marco",Marco,Nicolini,Consigliere,1970-09-15,Movimento Civico R.E.T.E.,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023610_17000062_20marconicolini.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151442.html,2016
17151544,Fabrizio Perotto,"Perotto, Fabrizio",Fabrizio,Perotto,Consigliere,1980-08-05,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023648_17000062_21Perotto_Fabriz.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151544.html,2016
17151545,Mara Valentini,"Valentini, Mara",Mara,Valentini,Consigliere,1953-04-17,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023676_17000062_32Valentini_Mara.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151545.html,2016
17151546,Marica Montemaggi,"Montemaggi, Marica",Marica,Montemaggi,Consigliere,1982-07-20,Civico 10,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023677_17000062_13-MaricaMontema.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151546.html,2016
17151549,Monica Zafferani,"Zafferani, Monica",Monica,Zafferani,Consigliere,1985-08-27,Civico 10,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023678_17000062_21-MonicaZaffera.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151549.html,2016
17151551,Stefano Spadoni,"Spadoni, Stefano",Stefano,Spadoni,Consigliere,1974-02-26,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023679_17000062_27SPADONISTEFANO.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151551.html,2016
17151552,Alessandro Izzo,"Izzo, Alessandro",Alessandro,Izzo,Consigliere,1979-09-02,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023680_17000062_14IZZOALESSANDRO.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151552.html,2016
17151553,Fabrizio Francioni,"Francioni, Fabrizio",Fabrizio,Francioni,Consigliere,1966-06-06,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023681_17000062_10FRANCIONIFABRI.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17151553.html,2016
17160272,Simone Celli,"Celli, Simone",Simone,Celli,Consigliere,1982-09-10,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17024371_17000062_6CELLISIMONE.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17160272.html,2016
