id,name__zh,name,wikipedia__zh,image,gender,family_name,name__zh_tw,wikipedia__commons,birth_date,name__en,name__es,wikipedia__en,name__de,name__fr,name__nan,wikipedia__zh_min_nan,identifier__VIAF,name__ja,wikipedia__ja,name__zh_hant,name__ko,wikipedia__de,wikipedia__enwikiquote,wikipedia__fr,name__zh_hans,name__zh_hk,name__id,name__vi,name__nds,name__vmf,name__en_ca,name__en_gb,name__nl,wikipedia__id,wikipedia__vi,identifier__freebase,identifier__LCAuth,name__it,name__pl,name__ru,name__ca,name__pt,wikipedia__ca,wikipedia__es,wikipedia__pl,wikipedia__pt,wikipedia__ru,name__yue,wikipedia__zh_yue,identifier__ISNI,identifier__NLA,wikipedia__it,wikipedia__ko,given_name,name__cdo,wikipedia__cdo,wikipedia__no,name__nb,wikipedia__wuu,name__wuu,original_wikiname,electoral_district,name__oc,identifier__SUDOC,name__gan_hans,name__gan_hant,name__gan,wikipedia__gan,name__tr,identifier__BNF,identifier__IMDB,identifier__MusicBrainz,name__hu,identifier__NCL,last_seen,wikipedia__zhwikiquote,facebook,name__zh_cn,name__zh_mo,name__zh_my,name__zh_sg,name__sv,name__et,wikipedia__et,wikipedia__sv,wikipedia__tr,identifier__FAST,identifier__wikitree,occupation,website,name__ar,identifier__discogs,identifier__GND,identifier__NTA,wikipedia__hak,name__hak,name__ace,name__jv,name__su,identifier__BIBSYS,twitter,death_date,name__cy,identifier__OLID,wikipedia__simple,wikipedia__nl,identifier__NNDB,name__de_ch,name__lzh,wikipedia__zh_classical,identifier__NDL,identifier__Britannica,name__kana,wikipedia__ar,name__tl,identifier__Munzinger,name__ta,name__af,name__ms,name__gl,name__sh,name__fi,name__war,name__io,name__ka,name__th,name__mk,name__la,name__da,name__azb,name__he,name__lb,name__pt_br,name__sco,name__ilo,name__bcl,name__cs,name__fa,name__mai,name__ne,name__ro,name__uk,name__ur,name__eo,name__hi,name__mr,name__xmf,name__za,name__co,name__el,name__or,name__pa,name__is,name__lv,name__uz,name__eu,name__ast,wikipedia__af,wikipedia__ast,wikipedia__azb,wikipedia__bcl,wikipedia__cawikiquote,wikipedia__co,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hu,wikipedia__ilo,wikipedia__io,wikipedia__is,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__mai,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__oc,wikipedia__pa,wikipedia__ro,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__ta,wikipedia__th,wikipedia__thwikiquote,wikipedia__tl,wikipedia__uk,wikipedia__ur,wikipedia__uz,wikipedia__war,wikipedia__xmf,wikipedia__za,wikipedia__zhwikinews,identifier__quora,identifier__NLI,identifier__NKC,wikipedia__plwikiquote,name__az,name__my,name__mg,name__an,name__ext,wikipedia__az,wikipedia__mg,wikipedia__my,wikipedia__zhwikisource,identifier__NLC,identifier__NUKAT,identifier__CANTIC,identifier__GTAA,name__yo,wikipedia__yo,name__bn,wikipedia__bn,name__sl,wikipedia__sl,identifier__IIAF,identifier__ioc_athlete,name__hy,name__nn,wikipedia__nn,wikipedia__te,name__te,identifier__NLAtrove
Q15933742,蘇清泉,蘇清泉,蘇清泉,,male,Su,蘇清泉,,1957-08-05,,,,,,,,,,,蘇清泉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蘇清泉,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15942227,曾恩波,曾恩波,曾恩波,,male,Tseng,,,1915-11-10,Eddie Tseng,,,,,,,,,,,,,,,,,,,,,,,Eddie Tseng,,,,,,,,,,,,,,,曾恩波,曾恩波,,,,,Eddie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,1989-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16193401,曾銘宗,曾銘宗,曾銘宗,"https://upload.wikimedia.org/wikipedia/commons/9/97/Tseng_Ming-chung,_ROC_Ministry_of_Finance_20130329.jpg",male,Zeng,曾銘宗,Category:Tseng Ming-chung,1959-01-22,Tseng Ming-chung,,Tseng Ming-chung,,Tseng Ming-chung,Chan Bêng-chong,Chan Bêng-chong,,曽銘宗,,曾銘宗,,,,,,,,,,,,,Tseng Ming-chung,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tseng Ming-chung,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16239478,陳淑慧,陳淑慧,陳淑慧,https://upload.wikimedia.org/wikipedia/commons/f/f3/執政黨國民黨立委陳淑慧.jpg,female,Chen,,Category:Chen Shu-hui,1957-10-06,Chen Shu-hui,,Chen Shu-hui,,,,,,,,陳淑慧,,,,,,,,,,,,,Chen Shu-hui,,,,,Chen Shu-hui,,,,,,,,,,,,,,,,,,,,,,,陳淑慧,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16905422,李貴敏,李貴敏,李貴敏,https://upload.wikimedia.org/wikipedia/commons/b/b0/Guimin_Li.JPG,female,,李貴敏,Category:Li Gui-min,1959-12-11,Li Gui-min,,,,,,,,,,李貴敏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,李貴敏,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16926907,賴振昌,賴振昌,賴振昌,https://upload.wikimedia.org/wikipedia/commons/e/e5/賴振昌.jpg,male,,賴振昌,Category:Lai Cheng-chang,1958-01-15,Lai Cheng-chang,,,,,,,,頼振昌,,賴振昌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,賴振昌,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16928868,呂孫綾,呂孫綾,呂孫綾,https://upload.wikimedia.org/wikipedia/commons/c/c3/呂孫綾_(3).JPG,female,Lü,呂孫綾,Category:Lu Sun-ling,1988-03-12,Lu Sun-ling,,,,,Lī Sun-lêng,Lī Sun-lêng,,,,呂孫綾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,呂孫綾,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17027222,鄭天財Sra‧Kacaw,鄭天財Sra‧Kacaw,鄭天財,https://upload.wikimedia.org/wikipedia/commons/5/51/Gogosrakacaw1.jpg,male,,鄭天財Sra‧Kacaw,Category:Sra Kacaw,1956-12-16,Zheng Tiancai,,Sra Kacaw,,,,,,,,鄭天財Sra‧Kacaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sra Kacaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1822753,廖風德,廖風德,廖風德,,male,Liao,,,1951-04-17,Liao Feng-teh,Liao Feng-teh,Liao Feng-teh,Liao Fung-te,Liao Feng-teh,,,71249705,,,,,Liao Fung-te,,,,,,,,,,,Liao Feng-teh,,,/m/047b_q2,nr91039029,,,,,,,,,,,,,0000 0000 6420 6826,36695371,,,,,,,,,,,,,,,,,,,,,,,000002488,,,,,,,,,,,,,,,journalist,,,,,170898539,,,,,,,,2008-05-10,Liao Feng-teh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18415702,吳焜裕,吳焜裕,吳焜裕,https://upload.wikimedia.org/wikipedia/commons/0/0b/Wu_Kuen-Yuh_-_by_KeroroTW_1_(cropped).jpg,male,,吳焜裕,Category:Wu Kuen-yuh,1959-02-20,"Wu, Kuen-Yuh",,,,,Ngô͘ Khun-jū,Ngô͘ Khun-jū,,,,吳焜裕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吳焜裕,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18658400,蔣絜安,蔣絜安,蔣絜安,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔣絜安,,,,,,,,,,,,,,,,,,,,,,,,,,,,artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18659220,許淑華,許淑華,許淑華 (南投縣),https://upload.wikimedia.org/wikipedia/commons/c/cb/許淑華.JPG,female,,許淑華,Category:Hsu Shu-hua (Nantou County),1975-10-15,Hsu Shu-hua,,Hsu Shu-hua,,,,,316457436,,,許淑華,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hsu Shu-hua,,,,,,,,,,,,,000005634,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19058548,黃國書,黃國書,黃國書 (民主進步黨),https://upload.wikimedia.org/wikipedia/commons/7/7d/民進黨籍教育文化委員會召委黃國書_(cropped).jpg,male,Huang,黃國書,Category:Huang Kuo-shu,1964-01-03,Huang Kuo-shu,,Huang Kuo-shu,,Huang Kuo-shu,,,,黄国書,,黃國書,,,,,,,,,,,,,Huang Kuo-shu,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huang Kuo-shu,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19653988,陳素月,陳素月,陳素月,,female,,陳素月,Category:Chen Su-yueh,1966-01-18,Chen Su-yueh,,,,,Tân Sò͘-goa̍t,Tân Sò͘-goa̍t,,,,陳素月,,,,,,,,,,,,,Chen Su-yueh,,,,,,,,,,,,,,,,,,,,,,,,,,,,陳素月,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825208,陳賴素美,陳賴素美,陳賴素美,,female,Huang,陳賴素美,Category:Chen Lai Su-mei,1964-01-10,Chen Lai Su-mei,,,,,,,,陳頼素美,,陳賴素美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陳賴素美,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825322,徐志榮,徐志榮,徐志榮,https://upload.wikimedia.org/wikipedia/commons/0/05/Hsu_Chih-Jung_By_沈昱清_03_(cropped).jpg,male,Xu,徐志榮,Category:Hsu Chih-jung,1955-07-31,,,,,,,,,,,徐志榮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,徐志榮,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825673,林俊憲,林俊憲,林俊憲,https://upload.wikimedia.org/wikipedia/commons/9/94/民進黨發言人林俊憲.jpg,male,,林俊憲,Category:Lin Chun-hsien,1965-03-07,Lin Chun-hsien,,,,,Lîm Chùn-hiàn,Lîm Chùn-hiàn,,,,林俊憲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,林俊憲,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825688,楊應雄,楊應雄,楊應雄,https://upload.wikimedia.org/wikipedia/commons/0/07/Yang_Ying-hsiung.jpg,male,Yang,楊應雄,Category:Yang Ying-hsiung,1957-06-08,,,,,,,,,,,楊應雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,楊應雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825781,蘇巧慧,蘇巧慧,蘇巧慧,https://upload.wikimedia.org/wikipedia/commons/2/2b/Su_Chiao-hui_20160225.jpg,female,Su,蘇巧慧,Category:Su Chiao-hui,1976-04-05,Su Chiao-hui,Su Chiao-hui,Su Chiao-hui,,Su Chiao-hui,So͘ Kháu-hōe,So͘ Kháu-hōe,,,,蘇巧慧,,,,,,,,,,,,,Su Chiao-hui,,,,,,,,,,,,,,,,,,,,,Su,,,,,,,Su Chiao-hui,,,,,,,,,,,,Su Chiao-hui,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
