id,name__fr,name__ar,name__en,name__pl,name__sv,name__es,name,wikipedia__ar,wikipedia__en,wikipedia__fr,wikipedia__pl,wikipedia__sv,gender,birth_date,identifier__freebase,name__nl,given_name,name__de,image,original_wikiname,name__hu,last_seen,name__ja,identifier__GND,name__it,name__he,wikipedia__he,occupation,name__nds,name__ru,identifier__ISNI,identifier__VIAF,identifier__LCAuth,death_date,identifier__EGAXA,name__fa,name__pt,wikipedia__fa,wikipedia__hu,wikipedia__it,wikipedia__pt,identifier__FIFA
Q2385060,Maasouma Moubarak,معصومة المبارك,Massouma al-Mubarak,Massuma al-Mubarak,Masumahs al-Mubarak,Massouma al-Mubarak,معصومة المبارك,معصومة المبارك,Massouma al-Mubarak,Maasouma Moubarak,Masuma al-Mubarak,Masumahs al-Mubarak,female,1947,/m/0566_3w,Massouma al-Mubarak,,,,معصومة المبارك,Massouma al-Mubarak,,マスーマ・アル・ムバラク,,,מעסומה אל-מבארק,מעסומה אל-מבארק,politician,,,,,,,,,,,,,,
Q28715644,,رياض العدساني,,,,,رياض العدساني,رياض العدساني,,,,,,,,,,,,رياض العدساني,,,,,,,,,,,,,,,,,,,,,,
Q28715655,,عبد الله الطريجي,,,,,عبد الله الطريجي,عبد الله الطريجي,,,,,,,,,,,,عبد الله الطريجي,,,,,,,,,,,,,,,,,,,,,,
Q3603412,Abdullah Mayouf,عبد الله معيوف,Abdullah Mayouf,Abdullah Mayouf,,Abdullah Mayouf,عبد الله معيوف,عبد الله معيوف,Abdullah Mayouf,Abdullah Mayouf,Abd Allah Majuf,,male,1953-12-03,/m/0h64z7_,Abdullah Mayouf,Abdullah,Abdullah Mayouf,,عبد الله معيوف,Abdullah Mayouf,,,,Abdullah Mayouf,,,association football player,,,,,,,,عبدالله معیوف,Abdullah Mayouf,عبدالله معیوف,Abdullah Mayouf,Abdullah Mayouf,Abdullah Mayouf,53321
Q4683924,Adnan Zahid Abdulsamad,عدنان عبد الصمد,Adnan Zahid Abdulsamad,,,,عدنان عبد الصمد,عدنان عبد الصمد,Adnan Zahid Abdulsamad,,,,male,1950,,Adnan Zahid Abdulsamad,Adnan,Adnan Zahid Abdulsamad,,عدنان عبد الصمد,,,,,Adnan Zahid Abdulsamad,,,,,,,,,,,,,,,,,
Q4724622,Ali Al-Omair,علي العمير,Ali Al-Omair,,Ali al-Omair,,علي العمير,علي العمير,Ali al-Omair,,,Ali al-Omair,male,1958,,Ali Al-Omair,Ali,,,علي العمير,,,,,,,,politician,,,,,,,,,,,,,,
Q4724623,,علي الراشد,Ali Al-Rashid,,,,علي الراشد,علي الراشد,Ali Al-Rashid,,,,male,1967,,Ali Al-Rashid,Ali,,,علي الراشد,,,,,,,,politician,,,,,,,,,,,,,,
Q4807126,Askar Al-Enezi,عسكر العنزي,Askar Al-Enezi,,,,عسكر العنزي,عسكر العنزي,Askar Al-Enezi,,,,male,1971,,Askar Al-Enezi,Askar,,,عسكر العنزي,,,,,,,,politician,,,,,,,,,,,,,,
Q6399230,Khalaf Al-Enezi,خلف دميثير,Khalaf Al-Enezi,,,,خلف دميثير,خلف دميثير,Khalaf Al-Enezi,,,,female,1952,,Khalaf Al-Enezi,,,,خلف دميثير,,,,,,,,politician,,,,,,,,,,,,,,
Q6781875,,مرزوق الغانم,Marzouq Al-Ghanim,,,,مرزوق الغانم,مرزوق الغانم,Marzouq Al-Ghanim,,,,male,1968,,Marzouq Al-Ghanim,,,,مرزوق الغانم,,,,,,,,politician,,,,,,,,,,,,,,
Q7370752,,روضان الروضان,Roudhan Al-Roudhan,,,,روضان الروضان,روضان الروضان,Roudhan Al-Roudhan,,,,male,,,Roudhan Al-Roudhan,,,,روضان الروضان,,,,,,,,politician,,,,,,,,,,,,,,
Q7398031,,سعدون حماد العتيبي,Sadoon Al-Otaibi,,,Sadoon Al-Otaibi,سعدون حماد العتيبي,سعدون حماد العتيبي,Sadoon Al-Otaibi,,,,male,1959,,Sadoon Al-Otaibi,,,,سعدون حماد العتيبي,Sadoon Al-Otaibi,,,,,,,politician,,,,,,,,,,,,,,
Q7403899,Saleh Ashour,صالح عاشور,Saleh Ashour,,,,صالح عاشور,صالح عاشور,Saleh Ashour,,,,male,1952,,Saleh Ashour,Saleh,Saleh Ashour,,صالح عاشور,,,,,,,,politician,,,,,,,,,,,,,,
