id,name__de,name__fr,name__nl,name__en,name__en_gb,name__ro,name,wikipedia__de,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__it,name__es,name__nb,name__da,name__nn,name__sv,name__fi,wikipedia__fi,name__pl,wikipedia__pl,wikipedia__fr,wikipedia__sv,identifier__VIAF,identifier__LCAuth,identifier__freebase,identifier__SUDOC,identifier__ISNI,identifier__GND,identifier__BNF,wikipedia__es,name__nds,name__en_ca,name__ca,name__oc,name__ru,wikipedia__ru,name__af,name__el,name__pt,name__et,name__tr,wikipedia__af,wikipedia__el,wikipedia__et,wikipedia__pt,wikipedia__tr,image,wikipedia__it,wikipedia__zh,name__zh,wikipedia__ar,name__ar,name__cy,death_date,name__id,name__sr,name__qu,name__fa,name__ka,name__xmf,name__la,wikipedia__ca,wikipedia__commons,wikipedia__fa,wikipedia__id,wikipedia__ka,wikipedia__la,wikipedia__nl,wikipedia__oc,wikipedia__qu,wikipedia__sr,wikipedia__xmf,identifier__NTA,facebook,name__ko,name__yo,name__gl,name__ja,name__io,wikipedia__da,wikipedia__gl,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__no,wikipedia__yo,wikipedia__simple,family_name,name__de_ch,name__be,name__br,name__cs,name__bg,name__hr,name__uk,name__he,name__mr,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__cs,wikipedia__he,wikipedia__hr,wikipedia__mr,wikipedia__uk,name__mg,wikipedia__mg,name__fy,wikipedia__ro,identifier__NKC,website,identifier__FAST,name__hu,identifier__GTAA,last_seen,wikipedia__ckb,name__ckb,identifier__Britannica,occupation,identifier__ne_se,identifier__NLI,identifier__BIBSYS,wikipedia__ast,name__ast,identifier__SELIBR,name__sl,identifier__bigenc_ru,wikipedia__vi,name__vi,name__hy
Q1568274,Hage Gottfried Geingob,Hage Gottfried Geingob,Hage Gottfried Geingob,Hage Gottfried Geingob,Hage Gottfried Geingob,,Hage Gottfried Geingob,Hage Geingob,Hage Geingob,male,1941-08-03,,Hage Geingob,Hage Gottfried Geingob,Hage Gottfried Geingob,Hage Geingob,Hage Geingob,Hage Geingob,Hage Geingob,Hage Geingob,Hage Geingob,Hage Geingob,Hage Geingob,Hage Geingob,Hage Geingob,36686055,no2007005199,/m/07svrq,,0000 0000 4627 0373,,,Hage Geingob,Hage Geingob,Hage Gottfried Geingob,Hage Geingob,Hage Geingob,Хаге Гейнгоб,"Гейнгоб, Хаге",Hage Geingob,Χάγκε Γκέινγκομπ,Hage Geingob,Hage Geingob,Hage Geingob,Hage Geingob,Χάγκε Γκέινγκομπ,Hage Geingob,Hage Geingob,Hage Geingob,https://upload.wikimedia.org/wikipedia/commons/d/d7/Hage_Geingob.jpg,Hage Geingob,哈格·根哥布,哈格·根哥布,,هاكه كينكوب,Hage Gottfried Geingob,,Hage Geingob,Хаге Гејнгоб,Hage Geingob,هاگه گینگوب,ჰაგე გეინგობი,ჰაგე გეინგობი,Hage Geingob,Hage Geingob,,هاگه گینگوب,Hage Geingob,ჰაგე გეინგობი,Hage Geingob,Hage Geingob,Hage Geingob,Hage Geingob,Хаге Гејнгоб,ჰაგე გეინგობი,301435847,DrHageGeingob,,,,ヘイジ・ガインゴブ,,,,,ハーゲ・ガインゴブ,,,,Hage Geingob,,,,,Hage Geingob,,,Хаге Гейнгоб,האגה גיינגוב,,,,,Hage Geingob,האגה גיינגוב,,,Хаге Гейнгоб,,,,,,,,Hage Geingob,99326,,,,biography/Hage-Geingob,politician,,,,Hage Geingob,Hage Geingob,,Hage Gottfried Geingob,,,,
Q1586938,Hendrik Witbooi,Hendrik Witbooi,Hendrik Witbooi,Hendrik Witbooi,,,Hendrik Witbooi,Hendrik Witbooi (Politiker),Hendrik Witbooi (politician),male,1934-01-07,Hendrik,Hendrik Witbooi (politician),,Hendrik Witbooi,,,,,,,,,,,,,/m/04gjq3r,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hendrik Witbooi,2009-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Witbooi,,,,,,,,,,,,,,,,,,,,,,,,,Hendrik Witbooi,,,,,,politician,,,,,,,Hendrik Witbooi,,,,
Q15992910,Raphael Dinyando,Raphael Dinyando,Raphael Dinyando,Raphael Dinyando,,,Raphael Dinyando,,Raphael Dinyando,male,1960-08-02,Raphael,Raphael Dinyando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raphael Dinyando,2013-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,Raphael Dinyando,,,,
Q1601320,Justus ǁGaroëb,Justus Garoëb,Justus ǁGaroëb,Justus ǁGaroëb,,,Justus ǁGaroëb,Justus ǁGaroëb,Justus ǁGaroëb,male,1942-12-16,Justus,Justus ǁGaroëb,,Justus ǁGaroëb,,,,,Justus ǁGaroëb,Justus ǁGaroëb,,,Justus Garoëb,,,,/m/05sjhb,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Damara_Gaob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Justus ǁGaroëb,,,,,,politician,,,,,,,Justus ǁGaroëb,,,,
Q1603352,Helmut Angula,Helmut Angula,Helmut Angula,Helmut Angula,,,Helmut Angula,Helmut Angula,Helmut Angula,male,1945-11-11,Helmut,Helmut Angula,,Helmut Angula,,,,,,,,,,,72983848,n89132096,,,0000 0000 2979 8950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Helmut Angula,,,,
Q16137536,John Shaetonhodi,John Shaetonhodi,John Shaetonhodi,John Shaetonhodi,,,John Shaetonhodi,,John Shaetonhodi,male,1949-05-01,John,John Shaetonhodi,,,,,,,,,,,,,,,/m/0k2fyl5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,John Shaetonhodi,,,,
Q16189036,Bernhardt Esau,Bernhardt Esau,Bernhardt Esau,Bernhardt Esau,,,Bernhardt Esau,,Bernhardt Esau,male,1957-12-09,Bernhardt,Bernhardt Esau,Bernhardt Esau,,,,,,,,,,,,,,/m/055xb9z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Bernhardt Esau,,,,
Q16192788,Isak Katali,Isak Katali,Isak Katali,Isak Katali,,,Isak Katali,,Isak Katali,male,1958-01-05,Isak,Isak Katali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Isak Katali,,,,
Q16196675,Royal /Ui/o/oo,Royal /Ui/o/oo,Royal /Ui/o/oo,Royal /Ui/o/oo,,,Royal /Ui/o/oo,,Royal /Ui/o/oo,male,1966-09-30,Royal,Royal /Ui/o/oo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Royal /Ui/o/oo,,,,
Q1688040,Jesaya Nyamu,Jesaya Nyamu,Jesaya Nyamu,Jesaya Nyamu,,,Jesaya Nyamu,Jesaya Nyamu,Jesaya Nyamu,male,1942-03-20,,Jesaja N Nyamu,,Jesaya Nyamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Jesaya Nyamu,,,,
Q16887127,Auguste Xoagus,Auguste Xoagus,Auguste Xoagus,Auguste Xoagus,,,Auguste Xoagus,,Auguste Xoagus,male,,Auguste,Auguste Xoagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Auguste Xoagus,,,,
Q17146202,Buddy Wentworth,Buddy Wentworth,Buddy Wentworth,Buddy Wentworth,,,Buddy Wentworth,,Buddy Wentworth,male,1937-01-17,Buddy,Buddy Wentworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buddy Wentworth,2014-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Buddy Wentworth,,,,
Q17626895,Penda Ya Ndakolo,Penda Ya Ndakolo,,Penda Ya Ndakolo,,,Penda Ya Ndakolo,,Penda Ya Ndakolo,male,1960-03-23,,Penda Ya Ndakolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Penda Ya Ndakolo,,,,
Q18162113,Vekuii Rukoro,Vekuii Rukoro,Vekuii Rukoro,Vekuii Rukoro,,,Vekuii Rukoro,Vekuii Rukoro,Vekuii Rukoro,male,1954-11-11,,Vekuii Rukoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,Vekuii Rukoro,,,,
Q1893781,Marco Hausiku,Marco Hausiku,Marco Hausiku,Marco Hausiku,,,Marco Hausiku,Marco Hausiku,Marco Hausiku,male,1953-11-25,Marco,Marco Hausiku,,Marco Hausiku,,,,,,,,,Marco Hausiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Hausiku,,,,,,politician,,,,,,,Marco Hausiku,,,,
Q1902036,Marlene Mungunda,Marlene Mungunda,Marlene Mungunda,Marlene Mungunda,,,Marlene Mungunda,Marlene Mungunda,Marlene Mungunda,female,1954-09-11,Marlene,Marlene Mungunda,,Marlene Mungunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marlene Mungunda,,,,,,politician,,,,,,,Marlene Mungunda,,,,
Q191343,Zephania Kameeta,Zephania Kameeta,Zephania Kameeta,Zephania Kameeta,,Zephania Kameeta,Zephania Kameeta,Zephania Kameeta,Zephania Kameeta,male,1945-08-07,,Zephania Kameeta,,Zephania Kameeta,,,,,,,,,,,93941652,n85341403,/m/0g0b_v,031555640,0000 0000 6673 9378,110429885,122748174,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Zephania_Kameeta.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,071797556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zephania Kameeta,,,1471396,Zephania Kameeta,,,,,,politician,,,,,,,Zephania Kameeta,,,,
Q1949050,Mose Penaani Tjitendero,Mose Penaani Tjitendero,Mose Penaani Tjitendero,Mose Penaani Tjitendero,,,Mose Penaani Tjitendero,Mose Penaani Tjitendero,Mose Penaani Tjitendero,male,1943-12-25,,Mose Penaani Tjitendero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mose Penaani Tjitendero,2006-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Mose Penaani Tjitendero,,,,
Q1949166,Moses Katjiuongua,Moses Katjiuongua,Moses Katjiuongua,Moses Katjiuongua,,,Moses Katjiuongua,Moses Katjiuongua,Moses Katjiuongua,male,1942-04-24,Moses,Moses Katjioungua,,Moses Katjiuongua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moses Katjiuongua,2011-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moses Katjiuongua,,,,,,politician,,,,,,,Moses Katjiuongua,,,,
Q1984160,Ngarikutuke Tjiriange,Ngarikutuke Tjiriange,Ngarikutuke Tjiriange,Ngarikutuke Tjiriange,,,Ngarikutuke Tjiriange,Ngarikutuke Tjiriange,Ngarikutuke Tjiriange,male,1943-07-12,,Ngarikutuke Tjiriange,,Ngarikutuke Tjiriange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngarikutuke Tjiriange,,,,,,lawyer,,,,,,,Ngarikutuke Tjiriange,,,,
Q2076200,Peter Katjavivi,Peter Katjavivi,Peter Katjavivi,Peter Katjavivi,,,Peter Katjavivi,Peter Katjavivi,Peter Katjavivi,male,1941-05-12,Peter,Peter Katjavivi,,,,,,,,,,,,,32031116,nr89000268,,029779464,0000 0000 6643 1357,,12133096t,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/21/Peter_Katjavivi_(1976).jpg,,,,,,,,,,,,,,,,Category:Peter Katjavivi,,,,,,,,,,073537403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,
Q2186588,Mischake Mujongo,Mishake Muyongo,Mishake Muyongo,Mishake Muyongo,,,Mishake Muyongo,Mishake Muyongo,Mishake Muyongo,male,1940-04-28,,Mishake Muyongo,,Mishake Muyongo,,,,,,,,,,,,,/m/02pl397,,,,,,,,,,"Муйонго, Мишаке","Муйонго, Мишаке",,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Mishake_Muyongo_(1976).jpg,,,,,,,,,,,,,,,,Category:Mishake Muyongo,,,,,Mishake Muyongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mishake Muyongo,,,,,,politician,,,,,,,Mishake Muyongo,,,,
Q2243275,Dirk Mudge,Dirk Mudge,Dirk Mudge,Dirk Mudge,,,Dirk Mudge,Dirk Mudge,Dirk Mudge,male,1928-01-16,Dirk,Dirk Mudge,,Dirk Mudge,Dirk Mudge,Dirk Mudge,Dirk Mudge,Dirk Mudge,,,,,Dirk Mudge,,,,/m/061211,,,,,,,,Dirk Mudge,,"Мадж, Дирк","Мадж, Дирк",Dirk Mudge,,,,,Dirk Mudge,,,,,,,,,,,,,,,,,,,,Dirk Mudge,,,,,,Dirk Mudge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirk Mudge,131629,,,,,politician,,,,,,,Dirk Mudge,,,,Դիրկ Մաջ
Q2482471,Ben Ulenga,Ben Ulenga,Ben Ulenga,Ben Ulenga,,,Ben Ulenga,Ben Ulenga,Ben Ulenga,male,1952-06-22,Ben,Ben Ulenga,,Ben Ulenga,,,,,,,Ben Ulenga,Ben Ulenga,,,,,/m/0b46d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university teacher,,,,,,,Ben Ulenga,,,,
Q2695480,Niko Bessinger,Niko Bessinger,Niko Bessinger,Niko Bessinger,,,Niko Bessinger,Niko Bessinger,Niko Bessinger,male,1948-06-12,Niko,Nico Bessinger,,Niko Bessinger,,,,,,,,,,,,,/m/0g9yzvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niko Bessinger,2008-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niko Bessinger,,,,,,politician,,,,,,,Niko Bessinger,,,,
Q279803,Rosalia Nghidinwa,Rosalia Nghidinwa,Rosalia Nghidinwa,Rosalia Nghidinwa,,,Rosalia Nghidinwa,Rosalia Nghidinwa,Rosalia Nghidinwa,female,1952-10-26,Rosalia,Rosalia Nghidinwa,,Rosalia Nghidinwa,,,,,,,,,Rosalia Nghidinwa,,,,/m/053b12l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosalia Nghidinwa,,,,,,politician,,,,,,,Rosalia Nghidinwa,,Rosalia Nghidinwa,Rosalia Nghidinwa,
Q287100,Nangolo Mbumba,Nangolo Mbumba,Nangolo Mbumba,Nangolo Mbumba,,,Nangolo Mbumba,Nangolo Mbumba,Nangolo Mbumba,male,1941-08-15,,Nangolo Mbumba,,Nangolo Mbumba,,,,,,,,,,,74009039,,/m/03y01cw,050222279,0000 0000 6942 8671,111873134,13519968x,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/52/Nangolo_Mbumba.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,108466434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nangolo Mbumba,,,,,,politician,,,,,,,Nangolo Mbumba,,,,
Q28858770,,,Bernadus Swartbooi,Bernadus Swartbooi,,,Bernadus Swartbooi,,Bernadus Swartbooi,male,,,Bernadus Swartbooi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Bernadus Swartbooi,,,,
Q3078612,Jan de Wet,Jan de Wet,Jan de Wet,Jan de Wet,,,Jan de Wet,,Jan de Wet,male,1927-11-10,Jan,Jan de Wet,,,,,,,,,Jan de Wet,Jan de Wet,Jan de Wet,,,,/m/04jd951,,,,,,,,,,,,Jan de Wet,,,,,,,,,,,,,,,,Jan de Wet,2011-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.jandewet.com/,,,,,,,,politician,,,,,,,Jan de Wet,,,,
Q327822,Herman Toivo ya Toivo,Herman Toivo ya Toivo,Andimba Toivo ya Toivo,Andimba Toivo ya Toivo,,,Andimba Toivo ya Toivo,Andimba Toivo ya Toivo,Andimba Toivo ya Toivo,male,1924-08-22,Herman,Andimba Toivo ya Toivo,,Andimba Toivo ya Toivo,,,,,Herman Andimba Toivo ya Toivo,Herman Andimba Toivo ya Toivo,,,,,33501374,n86864833,/m/09f6gr,,,,,,,,,,,,Andimba Toivo ya Toivo,,,,,,,,,,,,,安德巴·托沃·亞·托沃,,,,2017-06-09,,,,,,,,,,,,,,Andimba Toivo ya Toivo,,,,,,,,,,アンディンバ・トイヴォ・ヤ・トイヴォ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758597,Andimba Toivo ya Toivo,,,,,,politician,,,,,,,Andimba Toivo ya Toivo,,,,
Q3324748,Moses ǁGaroëb,Moses Garoëb,Moses ǁGaroëb,Moses ǁGaroëb,,,Moses ǁGaroëb,,Moses ǁGaroëb,male,1942-04-14,Moses,Moses ǁGaroëb,,,,,,,,,,,Moses Garoëb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Moses ǁGaroëb,,,,
