id,name__ar,name__de,name__ce,name__fr,name__en,name__nl,name,wikipedia__ar,wikipedia__ce,wikipedia__de,gender,occupation,identifier__VIAF,identifier__BNF,identifier__SUDOC,birth_date,death_date,original_wikiname,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__es,name__zh,name__nb,name__nn,name__cy,name__hu,name__eu,name__ja,wikipedia__en,wikipedia__pt,wikipedia__zh,identifier__freebase,given_name,name__fa,name__he,wikipedia__fa,image,name__ca,name__tr,name__it,name__zh_cn,wikipedia__ca,wikipedia__es,wikipedia__fr,wikipedia__it,wikipedia__nl,wikipedia__tr,name__hy,wikipedia__hy,wikipedia__hywikisource,identifier__ISNI,name__ka,wikipedia__ka,identifier__google_knowledge,name__ru,name__id,name__pl,wikipedia__id,wikipedia__pl,wikipedia__ru,name__ko,name__yo,name__ms,name__fi,name__gl,name__el,name__bg,name__sv,wikipedia__bg,wikipedia__el,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__ko,wikipedia__ms,wikipedia__sv,wikipedia__yo,name__lb,name__jv,name__qu,name__gd,name__bs,name__ta,name__et,name__sq,name__bcl,name__pnb,name__eo,name__is,name__yi,name__new,name__sr,name__uk,name__be_tarask,name__io,name__hr,name__az,name__da,name__kk,name__arz,name__be,name__lv,name__ml,name__vi,name__yue,name__sh,name__sa,name__hi,name__sk,name__ku,name__ro,name__th,name__la,name__sl,name__cs,name__mr,name__ur,name__war,name__ga,name__mg,name__ckb,name__li,name__uz,name__pa,name__bn,name__sco,name__si,name__ky,name__lrc,name__br,name__sw,wikipedia__arwikiquote,wikipedia__arwikisource,wikipedia__arz,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__fawikiquote,wikipedia__ga,wikipedia__gd,wikipedia__hewikiquote,wikipedia__hi,wikipedia__hr,wikipedia__io,wikipedia__is,wikipedia__itwikiquote,wikipedia__ja,wikipedia__jv,wikipedia__kk,wikipedia__ku,wikipedia__ky,wikipedia__la,wikipedia__lb,wikipedia__liwikiquote,wikipedia__lrc,wikipedia__lv,wikipedia__mg,wikipedia__ml,wikipedia__mr,wikipedia__new,wikipedia__nn,wikipedia__no,wikipedia__pa,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__ptwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__ruwikiquote,wikipedia__sa,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__si,wikipedia__sk,wikipedia__sl,wikipedia__sq,wikipedia__sr,wikipedia__srwikinews,wikipedia__sw,wikipedia__ta,wikipedia__th,wikipedia__uk,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__war,wikipedia__yi,wikipedia__zh_yue,identifier__GND,identifier__LCAuth,identifier__IMDB,identifier__NDL,identifier__NLA,identifier__MusicBrainz,identifier__OLID,identifier__NKC,website,identifier__SELIBR,identifier__BNE,identifier__NTA,identifier__NNDB,identifier__AlloCine,identifier__Munzinger,identifier__EGAXA,identifier__NLAtrove,identifier__N6I,identifier__discogs,identifier__FAST,identifier__kinopoisk,identifier__wikitree,identifier__nobel_prize,identifier__quora,identifier__snac,name__mzn,name__pt_br,wikipedia__mzn,identifier__GNC,name__zh_sg,name__zh_tw,identifier__bigenc_ru,identifier__persee,identifier__Britannica,wikipedia__af,name__af,wikipedia__fo,wikipedia__ast,name__ast,name__fo,wikipedia__cy,name__aeb_arab,identifier__CONOR,wikipedia__an,wikipedia__lfn,name__lfn,name__an,wikipedia__tl,identifier__GTAA,name__tl,wikipedia__wuu,wikipedia__ne,name__wuu,name__ne,wikipedia__nov,name__nov
Q16128223,فيضي الأتاسي,,,,,,فيضي الأتاسي,فيضي الأتاسي,,,male,politician,,,,1899,1982,فيضي الأتاسي,,,,,,,,,,,,,,,,,,فیضی الاتاسی,,فیضی الاتاسی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,فيضي الأتاسي,,,,,,,,,,,,,,
Q16128391,مقحم بن تركي بن جدعان ال مهيد,,,,,,مقحم بن تركي بن جدعان ال مهيد,مقحم بن تركي بن جدعان ال مهيد,,,male,politician,,,,,1960,مقحم بن تركي بن جدعان ال مهيد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,مقحم بن تركي بن جدعان ال مهيد,,,,,,,,,,,,,,
Q16735226,,,,,Khalil al-Rifaei,,Khalil al-Rifaei,,,,male,politician,,,,,,Khalil al-Rifaei,,,,,,,,,,,,,Khalil al-Rifaei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16751286,حسان النوري,,,Hassan el-Nouri,Hassan al-Nouri,Hassan al-Nouri,حسان النوري,حسان النوري,,,male,politician,,,,1960-02-09,,حسان النوري,,,,,Hassan al-Nouri,哈桑·阿卜杜拉·努里,,,,,,,Hassan al-Nouri,,哈桑·阿卜杜拉·努里,,Hassan,حسان عبدالله نوری,,حسان عبدالله نوری,https://upload.wikimedia.org/wikipedia/commons/3/34/Hassan_al-Nouri.jpg,,,,,,Hassan al-Nouri,Hassan el-Nouri,,,,,,,,,,,Хасан Абдель Илляхи ан-Нури,Hassan al-Nouri,,Hassan al-Nouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حسان النوري,,,,,,,,,,,,,,
Q16751558,ماهر حجار,Maher Hajjar,,Maher el-Hajjar,Maher Hajjar,Maher Hajjar,ماهر حجار,ماهر حجار,,,male,politician,,,,1971,,Maher Hajjar,,,,,Maher Hajjar,马赫尔·哈贾尔,,,,,,,Maher Hajjar,,马赫尔·哈贾尔,,,ماهر عبدالحفیظ حجار,,ماهر عبدالحفیظ حجار,,,,,,,Maher Hajjar,Maher el-Hajjar,,,,,,,,,,,Махер Абдель Хафиз Хаджар,,,,,Махер Абдель Хафиз Хаджар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ماهر حجار,,,,,,,,,,,,,,
Q169507,رياض سيف,Riad Seif,,Riad Seif,Riad Seif,Riad Seif,رياض سيف,رياض سيف,,Riad Seif,male,entrepreneur,8489151965306900470008,,,1946-11-25,,Riad Seif,,利雅得·赛义夫,利雅得·賽義夫,利雅得·賽義夫,Riad Seif,利雅得·赛义夫,,,,Riad Seif,,,Riad Seif,,利雅得·赛义夫,/m/05zsnrx,Riad,ریاض سیف,,ریاض سیف,,,Riyad Seyf,,利雅得·赛义夫,,,Riad Seïf,,,Riyad Seyf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115305289X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,利雅得·赛义夫,利雅得·賽義夫,,,,,,,,,,,رياض سيف,,,,,,,,,,,,,,
Q169834,أحمد الحسن الخطيب,Ahmed al-Chatib,,Ahmed Khatib,Ahmad al-Khatib,Ahmed al-Katib,أحمد الحسن الخطيب,أحمد الحسن الخطيب,,Ahmed al-Chatib,male,politician,,,,1933,1982,Ahmad al-Khatib,,,,,Ahmad al-Khatib,艾哈邁德·哈提卜,,,,Ahmad al-Khatib,,アフマド・アル＝ハティーブ,Ahmad al-Khatib,,,/m/0b32l3,Ahmed,احمد الخطیب,,احمد الخطیب,https://upload.wikimedia.org/wikipedia/commons/d/d8/Ahmed_al-Khatib.jpg,Ahmed Khatib,Ahmed el Hatib,Ahmad al-Khatib,艾哈迈德·哈提卜,Ahmed Khatib,Ahmad al-Khatib,Ahmed Khatib,Ahmad al-Khatib,Ahmed al-Katib,Ahmed el Hatib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmad al-Khatib,Ahmad al-Khatib,,,أحمد الحسن الخطيب,,,,,,,118579,,,,,,,
Q169841,ناظم القدسي,Nazem Koudsi,,Nazem Koudsi,Nazim al-Kudsi,Nazim al-Kudsi,ناظم القدسي,ناظم القدسي,,Nazim al-Qudsi,male,diplomat,122372778,,115467351,1906-02-14,1998-02-06,Nazim al-Kudsi,Nazim al-Kudsi,,,,Nazim al-Kudsi,,,,,,,ナーズィム・アル＝クドゥシー,Nazim al-Kudsi,Nazim al-Kudsi,,/m/04gz61,Nazim,ناظم القدسی,נאזם אל-קודסי,ناظم قدسی,https://upload.wikimedia.org/wikipedia/commons/b/b9/Nazim_al=Kudsi.jpg,Nazim al-Kudsi,Nazım el Kutsi,Nazim al-Kudsi,,Nazim al-Kudsi,Nazim al-Kudsi,Nazem Koudsi,,,,,,,0000 0000 8075 6801,,,,Назим аль-Кудси,Nazim al-Kudsi,Nazim al-Kudsi,Nazim al-Kudsi,Nazim al-Kudsi,Назим аль-Кудси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nazim al-Kudsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Nazim al-Kudsi,,,,,,,,,,,,,Nazim al-Kudsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173277047,,,,,,,,,,,,,,ناظم القدسی,Nazim al-Kudsi,ناظم القدسی,,,,,,biography/Nazim-al-Kudsi,,,,Nazim al-Kudsi,Nazim al-Kudsi,,,ناظم القدسي,,,,,,,,,,,,,,
Q1710264,سعد الله الجابري,Saadallah al-Dschabiri,,Saʿdallāh al Ǧābirī,Saadallah al-Jabiri,Saʿdallāh al Ǧābirī,سعد الله الجابري,سعد الله الجابري,,Sa'd Allah al-Dschabiri,male,diplomat,48766418,,,1893,1947-06-01,Saadallah al-Jabiri,,,,,Saadallah al-Jabiri,,,,,,,,Saadallah al-Jabiri,,,/m/0479gg9,,سعدالله الجابری,,سعدالله الجابری,https://upload.wikimedia.org/wikipedia/commons/0/07/Saadallah_al-Jabiri.jpg,,,,,,,Saadallah al-Djabiri,,,,,,,0000 0000 5164 5950,,,,Саадаллах аль-Джабири,,Sad Allah al-Dżabiri,,Sad Allah al-Dżabiri,Саадаллах аль-Джабири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,সাদাল্লাহ আল-জাবিরি,,,,,,,,,,,,,,সাদাল্লাহ আল-জাবিরি,,,,Category:Saadallah al-Jabiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020770988,no00018277,,,,,,,,,,,,,,,,,,1554539,,,,,,,,,,,,,,,,,,,,,,سعد الله الجابري,,,,,,,,,,,,,,
Q1710270,جميل مردم بك,Dschamil Mardam,,Jamil Mardam Bey,Jamil Mardam Bey,Jamil Mardam Bey,جميل مردم بك,جميل مردم بك,,Dschamil Mardam,male,politician,51776284,124105430,033216770,1894,1960-03-30,Jamil Mardam Bey,,,,,Jamil Mardam Bey,,,,,Jamil Mardam Bey,,,Jamil Mardam Bey,,,/m/04n3v9y,Jamil,جمیل مردم بیک,ג'מיל מרדם,جمیل مردم بیک,https://upload.wikimedia.org/wikipedia/commons/3/3b/JamilMardamBeyPortrait.jpg,Jamil Mardam Bey,Cemil Merdam Bey,Jamil Mardam Bey,,Jamil Mardam Bey,,Jamil Mardam Bey,Jamil Mardam Bey,,Cemil Merdam Bey,,,,0000 0000 8130 2238,,,,Джамиль Мардам Бей,Jamil Mardam Bey,Dżamil Mardam,Jamil Mardam Bey,Dżamil Mardam,Джамиль Мардам-Бей,,,,,,,,,,,,,ג'מיל מרדם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Jamil Mardam Bey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n94101740,,,,,,,,,,,,,,003622188,,,,346712,,,,,,,,,,,,,,,,,,,,,,جميل مردم بك,,,,,,,,,,,,,,
Q17344738,دهام بن الهادي بن العاصي الجربا,,,,,,دهام بن الهادي بن العاصي الجربا,دهام بن الهادي بن العاصي الجربا,,,male,politician,,,,,1976,دهام بن الهادي بن العاصي الجربا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,دهام بن الهادي بن العاصي الجربا,,,,,,,,,,,,,,
Q1751022,صبري العسلي,Sabri al-Asali,,Sabri al Assali,Sabri al-Asali,Sabri al-Asali,صبري العسلي,صبري العسلي,,Sabri al-Asali,male,politician,,,,1903,1976-04-13,Sabri al-Asali,,,,,Sabri al-Asali,,,,,Sabri al-Asali,,,Sabri al-Asali,,,/m/05mz0r7,,صبری العسلی,,صبری العسلی,https://upload.wikimedia.org/wikipedia/commons/f/fc/Sabri_al-Assali.jpg,,,,,,,Sabri al Assali,,,,,,,,,,,Сабри Асали,Sabri al-Assali,Sabri al-Asali,Sabri al-Assali,Sabri al-Asali,"Асали, Сабри",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Sabri al-Asali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,صبري العسلي,,,,,,,,,,,,,,
