id,name__en,name__af,name__an,name__br,name__bs,name__ca,name__ceb,name__cs,name__cy,name__da,name__de,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__ga,name__gl,name__hr,name__hu,name__is,name__it,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__nl,name__nn,name__pl,name__pms,name__pt,name__ro,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__wa,name__nb,name__gsw,name,wikipedia__en,gender,birth_date,death_date,given_name,original_wikiname,occupation,identifier__ISNI,identifier__VIAF,identifier__LCAuth,identifier__BNF,identifier__NPG,identifier__FAST,image,wikipedia__es,identifier__wikitree,name__ru,name__zh_hant,name__zh_cn,wikipedia__de,wikipedia__fr,identifier__freebase,website,name__zh,wikipedia__it,wikipedia__nl,wikipedia__pl,wikipedia__ru,name__de_ch,name__el,name__en_ca,name__en_gb,wikipedia__el,name__io,name__sh,wikipedia__io,wikipedia__pt,wikipedia__sh,family_name,name__ar,wikipedia__ar,wikipedia__tr,name__ja,wikipedia__zh,identifier__SUDOC,name__aa,name__ace,name__ak,name__ang,name__ast,name__ay,name__az,name__bar,name__bcl,name__bi,name__bjn,name__bm,name__cbk_zam,name__cdo,name__ch,name__cho,name__chy,name__co,name__cr,name__crh_latn,name__csb,name__de_at,name__diq,name__dsb,name__dtp,name__ee,name__egl,name__eml,name__ext,name__ff,name__fit,name__fj,name__fo,name__frc,name__frp,name__frr,name__fur,name__fy,name__gag,name__gd,name__gn,name__gv,name__ha,name__hak,name__hif_latn,name__hil,name__ho,name__hsb,name__ht,name__hz,name__ia,name__id,name__ie,name__ig,name__ik,name__ike_latn,name__ilo,name__jam,name__jbo,name__jv,name__kaa,name__kab,name__kg,name__ki,name__kk_latn,name__kk_tr,name__ksh,name__ku_latn,name__lad,name__li,name__lij,name__lv,name__mg,name__min,name__ms,name__nah,name__nap,name__nrm,name__oc,name__pcd,name__pt_br,name__qu,name__rm,name__rup,name__sc,name__scn,name__sco,name__sn,name__sr_el,name__su,name__sw,name__tl,name__tpi,name__uz,name__vi,name__vls,name__vo,name__war,name__wo,name__zea,name__zu,identifier__Britannica,wikipedia__oc
Q23772603,Marc Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc Bean,,,,,,,,,,,,,,,Marc Bean,Marc Bean,male,1974-02-19,,Marc,Marc Bean,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Marc_Bean_PC.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2616239,Randy Horton,,,,,,,,,Randy Horton,Randy Horton,,Randy Horton,,,,Randy Horton,,,,Randy Horton,,Randy Horton,,,,,,Randy Horton,Randy Horton,Randy Horton,,,,,,,Randy Horton,,,,Randy Horton,,Randy Horton,Randy Horton,male,1945-01-22,,Randy,Randy Horton,association football player,,,,,,,,,,"Хортон, Рэнди",,,,Randy Horton,/m/025y7xs,,蘭迪·霍頓,Randy Horton,Randy Horton,Randy Horton,"Хортон, Рэнди",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26213612,Ann Cartwright DeCouto,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ann Cartwright DeCouto,,,,,,,,,,,,,,,Ann Cartwright DeCouto,Ann Cartwright DeCouto,female,1941,2016-07-01,,Ann Cartwright DeCouto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28497658,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,male,1939-11-27,2017-05-15,David,David Saul,politician,,,,,,,,,,,,,,David Saul,,,,,,,,David Saul,,David Saul,David Saul,,David Saul,David Saul,,,,Saul,,,,,,,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,David Saul,,
Q3082392,Paula Cox,,,,,,,,,,Paula Cox,,Paula Cox,,,,Paula Cox,,,,Paula Cox,,,,,,,,Paula Cox,,,,,,,,,,Paula Cox,,,,,Paula Cox,Paula Cox,female,1964,,Paula,Paula Cox,lawyer,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Paula_Cox_2010_(cropped).jpg,,,,寶拉·考克斯,宝拉·考克斯,Paula Cox,Paula Cox,/m/0ds7z3c,,,,,,,,Πόλα Κοξ,,,Πόλα Κοξ,,,,,,,بولا كوكس,بولا كوكس,Paula Cox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3182553,John Swan,,,,,,,,,John Swan,John Swan,,John Swan,,,,John Swan,,,,John Swan,,,,,,,,John Swan,John Swan,,,,,,,,John Swan,,,,John Swan,,John Swan,John Swan (Bermudian politician),male,1935-07-03,,John,John Swan (Bermudian politician),politician,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bb/John_Swan.jpg,,,,約翰·斯萬,约翰·斯万,John William David Swan,John Swan,/m/03fcwk,http://sirjohnswan.webs.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/John-William-David-Swan,
Q33120852,E. David Burt,,,,,Edward David Burt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. David Burt,Edward David Burt,male,,,,Edward David Burt,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Burt,,,,,,,,,,,,,,,,,,,,,,,,David Burt
Q5337230,Edgar F. Gordon,,,,,,,,,,,,Edgar F. Gordon,,,,,,,,,,,,,,,,Edgar F. Gordon,,,,,,,,,,,,,,,Edgar F. Gordon,Edgar F. Gordon,male,1895-03-20,1955-04-20,Edgar,Edgar F. Gordon,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5345044,Edward Richards,,,,,,,,,,Edward Richards,,,,,,Edward Richards,,,,,,,,,,,,Edward Richards,,,,,,,,,,,,,,,Edward Richards,Edward Richards,male,1908-10-04,1991,Edward,Edward Richards,lawyer,,,,,,,,,,"Ричардс, Эдвард",愛德華·理查茲,爱德华·理查兹,,Edward Richards,,,,,,,"Ричардс, Эдвард",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5560863,Gilbert Cooper,,,,,,,,,,Gilbert Cooper,,,,,,,,,,,,Gilbert Cooper,,,,,,Gilbert Cooper,,,,,,,,,,,,,,,Gilbert Cooper,Gilbert Cooper,male,1903-07-31,1989-05-29,Gilbert,Gilbert Cooper,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5592941,Graham Ingham,,,,,,,,,,Graham Ingham,,Graham Ingham,,,,Graham Ingham,,,,,,Graham Ingham,,,,,,Graham Ingham,,,,,,,,,,,,,,,Graham Ingham,Graham Ingham,male,1851-01-30,1926-04-09,Graham,Graham Ingham,priest,0000 0000 8154 1829,74010677,nr94008652,135250649,mp132826,337511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5729335,Henry Tucker,,,,,,,,,,Henry Tucker,,,,,,Henry Tucker,,,,,,,,,,,,Henry Tucker,,,,,,,,,,,,,,,Henry Tucker,Henry Tucker (Bermudian politician),male,1903-03-14,1986-01-09,Henry,Henry Tucker (Bermudian politician),stockbroker,,4672894,,,,,,,,"Такер, Генри",,,,Henry Tucker,,,亨利·塔克,,,,"Такер, Генри",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6178578,Jennifer M. Smith,,,,,,,,,,Jennifer M. Smith,,Jennifer M. Smith,,,,Jennifer M. Smith,,,,Jennifer M. Smith,,,,,,,,Jennifer M. Smith,,,,,,,,,,,,,,,Jennifer M. Smith,Jennifer M. Smith,female,1947,,Jennifer,Jennifer M. Smith,politician,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/J_M_Smith.png,,,,,,Jennifer M. Smith,Jennifer M. Smith,,,珍妮弗·史密斯,,,,,,,,,,,,,,,Smith,جينيفر سميث,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6409462,Kim Swan,,,,,,,,,,Kim Swan,,Kim Swan,,,,,,,,Kim Swan,,,,,,,,Kim Swan,,,,,,,,,,,,,,,Kim Swan,Kim Swan,male,1957-10-04,,,Kim Swan,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6668221,Lois Browne-Evans,,,,,,,,,,,,,,,,Lois Browne-Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,Lois Browne-Evans,Lois Browne-Evans,female,1927-06-01,2007-05-29,Lois,Lois Browne-Evans,,,232537301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7025038,Nicholas Bayard Dill,,,,,,,,,,Nicholas Bayard Dill,,Nicholas Bayard Dill,,,,Nicholas Bayard Dill,,,,,,,,,,,,Nicholas Bayard Dill,,,,,,,,,,,,,,,Nicholas Bayard Dill,Nicholas Bayard Dill,male,1905-12-28,1993-09-10,Nicholas,Nicholas Bayard Dill,engineer,,,,,,,,Nicholas Bayard Dill,Dill-774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7287829,Ralph Marshall,,,,,,,,,,Ralph Marshall,,,,,,Ralph Marshall,,,,Ralph Marshall,,Ralph Marshall,,,,,,,,,,,,,,,,,,,,,Ralph Marshall,Ralph Marshall,male,1927-05-04,2012-09-18,Ralph,Ralph Marshall,civil engineer,,,,,,,,,,Ральф Маршалл,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7308649,Reginald Conyers,,,,,,,,,,Reginald Conyers,,,,,,Reginald Conyers,,,,,,,,,,,,Reginald Conyers,,,,,,,,,,,,,,,Reginald Conyers,Reginald Conyers,male,1879-09-03,1948-07-26,Reginald,Reginald Conyers,cricketer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8004288,William Alexander Scott,,,,,,,,,,William Alexander Scott,,William Alexander Scott,,,,William Alexander Scott,,,,,,,,,,,,William Alexander Scott,,,,,,,,,,,,,,,William Alexander Scott,Alex Scott (politician),male,1940,,William,Alex Scott (politician),,,54861,,12185725r,,,,,,,威廉·亞歷山大·斯科特,威廉·亚历山大·斯科特,,Alex Scott (Bermudes),,,亞歷克斯·斯科特,,,,,,,,,,William Alexander Scott,,William Alexander Scott,,,,,,,,,030443865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
