id,name__en,name__ja,name__de,name__fr,name__nl,name,wikipedia__en,wikipedia__ja,gender,occupation,birth_date,death_date,original_wikiname,name__pt,name__pl,name__ru,name__ko,name__es,name__th,name__oc,name__yo,name__fi,name__to,name__et,name__id,name__cs,name__el,name__io,name__sh,name__da,name__nb,name__nn,name__sv,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__id,wikipedia__io,wikipedia__ko,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__th,wikipedia__to,wikipedia__yo,image,identifier__VIAF,identifier__LCAuth,identifier__freebase,name__cy,wikipedia__nl,name__tr,name__hr,name__hu,name__zh,wikipedia__hr,wikipedia__tr,name__it,wikipedia__commons,wikipedia__it,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__he,name__gl,name__sr_el,name__sr_ec,name__ro,name__ca,name__uk,name__la,name__sr,name__sco,name__fa,name__be,name__ur,name__ar,wikipedia__ar,wikipedia__be,wikipedia__ca,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__la,wikipedia__lb,wikipedia__nn,wikipedia__ro,wikipedia__sco,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__uk,wikipedia__ur,wikipedia__zh,identifier__IMDB,name__en_ca,name__en_gb,name__ast,wikipedia__ast,identifier__ISNI,identifier__NLA,given_name,identifier__NTA,identifier__Oxforddnb,identifier__AuDB,identifier__FAST,identifier__snac,name__eu,name__ms,name__lt,name__na,wikipedia__eu,wikipedia__lt,wikipedia__ms,wikipedia__na,wikipedia__plwikiquote,identifier__GND,identifier__BNF,identifier__NLI,identifier__Britannica,email,identifier__NNDB
Q273739,Tāufaʻāhau Tupou IV,タウファアハウ・ツポウ4世,Taufaʻahau Tupou IV.,Taufa'ahau Tupou IV,Taufa'ahau Tupou IV,Tāufaʻāhau Tupou IV,Tāufaʻāhau Tupou IV,タウファアハウ・トゥポウ4世,male,,1918-07-04,2006-09-10,Tāufaʻāhau Tupou IV,Taufa'ahau Tupou IV,Taufa'ahau Tupou IV,Тауфа’ахау Тупоу IV,타우파하우 투포우 4세,Taufa'ahau Tupou IV,สมเด็จพระราชาธิบดีเตาฟาอาเฮา ตูโปอูที่ 4 แห่งตองงา,,,Taufa'ahau Tupou IV,Tāufaʻāhau Tupou IV,Tāufa'āhau Tupou IV,Taufa'ahau Tupou IV,,Ταουφααχάου Τουπόου Δ',Taufa'ahau Tupou 4ma,Taufa'ahau Tupou IV.,Taufa'ahau Tupou 4. af Tonga,Tāufaʻāhau Tupou IV,,Taufa'ahau Tupou IV,,Taufa'ahau Tupou 4. af Tonga,Taufaʻahau Tupou IV.,Ταουφααχάου Τουπόου Δ',Taufa'ahau Tupou IV,Tāufa'āhau Tupou IV,Taufa’ahau Tupou IV,Taufa'ahau Tupou IV,Taufa'ahau Tupou IV,Taufa'ahau Tupou la 4ma,타우파하우 투포우 4세,,,Taufaʻahau Tupou IV,Taufa'ahau Tupou IV,Тауфа’ахау Тупоу IV,Taufa'ahau Tupou IV.,สมเด็จพระราชาธิบดีเตาฟาอาเฮา ตูโปอูที่ 4 แห่งตองงา,Tāufaʻāhau Tupou IV,,https://upload.wikimedia.org/wikipedia/commons/3/35/Crown_Prince_Taufa’ahau.jpg,98253920,n85008640,/m/022dl4,Tāufaʻāhau Tupou IV,Taufa'ahau Tupou IV,,,IV. Tupou Taufaʻahau tongai király,陶法阿豪·圖普四世,,,Taufa'ahau Tupou IV,Category:Tāufaʻāhau Tupou IV,Taufa'ahau Tupou IV,,陶法阿豪·图普四世,陶法阿豪·圖普四世,陶法阿豪·圖普四世,陶法阿豪·图普四世,陶法阿豪·图普四世,陶法阿豪·圖普四世,טאופאאהאו טופוו הרביעי,Taufaʻāhau Tupou IV,,,,,,Tāufa'ahau Tupou IV,,,توفا آهو توپو چهارم,,,تاوفآهاو توبو الرابع,تاوفآهاو توبو الرابع,,,توفا آهو توپو چهارم,Taufaʻāhau Tupou IV,טאופאאהאו טופוו הרביעי,IV. Tupou Taufaʻahau tongai király,Tāufa'ahau Tupou IV,,,,,,,Taufa'ahau Tupou IV,,,陶法阿豪·圖普四世,,,,,,,,,119811839,,,169432,w6x374k5,Taufa'ahau Tupou IV.a,Taufa'ahau Tupou IV,Taufa'ahau Tupou IV,Tāufaʻāhau Tupou IV,Taufa'ahau Tupou IV.a,Taufa'ahau Tupou IV,Taufa'ahau Tupou IV,Tāufaʻāhau Tupou IV,Taufa'ahau Tupou IV,132679701,12453518b,000130070,biography/Taufaahau-Tupou-IV,,357/000119000
Q28910910,‘Akosita Lavulavu,,,,‘Akosita Lavulavu,‘Akosita Lavulavu,,,female,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q319953,Feleti Sevele,フェレティ・セベレ,Feleti Sevele,Feleti Sevele,Feleti Sevele,Feleti Sevele,Feleti Sevele,フェレティ・セベレ,male,economist,1944-07-07,,Feleti Sevele,Feleti Sevele,Feleti Sevele,"Севеле, Фелети",펠레티 세벨레,Feleti Sevele,เฟเลติ เซเวเล,Feleti Sevele,Feleti Sevele,Feleti Sevele,Feleti Vakaʻuta Sevele,Feleti Sevele,Feleti Sevele,Feleti Sevele,Φελέτι Σεβέλε,Feleti Sevele,Feleti Sevele,Feleti Sevele,Feleti Sevele,Feleti Vakaʻuta Sevele,Feleti Vakaʻuta Sevele,Feleti Sevele,Feleti Sevele,Feleti Sevele,Φελέτι Σεβέλε,Feleti Sevele,Feleti Sevele,Feleti Sevele,Feleti Sevele,Feleti Sevele,Feleti Sevele,펠레티 세벨레,Feleti Sevele,Feleti Sevele,Feleti Sevele,Feleti Sevele,"Севеле, Фелети",Feleti Sevele,เฟเลติ เซเวเล,Feleti Vakaʻuta Sevele,Feleti Sevele,https://upload.wikimedia.org/wikipedia/commons/a/a9/Feleti_Sevele_(crop).jpg,13664537,n82138466,/m/0bfzgr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3470867,Samiu Vaipulu,,Samiu Vaipulu,Samiu Vaipulu,Samiu Vaipulu,Samiu Vaipulu,Samiu Vaipulu,,male,politician,1953-12,,Samiu Vaipulu,,,,,Samiu Vaipulu,,,,,,,,,,,,Samiu Vaipulu,Samiu Vaipulu,Samiu Vaipulu,Samiu Vaipulu,,,,,,,,Samiu Vaipulu,,,,,,,,,,,,,,,,,,,,,Samiu Vaipulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3485136,Maʻafu Tukuiʻaulahi,,Maʻafu Tukuiʻaulahi,Siosaia Lausiʻi,,Maʻafu Tukuiʻaulahi,Maʻafu Tukuiʻaulahi,,male,,1955,,Maʻafu Tukuiʻaulahi,,,,,,,,,,Siosaia Lausiʻi,,,,,,,,,,,,,,,,,,Siosaia Lausiʻi,,,,,,,,,,,Siosaia Lausiʻi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3519296,Tēvita ʻUnga,,Tēvita ʻUnga,Tevita ʻUnga,Tēvita ʻUnga,Tēvita ʻUnga,Tēvita ʻUnga,,male,politician,1824,1879-12-18,Tēvita ʻUnga,,Tevita Unga,Тевита Унга,,,,,,,Tēvita ʻUnga,,,,,,,Tēvita ʻUnga,Tēvita ʻUnga,Tēvita ʻUnga,Tēvita ʻUnga,,,,,,,,Tevita ʻUnga,,,,,,Tevita Unga,,Тевита Унга,,,Tēvita ʻUnga,,https://upload.wikimedia.org/wikipedia/commons/a/af/Tēvita_ʻUnga.jpg,,,,,,,,,,,,,Category:Tēvita ʻUnga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3567558,Malakai Fakatoufifita,,Malakai Fakatoufifita,,Malakai Fakatoufifita,Malakai Fakatoufifita,Malakai Fakatoufifita,,male,,,,Malakai Fakatoufifita,,,,,,,,,,Malakai Fakatoufifita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malakai Fakatoufifita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3594634,ʻAkilisi Pohiva,アキリシ・ポヒヴァ,ʻAkilisi Pohiva,ʻAkilisi Pohiva,ʻAkilisi Pōhiva,ʻAkilisi Pohiva,ʻAkilisi Pōhiva,,male,politician,1941-04-07,,ʻAkilisi Pōhiva,ʻAkilisi Pōhiva,'Akilisi Pohiva,ʻАкилиси Похива,,Akilisi Pōhiva,,‘Akilisi Pohiva,,ʻAkilisi Pōhiva,,,,,Ακιλίσι Ποχίβα,ʻAkilisi Pohiva,,ʻAkilisi Pohiva,ʻAkilisi Pohiva,ʻAkilisi Pohiva,ʻAkilisi Pohiva,,,ʻAkilisi Pohiva,Ακιλίσι Ποχίβα,Akilisi Pōhiva,,ʻAkilisi Pōhiva,ʻAkilisi Pohiva,,ʻAkilisi Pohiva,,,‘Akilisi Pohiva,ʻAkilisi Pohiva,ʻAkilisi Pōhiva,"Похива, ʻАкилиси",,,,,https://upload.wikimedia.org/wikipedia/commons/a/a3/Akilisi_Pohiva_April_2015.jpg,,,/m/043s6pk,,,Akilisi Pohiva,,Akilisi Pōhiva,阿基利西·波希瓦,,ʻAkilisi Pōhiva,,Category:ʻAkilisi Pōhiva,,,,,,,,,,,,,,ʻAkilisi Pohiva,Акілісі Погіва,Achilles Pōhiva,,,,,,,,,ʻAkilisi Pohiva,,,,,Achilles Pōhiva,,,,,,,,Акілісі Погіва,,阿基利西·波希瓦,,ʻAkilisi Pohiva,ʻAkilisi Pohiva,ʻAkilisi Pohiva,ʻAkilisi Pohiva,,,,,,,,,,,,,,,,,,,,,,,
Q3594635,ʻAlipate Tuʻivanuavou Vaea,,ʻAlipate Tuʻivanuavou Vaea,ʻAlipate Tuʻivanuavou Vaea,,ʻAlipate Tuʻivanuavou Vaea,ʻAlipate Tuʻivanuavou Vaea,,male,,1957-09-19,,ʻAlipate Tuʻivanuavou Vaea,,,,,,,,,,,,,,,,,ʻAlipate Tuʻivanuavou Vaea,ʻAlipate Tuʻivanuavou Vaea,ʻAlipate Tuʻivanuavou Vaea,ʻAlipate Tuʻivanuavou Vaea,,,,,,,,ʻAlipate Tuʻivanuavou Vaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3711192,Sione Laumanuʻuli Luani,,Sione Laumanuʻuli Luani,Sione Laumanuʻuli Luani,Sione Laumanuʻuli Luani,Sione Laumanuʻuli Luani,Sione Laumanuʻuli Luani,,male,,1959-06-18,2010-05-12,Sione Laumanuʻuli Luani,Sione Manu'uli Luani,,,,,,,,,Sione Laumanuʻuli Luani,,,,,,,,,,,,,,,,,,,,,,,,,Sione Manu'uli Luani,,,,Sione Laumanuʻuli Luani,,,,,,Sione Laumanuʻuli Luani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5134552,Clive Edwards,,Clive Edwards,Clive Edwards,Clive Edwards,Clive Edwards,Clive Edwards (politician),,male,lawyer,1934-01-11,,Clive Edwards (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clive,,,,,,,,,,,,,,,,,,,,
Q5431894,Falisi Tupou,,Falisi Tupou,,Falisi Tupou,Falisi Tupou,Falisi Tupou,,male,politician,,,Falisi Tupou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Falisi Tupou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5437258,Fatafehi Kinikinilau Lolomana‘ia Fakafanua,,Fatafehi Kinikinilau Lolomana‘ia Fakafanua,,Fatafehi Fakafanua,Fatafehi Kinikinilau Lolomana‘ia Fakafanua,Fatafehi Fakafanua,,male,politician,,,Fatafehi Fakafanua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5450132,Fineasi Funaki,フィネアシ・フナキ,Fineasi Funaki,Fineasi Funaki,Fineasi Funaki,Fineasi Funaki,Fineasi Funaki,フィネアシ・フナキ,male,politician,1966,2010-11-13,Fineasi Funaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5638870,"Hahano-ki-Mala'e Kula-'a Sione Ngu Namoa, Lord Vaha'i",,,,"Hahano-ki-Mala'e Kula-'a Sione Ngu Namoa, Lord Vaha'i","Hahano-ki-Mala'e Kula-'a Sione Ngu Namoa, Lord Vaha'i","Hahano-ki-Malaʻe Kula-ʻa Sione Ngu Namoa, Lord Vahaʻi",,male,politician,1936-05-01,2005-05-22,"Hahano-ki-Malaʻe Kula-ʻa Sione Ngu Namoa, Lord Vahaʻi",,,,,,,,,,Hahano–ki–Malaʻe-Kula–ʻa Sione Ngū Namoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hahano–ki–Malaʻe-Kula–ʻa Sione Ngū Namoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5683504,Havea Hikule‘o ‘oPulotu,,Havea Hikule‘o ‘oPulotu,,Havea Hikule‘o ‘oPulotu,Havea Hikule‘o ‘oPulotu,Havea Hikule‘o ‘oPulotu,,male,,,,Havea Hikule‘o ‘oPulotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57880,Sialeʻataongo Tuʻivakanō,シアレアタオンゴ・トゥイヴァカノ,Sialeʻataongo Tuʻivakanō,Lord Tuʻivakano,Sialeʻataongo Tuʻivakanō,Sialeʻataongo Tuʻivakanō,Sialeʻataongo Tuʻivakanō,,male,politician,1952-01-15,,Sialeʻataongo Tuʻivakanō,,Tu'ivakano,"Ту'ивакано, Сиале'атаонга",,Sialeʻataongo Tuʻivakanō,ซีอาเลอาตาโอโง ตูอีวากาโน,,Sialeʻataongo Tuʻivakanō,,Siale ʻAtaongo Kaho,,,,Σιαλεαταόνγκα Τουιβακάνο,,,Siale ʻAtaongo Kaho,Sialeʻataongo Tuʻivakanō,Siale ʻAtaongo Kaho,Siale ʻAtaongo Kaho,,,Sialeʻataongo Tuʻivakanō,Σιαλεαταόνγκο Τουιβακάνο,,,,Siale ʻAtaongo Kaho,,,,Sialeʻataongo Tuʻivakanō,,Tuʻivakanō,,Сиале ʻАтаонго Туʻивакано,,ซีอาเลอาตาโอโง ตูอีวากาโน,Siale ʻAtaongo Kaho,Sialeʻataongo Tuʻivakanō,https://upload.wikimedia.org/wikipedia/commons/e/eb/Tuivakano_cropped.jpg,,,/m/0fqmq_h,,,Sialeʻataongo Tuʻivakanō,Siale ʻAtaongo Kaho,Sialeʻataongo Tuʻivakanō,謝萊阿陶恩戈·卡霍，圖伊瓦卡諾勳爵,Siale ʻAtaongo Kaho,Sialeʻataongo Tuʻivakanō,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6379181,Kaveinga Faʻanunu,,Kaveinga Faʻanunu,Kaveinga Faʻanunu,Kaveinga Faʻanunu,Kaveinga Faʻanunu,Kaveinga Faʻanunu,,male,politician,1962-07-30,2011-07-24,Kaveinga Faʻanunu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6558877,Lisiate ‘Akolo,,Lisiate ‘Akolo,,Lisiate ‘Akolo,Lisiate ‘Akolo,Lisiate ‘Akolo,,male,politician,,,Lisiate ‘Akolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6928173,Moʻale Finau,,Moʻale Finau,,Moʻale Finau,Moʻale Finau,Moʻale Finau,,male,,1960-02-10,,Moʻale Finau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
