id,name__de,name__en,name__sv,name__es,name__fr,name__nl,name__hu,name,wikipedia__de,wikipedia__en,wikipedia__sv,gender,birth_date,given_name,original_wikiname,name__zh_hans,name__zh_hant,name__zh_hk,name__id,name__pl,name__el,name__he,name__ru,name__ms,name__fi,name__zh,name__cy,name__zh_cn,wikipedia__el,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__id,wikipedia__ms,wikipedia__pl,wikipedia__ru,wikipedia__zh,identifier__VIAF,identifier__LCAuth,death_date,identifier__freebase,identifier__Britannica,name__eu,name__tr,name__yo,name__uk,name__et,name__nb,name__ja,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__ja,wikipedia__no,wikipedia__tr,wikipedia__uk,wikipedia__yo,image,identifier__NLAtrove,identifier__FAST,identifier__SUDOC,name__zh_sg,name__zh_tw,name__ko,name__gl,name__pt,name__bi,name__sr_el,name__sr_ec,name__war,name__tpi,name__da,name__bn,name__sr,name__nn,wikipedia__bi,wikipedia__bn,wikipedia__da,wikipedia__gl,wikipedia__ko,wikipedia__nl,wikipedia__pt,wikipedia__sr,wikipedia__tpi,wikipedia__war,name__ca,name__oc,identifier__ISNI,identifier__GND,identifier__NTA,identifier__BNF,identifier__catholic_hierarchy,name__it,name__sh,wikipedia__sh,family_name,identifier__Munzinger,name__cs,name__vi,wikipedia__cs,wikipedia__vi,name__bg,wikipedia__bg,name__ro,wikipedia__ro,name__en_ca,name__en_gb,wikipedia__commons,identifier__AuDB,name__ar,wikipedia__ar,name__th,name__is,name__fa,wikipedia__fa,wikipedia__is,wikipedia__it,wikipedia__simple,wikipedia__th,occupation,wikipedia__hi,name__hi,name__qu,wikipedia__qu,name__la,wikipedia__la,identifier__snac,wikipedia__srwikinews,name__hy,wikipedia__hy,wikipedia__zh_min_nan,name__nan,identifier__NDL,wikipedia__tl,name__tl,name__sl,name__ta,wikipedia__ta,wikipedia__io,identifier__GTAA,wikipedia__uz,name__pt_br,name__uz,name__io,identifier__NKC
Q1657357,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,male,1941,Ignatius,Ignatius Kilage,,,,,Ignatius Kilage,,,"Килаге, Игнейшес",,,伊格內修斯·基拉奇,,,,,Ignatius Kilage,,,,Ignatius Kilage,"Килаге, Игнатиус",,202350082,no2016138095,1989-12-31,/m/09pm0p,,,,,,,,サー・イグナティウス・キラゲ,Ignatius Kilage,,,,,,,,,,,154056081,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0001 4059 8930,1113890282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,इग्नेशियस किलाजे,इग्नेशियस किलाजे,,,,,,,,,,,,,,,,,,,,,,,
Q16728478,Delilah Gore,Delilah Gore,,,,,,Delilah Gore,,Delilah Gore,,female,1962-06-24,,Delilah Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delilah Gore,,,Gore,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731159,James Lagea,James Lagea,,,James Lagea,,,James Lagea,,James Lagea,,male,1963-02-04,James,James Lagea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732077,Francis Marus,Francis Marus,,,,,,Francis Marus,,Francis Marus,,male,1969-12-12,Francis,Francis Marus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francis Marus,,,Marus,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q1686476,Jeffrey Nape,Jeffrey Nape,Jeffery Nape,Jeffrey Nape,Jeffrey Nape,Jeffrey Nape,Jeffrey Nape,Jeffrey Nape,Jeffrey Nape,Jeffrey Nape,Jeffrey Nape,male,1964,Jeffrey,Jeffrey Nape,,,,,Jeffrey Nape,Τζέφρι Νέιπ,,,,,傑弗里·納普,,,Τζέφρι Νέιπ,,Jeffrey Nape,,,,Jeffrey Nape,,,,,2016-07-08,/m/032y2h,,,,,,,,ジェフェリー・ネイプ,Jeffrey Nape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q16932382,Nahau Rooney,Nahau Rooney,,,,,,Nahau Rooney,,Nahau Rooney,,female,,,Nahau Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q1707366,Joseph Kabui,Joseph Kabui,Joseph Kabui,Joseph Kabui,Joseph Kabui,Joseph Kabui,Joseph Kabui,Joseph Kabui,Joseph Kabui,Joseph Kabui,Joseph Kabui,male,1954,Joseph,Τζόζεφ Καμπούι,,,,,Joseph Kabui,Τζόζεφ Καμπούι,,,,,,Joseph Kabui,,Τζόζεφ Καμπούι,,Joseph Kabui,,,,Joseph Kabui,,,,,2008-06-07,/m/06f3gt,,,,,,,Joseph Kabui,ジョセフ・カブイ,,,,,Joseph Kabui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q17318623,Leo Dion,Leo Dion,,,,,,Leo Dion,,Leo Dion,,male,,Leo,Leo Dion,,利奧·戴恩,,,,,,,,,,,利奥·戴恩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leo Dion,,,Dion,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q17318751,Mao Zeming,Mao Zeming,,,,,,Mao Zeming,,Mao Zeming,,male,1963-11-11,,Mao Zeming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mao Zeming,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q17318820,Rimbink Pato,Rimbink Pato,,,Rimbink Pato,,,Rimbink Pato,,Rimbink Pato,,male,1961-05-04,,Rimbink Pato,,,,,,,,,,,,,,,,Rimbink Pato,,,,,,,,,,,,,,,,,,リンビンク・パト,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Rimbink_Pato_2014.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Rimbink Pato,,ريمبينك باتو,,,,,,,,,,politician,,,,,Rimbink Pato,Rimbink Pato,,,,,,,,,,,,,,,,,,,
Q17318841,John Pundari,John Pundari,,,John Pundari,,,John Pundari,,John Pundari,,male,1967,John,John Pundari,,,,,,,,,,,,,,,,John Pundari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q17319004,Loujaya Toni,Loujaya Toni,,,,Loujaya Toni,,Loujaya Toni,,Loujaya Kouza,,female,1966-07-20,,Loujaya Kouza,,,,,,,לוג'איה טוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,singer,,,,,,,,,,,,,,,,,,,,,,,,,
Q19630347,,Douglas Tomuriesa,,,Douglas Tomuriesa,Douglas Tomuriesa,,Douglas Tomuriesa,,,,male,,Douglas,Douglas Tomuriesa,,,,,,,,,,,,,,,,Douglas Tomuriesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas Tomuriesa,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q2003366,Rabbie Namaliu,Rabbie Namaliu,Rabbie Namaliu,Rabbie Namaliu,Rabbie Namaliu,Rabbie Namaliu,Rabbie Namaliu,Rabbie Namaliu,Rabbie Namaliu,Rabbie Namaliu,Rabbie Namaliu,male,1947-04-03,,Rabbie Namaliu,,,,,Rabbie Namaliu,Ραμπί Ναμάλιου,,"Намалиу, Рабби",,Rabbie Namaliu,,,,Ραμπί Ναμάλιου,Rabbie Namaliu,Rabbie Namaliu,,,,Rabbie Namaliu,"Намалиу, Рабби",,6845474,n2007055409,,/m/022tnq,biography/Rabbie-Namaliu,,,,,,Rabbie Namaliu,ラビー・ナマリウ,Rabbie Namaliu,,,,,,,,,,,,,,,,,,,,,,Rabbie Namaliu,,,Rabbie Namaliu,,,,,,,,,,,,,0000 0000 5048 9757,171514319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q2007264,Paias Wingti,Paias Wingti,Paias Wingti,Paias Wingti,Paias Wingti,Paias Wingti,Paias Wingti,Paias Wingti,Paias Wingti,Paias Wingti,Paias Wingti,male,1951-02-02,,Paias Wingti,,,,,Paias Wingti,Πάιας Γουίνγκτι,,"Уингти, Паяс",,Paias Wingti,,,,Πάιας Γουίνγκτι,Paias Wingti,Paias Wingti,,,,Paias Wingti,"Уингти, Паяс",,121290556,nr95006775,,/m/03838l,biography/Paias-Wingti,,,,,,Paias Wingti,パイアス・ウィングティ,,,,,,,,,,,352138,,,,,,,,,,,,Paias Wingti,,,Paias Wingti,,,,,,,,,,,,,0000 0003 8346 0741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q20763573,,Matthias Toliman,,,Matthias Toliman,Matthias Toliman,,Matthias Toliman,,,,male,1925-08-25,Matthias,Matthias Toliman,,,,,,,,,,,,,,,,Matthias Toliman,,,,,,,,,1973-09-06,,,,,,,,,,,,,,,,,,,1465881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,toliman-matthias-tutanava-11869,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q2117670,Puka Temu,Puka Temu,Puka Temu,Puka Temu,Puka Temu,Puka Temu,Puka Temu,Puka Temu,Puka Temu,Puka Temu,,male,"",,Puka Temu,,,,,Puka Temu,,,,,,,,,,,,,,,Puka Temu,,,,,,,,,,,,,Puka Temu,,,,,,,,,,,,,,,,,,,,,,,,Puka Temu,,,Puka Temu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q22953338,,Steven Pirika Kama,,,,Steven Pirika Kama,,Steven Pirika Kama,,Steven Pirika Kama,,male,1962,Steven,Steven Pirika Kama,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,Steven Pirika Kama,,,,,,,,,,,,,,,,Steven Pirika Kama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,,,,,,,,,,,,
Q2379592,Carol Kidu,Carol Kidu,,,Carol Kidu,Carol Kidu,,Carol Kidu,,Carol Kidu,,female,1948-10-10,Carol,Carol Kidu,,,,,,,קרול קידו,,,,,,,,,Carol Kidu,,,,,,,31507283,nb2003021767,,,,,,,,,,,,,,,,,,,,1018193,490122,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 4340 2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q23883417,,Anton Yagama,,,,Anton Yagama,,Anton Yagama,,Anton Yagama,,male,1954-12-31,Anton,Anton Yagama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agriculturer,,,,,,,,,,,,,,,,,,,,,,,,,
Q24053597,,William Tongamp,,,,William Tongamp,,William Tongamp,,William Tongamp,,male,1973-11-23,William,William Tongamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2443854,Tore Lokoloko,Tore Lokoloko,Tore Lokoloko,Tore Lokoloko,Tore Lokoloko,Tore Lokoloko,Tore Lokoloko,Tore Lokoloko,Tore Lokoloko,Tore Lokoloko,Tore Lokoloko,male,1930-09-21,Tore,Tore Lokoloko,,托爾·洛科洛科,,,,,,"Локолоко, Торе",,,,Tore Lokoloko,托尔·洛科洛科,,,Tore Lokoloko,,,,,"Локолоко, Торе",,94004931,,2013-03-13,/m/09pl_9,,,,,,,,サー・トレ・ロコロコ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,तोरे लोकोलोको,तोरे लोकोलोको,,,,,,,,,,,,,,,,,,,,,,,
Q25553147,,Sasindran Muthuvel,,,,,,Sasindran Muthuvel,,Sasindran Muthuvel,,,1974-07-05,,Sasindran Muthuvel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,சசீந்திரன் முத்துவேல்,சசீந்திரன் முத்துவேல்,,,,,,,
Q2638455,Albert Maori Kiki,Albert Maori Kiki,,Albert Maori Kiki,Albert Maori Kiki,Albert Maori Kiki,Albert Maori Kiki,Albert Maori Kiki,Albert Maori Kiki,Albert Maori Kiki,,male,1931-09-21,Albert,Albert Maori Kiki,,,,,Albert Maori Kiki,,,,,,,,,,,,,,,Albert Maori Kiki,,,20472301,n50046142,1993-03-13,,,,,,,,,,,,,,,,,,,891055,15855,081512317,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 8205 0554,118562061,070618135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,w66q9cpv,,,,,,,,,,,,,,,,,,
Q27975449,,Charles Abel,,Charles Abel,,Charles Abel,,Charles Abel,,Charles Abel,,male,"",Charles,Charles Abel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Abel,,,,,,,,,,,,,,,,,,,,,Charles Abel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28037442,,Ezekiel Anisi,,,Ezekiel Anisi,,,Ezekiel Anisi,,Ezekiel Anisi,,male,1988-09-01,Ezekiel,Ezekiel Anisi,,,,,,,,,,,,,,,,Ezekiel Anisi,,,,,,,,,2017-05-24,,,,,,Езекіель Анісі,,,,,,,,,,Езекіель Анісі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ezekiel Anisi,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28062349,,Anderson Agiru,,,,Anderson Agiru,,Anderson Agiru,,Anderson Agiru,,male,1962,,Anderson Agiru,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28086377,,Paru Aihi,,,,Paru Aihi,,Paru Aihi,,Paru Aihi,,,1957-11-01,,Paru Aihi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28647870,Bob Dadae,Bob Dadae,,Bob Dadae,Bob Dadae,Bob Dadae,,Bob Dadae,Bob Dadae,Bob Dadae,,male,1961-03-08,Bob,Bob Dadae,,,,,Bob Dadae,Μπομπ Νταντάε,,"Дадае, Боб",,,鮑伯·達達,,,Μπομπ Νταντάε,,Bob Dadae,,,,Bob Dadae,"Дадае, Боб",,,,,,,,Bob Dadae,,,,,ボブ・ダダエ,Bob Dadae,,,,,Bob Dadae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28911702,,Labi Amaiu,,,,Labi Amaiu,,Labi Amaiu,,Labi Amaiu,,male,1974-11-27,,Labi Amaiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28911703,,Robert Atiyafa,,,,Robert Atiyafa,,Robert Atiyafa,,Robert Atiyafa,,male,1959-06-12,Robert,Robert Atiyafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28911725,,Lauta Atoi,,,,Lauta Atoi,,Lauta Atoi,,Lauta Atoi,,male,1962-06-27,,Lauta Atoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28911852,,Tony Aimo,,,,Tony Aimo,,Tony Aimo,,Tony Aimo,,male,1960-08-24,,Tony Aimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28911869,,Benny Allan,,,,Benny Allan,,Benny Allan,,Benny Allan,,male,1958-01-01,,Benny Allan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28925023,,Francis Awesa,,,,Francis Awesa,,Francis Awesa,,Francis Awesa,,male,1951-08-16,Francis,Francis Awesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28925119,,Mai Dop,,,,Mai Dop,,Mai Dop,,Mai Dop,,male,1968-05-28,,Mai Dop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
