id,name,birth_date,contact_form,constituency,party,party_id,twitter,facebook,image,term,source
246,Mag. Tanja Cink,1976-05-17,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P246,III Ljubljana - Šiška II 9,Party of Modern Centre,SMC,"",http://sl-si.facebook.com/pages/Mag-Tanja-Cink/598430986938814,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P246,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P246
225,Andrej Čuš,1990-07-27,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P225,VIII Ptuj I 9,Slovenian Democratic Party,SDS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P225,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P225
247,Erika Dekleva,1969-12-02,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P247,II Postojna 8,Party of Modern Centre,SMC,https://twitter.com/ErikaDekleva,https://www.facebook.com/erika.dekleva,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P247,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P247
169,Iva Dimic,1972-10-28,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P169,III Cerknica in Logatec 1,New Slovenia - Christian Democrats,NSi,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P169,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P169
248,Dr. Bojan Dobovšek,1962-02-24,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P248,IV Ljubljana - Bežigrad I 8,Nepovezani poslanec,NeP,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P248,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P248
249,Marjan Dolinšek,1962-04-05,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P249,VI Zagorje 11,Party of Modern Centre,SMC,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P249,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P249
250,Marko Ferluga,1967-10-05,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P250,II Koper I 4,Party of Modern Centre,SMC,"",https://www.facebook.com/public/Marko-Ferlugahttp://www.facebook.com/markoferluga,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P250,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P250
251,Tomaž Gantar,1960-03-21,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P251,II Piran 2,Democratic Party of Pensioners of Slovenia,DeSUS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P251,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P251
252,Jelka Godec,1969-11-21,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P252,V Šentjur 1,Slovenian Democratic Party,SDS,http://twitter.com/jelka_godec,http://www.facebook.com/jelka.godec,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P252,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P252
117,Dr. László Göncz,1960-04-13,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P117,X Lendava 1,Italian and Hungarian National Communities,IMNS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P117,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P117
116,Dr. Vinko Gorenak,1955-12-15,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P116,VII Šmarje pri Jelšah 1,Slovenian Democratic Party,SDS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P116,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P116
016,Mag. Branko Grims,1962-08-26,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P016,I Kranj III 6,Slovenian Democratic Party,SDS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P016,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P016
253,Irena Grošelj Košnik,1957-01-27,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P253,VI Trbovlje 10,Party of Modern Centre,SMC,"",https://www.facebook.com/irena.groseljkosnik?fref=tshttps://www.facebook.com/IrenaKosnikGroselj?fref=ts,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P253,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P253
255,Primož Hainz,1947-02-04,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P255,III Vrhnika 2,Democratic Party of Pensioners of Slovenia,DeSUS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P255,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P255
018,Matjaž Han,1971-01-17,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P018,VI Laško 8,Social Democrats,SD,"",https://www.facebook.com/han.matjaz,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P018,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P018
256,Matjaž Hanžek,1949-08-13,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P256,IV Ljubljana - Bežigrad II 9,United Left,ZL,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P256,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P256
020,Jožef Horvat,1955-07-08,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P020,VIII Lendava 1,New Slovenia - Christian Democrats,NSi,http://twitter.com/jozefhorvat,http://facebook.com/horvatjozef,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P020,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P020
257,Dr. Mitja Horvat,1961-09-24,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P257,III Ljubljana - Vič Rudnik II 4,Party of Modern Centre,SMC,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P257,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P257
176,Ivan Hršak,1957-12-25,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P176,VI Hrastnik 9,Democratic Party of Pensioners of Slovenia,DeSUS,"",https://www.facebook.com/hrsakivan,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P176,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P176
023,Eva Irgl,1976-12-09,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P023,II Ajdovščina 11,Slovenian Democratic Party,SDS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P023,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P023
025,Janez (Ivan) Janša,1958-09-17,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P025,IV Grosuplje 3,Slovenian Democratic Party,SDS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P025,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P025
180,Mag. Jana Jenko,1964-11-12,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P180,I Tržič 7,Democratic Party of Pensioners of Slovenia,DeSUS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P180,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P180
122,Franc Jurša,1953-09-21,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P122,VIII Ljutomer 3,Democratic Party of Pensioners of Slovenia,DeSUS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P122,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P122
259,Mag. Aleksander Kavčič,1972-05-05,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P259,VIII Ljutomer 3,Party of Modern Centre,SMC,https://twitter.com/aleksande,https://www.facebook.com/AleksanderKaucic,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P259,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P259
260,Anita Koleša,1961-02-13,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P260,V Šentjur 1,Party of Modern Centre,SMC,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P260,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P260
261,Benedikt Kopmajer,1956-03-05,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P261,V Dravograd - Radlje 11,Democratic Party of Pensioners of Slovenia,DeSUS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P261,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P261
262,Miha Kordiš,1989-03-06,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P262,I Škofja Loka I 8,United Left,ZL,"",https://www.facebook.com/miha.kordis,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P262,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P262
263,Ksenija Korenjak Kramar,1975-01-20,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P263,VII Maribor II 6,Party of Modern Centre,SMC,"",http://www.facebook.com/ksenijakk,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P263,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P263
264,Irena Kotnik,1955-02-01,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P264,I Radovljica II 3,Party of Modern Centre,SMC,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P264,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P264
186,Marjana Kotnik Poropat,1944-01-27,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P186,VII Ruše 4,Democratic Party of Pensioners of Slovenia,DeSUS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P186,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P186
297,Marija Antonija Kovačič,1946-03-11,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P297,V Velenje I 7,Democratic Party of Pensioners of Slovenia,DeSUS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P297,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P297
265,Mag. Lilijana Kozlovič,1962-10-30,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P265,II Koper II 5,Party of Modern Centre,SMC,"",https://www.facebook.com/lilijana.kozlovic,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P265,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P265
299,Mag. Bojan Krajnc,1971-08-25,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P299,"VII Maribor III, Maribor IV 7, 8",Party of Modern Centre,SMC,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P299,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P299
040,Danijel Krivec,1965-05-16,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P040,II Tolmin 1,Slovenian Democratic Party,SDS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P040,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P040
266,Dr. Simona Kustec Lipicer,1976-06-19,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P266,III Ljubljana - Šiška I 8,Party of Modern Centre,SMC,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P266,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P266
129,Zvonko Lah,1958-01-21,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P129,VI Trebnje 4,Slovenian Democratic Party,SDS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P129,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P129
267,Franc Laj,1962-07-18,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P267,VIII Lendava 1,Party of Modern Centre,SMC,"",http://www.facebook.com/franc.laj,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P267,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P267
268,Suzana Lep Šimenko,1979-10-30,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P268,VIII Ptuj III 11,Slovenian Democratic Party,SDS,https://twitter.com/lepsimenko,https://www.facebook.com/suzana.lepsimenkohttps://www.facebook.com/pages/Suzana-Lep-%C5%A0imenko/783843074983222,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P268,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P268
269,Marinka Levičar,1951-07-05,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P269,IV Kočevje 1,Democratic Party of Pensioners of Slovenia,DeSUS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P269,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P269
187,Tomaž Lisec,1978-02-19,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P187,VI Sevnica 7,Slovenian Democratic Party,SDS,https://twitter.com/TomazLisec,https://www.facebook.com/Tomaz.Lisec?fref=nf,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P187,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P187
238,Mag. Anže Logar,1976-05-15,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P238,III Ljubljana - Vič-Rudnik IV 6,Slovenian Democratic Party,SDS,https://twitter.com/AnzeLog,https://www.facebook.com/anze.logar.75,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P238,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P238
270,Žan Mahnič,1990-01-12,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P270,I Škofja Loka II 9,Slovenian Democratic Party,SDS,https://twitter.com/ZanMahnic,https://www.facebook.com/pages/%C5%BDan-Mahni%C4%8D/1416268151994443?fref=ts,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P270,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P270
272,Dr. Dragan Matić,1964-06-21,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P272,IV Ljubljana - Moste-Polje II 6,Party of Modern Centre,SMC,"",https://www.facebook.com/DraganMaticSMC,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P272,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P272
273,Luka Mesec,1987-07-01,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P273,VI Trbovlje 10,United Left,ZL,"",https://www.facebook.com/mesec.luka,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P273,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P273
191,Jani (Janko) Möderndorfer,1965-10-03,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P191,IV Ljubljana - Bežigrad II 9,Alliance of Alenka Bratušek,ZaAB,https://twitter.com/JaniModern,"",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P191,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P191
