id,name__en,name__zh,name__es,name__yue,name__de,name__fr,name,wikipedia__en,wikipedia__zh_yue,wikipedia__zh,image,gender,birth_date,given_name,name__en_ca,name__en_gb,name__ja,name__zh_hant,name__zh_hans,name__nl,name__zh_hk,name__zh_cn,name__zh_tw,name__vi,name__zh_mo,name__zh_my,name__zh_sg,wikipedia__ja,wikipedia__zhwikiquote,identifier__freebase,family_name,name__hak,wikipedia__hak,name__ca,name__oc,name__it,name__id,name__pl,wikipedia__fr,wikipedia__id,wikipedia__plwikiquote,identifier__VIAF,identifier__LCAuth,name__nb,wikipedia__commons,wikipedia__no,name__tr,name__ko,wikipedia__es,wikipedia__ko,wikipedia__tr,name__ar,wikipedia__ar,name__ru,facebook,wikipedia__enwikiquote,wikipedia__fa,name__fa,original_wikiname,identifier__OLID,identifier__FAST,wikipedia__ru,name__hu,last_seen,wikipedia__mg,name__mg,name__pt,website,occupation,identifier__google_knowledge,twitter,name__th,wikipedia__de,wikipedia__oc,wikipedia__th,wikipedia__ceb,name__ceb,identifier__ISNI,identifier__quora,name__an,name__ast,name__ext,name__gl,name__he,wikipedia__simple,death_date,name__sco,wikipedia__sco,wikipedia__uk,name__uk,wikipedia__wuu,name__wuu,name__sl,wikipedia__bn,identifier__GND,honorific_prefix,identifier__IMDB,name__bn,name__da
Q15940901,Holden Chow,周浩鼎,,周浩鼎,,,Holden Chow,Holden Chow,周浩鼎,周浩鼎,https://upload.wikimedia.org/wikipedia/commons/b/bc/Holden_Chow_Ho_Ding.jpg,male,1979-06-07,,,,,周浩鼎,周浩鼎,,周浩鼎,周浩鼎,周浩鼎,,周浩鼎,周浩鼎,周浩鼎,,,,Zhou,,,,,,,,,,,,,,Category:Holden Chow,,,,,,,,,,chowhoding,,,,Holden Chow,,,,,,,,,http://www.holdenchow.com,politician,/g/1yqcct7x6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q163404,Jasper Tsang,曾鈺成,Jasper Tsang,曾鈺成,,Jasper Tsang,Jasper Tsang,Jasper Tsang,曾鈺成,曾鈺成,https://upload.wikimedia.org/wikipedia/commons/2/24/Tsang_Yok_Sing_Photo.JPG,male,1947-05-17,Jasper,Jasper Tsang,Jasper Tsang,,曾鈺成,曾钰成,Jasper Tsang,曾鈺成,曾钰成,曾鈺成,,曾鈺成,曾钰成,曾钰成,,曾鈺成,/m/02394q,Zeng,,,,,,Jasper Tsang Yok-sing,,,Jasper Tsang Yok-sing,,29436761,nr96044447,,"Category:Tsang Yok-sing, Jasper",,,,Jasper Tsang,,,جاسبر زنغ,,,,,,,Tsang Yok-sing,,384781,,Jasper Tsang,,,,,,politician,,,,,,,,,0000 0000 6427 8192,,,,,,,,,,,,,,,,,,,,,
Q19825791,Ted Hui Chi-fung,許智峯,,許智峯,,,Ted Hui Chi-fung,Hui Chi-fung,許智峯,許智峯,https://upload.wikimedia.org/wikipedia/commons/1/14/許智峯.jpg,male,1982,Ted,,,,許智峯,,Ted Hui Chi-fung,,,許智峯,,,,,,,,Xu,,,,,,,,,,,,,,Category:Hui Chi-fung,,,,,,,,,,huichifung913,,,,Hui Chi-fung,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19849386,Jeremy Tam,譚文豪,,譚文豪,,,Jeremy Tam,Jeremy Tam,譚文豪,譚文豪,https://upload.wikimedia.org/wikipedia/commons/e/e7/Jeremytam01.jpg,male,1975-06-13,Jeremy,,,,,,Jeremy Tam,,,,,,,,,,,Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy Tam,,,,,,,,,,aircraft pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19853823,Peter Shiu,邵家輝,,邵家輝,,Peter Shiu,Peter Shiu,Peter Shiu,邵家輝,邵家輝,,male,1970-04-22,Peter,,,,,,Peter Shiu,,,,,,,,,,,Shao,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shiu Ka-fai,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19853850,Cheng Chung-tai,鄭松泰,,鄭松泰,,,Cheng Chung-tai,Cheng Chung-tai,鄭松泰,鄭松泰,https://upload.wikimedia.org/wikipedia/commons/8/8a/Cheng_Chung-tai_2016.jpg,male,1983-11-05,,,,チェン・チュンタイ,,,Cheng Chung-tai,,,,,,,,,,,Zheng,,,,,,,,,,,,,,Category:Cheng Chung Tai,,,,,,,,,,chengchungtai,,,,Cheng Chung-tai,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q200501,Frederick Fung,馮檢基,Frederick Fung,馮檢基,Frederick Fung,Frederick Fung,Frederick Fung,Frederick Fung,馮檢基,馮檢基,https://upload.wikimedia.org/wikipedia/commons/6/6c/Democrats-fail-to-regain-veto-power-4_(cropped).jpg,male,1953-03-17,Frederick,Frederick Fung,Frederick Fung,,馮檢基,冯检基,Frederick Fung,馮檢基,冯检基,馮檢基,,馮檢基,冯检基,冯检基,,,/m/026y_6,Féng,,,,,Frederick Fung,,,,,,,,,"Category:Fung Kin-kee, Frederick",,,,,,,فريدريك فونغ,فريدريك فونغ,Фредерик Фэн,,,,,Frederick Fung,,,,Frederick Fung,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q200518,Alan Leong,梁家傑,Alan Leong,梁家傑,Alan Leong,Alan Leong,Alan Leong,Alan Leong,梁家傑,梁家傑,https://upload.wikimedia.org/wikipedia/commons/6/6f/Alan_Leong_Kah-kit.jpg,male,1958-02-22,Alan,Alan Leong,Alan Leong,梁家傑,梁家傑,梁家杰,Alan Leong,梁家傑,梁家杰,梁家傑,Lương Gia Kiệt,梁家傑,梁家杰,梁家杰,梁家傑,梁家傑,/m/06jhky,Liang,,,,,,,,,,,,,,"Category:Leong Kah-kit, Alan",,,,,,,,,Алан Лян,,,,,Alan Leong,,,,Alan Leong,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20065300,Kenneth Lau,劉業強,,劉業強,,,Kenneth Lau,Kenneth Lau,劉業強,劉業強,,male,1966,Kenneth,,,,,,Kenneth Lau,劉業強,,劉業強,,,,,,,,Liu,,,,,,,,,,,,,,,,,,,,,كينيث لاو,,,,,,,Kenneth Lau,,,,,,,,,,justice of the peace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20091635,Vincent Cheng,鄭泳舜,,鄭泳舜,,,Vincent Cheng,Vincent Cheng Wing-shun,鄭泳舜,鄭泳舜,https://upload.wikimedia.org/wikipedia/commons/2/28/香港立法會補選_民主派未奪回分組否決權5_(cropped).jpg,male,1979,Vincent,,,,,,Vincent Cheng,,,,,,,,,,,Zheng,,,,,,,,,,,,,,"Category:Cheng Wing-shun, Vincent",,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20688647,Alvin Yeung,楊岳橋,,楊岳橋,,,Alvin Yeung,Alvin Yeung,楊岳橋,楊岳橋,https://upload.wikimedia.org/wikipedia/commons/a/ab/AlvinYeung_CP2016LegcoElectionKickoff_(cropped).jpg,male,1981-06-05,Alvin,,,,楊岳橋,杨岳桥,Alvin Yeung,楊岳橋,杨岳桥,楊岳橋,,楊岳橋,杨岳桥,杨岳桥,,,,Yang,,,,,,,,,,,,,,Category:Alvin Yeung,,,,,,,آلفين يونغ,,Элвин Ян,,,,,Alvin Yeung,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21565062,Yau Wai-ching,游蕙禎,,游蕙禎,Yau Wai-ching,Yau Wai-ching,Yau Wai-ching,Yau Wai-ching,游蕙禎,游蕙禎,https://upload.wikimedia.org/wikipedia/commons/e/ee/Yau-WC_2016-Election-Bus.jpg,female,1991-05-06,,,,ヤウ・ワイチイン,,,Yau Wai Ching,,,,,,,,游蕙禎,,,You,,,,,,Yau Wai-ching,,Yau Wai-ching,Yau Wai-ching,,,,,Category:Yau Wai-ching,,,,,,,,,,,,,,Yau Wai-ching,,,,,,,,,,politician,,,,Yau Wai-ching,,,,,,,,,,,,,,,,Яу Вай Чін,Яу Вай Чін,,,,,,,,,
Q23626,Albert Ho,何俊仁,Albert Ho,何俊仁,Albert Ho,Albert Ho,Albert Ho,Albert Ho,何俊仁,何俊仁,https://upload.wikimedia.org/wikipedia/commons/6/64/Albert_Ho_2016.jpg,male,1951-12-01,Albert,Albert Ho,Albert Ho,,何俊仁,何俊仁,Albert Ho,何俊仁,何俊仁,何俊仁,,何俊仁,何俊仁,何俊仁,,,/m/07csj9,He,,,Albert Ho,Albert Ho,Albert Ho,Albert Ho,Albert Ho,Albert Ho,Albert Ho,Albert Ho,299629988,no2013047727,,"Category:Ho Chun Yan, Albert",,,,,,,ألبرت هي,,Альберт Хэ,,,,,Albert Ho,,1914095,,Albert Ho,,Albert Ho,Albert Ho,,,solicitor,,,,,,,,,,,Albert Ho,Albert Ho,Albert Ho,Albert Ho,,,,,,,,,,,,,,,,
Q23641,Lee Cheuk-yan,李卓人,Lee Cheuk-yan,李卓人,Lee Cheuk-yan,Lee Cheuk-yan,Lee Cheuk-yan,Lee Cheuk-yan,李卓人,李卓人,https://upload.wikimedia.org/wikipedia/commons/0/00/Lee_Cheuk_Yan_at_Alliance_for_True_Democracy.jpg,male,1957-02-12,,Lee Cheuk-yan,Lee Cheuk-yan,,李卓人,李卓人,Lee Cheuk-yan,李卓人,李卓人,李卓人,,李卓人,李卓人,李卓人,,,/m/0910gr,Li,,,,,Lee Cheuk-yan,,,,,,,,,Category:Lee Cheuk Yan,,,,,,,,,,,,,,Lee Cheuk-yan,,,,Lee Cheuk-yan,,Lee Cheuk-yan,Lee Cheuk-yan,,,politician,,,,,,,,,,,Lee Cheuk-yan,Lee Cheuk-yan,Lee Cheuk-yan,Lee Cheuk-yan,,,,,,,,,,,,,,,,
Q23888514,Baggio Leung,梁頌恆,,梁頌恆,,Baggio Leung,Baggio Leung,Baggio Leung,梁頌恆,梁頌恆,https://upload.wikimedia.org/wikipedia/commons/7/7e/Sixtus_Leung.jpg,male,1986-08-07,,,,梁頌恒,梁頌恆,梁颂恒,,梁頌恆,梁颂恒,梁頌恆,,梁頌恆,梁颂恒,梁颂恒,,,,Liang,,,,,,Baggio Leung,,Baggio Leung,Baggio Leung,,,,,"Category:LEUNG Chung-Hang, Baggio",,,,,,,,,,,,,,Sixtus Leung,,,,,,,,,,activist,/g/11c3zl3ptg,,,,,,,,,,,,,,,,,,,Баджіо Лун,Баджіо Лун,,,,,,,,,
Q23888559,Lau Siu-lai,劉小麗,,劉小麗,,,Lau Siu-lai,Lau Siu-lai,劉小麗,劉小麗,https://upload.wikimedia.org/wikipedia/commons/c/c7/再有4名香港民主派立法會議員被法庭取消資格14.jpg,female,1976-08-03,,,,ラウ・シィウライ,,,,,,,,,,,,,,Liu,,,,,,Lau Siu-lai,,,Lau Siu-lai,,,,,Category:Lau Siu-lai,,,리우 샤오리,,,,,,,,,,,Lau Siu-lai,,,,,,,,,https://siulai.hk/,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24701019,Nathan Law,羅冠聰,,羅冠聰,Nathan Law,Nathan Law,Nathan Law,Nathan Law,羅冠聰,羅冠聰,https://upload.wikimedia.org/wikipedia/commons/c/cf/Nathan_Law_Kwun_Chung_201502.jpg,male,1993-07-13,Nathan,,,羅冠聡,羅冠聰,罗冠聪,Nathan Law,羅冠聰,罗冠聪,羅冠聰,,羅冠聰,罗冠聪,罗冠聪,羅冠聡,,,Luo,,,,Nathan Law,,Nathan Law,,Nathan Law,Nathan Law,,,,,Category:Nathan Law,,,,,,,ناثان لو,,,NathanLawKC,,,,Nathan Law,,,,,,,,,,politician,,,นาธาน ลอว์,Nathan Law,Nathan Law,นาธาน ลอว์,,,,Nathan-Law-10,,,,,,Nathan Law,,Nathan Law,Nathan Law,Натан Ло,Натан Ло,,,,,,,,,
Q24837388,Eunice Yung,容海恩,,容海恩,,,Eunice Yung,Eunice Yung,容海恩,容海恩,,female,1977-06-07,Eunice,,,,,,Eunice Yung,,,,,,,,,,,Rong,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yung Hoi-yan,,,,,,,,,,politician,,,,,,,Eunice Yung Hoi-yan,Eunice Yung Hoi-yan,,,,,,,,,,,,,,,,,,,,,,
Q25936133,Lam Cheuk-ting,林卓廷,,林卓廷,,,Lam Cheuk-ting,Lam Cheuk-ting,林卓廷,林卓廷,https://upload.wikimedia.org/wikipedia/commons/b/b7/Lam_Cheuk-ting_2.jpg,male,1977,,,,ラム・チュクテン,林卓廷,林卓廷,Lam Cheuk-ting,林卓廷,林卓廷,林卓廷,,林卓廷,林卓廷,林卓廷,,,,Lin,,,,,,,,,,,,,,Category:Lam Cheuk-ting,,,,,,,,,,LamCheukTing.official,,,,Lam Cheuk-ting,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26211043,Ng Wing-ka,吳永嘉,,吳永嘉,,,Ng Wing-ka,Ng Wing-ka,吳永嘉,吳永嘉,,male,1969-06-17,,,,,,,Ng Wing-ka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Ng,,,,,,,,,,politician,,,,,,,Ng Wing-ka,Ng Wing-ka,,,,,,,,,,,,,,,,,,,,,,
Q26251804,Luk Chung-hung,陸頌雄,,陸頌雄,,,Luk Chung-hung,Luk Chung-hung,陸頌雄,陸頌雄,,male,1978,,,,,,,Luk Chung-hung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luk Chung-hung,,,,,,,,,,trade unionist,/g/11c1c4vhrk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26668,Raymond Chan,陳志全,Ray Chan,陳志全,Ray Chan,Ray Chan,Raymond Chan,Raymond Chan Chi-chuen,陳志全,陳志全,,male,1972-04-16,Ray,Ray Chan,Ray Chan,,陳志全,陈志全,Ray Chan,陳志全,陈志全,陳志全,,陳志全,陈志全,陈志全,,,/m/0kvj3m1,Chen,,,,,Ray Chan,Raymond Chan Chi-chuen,,,Raymond Chan Chi-chuen,,,,,"Category:CHAN Chi-Chuen, Raymond",,,,,,,راي تشان,راي تشان,Рэй Чэнь,chanchichuen,,,,Chan Chi-chuen,,,,Ray Chan,,Ray Chan,Ray Chan,,,politician,,,,,,,,,,,,,,,ריימונד צ'ן,,,,,,,,,,,,,,,
Q26703335,Chan Chun-ying,陳振英,,陳振英,,,Chan Chun-ying,Chan Chun-ying,陳振英,陳振英,,male,1961,,,,,,,Chan Chun-ying,,,,,,,,,,,Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chan Chun-ying,,,,,,,,,,banker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26806487,Edward Yiu,姚松炎,,姚松炎,,,Edward Yiu,Edward Yiu,姚松炎,姚松炎,"https://upload.wikimedia.org/wikipedia/commons/e/eb/Edward_Yiu_Chung-yim,_2017_(cropped).jpg",male,1964,Edward,,,,,,Edward Yiu,,,,,,,,,,,Yao,,,,,,,,,,,,,,Category:Edward Yiu Chung-yim,,,,,,,,,,,,,,Yiu Chung-yim,,,,,,,,,,politician,,,,,,,Edward Yiu,Edward Yiu,,,,,,,,,,,,,,,,,,,,,,
Q26806626,Pierre Chan,陳沛然,,陳沛然,,,Pierre Chan,Pierre Chan,陳沛然,陳沛然,,male,1976,Pierre,,,,,,Pierre Chan,,,,,,,,,,,Chan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pierre Chan,,,,,,,,,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3040547,Ann Chiang,蔣麗芸,Ann Chiang,蔣麗芸,Ann Chiang,Ann Chiang,Ann Chiang,Ann Chiang,蔣麗芸,蔣麗芸,https://upload.wikimedia.org/wikipedia/commons/3/3a/Ann_Chiang.JPG,female,1955-05-16,Ann,Ann Chiang,Ann Chiang,,蔣麗芸,蒋丽芸,Ann Chiang,蔣麗芸,蒋丽芸,蔣麗芸,,蔣麗芸,蒋丽芸,蒋丽芸,,蔣麗芸,,Jiang,,,,,,,,,,,,,,Category:Ann Chiang,,,,,,,,,Энн Цзян,chianglaiwan,Ann Chiang,,,Chiang Lai-wan,,,,Ann Chiang,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3051666,Ip Kwok-him,葉國謙,Ip Kwok-him,葉國謙,,Ip Kwok-him,Ip Kwok-him,Ip Kwok-him,葉國謙,葉國謙,https://upload.wikimedia.org/wikipedia/commons/5/52/Ip_Kwok_Him.jpg,male,1951-11-08,,Ip Kwok-him,Ip Kwok-him,,葉國謙,,Ip Kwok-him,,,,,,,,,,,Ye,,,,,,,,,,,,,,Category:Ip Kwok-him,,,,,,,,,,,,,,Ip Kwok-him,,,,Ip Kwok-him,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3479098,Paul Tse,謝偉俊,Paul Tse,謝偉俊,Paul Tse,Paul Tse,Paul Tse,Paul Tse,謝偉俊,謝偉俊,https://upload.wikimedia.org/wikipedia/commons/c/c6/Paul_Tse_Wai_Chun_2014.jpg,male,1959-01-21,Paul,Paul Tse,Paul Tse,,謝偉俊,谢伟俊,Paul Tse,謝偉俊,谢伟俊,謝偉俊,,謝偉俊,谢伟俊,谢伟俊,,,,Xie,,,,,,,,,,,,,,Category:Paul Tse,,,,,,,,,Пол Се,paulwtse,,,,Paul Tse,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4254145,Gary Fan,范國威,Gary Fan,范國威,Gary Fan,Gary Fan,Gary Fan,Gary Fan,范國威,范國威,https://upload.wikimedia.org/wikipedia/commons/0/05/Gary_Fan_2015_portrait.jpg,male,1966-10-30,Gary,Gary Fan,Gary Fan,ゲイリー・ファン,,,Gary Fan,,,,,,,,,,,Fan,,,,,,,,,,,,,,Category:Gary Fan,,,,,,,,,Гарри Фань,,,,,Gary Fan,,,,Gary Fan,,,,,,politician,,,,,,,,,,,,,,,גארי פאן,,,,,,,,,,,,,,,
Q4275406,Cyd Ho,何秀蘭,Cyd Ho,何秀蘭,Cyd Ho,Cyd Ho,Cyd Ho,Cyd Ho,何秀蘭,何秀蘭,https://upload.wikimedia.org/wikipedia/commons/1/15/Cyd_Ho_at_January_2013_protest_(cropped).jpg,female,1954-07-24,,Cyd Ho,Cyd Ho,,何秀蘭,何秀兰,Cyd Ho,何秀蘭,何秀兰,何秀蘭,,何秀蘭,何秀兰,何秀兰,,,,He,,,,,,,,,,,,,,"Category:Ho Sau Lan, Cyd",,,,,,,,,,,,,,Cyd Ho,,,,Cyd Ho,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4368021,James Tien,田北俊,James Tien,田北俊,James Tien,James Tien,James Tien,James Tien (politician),田北俊,田北俊,https://upload.wikimedia.org/wikipedia/commons/c/cf/James_Tien_cut.jpg,male,1947-01-08,James,James Tien,James Tien,,田北俊,田北俊,James Tien,田北俊,田北俊,田北俊,,田北俊,田北俊,田北俊,,田北俊,,Tien,,,,,,,,,,,,,,"Category:Tien Pei-chun, James",,,,,,,,,Джеймс Тьен,,,,,James Tien (politician),,,,James Tien,,,,,http://www.jamestien.com,politician,,,,,,,,,,,,,,,,,,,,,,田北俊,田北俊,,,,,,,
Q4669150,Abraham Razack,石禮謙,Abraham Razack,石禮謙,Abraham Razack,Abraham Razack,Abraham Razack,Abraham Shek,石禮謙,石禮謙,https://upload.wikimedia.org/wikipedia/commons/8/80/Abraham_Shek_2015.jpg,male,1945-06-24,Abraham,,,,,,Abraham Razack,,,,,,,,,,,Shi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abraham Shek,,,,Abraham Razack,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4725987,Alice Mak Mei-kuen,麥美娟,,麥美娟,Alice Mak,Alice Mak,Alice Mak Mei-kuen,Alice Mak (politician),麥美娟,麥美娟,,female,1971,Alice,,,,麥美娟,麦美娟,Alice Mak Mei-kuen,麥美娟,麦美娟,麥美娟,,麥美娟,麦美娟,麦美娟,,,/m/0n4c1mx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mak Mei-kuen,,,,,,,,,,trade unionist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4757753,Andrew Leung,梁君彥,Andrew Leung,梁君彥,Andrew Leung,Andrew Leung,Andrew Leung,Andrew Leung,梁君彥,梁君彥,https://upload.wikimedia.org/wikipedia/commons/8/8d/Leung_Kwan-yuen_Andrew.JPG,male,1951-02-24,Andrew,,,梁君彦,梁君彥,梁君彦,Andrew Leung,梁君彥,梁君彦,梁君彥,,梁君彥,梁君彦,梁君彦,,,,Liang,,,,,,,,,,,,,,Category:Andrew Leung,,,,,,,,,Эндрю Лян,,,,,Andrew Leung,,,,,,,,,,justice of the peace,,,,,,,,,,,,,,,,,,,,,,,,Andrew Leung,,,,,,
