id,term,name,honorific_suffix,honorific_prefix,img,faction,email,website,phone,fax,gender,source,area_type,area
ocs,6,Wilson OR Chong-shing,MH,Hon,https://www.legco.gov.hk/images/mem_1620/ocs.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,orchongshinglegco@gmail.com,"",3543 0373,3954 5350,"",https://www.legco.gov.hk/general/english/members/yr16-20/ocs.htm,geographical,Kowloon East
psp,6,POON Siu-ping,"BBS, MH",Hon,https://www.legco.gov.hk/images/mem_1620/psp.jpg,The Federation of Hong Kong and Kowloon Labour Unions,poonsiuping@hkflu.org.hk,"",2787 9166,2787 2061,"",https://www.legco.gov.hk/general/english/members/yr16-20/psp.htm,functional,Labour
qe,6,Elizabeth QUAT,"BBS, JP",Dr Hon,https://www.legco.gov.hk/images/mem_1620/qe.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,eq@eqweb.hk,"",2833 9932,2833 9132,"",https://www.legco.gov.hk/general/english/members/yr16-20/qe.htm,geographical,New Territories East
skc,6,SHIU Ka-chun,"",Hon,https://www.legco.gov.hk/images/mem_1620/skc.jpg,Independent,info@shiukachun.org.hk,"",2346 8669,2346 8838,"",https://www.legco.gov.hk/general/english/members/yr16-20/skc.htm,functional,Social Welfare
skf,6,SHIU Ka-fai,"",Hon,https://www.legco.gov.hk/images/mem_small_1620/skf.jpg,Liberal Party,kfshiu003@yahoo.com.hk,"",2537 3627,2698 2612,"",https://www.legco.gov.hk/general/english/members/yr16-20/skf.htm,functional,Wholesale &amp; Retail
slh,6,Abraham SHEK Lai-him,"GBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/slh.jpg,Business and Professionals Alliance for Hong Kong,arazack@netvigator.com,"",2588 1060,2588 1623,"",https://www.legco.gov.hk/general/english/members/yr16-20/slh.htm,functional,Real Estate and Construction
tks,6,James TO Kun-sun,"",Hon,https://www.legco.gov.hk/images/mem_1620/tks.jpg,Democratic Party,jkstolegco@gmail.com,"",2789 8833,2391 6882,"",https://www.legco.gov.hk/general/english/members/yr16-20/tks.htm,functional,District Council (Second)
tmh,6,Jeremy TAM Man-ho,"",Hon,https://www.legco.gov.hk/images/mem_1620/tmh.jpg,Civic Party,contact@jeremytam.hk,"",2509 3100,2509 3101,"",https://www.legco.gov.hk/general/english/members/yr16-20/tmh.htm,geographical,Kowloon East
tps,6,Michael TIEN Puk-sun,"BBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/tps.jpg,Roundtable,mt@michaeltien.hk,"",3979 1700,3979 1777,"",https://www.legco.gov.hk/general/english/members/yr16-20/tps.htm,geographical,New Territories West
twc,6,Paul TSE Wai-chun,JP,Hon,https://www.legco.gov.hk/images/mem_small_1620/twc.jpg,Independent,paultse@paultse.org,"",2509 0088,2509 0388,"",https://www.legco.gov.hk/general/english/members/yr16-20/twc.htm,geographical,Kowloon East
twct,6,Tony TSE Wai-chuen,BBS,Hon,https://www.legco.gov.hk/images/mem_1620/twct.jpg,Independent,info@tonytsewaichuen.com,"",3618 9044,3462 2405,"",https://www.legco.gov.hk/general/english/members/yr16-20/twct.htm,functional,"Architectural, Surveying, Planning and Landscape"
wcw,6,WU Chi-wai,MH,Hon,https://www.legco.gov.hk/images/mem_1620/wcw.jpg,Democratic Party,chiwaioffice2016@gmail.com,"",2761 3106 / 3567 0304,2761 3021,"",https://www.legco.gov.hk/general/english/members/yr16-20/wcw.htm,geographical,Kowloon East
wkk,6,WONG Kwok-kin,"SBS, JP",Hon,https://www.legco.gov.hk/images/mem_small_1620/wkk.jpg,The Hong Kong Federation of Trade Unions,kkwong@ftulegco.org.hk,"",2537 9618,2509 9092,"",https://www.legco.gov.hk/general/english/members/yr16-20/wkk.htm,geographical,Kowloon East
wpw,6,Helena WONG Pik-wan,"",Dr Hon,https://www.legco.gov.hk/images/mem_1620/wpw.jpg,Democratic Party,helenawonghk@gmail.com,"",2537 2122,2537 4874,"",https://www.legco.gov.hk/general/english/members/yr16-20/wpw.htm,geographical,Kowloon West
wsk,6,Andrew WAN Siu-kin,"",Hon,https://www.legco.gov.hk/images/mem_1620/wsk.jpg,Democratic Party,wansiukin@gmail.com,"",2429 2612 / 2276 0077,2276 0577 / 2489 1984,"",https://www.legco.gov.hk/general/english/members/yr16-20/wsk.htm,geographical,New Territories West
wtk,6,WONG Ting-kwong,"GBS, JP",Hon,https://www.legco.gov.hk/images/english/pdf.gif,Democratic Alliance for the Betterment and Progress of Hong Kong,tkwong@dab.org.hk,"",2826 9152,2826 9148,"",https://www.legco.gov.hk/general/english/members/yr16-20/wtk.htm,functional,Import and Export
ycm,6,Frankie YICK Chi-ming,"SBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/ycm.jpg,Liberal Party,frankieyick@liberal.org.hk,"",2537 2442,2530 9167,"",https://www.legco.gov.hk/general/english/members/yr16-20/ycm.htm,functional,Transport
yhy,6,YUNG Hoi-yan,"",Hon,https://www.legco.gov.hk/images/mem_small_1620/yhy.jpg,New People's Party,info@euniceyung.hk,"",2877 2717,2877 2727,"",https://www.legco.gov.hk/general/english/members/yr16-20/yhy.htm,geographical,New Territories East
ynk,6,Alvin YEUNG,"",Hon,https://www.legco.gov.hk/images/mem_1620/ynk.jpg,Civic Party,info@ayeung.hk,"",8105 6471,2509 3101,"",https://www.legco.gov.hk/general/english/members/yr16-20/ynk.htm,geographical,New Territories East
ysw,6,YIU Si-wing,BBS,Hon,https://www.legco.gov.hk/images/mem_1620/ysw.jpg,Independent,ysw@yiusiwing.com,"",2297 0633,2297 0832,"",https://www.legco.gov.hk/general/english/members/yr16-20/ysw.htm,functional,Tourism
