id,name__en,name__ja,name__sco,name__fr,name__de,name,wikipedia__en,wikipedia__ja,gender,birth_date,given_name,original_wikiname,name__en_ca,name__en_gb,name__ca,name__oc,name__nl,name__zh,wikipedia__commons,wikipedia__de,wikipedia__fr,wikipedia__zh,image,twitter,family_name,identifier__VIAF,identifier__freebase,identifier__IMDB,name__es,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ko,name__th,name__vi,name__sh,name__ar,name__nb,name__id,name__cs,wikipedia__ar,wikipedia__es,wikipedia__id,wikipedia__jawikiquote,wikipedia__ko,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__sh,wikipedia__th,wikipedia__vi,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__NDL,website,name__ru,name__uk,name__yue,wikipedia__cs,wikipedia__ru,wikipedia__ruwikinews,wikipedia__uk,wikipedia__zh_yue,name__eo,name__he,wikipedia__eo,wikipedia__he,name__zh_mo,name__zh_my,name__et,wikipedia__et,name__sv,wikipedia__sv,name__fi,name__cy,wikipedia__fi,wikipedia__simple,death_date,name__it,identifier__CiNii,name__nan,name__ka,wikipedia__it,wikipedia__ka,wikipedia__zh_min_nan,identifier__MusicBrainz,name__pt,name__ms,name__fa,name__tl,wikipedia__ca,wikipedia__fa,wikipedia__ms,wikipedia__pt,wikipedia__tl,identifier__BNF,name__lb,name__jv,name__ta,name__hu,name__bn,name__el,name__my,name__sr,name__tr,name__si,name__io,name__az,name__hr,name__be,name__arz,name__yo,name__lv,name__gl,name__ro,name__la,name__bg,name__mr,name__lt,name__war,name__qu,name__ast,name__cdo,name__mg,wikipedia__arz,wikipedia__ast,wikipedia__az,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__cdo,wikipedia__cy,wikipedia__el,wikipedia__gl,wikipedia__hr,wikipedia__hu,wikipedia__io,wikipedia__jv,wikipedia__la,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mg,wikipedia__mr,wikipedia__my,wikipedia__oc,wikipedia__qu,wikipedia__ro,wikipedia__sco,wikipedia__si,wikipedia__sr,wikipedia__ta,wikipedia__thwikiquote,wikipedia__tr,wikipedia__war,wikipedia__yo,wikipedia__zhwikiquote,name__bs,name__sq,name__bcl,name__mk,name__sah,name__nn,name__kk,name__da,name__ml,name__tt,name__nds,name__pih,name__su,wikipedia__bcl,wikipedia__da,wikipedia__kk,wikipedia__kowikiquote,wikipedia__mk,wikipedia__ml,wikipedia__nds,wikipedia__nn,wikipedia__plwikiquote,wikipedia__sah,wikipedia__sq,wikipedia__su,wikipedia__tt,identifier__NNDB,identifier__Munzinger,name__pam,name__bxr,wikipedia__bxr,wikipedia__pam,identifier__NLA,identifier__NKC,identifier__BNE,identifier__PTBNP,identifier__NTA,identifier__NUKAT,identifier__CANTIC,identifier__SFDb,name__sr_el,name__sr_ec,name__nov,name__hy,name__is,name__scn,name__lzh,name__mn,name__pt_br,name__simple,name__ga,name__hi,name__hak,name__eu,name__yi,name__tg,name__ba,name__pa,wikipedia__ba,wikipedia__cswikiquote,wikipedia__dewikinews,wikipedia__enwikinews,wikipedia__eowikinews,wikipedia__eu,wikipedia__ga,wikipedia__hak,wikipedia__hi,wikipedia__hy,wikipedia__is,wikipedia__kowikinews,wikipedia__mn,wikipedia__pa,wikipedia__scn,wikipedia__tg,wikipedia__yi,name__bo,name__wuu,name__sgs,name__ksh,name__de_ch,wikipedia__bat_smg,wikipedia__bo,wikipedia__bs,wikipedia__ksh,wikipedia__ltwikiquote,wikipedia__wuu,name__rw,wikipedia__rw,identifier__AlloCine,identifier__allmovie,identifier__discogs,name__bar,wikipedia__bar,wikipedia__zu,identifier__Britannica,name__zu,wikipedia__enwikiquote,identifier__FAST,facebook,wikipedia__vo,name__vo,name__kana,identifier__moviemeter,last_seen,identifier__NLAtrove,identifier__kinopoisk,name__af,name__an,name__bm,name__br,name__co,name__de_at,name__frc,name__frp,name__fur,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__sk,name__sw,name__vec,name__vls,name__vmf,name__wa,name__wo,identifier__CSFD,identifier__DNF,identifier__filmportal_de,identifier__anime_news,weblog,political_alignment,identifier__senate_nl,identifier__elonet,identifier__PORT,identifier__SCOPE,wikipedia__ptwikiquote,wikipedia__uz,name__uz,wikipedia__fawikiquote,identifier__wikitree,identifier__google_knowledge,occupation,wikipedia__bi,name__bi,wikipedia__ne,name__ne,identifier__nyt_topic,identifier__snac,wikipedia__srwikinews,wikipedia__zhwikinews,identifier__quora,wikipedia__ptwikinews,identifier__youtube,name__ext,wikipedia__ie,wikipedia__vep,name__vep,wikipedia__azb,name__azb,identifier__ioc_athlete,instagram,email,wikipedia__sl,wikipedia__an,name__ace,name__sl,identifier__GTAA,identifier__google_plus,name__kl,wikipedia__enwikisource,identifier__GNC,name__map_bms,name__bjn,name__bug,name__gor,name__tet,identifier__BIBSYS,identifier__NLI,wikipedia__frwikisource,name__ur,wikipedia__ur,wikipedia__jawikisource,wikipedia__sk,wikipedia__kn,name__kn,wikipedia__ha,identifier__LNB,identifier__NSK,name__ha
Q11596723,Hisashi Inatsu,稲津久,,Hisashi Inatsu,,Hisashi Inatsu,,稲津久,male,1958-02-09,Hisashi,,,,,,,,,,,,,InatsuHisashi,,,,,Hisashi Inatsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.inatsu.com/,"Инацу, Хисаси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hisashi Inatsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inatsu.news,,,いなつ ひさし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,UCMj6Ry4O5UXUWKMGiNxJg2A,,,,,,,,,mailto:contact@inatsu.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11597257,Yōichi Anami,穴見陽一,,Yōichi Anami,,Yōichi Anami,,穴見陽一,male,1969-07-24,Yōichi,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/衆議院議員_穴見陽一.jpg,,,41146824639607630414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://anamin.net/,"Анами, Ёити",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yōichi Anami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anamiyoichi,,,あなみ よういち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11598974,Yuzuru Takeuchi,竹内譲,,Yuzuru Takeuchi,,Yuzuru Takeuchi,,竹内譲,male,1958-06-25,Yuzuru,,,,,,,,,,,,,takeuchi_yuzuru,Takeuchi,,,,Yuzuru Takeuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.takeuchi-yuzuru.com/,"Такэути, Юдзуру",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuzuru Takeuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,takeuchi.yuzuru,,,たけうち ゆずる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11602573,Hiroyoshi Sasakawa,笹川博義,,Hiroyoshi Sasakawa,,Hiroyoshi Sasakawa,,笹川博義,male,1966-08-29,Hiroyoshi,,,,,,Hiroyoshi Sasakawa,,,,,,,,,,,,Hiroyoshi Sasakawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sasagawa-hiroyoshi.com/index.php,"Сасагава, Хироёси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiroyoshi Sasakawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hirohiro.genki.sasagawa,,,ささがわ ひろよし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,笹川-4,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11603860,Kazuo Yana,簗和生,,,,Kazuo Yana,,簗和生,male,1979-04-22,Kazuo,,,,,,Kazuo Yana,,Category:Kazuo Yana,,,,,,Yana,,,,Kazuo Yana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yanakazuo.jp/index.html,"Яна, Кадзуо",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kazuo Yana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yanakazuo,,,やな かずお,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11606064,Ken'ichi Hosoda,細田健一,,Ken'ichi Hosoda,,Ken'ichi Hosoda,,細田健一,male,1964-07-11,Kenichi,,,,,,,,,,,,,hosoda_kenichi,,251860125,,,Ken'ichi Hosoda,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0003 7530 6146,,,,,http://hosoda-kenichi.jp/,"Хосода, Кэнъити",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken'ichi Hosoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100008738145092,,,ほそだ けんいち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11609955,Hiroyuki Yoshiie,義家弘介,,Hiroyuki Yoshiie,Hiroyuki Yoshiie,Hiroyuki Yoshiie,Hiroyuki Yoshiie,義家弘介,male,1971-03-31,Hiroyuki,,,,,,Hiroyuki Yoshiie,"義家弘介,",,,,,,yoshiiehiroyuki,Yoshiie,31955498,,,Hiroyuki Yoshiie,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 5295 232X,,nr2005027994,,,http://www.yoshiie-hiroyuki.com/,"Ёсииэ, Хироюки",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiroyuki Yoshiie,,,,,,,,,,,,,,,,,,,,,,Hiroyuki Yoshiie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628351,h.yoshiie,,,よしいえ ひろゆき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1161024,Tarō Kōno,河野太郎,,Taro Kono,Tarō Kōno,Tarō Kōno,Tarō Kōno,河野太郎,male,1963-01-10,Tarō,,,,,,Taro Kono,河野太郎,Category:Tarō Kōno,Tarō Kōno,Tarō Kōno,河野太郎,https://upload.wikimedia.org/wikipedia/commons/0/03/Taro_Kono_cropped_Taro_Kono_201510.jpg,konotarogomame,,260607112,/m/03ck752,,Taro Kono,河野太郎,河野太郎,河野太郎,,,,Tarō Kōno,고노 다로,,,,تارو كونو,,,Taró Kóno,تارو كونو,Tarō Kōno,,,고노 다로,,,Tarō Kōno,,,,0000 0003 8138 3930,,,,,http://www.taro.org/,"Коно, Таро",Коно Таро,,,"Коно, Таро",,Коно Таро,,,טארו קונו,,,,,Tarō Kōno,Tarō Kōno,,,,,,Tarō Kōno,,,,,,,,,,,,,,,,,,,,,,,Taro Kono,,,,,,,,,,,,,,,,Tarō Kōno,,,Taras Konas,,,,,,,,,,,,,,,,,,,,Tarō Kōno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,河野太郎-168727046514485,,,こうの たろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://blog.sina.com.cn/heyetailang,,,,,,,,,,河野-2,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11610264,Takashi Hanyūda,羽生田俊,,,,Takashi Hanyūda,,羽生田俊,male,1948-03-28,Takashi,,,,,,Takashi Hanyūda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ханюда, Такаси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takashi Hanyūda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,はにゅうだ たかし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11614128,Toshimitsu Funahashi,船橋利実,,Toshimitsu Funahashi,,Toshimitsu Funahashi,,船橋利実,male,1960-11-20,Toshimitsu,,,,,,,船橋利實,,,,船橋利實,,t_funahashi,,,,,Toshimitsu Funahashi,,,,,,,,후나바시 도시미쓰,,,,,,,,,,,,후나바시 도시미쓰,,,,,,,,,,,,https://funahashi-toshimitsu.jp/,"Фунахаси, Тосимицу",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toshimitsu Funahashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funahashi.toshimitsu,,,ふなはし としみつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11616441,,若松謙維,,,,,,若松謙維,male,1955-08-05,,,,,,,,,,,,,,ken_wakamatsu,Wakamatsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Вакамацу, Канэсигэ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wakamatsukaneshige,,,わかまつ かねしげ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11619136,Isshu Sugawara,菅原一秀,,Isshu Sugawara,Isshu Sugawara,Isshu Sugawara,Isshu Sugawara,菅原一秀,male,1962-01-07,,,,,,,Isshu Sugawara,,Category:Isshū Sugawara,,,,,sugawaraisshu,Sugawara,,/m/03clsrx,,Isshu Sugawara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.isshu.net/,"Сугавара, Иссю",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isshu Sugawara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugawaraisshu,,,すがわら いっしゅう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11619261,Ichirō Kanke,菅家一郎,,Ichirō Kanke,,Ichirō Kanke,,菅家一郎,male,1955-05-20,Ichirō,,,,,,,,,,,,,kanke_ichirou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kanke-ichiro.jp/,"Канкэ, Итиро",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ichirō Kanke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かんけ いちろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11622647,Satoshi Fujimaru,藤丸敏,,Satoshi Fujimaru,,Satoshi Fujimaru,,藤丸敏,male,1960-01-19,Satoshi,,,,,,,,,,,,,,,,,,Satoshi Fujimaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.fujimaru-satoshi.net,"Фудзимару, Сатоси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satoshi Fujimaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ふじまる さとし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11622732,Motoyuki Fujii,藤井基之,,Motoyuki Fujii,,Motoyuki Fujii,,藤井基之,male,1947-03-16,Motoyuki,,,,,,,,,,,,,,Fujii,251469013,,,Motoyuki Fujii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Фудзии, Мотоюки",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ふじい もとゆき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11622818,Hisayuki Fujii,藤井比早之,,Hisayuki Fujii,,Hisayuki Fujii,,藤井比早之,male,1971-09-11,Hisayuki,,,,,,,,,,,,,FujiiHisayuki,Fujii,,,,Hisayuki Fujii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://fujiihisayuki.jp/,"Фудзии, Хисаюки",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hisayuki Fujii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FujiiHisayuki,,,ふじい ひさゆき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11623218,Takashi Fujiwara,藤原崇,,Takashi Fujiwara,,Takashi Fujiwara,,藤原崇,male,1983-08-02,Takashi,,,,,,,,,,,,,iwate_fujiwara,,,,,Takashi Fujiwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://takasi.info/,"Фудзивара, Такаси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takashi Fujiwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100004477178223,,,ふじわら たかし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11624019,Masahito Fujikawa,藤川政人,,Masahito Fujikawa,,Masahito Fujikawa,,藤川政人,male,1960-07-08,Masahito,,,,,,,,Category:Masato Fujikawa,,,,,,,,,,Masahito Fujikawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Фудзикава, Масахито",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ふじかわ まさひと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11624044,Takeshi Fujimaki,藤巻健史,,Takeshi Fujimaki,,Takeshi Fujimaki,,藤巻健史,male,1950-06-03,Takeshi,,,,,,Takeshi Fujimaki,,,,,,,fujimaki_takesi,Fujimaki,215392833,,,Takeshi Fujimaki,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0003 5920 7850,173638929,,,,,"Фудзимаки, Такэси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takeshi Fujimaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ふじまき たけし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11624101,Kenzo Fujisue,藤末健三,,Kenzo Fujisue,Kenzo Fujisue,Kenzo Fujisue,Kenzo Fujisue,藤末健三,male,1964,Kenzo,,,,,,Kenzo Fujisue,"藤末健三,",,,,,,fujisue,,116745961,/m/03c_71m,,Kenzo Fujisue,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 8478 8464,,no00009550,,,http://fujisue.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenzo Fujisue,,,,,,,,,,,,,,,,,,,,,,Kenzo Fujisue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11629931,Kosaburo Nishime,西銘恒三郎,,Kosaburo Nishime,Kosaburo Nishime,Kosaburo Nishime,Kosaburo Nishime,西銘恒三郎,male,1954-08-07,,,,,,,Kosaburo Nishime,,,,,,,NishimeKosaburo,,,/m/03cd9sl,,Kosaburo Nishime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://nishime-k.com/,"Нисимэ, Кодзабуро",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kosaburo Nishime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kousaburou.nishime,,,にしめ こうざぶろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
