id,name__en,name__it,name,wikipedia__en,gender,original_wikiname,name__de,name__es,name__nl,wikipedia__de,birth_date,given_name,name__fr,name__ie,name__ru,wikipedia__commons,wikipedia__ie,image,death_date,name__cy,name__hu,last_seen,name__ja,occupation,wikipedia__fr,identifier__freebase,name__la,wikipedia__la,name__zh,name__sl,family_name,wikipedia__es,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__ISNI,name__sq,wikipedia__sq,twitter,name__en_gb,name__en_ca,name__pt,name__ca,name__ast,name__ar,wikipedia__ar,name__ak,name__ee
Q26923790,Della Sowah,,Della Sowah,Della Sowah,female,Della Sowah,Della Sowah,Della Sowah,Della Sowah,,1959-11-23,Della,Della Sowah,,,,,https://upload.wikimedia.org/wikipedia/commons/3/33/Della_Sowah.jpg,,,,,,politician,Della Sowah,,,,,Della Sowah,,,,,,,,,,,,,,Della Sowah,,,,
Q27057633,Abena Osei Asare,,Abena Osei Asare,Abena Osei Asare,female,Abena Osei Asare,,Abena Osei Asare,Abena Osei Asare,,1979-01-16,,Abena Osei Asare,,,,,,,,,,,politician,,,,,,Abena Osei Asare,,,,,,,,,,,,,,Abena Osei Asare,,,,
Q27975634,Ama Pomaa Andoh,,Ama Pomaa Andoh,Ama Pomaa Boateng,female,,,Ama Pomaa Andoh,Ama Pomaa Andoh,,1975-08-19,Ama,Ama Pomaa Andoh,,,,,,,,,,,politician,,,,,,Ama Pomaa Andoh,,,,,,,,,,Ama Pomaa Andoh,,,,Ama Pomaa Andoh,,,Ama Pomaa Andoh,Ama Pomaa Andoh
Q28223333,Kennedy Agyapong,,Kennedy Agyapong,Kennedy Agyapong,male,Kennedy Agyapong,,Kennedy Agyapong,,,1960-06-16,,Kennedy Agyapong,,,,,,,,,,,politician,,,,,,Kennedy Agyapong,,,,,,,,,,,,,,Kennedy Agyapong,,,,
Q28363756,Elizabeth Afoley Quaye,,Elizabeth Afoley Quaye,Elizabeth Afoley Quaye,female,,,Elizabeth Afoley Quaye,Elizabeth Afoley Quaye,,1970-11-01,Elizabeth,Elizabeth Afoley Quaye,,,,,,,,,,,politician,,,,,,Elizabeth Afoley Quaye,,,,,,,,,,,,,,Elizabeth Afoley Quaye,,,,
Q28377798,Joseph Osei Owusu,,Joseph Osei Owusu,Joseph Osei Owusu,male,,,Joseph Osei Owusu,Joseph Osei Owusu,,1962-01-22,Joseph,Joseph Osei Owusu,,,,,,,,,,,lawyer,,,,,,Joseph Osei Owusu,,,,,,,,,,,,,,Joseph Osei Owusu,,,,
Q28606407,Kwasi Ameyaw-Cheremeh,,Kwasi Ameyaw-Cheremeh,Kwasi Ameyaw-Cheremeh,male,Kwasi Ameyaw-Cheremeh,,Kwasi Ameyaw-Cheremeh,Kwasi Ameyaw-Cheremeh,,1966-11-06,,Kwasi Ameyaw-Cheremeh,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,Kwasi Ameyaw-Cheremeh,,,,
Q28677017,Matthew Opoku Prempeh,,Matthew Opoku Prempeh,Matthew Opoku Prempeh,male,,,Matthew Opoku Prempeh,Matthew Opoku Prempeh,,1968-05-23,Matthew,Matthew Opoku Prempeh,,,,,,,,,,,politician,,,,,,Matthew Opoku Prempeh,,,,,,,,,,,,,,Matthew Opoku Prempeh,,,,
Q28741196,Kwaku Agyemang-Manu,,Kwaku Agyemang-Manu,Kwaku Agyemang-Manu,male,,,Kwaku Agyemang-Manu,Kwaku Agyemang-Manu,,1955-09-06,,Kwaku Agyemang-Manu,,,,,,,,,,,politician,,,,,,Kwaku Agyemang-Manu,,,,,,,,,,,,,,Kwaku Agyemang-Manu,,,,
Q30302039,Egyapa Mercer,,Egyapa Mercer,Andrew Egyapa Mercer,male,,,Egyapa Mercer,Egyapa Mercer,,1973-05-25,,Egyapa Mercer,,,,,,,,,,,politician,,,,,,Egyapa Mercer,Mercer,,,,,,,,,,,,,Egyapa Mercer,,,,
Q30318776,Kwakye Darfour,,Kwakye Darfour,Kwakye Darfour,male,,,Kwakye Darfour,Kwakye Darfour,,1957-09-29,,Kwakye Darfour,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,Kwakye Darfour,,,,
Q30323575,Dominic Nitiwul,,Dominic Nitiwul,Dominic Nitiwul,male,,,Dominic Nitiwul,Dominic Nitiwul,,1977-11-04,,Dominic Nitiwul,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Dominic_Nitiwul_at_Obangame_Express_2017.jpg,,,,,,politician,,,,,,Dominic Nitiwul,,,,,,,,,,,,,,Dominic Nitiwul,,,,
Q30414875,Dan Botwe,,Dan Botwe,Dan Botwe,male,,,Dan Botwe,Dan Botwe,,1958-02-26,Dan,Dan Botwe,,,,,,,,,,,politician,,,,,,Dan Botwe,,,,,,,,,,,,,,Dan Botwe,,,,
Q30674983,Emmanuel Adjei Anwhere,,Emmanuel Adjei Anwhere,Emmanuel Adjei Anwhere,male,,,Emmanuel Adjei Anwhere,,,1962-09-20,Emmanuel,Emmanuel Adjei Anwhere,,,,,,,,,,,politician,,,,,,Emmanuel Adjei Anwhere,,,,,,,,,,,,,,Emmanuel Adjei Anwhere,,,,
Q30688553,Benito Owusu Bio,,Benito Owusu Bio,Benito Owusu Bio,male,,,Benito Owusu Bio,,,1968-11-01,Benito,Benito Owusu Bio,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,Benito Owusu Bio,,,,
Q31751713,Catherine Ablema Afeku,,Catherine Ablema Afeku,Catherine Afeku,female,,,Catherine Ablema Afeku,Catherine Ablema Afeku,,1967-06-27,Catherine,Catherine Ablema Afeku,,,,,,,,,,,politician,,,,,,Catherine Ablema Afeku,,,,,,,,,,,,,,Catherine Ablema Afeku,,,,
Q31960722,Samiu Kwadwo Nuamah,,Samiu Kwadwo Nuamah,Samiu Kwadwo Nuamah,male,,,Samiu Kwadwo Nuamah,,,1977-07-25,,Samiu Kwadwo Nuamah,,,,,,,,,,,politician,,,,,,Samiu Kwadwo Nuamah,,,,,,,,,,,,,,Samiu Kwadwo Nuamah,,,,
Q33108613,Isaac Kwame Asiamah,,Isaac Kwame Asiamah,Isaac Kwame Asiamah,male,,,Isaac Kwame Asiamah,,,1975-12-24,Isaac,Isaac Kwame Asiamah,,,,,,,,,,,politician,,,,,,Isaac Kwame Asiamah,,,,,,,,,,,,,,Isaac Kwame Asiamah,,,,
Q33129374,Samuel Atta Akyea,,Samuel Atta Akyea,Samuel Atta Akyea,male,,,Samuel Atta Akyea,,,1962-08-20,Samuel,Samuel Atta Akyea,,,,,,,,,,,politician,,,,,,Samuel Atta Akyea,,,,,,,,,,,,,,Samuel Atta Akyea,,,,
Q33134598,Kwesi Amoako Atta,,Kwesi Amoako Atta,Kwesi Amoako Atta,male,Kwesi Amoako Atta,,Kwesi Amoako Atta,,,1951-08-05,Kwesi,Kwesi Amoako Atta,,,,,,,,,,,politician,,,,,,Kwesi Amoako Atta,,,,,,,,,,,,,,Kwesi Amoako Atta,,,,
Q33634856,George Yaw Gyan-Baffour,,George Yaw Gyan-Baffour,George Gyan-Baffour,male,,,George Yaw Gyan-Baffour,,,1951-03-27,George,George Yaw Gyan-Baffour,,,,,,,,,,,politician,,,,,,George Yaw Gyan-Baffour,,,211356597,171706501,,,,,,,,,,George Yaw Gyan-Baffour,,,,
Q34199479,Bryan Acheampong,,Bryan Acheampong,Bryan Acheampong,male,,,Bryan Acheampong,Bryan Acheampong,,1972-11-27,Bryan,Bryan Acheampong,,,,,,,,,,,politician,,,,,,Bryan Acheampong,,,,,,,,,,,,,,Bryan Acheampong,,,,
Q34505430,Carlos Kingsley Ahenkorah,,Carlos Kingsley Ahenkorah,Carlos Kingsley Ahenkorah,male,,,Carlos Kingsley Ahenkorah,Carlos Kingsley Ahenkorah,,1966-07-20,Carlos,Carlos Kingsley Ahenkorah,,,,,,,,,,,politician,,,,,,Carlos Kingsley Ahenkorah,,,,,,,,,,,,,,Carlos Kingsley Ahenkorah,,,,
Q35561192,Barbara Oteng Gyasi,,Barbara Oteng Gyasi,Barbara Oteng Gyasi,female,,,Barbara Oteng Gyasi,,,1964-10-05,Barbara,Barbara Oteng Gyasi,,,,,,,,,,,politician,,,,,,Barbara Oteng Gyasi,,,,,,,,,,,,,,Barbara Oteng Gyasi,,,,
Q35561225,Barbara Ayisi Acher,,Barbara Ayisi Acher,Barbara Asher Ayisi,female,,,Barbara Ayisi Acher,,,1976,Barbara,Barbara Ayisi Acher,,,,,,,,,,,politician,,,,,,Barbara Ayisi Acher,,,,,,,,,,,,,,Barbara Ayisi Acher,,,,
Q35562144,Osei Bonsu Amoah,,Osei Bonsu Amoah,Osei Bonsu Amoah,male,,,Osei Bonsu Amoah,,,1961-08-15,,Osei Bonsu Amoah,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,Osei Bonsu Amoah,,,,
Q35562227,Derrick Oduro,,Derrick Oduro,Derrick Oduro,male,,,Derrick Oduro,,,1958-02-23,,Derrick Oduro,,,,,,,,,,,civil servant,,,,,,,,,,,,,,,,,,,,Derrick Oduro,,,,
Q35562256,Nii Kwartei Titus Glover,,Nii Kwartei Titus Glover,Nii Kwartei Titus Glover,male,,,Nii Kwartei Titus Glover,,,1966-08-28,,Nii Kwartei Titus Glover,,,,,,,,,,,politician,,,,,,Nii Kwartei Titus Glover,,,,,,,,,,,,,,Nii Kwartei Titus Glover,,,,
Q35563083,Gifty Twum Ampofo,,Gifty Twum Ampofo,Gifty Twum Ampofo,female,,,Gifty Twum Ampofo,,,1967-06-11,,Gifty Twum Ampofo,,,,,,,,,,,politician,,,,,,Gifty Twum Ampofo,,,,,,,,,,,,,,Gifty Twum Ampofo,,,,
Q35563113,Anthony Karbo,,Anthony Karbo,Anthony Karbo,male,,,Anthony Karbo,,,1979-08-12,Anthony,Anthony Karbo,,,Category:Anthony Karbo,,https://upload.wikimedia.org/wikipedia/commons/0/04/Anthony_Karbo_Lawra_Kobine_Festival.jpg,,,,,,politician,,,,,,Anthony Karbo,,,,,,,,,,,,,,Anthony Karbo,,,,
Q35563142,Kwabena Owusu Aduomi,,Kwabena Owusu Aduomi,Kwabena Owusu Aduomi,male,,,Kwabena Owusu Aduomi,,,1960-09-17,,Kwabena Owusu Aduomi,,,,,,,,,,,politician,,,,,,Kwabena Owusu Aduomi,,,,,,,,,,,,,,Kwabena Owusu Aduomi,,,,
Q35563201,Vincent Sowah Odotei,,Vincent Sowah Odotei,Vincent Sowah Odotei,male,,,Vincent Sowah Odotei,,,1968-05-05,Vincent,Vincent Sowah Odotei,,,,,,,,,,,politician,,,,,,Vincent Sowah Odotei,,,,,,,,,,,,,,Vincent Sowah Odotei,,,,
Q35563229,George Andah,,George Andah,George Andah,male,,,George Andah,,,1970-04-27,George,George Andah,,,,,,,,,,,politician,,,,,,George Andah,,,,,,,,,,,,,,George Andah,,,,
