id,name__de,name__en,name__fi,name__sq,name__ro,name__pl,name__el,name__nl,name__es,name__fr,name__hu,name,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__fi,wikipedia__pl,wikipedia__ro,wikipedia__sq,gender,birth_date,identifier__freebase,identifier__EuroparlMEP,original_wikiname,name__vi,name__ru,name__uz,name__bg,name__de_ch,name__en_ca,name__en_gb,name__eo,name__fa,name__id,name__ka,name__la,name__mr,name__sh,name__sv,name__tl,name__tr,name__cy,name__pam,name__ko,name__sk,name__cs,name__lb,name__bs,name__pt_br,name__ar,name__ja,name__uk,name__et,name__ms,name__be,name__sr,name__it,name__nb,name__yo,name__he,name__pt,name__zh,name__hy,name__ca,name__li,name__io,name__sco,name__da,name__nn,wikipedia__ar,wikipedia__be,wikipedia__bg,wikipedia__bs,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fr,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__li,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__pam,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ru,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__sv,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__uz,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,given_name,website,identifier__parlement,name__af,name__an,name__ast,name__bar,name__br,name__co,name__de_at,name__eu,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__is,name__kg,name__lij,name__mg,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,last_seen,identifier__PACE,identifier__VIAF,identifier__GND,wikipedia__hsb,name__hsb,identifier__GTAA,occupation,name__se,name__ceb,name__zh_hk,name__yue,name__zh_cn,name__zh_sg,name__zh_hans,name__zh_hant,name__zh_tw,name__zh_mo,name__zh_my,name__lt,name__fy,name__eml,name__dsb,name__mt,name__lv,name__jam,name__frr,name__wuu,name__fo,name__hif,name__ht,name__jv,name__als,name__no,name__ang,name__su,name__simple,name__ay,name__tt,wikipedia__arwikinews,wikipedia__da,wikipedia__ga
Q12881566,,,,,,,Νίκος Τορναρίτης,,,,,,,Νίκος Τορναρίτης,,,,,,male,1964-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12882425,Pambos Papageorgiou,Pambos Papageorgiou,,,,,Πάμπος Παπαγεωργίου,Pambos Papageorgiou,,Pambos Papageorgiou,,Pambos Papageorgiou,,Πάμπος Παπαγεωργίου,Pambos Papageorgiou,,,,,male,1963-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charalampos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12882663,,,,,,,Πανίκκος Σταυριανός,,,,,,,Πανίκκος Σταυριανός,,,,,,male,1964-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12884190,,,,,,,Ρούλα Μαυρονικόλα,,,,,,,Ρούλα Μαυρονικόλα,,,,,,female,1957-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12884514,,,,,,,Σκεύη Κουκουμά Κούτρα,,,,,,,Σκεύη Κουκουμά Κούτρα,,,,,,female,1954-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12886195,,,,,,,Χριστάκης Τζιοβάνης,,,,,,,Χριστάκης Τζιοβάνης,,,,,,male,1956-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12912924,Nicos Nicolaides,Nicos Nicolaides,,,,,Νίκος Νικολαΐδης,,,Nicos Nicolaides,,Nicos Nicolaides,,Νίκος Νικολαΐδης (πολιτικός),Nicos Nicolaides (politician),,,,,male,1953-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Nicos_Nicolaides_EDEK_MP.jpg,Nikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15950881,,Stavros Evagorou,,,,Stawros Ewagoru,Σταύρος Ευαγόρου,Stavros Evagorou,,,,Stavros Evagorou,,Σταύρος Ευαγόρου,,,Stawros Ewagoru,,,male,1959-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15951474,,Averof Neofytou,,,,Awerof Neofitu,Αβέρωφ Νεοφύτου,Averof Neofytou,Averof Neofytou,Averof Neophytou,,Averof Neofytou,,Αβέρωφ Νεοφύτου,Averof Neofytou,,Awerof Neofitu,,,male,1961-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿韋羅夫·內奧皮圖,,,,,,,,,,,,,,,,,Averof Neofytou,,,Avérof Neofýtou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Averof_Neophytou_2009.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16329024,,,,,,,Στέλλα Δημητρίου Μισιαούλη,,,,,,,Στέλλα Δημητρίου Μισιαούλη,,,,,,,1954-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16329147,,,,,,,Γιάννος Λαμάρης,,,,,,,Γιάννος Λαμάρης,,,,,,male,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16329183,,,,,,,Γιώργος Γεωργίου,,,,,,,Γιώργος Κ. Γεωργίου (βουλευτής Λάρνακας),,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16332700,,,,,,,Χρίστος Μέσης,,,,,,,Χρίστος Μέσης,,,,,,,1957-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16571128,Lefteris Christoforu,Lefteris Christoforu,,,,Lefteris Christoforu,,Lefteris Christoforu,,Lefteris Christoforou,,Lefteris Christoforu,,,,,Lefteris Christoforu,,,male,1963-08-31,,26837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leftéris Christofórou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eleftherios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2112764,Nikos Anastasiadis,Nicos Anastasiades,Nikos Anastasiades,,,Nicos Anastasiades,Νίκος Αναστασιάδης,Nicos Anastasiades,Nikos Anastasiadis,Níkos Anastasiádis,Níkosz Anasztasziádisz,Nicos Anastasiades,Nikos Anastasiadis (Politiker),Νίκος Αναστασιάδης,Nicos Anastasiades,Nikos Anastasiades,Nikos Anastasiadis,,,male,1946-09-27,/m/026_qqj,,,Nicos Anastasiades,"Анастасиадис, Никос",Nikos Anastasiades,Никос Анастасиадис,Nikos Anastasiadis,Nicos Anastasiades,Nicos Anastasiades,Nikos Anastasiades,نیکوس آناستاسیادس,Nicos Anastasiades,ნიკოს ანასტასიადესი,Nicolaus Anastasiades,निकोस अनास्तासियादेस,Nikos Anastasidis,Nicos Anastasiades,Nicos Anastasiades,Nikos Anastasiadis,Nicos Anastasiades,Nicos Anastasiades,니코스 아나스타시아데스,Nikos Anastasiadis,Nikos Anastasiadis,Nikos Anastasiades,Nicos Anastasiades,Nicos Anastasiades,نيكوس أناستاسيادس,ニコス・アナスタシアディス,Нікос Анастасіадіс,Níkos Anastasiádis,Nicos Anastasiades,Нікас Анастасіядыс,Никос Анастасијадес,Nikos Anastasiadīs,Nikos Anastasiades,Nicos Anastasiades,ניקוס אנסטסיאדיס,Nicos Anastasiades,尼科斯·阿纳斯塔夏季斯,Նիկոս Անաստասիադիս,Nicos Anastasiades,Nikos Anastasiadis,Nikos Anastasiades,Nicos Anastasiades,Nikos Anastasiadis,Nikos Anastasiadis,نيكوس أناستاسيادس,Нікас Анастасіядыс,Никос Анастасиадис,,Nicos Anastasiades,Category:Nicos Anastasiades,Nikos Anastasiadis,Nicos Anastasiades,Nikos Anastasiades,Nikos Anastasiadis,Níkos Anastasiádis,نیکوس آناستاسیادس,Níkos Anastasiádis,ניקוס אנסטסיאדיס,Níkosz Anasztasziádisz,Նիկոս Անաստասիադիս,Nicos Anastasiades,Nikos Anastasiades,Nikos Anastasiadīs,ニコス・アナスタシアディス,ნიკოს ანასტასიადესი,니코스 아나스타시아데스,Nicolaus Anastasiades,Nikos Anastasiades,Nikos Anastasiadis,निकोस अनास्तासियादेस,Nicos Anastasiades,Nikos Anastasiadis,Nikos Anastasiades,Nicos Anastasiades,Nikos Anastasiadis,Nicos Anastasiades,"Анастасиадис, Никос",Категория:Никос Анастасиадис,Nicos Anastasiades,Nikos Anastasidis,Nicos Anastasiades,Nikos Anastasiadis,Никос Анастасијадес,Nicos Anastasiades,Nicos Anastasiades,Nikos Anastasiadis,Нікос Анастасіадіс,Nikos Anastasiades,Nicos Anastasiades,Nicos Anastasiades,尼科斯·阿纳斯塔夏季斯,https://upload.wikimedia.org/wikipedia/commons/8/85/Nicos_Anastasiades_at_EPP_HQ.jpg,Nikos,http://anastasiades.topcyprus.net,vj83lju1u0zg,,,,,,,,,,,Nicos Anastasiades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61145602450201360521,1105798917,Nikos Anastasiadis,Nikos Anastasiadis,235411,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Никос Анастасиадис,تصنيف:نيكوس أناستاسياديس,Nicos Anastasiades,Nicos Anastasiades
Q2568399,Nicos Katsourides,Nicos Katsourides,,,,,Νίκος Κατσουρίδης,Nicos Katsourides,,Nicos Katsourides,,Nicos Katsourides,,Νίκος Κατσουρίδης,Nicos Katsourides,,,,,male,1951-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2634360,Marios Garoyian,Marios Garoyian,,,,Marios Karoyian,Μάριος Καρογιάν,Marios Garoyian,Marios Karoyian,Marios Karoyian,,Marios Garoyian,,Μάριος Καρογιάν,Marios Garoyian,,Marios Karojan,,,male,1961-05-31,,,,,Мариос Гароян,,,,,,,ماریوس گارویان,,,,,,,,Marios Garoyan,,,,,,,,,,,,,,,,,,,,,,Մարիոս Գարոյան,,,,,,,,,,,,,,,,Marios Karoyian,,ماریوس گارویان,Marios Karoyian,,,Մարիոս Գարոյան,,,,,,,,,,,,,,,,,"Гароян, Мариос",,,,,,,,,Marios Garoyan,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1a/MP_Marios_Garoyian_speaking_to_Horasis_11_April_2011.png,Marios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3161181,Nikolas Papadopoulos,Nikolas Papadopoulos,,,,Nikolas Papadopulos,Νικόλας Παπαδόπουλος,Nikolas Papadopoulos,Nikolas Papadopoulos,Nikolas Papadopoulos,,Nikolas Papadopoulos,,Νικόλας Παπαδόπουλος (πολιτικός),Nikolas Papadopoulos,,Nikolas Papadopulos,,,male,1973-04-22,,,,,Николас Пападопулос,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikolas Papadopoulos,,,,尼古拉斯·帕帕多普洛斯,,,,,,,,,,,,,Category:Nikolas Papadopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Nikolas_Papadopoulos.jpg,Nikolas,,,,,,,,,,Nikolas Papadopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q351655,Adamos Adamou,Adamos Adamou,Adamos Adamou,Adamos Adamou,Adamos Adamou,Adamos Adamou,Αδάμος Αδάμου,Adamos Adamou,Adamos Adamou,Adamos Adamou,Adamos Adamou,Adamos Adamou,Adamos Adamou,Αδάμος Αδάμου,Adamos Adamou,Adamos Adamou,Adamos Adamu,Adamos Adamou,Adamos Adamou,male,1950-10-30,/m/054qk8,28469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4755548,Andreas Michaelides,Andreas Michaelides,,,,,Ανδρέας Μιχαηλίδης,Andreas Michaelides,Andreas Michaelides,Andreas Michaelides,,Andreas Michaelides,,Ανδρέας Μιχαηλίδης,Andreas Michaelides,,,,,male,1952-12-29,,,,,,,,,,,,,,,,,,,,Andreas Mihailidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Mihailidis,,,,,,,Andreas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,association football player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
