id,name__zh,name__pl,name__eu,name__fr,name__ru,name__es,name__en,name__ca,name__hu,name__fi,name__it,name__la,name__cy,name__de,name__br,name__ga,name__nl,name__sv,name__mzn,name__oc,name__nb,name__da,name__nn,name__he,name,wikipedia__br,wikipedia__ca,wikipedia__cy,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__eu,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__mzn,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__zh,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,identifier__freebase,given_name,website,identifier__Munzinger,identifier__journalisted,identifier__hansard,name__be,name__gl,name__id,name__bn,name__ar,name__pt,name__eo,name__uk,name__be_tarask,name__cs,name__bg,name__fa,name__ckb,name__az,name__ko,name__hy,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__fa,wikipedia__gl,wikipedia__id,wikipedia__ko,wikipedia__nn,wikipedia__no,wikipedia__pt,wikipedia__uk,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,family_name,identifier__NTA,identifier__EuroparlMEP,name__gd,name__yo,name__et,name__ja,name__pnb,name__sk,name__ku_arab,name__ku_latn,name__tr,name__ku,name__hi,name__ur,wikipedia__et,wikipedia__gd,wikipedia__ja,wikipedia__ku,wikipedia__pnb,wikipedia__sk,wikipedia__tr,wikipedia__ur,wikipedia__yo,identifier__SELIBR,identifier__NNDB,identifier__parliamentDOTuk,name__nan,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__is,name__ro,name__mr,name__io,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__ro,wikipedia__zh_min_nan,identifier__GTAA,death_date,identifier__Oxforddnb,name__el,name__sr_el,name__sr_ec,name__hr,name__sco,name__sr,name__ie,name__af,wikipedia__af,wikipedia__el,wikipedia__hr,wikipedia__ie,wikipedia__itwikiquote,wikipedia__sco,wikipedia__sr,identifier__NLA,identifier__NPG,name__en_ca,name__en_gb,name__tl,wikipedia__tl,name__de_ch,honorific_prefix,name__an,name__bs,name__ceb,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sl,name__sq,name__vec,name__wa,name__vmf,name__ta,wikipedia__ta,identifier__MusicBrainz,identifier__discogs,twitter,name__yue,identifier__GNC,wikipedia__plwikiquote,identifier__publicwhip,original_wikiname,wikipedia__hiwikiquote,identifier__FAST,identifier__Britannica,wikipedia__sh,last_seen,identifier__TWFY,identifier__bbc_democracy_live,identifier__CSPAN,identifier__parliamentary_record,identifier__N6I,name__sh,identifier__OLID,identifier__BNE,name__fit,identifier__senate_nl,identifier__PACE,name__ast,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gsw,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__mg,name__min,name__ms,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sw,name__vi,name__vls,name__vo,name__wo,name__zu,identifier__guardian_topic,wikipedia__enwikinews,occupation,identifier__nobel_prize,identifier__nlg,wikipedia__cawikiquote,identifier__snac,facebook,wikipedia__sl,noble_title,identifier__DoUB,identifier__wikitree,wikipedia__bgwikiquote,identifier__BBC_things,identifier__MGP,wikipedia__nrm,wikipedia__vi,name__aa,name__ace,name__ak,name__ang,name__ay,name__bcl,name__bi,name__bjn,name__cbk_zam,name__cdo,name__ch,name__cho,name__chy,name__cr,name__crh_latn,name__csb,name__diq,name__dsb,name__dtp,name__ee,name__egl,name__eml,name__ext,name__ff,name__fj,name__fo,name__frr,name__fy,name__gag,name__gn,name__gv,name__ha,name__hak,name__hif_latn,name__hil,name__ho,name__hsb,name__ht,name__hz,name__ig,name__ik,name__ike_latn,name__ilo,name__jbo,name__jv,name__kaa,name__ki,name__kk_latn,name__kk_tr,name__ksh,name__lad,name__nah,name__qu,name__rup,name__sn,name__su,name__tpi,name__uz,name__war,name__zea,identifier__quora,identifier__ITF,identifier__ne_se,wikipedia__hi,identifier__national_archives,name__mk,wikipedia__lrc,identifier__rush,name__lrc,wikipedia__si,honorific_suffix,identifier__oireachtas,identifier__ricorso,name__si,identifier__persee,wikipedia__slwikiquote,wikipedia__ms,name__kana,identifier__NKC,parlid
Q28867959,,,,,,,Jemma Dolan,,,,,,,,,,Jemma Dolan,,,,,,,,Jemma Dolan,,,,,Jemma Dolan,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Jemma_Dolan_2017.jpg,female,,,,,,Jemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Jemma Dolan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28867994,,,,,,,Jonathan Buckley,,,,,,,,,,Jonathan Buckley,,,,,,,,Jonathan Buckley,,,,,Jonathan Buckley,,,,,,,,,,,,,,,,,,male,,,,1991-07-19,,Jonathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28868387,,,,,,,John Stewart,,,,,,,,,,John Stewart,,,,,,,,John Stewart,,,,,John Stewart (Northern Ireland politician),,,,,,,,,,,,,,,,,,male,,,,1983-04-09,,John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28868438,,,,,,,Pat Catney,,,,,,,,,,Pat Catney,,,,,,,,Pat Catney,,,,,Pat Catney,,,,,,,,,,,,,,,,,,male,,,,,,Pat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2904605,,,,Eamonn McCann,,Eamonn McCann,Eamonn McCann,,,,Eamonn McCann,,,Eamonn McCann,,,Eamonn McCann,Eamonn McCann,,,,,,,Eamonn McCann,,,,,Eamonn McCann,,,,,,,,Eamonn McCann,,,,,,,Eamonn McCann,,"https://upload.wikimedia.org/wikipedia/commons/1/11/Anti-Austerity_March,_Belfast,_October_2012_(025).JPG",male,246411620,,n80109148,1943-03-10,/m/07_s_h,Eamonn,http://www.eamonnmccann.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Eamonn McCann,,,,,,,,,,,,,0000 0000 8286 9631,,104455322,,McCann,,,,,,イアモン・マッキャン,,,,,,,,,,,,,,,,,,,,,,,埃蒙·麥克卡恩,,埃蒙·麦克卡恩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eamonn McCann,,,,,,,,,,,,,,,,59726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q296597,伊恩·佩斯利,Ian Paisley,Ian Paisley,Ian Paisley,"Пейсли, Иан",Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ioannes Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,איאן פייזלי,Ian Paisley,,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,איאן פייזלי,Ian Paisley,Ian Paisley,Ioannes Paisley,,Ian Paisley,Ian Paisley,"Пейсли, Иан",Ian Paisley,Ian Paisley,伊恩·佩斯利,https://upload.wikimedia.org/wikipedia/commons/e/eb/DrIanPaisley.jpg,male,79426950,119479362,n50051819,1926-04-06,/m/0nxf7,Ian,,00000012445,,reverend-dr-ian-paisley,,Ian Paisley,Ian Paisley,,,Ian Paisley,Ian Paisley,Іан Пейслі,,Ian Paisley,,,,,이언 페이즐리,,,,,,,,,Category:Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,,Ian Paisley,,이언 페이즐리,,Ian Paisley,Ian Paisley,Іан Пейслі,0000 0000 7863 4864,12062254n,028878302,,Paisley,072783273,1396,Ian Paisley,,Ian Paisley,イアン・ペイズリー,,Ian Paisley,,,Ian Paisley,,,,,,イアン・ペイズリー,,,,,,,378215,766/000085511,lords/lord-bannside/4149,,伊恩·佩斯利,伊恩·佩斯利,伊恩·佩斯利,伊恩·佩斯利,伊恩·佩斯利,伊恩·佩斯利,,Ian Paisley,,Ian Paisley,,,,Ian Paisley,,,2014-09-12,,Ίαν Πέσλεϊ,Ijan Pejsli,Ијан Пејсли,Ian Paisley,Ian Paisley,Ијан Пејсли,Ian Paisley,Ian Paisley,Ian Paisley,Ίαν Πέισλι,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ијан Пејсли,35406216,mp52885,Ian Paisley,Ian Paisley,,,Ian Paisley,,Ian Paisley,,,Ian Paisley,,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,,Ian Paisley,Ian Paisley,Ian Paisley,,,,,ianpaisleymp,,0048249,,,,,,biography/Ian-Paisley,Ian Paisley,,,,,,,Ian Paisley,,,,,,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,,,politician,,,Ian Paisley,,,,,,Paisley-426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ian-paisley,,F46420,Ијан Пејсли,,543,,,,,,,,Ian Paisley,,イアン・ペイズリー,,4149
Q300243,尼格爾·多茲,,,Nigel Dodds,,Nigel Dodds,Nigel Dodds,,Nigel Dodds,,Nigel Dodds,,,Nigel Dodds,,,Nigel Dodds,Nigel Dodds,,,,,,,Nigel Dodds,,,,Nigel Dodds,Nigel Dodds,,,,Nigel Dodds,,,,,,,,,,,Nigel Dodds,尼格爾·多茲,https://upload.wikimedia.org/wikipedia/commons/a/a1/Official_portrait_of_Nigel_Dodds_crop_2.jpg,male,304250698,,n98040344,1958-08-20,/m/025tw4,Nigel,http://www.nigeldodds.co.uk/,,nigel-dodds,mr-nigel-dodds,,,,,,,,,,,,,,,,,,,,,,,,Category:Nigel Dodds,,,,,,,,,,,,,0000 0004 0987 5380,,075992612,,Dodds,318711559,,,,,,,,,,,,,,,,,,,,,,,,,commons/mr-nigel-dodds/1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigel Dodds,,,,,,,,,NigelDoddsMP,,,,Nigel_Dodds,,,,,,,nigel_dodds,25658,nigeldodds,,,,,,,,5585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4139,,,,,,,,,,,,1388
Q300269,帕特·杜赫提,,,Patrick Doherty,,Pat Doherty,Pat Doherty,,Pat Doherty,Patrick Doherty,Pat Doherty,,,Pat Doherty,,,Pat Doherty,Pat Doherty,,,,,,,Pat Doherty,,,,,Pat Doherty,,,Patrick Doherty,Patrick Doherty,,,,,,,,,,,Pat Doherty,帕特·杜赫提,https://upload.wikimedia.org/wikipedia/commons/0/04/PatDoherty.jpg,male,,,,1945-07-18,/m/025q2d,Patrick,,,,mr-pat-doherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commons/mr-pat-doherty/1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pat Doherty,,,,,,,,,PatDohertySF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4142,,,,,,,,,,,,1465
Q300292,傑福瑞·唐納森,,,Jeffrey Donaldson,,Jeffrey Donaldson,Jeffrey Donaldson,,Jeffrey Donaldson,,Jeffrey Donaldson,,,Jeffrey Donaldson,,,Jeffrey Donaldson,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,,,,Jeffrey Donaldson,,,,,,,,,,,,,,,Jeffrey Donaldson,傑福瑞·唐納森,https://upload.wikimedia.org/wikipedia/commons/3/37/Official_portrait_of_Sir_Jeffrey_M._Donaldson_crop_2.jpg,male,22098572,,,1962-12-07,/m/024ny0,Jeffrey,http://www.jeffreydonaldson.org/,,,mr-jeffrey-donaldson,,,,,,,,,,,,,,,,,,,,,,,,Category:Jeffrey Donaldson,,,,,,,,,,,,,0000 0000 5264 3834,,,,Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,,commons/mr-jeffrey-m.-donaldson/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeffrey Donaldson,,,,,,,,,J_Donaldson_MP,,,,,,,,,,,,,,,vtls000287450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,jeffrey.donaldson1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,,,,,,,,,,,650
Q302620,馬克·杜爾肯,,,Mark Durkan,,Mark Durkan,Mark Durkan,,Mark Durkan,Mark Durkan,Mark Durkan,,,Mark Durkan,,Mark Durkan,Mark Durkan,Mark Durkan,,,,,,,Mark Durkan,,,,,Mark Durkan,,,Mark Durkan,,Mark Durkan,,,,,,,,,,Mark Durkan,馬克·杜爾肯,https://upload.wikimedia.org/wikipedia/commons/6/6f/MarkDurkan.jpg,male,,,,1960-06-26,/m/0250c7,Mark,,,,mr-mark-durkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durkan,,,,,,マーク・ダーカン,,,,,,,,,,,,,,,,,,,,commons/mark-durkan/1594,,,,,马克·杜尔肯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Durkan,Mark Durkan,,,,,,,,,,,,,,Mark Durkan,,,,,,,,,markdurkan,,,,,,,,biography/Mark-Durkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,mark.durkan.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9506,,,,,,,,,,,,1594
Q30582985,,,,,,,Karen Mullan,,,,,,,,,,Karen Mullan,,,,,,,,Karen Mullan,,,,,Karen Mullan,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/52/Karen_Mullan_2012.jpg,female,,,,1976-08-18,,Karen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mullan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k_mullan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30583110,,,,,,,Catherine Kelly,,,,,,,,,,Catherine Kelly,,,,,,,,Catherine Kelly,,,,,Catherine Kelly,,,,,,,,,,,,,,,,,,female,,,,1987-06-27,,Catherine,,,,,,,,,كاثرين كيلي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31373965,,,,,,,Colm Gildernew,,,,,,,,,,,,,,,,,,Colm Gildernew,,,,,Colm Gildernew,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Colm_Gildernew_MLA_(cropped).jpg,male,,,,1969-06-27,,Colm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3181858,,,,John Kelly,Джон Келли,,John Kelly,,John Kelly,,,,John Kelly,John Kelly,,,John Kelly,,,,,,,,John Kelly,,,,,John Kelly (Sinn Féin politician),,,,John Kelly (homme politique),,,,,,,,,,,,,,male,70215,,,1936-04-05,,John,,,,,,,,,جون كيلي,,,,,,,جان کلی,,,,,,,,,,,,,,,,,,,,,,,,,0000 0001 1436 265X,,,,Kelly,,,,,,,,,,,,,,,,,,,,,,,,193246,,,,,,,,,,,,,,,,,,,,2007-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q33088456,,,,,,,Emma Rogan,,,,,,,,,,Emma Rogan,,,,,,,,Emma Rogan,,,,,Emma Rogan,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/00/Emma_Rogan_MLA_(close_cropped).jpg,female,,,,1986-06-27,,Emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emma Rogan,,,,,,,,,emmarogansf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,emmaroganmla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q333036,彼德·羅賓遜,Peter Robinson,,Peter Robinson,"Робинсон, Питер",Peter Robinson,Peter Robinson,,Peter Robinson,Peter Robinson,Peter Robinson,Petrus Robinson,,Peter Robinson,,Peter Robinson,Peter Robinson,Peter Robinson,,,Peter Robinson,Peter Robinson,,,Peter Robinson,,,,Peter Robinson (Politiker),Peter Robinson (Northern Ireland politician),Peter Robinson (político),,Peter Robinson,Peter Robinson (homme politique),Peter Robinson,,Peter Robinson (politikus),Peter Robinson (politico),Petrus Robinson,,,Peter Robinson,"Робинсон, Питер",Peter Robinson,Peter Robinson (politiker),彼德·羅賓遜 (政治人物),https://upload.wikimedia.org/wikipedia/commons/1/1a/Peter_Robinson_at_Titanic_Belfast_(Cropped).jpg,male,48415763,,n92001987,1948-12-29,/m/025q3t,Peter,http://www.peterrobinson.org/default.asp,,,mr-peter-robinson,,,,,بيتر روبنسون,,,Пітер Робінсон,,,,پیتر رابینسون,,,피터 로빈슨,,,,,,,,,Category:Peter Robinson,,Peter Robinson,,,,,,피터 로빈슨 (정치인),,Peter Robinson (politiker),,Пітер Робінсон,0000 0000 4133 6943,,,,Robinson,,,,,,,,,,,Peter Robinson,,,,,,,,,,Peter Robinson,,,,,Commons/member/642,,,,,,,,,,,,,,,,,146684,,,Πίτερ Ρόμπινσον,,,,,,,Peter Robinson,Peter Robinson (politikus),Πίτερ Ρόμπινσον,,,,,,,,Peter Robinson,Peter Robinson,Peter Robinson,Peter Robinson (politiko),,,,,,,,,,,,Peter Robinson,,,,,,,,,,,0457546,,,,,,biography/Peter-David-Robinson,,,,,,,vtls000313075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,82572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,,,,,,,266545,,,,,642
Q333235,艾瑞絲·羅賓遜,,Iris Robinson,Iris Robinson,Ирис Робинсон,Iris Robinson,Iris Robinson,,Iris Robinson,,Iris Robinson,,,Iris Robinson,,Iris Robinson,Iris Robinson,Iris Robinson,,,,,,,Iris Robinson,,,,Iris Robinson,Iris Robinson,,,,,Iris Robinson,,,,,,Iris Robinson,,,,,,,female,,,,1949-09-06,/m/025q32,Iris,,,,mrs-iris-robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robinson,,,,,,アイリス・ロビンソン,,,,,,,,,,,アイリス・ロビンソン,,,,,,,,,Commons/member/1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iris Robinson,,,,,,,,,,,,,,,,,biography/Iris-Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5845,,,,,,,,,,,,1456
Q333991,,,,"John Taylor, Baron Kilclooney",,"John Taylor, Baron Kilclooney","John Taylor, Baron Kilclooney",,"John Taylor, Baron Kilclooney",,"John Taylor, Baron Kilclooney",,,"John Taylor, Baron Kilclooney",,,"John Taylor, Baron Kilclooney","John Taylor, Baron Kilclooney",,,,,,,"John Taylor, Baron Kilclooney",,,,"John Taylor, Baron Kilclooney","John Taylor, Baron Kilclooney",,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7e/Official_portrait_of_Lord_Kilclooney_crop_2.jpg,male,,,,1937-12-24,/m/01c9n0,John,,,,mr-john-taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504,,,,,,,,,,,,,,,,,,,,,,,,lords/lord-kilclooney/657,,,,,,,,,"John Taylor, Baron Kilclooney",,,,,,"John Taylor, Baron Kilclooney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,,,,,,,,,,,,657
Q336064,雷吉·恩庇,,,Reg Empey,Редж Эмпи,Reg Empey,Reg Empey,,Reg Empey,Reg Empey,,,,"Reg Empey, Baron Empey",,,Reg Empey,Reg Empey,,,Reg Empey,Reg Empey,,,Reg Empey,,,,"Reg Empey, Baron Empey",Reg Empey,Reg Empey,,Reg Empey,,,,,,,,,,,,Reg Empey,,"https://upload.wikimedia.org/wikipedia/commons/a/a9/John_White,_Reg_Empey,_Roy_Beggs_(cropped_Empey).JPG",male,,,,1947-10-26,/m/05nkkx,Reg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reg Empey,,,,,,,,Reg Empey,,,,,,,Empey,,,,,,,,,,,,,,,,,,,,,,,,,,lords/lord-empey/4216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reg Empey,,,,,,,,,,,,,,,,,biography/Reg-Empey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4216
