id,name,name__en,occupation,original_wikiname,name__nl,wikipedia__en,name__de,name__fr,gender,name__af,wikipedia__af,name__it,image,birth_date,given_name,identifier__VIAF,identifier__SUDOC,identifier__LCAuth,identifier__NUKAT,death_date,name__nb,name__da,name__nn,name__sv,name__id,name__es,name__fi,name__hu,wikipedia__commons,wikipedia__fr,wikipedia__id,wikipedia__sv,name__ru,name__ar,wikipedia__de,identifier__ISNI,identifier__BNF,identifier__NTA,identifier__GND,family_name,identifier__freebase,name__zh,identifier__IMDB,name__sw,wikipedia__fi,wikipedia__sw,identifier__FAST,identifier__PTBNP,identifier__SELIBR,honorific_prefix,name__pl,wikipedia__it,wikipedia__pl,wikipedia__plwikiquote,wikipedia__ru,name__lb,name__pt,name__ga,name__xh,name__zu,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__ja,name__zh_hant,name__zh_cn,wikipedia__es,wikipedia__ga,wikipedia__lb,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__simple,wikipedia__xh,wikipedia__zu,identifier__DBNL,identifier__Munzinger,identifier__NNDB,identifier__snac,identifier__BIBSYS,wikipedia__ar,name__cy,name__hr,twitter,name__eo,name__ca,name__la,wikipedia__la,wikipedia__eo,name__ko,wikipedia__ko,name__tl,wikipedia__tl,identifier__quora,name__hi,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__jv,name__pam,name__he,name__ms,name__ml,name__et,name__tr,name__uk,name__el,wikipedia__ca,wikipedia__et,wikipedia__he,wikipedia__hi,wikipedia__jv,wikipedia__ml,wikipedia__ms,wikipedia__pam,wikipedia__tr,wikipedia__uk,wikipedia__zh,identifier__GTAA,name__cs,wikipedia__cs,wikipedia__cswikiquote,identifier__JewishEnc,identifier__NLI,name__ss,wikipedia__ss,name__eu,name__ta,name__br,name__sr,name__be,name__ie,name__yo,name__lv,name__vi,name__sh,name__scn,name__ro,name__th,name__mr,name__fa,name__te,name__ka,name__nds,name__bn,name__kn,name__oc,name__gd,name__mk,name__ty,name__pa,name__yue,name__io,name__ast,name__sk,name__sco,name__bg,wikipedia__afwikiquote,wikipedia__ast,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__br,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__eowikinews,wikipedia__eu,wikipedia__fa,wikipedia__frwikinews,wikipedia__gd,wikipedia__hr,wikipedia__hu,wikipedia__ie,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__lv,wikipedia__mk,wikipedia__mr,wikipedia__nds,wikipedia__nn,wikipedia__oc,wikipedia__pa,wikipedia__ro,wikipedia__ruwikinews,wikipedia__scn,wikipedia__sco,wikipedia__sh,wikipedia__sk,wikipedia__sr,wikipedia__ta,wikipedia__te,wikipedia__th,wikipedia__ty,wikipedia__vi,wikipedia__wuu,wikipedia__yo,wikipedia__zh_yue,identifier__NKC,identifier__CSPAN,identifier__britishmuseum,identifier__nyt_topic,identifier__Britannica,identifier__bigenc_ru,name__sl,name__rw,wikipedia__rw,wikipedia__sl,identifier__CANTIC,name__ve,name__gu,name__an,name__bar,name__co,name__de_at,name__egl,name__eml,name__frp,name__fur,name__gl,name__gsw,name__ia,name__is,name__kg,name__li,name__lij,name__mg,name__min,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__rm,name__sc,name__sr_el,name__vec,name__vls,name__vo,name__wa,name__wo,wikipedia__az,wikipedia__gu,wikipedia__ve,identifier__ne_se,wikipedia__st,facebook,name__ur,wikipedia__ur,name__ts,name__be_tarask,name__hy,identifier__NDL,identifier__BNE,name__az,wikipedia__nso,identifier__GNC,website,wikipedia__gl,wikipedia__ts,wikipedia__uz,wikipedia__sq,identifier__wikitree,name__nso,name__st,name__uz,name__sq,name__nov,wikipedia__nov,name__wuu,name__ky,wikipedia__ky,name__nys,wikipedia__is,name__lad,instagram,wikipedia__azb
Q18217607,Dean Macpherson,Dean Macpherson,politician,,Dean Macpherson,Dean Macpherson,Dean Macpherson,Dean Macpherson,male,Dean Macpherson,Dean Macpherson,Dean Macpherson,,1985-02-02,Dean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dean Macpherson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1887900,Malusi Gigaba,Malusi Gigaba,politician,,Malusi Gigaba,Malusi Gigaba,Malusi Gigaba,Malusi Gigaba,male,Malusi Gigaba,Malusi Gigaba,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Malusi_Gigaba.jpg,1971-08-30,,,,,,,Malusi Gigaba,Malusi Gigaba,Malusi Gigaba,Malusi Gigaba,,,,,,,,,,,Malusi Gigaba,,,,,,/m/0d0xkd,,,,,,,,,,,,,,,,,,,Malusi Gigaba,,,,,,,,,,,,,,Malusi Gigaba,,,,,,,,,,,,,,Malusi Gigaba,Malusi Gigaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malusi Gigaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19364571,Kevin Mileham,Kevin Mileham,politician,,Kevin Mileham,Kevin Mileham,,Kevin Mileham,male,Kevin Mileham,Kevin Mileham,,https://upload.wikimedia.org/wikipedia/commons/0/0c/KJMNEW3.jpg,1971-04-23,Kevin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Mileham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1941212,Mlungisi Johnson,Mlungisi Johnson,politician,,Mlungisi Johnson,,Mlungisi Johnson,Mlungisi Johnson,male,Mlungisi Johnson,Mlungisi Johnson,,,1964-02-05,,,,,,,,,,,,,,,,,,,,,Mlungisi Johnson,,,,,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mlungisi Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1966829,Nathi Mthethwa,Nathi Mthethwa,politician,,Nathi Mthethwa,Nathi Mthethwa,Nathi Mthethwa,Nathi Mthethwa,male,Nathi Mthethwa,Nathi Mthethwa,Nathi Mthethwa,https://upload.wikimedia.org/wikipedia/commons/d/d7/Nkosinathi_Mthethwa_(43752407695).jpg,1967-01-23,,,,,,,Nathi Mthethwa,Nathi Mthethwa,Nathi Mthethwa,Nathi Mthethwa,,Nathi Mthethwa,,Nathi Mthethwa,,Nathi Mthethwa,,,,,Nathi Mthethwa,,,,,,/m/04mzz7k,,,,,,,,,,,,,,,,,,,Nathi Mthethwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathi Mthethwa,Nathi Mthethwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathi Mthethwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20774316,Michael Masutha,Michael Masutha,politician,,Michael Masutha,Michael Masutha,,Michael Masutha,male,Michael Masutha,Michael Masutha,,,1965,Michael,,,,,,,,,,,,,,,Michael Masutha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Masutha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20981694,David Mahlobo,David Mahlobo,politician,,David Mahlobo,David Mahlobo,,David Mahlobo,male,David Mahlobo,David Mahlobo,,,1972-01-14,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Mahlobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Mahlobo,,,,,,,,,,,,,,,,,,,David Mahlobo,,,,,,,,,,,,
Q20982109,Lindiwe Zulu,Lindiwe Zulu,politician,,Lindiwe Zulu,Lindiwe Zulu,,Lindiwe Zulu,female,Lindiwe Zulu,Lindiwe Zulu,,https://upload.wikimedia.org/wikipedia/commons/3/3d/Lindiwe_Daphney_Zulu_Forum_Session_-_High_Level_Panel_Discussion.jpg,1958-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lindiwe Zulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21694330,David van Rooyen,David van Rooyen,politician,,David van Rooyen,Des van Rooyen,,David van Rooyen,male,David van Rooyen,David van Rooyen,,,1968-11-20,David,,,,,,,,,,,,,,,,,,Давид ван Ройн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David van Rooyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David van Rooyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21932116,Chris Hunsinger,Chris Hunsinger,politician,,Chris Hunsinger,Chris Hunsinger,Chris Hunsinger,Chris Hunsinger,male,Chris Hunsinger,Chris Hunsinger,Chris Hunsinger,https://upload.wikimedia.org/wikipedia/commons/5/56/CHprofile1.jpg,1962-10-23,Chris,,,,,,,,,Chris Hunsinger,,Chris Hunsinger,,,,,,,,,,,,,,Hunsinger,,,,,,,,,,,,,,,,,Chris Hunsinger,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Hunsinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Hunsinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22278431,Mcebisi Jonas,Mcebisi Jonas,politician,,Mcebisi Jonas,Mcebisi Jonas,,Mcebisi Jonas,male,Mcebisi Jonas,Mcebisi Jonas,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mcebisi Jonas,Mcebisi Jonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,음체비시 조너스,음체비시 조너스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mcebisi Jonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2290959,Siyabonga Cwele,Siyabonga Cwele,politician,,Siyabonga Cwele,Siyabonga Cwele,Siyabonga Cwele,Siyabonga Cwele,male,Siyabonga Cwele,Siyabonga Cwele,,https://upload.wikimedia.org/wikipedia/commons/2/2d/Siyabonga_Cyprian_Cwele_-_2018_(cropped).jpg,"",,,,,,,,,,,,,,,Category:Siyabonga Cyprian Cwele,,,,,,Siyabonga Cwele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyabonga Cwele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyabonga Cwele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q239062,Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,politician,,Winnie Mandela,Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,Winnie Mandela,female,Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,https://upload.wikimedia.org/wikipedia/commons/9/98/Winnie_Mandela_190814.jpg,1936-09-26,Winnie,88123320,028731581,n85226379,,2018-04-02,Winnie Madikizela-Mandela,Winnie Mandela,Winnie Madikizela-Mandela,Winnie Mandela,Winnie Mandela,Winnie Madikizela,Winnie Mandela,Winnie Madikizela,Category:Winnie Madikizela-Mandela,Winnie Mandela,Winnie Mandela,Winnie Mandela,Винни Мандела,ويني ماديكيزيلا مانديلا,Winnie Madikizela-Mandela,0000 0001 0922 6784,12050725r,071290117,11873055X,,/m/084n2,溫妮·馬蒂基德拉-曼德拉,,Winnie Mandela,Winnie Mandela,Winnie Madikizela-Mandela,159632,,,,Winnie Mandela,Winnie Madikizela-Mandela,Winnie Mandela,Winnie Madikizela-Mandela,"Мандела, Винни",,Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,U-Winnie Madikizela Mandela,Winnie Madikizela-Mandela,,,,Winnie Madikizela-Mandela,ウィニー・マンデラ,溫妮·曼德拉,温妮·曼德拉,Winnie Mandela,Winnie Madikizela-Mandela,,Winnie Mandela,Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,U-Winnie Madikizela Mandela,Winnie Madikizela-Mandela,,00000018164,292/000023223,w6np2kpc,,ويني ماديكيزيلا مانديلا,Winnie Madikizela-Mandela,,,Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,,,,위니 마디키젤라만델라,위니 마디키젤라만델라,,,,विनी मंडेला,,,,,,,ויני מדיקיזלה-מנדלה,,വിന്നി മഡികിസേല മണ്ടേല,Winnie Madikizela-Mandela,Winnie Mandela,,,Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,ויני מדיקיזלה-מנדלה,विनी मंडेला,,വിന്നി മഡികിസേല മണ്ടേല,,,Winnie Mandela,,温妮·马迪基泽拉-曼德拉,127807,Winnie Madikizelová-Mandelová,,,,000472827,,,Winnie Mandela,வின்னி மண்டேலா,,,,,Winnie Mandela,,Winnie Madikizela-Mandela,,,,,,وینی مادیکیسلا-ماندلا,,,,উইনি ম্যান্ডেলা,,,,,,,,,Winnie Madikizela-Mandela,,Winnie Madikizela-Mandela,,,Winnie Madikizela-Mandela,,,উইনি ম্যান্ডেলা,,Winnie Madikizela-Mandela,Winnie Mandela,,,,Winnie Mandela,وینی مادیکیسلا-ماندلا,,,,,,,ウィニー・マンデラ,,,,,,,,,,,,,,,,,வின்னி மண்டேலா,,,,Winnie Madikizela-Mandela,,Winnie Mandela,,,,,,biography/Winnie-Madikizela-Mandela,,Winnie Mandela,,,,,,,,,,,,,,,Winnie Madikizela-Mandela,,,,,,,,,,,,,,,,,,,,,,,,,,,,ونی منڈیلا,ونی منڈیلا,Winnie Madikizela-Mandela,Ўіні Мандэла,Վիննի Մանդելա,00470985,XX979937,,,,http://www.anc.org.za/,Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,,Winnie Mandela,Madikizela-1,,,,Winnie Mandela,,,,,,,,,,
Q24233839,Nkosinathi Nhleko,Nkosinathi Nhleko,politician,,Nkosinathi Nhleko,Nkosinathi Nhleko,,Nkosinathi Nhleko,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nkosinathi Nhleko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24234082,Mbuyiseni Ndlozi,Mbuyiseni Ndlozi,politician,,Mbuyiseni Ndlozi,Mbuyiseni Ndlozi,,,male,Mbuyiseni Ndlozi,Mbuyiseni Ndlozi,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mbuyiseni Ndlozi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26206862,Fish Mahlalela,Fish Mahlalela,politician,,Fish Mahlalela,Fish Mahlalela,,Fish Mahlalela,male,Fish Mahlalela,Fish Mahlalela,,https://upload.wikimedia.org/wikipedia/commons/8/87/Fish_Mahlalela.jpg,1962-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish Mahlalela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28011915,Madala Masuku,Madala Masuku,politician,,,Madala Masuku,,,male,Madala Masuku,Madala Masuku,,,1965-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28011968,Obed Bapela,Obed Bapela,politician,,Kopeng Obed Bapela,Obed Bapela,,,male,Obed Bapela,Obed Bapela,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopeng Obed Bapela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28086070,Mosebenzi Zwane,Mosebenzi Zwane,politician,,Mosebenzi Zwane,Mosebenzi Zwane,Mosebenzi Zwane,,male,,,,,"",,,,,,,,,,,,,,,,,,,,,Mosebenzi Zwane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28086074,Stella Ndabeni-Abrahams,Stella Ndabeni-Abrahams,politician,,Stella Ndabeni-Abrahams,Stella Ndabeni-Abrahams,,Stella Ndabeni-Abrahams,female,Stella Ndabeni,Stella Ndabeni-Abrahams,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Stella_Tembisa_Ndabeni_Abrahams_(cropped).jpg,,Stella,,,,,,,,,,,,,,Category:Stella Ndabeni-Abrahams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stella Ndabeni-Abrahams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28086077,Kebby Maphatsoe,Kebby Maphatsoe,politician,,Kebby Maphatsoe,Kebby Maphatsoe,,,,Kebby Maphatsoe,Kebby Maphatsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28839897,Ayanda Dlodlo,Ayanda Dlodlo,politician,,Ayanda Dlodlo,Ayanda Dlodlo,,,female,Ayanda Dlodlo,Ayanda Dlodlo,,,1963-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayanda Dlodlo,Ayanda Dlodlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayanda Dlodlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28848631,Deidre Carter,Deidre Carter,politician,,Deidre Carter,Deidre Carter,,,female,Deidre Carter,Deidre Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28861539,Derrick America,Derrick America,politician,,Derrick America,Derrick America,,,male,Derrick America,Derrick America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29958484,Ghaleb Cachalia,Ghaleb Cachalia,politician,,Ghaleb Cachalia,Ghaleb Cachalia,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q302359,Aaron Motsoaledi,Aaron Motsoaledi,politician,,Aaron Motsoaledi,Aaron Motsoaledi,Aaron Motsoaledi,Aaron Motsoaledi,male,Aaron Motsoaledi,Aaron Motsoaledi,Aaron Motsoaledi,"https://upload.wikimedia.org/wikipedia/commons/c/c0/Dr_Pakishe_Aaron_Motsoaledi,_Minister_of_Health,_South_Africa.jpg",1958-08-07,Aaron,,,,,,Aaron Motsoaledi,Aaron Motsoaledi,Aaron Motsoaledi,Aaron Motsoaledi,,Aaron Motsoaledi,,Aaron Motsoaledi,,Aaron Motsoaledi,,,,,Aaron Motsoaledi,,,,,,/m/05zr6dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Motsoaledi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
