id,name__en,name__de,name,wikipedia__en,gender,name__pl,name__ru,name__tr,name__ro,name__fr,name__el,wikipedia__el,wikipedia__pl,wikipedia__ro,wikipedia__ru,wikipedia__tr,birth_date,given_name,name__nl,name__es,name__ab,wikipedia__de,name__et,name__eo,name__ka,name__sv,name__zh,name__uk,name__oc,name__fi,name__ar,name__sr,name__da,name__cs,name__ja,wikipedia__ar,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__ja,wikipedia__ka,wikipedia__oc,wikipedia__ruwikinews,wikipedia__sr,wikipedia__sv,wikipedia__uk,wikipedia__zh,image,identifier__freebase,name__be,wikipedia__ab,wikipedia__be,name__hy,death_date,wikipedia__it,name__it,original_wikiname,name__hu,last_seen,name__zh_hant,name__zh_cn,wikipedia__fa,name__fa,occupation,wikipedia__hsb,name__hsb,name__ca,family_name,wikipedia__simple,name__ast,wikipedia__ast,name__zh_hans,name__ko,wikipedia__ko,name__eu,name__zh_hk,name__udm,name__he,name__uz,name__yo,name__ms,name__lv,name__id,name__mrj,name__vi,name__rw,name__pt,name__cv,name__be_tarask,name__cy,name__bg,name__az,name__lt,name__nb,name__sco,name__pt_br,wikipedia__az,wikipedia__be_x_old,wikipedia__bg,wikipedia__ca,wikipedia__cv,wikipedia__cy,wikipedia__he,wikipedia__hu,wikipedia__id,wikipedia__lt,wikipedia__lv,wikipedia__mrj,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__pt,wikipedia__rw,wikipedia__sco,wikipedia__trwikinews,wikipedia__udm,wikipedia__uz,wikipedia__vi,wikipedia__yo,identifier__GND,identifier__Britannica,identifier__GTAA,identifier__VIAF,identifier__FAST,identifier__LCAuth,identifier__NUKAT,identifier__NTA,identifier__ISNI,website,name__zh_sg,name__zh_tw,name__sr_el,name__sr_ec,name__os,wikipedia__os,wikipedia__tg
Q26465311,Beslan Eshba,,Beslan Eshba,Beslan Eshba,male,,,,,,,,,,,,1967-12-23,Beslan,Beslan Eshba,Beslan Eshba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beslan Eshba,,,,,,,deputy prime minister,,,,,,Beslan Eshba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26465386,Aslan Kobakhia,,Aslan Kobakhia,Aslan Kobakhia,male,,,,,,,,,,,,1960-03-23,,Aslan Kobakhia,Aslan Kobakhia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aslan Kobakhia,,,,,,,,,,,,,Aslan Kobakhia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27829055,Daur Arshba,,Daur Arshba,Daur Arshba,male,Daur Arszba,Даур Аршба,,,,,,Daur Arszba,,,,1962-03-28,,Daur Arshba,Daur Arshba,,,,,,,達斡爾·阿爾什巴,,,,,,,,ダウル・アルシュバ,,,,,,,,,,,,,,,,,,,,,,,,,,,Daur Arshba,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27978934,Nodik Kvitsinia,,Nodik Kvitsinia,Nodik Kvitsinia,male,,,,,,,,,,,,1957,,Nodik Kvitsinia,Nodik Kvitsinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nodik Kvitsinia,,,,,,,,,,,,,Nodik Kvitsinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27990551,Sergei Dbar,Sergei Dbar,Sergei Dbar,Sergei Dbar,male,,"Дбар, Сергей Платонович",,,Sergei Dbar,,,,,"Дбар, Сергей Платонович",,1946-05-02,Sergey,Sergei Dbar,Sergei Dbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Սերգեյ Դբար,2002-06-27,,Sergei Dbar,,,,,,,,politician,,,,,,Sergei Dbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28221179,Kan Kvarchia,,Kan Kvarchia,Kan Kvarchia,male,,,,,,,,,,,,,,,Kan Kvarchia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kan Kvarchia,,,,,,,,,,,,,Kan Kvarchia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2996248,Leonid Lakerbaia,Leonid Lakerbaja,Leonid Lakerbaia,Leonid Lakerbaia,male,Leonid Lakerbaja,"Лакербая, Леонид Иванович",Leonid Lakerbaia,,Leonid Lakerbaia,Λεονίντ Λακερμπάια,Λεονίντ Λακερμπάια,Leonid Łakierbaja,,"Лакербая, Леонид Иванович",Leonid Lakerbaia,1947-01-01,Leonid,Leonid Lakerbaia,Leonid Lakerbaia,Леонид Лакербаиа,Leonid Lakerbaja,,,ლეონიდ ლაკერბაია,,,,,Leonid Lakerbaia,,,,Leonid Lakerbaja,レオニード・ラケルバイア,,,Leonid Lakerbaja,,,,,,,,ლეონიდ ლაკერბაია,,,,,,,,/m/05zz670,,Леонид Лакербаиа,,,,,,,Leonyid Lakerbaja,,李奧尼德·拉克爾巴亞,李奥尼德·拉克爾巴亞,,,politician,,,Leonid Lakerbaia,,,Leonid Lakerbaia,,李奥尼德·拉克爾巴亞,,,Leonid Lakerbaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q313355,Alexander Ankvab,Alexander Ankwab,Alexander Ankvab,Alexander Ankvab,male,Aleksander Ankwab,Александр Золотинскович Анкваб,Alexander Ankvab,,Aleksandr Ankvab,Αλεξάντερ Ανκβάμπ,Αλεξάντερ Ανκβάμπ,Aleksandr Ankwab,,"Анкваб, Александр Золотинскович",Aleksandr Ankvab,1952-12-26,Alexander,Alexander Ankvab,Alexander Ankvab,Алықьсандр Золотинска-иҧа Анқәаб,Alexander Ankwab,Aleksandr Ankvab,Aleksandr Ankvab,ალექსანდრე ანქვაბი,Alyksandr Ankwab,亞里山大·安克瓦布,,Alyksandr Ankvab,,ألكساندر أنكفاب,Александар Анкваб,,Alexander Ankvab,アレクサンドル・アンクヴァブ,ألكساندر أنكفاب,Category:Alexander Ankvab,Aleksandr Ankvab,,Aleksandr Ankvab,Alexander Ankvab,Aleksandr Ankvab,,Alexandre Ankvab,アレクサンドル・アンクヴァブ,ალექსანდრე ანქვაბი,Alyksandr Ankvab,Категория:Александр Анкваб,Александар Анкваб,Alyksandr Ankwab,,亞歷山大·安克瓦布,https://upload.wikimedia.org/wikipedia/commons/3/38/Alexander_Ankvab_-_06.10.2011.jpg,/m/056hlv,Аляксандр Залацінскавіч Анкваб,"Анқәаб, Александр Золотинска-иԥа",Аляксандр Залацінскавіч Анкваб,,,Alexander Ankvab,Alexander Ankvab,,Alexander Ankvab,,亞里山大·安克瓦布,亚里山大·安克瓦布,الکساندر آنکواب,الکساندر آنکواب,politician,Aleksandr Ankwab,Aleksandr Ankwab,,,Alexander Ankvab,Alexander Ankvab,Alexander Ankvab,亚里山大·安克瓦布,,,,亞里山大·安克瓦布,"Анкваб, Александр Золотинскович",אלכסנדר אנקבב,,Alexander Ankvab,,,Alexander Ankvab,"Анкваб, Александр Золотинскович",,,,,,,,,,,,,,,,,,,אלכסנדר אנקבב,,Alexander Ankvab,,,"Анкваб, Александр Золотинскович",,,,,,,,,"Анкваб, Александр Золотинскович",,,Alexander Ankvab,,,,,,,,,,,亚里山大·安克瓦布,亞里山大·安克瓦布,Aleksandar Ankvab,Александар Анкваб,"Анкваб, Александр Золотинскайы фырт","Анкваб, Александр Золотинскайы фырт",
Q3596044,Viacheslav Tsugba,Viacheslav Tsugba,Viacheslav Tsugba,Viacheslav Tsugba,male,,"Цугба, Вячеслав Михайлович",,,Viacheslav Tsugba,,,,,"Цугба, Вячеслав Михайлович",,1944-01-01,Viacheslav,Viacheslav Tsugba,Viacheslav Tsugba,Виачеслав Михаил-иҧа Цыгәба,,,,,,,Цугба В'ячеслав Михайлович,,,,,,Vjačeslav Cugba,ヴャチェスラフ・ツグバ,,,Vjačeslav Cugba,,,,,,,,,,,,,Цугба В'ячеслав Михайлович,,,,,"Цыгәба, Виачеслав Михаил-иҧа",,,,,,Виачеслав Цыгәба,Viacheslav Tsugba,,維亞切斯拉夫·楚格巴,维亚切斯拉夫·楚格巴,,,politician,,,,,,Viacheslav Tsugba,,维亚切斯拉夫·楚格巴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3596045,Albert Ovsepyan,Albert Ovsepyan,Albert Ovsepyan,Albert Ovsepyan,male,,"Овсепян, Альберт Азатович",,,Albert Ovsepyan,,,,,"Овсепян, Альберт Азатович",,1938-01-13,Albert,Albert Ovsepyan,Albert Ovsepyan,Альберт Овсепиан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ալբերտ Հովսեփյան,,,,,,,,,آلبرت هوسپیان,,politician,,,,Hovsepian,,Albert Ovsepyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3596046,Daur Tarba,Daur Tarba,Daur Tarba,Daur Tarba,male,,"Тарба, Даур Нуриевич",,,Daur Tarba,,,,,"Тарба, Даур Нуриевич",,1959,,Daur Tarba,Daur Tarba,Даур Ҭарба,,,,,,達斡爾·塔巴,,,,,,,Daur Tarba,,,,Daur Tarba,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7c/Daur_Tarba.jpg,,,Даур Ҭарба,,,,,,,Daur Tarba,,,,,,politician,,,,,,Daur Tarba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q380729,Nugzar Ashuba,Nugsar Aschuba,Nugzar Ashuba,Nugzar Ashuba,male,,Нугзар Нуриевич Ашуба,,,Nugzar Ashuba,,,,,"Ашуба, Нугзар Нуриевич",,1952-03-02,,Nugzar Ashuba,Nugzar Ashuba,Нугзар Ашәба,Nugsar Aschuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/02wx3hq,,"Ашәба, Нугзар Нури-иԥа",,,,,,Нугзар Ашәба,Nugzar Ashuba,,,,,,politician,,,,,,Nugzar Ashuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4080376,Valeri Bganba,Waleri Bganba,Valeri Bganba,Valeri Bganba,male,Walerij Bganba,"Бганба, Валерий Рамшухович",Valeri Bganba,,Valeri Bganba,,,Walerij Bganba,,"Бганба, Валерий Рамшухович",Valeri Bganba,1953-08-26,Valeri,Valeri Bganba,Valeri Bganba,,Waleri Bganba,,,,,瓦列里·拉姆舒霍维奇·布甘巴,,,,,,,Valerij Bganba,バレリ・ブガンバ,,Category:Valeri Bganba,Valerij Bganba,,,Valeri Bganba,,,Valeri Bganba,,,,Категория:Валерий Бганба,,,,瓦列里·拉姆舒霍维奇·布甘巴,https://upload.wikimedia.org/wikipedia/commons/a/a3/Бганба_Валерий_Рамшухович.jpg,,,,,,,,,"Бганба, Валерий Рамшухович",Valeri Bganba,,,,,,politician,,,,,Valeri Bganba,Valeri Bganba,Valeri Bganba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4125659,Yuri Voronov,,Yuri Voronov,Yuri Voronov,male,,"Воронов, Юрий Николаевич",,,Yuri Voronov,,,,,"Воронов, Юрий Николаевич (археолог)",,1941-05-08,Yuri,Yuri Voronov,Yuri Nikoláyevich Vóronov,,,,,,,,,,,,,,,,,,,,,Yuri Nikoláyevich Vóronov (arqueólogo),,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/54/Yuri_Voronov_1941-1995_Abkhazia_stamp_1996.jpg,,,,,,1995-09-11,,,,,,,,,,local historian,,,,Voronov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029200564,,,53009131,74010,n81063255,n2008055239,134939107,0000 0000 2151 0078,,,,,,,,
Q4141071,,,Сенер Неџьем-иҧа Гәагәуа,,male,,"Гогуа, Сенер Неджемович",,,,,,,,"Гогуа, Сенер Неджемович",,1972-08-19,,,,Сенер Неџьем-иҧа Гәагәуа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4160321,Sokrat Jinjolia,Sokrat Jinjolia,Sokrat Jinjolia,Sokrat Jinjolia,male,,"Джинджолия, Сократ Рачевич",,,Sokrat Jinjolia,,,,,"Джинджолия, Сократ Рачевич",,1937-12-11,,Sokrat Jinjolia,Sokrat Jinjolia,,,,,,,索克拉特·津早亞,,,,,,,Sokrat Džindžolija,ソクラト・ジンジョリア,,,Sokrat Džindžolija,,,,,,,,,,,,,,,,,,,,,,,,,Sokrat Jinjolia,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4160464,,,Беслан Џьопуа,,male,,"Джопуа, Беслан Цибович",,,,,,,,"Джопуа, Беслан Цибович",,1962,,,,Беслан Џьопуа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4187128,Vazha Zarandia,Vazha Zarandia,Vazha Zarandia,Vazha Zarandia,male,Waża Zarandia,"Зарандия, Важа Илларионович",,,Vazha Zarandia,,,Waża Zarandia,,"Зарандия, Важа Илларионович",,1932-11-01,,Vazha Zarandia,Vazha Zarandia,,,,,,,瓦扎·扎蘭迪亞,,,,,,,Važa Zarandija,ヴァジャ・ザランディア,,,Važa Zarandija,,,,,,,,,,,,,,,,,,,,,,,,,Vazha Zarandia,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4225056,Batal Kobakhia,,Batal Kobakhia,Batal Kobakhia,male,,"Кобахия, Батал Самсонович",,,,,,,,"Кобахия, Батал Самсонович",,1955-08-18,,,Batal Kobakhia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archaeologist,,,,,,Batal Kobakhia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://batal.livejournal.com/,,,,,,,
Q4253306,Stanislav Lakoba,Stanislav Lakoba,Stanislav Lakoba,Stanislav Lakoba,male,,"Лакоба, Станислав Зосимович",Stanislav Lakoba,,Stanislav Lakoba,,,,,"Лакоба, Станислав Зосимович",Stanislav Lakoba,1953-02-23,Stanislav,Stanislav Lakoba,Stanislav Lakoba,Станислав Зосим-иҧа Лакоба,,,,,,,,,,,,,,スタニスラフ・ラコバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanislav Lakoba,,,,,,historian,,,,,,Stanislav Lakoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143062360,,,28525287,,n85293832,n01196744,229656684,0000 0001 0962 2218,,,,,,,,
Q4319909,,,"Никитченко, Геннадий Васильевич",,male,,"Никитченко, Геннадий Васильевич",,,,,,,,"Никитченко, Геннадий Васильевич",,1946-01-21,Gennadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,Nikitchenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4331932,Konstantin Ozgan,Konstantin Ozgan,Konstantin Ozgan,Konstantin Ozgan,male,,"Озган, Константин Константинович",,,Konstantin Ozgan,,,,,"Озган, Константин Константинович",,1939-05-15,Konstantin,Konstantin Ozgan,Konstantin Ozgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-22,,,,,,,,,,diplomat,,,,,,Konstantin Ozgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4363224,Vakhtang Pipia,,Vakhtang Pipia,Vakhtang Pipia,male,,"Пипия, Вахтанг Ахрович",,,,,,,,"Пипия, Вахтанг Ахрович",,1960-10-13,,Vakhtang Pipia,Vakhtang Pipia,Вахтанг Ахра-иҧа Ҧиҧия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scientist,,,,,,Vakhtang Pipia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q43873478,Emma Gamisonia,,Emma Gamisonia,Emma Gamisonia,female,,,,,,,,,,,,,Emma,Emma Gamisonia,Emma Gamisonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emma Gamisonia,,,,,,,politician,,,,,,Emma Gamisonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4425321,,,Виталии Смыр,,male,,"Смыр, Виталий Кязимович",,,,,,,,"Смыр, Виталий Кязимович",,1964,,,,Виталии Смыр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Смыр, Виталии",,,,,,Виталии Смыр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4443352,Alexander Stranichkin,Alexander Stranichkin,Alexander Stranichkin,Alexander Stranichkin,male,,"Страничкин, Александр Викторович",,,Alexander Stranichkin,,,,,"Страничкин, Александр Викторович",,1955-04-05,Alexander,Alexander Stranichkin,Alexander Stranichkin,Александр Виктор-иҧа Страничкин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Alexander Stranichkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
