id,name__lv,name__en,name__de,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__it,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nb,name__nds,name__nds_nl,name__nl,name__nn,name__pcd,name__pl,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__vls,name__wa,name,wikipedia__lv,image,gender,birth_date,original_wikiname,wikipedia__commons,wikipedia__pl,given_name,twitter,name__ru,wikipedia__ru,identifier__VIAF,wikipedia__en,identifier__freebase,wikipedia__plwikiquote,website,wikipedia__ca,wikipedia__et,identifier__ISNI,identifier__LCAuth,identifier__LNB,name__az,wikipedia__az,wikipedia__fr,name__he,name__ko,name__be,name__oc,name__id,name__la,name__be_tarask,name__io,name__ka,name__zh,name__uk,name__fa,name__tt,name__ar,wikipedia__ar,wikipedia__be_x_old,wikipedia__be,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__es,wikipedia__fa,wikipedia__fi,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__sv,wikipedia__tt,wikipedia__uk,wikipedia__zh,identifier__GND,identifier__Munzinger,identifier__FAST,wikipedia__tr,name__ltg,wikipedia__ltg,identifier__SUDOC,name__sgs,wikipedia__bat_smg,identifier__EuroparlMEP,identifier__BNF,name__en_ca,name__en_gb,name__kk,name__de_ch,name__ja,name__el,name__pt_br,name__bg,name__vi,name__tl,wikipedia__bg,wikipedia__el,wikipedia__eo,wikipedia__hu,wikipedia__ja,wikipedia__kk,wikipedia__lb,wikipedia__ruwikiquote,wikipedia__tl,wikipedia__vi,name__fo,wikipedia__fo,identifier__NLP,wikipedia__ukwikiquote,wikipedia__ro,name__ie,wikipedia__ie,wikipedia__sk,identifier__parlement,name__yo,name__hy,name__sr,wikipedia__hy,wikipedia__lmo,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sr,wikipedia__yo,name__vmf,name__pdc,identifier__MusicBrainz,identifier__NTA,identifier__IMDB,name__th,name__sh,wikipedia__nn,wikipedia__sh,wikipedia__th,identifier__moviemeter,identifier__allmovie,identifier__elonet,identifier__PORT,identifier__CSFD,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__tg_latn,name__sr_el,name__sr_ec,name__ilo,name__mr,name__tg,name__nov,wikipedia__co,wikipedia__gl,wikipedia__ilo,wikipedia__mr,wikipedia__nov,wikipedia__sl,wikipedia__tg,wikipedia__hsb,name__hsb,occupation,identifier__snac,wikipedia__itwikiquote,identifier__persee,identifier__GTAA,identifier__google_knowledge,identifier__NNDB,name__bm,name__de_at,name__frc,name__frp,name__ia,name__jam,name__kab,name__kg,name__mg,name__min,name__ms,name__nrm,name__pap,name__prg,name__rgn,name__sw,name__vo,name__wo,name__zu,name__kl,wikipedia__eu
Q1491211,Gaidis Bērziņš,Gaidis Bērziņš,Gaidis Bērziņš,,,,,,,Gaidis Bērziņš,,,,Gaidis Bērziņš,,,,,,Gaidis Bērziņš,,,,,,,,,,,,,,,,,,,Gaidis Bērziņš,,,Gaidis Bērziņš,,,,,,,,,,,,,,,,Gaidis Bērziņš,Gaidis Bērziņš,https://upload.wikimedia.org/wikipedia/commons/1/1a/12.Saeimas_deputāts_Gaidis_Bērziņš_(15364092223).jpg,male,1970-10-20,Gaidis Bērziņš,Category:Gaidis Bērziņš,Gaidis Bērziņš,,,,,,Gaidis Bērziņš,/m/0hgmn5m,,,Gaidis Bērziņš,,,,,,,Gaidis Bērziņš,,,,,,,,,,,,,,,,,,,Gaidis Bērziņš,Gaidis Bērziņš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15649550,Dace Melbārde,Dace Melbārde,Dace Melbārde,,,,,,,Dace Melbārde,,,,,,,Dace Melbārde,,,Dace Melbārde,,,,,,,,,,,,,,,,,,,Dace Melbārde,,,Dace Melbārde,,,,,,,,,,,,,,,,Dace Melbārde,Dace Melbārde,https://upload.wikimedia.org/wikipedia/commons/4/4b/Dace_Melbārde.jpg,female,1971-04-03,Dace Melbārde,,Dace Melbārde,,,,,308249763,,,,,Dace Melbārde,Dace Melbārde,,,,,,Dace Melbārde,,,,,,,,,,,,,,,,,,,,Dace Melbārde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15671012,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,Līvija Plavinska,https://upload.wikimedia.org/wikipedia/commons/f/f2/Līvija_Plavinska_2013.jpg,female,1959-08-03,Līvija Plavinska,Category:Līvija Plavinska,Līvija Plavinska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15767888,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,Edmunds Demiters,https://upload.wikimedia.org/wikipedia/commons/1/15/Edmunds_Demiters.jpg,male,1963-06-07,Edmunds Demiters,Category:Edmunds Demiters,Edmunds Demiters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15813099,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,Dāvis Stalts,https://upload.wikimedia.org/wikipedia/commons/1/11/Dāvis_Stalts-2.jpg,male,1982-02-23,Dāvis Stalts,Category:Dāvis Stalts,,,Stalts,,,,,,,http://davisstalts.lv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15813105,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,Ilmārs Latkovskis,https://upload.wikimedia.org/wikipedia/commons/4/4d/Ilmārs_Latkovskis.jpg,male,1958-12-04,Ilmārs Latkovskis,Category:Ilmārs Latkovskis,,,,,,106789706,,,,,,,0000 0000 7591 780X,n2010004333,000008386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15813302,Andris Buiķis,Andris Buiķis,Andris Buiķis,,,,,,,,,,,,,,,,,Andris Buikis,,,,,,,,,,,,,,,,,,,Andris Buiķis,,,,,,,,,,,,,,,,,,,Andris Buiķis,Andris Buiķis,https://upload.wikimedia.org/wikipedia/commons/1/1e/Flickr_-_Saeima_-_10.Saeimas_deputāts_Andris_Buiķis.jpg,male,1939-03-15,Andris Buiķis,Category:Andris Buiķis,,Andris,,,,166053106,,,,,,,0000 0001 1723 9227,n2003013252,000047112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,077424034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15911974,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,Inita Bišofa,https://upload.wikimedia.org/wikipedia/commons/9/9b/Inita_Bišofa.jpg,female,1974-09-05,Inita Bišofa,Category:Inita Bišofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15912097,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,Gunārs Igaunis,https://upload.wikimedia.org/wikipedia/commons/e/ea/Gunārs_Igaunis.jpg,male,1965-06-23,Gunārs Igaunis,Category:Gunārs Igaunis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15912205,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,Daina Kazāka,https://upload.wikimedia.org/wikipedia/commons/9/9f/Daina_Kazāka.jpg,female,1974,Daina Kazāka,Category:Daina Kazāka,,Daina,DainaKazaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15912279,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,Dzintars Kudums,https://upload.wikimedia.org/wikipedia/commons/b/b1/Dzintars_Kudums.jpg,male,1952-09-16,Dzintars Kudums,Category:Dzintars Kudums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15912476,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš,Jānis Ozoliņš (politiķis),https://upload.wikimedia.org/wikipedia/commons/0/04/Jānis_Ozoliņš.jpg,male,1976-04-08,Jānis Ozoliņš (politiķis),Category:Jānis Ozoliņš (politician),,Jānis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15912700,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,Inga Vanaga,https://upload.wikimedia.org/wikipedia/commons/9/97/Inga_Vanaga.jpg,female,1980-06-06,Inga Vanaga,Category:Inga Vanaga,,Inga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16350717,Ringolds Balodis,Ringolds Balodis,Ringolds Balodis,,,,,,,,,,,,,Ringolds Balodis,,,,Ringolds Balodis,,,,,,,,,Ringolds Balodis,,,,,,,,,,Ringolds Balodis,,,,,,,,,,,,,,,,,,,Ringolds Balodis,Ringolds Balodis,https://upload.wikimedia.org/wikipedia/commons/7/71/12.Saeimas_deputāts_Ringolds_Balodis_(15382065574).jpg,male,1966-01-09,Ringolds Balodis,,,,,,,9800137,,,,,,,0000 0000 5233 6500,nr2005002585,000024963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129732184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298737957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16350881,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,Aleksandrs Kiršteins,https://upload.wikimedia.org/wikipedia/commons/d/dd/Aleksandrs_Kirsteins.jpg,male,1948-08-27,Aleksandrs Kiršteins,,,,akirstei,aleksandr kirstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16351725,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,Armands Krauze,https://upload.wikimedia.org/wikipedia/commons/2/26/12.Saeimas_deputātu_svinīgais_solījums_(15531546410).jpg,male,1970-06-10,Armands Krauze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
