id,name__es,name__it,name__en,name__fr,name,wikipedia__es,image,gender,birth_date,given_name,original_wikiname,name__nl,name__hu,name__de,name__nb,name__da,name__nn,name__sv,wikipedia__en,identifier__IMDB,wikipedia__eswikiquote,identifier__VIAF,twitter,wikipedia__fr,name__hr,wikipedia__hr,death_date,name__ca,name__eo,name__ro,name__fy,name__pt,name__cs,name__el,name__ru,name__hy,wikipedia__ca,wikipedia__de,wikipedia__fy,wikipedia__it,wikipedia__pt,wikipedia__sv,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NLA,identifier__freebase,website,identifier__BNE,identifier__NTA,identifier__NLP,identifier__PORT,identifier__kinopoisk,identifier__filmportal_de,wikipedia__commons,family_name,wikipedia__nl,name__gl,name__cy,name__pl,name__ko,name__tr,name__si,name__ja,name__ne,name__az,name__ml,name__ta,name__uk,name__id,wikipedia__az,wikipedia__cs,wikipedia__eo,wikipedia__hu,wikipedia__id,wikipedia__ja,wikipedia__ko,wikipedia__ml,wikipedia__ne,wikipedia__pl,wikipedia__plwikiquote,wikipedia__ru,wikipedia__si,wikipedia__ta,wikipedia__tr,wikipedia__uk,wikipedia__simple,wikipedia__itwikiquote,name__zh,identifier__OLID,wikipedia__no,identifier__FAST,name__lmo,identifier__BVMC,identifier__ULAN,name__nds,wikipedia__hy,identifier__GTAA,identifier__AlloCine,identifier__allmovie,identifier__elonet,name__sco,wikipedia__sco,wikipedia__enwikiquote,identifier__google_knowledge,identifier__Britannica,occupation,facebook,identifier__snac,wikipedia__vi,name__vi,name__ar,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,second_surname,name__he,instagram,identifier__youtube,wikipedia__mai,name__mai,identifier__BNC,identifier__BIBSYS,identifier__NUKAT,name__zh_hant,name__zh_cn,name__ace,wikipedia__zh,name__sl,name__arn,name__tl,identifier__MusicBrainz,name__be,name__ty,wikipedia__ast
Q16302186,Joaquín Palma,,Joaquín Palma,Joaquín Palma,Joaquín Palma,Joaquín Palma,,male,1943-02-02,Joaquín,Joaquín Palma,Joaquín Palma,Joaquín Palma,,,,,,,,,,,,,,2013-08-17,Joaquín Palma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joaquín Palma,Joaquín Palma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joaquín Palma,,,,,,
Q16302203,Federico Ringeling,Federico Ringeling,Federico Ringeling,Federico Ringeling,Federico Ringeling,Federico Ringeling,,male,1954-07-08,Federico,Federico Ringeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federico Ringeling,,,,,,
Q16326168,Eugenio Ortega,Eugenio Ortega,Eugenio Ortega,Eugenio Ortega,Eugenio Ortega,Eugenio Ortega,https://upload.wikimedia.org/wikipedia/commons/c/c8/Eugenio_Ortega_Riquelme.jpg,male,1940-06-14,Eugenio,Eugenio Ortega,Eugenio Ortega,Eugenio Ortega,,,,,,,,,273145858267823022974,,,,,2013-09-27,,,,,,,,,,,,,,,,0000 0000 8448 6853,,nr88005447,,,,,,,133347664,,,,,,,,,Eugenio Ortega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eugenio Ortega,,,,,,
Q16482703,Gustavo Alessandri Balmaceda,Gustavo Alessandri Balmaceda,Gustavo Alessandri Balmaceda,Gustavo Alessandri Balmaceda,Gustavo Alessandri Balmaceda,Gustavo Alessandri Balmaceda,,male,1961-03-08,Gustavo,Gustavo Alessandri Balmaceda,Gustavo Alessandri Balmaceda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gustavo Alessandri Balmaceda,,,,,,
Q16543081,Carlos Abel Jarpa,,Carlos Abel Jarpa,Carlos Abel Jarpa,Carlos Abel Jarpa,Carlos Abel Jarpa,https://upload.wikimedia.org/wikipedia/commons/a/af/Carlos_Abel_Jarpa_Wevar_(2018).jpg,male,1944-11-14,Carlos,Carlos Abel Jarpa,Carlos Abel Jarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Abel Jarpa,,,,,,
Q16559029,Edgardo Riveros,Edgardo Riveros,Edgardo Riveros,Edgardo Riveros,Edgardo Riveros,Edgardo Riveros,https://upload.wikimedia.org/wikipedia/commons/d/dc/Edgardo_Riveros_Marín.jpg,male,1949-09-03,Edgardo,Edgardo Riveros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Edgardo Riveros,Riveros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgardo Riveros,,,,,,
Q1657292,Ignacio Walker,Ignacio Walker,Ignacio Walker,Ignacio Walker,Ignacio Walker,Ignacio Walker,https://upload.wikimedia.org/wikipedia/commons/d/dd/IgnacioWalker.jpg,male,1956-01-07,Ignacio,Ignacio Walker,Ignacio Walker,Ignacio Walker,Ignacio Walker,,,,,Ignacio Walker,,,262349401,,Ignacio Walker,,,,,,,,,,,Игнасио Уокер,,,Ignacio Walker,,Ignacio Walker,,,0000 0000 8097 6142,1015098509,n86121217,,130884294,,,,,128696869,,,,,Category:Ignacio Walker Prieto,Walker,Ignacio Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/1223qksf,,politician,,,,,اجناسيو ووكر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ignacio Walker,,,,,,
Q16583716,José Pérez Arriagada,,José Pérez Arriagada,José Pérez Arriagada,José Pérez Arriagada,José Pérez Arriagada,https://upload.wikimedia.org/wikipedia/commons/2/24/José_Pérez_Arriagada_(2018).jpg,male,1940-12-29,José,José Pérez Arriagada,José Pérez Arriagada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Pérez Arriagada,,,,,,
Q16598535,Manuel Matta Aragay,,Manuel Matta Aragay,Manuel Matta Aragay,Manuel Matta Aragay,Manuel Matta Aragay,https://upload.wikimedia.org/wikipedia/commons/1/12/Manuel_José_Ramón_Matta_Aragay.jpg,male,1946-11-10,Manuel,Manuel Matta Aragay,Manuel Matta Aragay,Manuel Matta Aragay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuel Matta Aragay,,,,,,
Q16601166,Martín Manterola,,Martín Manterola,Martín Manterola,Martín Manterola,Martín Manterola,,male,1948-05-25,Martín,Martín Manterola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martín Manterola,,,,,,
Q16607550,Milenko Vilicic,,Milenko Vilicic,Milenko Vilicic,Milenko Vilicic,Milenko Vilicic,https://upload.wikimedia.org/wikipedia/commons/a/a7/Milenko_Vilicic.jpg,male,1932-03-09,Milenko,Milenko Vilicic,Milenko Vilicic,Milenko Vilicic,,,,,,,,,,,,,,1993-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milenko Vilicic,,,,,,
Q16623544,Pía Guzmán Mena,,Pía Guzmán Mena,Pía Guzmán Mena,Pía Guzmán Mena,Pía Guzmán Mena,https://upload.wikimedia.org/wikipedia/commons/a/a3/María_Pía_Guzmán_Mena.jpg,female,1957-06-23,Pía,Pía Guzmán Mena,Pía Guzmán Mena,Pía Guzmán Mena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pía Guzmán Mena,,,,,,
Q16624860,René Manuel García,,René Manuel García,René Manuel García,René Manuel García,René Manuel García,https://upload.wikimedia.org/wikipedia/commons/4/46/René_Manuel_García_García.jpg,male,1950-05-24,René,René Manuel García,René Manuel García,René Manuel García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,René Manuel García,,,,,,
Q16647643,Waldo Mora,,Waldo Mora,Waldo Mora,Waldo Mora,Waldo Mora,https://upload.wikimedia.org/wikipedia/commons/e/e0/Waldo_Mora_Longa.jpg,male,1942-12-12,Waldo,Waldo Mora,Waldo Mora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldo Mora,,,,,,
Q17058104,Jaime Rocha,,Jaime Rocha,Jaime Rocha,Jaime Rocha,Jaime Rocha,,male,1938-11-04,Jaime,Jaime Rocha,,,,,,,,,,,,,,,,2012-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaime Rocha,,,,,,
Q17274883,Erick Villegas,,Erick Villegas,Erick Villegas,Erick Villegas,Erick Villegas,,male,1953-11-11,Erick,Erick Villegas,Erick Villegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erick Villegas,,,,,,
Q19632253,Hernán Rojo,,Hernán Rojo,Hernán Rojo,Hernán Rojo,Hernán Rojo,,male,1930-07-30,Hernán,Hernán Rojo,Hernán Rojo,,,,,,,,,,,,,,,2012-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hernán Rojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hernán Rojo,,,,,,
Q20007182,Luis Navarrete Carvacho,,Luis Navarrete Carvacho,Luis Navarrete Carvacho,Luis Navarrete Carvacho,Luis Navarrete,,male,1925-09-27,Luis,Luis Navarrete,Luis Navarrete Carvacho,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Navarrete Carvacho,,,,,,
Q20013782,Eliana Caraball,,Eliana Caraball,Eliana Caraball,Eliana Caraball,Eliana Caraball,https://upload.wikimedia.org/wikipedia/commons/1/18/Eliana_Caraball.jpg,female,1937-04-27,Eliana,Eliana Caraball,Eliana Caraball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eliana Caraball,,,,,,
Q20853558,Ignacio Balbontín,,Ignacio Balbontín,Ignacio Balbontín,Ignacio Balbontín,Ignacio Balbontín,https://upload.wikimedia.org/wikipedia/commons/4/4e/Ignacio_Balbontín_Arteaga.jpg,male,1940-06-18,Ignacio,Ignacio Balbontín,Ignacio Balbontín,Ignacio Balbontín,,,,,,,,,,,,,,2015-08-18,Ignacio Balbontín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ignacio Balbontín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sociologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ignacio Balbontín,,,,,,
Q21823062,Miguel Hernández Saffirio,,Miguel Hernández Saffirio,,Miguel Hernández Saffirio,Miguel Hernández Saffirio,https://upload.wikimedia.org/wikipedia/commons/a/a5/MiguelHernandez.png,male,1949-07-18,Miguel,Miguel Hernández Saffirio,Miguel Hernández Saffirio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Hernández Saffirio,,,,,,
Q22680136,Juan Enrique Taladriz,,Juan Enrique Taladriz,,Juan Enrique Taladriz,Juan Enrique Taladriz,,male,1946,Juan,Juan Enrique Taladriz,Juan Enrique Taladriz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Enrique Taladriz,,,,,,
Q22685411,Juan Concha Urbina,,Juan Concha Urbina,,Juan Concha Urbina,Juan Concha Urbina,,male,1923-11-10,Juan,Juan Concha Urbina,Juan Concha Urbina,,,,,,,,,,,,,,,2010-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Concha Urbina,,,,,,
Q23071124,Armando Arancibia,,Armando Arancibia,,Armando Arancibia,Armando Arancibia,,male,1941-01-06,Armando,Armando Arancibia,Armando Arancibia,,,,,,,,,,,,,,,2016-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armando Arancibia,,,,,,
Q2336523,Claudio Huepe,,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,https://upload.wikimedia.org/wikipedia/commons/f/f4/Claudio_Humberto_Huepe_García.jpg,male,1939-12-25,Claudio,Claudio Huepe,Claudio Huepe,,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,,,,,,,,2009-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudio Huepe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudio Huepe,,,,,,
