id,name,name__en,name__fr,wikipedia__en,gender,birth_date,death_date,noble_title,given_name,identifier__FAST,identifier__LCAuth,identifier__VIAF,identifier__snac,identifier__wikitree,identifier__Oxforddnb,occupation,original_wikiname,name__pl,name__nl,name__de,name__nb,name__el,name__en_ca,name__en_gb,name__uk,name__ru,name__la,name__tr,name__es,name__ja,name__ur,name__io,name__id,name__sv,name__zh,name__zh_hans,name__gl,wikipedia__commons,wikipedia__el,wikipedia__es,wikipedia__fr,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__la,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__ur,wikipedia__vi,image,family_name,name__sl,name__ast,name__ar,wikipedia__ar,name__it,name__vi,name__lb,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__yo,name__oc,name__ms,name__hu,name__pt,name__eo,name__fi,name__cy,name__lt,name__be,name__da,name__nn,name__af,name__an,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__de_at,name__de_ch,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__mg,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__fa,wikipedia__be,wikipedia__cy,wikipedia__de,wikipedia__eo,wikipedia__fa,wikipedia__fi,wikipedia__hu,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__lb,wikipedia__lt,wikipedia__ms,wikipedia__oc,wikipedia__pt,wikipedia__sv,wikipedia__yo,wikipedia__zh,identifier__freebase,name__mr,name__bn,wikipedia__bn,wikipedia__mr,identifier__ISNI,name__he,name__sr_ec,name__jv,name__sr,wikipedia__ga,wikipedia__he,wikipedia__hr,wikipedia__jv,wikipedia__sr,identifier__GND,identifier__NNDB,identifier__NTA,identifier__Britannica,wikipedia__ast,wikipedia__ca,wikipedia__da,wikipedia__et,wikipedia__simple,name__bg,wikipedia__bg,identifier__GTAA,identifier__google_knowledge
Q356389,Owen Arthur,Owen Arthur,Owen Arthur,Owen Arthur,male,1949-10-17,,,Owen,,n86145947,38405366,,,,economist,,Owen Arthur,Owen Seymour Arthur,Owen Arthur,Owen Arthur,Όουεν Άρθουρ,,,Овен Артур,Оуэн Артур,,,Owen Arthur,オーウェン・アーサー,,,Owen Arthur,Owen Arthur,,欧文·阿瑟,Owen Arthur,Category:Owen Arthur,Όουεν Άρθουρ,Owen Arthur,Owen Arthur,Owen Arthur,Owen Arthur,,,Owen Seymour Arthur,Owen Arthur,Owen Arthur,"Артур, Оуэн",,Оуен Артур,,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Owen_Arthur-2.jpg,Arthur,Owen Arthur,,أوين آرثر,أوين آرثر,Owen Arthur,,,歐文·阿瑟,,欧文·阿瑟,,,,,,,Owen Arthur,,Owen Arthur,Owen Arthur,,Owen Arthur,,Owen Arthur,Owen Arthur,,,,,,,,,,,,,,,,Owen Arthur,,,Owen Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,Oven Artur,,,,,,,,,اوون آرتور,,,Owen Arthur,Owen Arthur,اوون آرتور,Owen Arthur,,Owen Arthur,,,,Owen Arthur,,,,,,,/m/0230n8,,ওয়েন আর্থার,,,0000 0000 3104 6942,אואן ארתור,Овен Артур,Owen Arthur,Овен Артур,Owen Arthur,אואן ארתור,Owen Arthur,Owen Arthur,Овен Артур,1056598182,713/000162227,078362571,biography/Owen-Arthur,,,,,,,,,
Q3567366,Wes Hall,Wes Hall,Wes Hall,Wes Hall,male,1937-09-12,,,Wes,486901,nb2002013729,161601187,,,,cricketer,,,Wes Hall,Wes Hall,,,,,,,,,Wes Hall,,,,,,,,,,,,Wes Hall,,,,,,,,,,,,,,Hall,Wes Hall,Wes Hall,ويس هال,ويس هال,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,वेस्ली हॉल,ওয়েস হল,ওয়েস হল,वेस्ली हॉल,0000 0001 1457 6666,,,,,,,,,,,,,,,,,,,,,,
Q430380,Billie Miller,Billie Miller,Billie Miller,Billie Miller,female,1944-01-08,,,Billie,,,,,,,diplomat,,,Billie Miller,Billie Miller,Billie Miller,,,,,,,,Billie Miller,,,,,,,,,,,,Billie Miller,,,,,,Billie Miller,,,,,,,,Miller,Billie Miller,Billie Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billie Miller,,,,,,,,,,,,,,,,/m/03ypd7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4685631,Adriel Brathwaite,Adriel Brathwaite,Adriel Brathwaite,Adriel Brathwaite,male,1962,,,,,,,,,,politician,,,Adriel Brathwaite,Adriel Brathwaite,,,,,,,,,Adriel Brathwaite,,,,,,,,,,,Adriel Brathwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adriel Brathwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5136978,Clyde Mascoll,Clyde Mascoll,,Clyde Mascoll,male,,,,Clyde,,,,,,,politician,,,Clyde Mascoll,Clyde Mascoll,,,,,,,,,Clyde Mascoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clyde Mascoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5487934,Frank Leslie Walcott,Frank Leslie Walcott,Frank Leslie Walcott,Frank Leslie Walcott,male,1916-09-16,1999-02-24,,Frank,,nr94000701,2347709,,,,diplomat,,,Frank Leslie Walcott,Frank Leslie Walcott,,,,,,,,,Frank Leslie Walcott,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Leslie Walcott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 7882 3868,,,,,,,,,,,,,,,,,,,,,,
Q5549189,Gerald Goodman,Gerald Goodman,,G. Aubrey Goodman,male,1862-09-06,1921-01-20,,Gerald,,no2003078757,56305518,,,,judge,,,G. Aubrey Goodman,Gerald Goodman,,,,,,,,,Gerald Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,Goodman,,,جي. أوبري غودمان,جي. أوبري غودمان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57709,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,male,1951-04-27,,,,,,309892890,,,,politician,,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,Φρέντελ Στούαρτ,Freundel Stuart,Freundel Stuart,Фріндел Стюарт,"Стюарт, Фрейндель",Freundel Stuart,Freundel Stuart,Freundel Stuart,フローンデル・スチュアート,,Freundel Stuart,Freundel Stuart,Freundel Stuart,弗罗因德尔·斯图亚特,弗罗因德尔·斯图亚特,,,Φρέντελ Στούαρτ,Freundel Stuart,Freundel Stuart,,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,"Стюарт, Фрейндель",Freundel Stuart,Фріндел Стюарт,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Freundel_Stuart.jpg,Stuart,Freundel Stuart,Freundel Stuart,,,Freundel Stuart,,Freundel Stuart,,,,,,프룬델 스튜어트,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,,Freundelas Stuartas,,Freundel Stuart,Freundel Stuart,,,,,,Freundel Stuart,,,,,Freundel Stuart,Freundel Stuart,,,,,,,,,,,,,,,,,,,,,,,,,,Freundel Stuart,,,,,,,,,,,,,,,,,فروندل استوارت,,,Freundel Stuart,Freundel Stuart,فروندل استوارت,Freundel Stuart,Freundel Stuart,Freundel Stuart,フローンデル・スチュアート,프룬델 스튜어트,Freundel Stuart,Freundel Stuart,Freundel Stuart,,Freundel Stuart,Freundel Stuart,Freundel Stuart,弗罗因德尔·斯图亚特,/m/0drx2dj,,,,,,,,,,,,,,,,,372573169,,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,Freundel Stuart,,,,
Q6754524,Mara Thompson,Mara Thompson,Mara Thompson,Mara Thompson,female,1967-10-04,,,Mara,,,,,,,politician,,,,Mara Thompson,,,,,,,,,Mara Thompson,,,,,,,,,,,,,,,,,,,,,,,,Mara Thompson,,Thompson,Mara Thompson,Mara Thompson,,,Mara Thompson,Mara Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6827147,Mia Mottley,Mia Mottley,Mia Mottley,Mia Mottley,female,1965-10-01,,,Mia,,,,,,,politician,,Mia Mottley,Mia Mottley,Mia Mottley,Mia Mottley,Μία Μότλεϊ,Mia Mottley,Mia Mottley,Міа Моттлі,Миа Моттли,Mia Mottley,Mia Mottley,Mia Mottley,ミア・モトリー,میا موٹلی,Mia Mottley,Mia Mottley,Mia Mottley,米亞·莫特利,米亚·莫特利,Mia Mottley,Category:Mia Mottley,Μία Μότλεϊ,Mia Mottley,Mia Mottley,Mia Mottley,Mia Mottley,Mia Mottley,Mia Mottley,Mia Mottley,Mia Mottley,Mia Mottley,"Моттли, Миа",Mia Mottley,Міа Моттлі,میا موٹلی,Mia Mottley,https://upload.wikimedia.org/wikipedia/commons/3/3e/Mia_mottley.jpg,Mottley,,,,,,Mia Mottley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7527551,"Sir John Alleyne, 1st Baronet","Sir John Alleyne, 1st Baronet",John Alleyne,"Sir John Alleyne, 1st Baronet",male,1724-04-28,1801,baronet,John,1526994,nr95046882,19573902,w6qc1n0c,Alleyne-55,64971,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7668740,T. T. Lewis,T. T. Lewis,,T. T. Lewis,male,1905-12-10,1959,,T.,,,73402204,,,,politician,,,,,,,,,,,,,T. T. Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,Lewis,,,تي. تي. لويس,,,,,,,,,,,,,,T. T. Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8007063,William Conrad Reeves,William Conrad Reeves,William Conrad Reeves,William Conrad Reeves,male,1838,1902-01-08,,William,,,,,,35710,politician,,,William Conrad Reeves,,,,,,,,,,William Conrad Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,,William Conrad Reeves,William Conrad Reeves,ويليام كونراد ريفيس,ويليام كونراد ريفيس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
