name,source,id,image,email,birth_date,party,term
ILIJA DIMOVSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-ilija-dimovski-16-en.nspx,ilija-dimovski,http://www.sobranie.mk/content/images/pratenici%2016-20/Dimovski-Ilija.jpg,i.dimovski@sobranie.mk,1980-08-10,VMRO-DPMNE,2016
ILIJA NIKOLOVSKI,https://sobranie.mk/party-of-united-pensioners-and-citizens-of-macedonia-16-en-ns_article-ilija-nikolovski-16-en.nspx,ilija-nikolovski,http://www.sobranie.mk/content/images/pratenici%2016-20/Nikolovsi-Ilija.jpg,l.nikolovski@sobranie.mk,1948-07-06,Party of United Pensioners and Citizens of Macedonia,2016
IRENA STEFOSKA,https://sobranie.mk/independent-mps-16-en-ns_article-irena-stefoska-16-en.nspx,irena-stefoska,https://sobranie.mk/content/images/pratenici%2016-20/Irena%20Stefoska.jpg,i.stefoska@sobranie.mk,1967-09-16,Independent MPs,2016
IVAN IVANOV,https://sobranie.mk/vmro-dpmne-16-en-ns_article-ivan-ivanov-16-en.nspx,ivan-ivanov,http://www.sobranie.mk/content/images/pratenici%2016-20/Ivanov-Ivan.jpg,i.ivanov@sobranie.mk,1971-08-11,VMRO-DPMNE,2016
IVAN STOILKOVIK,https://sobranie.mk/democratic-party-of-serbs-in-macedonia-2016-2020-en-ns_article-ivan-stoilkovik-16-en.nspx,ivan-stoilkovik,http://www.sobranie.mk/content/images/pratenici%2016-20/Stoilkovik-Ivan-.jpg,i.stoilkovik@sobranie.mk,1962-02-15,Democratic Party of Serbs in Macedonia,2016
IVANA TUFEGDZIK,https://sobranie.mk/independent-mps-16-en-ns_article-ivana-tufegdzik-16-en.nspx,ivana-tufegdzik,http://www.sobranie.mk/content/images/pratenici%2016-20/Tufefegdjik-Ivana.jpg,i.tufegdzik@sobranie.mk,1993-02-11,Independent MPs,2016
JAGODA SAHPASKA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-jagoda-sahpaska-16-en.nspx,jagoda-sahpaska,http://www.sobranie.mk/content/images/pratenici%2016-20/Sahpaska-Jagoda.jpg,j.sahpaska@sobranie.mk,1964-03-18,Social Democratic Union of Macedonia,2016
JOHAN TARCHULOVSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-johan-tarchulovski-16-en.nspx,johan-tarchulovski,http://www.sobranie.mk/content/images/pratenici%2016-20/Tarculovski-Johan.jpg,J.Tarculovski@sobranie.mk,1974-11-17,VMRO-DPMNE,2016
JOVAN MITRESKI,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-jovan-mitreski-16-en.nspx,jovan-mitreski,http://www.sobranie.mk/content/images/pratenici%2016-20/Mitreski-Jovan.jpg,j.mitreski@sobranie.mk,1980-11-20,Social Democratic Union of Macedonia,2016
JULIANA NIKOLOVA,https://sobranie.mk/liberal-democratic-party-16-en-ns_article-juliana-nikolova-16-en.nspx,juliana-nikolova,http://www.sobranie.mk/content/images/pratenici%2016-20/Nikolova-Julijana.jpg,j.nikolova@sobranie.mk,1975-07-14,Liberal Democratic Party,2016
JUSUF HASANI,https://sobranie.mk/democratic-party-of-turks-in-macedonia-2016-2020-en-ns_article-jusuf-hasani16-en.nspx,jusuf-hasani,https://sobranie.mk/content/images/pratenici%2016-20/pratenik%20jusuf%20hasani.jpg,j.hasani@sobranie.mk,1973-01-19,Democratic Party of Turks in Macedonia,2016
KATERINA KUZMANOVSKA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-katerina-kuzmanovska-16-en.nspx,katerina-kuzmanovska,http://www.sobranie.mk/content/images/pratenici%2016-20/Kuzmanovska-Katerina.jpg,k.kuzmanovska@sobranie.mk,1968-06-15,Social Democratic Union of Macedonia,2016
KETI SMILESKA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-keti-smileska-16-en.nspx,keti-smileska,http://www.sobranie.mk/content/images/pratenici%2016-20/Smileska-Keti.jpg,k.smileska@sobranie.mk,1974-12-13,Social Democratic Union of Macedonia,2016
KOSTADIN ACEVSKI,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-kostadin-acevski-16-en.nspx,kostadin-acevski,,"",,Social Democratic Union of Macedonia,2016
KOSTADIN KOSTADINOV,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-kostadin-kostadinov-16-en.nspx,kostadin-kostadinov,http://www.sobranie.mk/content/images/pratenici%2016-20/Kostadinov-Kostadin.jpg,"",,Social Democratic Union of Macedonia,2016
KRSTO JOVANOVSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-krsto-jovanovski-16-en.nspx,krsto-jovanovski,http://www.sobranie.mk/content/images/pratenici%2016-20/Jovanovski-Krsto.jpg,k.jovanovski@sobranie.mk,1960-03-13,VMRO-DPMNE,2016
KRSTO MUKOSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-krsto-mukoski-16-en.nspx,krsto-mukoski,http://www.sobranie.mk/content/images/pratenici%2016-20/Mukovski-Krsto.jpg,k.mukoski@sobranie.mk,1974-09-24,Independent MPs,2016
LIDIJA TASEVSKA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-lidija-tasevska-16-en.nspx,lidija-tasevska,https://sobranie.mk/content/images/pratenici%2016-20/Lidija-Tasevska.jpg,"",,Social Democratic Union of Macedonia,2016
LILJANA KUZMANOVSKA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-liljana-kuzmanovska-16-en.nspx,liljana-kuzmanovska,https://sobranie.mk/content/images/pratenici%2016-20/Liljana-Kuzmanovska.jpg,l.kuzmanovska@sobranie.mk,1962-07-15,VMRO-DPMNE,2016
LILJANA POPOVSKA,https://sobranie.mk/democratic-renewal-of-macedonia-16-en-ns_article-liljana-popovska-16-en.nspx,liljana-popovska,http://www.sobranie.mk/content/images/pratenici%2016-20/liljana-popovska.jpg,l.popovska@sobranie.mk,,Democratic Renewal of Macedonia,2016
LILJANA ZATUROSKA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-liljana-zaturoska-16-en.nspx,liljana-zaturoska,http://www.sobranie.mk/content/images/pratenici%2016-20/Zaturoska-Ljuljana.jpg,l.zaturoska@sobranie.mk,1964-09-06,VMRO-DPMNE,2016
LJUBEN ARNAUDOV,https://sobranie.mk/vmro-dpmne-16-en-ns_article-ljuben-arnaudov-16-en.nspx,ljuben-arnaudov,http://www.sobranie.mk/content/images/pratenici%2016-20/Arnaudov-Ljuben.jpg,l.arnaudov@sobranie.mk,1957-11-17,Independent MPs,2016
LJUPCHO DIMOVSKI,https://sobranie.mk/socialist-party-of-macedonia-16-en-ns_article-ljupcho-dimovski-16-en.nspx,ljupcho-dimovski,http://www.sobranie.mk/content/images/pratenici%2016-20/Dimovski-Ljupco.jpg,l.dimovski@sobranie.mk,1959-04-09,Socialist Party of Macedonia,2016
MAGDALENA MANASKOVA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-magdalena-manaskova-16-en.nspx,magdalena-manaskova,http://www.sobranie.mk/content/images/pratenici%2016-20/Manaskova-Magdalena.jpg,M.Manaskova@sobranie.mk,1981-06-22,VMRO-DPMNE,2016
MAJA MORACHANIN,https://sobranie.mk/democratic-renewal-of-macedonia-16-en-ns_article-maja-morachanin-16-en.nspx,maja-morachanin,http://www.sobranie.mk/content/images/pratenici%2016-20/Maja-Moracanin_1.jpg,m.moracanin@sobranie.mk,1970-04-14,Democratic Renewal of Macedonia,2016
MENDUH TACHI,https://sobranie.mk/democratic-party-of-albanians-16-en-ns_article-menduh-tachi-16-en.nspx,menduh-tachi,http://www.sobranie.mk/content/images/pratenici%2016-20/Mendu-Taci.jpg,m.taci@sobranie.mk,1965-03-03,Democratic Party of Albanians,2016
MERAIL UZEIRI-FERATI,https://sobranie.mk/democratic-party-of-albanians-16-en-ns_article-merail-uzeiri-ferati-16-en.nspx,merail-uzeiri-ferati,https://sobranie.mk/content/images/pratenici%2016-20/merailuzeiriferati.jpg,"",1975-07-09,Democratic Party of Albanians,2016
MERI LAZAROVA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-meri-lazarova-16-en.nspx,meri-lazarova,http://www.sobranie.mk/content/images/pratenici%2016-20/Lazarova-Meri.jpg,m.lazarova@sobranie.mk,1984-09-17,Social Democratic Union of Macedonia,2016
MILEVA GORGIEVA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-mileva-gorgieva-16-en.nspx,mileva-gorgieva,http://www.sobranie.mk/content/images/pratenici%2016-20/Gorgieva-Mileva.jpg,m.gjorgieva@sobranie.mk,1963-03-17,Social Democratic Union of Macedonia,2016
MIRA STOJCHEVSKA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-mira-stojchevska-16-en.nspx,mira-stojchevska,http://www.sobranie.mk/content/images/pratenici%2016-20/Stojcevska-Mira.jpg,m.stojcevska@sobranie.mk,1966-07-19,Social Democratic Union of Macedonia,2016
MIROSLAV JOVANOVIC,https://sobranie.mk/serbian-party-of-macedonia-16-en-ns_article-miroslav-jovanovic-16-en.nspx,miroslav-jovanovic,http://www.sobranie.mk/content/images/pratenici%2016-20/Miroslav-Jovanovik.jpg,"",,Serbian Party of Macedonia,2016
MIRSADA EMINI-ASANI,https://sobranie.mk/democratic-union-for-integration-16-en-ns_article-mirsada-emini-asani-16-en.nspx,mirsada-emini-asani,http://www.sobranie.mk/content/images/pratenici%2016-20/Emini-AsaniMirsada.jpg,m.eminiasani@sobranie.mk,1965-07-08,Democratic Union for Integration,2016
MUHAMED ZEKIRI,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-muhamed-zekiri-16-en.nspx,muhamed-zekiri,http://www.sobranie.mk/content/images/pratenici%2016-20/Zekiri-Muhamed.jpg,m.zekiri@sobranie.mk,1979-03-10,Social Democratic Union of Macedonia,2016
NADA CIPUSHEVA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-nada-cipusheva-16-en.nspx,nada-cipusheva,http://www.sobranie.mk/content/images/pratenici%2016-20/Cipuseva-Nada.jpg,n.cipuseva@sobranie.mk,1958-01-22,VMRO-DPMNE,2016
NEDZBEDIN KAREMANI,https://sobranie.mk/movement-besa-16-en-ns_article-nedzbedin-karemani-16-en.nspx,nedzbedin-karemani,https://sobranie.mk/content/images/pratenici%2016-20/Nedjbedin-Karemani.jpg,"",,Movement BESA,2016
NEVENKA STAMENKOVSKA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-nevenka-stamenkovska-16-en.nspx,nevenka-stamenkovska,http://www.sobranie.mk/content/images/pratenici%2016-20/Nevenka-Stamenkovska.jpg,n.stamenkovska@sobranie.mk,,VMRO-DPMNE,2016
NIKICA KORUBIN,https://sobranie.mk/liberal-democratic-party-16-en-ns_article-nikica-korubin-16-en.nspx,nikica-korubin,http://www.sobranie.mk/content/images/pratenici%2016-20/Nikica-Korubin.jpg,n.korubin@sobranie.mk,,Independent MPs,2016
NIKOLA GRUEVSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-nikola-gruevski-16-en.nspx,nikola-gruevski,http://www.sobranie.mk/content/images/pratenici%2016-20/Nikola-Gruevski.jpg,n.gruevski@sobranie.mk,,VMRO-DPMNE,2016
NIKOLA MICEVSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-nikola-micevski-16-en.nspx,nikola-micevski,https://sobranie.mk/content/images/pratenici%2016-20/nikola-micevski-vmro-dpmne.jpg,N.Micevski@sobranie.mk,1975-03-13,VMRO-DPMNE,2016
NIKOLA POPOSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-nikola-poposki-16-en.nspx,nikola-poposki,http://www.sobranie.mk/content/images/pratenici%2016-20/Nikola-Popovski.jpg,n.poposki@sobranie.mk,,VMRO-DPMNE,2016
NOLA ISMAJLOSKA-STAROVA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-nola-ismajloska-starova-16-en.nspx,nola-ismajloska-starova,http://www.sobranie.mk/content/images/pratenici%2016-20/Nola-Ismajloska-Starova.jpg,n.ismajloska@sobranie.mk,,Independent MPs,2016
PANCHE IVANOV,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-panche-ivanov-16-en.nspx,panche-ivanov,http://www.sobranie.mk/content/images/pratenici%2016-20/Ivanov-Pance.jpg,p.ivanov@sobranie.mk,1964-09-20,Social Democratic Union of Macedonia,2016
PANCHO MINOV,https://sobranie.mk/grom-16-en-ns_article-pancho-minov-16-en.nspx,pancho-minov,http://www.sobranie.mk/content/images/pratenici%2016-20/Panco-Minov.jpg,p.minov@sobranie.mk,1958-08-21,"Party of Justice, Civil Option for Macedonia",2016
PAVLE BOGOEVSKI,https://sobranie.mk/independent-mps-16-en-ns_article-pavle-bogoevski-16-en.nspx,pavle-bogoevski,http://www.sobranie.mk/content/images/pratenici%2016-20/Bogoevsi-Pavle.jpg,p.bogoevski@sobranie.mk,1986-02-14,Independent MPs,2016
PAVLINCHE CHESTOJNOVA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-pavlinche-chestojnova-16-en.nspx,pavlinche-chestojnova,http://www.sobranie.mk/content/images/pratenici%2016-20/Cestojnova-Pavlince.jpg,p.cestojnova@sobranie.mk,,VMRO-DPMNE,2016
REDZAILJ ISMAILI,https://sobranie.mk/democratic-union-for-integration-16-en-ns_article-redzailj-ismaili-16-en.nspx,redzailj-ismaili,http://www.sobranie.mk/content/images/pratenici%2016-20/Ismaili-Redjailj.jpg,r.ismaili@sobranie.mk,1966-11-02,Democratic Union for Integration,2016
REDZEP MEMEDI,https://sobranie.mk/movement-besa-16-en-ns_article-redzep-memedi-16-en.nspx,redzep-memedi,https://sobranie.mk/content/images/pratenici%2016-20/Redjep-Memedi.jpg,"",,Movement BESA,2016
RISTE TASHEV,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-riste-tashev-16-en.nspx,riste-tashev,https://sobranie.mk/content/images/pratenici%2016-20/Riste-Tashev.jpg,"",,Social Democratic Union of Macedonia,2016
RUBIN ZEMON,https://sobranie.mk/party-for-social-and-economic-progress-ns_article-rubin-zemon-16-eng.nspx,rubin-zemon,https://www.sobranie.mk/content/images/pratenici%2016-20/Zemon%2016%20ok.jpg,"",,Party for Social and Economic Progress,2016
SAMKA IBRAIMOSKI,https://sobranie.mk/party-for-the-total-emancipation-of-roma-16-20-ns_article-samka-ibraimoski-16-en.nspx,samka-ibraimoski,https://sobranie.mk/content/images/pratenici%2016-20/SamkaIbraimoski.jpg,"",1954-09-27,Party for the Total Emancipation of Roma,2016
SASHKO ATANASOV,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-sashko-atanasov-16-en.nspx,sashko-atanasov,http://www.sobranie.mk/content/images/pratenici%2016-20/Saso-Atanasov.jpg,"",,Social Democratic Union of Macedonia,2016
SASHO VASILEVSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-sasho-vasilevski-16-en.nspx,sasho-vasilevski,http://www.sobranie.mk/content/images/pratenici%2016-20/Vasilevski-Saso.jpg,s.vasilevski@sobranie.mk,1966-06-16,Independent MPs,2016
SASKO KOSTOV,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-sasko-kostov-16-en.nspx,sasko-kostov,http://www.sobranie.mk/content/images/pratenici%2016-20/Kostov-Sasko.jpg,s.kostov@sobranie.mk,1972-09-23,Social Democratic Union of Macedonia,2016
SHPRESA HADRI,https://sobranie.mk/democratic-union-for-integration-16-en-ns_article-shpresa-hadri-16-en.nspx,shpresa-hadri,http://www.sobranie.mk/content/images/pratenici%2016-20/Hadri-Spresa.jpg,S.Hadri@sobranie.mk,1964-03-06,Democratic Union for Integration,2016
SLAGJANA MITOVSKA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-slagjana-mitovska-16-en.nspx,slagjana-mitovska,http://www.sobranie.mk/content/images/pratenici%2016-20/Mitovska-Sladjana.jpg,S.Mitovska@sobranie.mk,1981-01-29,VMRO-DPMNE,2016
SLAVICA SHUMANSKA - MITEVA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-slavica-shumanska-miteva-16-en.nspx,slavica-shumanska-miteva,http://www.sobranie.mk/content/images/pratenici%2016-20/Slavica--Sumanska-Miteva.jpg,"",,Social Democratic Union of Macedonia,2016
