id,name__ko,name,wikipedia__ko,name__en,wikipedia__en,gender,identifier__freebase,birth_date,family_name,identifier__ISNI,identifier__VIAF,death_date,identifier__NTA,identifier__MusicBrainz,image,identifier__GND,identifier__LCAuth,identifier__NDL,identifier__IIAF,name__es,name__nl,name__fr,name__de,wikipedia__fr,name__zh,name__pl,name__ja,wikipedia__de,wikipedia__ja,wikipedia__pl,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__it,name__vi,name__sv,wikipedia__sv,wikipedia__vi,name__zh_cn,name__pt,name__zh_sg,name__zh_tw,name__ru,name__tr,name__yo,name__fi,name__gl,name__id,name__cs,name__el,name__fa,name__da,name__nb,name__he,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__es,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__it,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__ru,wikipedia__tr,wikipedia__yo,name__hu,wikipedia__hu,name__ar,name__mg,wikipedia__ar,wikipedia__mg,name__az,name__bcl,name__be,name__bg,name__br,name__ca,name__cy,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__hr,name__hy,name__ka,name__lt,name__lv,name__mk,name__ml,name__ms,name__my,name__nds,name__nds_nl,name__nn,name__pt_br,name__ro,name__scn,name__sk,name__sq,name__sr,name__ta,name__th,name__tk,name__uk,name__yue,name__zh_my,name__zh_mo,name__hak,name__szl,name__ast,name__mn,name__an,name__af,name__eu,name__tg,name__sco,name__tl,name__oc,name__gsw,name__sgs,name__nan,name__be_tarask,name__bn,name__os,name__war,name__hi,name__cdo,name__wuu,name__ckb,name__ne,name__sh,name__ur,name__la,wikipedia__af,wikipedia__als,wikipedia__an,wikipedia__ast,wikipedia__az,wikipedia__bat_smg,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__br,wikipedia__ca,wikipedia__cdo,wikipedia__ckb,wikipedia__cy,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__hak,wikipedia__hi,wikipedia__hr,wikipedia__huwikiquote,wikipedia__hy,wikipedia__ka,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mk,wikipedia__ml,wikipedia__mn,wikipedia__ms,wikipedia__my,wikipedia__nds_nl,wikipedia__nds,wikipedia__ne,wikipedia__nn,wikipedia__os,wikipedia__plwikiquote,wikipedia__ro,wikipedia__ruwikinews,wikipedia__scn,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__svwikiquote,wikipedia__szl,wikipedia__ta,wikipedia__tg,wikipedia__th,wikipedia__tk,wikipedia__tl,wikipedia__uk,wikipedia__ur,wikipedia__war,wikipedia__wuu,wikipedia__zh_min_nan,wikipedia__zh_yue,name__ku_arab,name__ku_latn,name__ku,wikipedia__commons,wikipedia__ku,name__hif,wikipedia__itwikiquote,wikipedia__trwikiquote,wikipedia__kn,name__kn,original_wikiname,identifier__FAST,last_seen,name__kana,wikipedia__pap,wikipedia__ga,name__ga,name__pap,wikipedia__ukwikiquote,identifier__Britannica
Q6409256,김봉철,Kim Pong-chol,김봉철,Kim Pong-chol,Kim Pong-chol,male,,1942-05-02,,,,2012-02-14,,,,,,,,Kim Pong-chol,Kim Pong-chol,Kim Pong-chol,,,金奉哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Pong-chol,,,,,,,,,
Q5366982,김원홍,Kim Won-hong,김원홍,Kim Won-hong,Kim Won-hong,male,/m/0vzrn2d,1945-04-17,,,,,,,,,,,,Kim Won-hong,Kim Won-hong,Kim Won-hong,Kim Won-hong,,金元弘,Kim Wŏn Hong,金元弘,Kim Won-hong,金元弘,Kim Wŏn Hong,金元弘,金元弘,金元弘,金元弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Won-hong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Won-hong,,,,,,,,,
Q24548603,,Ri Yong-chol,,Ri Yong-chol,Ri Yong-chol,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Yong-chol,,,,,,,,,
Q494800,박봉주,Pak Pong-ju,박봉주 (1939년),Pak Pong-ju,Pak Pong-ju,male,/m/023570,1939-10-24,,,,,,,,,,,,Pak Pong-ju,Pak Pong-ju,Pak Pong-ju,Pak Pong-ju,Pak Pong-ju,朴奉珠,Pak Pong Ju,朴奉珠,Pak Pong-ju,朴奉珠,Pak Pong Ju,朴奉珠,朴凤柱,朴鳳柱,朴鳳柱,Pak Pong-ju,Pak Pong-ju,Pak Pong-ju,Pak Pong-ju,Pak Pong-ju,,Pak Pong-ju,,,Пак Пон Джу,Pak Pong-ju,,,Pak Pong-ju,,,,,Pak Pong-ju,Pak Pong-ju,פאק פונג-ג'ו,,,,Pak Pong-ju,,,Pak Pong-ju,פאק פונג-ג'ו,,Pak Pong-ju,Pak Pong-ju,,Pak Pong-ju,Пак Пон Джу,Pak Pong-ju,,Pak Pong-ju,,,,,,,,,,,Pak Pong-ju,,,,,,Pak Pong-ju,,,,,,,,,,,,Pak Pong-ju,,,,,,,,,,,朴奉珠,,,,,,,,,,,,,,,,,,,,,,Páuk Hông-ciŏ,,,,,,,,,,,,,,,,,,,Pak Pong-ju,Páuk Hông-ciŏ,,,,Pak Pong-ju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朴奉珠,پاک پۆنگ-ژو,Pak Pong-ju,Pak Pong-ju,,Pak Pong-ju,,,,,,Pak Pong-ju,,,,,,,,,
Q8011047,김철만,Kim Chol-man,김철만,Kim Chol-man,Kim Chol-man,male,,1918,,,,,,,,,,,,,Kim Chol-man,Kim Chol-man,,,金铁万,Kim Ch'ŏl Man,,,,Kim Ch'ŏl Man,金铁万,金铁万,金鐵萬,金鐵萬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Chol-man,,,,,,,,,
Q58214,박의춘,Pak Ui-chun,박의춘,Pak Ui-chun,Pak Ui-chun,male,/m/04mzf79,1932,,,,,,,,,,,,Pak Ui-chun,Pak Ui-chun,Pak Ui-chun,Pak Ui-chun,Pak Ui-chun,朴義春,Pak Ŭi Ch'un,朴宜春,Pak Ui-chun,朴宜春,Pak Ŭi Ch'un,朴義春,,,,,,Pak Ui-chun,Pak Ui-chun,,,,,,,,,Pak Ui-chun,,,,,,,,,,,,,,Pak Ui-chun,,,,,,,,,,,Pak Icshun,Pak Icshun,,,,,,,Пак Ы Чун,,,Pak Ui-chun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pak Ui-chun,,,,,,,,,,,,,,,,,,,,,,,,Пак Ы Чун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pak Ui-chun,,,,,,,,,
Q271067,김경희,Kim Kyong-hui,김경희 (정치인),Kim Kyong-hui,Kim Kyong-hui,female,/m/0ddb1z0,1946-05-30,,,,2013,,,,,,,,Kim Kyong-hui,Kim Kyong-hui,Kim Kyong-hui,Kim Kyŏng-hŭi,Kim Kyong-hui,金敬姬,Kim Kyŏng Hŭi,金敬姫,Kim Kyŏng-hŭi,金敬姫,Kim Kyŏng Hŭi,金敬姬,金敬姬,金敬姬,金敬姬,,Kim Kyong-hui,Kim Kyong-hui,Kim Kyong-hui,Kim Kyong-hui,金敬姬,,金敬姬,金敬姬,Ким Гён Хи,,,,Kim Kyong-hui,,Kim Kyong-hui,,,,Kim Kyong-hui,,,,,Kim Kyong-hui,,,,,,,,Kim Kyong-hui,,Ким Гён Хи,,,Kim Gjonghi,Kim Gjonghi,,,,,,,,,,,Kim Kyong-hui,,,,,,,Կիմ Կյոնգ Հուի,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kyong-hui,,Kim Kyong-hui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kyong-hui,,,,,,,,,
Q110456,김영남,Kim Yong-nam,김영남,Kim Yong-nam,Kim Yong-nam,male,/m/022w7q,1928-02-04,Kim,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/80/DkJ2mlWd1Gk.jpg,,,,,Kim Yong-nam,Kim Yong-nam,Kim Yong-nam,Kim Yŏng-nam,Kim Yong-nam,金永南,Kim Yŏng Nam,金永南,Kim Yŏng-nam,金永南,Kim Yŏng Nam,金永南,金永南,金永南,金永南,Kim Yong-nam,Kim Yong-nam,Kim Yong-nam,Kim Yong-nam,Kim Yong-nam,金永南,Kim Yong-nam,金永南,金永南,Ким Ён Нам,Kim Yong-nam,Kim Yong-nam,Kim Yong-nam,,Kim Yong Nam,,,کیم یونگ-نام,Kim Yong-nam,Kim Yong-nam,קים יונג נאם,,Kim Yong-nam,,Kim Yong-nam,کیم یونگ-نام,Kim Yong-nam,,קים יונג-נאם,Kim Yong Nam,Kim Yong-nam,Kim Yong-nam,Kim Yong-nam,Kim Yong-nam,Ким Ён Нам,Kim Yong-nam,Kim Yong-nam,Kim Jongnam,Kim Jongnam,,,,,,,Кім Ён Нам,,,Kim Yong-nam,,,,,,Kim Yŏng-nam,,,,,,,,,,Kim Yong-nam,,,,,,,,,,,,Кім Йон Нам,,,,,,,,,,,,,,Kim Yong-nam,,,,,,,,,,,,,Kim Yŏng-nam,,,,,,,,,,,Кім Ён Нам,,,,Kim Yong-nam,,,,,Kim Yŏng-nam,,,,,,,,,,,,,,,,,Kim Yong-nam,,,,,,,,,Kim Yŏng-nam,Kim Yong-nam,,,,,,,,,,,Кім Йон Нам,,,,,,کم یۆنگ-نام,Kim Yong-nam,Kim Yong-nam,Category:Kim Yong-nam,Kim Yong-nam,,,,,,Kim Yong-nam,,,,,,,,,
Q3434055,로두철,Ro Tu-chol,로두철,Ro Tu-chol,Ro Tu-chol,male,,1944,,,,,,,,,,,,,Ro Tu-chol,Ro Tu-chol,Ro Tu-chol,Ro Tu-chol,盧斗哲,Ro Tu Ch'ŏl,,Ro Tu-chol,,Ro Tu Ch'ŏl,盧斗哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ro Tu-chol,,,,,,,,,
Q851624,김용순,Kim Yong-sun,김용순 (1934년),Kim Yong-sun,Kim Yong-sun,male,/m/0c3w5rn,1934,,,,2003,,,,,,,,Kim Yong-sun,Kim Yong-sun,Kim Yong-sun,,,金容淳,Kim Yong Sun,金容淳,,金容淳,Kim Yong Sun,金容淳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Yong-sun,,,,,,,,,,,,Kim Yong-sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Yong-sun,,,,,,,,,
Q23882843,,Ri Chol-jin,,Ri Chol-jin,Ri Chol-jin,male,,1985-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Chol-jin,,,,,,,,,
Q18758310,,Han Song-hyok,,Han Song-hyok,Han Song-hyok,male,,1987-12-11,,,,,,,,,,,,,Han Song-hyok,Han Song-hyok,,,韓成赫,,,,,,韓成赫,,,,Han Song-Hyok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Han Song-Hyok,,,,,,,Han Szonghjok,Han Szonghjok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Han Song-hyok,,,,,,,,,
Q710692,최태복,Choe Thae-bok,최태복,Choe Thae-bok,Choe Thae-bok,male,/m/0h3lm2x,1930-12-01,,,,,,,,,,,,Choe Thae-bok,Choe Thae-bok,Choe Thae-bok,Choe Thae-bok,Choe Thae-bok,崔泰福,Ch'oe T'ae Bok,崔泰福,Choe Thae-bok,崔泰福,Ch'oe T'ae Bok,崔泰福,崔泰福,崔泰福,崔泰福,,,,,,崔泰福,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choe Thae-bok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choe Thae-bok,,,,,,,,,
Q38804,김영춘,Kim Yong-chun,김영춘 (군인),Kim Yong-chun,Kim Yong-chun,male,/m/02890ng,1936-03-04,,,,,,,,,,,,Kim Yong-Chun,Kim Yong-Chun,Kim Yong Chun,Kim Yŏng-ch'un,,金永春,Kim Yŏng Ch'un,金永春,Kim Yŏng-ch’un,金永春,Kim Yŏng Ch’un,金永春,,,,Kim Yong Chun,,Kim Yong-chun,Kim Yong-chun,,,,,,,,,Kim Yong-chun,,,,,,,Kim Yong-chun,,,,,Kim Yong-chun,,Kim Yong-chun,,,,Kim Yong-chun,,Kim Yong-chun,,,,,Kim Yong-Chun,,,Kim Yong Chun,,Kim Yong Chun,,,Кім Ён Чхун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Кім Ён Чхун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Yong-chun,,,,,,,,,
Q9383607,윤정린,Yun Chong-nin,윤정린,Yun Chong-nin,Yun Jong-rin,male,,,,,,,,,,,,,,,Yun Jong-rin,,Yun Jong-rin,,尹正麟,Yun Jŏng Rin,尹正麟,,尹正麟,Yun Jŏng Rin,尹正麟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yun Jong-rin,,,,,,,,,
Q9310191,리수용,Ri Su-yong,리수용,Ri Su-yong,Ri Su-yong,male,,1935,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Ri_Su-yong.jpg,,,,,,Ri Su-yong,Ri Su-yong,,,李洙墉,Ri Su Yong,李洙墉,,李洙墉,Ri Su Yong,李洙墉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Su-yong,,,,,,Ri Szujong,Ri Szujong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Chol,,,,,,,,,
Q310889,최영림,Choe Yong-rim,최영림 (1930년),Choe Yong-rim,Choe Yong-rim,male,/m/0c3x_yp,1929-11-20,Cui,,,,,,,,,,,Choe Yong-rim,Choe Yong-rim,Choe Yong-rim,Choe Yong-rim,Choe Yong-rim,崔永林,Ch'oe Yŏng Rim,崔永林,Ch’oe Yŏng-rim,崔永林,Ch'oe Yŏng Rim,崔永林,崔永林,崔永林,崔永林,Choe Yong-rim,Choe Yŏngrim,Choe Yong-rim,Choe Yong-rim,Choe Yŏngrim,崔永林,Choe Yong-rim,崔永林,崔永林,Чхве Ён Рим,Choe Yong-rim,Choe Yong-rim,Choe Yong-rim,Choe Yong-rim,Choe Yong-rim,Čche Jong-rim,Τσόε Γιονγκ-ριμ,چو یونگ-ریم,Choe Yong-rim,Choe Yong-rim,צ'וי יונג-רים,Čche Jong-rim,Choe Yong-rim,Τσόε Γιονγκ-ριμ,Choe Yong-rim,چو یونگ-ریم,Choe Yong-rim,Choe Yong-rim,צ'וי יונג-רים,Choe Yong-rim,Choe Yong-rim,Choe Yong-rim,Choe Yong-rim,Choe Yong-rim,Чхве Ён Рим,Choe Yong-rim,Choe Yong-rim,Choe Yong-rim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choe Yong-rim,,,,,,,,,
Q6409198,,Kim Myong-chol,,Kim Myong-chol,Kim Myong-chol,male,,,,,,,,,,,,,,,Kim Myong-chol,,Kim Myong-chol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Myong-chol,,,,,,,,,
Q176188,,Kim Chol-ho,,Kim Chol-ho,Kim Chol-ho,male,/m/04zvf_c,1985-10-15,,,,,,,,,,,,Kim Chol-Ho,Kim Chol-Ho,Kim Chol-Ho,Kim Chol-ho,,金哲鎬,,金哲鎬,Kim Chol-ho,,,金哲鎬,,,,Kim Chol-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Chol-Ho,,,,,,,,,كيم تشول هو,Kim Chol-Ho,كيم تشول هو,Kim Chol-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Chol-ho,,,,,,,,,
Q447861,리성희,Ri Song-Hui,리성희,Ri Song-Hui,Ri Song-hui,female,/m/07rs28,1978-12-03,,,,,,,,,,,,Ri Song-Hui,Ri Song-Hui,Ri Song-Hui,Ri Song-hui,Ri Song-hui,,Ri Song Hui,リ・ソンヒ,Ri Song-hui,,Ri Song-hui,,李成姬,,,,,,,,,,,,Ли Сонхи,Ri Song Hui,,,,,,,,,,,,,,,,,,,,,,,,Ли Сонхи,Ri Song Hui,,,,,,,,,,,,,Ri Song-Hui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Song-Hui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Song-hui,,,,,,,,,
Q1672031,,Kim Kwang-Hyok,,Kim Kwang-Hyok,Kim Kwang-hyok,male,/m/04zw8ts,1985-08-27,,,,,,,,,,,,Kim Kwang-Hyok,Kim Kwang-Hyok,Kim Kwang-Hyok,Kim Kwang-hyok,,金光赫,,,Kim Kwang-hyok,,,金光赫,,,,Kim Kwang-Hyok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kwang-Hyok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kwang-hyok,,,,,,,,,
Q20671751,,Pak Yong-sik,,Pak Yong-sik,Pak Yong-sik,male,,,,,,,,,,,,,,,,,,,,,朴永植,,朴永植,,,,樸永植,,,,,,,朴永植,,,,Пак Ён Сик,,,,,Pak Yong-sik,,,,,,,,,,,,,,,Pak Yong-sik,,,,,Пак Ён Сик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pak Yong-sik,,,,,,,,,
Q709705,리을설,Ri Ul-sol,리을설,Ri Ul-sol,Ri Ul-sol,male,,1921-09-14,Lee,,,2015-11-07,,,,,,,,,Ri Ul-sol,Ri Ul-sol,,,李乙雪,Ri Ŭl Sŏl,李乙雪,,李乙雪,Ri Ŭl Sŏl,李乙雪,李乙雪,李乙雪,李乙雪,,,,,,,,,,Ли Ыль Соль,,,,,,,,,,,,,,,,,,,,,,,,,Ли Ыль Соль,,,Ri Ulszol,Ri Ulszol,,,,,,,,,,,Ri Ul-sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,李乙雪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,李乙雪,,,,,,,,,,,Ri Ul-sol,,,,,,,,,
Q520516,,Kim Kum-ok,,Kim Kum-ok,Kim Kum-ok,female,/m/05c3zgd,1988-12-09,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/04/Kim_Kum-ok.JPG,,,,225632,Kim Kum-ok,Kim Kum-ok,Kim Kum-ok,Kim Kum-ok,,,Kim Kum-ok,,Kim Kum-ok,,Kim Kum-ok,,,,,,,,,,,,,,,,,Kim Kum-ok,,,,,,,Kim Kum-ok,,,,,,,Kim Kum-ok,,,,,,Kim Kum-ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kum-ok,,,,,,,,,
Q709884,리용무,Ri Yong-mu,리용무,Ri Yong-mu,Ri Yong-mu,male,/m/0hq_jw7,1925-01-25,Li,,,,,,,,,,,Ri Yong-mu,Ri Yong-mu,,Ri Yong-mu,,李勇武,Ri Yong Mu,李勇武,Ri Yong-mu,李勇武,Ri Yong Mu,李勇武,李勇武,李勇武,李勇武,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Yong-mu,,,,,,,,,
Q3251327,박영호,Pak Yong-ho,,Pak Yong-ho,Pak Yong-ho,male,,1974-05-29,,,,,,,,,,,,,Pak Yong-ho,Pak Young-ho,,,,,朴永浩,,朴永浩,,,,,,,,,,,,,,,"Паку, Ёнхо",Pak Yong-Ho,,,,,,,,,,,,,,,,,,,,,,,,,Pak Yong-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pak Yong-Ho,,,,,,,,,,,,,,,,,,,,,,Park Young-Ho,,,,,Pak Yong-ho,,,パク・ヨンホ,,,,,,
Q705608,강석주,Kang Sok-ju,강석주,Kang Sok-ju,Kang Sok-ju,male,/m/0dgnw85,1939-08-29,,,,2016-05-20,,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Kang_Sok-ju.jpg,,,,,Kang Sok-ju,Kang Sok-ju,Kang Sok-ju,Kang Sok-ju,,姜錫柱,Kang Sŏk Ju,姜錫柱,Kang Sok-ju,姜錫柱,Kang Sŏk Ju,姜錫柱,姜锡柱,姜錫柱,姜錫柱,,,Kang Sok-ju,Kang Sok-ju,,,,,,,,,,,,,,,,,,,,,Kang Sok-ju,,,,,,,,,,,,,Kang Szokcsu,Kang Szokcsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kang Sok-ju,,,,,,,,,
Q3612084,,Kim Wan-su,,Kim Wan-su,Kim Wan-su,male,,1939-05,,,,,,,,,,,,,Kim Wan-su,Kim Wan-su,,,金完洙,Kim Wan Su,,,,Kim Wan Su,金完洙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Wan-su,,,,,,,,,
Q4750149,안명옥,An Myong-ok,안명옥 (조선민주주의인민공화국),An Myong-ok,An Myong-ok,male,,,,,,,,,,,,,,An Myong-ok,An Myong-ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An Myong-ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An Myong-ok,,,,,,,,,
