id,name,party,faction,source,image,term
achatwani,El Arbi Chatwani,Authenticity and Modernity Party,Group authenticity and modernity,http://www.chambredesrepresentants.ma/en/m/achatwani,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/user_pictures/default.jpg?itok=o-WsiTiU,9
helbahja,Hamid EL BAHJA,National Rally of Independents,Group of the National Rally of Independents,http://www.chambredesrepresentants.ma/en/m/helbahja,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_269.jpg?itok=C0MDAgyy,9
mchrourou,Mohammed CHROUROU,Authenticity and Modernity Party,Group authenticity and modernity,http://www.chambredesrepresentants.ma/en/m/mchrourou,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_143.jpg?itok=sQ_JraWZ,9
mkarime,Mohammed KARIME,Independence Party,Group istiqlali of unity and egalitarianism,http://www.chambredesrepresentants.ma/en/m/mkarime,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_238.jpg?itok=xQUGQEpB,9
mtouimi-benjelloun,Mohammed TOUIMI BEN JELLOUN,National Rally of Independents,Group of the National Rally of Independents,http://www.chambredesrepresentants.ma/en/m/mtouimi-benjelloun,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_124.jpg?itok=Sp0GIV4Y,9
nel-baydi,Nourdine EL BAYDI,Authenticity and Modernity Party,Group authenticity and modernity,http://www.chambredesrepresentants.ma/en/m/nel-baydi,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/user_pictures/default.jpg?itok=o-WsiTiU,9
schbaattou,Said CHBAATTOU,Socialist Union of Popular Forces,Group of the Socialist Union of Popular Forces,http://www.chambredesrepresentants.ma/en/m/schbaattou,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_401.jpg?itok=ED0ZSZdR,9
tkabbage,Tarik KABBAGE,Socialist Union of Popular Forces,Group of the Socialist Union of Popular Forces,http://www.chambredesrepresentants.ma/en/m/tkabbage,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_257.jpg?itok=Go55SoAy,9
zkayouh,Zineb KAYOUH,Independence Party,Group istiqlali of unity and egalitarianism,http://www.chambredesrepresentants.ma/en/m/zkayouh,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_24.jpg?itok=OjxIB265,9
zhouass,Zinelabidine HOUASS,Authenticity and Modernity Party,Group authenticity and modernity,http://www.chambredesrepresentants.ma/en/m/zhouass,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_167.jpg?itok=eQXMc641,9
