id,honorific_prefix,name,gender,role,party_id,party,area_id,area,term,image,source
ronald-bulkan,Mr.,Ronald A. Bulkan,male,Minister of Communities,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/156/ronald_bulkan.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ronald-bulkan/
sydney-c-allicock,Mr.,Sydney C. Allicock,male,Minister of Indigenous Peoples Affairs,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/158/syndney.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/sydney-c-allicock/
kathy-hughes,Mrs.,Catherine Hughes,female,Minster of Tourism,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/215/cathy.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/kathy-hughes/
mrs-volda-lawrence,Mrs.,Volda Lawrence,female,Minister of Social Protection,APNU-AFC,A Party For National Unity + Alliance For Change,4,Demerara/Mahaica,11,http://parliament.gov.gy/images/member_photos/99/volda.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mrs-volda-lawrence/
ms-amna-ally,Ms,Amna Ally,female,Minister of Social Cohesion and Government Chief Whip,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/124/amna_ally.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms-amna-ally/
winston-felix,Mr.,Winston Felix,male,Public Security and Human Safety,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/160/felix.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/winston-felix/
keith-scott,Mr.,Keith Scott,male,"",APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/143/keith.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/keith-scott/
mrs-dawn-hastings-williams,Mrs.,Dawn Hastings-Williams,female,"",APNU-AFC,A Party For National Unity + Alliance For Change,7,Cuyuni/Mazaruni,11,http://parliament.gov.gy/images/member_photos/100/dawn.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mrs-dawn-hastings-williams/
annette-ferguson,Ms.,Annette Ferguson,female,Minister within the Ministry of Public Infrastructure,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/125/annette.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/annette-ferguson/
valerie-garrido-lowe,Mrs.,Valerie Garrido-Lowe,female,Minister within the Ministry of Indigenous Peoples’ Affairs,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/123/valerie.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/valerie-garrido-lowe/
dr-karen-cummings,Dr,Karen Cummings,,Minister within the Ministry of Public Health,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/212/karen-2.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/dr-karen-cummings/
hon-mr-dominic-gaskin,Mr.,Dominic Gaskin,male,Minister of Business,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/3878/dominic-2.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/hon-mr-dominic-gaskin/
hon-mr-winston-dacosta-jordan,Mr.,Winston DaCosta Jordan,male,Minister of Finance,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/3881/jordan.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/hon-mr-winston-dacosta-jordan/
hon-nicolette-o-henry-mp,"",Nicolette O. Henry,,Minister within the Ministry of Education,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/3889/nicolette.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/hon-nicolette-o-henry-mp/
mr-audwin-rutherford-mp,Mr,Audwin Rutherford,male,"",APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/3896/audwyn.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-audwin-rutherford-mp/
mr-charrandaspersaud,Mr,Charrandas Persaud,male,"",unkown,Unknown,6,East Berbice/Corentyne,11,http://parliament.gov.gy/images/member_photos/3894/chandradas.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-charrandaspersaud/
hon-simona-broomes-mp,"",Simona Broomes,,Minister within the Ministry of Social Protection,unkown,Unknown,"","",11,http://parliament.gov.gy/images/member_photos/3888/simona.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/hon-simona-broomes-mp/
mr-jermaine-figueira-mp,Mr,Jermaine Figueira,male,"",APNU-AFC,A Party For National Unity + Alliance For Change,10,Upper Demerara/Upper Berbice,11,http://parliament.gov.gy/images/member_photos/3892/jermain.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-jermaine-figueira-mp/
raphael-gctrotman,Mr,Raphael G.C.Trotman,male,Minister of Governance,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/152/raphael_g.c.trotman.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/raphael-gctrotman/
mr-john-adams,Mr.,John Adams,male,Public Security and Human Safety,APNU-AFC,A Party For National Unity + Alliance For Change,3,Essequibo Islands/West Demerara,11,http://parliament.gov.gy/images/member_photos/105/john.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-john-adams/
ms-jennifer-wade,Ms,Jennifer Wade,female,"",APNU-AFC,A Party For National Unity + Alliance For Change,5,Mahaica/Berbice,11,http://parliament.gov.gy/images/member_photos/101/wade.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms-jennifer-wade/
ms-valarie-patterson,Ms,Valarie Patterson,female,"",unkown,Unknown,10,Upper Demerara/Upper Berbice,11,http://parliament.gov.gy/images/member_photos/3893/valarie.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms-valarie-patterson/
mr-jaipaul-sharma,Mr.,Jaipaul Sharma,male,Minister within the Ministry of Finance,APNU-AFC,A Party For National Unity + Alliance For Change,4,Demerara/Mahaica,11,http://parliament.gov.gy/images/member_photos/103/jaipaul.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-jaipaul-sharma/
ms-rajcoomarie-bancroft,Ms.,Rajcoomarie Bancroft,female,"",APNU-AFC,A Party For National Unity + Alliance For Change,8,Potaro/Siparuni,11,http://parliament.gov.gy/images/member_photos/3890/bancroft.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms-rajcoomarie-bancroft/
bharrat-jagdeo,"",Bharrat Jagdeo,,"",PPP-Civic,People Progressive Party/Civic,"","",11,"http://parliament.gov.gy/images/member_photos/4031/mr._bharrat_jagdeo,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/bharrat-jagdeo/
bishop-juan-a-edghill,Bishop,Juan A. Edghill,,"",PPP-Civic,People Progressive Party/Civic,"","",11,"http://parliament.gov.gy/images/member_photos/127/bishop_juan_a._edghill,_m.s.,_j.p.,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/bishop-juan-a-edghill/
alister-s-charlie,"",Alister S. Charlie,,"",PPP-Civic,People Progressive Party/Civic,9,Upper Takutu/Upper Essequibo,11,http://parliament.gov.gy/images/member_photos/4025/mr._alister_s._charlie_m.p..jpg,http://parliament.gov.gy/about-parliament/parliamentarian/alister-s-charlie/
charles-s-ramson,"",Charles S. Ramson,,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/4032/charles-ramson.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/charles-s-ramson/
collin-d-croal,"",Collin D. Croal,,"",PPP-Civic,People Progressive Party/Civic,1,Barima/Waini,11,"http://parliament.gov.gy/images/member_photos/4022/mr._collin_d._croal,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/collin-d-croal/
bheri-ramsarran,Dr.,Bheri S. Ramsarran,,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/126/bheri.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/bheri-ramsarran/
dr-jennifer-westford,Dr.,Jennifer R.A. Westford,,"",PPP-Civic,People Progressive Party/Civic,7,Cuyuni/Mazaruni,11,http://parliament.gov.gy/images/member_photos/88/dr._jennifer_westford.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/dr-jennifer-westford/
mohamed-irfaan-ali,"",Mohamed I. Alli,,"",PPP-Civic,People Progressive Party/Civic,3,Essequibo Islands/West Demerara,11,"http://parliament.gov.gy/images/member_photos/148/mr._mohamed_irfaan_ali,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/mohamed-irfaan-ali/
pauline-campbell-sukhai,"",Pauline Campbell-Sukhai,,Minister of Amerindian Affairs,PPP-Civic,People Progressive Party/Civic,"","",11,"http://parliament.gov.gy/images/member_photos/151/ms._pauline_campbell-sukhai,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/pauline-campbell-sukhai/
clement-rohee,Mr,Clement J. Rohee,male,Minister of Home Affairs,PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/232/rohee11.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/clement-rohee/
harry-gill,"",Harry Gill,,"",PPP-Civic,People Progressive Party/Civic,"","",11,"http://parliament.gov.gy/images/member_photos/4029/mr._harry_gill,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/harry-gill/
gillian-r-persaud,"",Gillian R. Persaud,,"",PPP-Civic,People Progressive Party/Civic,4,Demerara/Mahaica,11,"http://parliament.gov.gy/images/member_photos/4023/ms._gillian_r._persaud,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/gillian-r-persaud/
mr-komal-chand,Mr.,Komal Chand,male,"",PPP-Civic,People Progressive Party/Civic,3,Essequibo Islands/West Demerara,11,http://parliament.gov.gy/images/member_photos/94/komal_chand.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-komal-chand/
gail-teixeira,Ms,Gail Teixeira,female,"",PPP-Civic,People Progressive Party/Civic,"","",11,"http://parliament.gov.gy/images/member_photos/138/ms._gail_teixeira,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/gail-teixeira/
priya-manickchand,Ms,Priya D. Manickchand,female,"",PPP-Civic,People Progressive Party/Civic,5,Mahaica/Berbice,11,http://parliament.gov.gy/images/member_photos/89/priya_manickchand.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/priya-manickchand/
adrian-v-anamayah,"",Adrian V. Anamayah,,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/4026/adrian.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/adrian-v-anamayah/
mr-cornel-damon,Mr.,Cornel Damon,male,"",PPP-Civic,People Progressive Party/Civic,2,Pomeroon/Supernaam,11,http://parliament.gov.gy/images/member_photos/96/cornel_damon.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-cornel-damon/
odinga-lumumba,Mr.,Odinga Lumumba,male,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/150/odinga_lumumba.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/odinga-lumumba/
ms-africo-selman,Ms,Africo Selman,female,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/102/africo_selman.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms-africo-selman/
sheila-veersammy,"",Sheila Veersammy,,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/images/member_photos/5708/veersammy.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/sheila-veersammy/
