id,name,image,party,party_id,term,email,area,source
Basson-Benedictus-Franciskus,Basson Benedictus  Franciskus,http://www.parliament.na/images/nationalcouncil/f_basson.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=513:basson-benedictus-franciskus&catid=122&Itemid=1378
Mensah-Williams-Margaret-Natalie,Mensah-Williams Margaret Natalie,http://www.parliament.na/images/nationalcouncil/193_magareth_0021.jpg,SWAPO,SWAPO,2,m.nakutwima@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=12:margret-mensah-2nd&catid=122&Itemid=1378
Mujoro-Zedekia,Mujoro Zedekia,http://www.parliament.na/images/nationalcouncil/z_mujoro.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=549:mujoro-zedekia-2nd&catid=122&Itemid=1378
Ya-Kasita-Sheya-Henock,Ya Kasita Sheya Henock,http://www.parliament.na/images/nationalcouncil/h_kasita.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=523:ya-kasita-sheya-henock-2nd&catid=122&Itemid=1378
Mumbuu-Uapundua-Edward,Mumbuu  Uapundua Edward,http://www.parliament.na/images/nationalcouncil/e_mumbuu.jpg,DTA/UDF Coalition,DTA/UDF Coalition,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=508:mumbuu-uapundua-edward&catid=122&Itemid=1378
Mwala-Peter-Mwala,Mwala Peter Mwala,http://www.parliament.na/images/nationalcouncil/p_mwala.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=554:mwala-peter-mwala&catid=122&Itemid=1378
Kankoshi-Henok-Tangeni,Kankoshi Henok Tangeni,http://www.parliament.na/images/nationalcouncil/205_img_0069.jpg,SWAPO,SWAPO,4,h.kankoshi@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=17:henok-kankoshi&catid=108&Itemid=1376
Kapere-Asser-Kuveri,Kapere Asser  Kuveri,http://www.parliament.na/images/Asser.jpg,SWAPO,SWAPO,2,a.kapere@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=571:asser-kapere-2nd&catid=122&Itemid=1378
Kavetu-Lydia-Ngohauvi,Kavetu Lydia Ngohauvi,http://www.parliament.na/images/nationalcouncil/l_kavetu.JPG,DTA,DTA,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=926:kavetu-lydia-ngohauvi&catid=124&Itemid=1377
Gobs-Sebastiaan-Ignatius,!Gobs Sebastiaan Ignatius,http://www.parliament.na/images/nationalcouncil/s_ngobs.jpg,UDF,UDF,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=927:gobs-sebastiaan-ignatius&catid=124&Itemid=1377
Cloete-Samuel-Petrus,Cloete Samuel Petrus,http://www.parliament.na/images/nationalcouncil/s_cloete.jpg,DTA/UDF Coalition,DTA/UDF Coalition,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=585:cloete-samuel-petrus-1st&catid=119&Itemid=1379
Sipapela-Cletius-Sipapela,Sipapela Cletius Sipapela,http://www.parliament.na/images/nationalcouncil/597_sipapela_cletius_sipapela.jpg,SWAPO,SWAPO,4,s.sipapela@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=34:sipapela-cletius-sipapela&catid=108&Itemid=1376
Nicanor-Hilma-Ndinelago,Nicanor Hilma Ndinelago,http://www.parliament.na/images/nationalcouncil/351_img_0059.jpg,SWAPO,SWAPO,3,h.nicanor@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=915:nicanor-hilma-ndinelago-3rd&catid=124&Itemid=1377
Mumbuu-Uapundua-Edward,Mumbuu  Uapundua Edward,http://www.parliament.na/images/nationalcouncil/e_mumbuu.jpg,DTA/UDF Coalition,DTA/UDF Coalition,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=586:mumbuu-uapundua-edward-1st&catid=119&Itemid=1379
Namwandi-Barakias,Namwandi Barakias,http://www.parliament.na/images/nationalcouncil/312_hon._b._namwandi.jpg,SWAPO,SWAPO,3,b.namwandi@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=917:namwandi-barakias-3rd&catid=124&Itemid=1377
Coma-Moses-DECEASED,!Coma Moses  (DECEASED),http://www.parliament.na/images/nationalcouncil/m_coma.JPG,"","",4,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=925:coma-moses-4th&catid=108&Itemid=1376
Shihwameni-Shikongo-Herbert,Shihwameni Shikongo Herbert,http://www.parliament.na/images/nationalcouncil/h_shihwameni.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=525:shihwameni-shikongo-herbert&catid=122&Itemid=1378
Masake-Joseph-Sitali,Masake Joseph Sitali,http://www.parliament.na/images/nationalcouncil/j_masake.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=535:masake-joseph-sitali&catid=122&Itemid=1378
Esegiel-M-Uirab,Esegiel M /Uirab,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=539:esegiel-m-uirab&catid=119&Itemid=1379
Boois-Dawid,Boois Dawid,http://www.parliament.na/images/nationalcouncil/586_dawid_boois.jpg,SWAPO,SWAPO,4,d.boois@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=13:b-david&catid=108&Itemid=1376
Gaobaeb-Hendrik,Gaobaeb Hendrik,http://www.parliament.na/images/nationalcouncil/587_hendrik_goabaeb_(udf).jpg,UDF,UDF,4,h.gaobaeb@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=15:h-gaohen&catid=108&Itemid=1376
Cloete-Samuel-Petrus,Cloete Samuel Petrus,http://www.parliament.na/images/nationalcouncil/s_cloete.jpg,DTA/UDF Coalition,DTA/UDF Coalition,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=562:cloete-samuel-petrus&catid=122&Itemid=1378
Katamelo-Phillipus-Wido,Katamelo 	 Phillipus Wido,http://www.parliament.na/images/nationalcouncil/590_phillipus_wido_katamelo.jpg,SWAPO,SWAPO,4,p.katamelo@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=19:p-katamelo&catid=108&Itemid=1376
Hendjala-Erasmus,Hendjala Erasmus,http://www.parliament.na/images/nationalcouncil/e_hendjala.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=583:hendjala-erasmus-1st&catid=119&Itemid=1379
Mensah-Williams-Margaret-Natalie,Mensah-Williams Margaret Natalie,http://www.parliament.na/images/nationalcouncil/193_magareth_0021.jpg,SWAPO,SWAPO,3,m.nakutwima@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=930:margret-mensah-3rd&catid=124&Itemid=1377
Ya-Ndakolo-Penda,Ya Ndakolo Penda,http://www.parliament.na/images/nationalcouncil/p_ndakolo.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=570:ya-ndakolo-penda&catid=122&Itemid=1378
Mwillima-Leonard-Yamba,Mwillima Leonard Yamba,http://www.parliament.na/images/nationalcouncil/r_mwilima.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=919:mwillima-leonard-yamba&catid=124&Itemid=1377
Ndemula-Hafeni-Ludwigh,Ndemula Hafeni Ludwigh,http://www.parliament.na/images/nationalcouncil/h_ndemula.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=520:ndemula-hafeni-ludwigh-3rd&catid=124&Itemid=1377
Kapirika-Servaius,Kapirika Servaius,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=942:kapirika-servaius&catid=119&Itemid=1379
Kapere-Asser-Kuveri,Kapere Asser  Kuveri,http://www.parliament.na/images/Asser.jpg,SWAPO,SWAPO,3,a.kapere@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=929:asser-kapere-3rd&catid=124&Itemid=1377
Mujoro-Zedekia,Mujoro Zedekia,http://www.parliament.na/images/nationalcouncil/z_mujoro.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=575:mujoro-zedekia-1st&catid=119&Itemid=1379
Nehova-Kandy-Shafodino-Hinananye,"Nehova ""Kandy"" Shafodino Hinananye",http://www.parliament.na/images/nationalassemblymembers/583_kandy_n.jpg,SWAPO,SWAPO,1,k.nehova@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=574:kandy-1st&catid=119&Itemid=1379
Josephine-Hamutwe-Kandjambanga,Josephine Hamutwe Kandjambanga,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=542:josephine-hamutwe-kandjambanga&catid=119&Itemid=1379
Walubita-Mukelabayi,Walubita Mukelabayi,"",DTA,DTA,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=931:walubita-mukelabayi&catid=119&Itemid=1379
Ya-Kasita-Sheya-Henock,Ya Kasita Sheya Henock,http://www.parliament.na/images/nationalcouncil/h_kasita.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=576:ya-kasita-sheya-henock-1st&catid=119&Itemid=1379
Dax-Alfred-Stefanus,Dax Alfred Stefanus,http://www.parliament.na/images/nationalcouncil/a_dax.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=503:dax-alfred-stefanus&catid=122&Itemid=1378
Siwombe-Frieda-Mwadina,Siwombe Frieda Mwadina,http://www.parliament.na/images/nationalcouncil/f_siwombe.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=913:siwombe-frieda-mwadina&catid=124&Itemid=1377
Kaujeua-Issaskar-Kaunako,Kaujeua Issaskar Kaunako,http://www.parliament.na/images/nationalcouncil/issaskar.jpg,SWAPO,SWAPO,4,i.kaujeua@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=20:kaujeua-isakar&catid=108&Itemid=1376
Wilfred-I-Emvula,Wilfred I Emvula,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=537:wilfred-i-emvula&catid=119&Itemid=1379
Huiseb-Johannes-Sitore,|Huiseb Johannes Sitore,"",DTA,DTA,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=938:huiseb-johannes-sitore&catid=119&Itemid=1379
Thighuru-Haushiku-Johannes,Thighuru Haushiku Johannes,http://www.parliament.na/images/nationalcouncil/j_thighuru.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=532:thighuru-haushiku-johannes&catid=122&Itemid=1378
Kerina-Mburumba,Kerina Mburumba,http://www.parliament.na/images/nationalcouncil/m_kerina.jpg,DTA/UDF Coalition,DTA/UDF Coalition,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=547:kerina-mburumba&catid=122&Itemid=1378
Shekutamba-Bernardinus-Petrus,Shekutamba Bernardinus Petrus,http://www.parliament.na/images/nationalcouncil/594_bernardinus_petrus_shekutamba.jpg,SWAPO,SWAPO,4,b.shekutamba@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=30:shekutamba-bernardinus-petrus&catid=108&Itemid=1376
Eiseb-Theofelus,Eiseb Theofelus,http://www.parliament.na/images/nationalcouncil/t_eiseb.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=580:eiseb-theofelus-2nd&catid=122&Itemid=1378
Diergaardt-Theo-Vivian,Diergaardt Theo Vivian,http://www.parliament.na/images/nationalcouncil/197_hon.t._diergaardt.jpg,SWAPO,SWAPO,4,t.diergaardt@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=14:die-theoviv&catid=108&Itemid=1376
Shitaleni-Germina-Ndapua-DECEASED,Shitaleni Germina Ndapua (DECEASED),http://www.parliament.na/images/nationalcouncil/595_germina_ndapua_shitaleni.jpg,SWAPO,SWAPO,4,g.shitaleni@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=32:shitaleni-germina-ndapua&catid=108&Itemid=1376
Hishikushitja-Michael-Ndapamapedu,Hishikushitja Michael Ndapamapedu,http://www.parliament.na/images/nationalcouncil/m_hishikushitya.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=548:hishikushitja-michael-ndapamapedu&catid=122&Itemid=1378
Hakaye-Haikela-Jhonny,Hakaye Haikela Jhonny,http://www.parliament.na/images/nationalcouncil/j_hakaye.JPG,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=582:hakaye-haikela-johnny-3rd&catid=124&Itemid=1377
Kapenambili-Isai-Paulus,Kapenambili Isai Paulus,http://www.parliament.na/images/nationalcouncil/589_isai_paulus_kapenambili.jpg,SWAPO,SWAPO,4,i.kapenambili@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=18:kapenambili-isai&catid=108&Itemid=1376
Kandjii-Ambrosius,Kandjii Ambrosius,http://www.parliament.na/images/nationalcouncil/588_ambrosius_kandjii.jpg,SWAPO,SWAPO,4,a.kandjii@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=16:kandji-ambrosius&catid=108&Itemid=1376
Diergaardt-Theo-Vivian,Diergaardt Theo Vivian,http://www.parliament.na/images/nationalcouncil/197_hon.t._diergaardt.jpg,SWAPO,SWAPO,3,t.diergaardt@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=908:die-theoviv-3rd&catid=124&Itemid=1377
Namwandi-Barakias,Namwandi Barakias,http://www.parliament.na/images/nationalcouncil/312_hon._b._namwandi.jpg,SWAPO,SWAPO,4,b.namwandi@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=26:namwandi-barakias&catid=108&Itemid=1376
Nicanor-Hilma-Ndinelago,Nicanor Hilma Ndinelago,http://www.parliament.na/images/nationalcouncil/351_img_0059.jpg,SWAPO,SWAPO,4,h.nicanor@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=29:nicanor-hilma-ndinelago&catid=108&Itemid=1376
Appollus-Willem-Rudolf,Appollus Willem Rudolf,http://www.parliament.na/images/nationalcouncil/w_appollus.JPG,"","",3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=911:appollus-willem-rudolf&catid=124&Itemid=1377
Tjeundo-Kazeongere-Zeriapi,Tjeundo Kazeongere Zeriapi,http://www.parliament.na/images/nationalcouncil/598_kazeongere_zeriapi_tjeundo_(dta).jpg,DTA,DTA,4,k.tjeundo@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=35:tjeundo-kazeongere-zeriapi&catid=108&Itemid=1376
Ndemula-Hafeni-Ludwigh,Ndemula Hafeni Ludwigh,http://www.parliament.na/images/nationalcouncil/h_ndemula.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=519:ndemula-hafeni-ludwigh-2nd&catid=122&Itemid=1378
Haingura-Ambrosius,Haingura Ambrosius,http://www.parliament.na/images/no_image.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=937:haingura-ambrosius-2nd&catid=122&Itemid=1378
Nehova-Kandy-Shafodino-Hinananye,"Nehova ""Kandy"" Shafodino Hinananye",http://www.parliament.na/images/nationalassemblymembers/583_kandy_n.jpg,SWAPO,SWAPO,2,k.nehova@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=573:kandy-2nd&catid=122&Itemid=1378
Mensah-Williams-Margaret-Natalie,Mensah-Williams Margaret Natalie,http://www.parliament.na/images/nationalcouncil/193_magareth_0021.jpg,SWAPO,SWAPO,4,m.nakutwima@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=572:margret-mensah&catid=108&Itemid=1376
Hakaye-Haikela-Jhonny,Hakaye Haikela Jhonny,http://www.parliament.na/images/nationalcouncil/j_hakaye.JPG,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=581:hakaye-haikela-johnny-1st&catid=119&Itemid=1379
Ndjambula-Phillemon,Ndjambula Phillemon,http://www.parliament.na/images/nationalcouncil/p_ndjambula.JPG,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=928:ndjambula-phillemon-3rd&catid=124&Itemid=1377
Eiseb-Theofelus,Eiseb Theofelus,http://www.parliament.na/images/nationalcouncil/t_eiseb.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=579:eiseb-theofelus-1st&catid=119&Itemid=1379
Kairabeb-Lazarus,Kairabeb Lazarus,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=940:kairabeb-lazarus&catid=119&Itemid=1379
Kabula-Dorothy-Mareka,Kabula Dorothy Mareka,http://www.parliament.na/images/nationalcouncil/d_kabula.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=914:kabula-dorothy-mareka&catid=124&Itemid=1377
Nambili-Ndapewoshali,Nambili Ndapewoshali,http://www.parliament.na/images/nationalcouncil/593_ndapewoshali_nangula_nambili.jpg,SWAPO,SWAPO,4,n.nambili@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=25:nambili-ndapewoshali&catid=108&Itemid=1376
Minnaar-Jakobus,Minnaar Jakobus,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=943:minnaar-jakobus&catid=119&Itemid=1379
Muremi-Nimrod-Mbandu,Muremi Nimrod Mbandu,http://www.parliament.na/images/nationalcouncil/592_nimrod_mbandu_muremi.jpg,SWAPO,SWAPO,4,n.muremi@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=23:muremi-nimrod-mbandu&catid=108&Itemid=1376
Mogotsi-Stefanus-Orateng,Mogotsi Stefanus Orateng,http://www.parliament.na/images/nationalcouncil/s_mogotsi.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=921:mogotsi-stefanus-orateng&catid=124&Itemid=1377
Sizimbo-Francis-Fanie,Sizimbo Francis Fanie,"",DTA,DTA,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=933:sizimbo-francis-fanie&catid=119&Itemid=1379
Sibalatani-Bernard-Songa,Sibalatani Bernard Songa,http://www.parliament.na/images/nationalcouncil/357_img_0037.jpg,SWAPO,SWAPO,3,b.sibalatani@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=918:sibalatani-bernard-songa-3rd&catid=124&Itemid=1377
Nguvauva-Kilus,Nguvauva Kilus,http://www.parliament.na/images/nationalcouncil/kilus_img_0039.jpg,"","",2,k.nguvauva@gmail.com,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=901:nguvauva-kilus-2nd&catid=122&Itemid=1378
Shangheta-Bartholomeus-Tuhafeni,Shangheta Bartholomeus Tuhafeni,http://www.parliament.na/images/nationalcouncil/b_shangheta.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=506:shangheta-bartholomeus-tuhafeni&catid=122&Itemid=1378
Kamanya-E-S-Vilho,Kamanya E.S. Vilho,http://www.parliament.na/images/nationalcouncil/v_kamanya.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=941:kamanya-e-s-vilho&catid=119&Itemid=1379
Karupu-Sebastiaan,Karupu Sebastiaan,http://www.parliament.na/images/no_image.jpg,"","",3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=912:karupu-sebastiaan&catid=124&Itemid=1377
Nhinda-Ruth-Kepawa-DECEASED,Nhinda Ruth Kepawa  (DECEASED),http://www.parliament.na/images/nationalcouncil/348_img_0015.jpg,SWAPO,SWAPO,4,r.nhinda@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=28:nhinda-ruth-kepawa&catid=108&Itemid=1376
