id,name,image,group,term,email,website,phone,facebook,twitter,place_of_birth,source
1128:amin-hernandez-jaime-alejandro,AMIN HERNANDEZ JAIME ALEJANDRO,http://www.secretariasenado.gov.co/images/fotosenadores/amin%20jaime.jpg,PARTIDO CENTRO DEMOCRATICO,2014,leidycasallas_27@hotmail.com,,3823000 EXT 4444-4443,,,Barranquilla - Atlantico,http://www.secretariasenado.gov.co/?Itemid=109&id=1128%3Aamin-hernandez-jaime-alejandro&option=com_content&view=article
1129:andrade-casama-luis-evelis,ANDRADE CASAMA LUIS EVELIS,http://www.secretariasenado.gov.co/images/senadores-2014-18/andrade%20luis.jpg,PARTIDO MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL “MAIS”,2014,utlsenadorleac@gmail.com,http://www.luisevelisandrade.mais.com.co/,3823000 EXT 4347-4349,https://www.facebook.com/Senador-MAIS-Lu%C3%ADs-Evelis-Andrade-Casam%C3%A1-1420160201549334/,Luis_Evelis,Rio Sucio -  Choco,http://www.secretariasenado.gov.co/?Itemid=109&id=1129%3Aandrade-casama-luis-evelis&option=com_content&view=article
112:galan-pachon-juan-manuel,JUAN MANUEL GALÁN PACHÓN,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/galanfoto.png,PARTIDO LIBERAL,2014,juanmanuelgalanp@gmail.com,http://www.galan.com.co,3823000 EXT 5178-5179-5377,https://www.facebook.com/pages/Juan-Manuel-Gal%C3%A1n/103536985835,juanmanuelgalan,Bogotá - Cundinamarca,http://www.secretariasenado.gov.co/?Itemid=109&id=112%3Agalan-pachon-juan-manuel&option=com_content&view=article
1130:prieto-riveros-jorge,PRIETO RIVEROS JORGE,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/JORGE-PRIETO-RIVEROS.png,PARTIDO VERDE,2014,,http://jorgeprietoriveros.com/index.php?art=1,3007364078,https://www.facebook.com/JorgePrietoRiver,Jorge_PrietoR,Yopal - Casanare,http://www.secretariasenado.gov.co/?Itemid=109&id=1130%3Aprieto-riveros-jorge&option=com_content&view=article
1131:araujo-rumie-fernando-nicolas,ARAUJO RUMIE FERNANDO NICOLAS,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/ARAUJO-RUMIE-FERNANDO-NICOLAS.png,PARTIDO CENTRO DEMOCRÁTICO,2014,nicolas.araujo@senado.gov.co;caronader@hotmail.com,http://senadoraraujo.co/,3823000 EXT 3358-3359,https://www.facebook.com/Senador Fernando Nicolás Araujo,FNAraujoR,Cartagena - Bolívar,http://www.secretariasenado.gov.co/?Itemid=109&id=1131%3Aaraujo-rumie-fernando-nicolas&option=com_content&view=article
1135:blel-scaff-nadya-georgette,BLEL SCAFF NADYA GEROGETTE,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/BLEL-SCAFF-NADYA-GEROGETTE.png,PARTIDO CONSERVADOR COLOMBIANO,2014,Senadocartagena2018@hotmail.com,,3823000 EXT 3414-3415,,,Cartagena Bolivar,http://www.secretariasenado.gov.co/?Itemid=109&id=1135%3Ablel-scaff-nadya-georgette&option=com_content&view=article
1136:bustamante-garcia-everth,BUSTAMANTE GARCIA EVERTH,http://www.secretariasenado.gov.co/images/fotosenadores/bustamante.jpg,PARTIDO CENTRO DEMOCRATICO,2014,everth.bustamante@senado.gov.co,,3823000 EXT 3522-3523,,,Zipaquira Cundinamarca,http://www.secretariasenado.gov.co/?Itemid=109&id=1136%3Abustamante-garcia-everth&option=com_content&view=article
1137:cabrales-castillo-daniel-alberto,CABRALES CASTILLO DANIEL ALBERTO,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-55.jpg,,2014,daniel.cabrales@senado.gov.co;ceciliarosania@yahoo.es,,3092-3093,,,,http://www.secretariasenado.gov.co/?Itemid=109&id=1137%3Acabrales-castillo-daniel-alberto&option=com_content&view=article
1138:cabrera-baez-angel-custodio,CABRERA BAEZ ANGEL CUSTODIO,http://www.secretariasenado.gov.co/images/fotosenadores/cabrera%20angel.jpg,PARTIDO DE LA U,2014,custodio56@hotmail.com;madelpica@gmail.com,,3823000 EXT 3671-3672,,,,http://www.secretariasenado.gov.co/?Itemid=109&id=1138%3Acabrera-baez-angel-custodio&option=com_content&view=article
1139:castaneda-serrano-orlando,CASTAÑEDA SERRANO ORLANDO,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/ORLANDO-CASTAEDA.png,PARTIDO CENTRO DEMOCRATICO,2014,orlando.castaneda@senado.gov.co,,3823000 EXT 3237-3238,,,Bogota Cundinamarca,http://www.secretariasenado.gov.co/?Itemid=109&id=1139%3Acastaneda-serrano-orlando&option=com_content&view=article
1140:cepeda-castro-ivan,CEPEDA CASTRO IVAN,http://www.secretariasenado.gov.co/images/fotosenadores/cepeda%20ivan.jpg,,2014,ivanceoedacongresista@gmail.com,http://www.ivancepeda.com,3824416 - 3787,,,,http://www.secretariasenado.gov.co/?Itemid=109&id=1140%3Acepeda-castro-ivan&option=com_content&view=article
1141:chamorro-cruz-jimmy,CHAMORRO CRUZ JIMMY,http://www.secretariasenado.gov.co/images/fotosenadores/chamorro%20jimmy.jpg,PARTIDO DE LA U.,2014,oficinadeprensa@jimmychamorro.com,http://www.jimmychamorro.com,3823000 EXT 3231 - 3228,,,Palmira Valle del Cauca,http://www.secretariasenado.gov.co/?Itemid=109&id=1141%3Achamorro-cruz-jimmy&option=com_content&view=article
1142:char-chaljub-arturo,CHAR CHALJUB ARTURO,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-56.jpg,PARTIDO CAMBIO RADICAL,2014,arturo.char@senado.gov.co,http://www.artrochar.com,3823000 EXT 3473-3474-3173,,,Barranquilla - Atlantico,http://www.secretariasenado.gov.co/?Itemid=109&id=1142%3Achar-chaljub-arturo&option=com_content&view=article
1143:correa-borrero-susana,SUSANA CORREA BORRERO,http://www.secretariasenado.gov.co/images/senadores/SUSANA.jpg,,2014,,,3823000 EXT.3390 - 3391,,,,http://www.secretariasenado.gov.co/?Itemid=109&id=1143%3Acorrea-borrero-susana&option=com_content&view=article
1144:cristo-bustos-andres,ANDRES CRISTO BUSTOS,http://www.secretariasenado.gov.co/images/fotosenadores/Cristo.jpg,PARTIDO LIBERAL,2014,ANDRESCRISTOSENADOR@GMAIL.COM;andrescristosenador@gmail.com,,3823000 EXT 3061 - 3062,,Andres Cristo,Cúcuta - Norte de Santander,http://www.secretariasenado.gov.co/?Itemid=109&id=1144%3Acristo-bustos-andres&option=com_content&view=article
1145:delgado-martinez-javier-mauricio,JAVIER MAURICIO DELGADO MARTINEZ,http://www.secretariasenado.gov.co/images/fotosenadores/Delgado%20javier.jpg,PARTIDO CONSERVADOR,2014,edossonsespedes@yahoo.es,,3823000 EXT 3264-3265-3192,,,Cali - Valle del Cauca,http://www.secretariasenado.gov.co/?Itemid=109&id=1145%3Adelgado-martinez-javier-mauricio&option=com_content&view=article
1148:duque-marquez-ivan-2,IVAN DUQUE MARQUEZ,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-27.jpg,,2014,ivan.duque@senado.gov.co;ndeisyma@gmail.com,http://www.ivanduque.com,3823000 EXT.3272 - 3273,,,,http://www.secretariasenado.gov.co/?Itemid=109&id=1148%3Aduque-marquez-ivan-2&option=com_content&view=article
1149:fernandez-alcocer-mario-alberto,MARIO ALBERTO FERNANDEZ ALCOCER,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-39.jpg,PARTIDO LIBERAL COLOMBIANO,2014,mariofernandez@gmail.com,http://mariofernandezsenador,3823000 EXT 3697-3698,,,Sincelejo sucre,http://www.secretariasenado.gov.co/?Itemid=109&id=1149%3Afernandez-alcocer-mario-alberto&option=com_content&view=article
1150:galan-pachon-carlos-fernando,CARLOS FERNANDO GALÁN PACHÓN,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-07.jpg,PARTIDO CAMBIO RADICAL,2014,carlosfgalanprensa@gmail.com;galan.personal@gmail.com,http://www.carlosgalan.com,3823000 EXT 5300-5306,https://www.facebook.com/carlosfgalan,carlosfgalan - CFGalanprensa,Bogotá - Cundinamarca,http://www.secretariasenado.gov.co/?Itemid=109&id=1150%3Agalan-pachon-carlos-fernando&option=com_content&view=article
1151:garcia-zuccardi-andres-felipe,ANDRES FELIPE GARCIA ZUCCARDI,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-03.jpg,PARTIDO DE LA U,2014,info@andresgarciazuccardi.com,http://www.andresgarciazuccardi.com,3823040,https://www.facebook.com/andres.garciazuccardi,andresgzu,Cartagena - Bolívar,http://www.secretariasenado.gov.co/?Itemid=109&id=1151%3Agarcia-zuccardi-andres-felipe&option=com_content&view=article
1153:gaviria-velez-jose-obdulio,GAVIRIA VELEZ JOSE OBDULIO,http://www.secretariasenado.gov.co/images/fotosenadores/Gaviria%20jose.jpg,PARTIDO CENTRO DEMÓCRATICO,2014,joseobdulio.gaviria@senado.gov.co,http://www.pensamientocolombia.org;http://www.centrodemocrático.com,3823000 EXT 3552-3770,https://www.facebook.com/josiogaviria,JOSEOBDULIO,Medellin Antioquia,http://www.secretariasenado.gov.co/?Itemid=109&id=1153%3Agaviria-velez-jose-obdulio&option=com_content&view=article
1154:gaviria-correa-sofia-alejandra,SOFIA ALEJANDRA GAVIRIA CORREA,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-05.jpg,PARTIDO LIBERAL,2014,sofia.gaviria@senado.gov.co;gaviriacorrea@gmail.com,http://www.sofiagaviriacorrea.com,3823000 EXT 3341-3342,,,Medellin Antioquia,http://www.secretariasenado.gov.co/?Itemid=109&id=1154%3Agaviria-correa-sofia-alejandra&option=com_content&view=article
1155:gnecco-zuleta-jose-alfredo,JOSE ALFREDO GNECCO ZULETA,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/JOSE-ALFREDO-GNECCO-ZULETA.png,PARTIDO DE LA U.,2014,lagnecco17@gmail.com;leylnch@hotmail.com,,3823000 EXT 3395-3184,,,Valledupar Cesar,http://www.secretariasenado.gov.co/?Itemid=109&id=1155%3Agnecco-zuleta-jose-alfredo&option=com_content&view=article
1157:gomez-jimenez-juan-diego,JUAN DIEGO GOMEZ JIMENEZ,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/JUAN-SIEGO-GOMEZ.png,PARTIDO CONSERVADOR,2014,gloriarodriguezcaro@gmail.com;senador@juandiegogomez.co,http://juandiegogomez.co,3823000 EXT 3705-3706,https://www.facebook.com/juandiegogomezj,juandiegogj,Medellin Antioquia,http://www.secretariasenado.gov.co/?Itemid=109&id=1157%3Agomez-jimenez-juan-diego&option=com_content&view=article
1158:guerra-sotto-julio-miguel,JULIO MIGUEL GUERRA SOTTO,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/JULIO-MIGUEL-GUERRA-SOTTO.png,PARTIDO OPCIÓN CIUDADANA,2014,utl.julioguerra@senado.gov.co;julio.guerra@senado.gov.co,,3823000 EXT 3704-3581-3582,,,Sincelejo Sucre,http://www.secretariasenado.gov.co/?Itemid=109&id=1158%3Aguerra-sotto-julio-miguel&option=com_content&view=article
1159:guerra-de-la-espriella-maria-del-rosario,MARIA DEL ROSARIO GUERRA DE LA ESPRIELLA,http://www.secretariasenado.gov.co/images/fotosenadores/guerra%20rosario.jpg,PARTIDO CENTRO DEMÓCRATICO,2014,maria.guerra@senadogov.co,http://www.mariadelrosarioguerra.co,3823000 EXT 5133 - 5174 - 5175,,charoguerra,Sincelejo Sucre,http://www.secretariasenado.gov.co/?Itemid=109&id=1159%3Aguerra-de-la-espriella-maria-del-rosario&option=com_content&view=article
115:garcia-burgos-nora-maria-1,NORA MARÍA GARCÍA BURGOS,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/NORA-MARIA-GARCIA.png,PARTIDO CONSERVADOR,2014,noragarciab@hotmail.com;pamelagarciautl@hotmail.com,http://www.noragarciaburgos.com,3823000 EXT 3317-3565-3566,https://www.facebook.com/noragarciab,noragarciab,Montería - Córdoba,http://www.secretariasenado.gov.co/?Itemid=109&id=115%3Agarcia-burgos-nora-maria-1&option=com_content&view=article
1160:henriquez-pinedo-honorio-miguel,HONORIO MIGUEL HENRIQUEZ PINEDO,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-41.jpg,,2014,henriquezpinedo@gmail.com,,3823000 EXT 3227,,,Santa Marta Cartagena,http://www.secretariasenado.gov.co/?Itemid=109&id=1160%3Ahenriquez-pinedo-honorio-miguel&option=com_content&view=article
1161:holguin-moreno-paola-andrea,HOLGUIN MORENO PAOLA ANDREA,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/HOLGUIN-MORENO-PAOLA-ANDREA.png,PARTIDO CENTRO DEMÓCRATICO,2014,info@paolaholguin.com,http://paolaholguin.com,3823000 EXT 3315-3316,,,Medellin Antioquia,http://www.secretariasenado.gov.co/?Itemid=109&id=1161%3Aholguin-moreno-paola-andrea&option=com_content&view=article
1162:lopez-hernandez-claudia-nayibe,CLAUDIA NAYIBE LOPEZ HERNANDEZ,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria2-04.jpg,PARTIDO ALIANZA VERDE,2014,clopezsenado10@gmail.com;rodrigo.prensacl@gmail.com,http://www.claudia-lopez.com,3823000 EXT.3441-3451,https://www.facebook.com/ClopezAnalista/,CLOPEZanalista,Bogotá Cundinamarca,http://www.secretariasenado.gov.co/?Itemid=109&id=1162%3Alopez-hernandez-claudia-nayibe&option=com_content&view=article
1163:macias-tovar-ernesto,ERNESTO MACIAS TOVAR,http://www.secretariasenado.gov.co/images/fotosenadores/macias%20ernesto.jpg,,2014,ernesto.maciasenado.gov.co-colbiana.42@gmail.com,http://ernesto.maciasenado.gov.co,3823000 EXT.4317-4318,,,,http://www.secretariasenado.gov.co/?Itemid=109&id=1163%3Amacias-tovar-ernesto&option=com_content&view=article
1164:martinez-rosales-rosmery,MARTINEZ ROSALES ROSMERY,http://www.secretariasenado.gov.co/images/senadores/ROSMERY.jpg,PARTIDO CAMBIO RADICAL,2014,maurocomunidad@gmail.com,,3823000 EXT 3699-3677,,,Ibagué Tolima,http://www.secretariasenado.gov.co/?Itemid=109&id=1164%3Amartinez-rosales-rosmery&option=com_content&view=article
1165:mejia-mejia-carlos-felipe,CARLOS FELIPE MEJIA MEJIA,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-23.jpg,PARTIDO CENTRO DEMÓCRATICO,2014,carlosfelipemejia@hotmail.com;glorey2@hotmail.com,,3823000 EXT 3397-4481,,,Manizales Caldas,http://www.secretariasenado.gov.co/?Itemid=109&id=1165%3Amejia-mejia-carlos-felipe&option=com_content&view=article
1166:morales-hoyos-viviane-aleyda,VIVIANE ALEYDA MORALES HOYOS,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/VIVIANE-ALEYDA-MORALES-HOYOS.png,PARTIDO LIBERAL,2014,senado@vivianemorales.com,http://www.vivianemorales.com,3823000 EXT 3674-3673,https://www.facebook.com/groups/200625940794/,manuelgmoraj,Bogota Cundinamarca,http://www.secretariasenado.gov.co/?Itemid=109&id=1166%3Amorales-hoyos-viviane-aleyda&option=com_content&view=article
1167:navarro-wolff-antonio-jose,ANTONIO JOSE NAVARRO WOLFF,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/ANTONIO-JOSE-NAVARRO-WOLFF.png,PARTIDO ALIANZA VERDE,2014,antonio.navarro@senado.gov.co,,3823000 EXT 3694-3695,,,Pasto Nariño,http://www.secretariasenado.gov.co/?Itemid=109&id=1167%3Anavarro-wolff-antonio-jose&option=com_content&view=article
1168:nino-avendano-senen,SEGUNDO SENEN AVENDAÑO NIÑO,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/DNBFxNlq.jpeg,PARTIDO POLO DEMÓCRATICO ALTERNATIVO,2014,paulamorillosenado@gmail.com;senen777@hotmail.com,http://www.senadorsenen.com,3823000 EXT 3204-3205-3206,https://www.facebook.com/senadorsenen,senadorsenen,Tunja Boyaca,http://www.secretariasenado.gov.co/?Itemid=109&id=1168%3Anino-avendano-senen&option=com_content&view=article
1169:osorio-salgado-nidia-marcela,NIDIA MARCELA OSORIO SALGADO,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-51.jpg,PARTIDO CONSERVADOR,2014,johamoneca@hotmail.com;representantenidiamarcela@gmail.com,,3823000 EXT 3188,,,Itagui Antioquia,http://www.secretariasenado.gov.co/?Itemid=109&id=1169%3Aosorio-salgado-nidia-marcela&option=com_content&view=article
116:garcia-romero-teresita,TERESITA GARCÍA ROMERO,http://www.secretariasenado.gov.co/images/banners/teresita.jpg,PARTIDO OPCIÓN CIUDADANA,2014,teresita.garcia.romero@senado.gov.co,http://www.teregarcia.com.co/,3823000 EXT 3355-3356,https://www.facebook.com/teregarsenado/,teregarsenado,Ovejas - Sucre,http://www.secretariasenado.gov.co/?Itemid=109&id=116%3Agarcia-romero-teresita&option=com_content&view=article
1170:ospina-gomez-jorge-ivan,JORGE IVAN OSPINA GOMEZ,http://www.secretariasenado.gov.co/images/fotosenadores/Ospina%20jorge.jpg,PARTIDO ALIANZA VERDE,2014,nhoritamon@hotmail.com,,3823000 EXT.3266-6267,,,Calí Valle del Cauca,http://www.secretariasenado.gov.co/?Itemid=109&id=1170%3Aospina-gomez-jorge-ivan&option=com_content&view=article
1171:pestana-rojas-yamina-del-carmen,YAMINA DEL CARMEN PESTANA ROJAS,http://www.secretariasenado.gov.co/images/senadores/YAMINA.jpg,PARTIDO CONSERVADOR,2014,utlyaminapestana@gmail.com,,3823000 EXT 3208,https://www.facebook.com/senadoyaminapestana/,senadoyaminap,Momil Cordoba,http://www.secretariasenado.gov.co/?Itemid=109&id=1171%3Apestana-rojas-yamina-del-carmen&option=com_content&view=article
1172:pulgar-daza-eduardo-enrique,EDUARDO ENRIQUE PULGAR DAZA,http://www.secretariasenado.gov.co/images/senadores/DAZA.jpg,PARTIDO DE LA U,2014,Claudia.renteria10@gmail.com,,3823000 EXT 3524-3525-35326,,,Momil Cordoba,http://www.secretariasenado.gov.co/?Itemid=109&id=1172%3Apulgar-daza-eduardo-enrique&option=com_content&view=article
1173:ramos-maya-alfredo,ALFREDO RAMOS MAYA,http://www.secretariasenado.gov.co/images/senadores-2014-18/ramos.jpg,PARTIDO CENTRO DEMÓCRATICO,2014,alfredo.ramos@senado.gov.co,,3823000 EXT 3422-4174,,,Medellin Antioquia,http://www.secretariasenado.gov.co/?Itemid=109&id=1173%3Aramos-maya-alfredo&option=com_content&view=article
1174:rangel-suarez-alfredo,ALFREDO RANGEL SUAREZ,http://www.secretariasenado.gov.co/images/senadores/RANGEL.jpg,PARTIDO CENTRO DEMÓCRATICO,2014,alfredo.rangel@senado.gov.co,,3823000 EXT 3596-3597,https://www.facebook.com/senadorrangel,AlRangelS,Tunja Boyaca,http://www.secretariasenado.gov.co/?Itemid=109&id=1174%3Arangel-suarez-alfredo&option=com_content&view=article
1175:serpa-uribe-horacio,HORACIO SERPA URIBE,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-54.jpg,PARTIDO LIBERAL,2014,johana0910@hotmail.com;obohorquez@hotmail.com,,3823000 EXT 5490-5491,,,Velez Santander,http://www.secretariasenado.gov.co/?Itemid=109&id=1175%3Aserpa-uribe-horacio&option=com_content&view=article
1176:tovar-rey-nohora-stella,NOHORA STELLA TOVAR REY,http://www.secretariasenado.gov.co/images/fotosenadores/rey.jpg,PARTIDO CENTRO DEMÓCRATICO,2014,nohora.tovar@senado.gov.co;wjcortes16@hotmail.com,http://www.nohoratovarrey.com,3823000 EXT 3363-3365,,,Villavicencio Meta,http://www.secretariasenado.gov.co/?Itemid=109&id=1176%3Atovar-rey-nohora-stella&option=com_content&view=article
1177:uribe-velez-alvaro,URIBE VELEZ ALVARO,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-18.jpg,PARTIDO CENTRO DEMÓCRATICO,2014,,http://www.alvarouribevelez.com.co,3823000,https://www.facebook.com/AlvaroUribeVel,AlvaroUribeVel,Medellin - Antioquia,http://www.secretariasenado.gov.co/?Itemid=109&id=1177%3Auribe-velez-alvaro&option=com_content&view=article
1178:valencia-laserna-susana,PALOMA SUSANA VALENCIA LASERNA,http://www.secretariasenado.gov.co/images/fotosenadores/laserna%20paloma.jpg,PARTIDO CENTRO DEMÓCRATICO,2014,palomasenadora@gmail.com,http://www.palomavalencia.com,3823000 EXT 3692-3693,,,Popayan Cauca,http://www.secretariasenado.gov.co/?Itemid=109&id=1178%3Avalencia-laserna-susana&option=com_content&view=article
1179:varon-cotrino-german,GERMAN VARON COTRINO,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-10.jpg,PARTIDO CAMBIO RADICAL,2014,germanvaron_1964@hotmail.com,,3823000 EXT 3235-3236,,,Bogotá Cundinamarca,http://www.secretariasenado.gov.co/?Itemid=109&id=1179%3Avaron-cotrino-german&option=com_content&view=article
117:garcia-turbay-lidio-arturo,LIDIO ARTURO GARCÍA TURBAY,,PARTIDO LIBERAL,2014,lidiocamara@hotmail.com,http://www.lidiogarcia.com,3823000 EXT 3034-3035,https://www.facebook.com/lidio.turbay,senador_lidioGT,El Carmen de Bolívar - Bolívar,http://www.secretariasenado.gov.co/?Itemid=109&id=117%3Agarcia-turbay-lidio-arturo&option=com_content&view=article
1180:vega-de-plazas-thania,THANIA VEGA DE PLAZAS,http://www.secretariasenado.gov.co/images/senadores/THANIA.jpg,PARTIDO CENTRO DEMÓCRATICO,2014,thaniavega@thaniavega.co,,3823000 EXT 3057-3058,,,Villavicencio Meta,http://www.secretariasenado.gov.co/?Itemid=109&id=1180%3Avega-de-plazas-thania&option=com_content&view=article
1181:villadiego-villadiego-sandra-elena,SANDRA ELENA VILLADIEGO VILLADIEGO,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-48.jpg,PARTIDO DE LA U,2014,sandra.villadiego@senado.gov.co,,3823000 EXT 3471 - 3449,https://www.facebook.com/Sandra-Villadiego-266999480097239/,svilladiego99,Monteria Cordoba,http://www.secretariasenado.gov.co/?Itemid=109&id=1181%3Avilladiego-villadiego-sandra-elena&option=com_content&view=article
120:gerlein-echeverria-roberto-victor,ROBERTO VÍCTOR GERLEIN ECHEVERRÍA,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/Roberto-Gerlein.png,PARTIDO CONSERVADOR,2014,okevin_luis@hotmail.com;rgerlein_208@hotmail.com,,3823000 EXT 3215-3216,,RobertoGerlein,Barranquilla - Atlántico,http://www.secretariasenado.gov.co/?Itemid=109&id=120%3Agerlein-echeverria-roberto-victor&option=com_content&view=article
122:guerra-de-la-espriella-antonio-del-cristo,ANTONIO DEL CRISTO GUERRA DE LA ESPRIELLA,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-06.jpg,CAMBIO RADICAL,2014,antonio.guerra.delaespriella@senado.gov.co,http://www.antonioguerrasenador.com,3823000 EXT 3338-3339,https://www.facebook.com/antonio.guerradelaespriella?ref=ts,aguerrasenador,Sincelejo - Sucre,http://www.secretariasenado.gov.co/?Itemid=109&id=122%3Aguerra-de-la-espriella-antonio-del-cristo&option=com_content&view=article
