id,name__de,name__fr,name__en,name__nl,name__es,name__ca,name__oc,name__nb,name__da,name__nn,name__sv,name__it,name__rm,name__hu,name,wikipedia__de,wikipedia__en,wikipedia__fr,image,gender,birth_date,given_name,identifier__parlamentDOTch,original_wikiname,identifier__VIAF,identifier__GND,identifier__HDS,name__la,wikipedia__la,name__en_ca,name__en_gb,wikipedia__it,wikipedia__frwikiquote,identifier__LCAuth,name__lmo,wikipedia__lmo,wikipedia__rm,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__gsw,name__pl,name__he,name__yo,name__ms,name__gl,name__et,name__id,name__ja,name__el,name__sh,name__pt,name__eo,name__ru,name__sr_el,name__sr_ec,name__tr,name__ro,name__fi,name__cs,name__ka,name__be,name__sr,name__zh,name__uk,name__is,name__lb,name__sk,name__tl,name__ko,name__sco,name__ar,wikipedia__als,wikipedia__ar,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__sr,wikipedia__sv,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh,identifier__freebase,family_name,name__cy,death_date,identifier__SUDOC,website,identifier__ISNI,identifier__CERL,name__vi,wikipedia__simple,wikipedia__vi,identifier__BNF,identifier__Munzinger,name__de_ch,identifier__NTA,name__af,name__an,name__ast,name__bar,name__br,name__co,name__de_at,name__eu,name__frp,name__fur,name__ga,name__gd,name__hr,name__ia,name__ie,name__io,name__kg,name__li,name__lij,name__mg,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt_br,name__sc,name__scn,name__sl,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__ULAN,wikipedia__cswikiquote,identifier__PACE,name__vmf,wikipedia__plwikiquote,name__kk,name__fa,wikipedia__be,wikipedia__fa,wikipedia__kk,wikipedia__br,linkedin,wikipedia__hr,identifier__FAST,name__bs,name__ceb,name__dsb,name__eml,name__fo,name__frr,name__fy,name__hsb,name__lt,name__lv,name__mt,name__sq,wikipedia__hu,wikipedia__dewikiquote,identifier__IMDB,identifier__rotten_tomatoes,identifier__AlloCine,identifier__kinopoisk,name__bg,wikipedia__bg,wikipedia__eowikiquote,wikipedia__eswikiquote,wikipedia__eu,wikipedia__euwikiquote,wikipedia__scn,identifier__NDL,identifier__BNE,identifier__CANTIC,identifier__ADS,name__hy,wikipedia__hy,wikipedia__ruwikinews,identifier__NUKAT,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,wikipedia__ie,identifier__NKC,identifier__PTBNP,twitter,identifier__MusicBrainz,pseudonym,identifier__SELIBR,identifier__discogs,identifier__filmportal_de,wikipedia__frp,wikipedia__lt,wikipedia__nds,identifier__CTHS,name__nan,wikipedia__zh_min_nan,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,identifier__Britannica,wikipedia__sq,identifier__DBNL,wikipedia__is,identifier__senate_nl,identifier__allmovie,identifier__PORT,identifier__SCOPE,identifier__CSFD,identifier__OLID,identifier__google_knowledge,occupation,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,wikipedia__frwikinews,wikipedia__az,name__az,name__or,identifier__persee,name__jv,wikipedia__jv,wikipedia__sk,identifier__GNC,name__stq,wikipedia__stq,name__kl,name__pfl,wikipedia__enwikisource,wikipedia__species,identifier__snac,name__fit,wikipedia__ruwikisource,identifier__NLAtrove,identifier__treccani,wikipedia__skwikiquote,identifier__NLI,identifier__BAV,identifier__NLP,identifier__GTAA,identifier__AGORHA,identifier__moviemeter,identifier__SFDb,identifier__NSK,wikipedia__azb,name__azb,identifier__BIBSYS,name__kn,identifier__EGAXA,wikipedia__ur,identifier__LNB,name__ltg,wikipedia__ltg,name__ur,wikipedia__pms,identifier__britishmuseum,identifier__halensis,wikipedia__lv,wikipedia__azwikiquote,wikipedia__ptwikiquote,wikipedia__trwikiquote,name__pnb,name__tt,name__be_tarask,name__pa,name__bn,name__tk,wikipedia__be_x_old,wikipedia__bn,wikipedia__bs,wikipedia__io,wikipedia__pa,wikipedia__pnb,wikipedia__sl,wikipedia__sw,wikipedia__tk,wikipedia__tt,identifier__NNDB,identifier__wikitree,identifier__nobel_prize,identifier__ne_se,wikipedia__mg,name__ty,wikipedia__frwikisource,name__ky,wikipedia__cawikiquote,wikipedia__dewikisource,wikipedia__ky,wikipedia__ruwikiquote,identifier__NLA,identifier__nlg,identifier__CONOR,identifier__zbMATH,wikipedia__lb,identifier__BVMC,wikipedia__itwikisource,identifier__SBN_it,identifier__MGP,identifier__N6I,wikipedia__fiwikisource,identifier__leonore,name__pdc,name__war,name__ang,name__ht,name__ksh,name__mwl,name__pi,name__szl,name__zea,wikipedia__af,wikipedia__fawikiquote,name__uz,wikipedia__uz,name__lfn,identifier__CiNii,identifier__national_archives,identifier__goodreads,identifier__ioc_athlete,name__sdc,name__mi,identifier__bigenc_ru,email,name__aa,name__ace,name__aeb_latn,name__ak,name__ay,name__bbc_latn,name__bcl,name__bi,name__bjn,name__bug,name__cbk_zam,name__cdo,name__ch,name__cho,name__chy,name__cr,name__crh_latn,name__csb,name__diq,name__ext,name__ff,name__fj,name__gag,name__gn,name__gom_latn,name__gor,name__gv,name__haw,name__hif,name__hif_latn,name__ho,name__hrx,name__hz,name__ig,name__ik,name__ike_latn,name__ilo,name__jbo,name__kaa,name__ki,name__kj,name__kr,name__kw,name__lad,name__lg,name__liv,name__ln,name__map_bms,name__mh,name__mus,name__myv,name__na,name__nah,name__ng,name__nov,name__nso,name__nv,name__ny,name__olo,name__om,name__pag,name__pam,name__pih,name__qu,name__rmy,name__rn,name__roa_tara,name__ruq_latn,name__rw,name__se,name__sg,name__shi_latn,name__sm,name__sma,name__smj,name__sn,name__so,name__srn,name__ss,name__st,name__su,name__tet,name__tg_latn,name__tn,name__to,name__tpi,name__ts,name__tt_latn,name__tum,name__tw,name__ug_latn,name__ve,name__vep,name__vot,name__vro,name__xh,name__za,name__aln,name__arn,name__brh,name__chr,name__dtp,name__ee,name__got,name__ha,name__hak,name__iu,name__krj,name__loz,name__lus,name__lzz,name__pdt,name__qug,name__rif,name__rup,name__sat,name__sei,name__sgs,name__sli,name__tru,wikipedia__ast,wikipedia__wuu,name__wuu,identifier__ORCID,wikipedia__dewikinews,name__te,wikipedia__diq,wikipedia__itwikiquote
Q121812,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,,Ulrich Dürrenmatt,https://upload.wikimedia.org/wikipedia/commons/7/7a/UlrichDuerrenmatt.jpg,male,1849-04-20,Ulrich,1952,,42300210,105369934,,,,Ulrich Dürrenmatt,Ulrich Dürrenmatt,,,,,,,,,,,,,Ulrich Dürrenmatt,Ulrich Dürrenmatt,,,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,,,,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ульрих Дюрренматт,Ulrich Dürrenmatt,,,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,,,,,,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,,,Ulrich Dürrenmatt,أولريش دورينمات,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dürrenmatt,Ulrich Dürrenmatt,1908-07-27,,,0000 0000 0347 0922,,Ulrich Dürrenmatt,,,,,Ulrich Dürrenmatt,110168674,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,Ulrich Dürrenmatt,,,,,,,,,,,,,,,,,,,,,,,,,,Ulrich Dürrenmatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q121818,Georges Python,Georges Python,Georges Python,Georges Python,Georges Python,Georges Python,,Georges Python,Georges Python,Georges Python,Georges Python,Georges Python,Georges Python,Georges Python,Georges Python,Georges Python,,Georges Python,,male,1856-09-10,Georges,2969,,231898960,1020216883,,,,,,,,nr92032433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927-01-10,,,0000 0003 6763 1125,,,,,,,,12046859X,,,Georges Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georges Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georges Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q121853,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,Pirmin Bischof,,Pirmin Bischof,https://upload.wikimedia.org/wikipedia/commons/f/fa/Pirmin_Bischof_(2015).jpg,male,1959-02-24,Pirmin,3871,,17913277,171490878,,,,,,,,n95079346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Pirmin Bischof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bischof,,,,http://pirmin-bischof.ch,0000 0000 3048 166X,,,,,,,,148049141,,,Pirmin Bischof,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pirmin Bischof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pirmin Bischof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q121855,Herbert Maeder,Herbert Mäder,Herbert Maeder,Herbert Mäder,Herbert Maeder,Herbert Mäder,,Herbert Mäder,Herbert Mäder,Herbert Mäder,Herbert Mäder,Herbert Maeder,Herbert Maeder,Herbert Maeder,Herbert Maeder,Herbert Maeder,,Herbert Mäder,,male,1930-02-03,Herbert,137,,74657271,119175908,,,,,,,,n50037468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maeder,,2017-01-23,,,0000 0003 5503 506X,,,,,,,,072600705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbert Maeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbert Maeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q121886,Jean-Pierre Graber,Jean-Pierre Graber,Jean-Pierre Graber,Jean-Pierre Graber,Jean-Pierre Graber,Jean-Pierre Graber,,Jean-Pierre Graber,Jean-Pierre Graber,Jean-Pierre Graber,Jean-Pierre Graber,Jean-Pierre Graber,Jean-Pierre Graber,,Jean-Pierre Graber,Jean-Pierre Graber,,Jean-Pierre Graber,https://upload.wikimedia.org/wikipedia/commons/d/db/Jean-Pierre_Graber.jpg,male,1946-07-08,Jean-Pierre,3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graber,,,,,,,,,,,,,,,,Jean-Pierre Graber,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Pierre Graber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Pierre Graber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q121896,Alec von Graffenried,Alec von Graffenried,Alec von Graffenried,Alec von Graffenried,Alec von Graffenried,,,,Alec von Graffenried,,,Alec von Graffenried,Alec von Graffenried,,Alec von Graffenried,Alec von Graffenried,,Alec von Graffenried,https://upload.wikimedia.org/wikipedia/commons/e/e8/Alec_von_graffenried.jpg,male,1962-08-16,Alec,3908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Алек фон Графенрыд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,von Graffenried,,,,http://www.avg.ch,,,,,,,,,,,,Alec von Graffenried,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alec von Graffenried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alec von Graffenried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q121917,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,,,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,Antoine Vessaz,,male,1833-06-20,Antoine,3479,,309648386,1054264341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/0_gx388,,,1911-10-25,,,,,,,,,,,,,,Antoine Vessaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antoine Vessaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antoine Vessaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q122063,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,https://upload.wikimedia.org/wikipedia/commons/6/63/Elisabeth_Kopp.gif,female,1936-12-16,Elisabeth,645,,35255446,118927108,,Elisabetha Kopp,Elisabetha Kopp,,,Elisabeth Kopp,,n88076200,,,Elisabeth Kopp,伊丽莎白·寇波,伊麗莎白·寇波,,伊丽莎白·寇波,,,Elisabeth Kopp,Elisabeth Kopp,,,,,Elisabeth Kopp,,エリザベート・コップ,,,Elisabeth Kopp,Elisabeth Kopp,"Копп, Элизабет",,,Elisabeth Kopp,,Elisabeth Kopp,Elisabeth Kopp,,,,,,Elisabeth Kopp,Elisabeth Kopp,Elisabeth Kopp,,,,,Elisabeth Kopp,,,Elisabeth Kopp,,,,Elisabeth Kopp,Elisabeth Kopp,,Elisabeth Kopp,,,,,,,,Elisabeth Kopp,,,,Elisabeth Kopp,Elisabeth Kopp,,"Копп, Элизабет",,,,Elisabeth Kopp,,Elisabeth Kopp,,,,/m/01jzzz,Kopp,,,,,0000 0001 4040 4980,,,,,,,,18968206X,,,Elisabeth Kopp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elisabeth Kopp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elisabeth Kopp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elisabeth Kopp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q122084,Duri Bezzola,Duri Bezzola,Duri Bezzola,Duri Bezzola,Duri Bezzola,Duri Bezzola,,Duri Bezzola,Duri Bezzola,Duri Bezzola,Duri Bezzola,Duri Bezzola,Duri Bezzola,,Duri Bezzola,"Duri Bezzola (Politiker, 1942)",,,https://upload.wikimedia.org/wikipedia/commons/a/a3/Duri_Bezzola.jpg,male,1942-06-23,Duri,14,,,,,,,,,,,,,,Duri Bezzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duri Bezzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duri Bezzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duri Bezzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q122099,Silva Semadeni,Silva Semadeni,Silva Semadeni,Silva Semadeni,Silva Semadeni,Silva Semadeni,,Silva Semadeni,Silva Semadeni,Silva Semadeni,Silva Semadeni,Silva Semadeni,Silva Semadeni,,Silva Semadeni,Silva Semadeni,,Silva Semadeni,https://upload.wikimedia.org/wikipedia/commons/1/18/Silva_Semadeni.jpg,female,1952-02-08,Silva,354,,12062581,,,Silva Semadeni,Silva Semadeni,,,Silva Semadeni,,no2006069235,Silva Semadeni,Silva Semadeni,Silva Semadeni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semadeni,,,,,0000 0000 4277 0549,,,,,,,,,,,Silva Semadeni,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silva Semadeni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silva Semadeni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1223182,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,Diethelm Burkhard,,,,male,1869-07-14,Diethelm,1715,,308727441,1051582962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926-09-02,,,,,,,,,,,,,,Diethelm Burkhard,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diethelm Burkhard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diethelm Burkhard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q122409,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,Bruno Hunziker,,,male,1930-02-10,Bruno,783,,315525758,170276872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,برونو هونزيكر,,برونو هونزيكر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/04lh8ly,Hunziker,,2000-03-27,,,,,,,,,,,,,,Bruno Hunziker,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruno Hunziker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruno Hunziker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q122825,Guido Müller,Guido Müller,Guido Müller,Guido Mu?ller,Guido Mu?ller,Guido Müller,,Guido Müller,Guido Müller,Guido Müller,Guido Müller,Guido Müller,Guido Müller,Guido Mu?ller,Guido Müller,"Guido Müller (Politiker, 1875)",,Guido Müller,,male,1875-12-03,Guido,2786,,309587034,1052428916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Гвидо Мюллер,,,,,,,,,,,,,,,,,,قايدو مولر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Müller,,1963-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guido Müller,,,,,,,,Guido Müller,,,,,,,,,,,Guido Müller,,,,,,,,,,,,,,,,,,,,,,Guido Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
