id,name__fr,name__fi,name__sv,name__en,name__nl,name__de,name,wikipedia__fi,wikipedia__fr,wikipedia__sv,gender,birth_date,given_name,identifier__VIAF,name__es,name__da,name__fo,name__is,name__kl,name__nb,name__nn,wikipedia__en,identifier__freebase,name__ru,name__el,name__en_ca,name__en_gb,name__ja,wikipedia__el,wikipedia__ja,wikipedia__ru,image,wikipedia__no,name__tr,name__nds,name__vmf,wikipedia__tr,wikipedia__de,identifier__BNF,original_wikiname,identifier__eduskunta,wikipedia__es,name__hu,wikipedia__hu,wikipedia__nl,name__ca,wikipedia__ca,death_date,identifier__FAST,name__it,name__cy,identifier__kansallisbiografia,name__et,wikipedia__et,last_seen,twitter,wikipedia__it,name__zh,wikipedia__zh,occupation,family_name,identifier__LCAuth,website
Q16990321,Jan Salmén,Jan Salmén,,Jan Salmén,Jan Salmén,,Jan Salmén,Jan Salmén,,,male,1952-03-29,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Salmén,,,,,,,,,,,,,,,,,,,,politician,,,
Q18633660,Torsten Rothberg,Torsten Rothberg,,Torsten Rothberg,Torsten Rothberg,,Torsten Rothberg,Torsten Rothberg,,,male,,Torsten,,,,,,,,,,,,,,,,,,,,,,,,,,,Torsten Rothberg,911383,,,,,,,,,,,,,,,,,,,politician,Rothberg,,
Q19827925,,Mats Löfström,Mats Löfström,Mats Löfström,Mats Löfström,,Mats Löfström,Mats Löfström,,Mats Löfström,male,1983-10-27,Mats,,,,,,,,,Mats Löfström,,,,,,,,,,,,,,,,,,Mats Löfström,1345,,,,,,,,,,,,,,,,,,,politician,Löfström,,
Q2114213,Tony Asumaa,Tony Asumaa,Tony Asumaa,Tony Asumaa,Tony Asumaa,Tony Asumaa,Tony Asumaa,Tony Asumaa,Tony Asumaa,Tony Asumaa,male,1968-09-15,Tony,,,Tony Asumaa,,,,Tony Asumaa,Tony Asumaa,Tony Asumaa,/m/0n517cc,,,Tony Asumaa,Tony Asumaa,,,,,,,,,,,,,Tony Asumaa,,,Tony Asumaa,Tony Asumaa,Tony Asumaa,,,,,,,,,,,,,東尼·阿蘇馬,,politician,,,
Q2160284,Runar Karlsson,Runar Karlsson,Runar Karlsson,Runar Karlsson,Runar Karlsson,Runar Karlsson,Runar Karlsson,Runar Karlsson,Runar Karlsson,Runar Karlsson,male,1953-06-03,Runar,,Runar Karlsson,,,,,,,Runar Karlsson,/m/036ncm,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/Runar_Karlsson_talar_vid_Nordiska_Radets_session_i_Helsingfors_2008-10-27.jpg,,,,,,,,Runar Karlsson,,,Runar Karlsson,,,,,,,,,,,,,,,,,politician,Karlsson,,
Q2160390,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,female,1963-04-19,Britt,,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,Britt Lundberg,/m/050yfq,,,,,,,,,,,,,,,,,Britt Lundberg,,,Britt Lundberg,,,,,,,,,,,,,,,,,politician,Lundberg,,
Q2160399,Anders Englund,Anders Englund,Anders Englund,Anders Englund,Anders Englund,Anders Englund,Anders Englund,Anders Englund,Anders Englund,Anders Englund,male,1957-01-10,Anders,,,,,,,,,,,,,,,,,,,,,,,,,,,Anders Englund,,,,,,,,,,,,,,,,,,,,politician,Englund,,
Q2160406,Roger Slotte,Roger Slotte,,Roger Slotte,Roger Slotte,,Roger Slotte,Roger Slotte,Roger Slotte,,male,1944-02-01,Roger,,,,,,,,,,,,,,,,,,,,,,,,,,,Roger Slotte,,,,,,,,,,,,,,,,,,,,politician,,,
Q2160411,Torbjörn Eliasson,Torbjörn Eliasson,Torbjörn Eliasson,Torbjörn Eliasson,Torbjörn Eliasson,,Torbjörn Eliasson,Torbjörn Eliasson,Torbjörn Eliasson,Torbjörn Eliasson,male,1947-01-18,Torbjörn,,,,,,,,,,,,,,,,,,,,,,,,,,,Torbjörn Eliasson,,,,,,,,,,,,,,,,,,,,politician,Eliasson,,
Q2160820,Harry Jansson,Harry Jansson,Harry Jansson,Harry Jansson,Harry Jansson,,Harry Jansson,Harry Jansson,Harry Jansson,Harry Jansson,male,1959-10-04,Harry,,,,,,,,,,,,,,,ハリー・ヤンソン,,ハリー・ヤンソン,,https://upload.wikimedia.org/wikipedia/commons/1/1e/Harry_Jansson_BSPC_19_Mariehamn_aland.jpg,,,,,,,,Harry Jansson,,,,,,,,,,,,,,,,,,,,politician,,,
Q2269243,Katrin Sjögren,Katrin Sjögren,Katrin Sjögren,Katrin Sjögren,Katrin Sjögren,,Katrin Sjögren,,Katrin Sjögren,Katrin Sjögren,female,1966-02-02,Katrin,,,,,,,,,,,"Шёгрен, Катрин",Κατρίν Σιόγκρεν,,,カトリン・シェーグレン,Κατρίν Σιόγκρεν,カトリン・シェーグレン,"Шёгрен, Катрин",https://upload.wikimedia.org/wikipedia/commons/2/21/Katrin_Sjogren_vid_Nordiska_Radets_session_pa_Island_2010-11-04.jpg,,,,,,,,Katrin Sjögren,,,,,,,,,,,,,,,,ksjgren,,凱撒琳·舍格倫,凱撒琳·舍格倫,politician,,,
Q2269253,Mats Perämaa,Mats Perämaa,Mats Perämaa,Mats Perämaa,Mats Perämaa,,Mats Perämaa,,Mats Perämaa,Mats Perämaa,male,1964-10-12,Mats,,,,,,,,,,,,,,,,,,,,,,,,,,,Mats Perämaa,,,,,,,,,,,,,,,,,,,,politician,,,
Q2269648,Torsten Sundblom,Torsten Sundblom,Torsten Sundblom,Torsten Sundblom,Torsten Sundblom,,Torsten Sundblom,Torsten Sundblom,Torsten Sundblom,Torsten Sundblom,male,1951-09-15,Torsten,,,,,,,,,,,,,,,,,,,,,,,,,,,Torsten Sundblom,,,,,,,,,,,,,,,,,,,,politician,,,
Q2269658,Danne Sundman,Danne Sundman,Dan-Anders Sundman,Danne Sundman,Danne Sundman,Danne Sundman,Danne Sundman,Danne Sundman,Danne Sundman,Dan-Anders Sundman,male,1973-12-06,,,Danne Sundman,,,,,,,Danne Sundman,/m/036ndb,,,,,,,,,,,,,,,,,Danne Sundman,,,Danne Sundman,,,,,,,Danne Sundman,,,,,,,,,,politician,,,
Q2269671,Gun-Mari Lindholm,Gun-Mari Lindholm,Gun-Mari Lindholm,Gun-Mari Lindholm,Gun-Mari Lindholm,,Gun-Mari Lindholm,Gun-Mari Lindholm,Gun-Mari Lindholm,Gun-Mari Lindholm,female,1962-03-29,,,Gun-Mari Lindholm,,,,,,,Gun-Mari Lindholm,/m/02mgtr,,,,,ガン＝マリ・リンドホルム,,ガン＝マリ・リンドホルム,,"https://upload.wikimedia.org/wikipedia/commons/0/01/Jan-Erik_Enestam,_Finlands_miljo-_och_samarbetsminister,_pa_vag_in_till_mote.jpg",,,,,,,,Gun-Mari Lindholm,,,Gun-Mari Lindholm,,,,,,,,,,,,,,,,,politician,Lindholm,,
Q2270143,Barbro Sundback,Barbro Sundback,Barbro Sundback,Barbro Sundback,Barbro Sundback,,Barbro Sundback,Barbro Sundback,Barbro Sundback,Barbro Sundback,female,1945-12-22,Barbro,287123537,,,,,,,,,,,,,,,,,,,,,,,,,,Barbro Sundback,,,,,,,,,,,,,,,,,,,,politician,,,
Q2270153,Gunnar Jansson,Gunnar Jansson,Gunnar Jansson,Gunnar Jansson,Gunnar Jansson,,Gunnar Jansson,Gunnar Jansson,Gunnar Jansson (homme politique),Gunnar Jansson,male,1944-06-25,Gunnar,162787971,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Gunnarjansson.jpg,,,,,,,16650720m,Gunnar Jansson,148,,,,,,,,,,,,,,,,,,,politician,Jansson,,
Q2270164,Camilla Gunell,Camilla Gunell,Camilla Gunell,Camilla Gunell,Camilla Gunell,Camilla Gunell,Camilla Gunell,Camilla Gunell,Camilla Gunell,Camilla Gunell,female,1970-09-07,Camilla,,Camilla Gunell,,,,,,,Camilla Gunell,/m/050yj4,"Гунелл, Камилла",Καμίλα Γκούνελ,Camilla Gunell,Camilla Gunell,カミラ・グネル,Καμίλα Γκούνελ,カミラ・グネル,"Гунелл, Камилла",https://upload.wikimedia.org/wikipedia/commons/3/35/Nordiska_radets_session_i_Helsingfors_(7).jpg,,,,,,,,Camilla Gunell,,,Camilla Gunell,,,,,,,,,,,,,,,卡米拉·古內爾,,politician,,,
Q2356023,Lasse Wiklöf,Lasse Wiklöf,Lars Wiklöf,Lasse Wiklöf,Lasse Wiklöf,Lasse Wiklöf,Lasse Wiklöf,Lasse Wiklöf,Lasse Wiklöf,Lars Wiklöf,male,1944-09-21,Lars,,Lasse Wiklöf,Lasse Wiklöf,,,,Lasse Wiklöf,Lasse Wiklöf,Lasse Wiklöf,/m/050ygr,Ларс Виклёф,,,,,,,"Виклёф, Ларс",https://upload.wikimedia.org/wikipedia/commons/a/a1/Lasse_Wiklöf.jpg,,,,,,,,Lasse Wiklöf,,,Lasse Wiklöf,,,,,2008-08-23,,,Lasse Wiklöf,,,,,,,,,politician,,,
Q2356536,Roger Jansson,Roger Jansson,Roger Jansson,Roger Jansson,Roger Jansson,Roger Jansson,Roger Jansson,Roger Jansson,,Roger Jansson,male,1943-08-09,Roger,,Roger Jansson,,,,,,,Roger Jansson,/m/034bw6,"Янссон, Рогер",,,,ロジャー・ヤンソン,,ロジャー・ヤンソン,"Янссон, Рогер",https://upload.wikimedia.org/wikipedia/commons/4/4f/Roger_Jansson.jpg,,,,,,,,Roger Jansson,780,,Roger Jansson,,,,,,,,,,,,,,,,,politician,Jansson,,http://www.lagtinget.aland.fi/ledamot_az.con?iPerson=69&m=38&iPage=104
Q2378990,Johan Ehn,Johan Ehn,Johan Ehn,Johan Ehn,Johan Ehn,Johan Ehn,Johan Ehn,Johan Ehn,Johan Ehn,Johan Ehn,male,1975-07-02,Johan,,Johan Ehn,Johan Ehn,,,,,,Johan Ehn,/m/0wy1x7l,,,,,ヨハン・エン,,ヨハン・エン,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Johan_Ehn_talar_vid_Nordiska_Radets_session_i_Helsingfors_2008-10-27.jpg,,,,,,,,Johan Ehn,,,Johan Ehn,,,,,,,,,,,,,ehnjohan,,,,politician,,,
Q23917572,,Nina Fellman,Nina Fellman,Nina Fellman,Nina Fellman,,Nina Fellman,Nina Fellman,,Nina Fellman,female,1964-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nina Fellman,,,,,,,,,,,,,,,,,,,,journalist,,,
Q2619665,Carl Björkman,Carl Björkman,Carl Björkman,Carl Björkman,Carl Björkman,Carl Björkman,Carl Björkman,Carl Björkman (poliitikko),,Carl Björkman (politiker),male,1873-02-15,Carl,74651609,Carl Björkman,Carl Björkman,,,,Carl Björkman,Carl Björkman,Carl Björkman (politician),/m/0c547s,Карл Бьёркман,,,,カール・ビョルクマン,,カール・ビョルクマン,"Бьёркман, Карл",https://upload.wikimedia.org/wikipedia/commons/0/0d/Carl_Björkman_1920_Mariehamn.jpg,,,,,,,,Carl Björkman (poliitikko),,,Carl Björkman,,,Carl Björkman,Carl Björkman,1948-09-05,325458,,,,,,,,,,,politician,,no93021609,
Q28354688,Gunnar Häggblom,Gunnar Häggblom,,Gunnar Häggblom,Gunnar Häggblom,Gunnar Häggblom,Gunnar Häggblom,Gunnar Häggblom,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunnar Häggblom,910038,,,,,,,2010-04-18,,,,,,,,,,,,politician,,,
Q28356872,,Alarik Häggblom,,Alarik Häggblom,,,Alarik Häggblom,Alarik Häggblom,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alarik Häggblom,,,,,,,,1995-05-07,,,,,,,,,,,,,,,
Q28356874,,Herman Mattsson,,Herman Mattsson,,,Herman Mattsson,Herman Mattsson,,,male,1882-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herman Mattsson,911051,,,,,,,1961-07-24,,,,,,,,,,,,politician,,,
Q28356875,Evald Häggblom,Evald Häggblom,,Evald Häggblom,Evald Häggblom,Evald Häggblom,Evald Häggblom,Evald Häggblom,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evald Häggblom,910544,,,,,,,1976-08-29,,,,,,,,,,,,politician,,,
Q28356877,,Arthur Larson,,Arthur Larson,,,Arthur Larson,Arthur Larson,,,male,1897-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthur Larson,910895,,,,,,,1959-10-21,,,,,,,,,,,,politician,,,
Q3371504,Fredrik Karlström,Fredrik Karlström,Fredrik Karlström,Fredrik Karlström,Fredrik Karlström,Fredrik Karlström,Fredrik Karlström,Fredrik Karlström,,Fredrik Karlström,male,1973-05-18,Fredrik,,,,,,,Fredrik Karlström,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/04/Fredrik_Karlström.jpg,Fredrik Karlström,,,,,,,Fredrik Karlström,,,,,,,,,,,,,,,,,,,,politician,Karlström,,
Q3736148,Olof Salmén,Olof Salmén,Olof Salmén,Olof Salmén,Olof Salmén,Olof Salmén,Olof Salmén,Olof Salmén,,Olof Salmén,male,1927,Olof,,Olof Salmén,,,,,Olof Salmén,,Olof Salmén,/m/033y17,,,,,,,,,,,,,,,,,Olof Salmén,,,Olof Salmén,,,,,,,,,,Olof Salmén,Olof Salmén,,,,,,politician,,,
Q3781648,Julius Sundblom,Julius Sundblom,Julius Sundblom,Julius Sundblom,Julius Sundblom,Julius Sundblom,Julius Sundblom,Julius Sundblom,,Julius Sundblom,male,1865-06-22,Julius,67755865,Julius Sundblom,,,,,,,Julius Sundblom,/m/0bs_td,,,,,,,,,,,,,,,,,Julius Sundblom,911551,,Julius Sundblom,,,Julius Sundblom,Julius Sundblom,1945-08-23,50353,,,7423,,,,,,,,politician,,n80018621,
Q4346870,Gun Carlson,Gun Carlson,Gun Carlson,Gun Carlson,Gun Carlson,Gun Carlson,Gun Carlson,Gun Carlson,,Gun Carlson,female,1939-08-17,Gun,,Gun Carlson,,,,,,,Gun Carlson,/m/034bvj,,,Gun Carlson,Gun Carlson,,,,,,,Gun Carlson,Gun Carlson,Gun Carlson,Gun Carlson,,,Gun Carlson,,,Gun Carlson,,,,,,,,,,,,,,,,,politician,,,
Q4350563,Fanny Sundström,Fanny Sundström,Fanny Sundström,Fanny Sundström,Fanny Sundström,Fanny Sundström,Fanny Sundström,Fanny Sundström,,Fanny Sundström,female,1883,Fanny,,Fanny Sundström,,,,,,,Fanny Sundström,/m/0f4zkq,,,,,,,,,,,,,,,,,Fanny Sundström,,,Fanny Sundström,,,,,1944,,,,,,,,,,,,politician,Sundström,,
Q4350571,Ritva Sarin-Grufberg,Ritva Sarin-Grufberg,Ritva Sarin-Grufberg,Ritva Sarin-Grufberg,Ritva Sarin-Grufberg,,Ritva Sarin-Grufberg,Ritva Sarin-Grufberg,,Ritva Sarin-Grufberg,female,1944-05-17,Ritva,,Ritva Sarin-Grufberg,,,,,,,Ritva Sarin-Grufberg,/m/036ng3,,,,,,,,,,,,,,,,,Ritva Sarin-Grufberg,,,Ritva Sarin-Grufberg,,,,,,,,,,,,,,,,,politician,,,
Q4350672,Harriet Lindeman,Harriet Lindeman,Harriet Lindeman,Harriet Lindeman,Harriet Lindeman,Harriet Lindeman,Harriet Lindeman,Harriet Lindeman,,Harriet Lindeman,female,1946-06-16,Harriet,,Harriet Lindeman,,,,,,,Harriet Lindeman,/m/034btv,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Harriet_Lindeman.jpg,,,,,,,,Harriet Lindeman,,,Harriet Lindeman,,,,,,,,,,,,,,,哈里特·林德曼,,politician,Lindeman,,
Q4353587,Ragnar Erlandsson,Ragnar Erlandsson,Ragnar Erlandsson,Ragnar Erlandsson,Ragnar Erlandsson,Ragnar Erlandsson,Ragnar Erlandsson,Ragnar Erlandsson,,Ragnar Erlandsson,male,1941-09-21,Ragnar,,Ragnar Erlandsson,,,,,,,,,"Эрландссон, Рагнар",,,,ラグナル・アーランドソン,,ラグナル・アーランドソン,"Эрландссон, Рагнар",,,,,,,,,Ragnar Erlandsson,,,Ragnar Erlandsson,,,,,,,,,,,,,,,,,politician,,,
Q4354530,Jörgen Strand,Jörgen Strand,Jörgen Strand,Jörgen Strand,Jörgen Strand,Jörgen Strand,Jörgen Strand,Jörgen Strand,,Jörgen Strand,male,1962-03-15,Jörgen,,Jörgen Strand,,,,,,,Jörgen Strand,/m/02mgr6,,,,,,,,,,,,,,,,,Jörgen Strand,,,Jörgen Strand,,,,,,,,,,,,,,,,,politician,Strand,,
Q4354820,Olof Erland,Olof Erland,Olof Erland,Olof Erland,Olof Erland,Olof Erland,Olof Erland,Olof Erland,,Olof Erland,male,1944-02-16,Olof,,Olof Erland,,,,,,,Olof Erland,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/db/Oloferland2.jpg,,,,,,,,Olof Erland,,,Olof Erland,,,,,,,,,,,,,,,,,politician,,,
Q4357123,Elisabeth Nauclér,Elisabeth Nauclér,Elisabeth Nauclér,Elisabeth Nauclér,Elisabeth Nauclér,Elisabeth Nauclér,Elisabeth Nauclér,Elisabeth Nauclér,,Elisabeth Nauclér,female,1952-03-07,Elisabeth,,Elisabeth Nauclér,,,,,,,Elisabeth Nauclér,/m/0gtxjsb,,,,,,,,,,,,,,,,,Elisabeth Nauclér,973,,Elisabeth Nauclér,,,,,,,,,,,,,,,,,politician,,,
Q4443343,,Viktor Strandfält,Viktor Strandfält,Viktor Strandfält,Viktor Strandfält,,Viktor Strandfält,Viktor Strandfält,,Viktor Strandfält,male,1887,Viktor,,,,,,,,,,,"Страндфьялт, Виктор",,,,ヴィクトル・ストランドフェルト,,ヴィクトル・ストランドフェルト,"Страндфьялт, Виктор",,,,,,,,,Viktor Strandfält,,,,,,,,1962,,,,,,,,,,,,politician,,,
Q451038,Viveka Eriksson,Viveka Eriksson,Viveka Eriksson,Viveka Eriksson,Viveka Eriksson,Viveka Eriksson,Viveka Eriksson,Viveka Eriksson,Viveka Eriksson,Viveka Eriksson,female,1956-08-18,Viveka,,Viveka Eriksson,,,,,Viveka Eriksson,,Viveka Eriksson,/m/02mh1c,"Эрикссон, Вивека",Βίβεκα Έρικσον,,,ヴィヴェカ・エリクソン,Βίβεκα Έρικσον,ヴィヴェカ・エリクソン,"Эрикссон, Вивека",https://upload.wikimedia.org/wikipedia/commons/c/cf/Viveka_Eriksson.jpg,Viveka Eriksson,,,,,Viveka Eriksson,,Viveka Eriksson,,Viveka Eriksson,Viveka Eriksson,,,,,,,,,,,,,,,,,politician,Eriksson,,
Q4532458,Sune Eriksson,Sune Eriksson,Sune Eriksson,Sune Eriksson,Sune Eriksson,Sune Eriksson,Sune Eriksson,Sune Eriksson,,Sune Eriksson,male,1939-03-19,Sune,,Sune Eriksson,,,,,,,Sune Eriksson,/m/036nlj,"Эрикссон, Суне",,,,スネ・エリクソン,,スネ・エリクソン,"Эрикссон, Суне",,,,,,,,,Sune Eriksson,,,Sune Eriksson,,,,,,,,,,,,,,,,,politician,Eriksson,,
Q4535480,Hugo Johansson,Hugo Johansson,Hugo Johansson,Hugo Johansson,Hugo Johansson,Hugo Johansson,Hugo Johansson,Hugo Johansson,,,male,1900,Hugo,,,,,,,,,,,"Юханссон, Хуго",,,,ヒューゴ・ヨハンソン,,ヒューゴ・ヨハンソン,"Юханссон, Хуго",,,,,,,,,Hugo Johansson,910603,,,,,,,1983,,,,,,,,,,,,politician,,,
Q4546422,Tuula Mattsson,Tuula Mattsson,Tuula Mattsson,Tuula Mattsson,Tuula Mattsson,Tuula Mattsson,Tuula Mattsson,Tuula Mattsson,,Tuula Mattsson,female,1949-03-01,Tuula,,Tuula Mattsson,,,,,,,,/m/02mgwm,,,,,,,,,,,,,,,,,Tuula Mattsson,,,Tuula Mattsson,,,,,,,,,,,,,,,,,politician,,,
Q4809762,Kerstin Alm,Kerstin Alm,Kerstin Alm,Kerstin Alm,Kerstin Alm,Kerstin Alm,Kerstin Alm,Kerstin Alm,,Kerstin Alm,female,1949-05-09,Kerstin,,,,,,,,,Kerstin Alm,/m/02mgt1,,,,,,,,,,,Kerstin Alm,,,Kerstin Alm,,,Kerstin Alm,,,,,,,,,,,,,,,,,,,,politician,Alm,,
Q4934081,Carina Aaltonen,Carina Aaltonen,Carina Aaltonen,Carina Aaltonen,Carina Aaltonen,Carina Aaltonen,Carina Aaltonen,Carina Aaltonen,,Carina Aaltonen,female,1964-01-19,Carina,,Carina Aaltonen,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f7/Nordiska_radets_session_i_Helsingfors_(3)_(crop).jpg,,,,,,,,Carina Aaltonen,,,Carina Aaltonen,,,,,,,,,,,,,,,卡琳娜·阿爾托寧,,politician,,,
Q4970601,,,Carita Nylund,,Carita Nylund,,Carita Nylund,,,Carita Nylund,female,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carita Nylund,,,,,,,,,,,,,,,,,,,,,,,
Q4982779,Veronica Thörnroos,Veronica Thörnroos,Veronica Thörnroos,Veronica Thörnroos,Veronica Thörnroos,Veronica Thörnroos,Veronica Thörnroos,Veronica Thörnroos,,Veronica Thörnroos,female,1962-07-16,Veronica,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a5/Veronica_Thornroos_vid_Nordiska_radets_session_i_Reykjavik_2010.jpg,,,,,,,,Veronica Thörnroos,,,,,,,,,,,,,,,,,,,,politician,,,
Q5586108,Tor Brenning,Tor Brenning,Tor Brenning,Tor Brenning,Tor Brenning,Tor Brenning,Tor Brenning,Tor Brenning,,Tor Brenning,male,1903-10-22,Tor,,,,,,,,,,,,,,,,,,,,,,,,,,,Tor Brenning,,,,,,,,1983-02-19,,,,,,,,,,,,politician,,,
Q5715984,Anders Eriksson,Anders Eriksson,Anders Eriksson,Anders Eriksson,Anders Eriksson,,Anders Eriksson,Anders Eriksson (poliitikko),,Anders Eriksson (åländsk politiker),male,1960-05-09,Anders,,,,,,,,,,,,,,,,,,,,,,,,,,,Anders Eriksson (poliitikko),,,,,,,,,,,,,,,,,,,,politician,Eriksson,,
Q5716639,Johannes Eriksson,Johannes Eriksson,Johannes Eriksson,Johannes Eriksson,Johannes Eriksson,,Johannes Eriksson,Johannes Eriksson,,Johannes Eriksson,male,1869-10-29,Johannes,,,,,,,,,,,,,,,,,,,,,,,,,,,Johannes Eriksson,,,,,,,,1939-07-21,,,,,,,,,,,,politician,Eriksson,,
Q5717272,,,Roger Eriksson,,Roger Eriksson,,Roger Eriksson,,,Roger Eriksson,male,1960-07-26,Roger,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Roger_Eriksson_vid_Nordiska_Radets_session_i_Stockholm_2009.jpg,,,,,,,,Roger Eriksson,,,,,,,,,,,,,,,,,,,,,,,
Q5979988,,,Jan-Erik Mattsson,,Jan-Erik Mattsson,,Jan-Erik Mattsson,,,Jan-Erik Mattsson,male,1949-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan-Erik Mattsson,,,,,,,,,,,,,,,,,,,,politician,,,
Q6216442,Erik Tudeer,Erik Tudeer,Erik Tudeer,Erik Tudeer,Erik Tudeer,Erik Tudeer,Erik Tudeer,Erik Tudeer,,Erik Tudeer,male,1931,Erik,63986056,,,,,,,,,,,,,,,,,,,,,,,,,,Erik Tudeer,,,,,,,,2001,,,,,,,,,,,,politician,,,
