id,name__en,name__fr,name__de,name__ru,name__es,name__nl,name__nb,name__da,name__nn,name__sv,name__zh,name__cy,name__hu,name,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__ru,wikipedia__zh,gender,birth_date,death_date,given_name,original_wikiname,name__it,name__sw,name__ka,wikipedia__ka,wikipedia__sw,image,name__en_ca,name__en_gb,name__pl,name__tr,name__ro,name__yo,name__fi,name__et,name__id,name__ja,name__el,name__ca,name__oc,name__sr,name__pt,name__ko,wikipedia__da,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__yo,identifier__freebase,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__hr,wikipedia__hr,identifier__ISNI,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,identifier__NTA,name__la,name__eo,name__hi,name__de_ch,name__lb,name__vi,name__be,wikipedia__be,wikipedia__enwikiquote,wikipedia__eo,wikipedia__hi,wikipedia__la,wikipedia__lb,wikipedia__vi,twitter,website,wikipedia__commons,name__mg,wikipedia__mg,name__is,wikipedia__is,name__ml,wikipedia__ml,wikipedia__simple,wikipedia__fy,name__fy,name__eu,identifier__google_plus,occupation,identifier__GND,wikipedia__nn,wikipedia__uk,name__uk,wikipedia__ur,name__ur,wikipedia__ca,wikipedia__he,identifier__quora,name__he,wikipedia__ig,wikipedia__cawikiquote,wikipedia__nl,name__ig,name__fo,name__se,name__sje,name__sma,name__smj,family_name,name__gl,identifier__GTAA,identifier__MusicBrainz,name__nds,name__br,name__rw,name__ar,name__cs,name__io,name__mr,name__lt,name__fa,name__sco,name__ia,wikipedia__ar,wikipedia__br,wikipedia__cs,wikipedia__cy,wikipedia__fa,wikipedia__ia,wikipedia__io,wikipedia__lt,wikipedia__mr,wikipedia__rw,wikipedia__sco,identifier__IMDB,identifier__FAST,identifier__Britannica,identifier__snac,facebook,identifier__NLAtrove,identifier__OLID,identifier__BNF,wikipedia__nds,wikipedia__gl,identifier__SELIBR,name__af,name__an,name__ast,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sr_el,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__sl,name__bn,identifier__GNC,wikipedia__ast,wikipedia__itwikiquote,identifier__Munzinger,identifier__NKC
Q13122550,Aggrey Deaisile Joshua Mwanri,Aggrey Mwanri,Aggrey Mwanri,,,Aggrey Mwanri,Aggrey Deaisile Joshua Mwanri,Aggrey Deaisile Joshua Mwanri,Aggrey Deaisile Joshua Mwanri,Aggrey Deaisile Joshua Mwanri,,,,Aggrey Deaisile Joshua Mwanri,,Aggrey Mwanri,,,,male,1955-07-17,,Aggrey,Aggrey Mwanri,,Aggrey Deaisile Joshua Mwanri,,,Aggrey Deaisile Joshua Mwanri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aggrey Deaisile Joshua Mwanri,,,,,,,,,politician,,,,,,,,,,,,,,,Aggrey Deaisile Joshua Mwanri,Aggrey Deaisile Joshua Mwanri,Aggrey Deaisile Joshua Mwanri,Aggrey Deaisile Joshua Mwanri,Aggrey Deaisile Joshua Mwanri,Mwanri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aggrey Mwanri,,,,,,
Q13122554,Ahmed Shabiby,Ahmed Shabiby,Ahmed Shabiby,,,Ahmed Shabiby,Ahmed Mabukhut Shabiby,Ahmed Mabukhut Shabiby,Ahmed Mabukhut Shabiby,Ahmed Mabukhut Shabiby,,,,Ahmed Shabiby,,Ahmed Shabiby,,,,male,1967-09-14,,Ahmed,Ahmed Shabiby,,Ahmed Mabhut Shabiby,,,Ahmed Mabukhut Shabiby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Mabukhut Shabiby,,,,,,,,,politician,,,,,,,,,,,,,,,Ahmed Mabukhut Shabiby,Ahmed Mabukhut Shabiby,Ahmed Mabukhut Shabiby,Ahmed Mabukhut Shabiby,Ahmed Mabukhut Shabiby,Shabiby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Shabiby,,,,,,
Q13122556,Ahmed Salum,Ahmed Salum,Ahmed Salum,,,Ahmed Salum,Ahmed Ally Salum,Ahmed Ally Salum,Ahmed Ally Salum,Ahmed Ally Salum,,,,Ahmed Salum,,Ahmed Salum,,,,male,1966-06-28,,Ahmed,Ahmed Salum,,Ahmed Ally Salum,,,Ahmed Ally Salum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Ally Salum,,,,,,,,,politician,,,,,,,,,,,,,,,Ahmed Ally Salum,Ahmed Ally Salum,Ahmed Ally Salum,Ahmed Ally Salum,Ahmed Ally Salum,Salum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Salum,,,,,,
Q13122607,Beatrice Matumbo Shellukindo,Beatrice Shellukindo,Beatrice Shellukindo,,Beatrice Shellukindo,Beatrice Shellukindo,Beatrice Matumbo Shellukindo,Beatrice Matumbo Shellukindo,Beatrice Matumbo Shellukindo,Beatrice Matumbo Shellukindo,,,Beatrice Shellukindo,Beatrice Matumbo Shellukindo,,Beatrice Shellukindo,,,,female,1958-08-22,,Beatrice,Beatrice Shellukindo,,Beatrice Matumbo Shellukindo,,,Beatrice Matumbo Shellukindo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beatrice Matumbo Shellukindo,,,,,,,,,politician,,,,,,,,,,,,,,,Beatrice Matumbo Shellukindo,Beatrice Matumbo Shellukindo,Beatrice Matumbo Shellukindo,Beatrice Matumbo Shellukindo,Beatrice Matumbo Shellukindo,Shellukindo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beatrice Shellukindo,,,,,,
Q13122744,Castor Raphael Ligallama,Castor Raphael Ligallama,Castor Raphael Ligallama,,,Castor Raphael Ligallama,Castor Raphael Ligallama,Castor Raphael Ligallama,Castor Raphael Ligallama,Castor Raphael Ligallama,,,,Castor Raphael Ligallama,,Castor Raphael Ligallama,,,,male,1949-03-01,,Castor,,,Castor Raphael Ligallama,,,Castor Raphael Ligallama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castor Raphael Ligallama,,,,,,,,,politician,,,,,,,,,,,,,,,Castor Raphael Ligallama,Castor Raphael Ligallama,Castor Raphael Ligallama,Castor Raphael Ligallama,Castor Raphael Ligallama,Ligallama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castor Raphael Ligallama,,,,,,
Q13122792,Christopher Olonyokie Ole Sendeka,Christopher Ole-Sendeka,,,,Christopher Ole-Sendeka,Christopher Olonyokie Ole Sendeka,Christopher Olonyokie Ole Sendeka,Christopher Olonyokie Ole Sendeka,Christopher Olonyokie Ole Sendeka,,,,Christopher Olonyokie Ole Sendeka,,Christopher Ole-Sendeka,,,,male,1964-01-01,,Christopher,Christopher Ole-Sendeka,,Christopher Olonyokie Ole Sendeka,,,Christopher Olonyokie Ole Sendeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Olonyokie Ole Sendeka,,,,,,,,,politician,,,,,,,,,,,,,,,Christopher Olonyokie Ole Sendeka,Christopher Olonyokie Ole Sendeka,Christopher Olonyokie Ole Sendeka,Christopher Olonyokie Ole Sendeka,Christopher Olonyokie Ole Sendeka,Sendeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Ole-Sendeka,,,,,,
Q13122896,Ezekiel Magolyo Maige,Ezekiel Maige,Ezekiel Maige,,,Ezekiel Maige,Ezekiel Magolyo Maige,Ezekiel Magolyo Maige,Ezekiel Magolyo Maige,Ezekiel Magolyo Maige,,,,Ezekiel Magolyo Maige,,Ezekiel Maige,,,,male,1970-03-28,,Ezekiel,Ezekiel Maige,,Ezekiel Magolyo Maige,,,Ezekiel Magolyo Maige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ezekielmaige,,,,,Ezekiel Magolyo Maige,,,,,,,,,politician,,,,,,,,,,,,,,,Ezekiel Magolyo Maige,Ezekiel Magolyo Maige,Ezekiel Magolyo Maige,Ezekiel Magolyo Maige,Ezekiel Magolyo Maige,Maige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ezekiel Maige,,,,,,
Q13122905,Festus Bulugu Limbu,Festus Bulugu Limbu,Festus Limbu,,,Festus Bulugu Limbu,Festus Bulugu Limbu,Festus Bulugu Limbu,Festus Bulugu Limbu,Festus Bulugu Limbu,,,,Festus Bulugu Limbu,,Festus Limbu,,,,male,1956-04-19,,Festus,Festus Limbu,Festus Bulugu Limbu,Festus Bulugu Limbu,,,Festus Bulugu Limbu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Festus Bulugu Limbu,,,,,,,,,politician,,,,,,,,,,,,,,,Festus Bulugu Limbu,Festus Bulugu Limbu,Festus Bulugu Limbu,Festus Bulugu Limbu,Festus Bulugu Limbu,Limbu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Festus Bulugu Limbu,,,,,,
Q13122923,Fuya Godwin Kimbita,Fuya Godwin Kimbita,Fuya Godwin Kimbita,,,Fuya Godwin Kimbita,Fuya Godwin Kimbita,Fuya Godwin Kimbita,Fuya Godwin Kimbita,Fuya Godwin Kimbita,,,,Fuya Godwin Kimbita,,Fuya Godwin Kimbita,,,,male,1967-05-07,,Fuya,,,Fuya Godwin Kimbita,,,Fuya Godwin Kimbita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuya Godwin Kimbita,,,,,,,,,politician,,,,,,,,,,,,,,,Fuya Godwin Kimbita,Fuya Godwin Kimbita,Fuya Godwin Kimbita,Fuya Godwin Kimbita,Fuya Godwin Kimbita,Kimbita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuya Godwin Kimbita,,,,,,
Q13122942,George Lubeleje,,,,,,George Malima Lubeleje,George Malima Lubeleje,George Malima Lubeleje,George Malima Lubeleje,,,,George Lubeleje,,George Lubeleje,,,,male,1950-02-12,,George,,,George Malima Lubeleje,,,George Malima Lubeleje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Malima Lubeleje,,,,,,,,,politician,,,,,,,,,,,,,,,George Malima Lubeleje,George Malima Lubeleje,George Malima Lubeleje,George Malima Lubeleje,George Malima Lubeleje,Lubeleje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Lubeleje,,,,,,
Q13122953,Godfrey Weston Zambi,Godfrey Zambi,Godfrey Zambi,,,Godfrey Zambi,Godfrey Weston Zambi,Godfrey Weston Zambi,Godfrey Weston Zambi,Godfrey Weston Zambi,,,,Godfrey Weston Zambi,,Godfrey Zambi,,,,male,1962-06-12,,Godfrey,Godfrey Zambi,,Godfrey Weston Zambi,,,Godfrey Weston Zambi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Godfrey Weston Zambi,,,,,,,,,politician,,,,,,,,,,,,,,,Godfrey Weston Zambi,Godfrey Weston Zambi,Godfrey Weston Zambi,Godfrey Weston Zambi,Godfrey Weston Zambi,Zambi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Godfrey Zambi,,,,,,
Q13122980,Hafidh Ali Tahir,Hafidh Ali Tahir,,,,Hafidh Ali Tahir,Hafidh Ali Tahir,Hafidh Ali Tahir,Hafidh Ali Tahir,Hafidh Ali Tahir,,,,Hafidh Ali Tahir,,,,,,male,1953-10-30,2016-11-09,Hafidh,,Hafidh Ali Tahir,Hafidh Ali Tahir,,,Hafidh Ali Tahir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hafidh Ali Tahir,,,,,,,,,politician,,,,,,,,,,,,,,,Hafidh Ali Tahir,Hafidh Ali Tahir,Hafidh Ali Tahir,Hafidh Ali Tahir,Hafidh Ali Tahir,Tahir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hafidh Ali Tahir,,,,,,
