id,name,faction,email,email__personal,image,source,term,district
guillermo-francisco-mata-bennett,Guillermo Francisco Mata Bennett,FMLN,guillermo.mata@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/guillermo-francisco-mata-bennett/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/guillermo-francisco-mata-bennett,2015-2018,
rolando-mata-fuentes,Rolando Mata Fuentes,FMLN,rolando.mata@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/rolando-mata-fuentes/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/rolando-mata-fuentes,2015-2018,
calixto-mejia-hernandez,Calixto Mejía Hernández,FMLN,calixto.mejia@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/calixto-mejia-hernandez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/calixto-mejia-hernandez,2015-2018,
misael-mejia-mejia,Misael Mejía Mejía,FMLN,misael.mejia@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/misael-mejia-mejia/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/misael-mejia-mejia,2015-2018,
jose-santos-melara-yanes,José Santos Melara Yanes,FMLN,jose.melara@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/jose-santos-melara-yanes/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/jose-santos-melara-yanes,2015-2018,
juan-carlos-mendoza-portillo,Juan Carlos Mendoza Portillo,GANA,juan.mendoza@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/juan-carlos-mendoza-portillo/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/juan-carlos-mendoza-portillo,2015-2018,
jose-francisco-merino-lopez,José Francisco Merino López,PCN,jmerino@asamblea.gob.sv,melojf2902@hotmail.com,http://asamblea.gob.sv/pleno/pleno-legislativo/jose-francisco-merino-lopez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/jose-francisco-merino-lopez,2015-2018,
ernesto-luis-muyshondt-garcia-prieto,Ernesto Luis Muyshondt García Prieto,ARENA,ernesto.muyshondt@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/ernesto-luis-muyshondt-garcia-prieto/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/ernesto-luis-muyshondt-garcia-prieto,2015-2018,
jose-serafin-orantes-rodriguez,José Serafín Orantes Rodríguez,PCN,serafin.orantes@asamblea.gob.sv,jose.orantes2002@hotmail.com,http://asamblea.gob.sv/pleno/pleno-legislativo/jose-serafin-orantes-rodriguez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/jose-serafin-orantes-rodriguez,2015-2018,
silvia-estela-ostorga-de-escobar,Silvia Estela Ostorga de Escobar,ARENA,silvia.ostorga@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/silvia-estela-ostorga-de-escobar/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/silvia-estela-ostorga-de-escobar,2015-2018,
jose-javier-palomo-nieto,José Javier Palomo Nieto,ARENA,jose.palomo@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/jose-javier-palomo-nieto/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/jose-javier-palomo-nieto,2015-2018,
rodolfo-antonio-parker-soto,Rodolfo Antonio Parker Soto,PDC,rparker@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/rodolfo-antonio-parker-soto/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/rodolfo-antonio-parker-soto,2015-2018,
lorena-guadalupe-pena-mendoza,Lorena Guadalupe Peña Mendoza,FMLN,lorena.pena@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/lorena-guadalupe-pena-mendoza/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/lorena-guadalupe-pena-mendoza,2015-2018,
mario-antonio-ponce-lopez,Mario Antonio Ponce López,PCN,mponce@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/mario-antonio-ponce-lopez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/mario-antonio-ponce-lopez,2015-2018,
rene-alfredo-portillo-cuadra,René Alfredo Portillo Cuadra,ARENA,rene.portillo@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/rene-alfredo-portillo-cuadra/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/rene-alfredo-portillo-cuadra,2015-2018,
zoila-beatriz-quijada-solis-1,Zoila Beatriz Quijada Solís,FMLN,zoila.quijada@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/zoila-beatriz-quijada-solis-1/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/zoila-beatriz-quijada-solis-1,2015-2018,
norman-noel-quijano-gonzalez,Norman Noel Quijano González,ARENA,norman.quijano@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/norman-noel-quijano-gonzalez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/norman-noel-quijano-gonzalez,2015-2018,
nelson-de-jesus-quintanilla-gomez,Nelson de Jesús Quintanilla Gómez,FMLN,nelson.quintanilla@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/nelson-de-jesus-quintanilla-gomez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/nelson-de-jesus-quintanilla-gomez,2015-2018,
david-ernesto-reyes-molina,David Ernesto Reyes Molina,ARENA,david.reyes@asamblea.gob.sv,diputadoreyes@gmail.com,http://asamblea.gob.sv/pleno/pleno-legislativo/david-ernesto-reyes-molina/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/david-ernesto-reyes-molina,2015-2018,
ana-vilma-albanez-de-escobar,Ana Vilma Albanez de Escobar,ARENA,anav.escobar@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/ana-vilma-albanez-de-escobar/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/ana-vilma-albanez-de-escobar,2015-2018,San Salvador
jose-antonio-almendariz-rivas,José Antonio Almendáriz Rivas,PCN,jalmendariz@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/jose-antonio-almendariz-rivas/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/jose-antonio-almendariz-rivas,2015-2018,Sonsonate
ana-marina-alvarenga-barahona,Ana Marina Alvarenga Barahona,FMLN,ana.alvarenga@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/ana-marina-alvarenga-barahona/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/ana-marina-alvarenga-barahona,2015-2018,Cabañas
rodrigo-avila-aviles,Rodrigo Ávila Avilés,ARENA,rodrigo.avila@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/rodrigo-avila-aviles/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/rodrigo-avila-aviles,2015-2018,La Libertad
lucia-del-carmen-ayala-de-leon,Lucía del Carmen Ayala de León,ARENA,lucia.leon@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/lucia-del-carmen-ayala-de-leon/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/lucia-del-carmen-ayala-de-leon,2015-2018,San Miguel
ana-lucia-baires-de-martinez,Ana Lucía Baires de Martínez,FMLN,ana.baires@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/ana-lucia-baires-de-martinez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/ana-lucia-baires-de-martinez,2015-2018,Usulután
marta-evelyn-batres-araujo,Marta Evelyn Batres Araujo,ARENA,marta.batres@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/marta-evelyn-batres-araujo/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/marta-evelyn-batres-araujo,2015-2018,San Salvador
roger-alberto-blandino-nerio-jeremias-nerio,Roger Alberto Blandino Nerio (Jeremías Nerio),FMLN,roger.blandino@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/roger-alberto-blandino-nerio-jeremias-nerio/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/roger-alberto-blandino-nerio-jeremias-nerio,2015-2018,San Salvador
manuel-orlando-cabrera-candray,Manuel Orlando Cabrera Candray,ARENA,orlando.candray@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/manuel-orlando-cabrera-candray/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/manuel-orlando-cabrera-candray,2015-2018,Usulután
yohalmo-edmundo-cabrera-chacon,Yohalmo Edmundo Cabrera Chacón,FMLN,yohalmo.cabrera@asamblea.gob.sv,yohalmoed@gmail.com,http://asamblea.gob.sv/pleno/pleno-legislativo/yohalmo-edmundo-cabrera-chacon/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/yohalmo-edmundo-cabrera-chacon,2015-2018,Ahuachapán
carmen-elena-calderon-sol-de-escalon,Carmen Elena Calderón Sol de Escalón,ARENA,mescalon@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/carmen-elena-calderon-sol-de-escalon/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/carmen-elena-calderon-sol-de-escalon,2015-2018,Santa Ana
silvia-alejandrina-castro-figueroa,Silvia Alejandrina Castro Figueroa,ARENA,acastro2@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/silvia-alejandrina-castro-figueroa/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/silvia-alejandrina-castro-figueroa,2015-2018,San Salvador
norma-cristina-cornejo-amaya,Norma Cristina Cornejo Amaya,FMLN,norma.cornejo@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/norma-cristina-cornejo-amaya/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/norma-cristina-cornejo-amaya,2015-2018,La Libertad
valentin-aristides-corpeno,Valentín Arístides Corpeño,ARENA,valentin.corpeno@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/valentin-aristides-corpeno/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/valentin-aristides-corpeno,2015-2018,La Paz
rosa-alma-cruz-marinero,Alma Cruz,FMLN,rosa.cruz@asamblea.gob.sv,almitacruz@hotmail.com,http://asamblea.gob.sv/pleno/pleno-legislativo/rosa-alma-cruz-marinero/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/rosa-alma-cruz-marinero,2015-2018,La Paz
raul-omar-cuellar,Raúl Omar Cuellar,FMLN,omar.cuellar@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/raul-omar-cuellar/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/raul-omar-cuellar,2015-2018,Santa Ana
rene-gustavo-escalante-zelaya,René Gustavo Escalante Zelaya,ARENA,gustavo.escalante@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/rene-gustavo-escalante-zelaya/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/rene-gustavo-escalante-zelaya,2015-2018,La Libertad
margarita-escobar,Margarita Escobar,ARENA,margarita.escobar@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/margarita-escobar/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/margarita-escobar,2015-2018,San Salvador
jorge-alberto-escobar-bernal,Jorge Alberto Escobar Bernal,ARENA,jorge.escobar@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/jorge-alberto-escobar-bernal/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/jorge-alberto-escobar-bernal,2015-2018,La Unión
jose-edgar-escolan-batarse,José Edgar Escolán Batarse,ARENA,edgar.escolan@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/jose-edgar-escolan-batarse/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/jose-edgar-escolan-batarse,2015-2018,San Miguel
julio-cesar-fabian-perez,Julio César Fabián Pérez,ARENA,julio.fabian@asamblea.gob.sv,j.cfabian6@gmail.com,http://asamblea.gob.sv/pleno/pleno-legislativo/julio-cesar-fabian-perez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/julio-cesar-fabian-perez,2015-2018,Chalatenango
santiago-flores-alfaro,Santiago Flores Alfaro,FMLN,santiago.flores@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/santiago-flores-alfaro/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/santiago-flores-alfaro,2015-2018,La Unión
juan-manuel-de-jesus-flores-cornejo,Juan Manuel de Jesús Flores Cornejo,FMLN,juan.flores@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/juan-manuel-de-jesus-flores-cornejo/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/juan-manuel-de-jesus-flores-cornejo,2015-2018,La Libertad
guillermo-antonio-gallegos-navarrete,Guillermo Antonio Gallegos Navarrete,GANA,ggallegos@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/guillermo-antonio-gallegos-navarrete/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/guillermo-antonio-gallegos-navarrete,2015-2018,San Salvador
carlos-alberto-garcia,Carlos Alberto García,FMLN,alberto.garcia@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/carlos-alberto-garcia/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/carlos-alberto-garcia,2015-2018,San Salvador
ricardo-ernesto-godoy-penate,Ricardo Ernesto Godoy Peñate,ARENA,ricardo.godoy@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/ricardo-ernesto-godoy-penate/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/ricardo-ernesto-godoy-penate,2015-2018,Ahuachapán
maria-elizabeth-perla-gomez,María Elizabeth Gómez Perla,FMLN,elizabeth.gomez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/maria-elizabeth-perla-gomez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/maria-elizabeth-perla-gomez,2015-2018,San Vicente
medardo-gonzalez-trejo,Medardo González Trejo,FMLN,medardo.gonzalez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/medardo-gonzalez-trejo/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/medardo-gonzalez-trejo,2015-2018,San Salvador
norma-fidelia-guevara-de-ramirios,Norma Fidelia Guevara de Ramirios,FMLN,norma.guevara@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/norma-fidelia-guevara-de-ramirios/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/norma-fidelia-guevara-de-ramirios,2015-2018,San Salvador
vicente-hernandez-gomez,Vicente Hernández Gómez,ARENA,vicente.hernandez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/vicente-hernandez-gomez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/vicente-hernandez-gomez,2015-2018,Morazán
karla-elena-hernandez-molina,Karla Elena Hernández Molina,ARENA,karla.hernandez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/karla-elena-hernandez-molina/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/karla-elena-hernandez-molina,2015-2018,La Libertad
lorenzo-rivas-echeverria,Lorenzo Rivas Echeverria,GANA,lorenzo.rivas@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/lorenzo-rivas-echeverria/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/lorenzo-rivas-echeverria,2015-2018,Cabañas
santos-adelmo-rivas-rivas,Santos Adelmo Rivas Rivas,GANA,santos.rivas@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/santos-adelmo-rivas-rivas/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/santos-adelmo-rivas-rivas,2015-2018,Sonsonate
vilma-carolina-rodriguez-davila,Vilma Carolina Rodríguez Dávila,ARENA,vilma.rodriguez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/vilma-carolina-rodriguez-davila/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/vilma-carolina-rodriguez-davila,2015-2018,Ahuachapán
abilio-orestes-rodriguez-menjivar,Abilio Orestes Rodríguez Menjívar,GANA,arodriguez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/abilio-orestes-rodriguez-menjivar/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/abilio-orestes-rodriguez-menjivar,2015-2018,La Unión
alberto-armando-romero-rodriguez,Alberto Armando Romero Rodríguez,ARENA,aromero@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/alberto-armando-romero-rodriguez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/alberto-armando-romero-rodriguez,2015-2018,Cuscatlán
numan-pompilio-salgado-garcia,Numan Pompilio Salgado García,GANA,numan.salgado@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/numan-pompilio-salgado-garcia/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/numan-pompilio-salgado-garcia,2015-2018,San Miguel
karina-ivette-sosa-de-lara,Karina Ivette Sosa,FMLN,ksosa@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/karina-ivette-sosa-de-lara/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/karina-ivette-sosa-de-lara,2015-2018,San Salvador
manuel-rigoberto-soto-lazo,Manuel Rigoberto Soto Lazo,GANA,rigoberto.soto@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/manuel-rigoberto-soto-lazo/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/manuel-rigoberto-soto-lazo,2015-2018,Usulután
jaime-gilberto-valdez-hernandez,Jaime Gilberto Valdez Hernández,FMLN,jaime.valdez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/jaime-gilberto-valdez-hernandez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/jaime-gilberto-valdez-hernandez,2015-2018,Sonsonate
patricia-elena-valdivieso-de-gallardo,Patricia Valdivieso,ARENA,patricia.valdivieso@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/patricia-elena-valdivieso-de-gallardo/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/patricia-elena-valdivieso-de-gallardo,2015-2018,San Salvador
maria-marta-concepcion-valladares-mendoza-nidia-diaz,María Marta Concepción Valladares Mendoza (Nidia Díaz),FMLN,nidia.diaz@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/maria-marta-concepcion-valladares-mendoza-nidia-diaz/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/maria-marta-concepcion-valladares-mendoza-nidia-diaz,2015-2018,San Salvador
donato-eugenio-vaquerano-rivas,Donato Eugenio Vaquerano Rivas,ARENA,dvaquerano@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/donato-eugenio-vaquerano-rivas/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/donato-eugenio-vaquerano-rivas,2015-2018,San Vicente
guadalupe-antonio-vasquez-martinez,Guadalupe Antonio Vázquez Martínez,GANA,antonio.vasquez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/guadalupe-antonio-vasquez-martinez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/guadalupe-antonio-vasquez-martinez,2015-2018,Morazán
ricardo-andres-velasquez-parker,Ricardo Andrés Velásquez Parker,ARENA,ricardo.velasquez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/ricardo-andres-velasquez-parker/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/ricardo-andres-velasquez-parker,2015-2018,La Libertad
francisco-jose-zablah-safie,Francisco José Zablah Safie,GANA,francisco.zablah@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/francisco-jose-zablah-safie/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/francisco-jose-zablah-safie,2015-2018,La Libertad
sonia-margarita-rodriguez-siguenza,Margarita Rodríguez Sigüenza,FMLN,margarita.rodriguez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/sonia-margarita-rodriguez-siguenza/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/sonia-margarita-rodriguez-siguenza,2015-2018,San Miguel
juan-alberto-valiente-alvarez,Juan Alberto Valiente Álvarez,ARENA,juan.valiente@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/juan-alberto-valiente-alvarez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/juan-alberto-valiente-alvarez,2015-2018,La Libertad
jaime-orlando-sandoval,Jaime Orlando Sandoval,FMLN,jaime.sandoval@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/jaime-orlando-sandoval/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/jaime-orlando-sandoval,2015-2018,Sonsonate
john-tennant-wright-sol,John Tennant Wright Sol,ARENA,john.wright@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/john-tennant-wright-sol/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/john-tennant-wright-sol,2015-2018,San Salvador
carlos-armando-reyes-ramos,Carlos Armando Reyes Ramos,ARENA,creyes@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/carlos-armando-reyes-ramos/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/carlos-armando-reyes-ramos,2015-2018,Cabañas
jackeline-noemi-rivera-avalos,Jackeline Noemí Rivera Ávalos,FMLN,jackeline.rivera@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/jackeline-noemi-rivera-avalos/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/jackeline-noemi-rivera-avalos,2015-2018,Cuscatlán
mauricio-ernesto-vargas-valdez,Mauricio Ernesto Vargas Valdez,ARENA,mauricio.vargas@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/mauricio-ernesto-vargas-valdez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/mauricio-ernesto-vargas-valdez,2015-2018,San Salvador
mario-alberto-tenorio-guerrero,Mario Alberto Tenorio Guerrero,GANA,mtenorio@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/mario-alberto-tenorio-guerrero/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/mario-alberto-tenorio-guerrero,2015-2018,La Paz
